from_stop,AE,AG,AL,AO,AS,BA,BC,BQ,BU,BZ,CD,CI,CP,CX,DD,DE,DN,DS,EE,EF,EG,EH,EN,EO,ER,EU,EW,FM,FQ,FR,FT,FV,GI,GL,GS,GY,HF,HH,HI,HM,HS,HU,HX,ID,IF,IJ,IQ,IZ,JD,JI,JJ,JK,JM,JN,JO,JP,JQ,KB,KE,KK,KR,KW,KX,KY,LB,LI,LK,LU,MM,MS,MW,NB,NI,NL,NM,NO,NQ,NW,OA,OG,PB,PD,PL,QB,QS,QU,RC,RM,RN,RP,SA,SB,SH,SN,SS,SV,SZ,TA,TB,TL,TX,TY,UG,UI,UP,UY,VG,VP,WG,WH,WK,WL,WU,XG,XJ,XN,XP,XQ,XU,XV,XW,YN,YU,ZD,ZF,ZL,ZU,ZW,ZY
AE,0.0,414.7,230.1,361.5,132.9,354.9,299.0,331.9,146.6,334.1,554.6,336.3,106.4,584.2,276.2,234.7,117.7,220.6,397.5,486.6,401.3,283.9,90.6,590.0,234.0,155.6,325.6,45.8,161.7,32.6,360.8,343.6,1004.0,513.1,242.9,213.9,138.6,125.6,297.7,80.6,232.5,261.9,364.8,369.4,218.4,99.7,109.5,478.2,376.6,327.4,44.7,316.7,743.7,431.1,422.1,207.7,722.5,337.5,720.7,422.5,706.1,26.5,385.7,321.9,349.3,350.6,215.5,625.6,313.1,180.8,407.6,498.2,229.0,295.6,27.0,699.0,384.1,98.2,526.9,335.5,255.4,252.7,341.8,154.7,283.7,764.2,256.5,74.4,166.4,168.8,518.1,68.5,109.9,234.1,75.6,252.8,201.3,233.6,175.4,257.2,369.5,235.7,445.8,252.8,557.1,265.9,283.4,79.4,100.6,128.8,307.5,527.3,357.1,305.9,450.4,293.3,689.6,356.6,313.6,647.8,118.1,452.2,54.7,105.9,130.1,78.2,462.0,217.3,141.0
AG,353.0,0.0,237.4,152.4,311.1,596.8,276.2,527.0,298.0,248.5,113.3,569.4,378.6,244.6,520.8,388.8,326.3,248.4,170.4,147.0,179.4,320.7,418.3,162.3,266.5,486.5,522.7,394.7,290.3,346.0,81.3,116.0,1146.7,76.1,320.2,337.0,483.2,315.1,200.9,376.6,347.4,295.5,629.1,89.9,226.2,394.3,440.7,59.2,640.9,47.7,326.4,235.4,408.4,91.5,65.2,379.6,398.2,89.8,381.1,7.7,366.5,339.3,650.0,593.6,210.8,614.9,474.5,290.3,199.4,208.6,8.6,158.6,473.6,76.0,375.9,359.4,648.8,346.4,89.9,538.6,203.4,161.7,203.3,434.2,194.9,429.6,196.8,356.2,497.3,286.6,178.5,292.1,256.8,512.3,406.5,517.1,480.8,144.3,450.6,468.6,141.9,313.0,106.2,289.6,217.5,108.5,158.8,266.2,427.2,459.7,160.6,208.5,152.0,66.1,115.1,561.9,350.0,23.6,58.4,308.2,399.8,112.6,385.0,338.3,371.0,344.0,122.4,384.6,420.5
AL,276.4,210.7,0.0,307.0,228.4,352.2,95.0,453.0,106.7,261.4,350.6,487.4,262.4,380.2,438.8,180.0,213.2,162.6,193.5,282.6,346.8,225.9,352.6,386.0,176.0,417.6,398.6,322.3,212.6,269.4,260.3,139.6,1064.7,309.1,184.9,120.2,400.6,221.1,275.9,304.3,138.8,203.9,437.8,268.9,152.5,312.3,371.5,274.2,449.6,226.9,244.4,244.0,539.7,227.1,276.0,171.0,518.5,133.5,516.7,218.5,502.1,270.4,458.7,394.9,285.8,423.6,392.5,421.6,267.6,122.8,203.6,294.2,391.6,196.7,303.5,495.0,457.1,207.8,322.9,456.6,197.4,231.3,278.3,273.4,166.7,560.2,52.5,233.0,428.4,201.7,314.1,210.1,172.4,434.6,337.6,325.8,320.0,167.7,294.1,386.6,165.5,177.7,241.8,194.8,353.1,201.5,217.5,194.6,362.6,390.8,262.5,323.3,301.6,205.4,246.4,366.3,485.6,230.3,213.1,443.8,201.6,248.2,316.7,199.7,207.6,259.9,258.0,162.6,259.7
AO,344.4,147.9,307.0,0.0,302.5,545.0,280.4,530.7,367.6,114.3,219.9,529.1,370.0,253.4,469.0,380.2,317.7,203.2,196.5,285.6,39.7,199.0,345.9,186.3,156.1,454.9,496.6,386.1,286.0,337.4,72.7,185.6,1138.1,178.4,205.5,320.2,451.6,306.5,86.3,372.3,338.8,157.0,680.4,81.3,230.4,373.3,368.0,161.5,644.4,96.4,317.8,96.9,454.1,230.1,191.1,371.0,432.9,159.4,463.2,172.8,448.6,330.7,653.5,597.1,72.3,666.2,422.7,379.3,197.3,188.3,156.6,230.3,421.8,120.1,367.3,409.4,699.7,337.8,192.2,534.3,137.6,201.3,64.8,425.6,234.5,441.8,293.5,351.9,465.7,275.6,271.8,283.5,248.2,464.8,374.9,568.4,472.2,192.7,446.3,459.9,211.5,198.3,244.8,174.9,226.3,152.6,143.0,261.9,359.1,428.1,156.3,160.3,26.8,110.2,249.4,608.9,384.9,120.4,102.5,401.5,391.2,251.2,353.4,329.7,362.4,335.4,261.0,362.6,411.9
AS,121.8,311.2,126.6,407.5,0.0,331.4,195.5,402.4,148.2,329.5,451.1,443.9,90.0,480.7,383.8,140.7,15.2,230.7,294.0,383.1,447.3,294.0,198.2,486.5,244.1,263.2,377.8,167.7,28.7,114.8,360.8,240.1,1014.1,409.6,253.0,80.9,246.2,7.2,307.7,149.7,99.5,272.0,417.0,369.4,228.5,207.3,217.1,374.7,428.8,327.4,100.0,312.1,640.2,327.6,376.5,131.7,619.0,234.0,617.2,319.0,602.6,116.0,437.9,374.1,386.3,402.8,323.1,522.1,368.1,190.9,304.1,394.7,336.6,297.2,148.9,595.5,436.3,35.2,423.4,406.0,265.5,262.8,378.8,172.9,267.2,660.7,153.0,60.4,274.0,35.8,414.6,78.9,120.0,341.7,183.2,305.0,219.5,243.7,193.6,336.0,266.0,245.8,342.3,262.9,453.6,302.0,293.5,89.5,208.2,236.4,363.0,423.8,402.1,305.9,346.9,345.5,586.1,330.8,313.6,544.3,119.7,348.7,162.3,27.1,53.0,128.7,358.5,123.3,159.2
BA,178.5,517.3,328.4,460.7,279.8,0.0,400.0,135.4,226.0,386.0,652.9,151.6,199.4,682.5,91.5,333.2,264.6,375.6,495.8,584.9,500.5,438.9,195.0,688.3,389.0,233.2,121.8,140.3,308.6,211.2,562.6,441.9,952.7,611.4,375.8,369.0,121.9,275.8,384.4,170.2,379.4,416.9,256.7,571.2,373.4,119.5,217.4,576.5,266.9,525.6,215.0,368.6,842.0,529.4,578.3,306.0,836.1,435.8,819.0,520.8,804.4,196.8,276.0,219.6,448.7,242.5,22.7,723.9,468.6,335.8,505.9,596.5,59.1,497.9,155.1,797.3,276.4,245.1,625.2,142.7,406.6,407.7,441.2,169.2,469.0,867.5,361.1,231.0,58.3,318.6,616.4,215.7,264.3,23.3,124.1,144.7,215.8,388.6,192.6,64.4,467.8,368.6,544.1,407.8,655.4,506.5,414.3,242.7,208.2,95.7,454.9,595.1,443.8,507.7,548.7,185.2,787.9,536.7,515.4,746.1,278.0,550.5,145.6,252.8,283.8,163.1,560.3,329.0,233.2
BC,181.3,273.4,88.8,369.7,133.3,337.8,0.0,458.2,137.8,324.1,413.3,503.2,157.8,442.9,443.1,84.9,118.1,225.3,256.2,345.3,409.5,288.6,257.5,448.7,238.7,322.5,453.9,227.2,162.1,174.3,323.0,202.3,1073.6,371.8,247.6,25.1,319.2,129.3,338.6,209.2,43.7,266.6,426.1,331.6,215.2,266.6,276.4,336.9,437.9,289.6,159.3,306.7,602.4,289.8,338.7,75.9,596.5,196.2,579.4,281.2,564.8,175.3,447.0,390.6,348.5,411.9,382.4,484.3,337.1,185.5,266.3,356.9,395.9,258.3,208.4,557.7,445.4,112.7,385.6,465.5,260.1,294.0,341.0,250.2,229.4,627.9,121.5,133.2,333.3,169.2,376.8,138.4,176.2,401.0,242.5,314.1,296.8,230.4,270.9,395.5,228.2,240.4,304.5,257.5,415.8,264.2,280.2,157.3,267.5,295.7,325.2,386.0,364.3,268.1,309.1,354.6,548.3,297.1,275.8,506.5,106.5,310.9,221.0,104.6,112.5,190.3,320.7,67.5,236.5
BQ,314.0,584.1,402.1,616.5,416.9,176.3,471.0,0.0,297.1,467.5,724.0,76.0,299.7,753.6,80.1,406.9,401.7,491.8,569.5,656.0,656.3,458.5,288.5,762.0,507.8,304.3,135.8,272.7,449.5,392.1,636.3,513.0,993.6,682.5,457.3,485.5,262.4,416.7,465.9,302.5,495.9,416.5,219.5,616.3,482.2,292.0,384.9,650.2,219.4,596.7,328.7,450.1,913.1,600.5,649.4,377.1,907.2,506.9,890.1,594.5,875.5,321.6,228.5,164.7,601.8,200.1,204.4,797.6,550.1,452.0,577.0,667.6,240.8,569.0,352.2,868.4,238.8,386.0,696.3,17.0,485.6,554.1,520.0,240.3,540.1,933.6,425.9,368.1,194.4,432.2,690.1,331.9,380.4,205.0,256.5,137.2,289.5,497.4,261.0,105.3,538.9,450.1,617.8,524.0,729.1,577.5,570.1,358.9,376.0,277.4,610.7,674.7,525.3,578.8,619.8,133.0,859.0,610.4,586.5,817.2,349.1,624.2,296.6,393.7,416.3,281.9,634.0,386.7,304.3
BU,140.5,286.9,102.3,383.2,137.3,245.4,171.2,319.2,0.0,337.6,426.8,323.3,94.7,456.4,308.5,106.9,122.1,238.8,269.7,358.8,423.0,302.1,184.9,462.2,252.2,249.9,291.8,158.1,166.1,173.2,336.5,215.8,1076.9,385.3,261.1,196.4,232.9,130.0,352.1,174.9,215.0,280.1,331.0,345.1,228.7,194.0,203.8,350.4,342.8,303.1,86.7,320.2,615.9,303.3,352.2,79.9,594.7,209.7,592.9,294.7,578.3,102.7,351.9,288.1,362.0,316.8,309.8,497.8,343.8,199.0,279.8,370.4,323.3,272.9,139.3,571.2,350.3,106.5,399.1,373.8,273.6,307.5,354.5,166.6,242.9,636.4,128.7,82.7,260.7,173.2,390.3,142.4,182.8,328.4,169.9,219.0,213.2,243.9,187.3,351.5,241.7,253.9,318.0,271.0,429.3,277.7,293.7,152.3,194.9,223.1,338.7,399.5,377.8,281.6,322.6,259.5,561.8,306.5,289.3,520.0,51.9,324.4,149.0,108.6,116.5,123.3,334.2,89.5,152.9
BZ,257.0,314.5,222.9,220.0,229.2,433.3,176.3,416.3,283.5,0.0,367.1,414.7,296.7,479.7,354.6,261.5,244.4,99.1,293.0,382.1,259.8,84.6,234.7,411.8,70.0,340.5,382.2,279.7,212.7,264.1,237.9,239.1,1064.8,325.6,101.4,201.5,337.2,233.2,156.1,245.5,220.1,42.6,589.7,246.5,126.3,258.9,253.9,308.7,530.0,235.3,244.5,160.5,639.2,326.6,330.0,252.3,633.3,233.0,616.2,318.0,601.6,257.3,539.1,482.7,207.8,575.5,308.3,521.1,178.4,84.2,303.1,393.7,307.4,204.5,275.8,594.5,609.0,264.5,339.4,419.9,113.9,160.6,200.3,352.3,191.6,664.7,189.4,278.6,351.3,201.8,413.6,210.2,174.9,350.4,260.5,477.7,398.9,141.5,373.0,345.5,265.0,94.2,341.3,106.6,452.6,173.8,142.1,188.6,244.7,313.7,182.7,349.9,215.6,213.8,345.9,518.2,585.1,264.5,221.5,543.3,282.9,347.7,239.0,256.4,289.1,262.1,357.5,257.3,338.6
