from_stop,AI,AL,AM,AP,BE,BF,BJ,BK,BL,BM,BU,BX,CC,CP,CT,CW,CY,DB,DL,DV,DW,EE,EG,ES,EV,EX,EY,EZ,FA,FB,FK,FX,FY,GE,GN,GP,GR,HA,HI,HN,HR,HX,IB,IC,IJ,IS,JB,JH,JQ,JS,JX,JZ,KE,KF,KG,KJ,KT,KX,LI,LN,LQ,LV,LX,MF,MG,MH,MN,MP,MT,NB,NL,NM,NR,NU,NV,NY,NZ,OD,OP,OS,OW,OZ,PD,PJ,PK,PT,PV,PW,PZ,QE,QF,QO,QR,QT,QV,RH,RK,RL,RN,RX,RZ,SB,SM,SN,SQ,SR,ST,TD,TF,TJ,TK,TO,TX,TZ,UD,UF,UM,UN,UO,UP,US,UU,VA,VK,VN,VO,VQ,VV,VY,VZ,WC,WF,WI,WN,WO,WT,WV,WW,WZ,XE,XH,XI,XJ,XV,YC,YW,YX,YZ,ZH,ZK,ZM,ZV
AI,0.0,219.2,170.3,978.7,820.9,689.7,804.7,843.8,1194.1,851.6,803.5,1011.3,797.0,191.5,944.6,1029.6,808.7,454.8,273.9,1005.1,933.0,1087.0,91.8,374.9,717.5,744.0,389.3,777.9,719.9,1062.8,862.5,1013.8,850.0,602.2,838.4,1051.0,1144.2,50.4,1060.0,964.8,948.6,856.8,964.8,760.3,649.8,808.1,900.2,1050.1,1052.2,125.9,157.2,473.7,786.9,881.9,595.4,988.2,276.7,841.6,565.1,188.3,1052.7,872.7,145.0,997.9,818.6,811.4,435.2,846.0,864.9,763.5,191.9,1049.5,937.6,987.3,1051.8,967.4,843.4,883.7,163.4,223.0,1044.3,984.1,906.3,873.8,635.7,420.4,759.9,1035.3,24.3,317.7,307.2,1060.8,1012.5,872.9,262.7,695.3,392.7,1031.7,800.3,372.3,1003.4,793.6,970.8,1036.4,338.9,991.6,1067.3,970.8,310.3,342.7,811.8,678.1,1019.0,1150.9,1038.8,446.8,576.4,159.9,848.2,890.2,766.8,817.2,632.2,740.9,478.0,868.4,789.4,755.0,151.4,822.5,954.2,846.2,19.0,817.0,155.2,960.2,769.0,130.5,203.3,907.3,1177.3,791.9,1007.7,667.5,323.8,626.1,820.2,1127.7,825.9,976.5,896.5,988.0
AL,296.8,0.0,140.6,1138.7,903.9,884.7,999.7,926.8,1216.8,1046.6,998.5,1107.2,992.0,304.2,1139.6,1224.6,891.7,550.6,95.9,1113.4,1128.0,1137.4,286.8,569.9,912.5,939.0,584.3,972.9,914.9,1085.5,945.5,1106.5,1045.0,754.6,1033.4,1137.2,1166.9,314.5,1082.7,1073.9,1087.7,1051.8,1073.9,955.3,802.2,1003.1,1066.3,1202.7,1074.9,220.8,352.2,668.7,869.1,964.9,768.5,1080.8,57.4,1036.6,753.9,383.3,1158.1,955.7,257.7,1091.8,1008.7,894.4,630.2,1041.0,1059.9,859.0,304.6,1107.4,1043.6,1182.3,1074.5,1161.9,1038.4,1078.7,358.1,418.0,1112.9,1178.6,1124.9,1092.4,822.3,529.1,860.1,1058.0,270.9,512.7,502.2,1095.5,1207.5,1067.9,457.7,829.7,587.7,1137.1,995.3,567.3,1142.1,988.6,1165.8,1059.1,533.9,1112.3,1153.5,1146.2,505.3,537.7,1006.8,873.1,1152.2,1173.6,1061.5,641.8,765.2,354.9,933.8,1085.2,961.8,917.2,784.6,937.4,673.0,1063.4,885.9,950.0,346.4,1017.5,1149.2,1041.2,275.9,1012.0,350.2,1153.4,964.0,243.2,145.8,1102.3,1200.0,874.9,1160.2,819.9,518.8,780.7,903.2,1150.4,1020.9,1171.0,1071.5,1130.1
AM,167.0,48.8,0.0,1043.9,886.1,754.9,869.9,909.0,1243.1,916.8,868.7,1076.5,862.2,174.4,1009.8,1094.8,873.9,520.0,176.7,1070.3,998.2,1163.7,157.0,440.1,782.7,809.2,454.5,843.1,785.1,1111.8,927.7,1079.0,915.2,667.4,903.6,1116.2,1193.2,184.7,1109.0,1030.0,1013.8,922.0,1030.0,825.5,715.0,873.3,968.1,1115.3,1101.2,91.0,222.4,538.9,852.1,948.9,660.6,1053.4,106.3,906.8,630.3,253.5,1117.9,937.9,127.9,1063.1,878.9,876.6,500.4,911.2,938.5,828.7,174.8,1114.7,1002.8,1052.5,1102.6,1032.6,908.6,948.9,228.6,288.2,1109.5,1049.3,971.5,939.0,700.9,485.6,825.1,1084.3,141.1,382.9,372.4,1121.8,1077.7,938.1,327.9,753.5,457.9,1096.9,865.5,437.5,1068.6,858.8,1036.0,1085.4,404.1,1056.8,1132.5,1036.0,375.5,407.9,877.0,743.3,1084.2,1199.9,1087.8,512.0,641.6,225.1,913.4,955.4,832.0,884.1,697.4,807.6,543.2,933.6,854.6,820.2,216.5,887.7,1019.4,911.4,146.1,882.2,220.4,1025.4,834.2,113.4,98.0,972.5,1226.3,857.1,1074.9,732.7,389.0,691.3,885.4,1176.7,891.1,1038.4,961.7,1053.2
AP,994.8,1040.7,994.4,0.0,471.3,402.7,312.7,494.7,222.0,206.7,379.3,32.5,232.9,1064.5,127.9,159.4,342.6,686.3,957.3,26.3,116.5,154.8,954.2,787.6,443.3,350.6,821.7,367.5,381.4,135.2,513.2,81.6,157.0,457.6,170.8,118.8,172.1,1012.5,210.9,78.8,62.0,176.2,75.5,336.9,478.1,225.7,104.6,156.4,216.8,992.3,864.0,602.4,365.6,532.6,567.3,56.0,979.6,284.0,552.7,855.6,141.1,472.7,1017.7,65.9,394.7,339.9,695.8,161.6,188.8,456.7,1064.9,117.3,96.1,118.7,133.0,56.0,163.7,171.4,972.9,940.2,108.1,72.7,110.9,140.0,621.1,633.2,460.8,150.9,968.9,795.6,788.0,128.6,139.7,150.9,711.2,492.9,767.6,162.1,265.5,603.9,53.2,366.5,102.2,166.7,763.9,62.4,135.1,97.5,788.2,656.6,286.3,362.9,68.8,178.8,147.8,627.5,552.3,899.3,350.5,171.2,289.5,393.2,381.3,402.6,582.8,150.6,397.7,396.6,926.4,208.8,106.9,186.0,973.9,219.3,882.7,82.6,387.9,1003.5,986.0,110.5,205.2,359.5,83.0,346.8,649.7,579.2,380.8,155.6,243.5,65.3,108.0,9.3
BE,780.7,878.1,829.2,430.0,0.0,207.2,186.9,68.1,615.9,287.7,138.9,406.9,280.0,850.4,379.6,475.7,95.9,453.5,918.9,413.1,369.4,536.5,740.1,645.5,192.9,146.6,537.7,166.1,185.9,484.6,86.6,465.1,286.1,313.0,274.5,536.3,566.0,798.4,481.8,422.6,384.7,339.8,425.9,203.2,333.5,221.1,362.4,496.2,474.0,784.8,649.9,388.3,73.3,93.7,284.1,439.5,935.6,207.9,289.8,641.8,513.7,155.2,803.9,449.2,121.8,98.6,428.3,282.1,355.4,153.6,850.8,500.8,403.1,433.4,473.6,418.7,279.5,382.5,762.8,726.9,490.6,449.5,350.6,328.7,337.9,419.1,158.0,457.1,754.8,581.5,646.1,494.6,458.6,317.7,497.1,187.7,625.7,534.7,238.6,390.1,454.7,232.8,414.8,458.2,622.0,402.2,552.6,365.2,574.1,442.5,211.9,175.6,470.3,572.7,460.6,413.4,301.1,686.0,138.0,337.8,223.9,123.6,236.7,133.1,438.2,317.5,94.6,199.9,713.4,276.6,401.5,329.2,759.8,300.0,668.6,397.9,119.0,789.4,862.2,343.4,599.1,79.1,459.0,202.2,435.9,239.5,107.4,549.5,202.5,427.8,334.3,427.1
BF,807.2,904.6,855.7,331.9,190.7,0.0,142.7,213.6,505.6,189.6,141.5,308.8,135.0,876.9,281.5,377.6,221.8,480.0,945.4,315.0,271.3,426.2,766.6,544.0,27.7,82.0,564.2,115.9,30.1,374.3,232.3,367.0,188.0,378.0,176.4,426.0,455.7,824.9,371.5,302.8,286.6,194.8,302.8,98.3,398.5,146.1,240.9,398.1,363.7,811.3,676.4,414.8,195.0,253.5,310.6,341.4,962.1,179.6,316.3,668.3,415.6,280.1,830.4,351.1,151.7,219.1,454.8,184.0,211.3,180.1,877.3,396.2,275.6,335.3,365.1,320.6,181.4,221.7,728.7,753.4,392.5,351.4,244.3,211.8,364.4,445.6,184.5,346.8,781.3,608.0,544.6,384.3,360.5,210.9,523.6,207.2,524.2,436.6,138.3,416.6,356.6,131.6,316.7,347.9,520.5,286.9,442.3,265.6,600.6,469.0,149.8,86.6,372.2,462.4,350.3,439.9,327.6,712.5,186.2,228.2,104.8,150.1,301.7,73.6,413.2,206.4,127.4,93.0,739.8,160.5,303.4,184.2,786.3,155.0,695.1,300.1,107.0,815.9,888.7,245.3,488.8,163.8,362.9,267.2,462.4,266.0,192.1,439.2,163.9,326.4,234.5,329.0
BJ,815.1,912.5,863.6,308.2,172.7,172.4,0.0,196.1,486.9,165.9,80.7,285.1,116.3,884.8,257.8,353.9,79.0,487.9,953.3,291.3,247.6,416.5,774.5,610.4,144.4,100.0,572.1,68.6,155.4,355.6,214.3,343.3,164.3,277.9,152.7,380.5,437.0,832.8,352.8,300.8,262.9,183.5,300.8,67.6,298.4,99.3,253.0,374.4,345.0,819.2,684.3,422.7,101.1,235.5,323.6,317.7,970.0,36.8,373.0,676.2,391.9,181.7,838.3,327.4,90.9,76.3,462.7,160.3,192.6,193.1,885.2,379.0,284.4,311.6,346.4,296.9,157.7,203.0,797.5,761.3,368.8,327.7,238.5,206.0,377.4,453.5,197.5,351.8,789.2,615.9,611.0,390.3,336.8,195.9,531.5,220.2,590.6,412.9,51.6,424.5,332.9,97.2,293.0,329.2,586.9,280.4,396.8,243.4,608.5,476.9,24.9,215.1,348.5,443.7,355.3,447.8,372.6,720.4,43.4,216.0,36.9,163.1,201.6,102.6,403.1,195.7,109.4,166.1,747.7,141.8,279.7,172.9,794.2,143.7,703.0,278.9,89.0,823.8,896.6,221.6,470.1,95.9,339.2,167.1,470.3,279.0,117.2,420.5,78.2,302.7,212.5,305.3
BK,806.6,904.0,855.1,456.4,60.0,233.6,212.8,0.0,641.8,313.6,164.8,432.8,305.9,876.3,406.0,501.6,122.3,479.9,944.8,439.5,395.3,562.4,766.0,671.9,219.3,172.5,563.6,192.5,211.8,510.5,35.1,491.5,312.0,338.9,300.4,562.2,592.4,824.3,507.7,449.0,410.6,365.7,448.5,229.1,359.4,247.5,388.3,522.6,499.9,811.2,675.8,414.2,99.1,72.5,310.0,465.4,962.0,233.8,315.7,667.7,539.6,181.6,829.8,475.1,153.2,124.5,454.7,308.0,389.6,180.0,876.7,527.2,429.0,459.3,503.5,444.6,305.9,408.9,788.9,752.8,517.0,475.4,376.5,355.1,364.3,445.0,184.4,483.5,781.2,607.9,672.5,520.5,485.0,344.1,523.0,213.6,652.1,561.1,264.5,416.5,480.6,259.2,440.7,484.6,648.4,428.6,579.0,391.1,600.5,468.9,237.8,202.0,496.2,599.1,487.0,439.8,327.5,712.4,163.9,363.7,250.3,147.8,263.1,159.2,464.6,343.4,121.0,226.3,739.2,302.5,427.9,355.1,786.2,326.4,695.0,423.8,144.9,815.8,888.1,369.8,625.0,105.0,484.9,228.6,462.3,265.4,133.3,575.4,228.9,453.7,360.2,453.0
BL,1130.3,1154.2,1107.6,240.3,653.9,574.1,495.0,676.8,0.0,389.0,561.9,272.9,433.2,1188.9,301.5,333.2,524.9,799.8,1070.5,266.7,279.5,200.9,1089.7,938.5,625.6,522.0,885.8,549.8,552.8,182.2,695.5,213.4,339.3,639.9,393.2,130.5,79.1,1148.0,282.3,274.1,306.0,376.2,274.1,519.2,660.4,408.0,320.0,264.2,260.9,1105.5,999.5,784.7,547.0,716.7,749.6,183.7,1092.8,466.3,735.0,991.4,219.6,655.3,1142.4,217.5,572.1,522.2,759.9,384.0,381.8,639.0,1189.3,163.4,301.3,292.5,218.9,229.8,346.0,371.4,1145.9,1053.4,174.4,246.5,317.3,349.8,803.4,768.7,643.4,241.0,1104.4,901.5,961.8,174.7,313.5,357.6,846.7,657.3,918.7,198.6,447.8,739.7,245.0,548.8,276.0,221.2,915.0,274.0,119.7,296.0,875.4,792.1,468.6,534.3,213.7,65.0,241.0,816.0,734.6,1012.5,532.8,371.4,471.8,609.0,563.6,583.8,765.1,351.2,580.0,564.7,1039.8,384.8,280.7,386.3,1109.4,419.3,1018.2,263.9,570.2,1127.9,1099.5,301.3,25.3,541.8,230.5,529.1,785.5,761.8,563.1,89.9,425.8,235.6,339.9,249.6
BM,834.2,931.6,882.7,208.4,311.0,231.2,152.1,334.4,383.9,0.0,219.0,199.6,111.5,903.9,158.0,254.1,182.0,507.0,972.4,205.8,147.8,316.7,793.6,629.5,282.7,179.1,591.2,206.9,209.9,293.4,352.6,243.5,64.5,297.0,52.9,280.7,334.0,851.9,296.5,215.3,177.4,143.9,215.3,176.3,317.5,65.1,143.5,274.6,288.7,838.3,703.4,441.8,204.1,373.8,406.7,217.9,989.1,123.4,392.1,695.3,292.1,312.4,857.4,227.6,229.2,179.3,481.8,60.5,128.1,296.1,904.3,279.2,184.6,211.8,294.6,197.1,57.9,138.5,816.6,780.4,269.0,227.9,143.3,107.1,460.5,472.6,300.5,266.3,808.3,635.0,630.1,290.5,237.0,96.1,550.6,314.4,609.7,313.1,104.9,443.6,233.1,205.9,193.2,282.1,606.0,194.9,297.0,143.6,627.6,496.0,125.7,191.4,248.7,340.7,269.8,466.9,391.7,739.5,189.9,75.8,128.9,266.1,220.7,240.9,422.2,72.0,237.1,221.8,766.8,103.2,179.9,133.3,813.3,143.4,722.1,179.1,227.3,842.9,915.7,121.8,367.1,198.9,239.4,186.2,489.4,418.9,220.2,317.5,82.9,202.9,112.7,205.5
