from_stop,AI,AP,BA,BC,BR,BX,BZ,CA,CE,CI,CJ,CV,CW,CY,CZ,DO,DW,EJ,EK,EL,EP,ER,FC,FE,FH,FR,FV,GD,GF,GI,GP,GR,GW,GX,HK,HL,HM,HO,HQ,HY,ID,IM,IV,IY,JE,JH,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LV,LX,MD,MJ,MN,MQ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OO,OQ,OS,OW,OX,PA,PB,PO,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VU,VW,WN,WQ,WS,WU,WW,XO,XR,XT,YA,YR,YV,YZ,ZB,ZC,ZL
AI,0.0,79.9,121.2,459.9,86.4,480.0,146.6,123.9,395.6,84.1,161.1,197.9,139.0,98.8,272.8,84.1,401.4,421.2,163.6,184.8,551.9,150.6,600.8,416.4,272.3,237.6,49.9,525.7,488.4,99.7,229.2,176.7,331.8,115.9,493.7,109.7,351.9,147.2,541.9,225.0,198.9,88.8,624.3,342.3,47.6,535.5,305.6,95.9,96.3,169.1,96.9,174.4,2470.8,241.5,124.3,79.9,129.7,380.1,167.8,475.4,330.1,424.7,334.1,311.7,287.5,189.1,174.9,311.0,300.2,363.4,142.1,538.3,179.9,362.3,114.8,584.7,438.2,356.5,298.7,115.1,398.9,618.2,208.6,288.5,312.0,74.7,507.0,131.6,104.1,149.3,135.2,159.1,240.4,59.7,371.8,7.1,128.8,201.1,548.2,265.8,169.1,547.6,349.9,369.4,553.4,41.5,350.6,147.4,172.4,160.8,73.6,541.3,121.2,232.7,516.1,443.0,106.0
AP,64.2,0.0,111.6,474.4,46.1,494.5,166.7,141.9,410.1,70.9,147.9,205.6,159.1,85.6,280.5,104.2,406.1,435.7,75.1,171.6,566.4,137.4,615.3,424.1,280.0,245.3,34.3,525.1,502.9,86.5,236.9,184.4,339.5,46.2,508.2,129.8,359.6,167.3,556.4,232.7,118.9,75.6,638.8,350.0,53.8,550.0,313.3,82.7,102.5,176.8,16.9,94.4,2382.7,249.2,44.3,66.7,116.5,387.8,154.6,485.4,337.8,439.2,341.8,326.2,295.2,196.8,94.9,318.7,307.9,371.1,162.2,552.8,187.6,370.0,121.0,599.2,445.9,364.2,311.2,101.9,406.6,632.7,216.3,296.2,319.7,61.5,521.5,151.7,111.6,169.4,122.0,166.8,248.1,47.9,379.5,58.0,143.3,208.8,555.9,273.5,176.8,562.1,364.4,377.1,561.1,28.7,358.3,134.2,180.1,180.9,61.8,555.8,157.9,240.4,523.8,450.7,26.0
BA,131.2,119.9,0.0,548.0,120.2,565.9,268.1,122.5,480.2,40.0,98.1,288.4,260.5,57.8,363.3,205.6,489.5,509.3,145.7,76.1,659.8,25.7,713.1,506.9,362.8,328.1,74.4,615.8,576.5,24.9,319.7,259.9,433.8,120.3,581.8,231.2,442.4,272.3,649.8,315.5,202.3,88.1,765.0,432.8,170.3,620.1,396.1,70.3,249.8,246.3,94.6,186.5,2456.8,328.5,136.4,81.4,21.0,474.2,65.6,565.9,417.1,509.9,424.6,399.8,378.0,279.6,178.3,401.5,390.7,450.4,263.6,642.7,270.4,452.8,255.8,731.9,528.7,447.0,389.2,9.5,489.4,730.5,299.1,379.0,402.5,76.2,595.1,256.7,106.2,276.3,86.8,249.6,330.9,209.5,462.3,125.0,250.3,291.6,659.3,356.3,259.6,655.5,438.0,459.9,664.5,148.7,441.1,22.5,262.9,282.3,198.9,629.4,101.1,323.2,627.2,530.0,118.1
BC,441.7,455.2,541.0,0.0,453.9,271.2,359.0,540.1,150.0,500.3,526.6,328.9,422.6,515.0,236.4,387.2,108.2,111.7,444.5,601.0,388.8,566.8,419.7,138.5,253.5,327.4,463.7,59.4,28.4,515.9,277.0,402.4,207.6,443.0,284.9,393.2,136.2,430.8,378.8,298.7,566.3,505.0,468.1,187.7,418.9,75.5,191.2,512.1,405.3,394.8,446.3,541.8,2432.6,233.4,491.7,496.1,545.9,189.5,584.0,207.9,179.8,35.1,187.2,147.8,197.5,295.9,542.3,211.4,200.6,190.8,445.2,375.2,305.1,215.4,391.6,403.6,168.4,183.9,216.8,531.3,121.4,437.1,317.0,231.8,195.4,490.9,298.2,434.7,520.3,343.6,551.4,356.0,291.5,405.5,148.5,487.4,383.0,306.0,111.2,209.4,394.8,384.5,106.0,222.5,116.4,422.8,203.7,563.6,337.7,463.9,394.9,173.1,484.2,308.7,79.1,173.2,473.4
BR,85.7,47.3,133.1,453.8,0.0,473.9,226.4,132.2,389.5,92.4,169.4,194.2,206.5,107.1,269.1,151.6,385.5,415.1,55.0,193.1,565.6,158.9,622.4,412.7,268.6,233.9,55.8,513.3,482.3,108.0,225.5,169.2,328.1,35.1,487.6,177.2,348.2,214.7,555.6,221.3,158.4,97.1,670.8,338.6,101.2,529.4,301.9,104.2,149.9,165.4,38.4,133.9,2362.6,237.8,83.8,88.2,138.0,376.4,176.1,474.0,326.4,418.6,330.4,305.6,283.8,185.4,134.4,307.3,296.5,359.7,209.6,552.0,176.2,358.6,118.4,606.3,434.5,352.8,299.8,123.4,395.2,639.8,204.9,284.8,308.3,83.0,500.9,199.1,112.4,211.0,143.5,155.4,236.7,95.3,368.1,79.5,123.4,197.4,565.1,262.1,165.4,561.3,343.8,365.7,570.3,76.1,346.9,155.7,168.7,228.3,109.2,535.2,179.4,229.0,533.0,439.3,65.5
BX,461.6,477.3,559.5,253.2,476.0,0.0,381.1,560.0,186.7,520.2,540.5,352.9,444.7,537.1,258.5,409.3,194.7,214.5,464.4,623.1,259.5,586.7,290.4,354.1,275.6,351.0,488.2,321.0,281.7,538.0,299.1,424.5,252.8,465.1,13.7,415.3,210.4,450.7,249.5,324.9,586.2,524.9,338.8,284.4,438.8,328.8,227.4,534.2,427.4,403.6,468.4,563.9,2303.3,253.3,513.8,516.0,568.0,289.8,606.1,302.3,211.3,215.1,227.9,169.9,217.4,318.0,564.4,233.5,222.7,285.3,467.3,248.1,327.2,256.1,410.6,274.3,265.1,280.6,255.3,553.4,218.1,307.8,341.0,265.5,217.5,513.0,48.2,456.8,542.4,360.2,573.5,378.1,315.1,427.6,245.2,509.5,405.1,332.2,259.5,231.5,416.9,255.2,143.2,263.2,254.2,444.9,244.4,585.7,359.8,483.8,417.0,203.2,486.1,334.9,291.9,267.7,495.5
BZ,142.0,167.1,275.3,369.6,213.1,389.7,0.0,299.3,305.3,234.6,226.9,79.6,56.2,249.3,154.5,51.4,301.3,330.9,203.7,340.0,489.2,269.0,538.2,298.1,159.9,119.3,222.9,399.1,398.1,250.2,120.3,131.5,213.5,202.2,403.4,26.8,233.6,64.4,479.2,106.7,286.1,174.9,586.6,224.0,151.7,445.2,187.3,271.3,138.1,123.9,205.5,261.6,2475.8,123.2,211.5,185.2,284.9,261.8,257.7,359.4,211.8,334.4,215.8,220.2,199.0,100.6,262.1,192.7,181.9,245.1,107.9,475.6,91.4,244.0,124.4,522.1,319.9,238.2,185.2,265.6,280.6,555.6,90.3,170.2,199.9,191.3,416.7,97.4,278.8,15.3,285.7,93.4,122.1,111.4,253.5,149.2,115.8,92.2,429.9,147.5,123.9,484.9,259.6,251.1,435.1,128.7,232.3,265.8,106.7,126.6,100.8,451.0,209.6,123.8,397.8,324.7,193.2
CA,136.1,124.8,148.2,552.9,125.1,570.8,325.4,0.0,488.6,141.6,194.6,293.3,275.2,162.9,368.2,220.3,494.4,514.2,154.1,211.8,664.7,177.6,721.5,511.8,367.7,333.0,79.3,620.7,581.4,126.7,324.6,272.1,427.2,125.2,586.7,245.9,447.3,283.4,654.7,320.4,127.9,113.6,769.9,437.7,178.7,628.5,401.0,122.9,227.4,264.5,99.5,117.8,2461.7,336.9,119.4,106.9,156.7,475.5,221.6,570.8,425.5,514.8,429.5,404.7,382.9,284.5,103.9,406.4,395.6,458.8,278.3,651.1,275.3,457.7,250.1,705.4,533.6,451.9,394.1,142.1,494.3,738.9,304.0,383.9,407.4,101.7,600.0,267.8,31.8,304.6,162.2,254.5,335.8,172.8,467.2,129.9,222.5,296.5,664.2,361.2,264.5,660.4,442.9,464.8,669.4,153.6,446.0,174.4,267.8,297.0,186.7,634.3,184.7,328.1,632.1,538.4,123.0
CE,374.2,387.7,473.5,116.3,386.4,201.5,291.5,472.6,0.0,432.8,513.6,263.9,355.1,447.5,168.9,319.7,57.8,77.6,377.0,533.5,321.3,499.3,352.2,219.4,186.0,261.4,398.6,184.1,144.8,448.4,209.5,331.1,140.1,375.5,217.4,325.7,73.5,363.3,311.3,233.7,498.8,435.3,400.6,147.5,351.4,191.9,126.2,444.6,337.8,314.0,378.8,474.3,2365.1,165.9,424.2,428.6,478.4,152.9,516.5,165.4,112.3,81.1,124.5,80.3,130.0,228.4,474.8,143.9,133.1,150.6,377.7,307.7,237.6,152.7,321.0,336.1,128.2,143.7,154.1,463.8,81.2,369.6,252.0,164.3,127.9,423.4,230.7,367.2,452.8,273.6,483.9,288.5,225.5,338.0,108.3,419.9,315.5,241.0,227.6,141.9,327.3,317.0,38.5,159.8,232.8,355.3,141.0,496.1,270.2,396.4,327.4,289.5,416.7,243.7,195.5,133.0,405.9
CI,91.1,79.8,40.6,507.9,80.1,528.0,233.0,85.9,443.6,0.0,68.7,248.3,231.3,14.6,323.2,176.4,449.4,469.2,109.1,100.6,619.7,66.4,676.5,466.8,322.7,288.0,34.3,575.7,536.4,15.5,279.6,227.1,393.7,80.2,541.7,202.0,402.3,239.5,609.7,275.4,162.2,48.0,724.9,392.7,173.8,583.5,356.0,30.2,220.6,219.5,54.5,146.4,2416.7,291.9,96.3,41.3,45.5,434.1,83.6,528.1,380.5,472.7,384.5,359.7,337.9,239.5,138.2,361.4,350.6,413.8,234.4,606.1,230.3,412.7,226.6,660.4,488.6,406.9,353.9,30.9,449.3,693.9,259.0,338.9,362.4,36.1,555.0,223.9,66.1,241.6,51.0,209.5,290.8,127.8,422.2,84.9,177.5,251.5,619.2,316.2,219.5,615.4,397.9,419.8,624.4,108.6,401.0,63.2,222.8,253.1,169.7,589.3,70.8,283.1,587.1,493.4,78.0
