from_stop,AH,AI,AL,AM,AP,AZ,BD,BE,BF,BJ,BK,BL,BM,BU,BX,CC,CP,CT,CW,CY,DB,DE,DL,DV,DW,EB,EE,EG,ES,EV,EX,EY,EZ,FA,FB,FK,FN,FX,FY,GE,GN,GP,GR,HA,HE,HI,HN,HR,HS,HX,IB,IC,IJ,IS,IT,JB,JH,JQ,JS,JX,JZ,KC,KE,KF,KG,KJ,KT,KX,LI,LN,LQ,LV,LX,MD,MF,MG,MH,MN,MP,MT,NB,NC,NL,NM,NR,NU,NV,NW,NY,NZ,OD,ON,OP,OS,OW,OZ,PD,PJ,PK,PQ,PR,PT,PV,PW,PZ,QE,QF,QO,QR,QT,QV,RG,RH,RK,RL,RN,RT,RX,RZ,SB,SM,SN,SQ,SR,ST,SX,TD,TF,TJ,TK,TO,TX,TZ,UD,UF,UM,UN,UO,UP,US,UU,VA,VK,VN,VO,VQ,VV,VY,VZ,WC,WF,WI,WN,WO,WR,WT,WV,WW,WZ,XA,XE,XH,XI,XJ,XO,XV,YC,YH,YJ,YP,YQ,YW,YX,YZ,ZH,ZK,ZM,ZO,ZV
AH,0.0,916.7,937.6,932.0,331.4,210.3,207.4,971.1,1003.7,888.4,929.7,196.4,694.4,871.0,323.8,766.5,935.8,382.3,363.8,955.4,930.7,60.3,997.1,294.4,183.4,42.9,550.1,848.2,971.8,892.3,1056.9,877.4,1008.7,956.0,517.9,860.2,202.4,529.5,747.1,1064.4,667.2,565.9,546.0,963.5,154.8,230.7,166.3,145.2,130.5,865.6,306.3,965.2,1005.3,883.5,373.0,713.3,381.8,474.4,1045.5,1073.5,1086.3,416.6,871.3,1022.6,1117.2,531.4,978.4,862.8,1001.0,988.4,447.4,950.9,998.6,379.1,491.3,893.3,1007.1,1063.6,704.9,854.1,1005.6,190.7,920.7,534.2,218.2,348.5,276.9,92.8,668.9,750.2,834.0,273.4,893.4,810.3,490.5,600.8,184.9,164.2,1138.8,170.2,149.4,920.3,1206.3,233.2,972.0,875.8,976.5,525.7,312.0,245.5,942.3,384.7,1156.3,840.1,416.7,908.8,361.7,927.2,518.5,964.1,382.2,465.9,934.5,762.7,536.6,102.9,220.3,984.5,941.8,838.1,1009.6,541.7,575.1,259.3,1120.0,979.1,868.0,897.0,837.5,932.4,1043.3,1047.0,933.0,1046.3,761.0,1213.2,942.8,884.6,887.0,368.2,800.1,927.4,783.7,985.3,323.8,679.2,1082.5,1036.2,1041.6,210.0,162.1,567.0,902.0,521.7,423.2,1550.3,976.2,185.7,210.0,124.0,180.3,1146.5,884.4,517.0,865.6,515.3,201.8,417.5,319.6
AI,965.0,0.0,119.5,148.8,952.9,1122.8,1119.9,458.9,353.4,399.4,469.0,1033.2,494.5,382.0,989.3,468.6,73.8,1003.8,835.3,367.1,211.5,951.0,101.5,988.9,876.9,955.4,927.2,226.8,149.5,313.8,330.5,317.0,436.7,448.6,895.0,386.7,1114.9,906.6,513.5,198.1,564.3,943.0,923.1,46.7,1067.3,986.5,895.9,936.1,969.5,464.7,994.9,384.7,256.6,364.5,1070.5,531.9,834.1,851.5,128.7,171.9,220.0,1154.6,415.3,561.9,385.6,908.5,82.8,373.8,377.9,132.9,845.5,438.7,81.8,1117.1,868.4,404.3,518.1,185.6,540.3,433.7,303.6,1103.2,89.6,911.3,997.4,970.0,971.4,978.2,632.6,516.6,413.6,1185.9,127.1,178.8,867.6,669.7,914.5,893.8,317.6,1082.7,955.7,206.9,479.9,985.7,55.2,162.4,144.8,902.8,933.5,935.9,248.6,1082.2,429.9,126.7,793.8,263.9,1099.7,213.8,895.6,348.5,1003.7,843.0,186.8,535.2,913.7,961.9,893.4,271.1,228.4,381.5,302.1,915.2,952.2,949.7,224.4,356.0,151.9,408.0,417.1,282.8,316.9,162.7,424.5,215.6,429.1,486.8,435.4,136.3,519.8,989.7,476.3,82.9,449.7,68.5,1041.3,610.9,376.9,119.4,146.0,1122.5,860.9,944.1,446.0,872.3,1161.2,1520.1,262.8,1098.2,1122.5,983.0,1092.8,420.1,387.4,894.1,383.5,853.4,892.2,1066.1,994.8
AL,1009.3,108.7,0.0,29.2,1087.3,1167.1,1164.2,511.1,405.6,533.8,521.2,1077.5,628.9,516.4,1123.7,551.9,92.0,1138.2,969.7,518.7,263.7,995.3,59.4,1123.3,921.2,999.7,1061.6,108.6,197.6,422.6,360.4,432.5,588.3,500.8,1029.4,490.3,1159.2,1041.0,647.9,220.5,698.7,1077.4,1057.5,98.9,1111.6,965.4,940.2,980.4,1013.8,599.1,1129.3,536.3,308.8,458.7,1114.8,662.1,968.5,985.9,131.1,220.0,181.6,1198.9,545.5,614.1,343.5,1042.9,40.7,508.2,430.1,181.0,979.9,490.9,134.0,1161.4,1002.8,538.7,652.5,145.8,670.5,568.1,355.8,1147.5,76.9,1045.7,952.9,1104.4,1105.8,1022.5,762.8,651.0,548.0,1230.2,54.3,139.2,1002.0,804.1,958.8,938.1,275.5,1127.0,1000.0,315.7,450.6,967.9,107.4,305.7,192.9,1037.2,1067.9,980.2,364.1,1126.5,400.6,235.5,928.2,398.3,1144.0,322.6,1030.0,400.7,1138.1,977.4,234.9,665.4,1048.1,1006.2,937.7,414.4,337.2,515.9,354.3,1049.6,1086.6,994.0,182.3,408.2,79.1,542.4,551.5,391.6,373.7,214.9,476.7,267.8,563.5,457.5,487.6,63.5,603.1,1124.1,559.6,83.6,533.0,120.7,1085.6,741.1,334.8,139.5,103.9,1166.8,905.2,1078.5,576.2,1006.7,1205.5,1447.3,378.3,1142.5,1166.8,1027.3,1137.1,390.8,539.0,1028.5,477.7,987.8,936.5,1110.4,1129.2
AM,980.0,138.5,29.7,0.0,1102.9,1137.8,1134.9,526.7,421.2,549.4,536.8,1048.2,644.5,532.0,1139.3,567.5,79.7,1153.8,985.3,534.3,279.3,966.0,89.2,999.8,891.9,970.4,1077.2,79.3,217.3,450.4,390.2,448.1,603.9,516.4,1045.0,505.9,1129.9,1056.6,663.5,250.3,714.3,1093.0,1073.1,114.5,1082.3,936.1,910.9,951.1,984.5,614.7,1144.9,551.9,324.4,474.3,1085.5,677.7,984.1,1001.5,160.9,239.7,211.4,1169.6,561.1,629.7,373.3,1058.5,70.5,523.8,445.7,200.7,995.5,506.5,149.6,1132.1,1018.4,554.3,668.1,175.6,686.1,583.7,371.4,1118.2,64.6,1061.3,923.6,1120.0,982.3,993.2,778.4,666.6,563.6,1200.9,42.0,126.9,1017.6,819.7,929.5,908.8,305.3,1097.7,970.7,343.5,480.4,938.6,123.0,325.4,212.6,1052.8,1083.5,950.9,379.7,1097.2,430.4,263.3,943.8,413.9,1114.7,350.4,1045.6,416.3,1153.7,993.0,254.6,681.0,1063.7,976.9,908.4,434.1,405.0,531.5,369.9,1065.2,1102.2,964.7,212.1,423.8,66.8,558.0,567.1,419.4,403.5,230.5,492.3,283.4,579.1,487.3,503.2,51.2,618.7,1139.7,575.2,71.3,548.6,136.3,1056.3,756.7,364.6,169.3,133.7,1137.5,875.9,1094.1,591.8,1022.3,1176.2,1418.2,393.9,1113.2,1137.5,998.0,1107.8,420.6,554.6,1044.1,493.3,1003.4,907.2,1081.1,1144.8
AP,408.7,935.5,956.4,950.8,0.0,566.5,563.6,781.3,813.9,698.6,739.9,476.9,504.6,681.2,36.3,687.3,954.6,45.9,180.0,761.3,884.0,394.7,1015.9,63.7,256.3,399.1,360.3,867.0,961.9,702.5,867.1,719.1,818.9,766.2,328.1,670.4,558.6,339.7,557.3,963.4,477.4,376.1,356.2,982.3,505.6,181.8,288.0,379.8,413.2,695.3,41.9,775.4,815.5,695.9,529.9,523.7,192.0,284.6,1005.4,1063.6,985.3,573.5,689.1,832.8,927.4,341.6,997.2,673.0,811.2,978.5,257.6,761.1,994.5,536.0,301.5,703.5,817.3,1003.9,515.1,664.3,815.8,546.9,939.5,344.4,192.7,58.9,108.2,425.8,479.1,560.4,644.2,629.6,912.2,829.1,297.0,411.0,330.0,303.9,949.0,526.4,399.4,817.2,1016.5,181.0,1019.8,861.8,966.6,335.9,29.3,221.9,784.0,541.6,969.2,858.9,226.9,719.0,514.8,809.5,328.7,774.3,70.1,276.1,921.4,572.9,346.8,405.6,272.8,863.2,795.9,648.3,819.8,351.9,385.3,235.7,1017.3,789.3,886.8,707.2,647.7,742.6,853.5,910.1,743.2,856.5,571.2,1023.4,753.0,903.4,807.8,26.9,705.5,946.2,704.5,1006.8,480.7,489.4,892.7,996.1,1033.4,566.2,240.3,377.2,712.2,331.9,580.1,1659.3,849.4,541.9,566.2,426.7,536.5,956.7,694.6,328.2,675.8,325.5,188.0,574.4,41.8
AZ,216.1,944.3,965.2,959.6,455.3,0.0,78.9,1095.0,1127.6,1012.3,1053.6,380.0,818.3,994.9,447.7,890.4,963.4,506.2,487.7,1079.3,958.3,243.9,1024.7,418.3,367.0,181.8,674.0,875.8,999.4,1016.2,1180.8,1001.3,1132.6,1079.9,641.8,984.1,7.8,653.4,871.0,1092.0,791.1,689.8,669.9,991.1,73.8,354.6,349.9,322.2,314.1,989.5,430.2,1089.1,1129.2,1007.4,162.7,837.2,505.7,598.3,1073.1,1101.1,1113.9,206.3,995.2,1146.5,1241.1,655.3,1006.0,986.7,1124.9,1016.0,571.3,1074.8,1026.2,168.8,615.2,1017.2,1131.0,1091.2,828.8,978.0,1129.5,16.6,948.3,658.1,342.1,472.4,400.8,276.4,792.8,874.1,957.9,192.4,921.0,837.9,614.4,724.7,368.5,347.8,1262.7,131.4,333.0,947.9,1330.2,357.1,999.6,903.4,1004.1,649.6,435.9,369.4,989.6,174.4,1280.2,867.7,540.6,1032.7,151.4,954.8,642.4,1088.0,506.1,589.8,962.1,886.6,660.5,286.5,353.3,1012.1,969.4,962.0,1133.5,665.6,699.0,383.2,1147.6,1103.0,895.6,1020.9,961.4,1056.3,1167.2,1074.6,1056.9,1170.2,884.9,1337.1,1066.7,912.2,1010.9,492.1,924.0,955.0,907.6,1012.9,113.5,803.1,1206.4,1063.8,1069.2,63.5,345.7,690.9,1025.9,645.6,212.9,1491.3,1003.8,104.7,81.5,307.6,123.4,1270.4,1008.3,640.9,989.5,639.2,325.7,207.2,443.5
BD,200.5,984.7,1005.6,1000.0,495.7,86.2,0.0,1135.4,1168.0,1052.7,1094.0,364.4,858.7,1035.3,488.1,930.8,1003.8,546.6,528.1,1119.7,998.7,228.3,1065.1,458.7,351.4,166.2,714.4,916.2,1039.8,1056.6,1221.2,1041.7,1173.0,1120.3,682.2,1024.5,78.3,693.8,911.4,1132.4,831.5,730.2,710.3,1031.5,58.2,395.0,334.3,313.2,298.5,1029.9,470.6,1129.5,1169.6,1047.8,203.1,877.6,546.1,638.7,1113.5,1141.5,1154.3,246.7,1035.6,1186.9,1281.5,695.7,1046.4,1027.1,1165.3,1056.4,611.7,1115.2,1066.6,209.2,655.6,1057.6,1171.4,1131.6,869.2,1018.4,1169.9,66.6,988.7,698.5,382.5,512.8,441.2,260.8,833.2,914.5,998.3,176.8,961.4,878.3,654.8,765.1,352.9,332.2,1303.1,115.8,317.4,988.3,1370.6,397.5,1040.0,943.8,1044.5,690.0,476.3,409.8,1030.0,214.8,1320.6,908.1,581.0,1073.1,191.8,995.2,682.8,1128.4,546.5,630.2,1002.5,927.0,700.9,270.9,388.3,1052.5,1009.8,1002.4,1173.9,706.0,739.4,423.6,1188.0,1143.4,936.0,1061.3,1001.8,1096.7,1207.6,1115.0,1097.3,1210.6,925.3,1377.5,1107.1,952.6,1051.3,532.5,964.4,995.4,948.0,1053.3,153.9,843.5,1246.8,1104.2,1109.6,65.9,330.1,731.3,1066.3,686.0,253.3,1531.7,1044.2,89.1,40.1,292.0,107.8,1310.8,1048.7,681.3,1029.9,679.6,366.1,247.6,483.9
BE,1044.4,456.8,499.8,516.1,783.9,1202.2,1199.3,0.0,250.7,399.9,113.2,1112.6,347.7,362.0,820.3,562.4,436.1,834.8,672.3,248.7,336.5,1030.4,459.9,819.9,892.0,1034.8,758.2,589.1,418.2,152.4,207.8,450.2,306.3,57.5,726.0,113.7,1194.3,737.6,400.4,335.4,395.3,781.1,754.1,401.6,1146.7,817.5,923.7,1015.5,1048.9,473.5,825.9,281.3,303.8,427.0,1165.6,285.3,665.1,682.5,377.4,440.6,357.3,1305.7,176.5,195.0,268.1,739.5,463.1,369.6,144.4,401.6,676.5,32.6,366.5,1268.2,699.4,348.4,446.1,376.5,293.9,442.5,149.0,1182.6,451.9,745.3,828.4,801.0,802.4,1057.6,386.2,403.5,422.4,1265.3,489.4,463.9,698.6,500.7,960.3,939.6,289.7,1162.1,1035.1,267.1,357.2,816.7,391.8,345.3,413.5,733.8,764.5,857.6,341.2,1177.3,313.0,346.4,624.8,272.7,1154.3,259.4,726.6,224.2,834.7,674.0,384.0,288.8,744.7,1041.3,913.6,454.0,245.8,390.3,199.4,746.2,783.2,871.4,407.3,122.5,514.2,408.5,425.9,192.5,194.2,282.1,53.4,276.4,414.3,364.1,44.3,498.6,613.6,820.7,483.7,445.2,495.2,378.8,1121.3,364.5,233.4,368.1,405.4,1201.9,876.0,775.1,199.6,703.3,1312.3,1809.5,355.4,1177.6,1201.9,1062.4,1172.2,297.4,182.0,725.1,406.9,684.4,823.7,1210.1,825.8
BF,1096.4,366.5,486.1,496.5,835.9,1254.2,1251.3,261.2,0.0,283.6,261.8,1164.6,399.7,245.7,872.3,446.1,440.4,886.8,724.3,154.7,232.0,1082.4,462.3,871.9,944.0,1086.8,810.2,510.9,319.4,119.4,114.8,333.9,224.3,250.9,778.0,192.3,1246.3,789.6,420.4,321.7,447.3,833.1,806.1,405.9,1193.3,869.5,975.7,1067.5,1100.9,371.6,877.9,172.3,201.9,310.7,1235.3,337.3,717.1,734.5,381.7,421.1,343.6,1257.9,253.4,354.7,175.1,791.5,449.4,253.3,180.2,336.0,728.5,241.0,370.8,1220.4,751.4,232.1,329.8,364.3,345.9,340.6,105.9,1234.6,456.2,794.3,880.4,853.0,854.4,1113.5,438.2,423.5,320.5,1317.3,445.1,362.0,746.9,552.7,1017.7,991.6,196.7,1214.1,1087.1,165.2,264.2,868.7,396.1,243.4,324.1,785.8,816.5,909.6,239.3,1273.2,216.9,244.5,676.8,170.8,1219.2,157.5,778.6,36.7,886.7,726.0,282.1,340.8,796.7,1093.3,960.5,352.1,143.9,288.4,67.5,798.2,835.2,923.4,277.3,158.3,419.7,292.2,324.0,90.6,101.2,296.5,226.8,242.9,336.0,271.1,237.7,436.3,497.3,872.7,381.8,449.5,427.2,383.1,1168.4,416.5,140.4,372.4,409.7,1253.9,928.0,827.1,276.5,755.3,1264.5,1707.6,253.5,1229.6,1253.9,1114.4,1224.2,204.4,175.0,777.1,290.6,736.4,875.7,1241.4,877.8
BJ,945.5,445.1,540.7,557.0,685.0,1103.3,1100.4,362.0,245.6,0.0,320.6,1013.7,226.6,26.3,721.4,226.2,477.0,735.9,567.4,169.2,281.4,931.5,500.8,721.0,793.1,935.9,659.3,584.1,356.8,201.1,298.8,114.0,172.5,346.9,627.1,251.1,1095.4,638.7,245.6,374.6,296.4,675.1,655.2,442.5,1047.8,718.6,824.8,916.6,950.0,196.8,727.0,120.5,228.4,90.8,1066.7,297.7,566.2,583.6,418.3,458.5,396.5,1110.3,240.3,413.5,359.1,640.6,504.0,33.4,364.2,373.4,577.6,341.8,407.4,1072.8,600.5,48.6,118.6,414.3,289.3,165.8,289.9,1083.7,492.8,643.4,729.5,702.1,703.5,958.7,452.5,248.7,145.7,1166.4,523.1,440.0,599.7,401.8,861.4,840.7,412.4,1063.2,936.2,248.5,448.2,717.8,432.7,256.7,361.5,634.9,665.6,758.7,178.9,1078.4,398.2,289.0,525.9,131.9,1055.4,202.0,627.7,206.0,735.8,575.1,319.5,347.1,645.8,942.4,809.6,258.1,188.4,113.6,251.5,647.3,684.3,772.5,430.2,342.3,497.7,8.6,149.2,214.2,285.2,328.4,323.9,269.4,161.2,455.1,333.7,514.3,277.4,721.8,207.0,486.1,207.3,419.7,1017.5,430.8,324.4,409.0,446.3,1103.0,777.1,676.2,271.0,604.4,1116.9,1716.5,244.3,1078.7,1103.0,963.5,1073.3,388.4,169.5,626.2,70.7,585.5,724.8,1111.2,726.9
