from_stop,AG,AK,AL,AM,AN,AO,AS,AT,BA,BK,BM,BP,BV,BY,CE,CF,CG,CI,DC,DE,DH,DP,DT,DV,EK,ES,EY,FC,FD,FE,FH,FO,FP,FQ,FW,GD,GI,GJ,GW,HE,HG,HT,HU,HZ,IB,IF,IJ,IO,IR,IW,JE,JF,JI,JJ,JP,JX,JZ,KF,KL,KN,KY,KZ,LA,LE,LI,LJ,LO,LW,MC,ME,MI,MN,MR,MT,NB,NG,NI,OC,OP,OV,PB,PJ,PR,PT,PZ,QC,QF,QJ,QK,QL,QQ,QR,QS,QT,RG,RI,RP,RQ,RR,RT,SH,SM,SX,SY,TO,TQ,TR,TX,UF,UH,UL,UN,UQ,UR,UU,VB,VF,VG,VH,VP,VW,WA,WF,WJ,WS,WU,WV,WX,XI,XK,XO,XP,XQ,XW,YG,YJ,YR,YV,YW,ZC,ZK,ZS,ZT,ZY
AG,0.0,64.4,414.7,1041.8,834.6,1077.3,877.4,872.9,356.0,1510.5,816.2,763.6,782.9,717.8,894.2,383.9,215.7,423.0,1025.7,532.8,447.8,902.2,731.9,499.6,458.5,145.1,808.6,820.0,152.3,946.4,856.7,207.0,429.7,1067.1,155.7,173.5,858.0,1100.9,166.6,806.2,880.1,805.0,1092.1,847.5,794.1,402.7,582.7,797.0,844.0,740.3,846.0,919.6,804.0,803.3,847.8,1109.3,1018.5,118.8,138.4,1086.9,839.8,133.1,158.0,166.5,825.9,682.0,34.9,779.2,790.4,147.0,924.5,47.0,915.1,508.9,783.4,909.3,794.7,119.4,341.0,610.9,182.4,296.6,816.3,415.3,783.5,755.5,984.4,789.7,972.9,566.1,442.3,42.6,959.0,916.6,834.6,357.1,316.6,827.8,789.8,495.5,967.4,787.1,647.8,1043.9,811.1,157.8,309.7,889.6,148.2,1036.2,151.2,762.9,146.3,380.6,601.7,805.3,319.3,128.8,800.9,387.4,159.4,808.0,817.4,780.1,139.5,806.8,687.6,815.5,645.1,762.7,1099.4,795.8,943.9,372.5,956.2,300.7,698.5,1020.4,129.4,466.0,210.9,771.0,697.3,817.1
AK,64.4,0.0,350.2,993.3,786.1,1028.8,828.9,824.4,291.5,1462.0,767.7,715.1,734.4,669.3,845.7,335.4,151.2,358.5,977.2,468.3,399.3,853.7,683.4,435.1,394.0,80.6,760.1,771.5,105.2,897.9,808.2,142.5,381.2,1018.6,146.8,139.7,809.5,1052.4,102.1,757.7,831.6,756.5,1043.6,799.0,745.6,354.2,518.2,748.5,795.5,691.8,797.5,871.1,755.5,754.8,799.3,1060.8,970.0,163.6,73.9,1038.4,791.3,68.6,99.5,118.0,777.4,633.5,99.4,730.7,741.9,191.8,876.0,106.6,866.6,444.4,734.9,860.8,746.2,183.9,276.5,546.4,124.2,274.2,767.8,392.9,735.0,707.0,935.9,741.2,924.4,501.6,419.9,107.1,910.5,868.1,786.1,292.6,252.1,779.3,741.3,431.0,918.9,738.6,583.3,995.4,762.6,202.6,300.8,841.1,109.3,987.7,215.7,714.4,81.8,316.1,537.2,756.8,296.9,193.3,752.4,338.9,223.9,759.5,768.9,731.6,204.0,758.3,639.1,767.0,580.6,714.2,1050.9,747.3,895.4,324.0,907.7,236.2,650.0,971.9,128.1,401.5,146.4,722.5,648.8,768.6
AL,427.9,363.4,0.0,768.9,564.6,807.3,607.4,532.2,196.0,1459.1,546.2,493.6,512.9,447.8,553.5,562.4,361.4,234.8,755.7,186.5,626.3,632.2,461.9,153.3,270.3,323.8,538.6,550.0,348.4,605.7,586.7,315.2,608.2,797.1,316.2,369.9,588.0,830.9,307.9,528.7,610.1,538.0,822.1,577.5,524.1,581.2,298.4,527.0,518.6,465.3,576.0,578.9,534.0,459.6,577.8,839.3,748.5,457.6,289.2,816.9,569.8,311.8,342.7,345.0,555.9,412.0,425.4,433.3,444.5,487.4,654.5,400.6,645.1,162.6,513.0,591.3,524.7,437.3,350.1,196.1,354.4,231.7,546.3,225.1,513.5,371.4,714.4,519.7,702.9,151.3,260.1,424.6,689.0,575.9,478.8,280.3,325.1,557.8,519.8,80.7,697.4,541.9,232.5,773.9,541.1,482.0,470.2,576.1,352.5,763.0,466.9,492.9,337.4,187.5,186.9,535.3,215.3,449.3,536.6,565.9,475.1,538.0,547.4,510.1,455.2,536.8,417.6,545.5,230.3,492.7,829.4,525.8,673.9,551.0,686.2,340.2,428.5,750.4,371.3,117.9,278.9,501.0,427.3,547.1
AM,1041.8,978.3,746.5,0.0,384.9,97.4,273.0,464.2,809.0,1690.4,552.3,443.9,449.6,568.0,482.6,1048.7,976.3,849.7,112.9,730.0,1112.6,425.9,362.0,696.8,888.1,938.7,498.8,514.9,963.3,537.7,377.5,930.1,1097.4,25.2,931.1,984.8,540.8,68.6,922.8,520.9,625.2,417.1,59.8,529.3,466.4,1067.5,665.9,496.4,508.5,593.4,458.1,508.0,473.4,538.9,368.6,77.0,107.7,1060.3,904.1,57.5,530.0,929.6,960.5,962.8,432.5,536.1,1028.1,516.8,507.7,1105.2,168.2,1017.5,128.8,729.0,482.4,497.7,315.5,1052.2,963.7,722.6,969.3,849.5,521.6,840.0,585.4,521.9,89.9,459.1,305.9,680.7,875.0,1032.7,289.1,505.0,449.6,898.1,940.0,497.6,459.2,804.3,297.5,544.5,761.9,144.2,498.4,1096.9,1088.0,480.9,970.3,97.9,1081.8,360.4,952.3,802.4,713.4,472.5,833.1,1064.2,473.2,1052.2,1090.0,328.8,489.8,467.4,1073.0,418.9,537.8,427.6,756.8,450.0,57.5,504.0,170.1,1040.2,168.3,955.1,569.3,82.1,986.2,779.8,896.7,624.1,556.2,489.4
AN,853.2,792.6,560.8,362.7,0.0,407.5,198.3,383.9,625.2,1532.7,528.9,149.6,130.3,418.3,405.2,863.0,790.6,664.0,404.5,544.3,926.9,136.3,128.7,511.1,699.5,753.0,405.9,424.9,777.6,457.4,103.0,744.4,908.8,388.0,745.4,799.1,450.8,421.8,737.1,438.4,532.3,97.8,413.0,439.3,373.5,881.8,480.2,412.3,189.2,440.8,142.3,430.6,383.4,219.6,81.9,430.2,339.4,874.6,715.0,407.8,437.1,741.0,771.9,774.2,118.7,347.5,842.4,197.5,188.4,916.6,245.4,829.8,236.0,540.4,398.7,420.3,69.3,864.3,778.0,536.9,783.6,660.9,431.6,654.3,496.2,266.7,305.3,369.1,293.8,492.1,689.3,844.1,279.9,427.6,127.4,709.5,754.3,404.7,369.2,615.8,288.3,455.6,573.8,364.8,408.4,916.1,899.4,400.6,781.7,357.1,896.1,81.0,766.6,616.7,527.7,387.3,644.5,873.7,380.3,866.5,904.3,57.4,401.7,377.4,884.4,48.9,388.1,108.3,571.1,360.0,420.3,411.1,264.8,851.6,277.1,769.4,462.5,341.3,800.5,653.0,708.1,471.5,370.5,396.5
AO,1082.4,1021.8,790.0,113.2,428.4,0.0,316.5,504.0,854.4,1731.0,657.9,486.6,492.3,610.7,525.3,1092.2,1019.8,893.2,152.7,773.5,1156.1,466.5,404.7,740.3,928.7,982.2,538.6,557.6,1006.8,577.5,421.0,973.6,1138.0,138.5,974.6,1028.3,583.5,172.3,966.3,571.1,665.0,459.8,163.5,572.0,506.2,1111.0,709.4,536.2,551.2,633.2,500.8,550.7,516.1,581.6,412.1,180.7,150.4,1103.8,944.2,158.3,569.8,970.2,1001.1,1003.4,480.7,576.7,1071.6,559.5,550.4,1145.8,211.7,1059.0,172.3,769.6,522.6,540.4,359.0,1093.5,1007.2,766.1,1012.8,890.1,564.3,883.5,625.2,562.5,133.4,501.8,346.5,721.3,918.5,1073.3,332.6,547.7,489.4,938.7,983.5,537.4,501.9,847.8,341.0,588.3,803.0,186.9,541.1,1145.3,1128.6,520.7,1010.9,138.5,1125.3,401.0,995.8,845.9,756.9,515.2,873.7,1102.9,513.0,1095.7,1133.5,372.3,529.6,510.1,1113.6,461.6,580.5,470.3,800.3,492.7,170.8,543.8,213.6,1080.8,211.0,998.6,609.1,122.7,1029.7,823.3,937.3,663.9,599.7,529.2
AS,872.9,812.3,580.5,241.6,218.9,245.6,0.0,334.1,644.9,1622.7,488.0,275.3,281.0,440.8,355.4,882.7,810.3,683.7,161.1,564.0,946.6,257.0,193.4,530.8,719.2,772.7,368.7,387.7,797.3,407.6,211.5,764.1,928.5,266.9,765.1,818.8,413.6,300.7,756.8,401.2,495.1,248.5,291.9,402.1,336.3,901.5,499.9,366.3,339.9,463.3,289.5,380.8,346.2,370.3,202.6,307.5,123.1,894.3,734.7,286.7,399.9,760.7,791.6,793.9,269.4,367.2,862.1,348.2,339.1,936.3,126.7,849.5,117.3,560.1,352.7,370.5,149.5,884.0,797.7,556.6,803.3,680.6,394.4,674.0,455.3,353.0,186.6,331.9,175.1,511.8,709.0,863.8,161.2,377.8,278.1,729.2,774.0,367.5,332.0,638.3,169.6,418.4,593.5,148.5,371.2,935.8,919.1,350.8,801.4,266.9,915.8,191.5,786.3,636.4,547.4,345.3,664.2,893.4,343.1,886.2,924.0,162.8,359.7,340.2,904.1,250.3,410.6,259.0,590.8,322.8,280.8,373.9,146.1,871.3,60.8,789.1,439.2,251.1,820.2,613.8,727.8,494.0,390.2,359.3
AT,779.8,719.2,487.4,477.0,401.4,483.9,350.7,0.0,551.8,1529.6,227.5,377.5,383.2,180.3,31.2,789.6,717.2,590.6,432.3,470.9,853.5,427.7,295.6,437.7,626.1,679.6,140.1,128.8,704.2,83.4,382.2,671.0,835.4,505.2,672.0,725.7,185.0,539.0,663.7,172.6,266.5,350.7,530.2,120.9,122.4,808.4,406.8,105.8,442.1,202.8,391.7,56.6,131.0,399.9,373.3,547.4,430.0,801.2,641.6,525.0,171.3,667.6,698.5,700.8,371.6,228.2,769.0,375.8,387.0,843.2,397.8,756.4,388.4,467.0,92.2,69.0,320.2,790.9,704.6,463.5,710.2,587.5,89.7,580.9,194.8,352.1,457.7,166.3,446.2,418.7,615.9,770.7,432.3,53.6,380.3,636.1,680.9,101.2,126.7,545.2,440.7,198.4,500.4,466.5,142.6,842.7,826.0,88.7,708.3,535.1,822.7,326.6,693.2,543.3,454.3,78.7,571.1,800.3,177.5,793.1,830.9,333.5,90.8,111.6,811.0,352.5,150.1,361.2,497.7,94.2,537.1,69.2,417.2,778.2,371.1,696.0,178.7,489.4,727.1,520.7,634.7,233.5,192.6,193.7
BA,309.6,245.1,88.7,784.7,586.3,829.0,629.1,553.9,0.0,1480.8,505.0,515.3,534.6,469.5,575.2,481.1,243.1,38.7,777.4,212.7,540.2,653.9,483.6,179.5,74.2,205.5,560.3,571.7,224.2,627.4,608.4,196.9,522.1,818.8,192.0,251.6,609.7,852.6,189.6,550.4,631.8,559.7,843.8,599.2,545.8,495.1,256.7,548.7,613.3,487.0,597.7,600.6,555.7,554.3,593.6,861.0,770.2,396.9,170.9,835.0,591.5,193.5,224.4,226.7,572.1,433.7,307.1,528.0,539.2,395.4,676.2,281.4,666.8,188.8,528.8,613.0,546.4,345.3,162.3,290.8,236.1,152.0,568.0,143.5,529.3,507.2,736.1,541.4,724.6,240.1,170.5,306.3,704.1,597.6,573.5,88.5,133.3,579.5,541.5,175.4,719.1,563.6,327.2,795.6,562.8,390.0,351.9,597.8,234.2,785.3,374.9,514.6,219.1,60.5,275.7,557.0,97.0,357.3,558.3,479.8,383.1,559.7,569.1,531.8,363.2,558.5,439.3,567.2,325.0,514.4,851.1,547.5,689.7,464.9,707.9,148.4,450.2,772.1,253.0,145.9,153.1,522.7,449.0,568.8
BK,1616.9,1570.7,1546.6,1749.0,1610.7,1796.7,1653.5,1649.0,1644.8,0.0,1592.3,1539.7,1559.0,1493.9,1670.3,1626.7,1560.1,1683.6,1801.8,1530.1,1690.6,1678.3,1508.0,1496.9,1719.1,1612.5,1584.7,1596.1,1637.1,1722.5,1632.8,1674.4,1672.5,1777.2,1514.9,1671.6,1634.1,1811.0,1634.0,1582.3,1656.2,1581.1,1802.2,1623.6,1570.2,1645.5,1466.0,1573.1,1510.5,1516.4,1622.1,1695.7,1580.1,1521.9,1623.9,1819.4,1774.1,1638.3,1605.8,1797.0,1615.9,1600.5,1631.4,1543.7,1503.7,1458.1,1606.1,1530.0,1541.2,1666.5,1634.6,1630.1,1625.2,1526.2,1559.5,1685.4,1570.8,1660.1,1541.7,1522.7,1656.1,1646.7,1592.4,1640.1,1559.6,1531.6,1694.5,1565.8,1749.0,1477.9,1675.1,1607.8,1735.1,1692.7,1470.7,1623.3,1605.4,1603.9,1565.9,1602.1,1743.5,1563.2,1559.6,1799.5,1587.2,1677.3,1668.9,1665.7,1641.2,1746.3,1691.9,1539.0,1613.7,1669.4,1513.5,1581.4,1630.3,1669.5,1577.0,1630.2,1700.1,1584.1,1593.5,1556.2,1680.2,1534.6,1463.7,1591.6,1556.9,1538.8,1809.5,1571.9,1654.0,1615.3,1711.8,1589.5,1474.6,1730.5,1660.0,1639.3,1621.9,1547.1,1473.4,1593.2
