from_stop,AF,AI,AK,AM,AQ,AT,BE,BO,BV,BZ,CC,CE,CL,CO,CP,DB,DK,DN,DQ,DR,DW,EB,EF,EI,EJ,EN,EP,ET,FF,FJ,FL,FO,FQ,FR,FT,FW,FX,FZ,GD,GG,GI,GK,GR,GT,GV,HA,HB,HD,HG,HH,HO,HP,HT,IF,IS,IT,IY,IZ,JE,JM,JP,JS,JV,KB,KC,KE,KH,KI,KL,KN,KO,KP,KQ,KR,KS,KZ,LC,LU,ME,MH,ML,MW,NB,NK,NO,NT,NU,NX,NZ,OE,OG,OK,OR,PA,PC,PD,PE,PG,PN,PP,QD,QE,QH,QY,RD,RN,RY,SB,SJ,SL,SQ,SU,SX,TE,TL,TN,TO,TS,TY,UL,UM,UO,UV,VA,VF,VR,VV,VW,VX,WA,WE,WJ,WN,WR,WW,WY,XC,XI,XK,XO,YE,YF,YI,YJ,YT,YX,YY,ZE,ZI,ZT
AF,0.0,961.5,156.4,1383.2,739.1,241.5,1418.2,202.6,355.3,1440.9,632.1,206.7,1417.6,160.1,283.9,555.1,564.5,210.2,1432.9,994.6,913.7,210.0,885.7,1420.1,413.9,130.4,668.2,514.9,875.2,233.6,417.7,501.3,1037.3,177.0,226.6,1440.4,321.5,78.3,651.8,146.6,499.4,1477.1,510.0,774.8,166.9,1433.0,216.9,1425.9,476.2,562.5,218.9,240.0,615.8,602.7,197.5,923.4,12.1,263.2,490.6,526.7,1384.8,1381.9,380.3,1015.4,1327.4,123.5,485.5,1421.9,199.9,306.5,194.4,520.2,1438.8,1467.4,33.2,1396.7,1437.3,1346.8,136.0,242.5,1445.9,440.3,712.8,1695.7,448.9,122.5,308.3,216.7,289.7,736.0,764.5,225.9,1410.3,1426.8,793.4,210.7,217.6,569.3,1369.2,154.8,187.6,1406.9,722.8,274.7,926.9,1443.7,1351.6,1420.2,823.4,665.6,1440.4,502.0,282.9,722.6,73.7,1329.9,200.8,986.5,1027.3,500.6,225.5,1414.5,668.4,569.2,924.1,157.9,293.4,1388.7,999.0,112.6,300.1,1454.2,1395.8,165.3,731.7,579.3,634.1,485.1,1363.5,333.3,479.8,220.3,1037.2,177.5,24.6,113.5,208.2,1079.0,1466.2,86.1
AI,961.0,0.0,969.5,2183.0,221.2,903.2,2218.0,889.2,587.9,2240.7,322.2,914.5,2217.4,1050.9,945.6,862.3,792.8,955.2,2230.1,33.0,120.6,925.9,97.7,2219.9,529.6,995.5,396.4,613.4,89.2,841.0,525.4,808.5,92.5,948.9,810.3,2240.2,1059.2,986.1,788.1,1072.0,657.6,2276.9,817.2,379.7,959.0,2232.8,925.1,2223.1,783.4,391.4,870.9,823.7,752.1,739.0,975.8,132.6,961.0,710.1,463.3,427.2,2184.6,2181.7,610.0,224.6,2124.1,1002.4,468.4,2221.7,901.8,1041.6,936.8,618.7,2238.6,2267.2,925.1,2196.5,2237.1,2146.6,883.8,829.5,2245.7,503.6,441.0,1627.8,495.0,1071.6,1006.9,924.9,984.9,340.9,369.4,970.9,2210.1,2226.6,398.3,953.1,960.0,705.6,2166.4,950.1,985.7,2206.7,327.7,939.0,136.1,2243.5,2151.4,2220.0,428.3,315.8,2240.2,809.2,970.0,450.8,991.0,2129.7,905.3,195.7,82.5,599.1,809.2,2214.3,285.5,445.6,37.4,1074.0,955.1,2188.5,54.2,1003.7,1015.1,2254.0,2195.6,887.4,336.6,374.6,770.4,583.6,2163.3,1028.5,707.7,928.5,92.4,945.2,955.8,951.6,910.1,288.2,2266.0,874.1
AK,150.7,995.8,0.0,1531.0,773.4,86.2,1566.0,296.9,389.6,1588.7,666.0,300.6,1565.4,81.3,143.1,589.4,598.8,56.3,1578.1,1028.9,948.0,53.5,920.0,1567.9,448.2,25.9,702.5,549.2,909.5,138.4,452.0,535.6,1071.6,20.5,206.6,1588.2,167.6,111.7,686.1,102.4,533.7,1624.9,544.3,809.1,10.5,1580.8,311.2,1571.1,510.5,596.8,313.2,155.7,650.1,637.0,76.9,957.7,162.9,297.5,524.9,561.0,1532.6,1529.7,414.6,1049.7,1472.1,32.8,519.8,1569.7,89.9,150.0,37.9,554.5,1586.6,1615.2,127.1,1544.5,1585.1,1494.6,230.3,149.9,1593.7,474.6,747.1,1790.0,483.2,175.9,154.4,311.0,133.2,770.3,798.8,72.0,1558.1,1574.6,827.7,54.2,61.1,603.6,1514.4,175.3,86.8,1554.7,757.1,136.5,961.2,1591.5,1499.4,1568.0,857.7,699.9,1588.2,536.3,126.4,756.9,107.1,1477.7,86.4,1020.8,1061.6,534.9,170.2,1562.3,702.7,603.5,958.4,104.4,141.3,1536.5,1033.3,148.6,146.2,1602.0,1543.6,259.1,766.0,613.6,668.4,519.4,1511.3,176.8,513.7,314.6,1071.5,170.4,175.4,146.9,81.6,1113.3,1614.0,180.4
AM,1428.0,2179.9,1584.5,0.0,1957.5,1537.9,120.1,1439.0,1573.7,142.8,1850.1,1442.7,119.5,1588.2,1580.3,1773.5,1782.9,1589.9,268.9,2213.0,2132.1,1560.6,2104.1,122.0,1632.3,1558.5,1886.6,1733.3,2093.6,1475.7,1636.1,1719.7,2255.7,1583.6,1445.0,167.2,1693.9,1506.4,1870.2,1574.7,1717.8,180.5,1728.4,1988.4,1593.7,184.1,1453.3,125.2,1694.6,1780.9,1455.3,1458.4,1834.2,1821.1,1610.5,2141.8,1415.8,1481.6,1709.0,1745.1,164.8,268.1,1598.7,2233.8,123.9,1551.6,1703.9,123.8,1536.5,1676.3,1571.5,1738.6,277.4,218.5,1433.4,108.3,139.2,245.6,1354.4,1464.2,147.8,1658.7,1931.2,2082.4,1667.3,1550.6,1641.6,1453.1,1619.6,1949.6,1978.1,1605.6,256.2,230.0,2007.0,1587.8,1594.7,1787.7,78.2,1582.9,1615.7,245.5,1936.4,1573.7,2145.3,200.8,250.4,258.8,2037.0,1884.0,191.5,1720.4,1604.7,1941.0,1501.8,270.5,1540.0,2204.9,2245.7,1719.0,1443.9,300.7,1886.8,1787.6,2142.5,1576.7,1589.8,90.6,2217.4,1543.3,1649.8,205.3,97.7,1401.2,1945.3,1797.7,1852.5,1703.5,30.1,1663.2,1697.8,1456.7,2255.6,1579.9,1410.6,1541.6,1544.8,2297.4,217.3,1362.7
AQ,739.7,222.3,748.2,1960.2,0.0,681.9,1995.2,667.9,366.6,2017.9,100.9,693.2,1994.6,829.6,724.3,641.0,571.5,733.9,2007.3,255.4,174.5,704.6,146.5,1997.1,308.3,774.2,175.1,392.1,136.0,619.7,304.1,587.2,298.1,727.6,589.0,2017.4,837.9,764.8,566.8,850.7,436.3,2054.1,595.9,298.7,737.7,2010.0,703.8,2000.3,562.1,170.1,649.6,602.4,530.8,517.7,754.5,184.2,739.7,488.8,242.0,205.9,1961.8,1958.9,388.7,276.2,1901.3,781.1,247.1,1998.9,680.5,820.3,715.5,397.4,2015.8,2044.4,703.8,1973.7,2014.3,1923.8,662.5,608.2,2022.9,282.3,219.7,1546.8,273.7,850.3,785.6,703.6,763.6,259.9,288.4,749.6,1987.3,2003.8,317.3,731.8,738.7,484.3,1943.6,728.8,764.4,1983.9,246.7,717.7,187.7,2020.7,1928.6,1997.2,347.3,94.5,2017.4,587.9,748.7,229.5,769.7,1906.9,684.0,247.3,288.1,377.8,587.9,1991.5,64.2,224.3,184.9,852.7,733.8,1965.7,259.8,782.4,793.8,2031.2,1972.8,666.1,255.6,153.3,549.1,362.3,1940.5,807.2,486.4,707.2,298.0,723.9,734.5,730.3,688.8,339.8,2043.2,652.8
AT,217.0,909.5,66.2,1571.6,687.1,0.0,1606.6,261.3,303.3,1629.3,579.7,286.6,1606.0,147.6,56.8,503.1,512.5,51.9,1618.7,942.6,861.7,22.6,833.7,1608.5,361.9,92.2,616.2,462.9,823.2,52.1,365.7,449.3,985.3,45.6,120.3,1628.8,155.9,162.3,599.8,168.7,447.4,1665.5,458.0,722.8,55.7,1621.4,297.2,1611.7,424.2,510.5,243.0,69.4,563.8,550.7,72.5,871.4,229.2,211.2,438.6,474.7,1573.2,1570.3,328.3,963.4,1512.7,99.1,433.5,1610.3,40.9,138.3,33.5,468.2,1627.2,1655.8,193.4,1585.1,1625.7,1535.2,296.6,63.6,1634.3,388.3,660.8,1779.2,396.9,242.2,103.6,297.0,81.6,684.0,712.5,67.6,1598.7,1615.2,741.4,49.8,56.7,517.3,1555.0,126.3,82.4,1595.3,670.8,50.2,874.9,1632.1,1540.0,1608.6,771.4,613.6,1628.8,450.0,74.8,670.6,167.2,1518.3,37.4,934.5,975.3,448.6,83.9,1602.9,616.4,517.2,872.1,170.7,66.3,1577.1,947.0,179.9,111.8,1642.6,1584.2,290.2,679.7,527.3,582.1,433.1,1551.9,125.2,427.4,300.6,985.2,121.4,241.7,127.8,32.6,1027.0,1654.6,246.7
BE,1410.5,2162.4,1567.0,109.6,1940.0,1520.4,0.0,1421.5,1556.2,37.9,1832.6,1425.2,0.6,1570.7,1562.8,1756.0,1765.4,1572.4,251.4,2195.5,2114.6,1543.1,2086.6,104.5,1614.8,1541.0,1869.1,1715.8,2076.1,1458.2,1618.6,1702.2,2238.2,1566.1,1427.5,149.7,1676.4,1488.9,1852.7,1557.2,1700.3,163.0,1710.9,1970.9,1576.2,166.6,1435.8,107.7,1677.1,1763.4,1437.8,1440.9,1816.7,1803.6,1593.0,2124.3,1398.3,1464.1,1691.5,1727.6,147.3,250.6,1581.2,2216.3,128.4,1534.1,1686.4,19.8,1519.0,1658.8,1554.0,1721.1,259.9,201.0,1415.9,112.8,121.7,204.4,1336.9,1446.7,130.3,1641.2,1913.7,2064.9,1649.8,1533.1,1624.1,1435.6,1602.1,1932.1,1960.6,1588.1,238.7,212.5,1989.5,1570.3,1577.2,1770.2,82.7,1565.4,1598.2,228.0,1918.9,1556.2,2127.8,183.3,209.2,241.3,2019.5,1866.5,174.0,1702.9,1587.2,1923.5,1484.3,187.5,1522.5,2187.4,2228.2,1701.5,1426.4,283.2,1869.3,1770.1,2125.0,1559.2,1572.3,73.1,2199.9,1525.8,1632.3,187.8,22.3,1383.7,1927.8,1780.2,1835.0,1686.0,89.9,1645.7,1680.3,1439.2,2238.1,1562.4,1393.1,1524.1,1527.3,2279.9,199.8,1345.2
BO,205.0,920.0,326.3,1443.5,697.6,260.0,1478.5,0.0,313.8,1501.2,590.2,25.2,1477.9,407.7,302.4,513.6,523.0,312.0,1490.6,953.1,872.2,282.7,844.2,1480.4,372.4,352.3,626.7,473.4,833.7,197.8,376.2,459.8,995.8,305.7,167.1,1500.7,416.0,243.9,610.3,312.2,457.9,1537.4,468.5,733.3,315.8,1493.3,35.8,1483.6,434.7,521.0,16.2,180.5,574.3,561.2,332.6,881.9,205.0,221.7,449.1,485.2,1445.1,1442.2,338.8,973.9,1384.6,359.2,444.0,1482.2,258.6,398.4,293.6,478.7,1499.1,1527.7,169.1,1457.0,1497.6,1407.1,127.8,186.3,1506.2,398.8,671.3,1643.6,407.4,288.1,363.7,35.6,341.7,694.5,723.0,327.7,1470.6,1487.1,751.9,309.9,316.8,527.8,1426.9,306.9,342.5,1467.2,681.3,295.8,885.4,1504.0,1411.9,1480.5,781.9,624.1,1500.7,460.5,326.8,681.1,239.3,1390.2,262.1,945.0,985.8,459.1,166.0,1474.8,626.9,527.7,882.6,314.2,311.9,1449.0,957.5,360.5,371.9,1514.5,1456.1,28.8,690.2,537.8,592.6,443.6,1423.8,385.3,437.9,39.2,995.7,302.0,199.8,308.4,266.9,1037.5,1526.5,118.1
BV,373.0,606.1,381.5,1593.5,383.7,315.2,1628.5,301.2,0.0,1651.2,276.3,326.5,1627.9,462.9,357.6,292.4,301.8,367.2,1640.6,639.2,558.3,337.9,530.3,1630.4,58.5,407.5,312.8,159.5,519.8,253.0,62.3,238.6,681.9,360.9,222.3,1650.7,471.2,398.1,334.2,484.0,203.7,1687.4,247.3,603.4,371.0,1643.3,337.1,1633.6,213.5,207.1,282.9,235.7,298.2,285.1,387.8,568.0,373.0,122.1,135.2,171.3,1595.1,1592.2,22.0,660.0,1534.6,414.4,130.1,1632.2,313.8,453.6,348.8,164.8,1649.1,1677.7,337.1,1607.0,1647.6,1557.1,295.8,241.5,1656.2,84.9,357.4,1699.4,93.5,483.6,418.9,336.9,396.9,564.6,593.1,382.9,1620.6,1637.1,622.0,365.1,372.0,251.7,1576.9,362.1,397.7,1617.2,551.4,351.0,571.5,1654.0,1561.9,1630.5,652.0,310.2,1650.7,239.3,382.0,367.2,403.0,1540.2,317.3,631.1,671.9,145.2,221.2,1624.8,313.0,213.8,568.7,486.0,367.1,1599.0,643.6,415.7,427.1,1664.5,1606.1,299.4,560.3,223.9,316.5,129.7,1573.8,440.5,216.7,340.5,681.8,357.2,367.8,363.6,322.1,723.6,1676.5,286.1
BZ,1426.2,2178.1,1582.7,125.3,1955.7,1536.1,40.9,1437.2,1571.9,0.0,1848.3,1440.9,40.3,1586.4,1578.5,1771.7,1781.1,1588.1,267.1,2211.2,2130.3,1558.8,2102.3,120.2,1630.5,1556.7,1884.8,1731.5,2091.8,1473.9,1634.3,1717.9,2253.9,1581.8,1443.2,165.4,1692.1,1504.6,1868.4,1572.9,1716.0,178.7,1726.6,1986.6,1591.9,182.3,1451.5,123.4,1692.8,1779.1,1453.5,1456.6,1832.4,1819.3,1608.7,2140.0,1414.0,1479.8,1707.2,1743.3,163.0,266.3,1596.9,2232.0,144.1,1549.8,1702.1,60.7,1534.7,1674.5,1569.7,1736.8,275.6,216.7,1431.6,128.5,137.4,220.1,1352.6,1462.4,146.0,1656.9,1929.4,2080.6,1665.5,1548.8,1639.8,1451.3,1617.8,1947.8,1976.3,1603.8,254.4,228.2,2005.2,1586.0,1592.9,1785.9,98.4,1581.1,1613.9,243.7,1934.6,1571.9,2143.5,199.0,224.9,257.0,2035.2,1882.2,189.7,1718.6,1602.9,1939.2,1500.0,203.2,1538.2,2203.1,2243.9,1717.2,1442.1,298.9,1885.0,1785.8,2140.7,1574.9,1588.0,88.8,2215.6,1541.5,1648.0,203.5,38.0,1399.4,1943.5,1795.9,1850.7,1701.7,105.6,1661.4,1696.0,1454.9,2253.8,1578.1,1408.8,1539.8,1543.0,2295.6,215.5,1360.9
