from_stop,AD,AI,AO,CC,CL,CO,CX,CY,DK,DO,DV,EB,EC,ED,EG,EH,EX,FB,FD,FF,FI,FL,FQ,FT,GF,GG,GJ,GN,GO,GQ,HR,IK,IO,IQ,IT,JB,JF,JH,JL,JO,JT,JU,JW,JZ,KF,KN,KV,KW,LD,LK,LU,LX,MG,MI,MO,MQ,ND,NH,NI,NL,NO,NX,OH,OI,OR,PA,PB,PE,PR,PX,PY,PZ,QB,QK,QO,RB,RD,RH,RL,RT,RY,SE,SM,TD,TP,TW,TZ,UM,UU,UV,UX,VB,VH,VN,VV,WC,WF,WM,WR,WU,XG,XN,XO,XX,XZ,YO,ZA,ZE,ZI,ZJ,ZV,ZX
AD,0.0,641.4,279.5,262.1,627.7,76.7,17.7,691.8,582.5,370.7,501.8,245.3,147.8,131.2,214.9,47.1,231.1,220.6,76.7,434.1,250.1,162.2,510.3,458.9,458.1,580.1,478.9,328.9,217.4,240.4,72.6,208.0,468.5,709.1,399.7,143.8,192.0,163.0,652.3,362.2,559.5,560.0,201.6,315.0,605.5,348.7,143.3,442.1,244.0,178.7,224.1,113.1,237.2,633.2,644.3,267.0,542.7,138.0,206.3,576.9,77.2,526.3,305.4,50.0,371.9,225.3,671.1,186.5,193.4,483.7,336.6,380.3,171.7,357.6,278.3,226.1,340.1,203.8,638.3,303.7,174.8,278.9,568.0,175.2,572.8,316.8,270.6,374.9,247.7,366.3,98.4,298.1,222.1,1957.4,208.5,273.7,178.8,464.5,482.9,93.7,647.2,46.4,192.9,153.3,337.8,463.5,506.1,415.0,293.3,220.1,153.5,461.8
AI,593.1,0.0,573.3,528.1,85.6,595.1,607.5,50.3,59.2,846.3,460.8,661.2,623.4,604.8,613.8,611.7,706.7,696.2,595.1,446.1,674.1,673.3,146.1,178.3,300.8,281.5,281.9,752.9,693.0,595.0,593.8,549.3,427.5,156.4,428.5,589.3,594.2,638.6,10.8,837.8,121.9,233.4,617.5,669.6,65.2,595.0,658.8,354.9,659.9,654.3,550.4,588.7,712.8,60.3,87.3,686.2,133.8,595.1,681.9,139.3,548.5,205.8,781.0,574.9,535.7,700.9,29.6,662.1,571.5,442.7,607.0,595.3,647.3,833.2,753.9,492.1,603.7,602.7,437.4,816.4,603.3,698.1,527.3,650.8,60.8,740.8,746.2,798.9,646.6,587.7,619.6,773.7,697.7,1755.8,632.5,640.1,654.4,183.9,441.7,569.3,56.3,578.8,719.1,579.2,606.2,373.0,253.5,414.0,768.9,458.5,629.1,366.3
AO,263.5,522.3,0.0,164.3,508.6,231.1,243.5,572.7,463.4,582.1,429.1,240.1,363.6,204.6,245.5,302.5,469.3,436.4,231.1,367.6,396.3,337.2,391.2,339.8,339.0,461.0,359.8,475.1,454.6,173.9,229.8,47.2,395.1,590.0,333.2,217.2,173.1,367.0,533.2,583.2,440.4,440.9,196.4,248.5,486.4,282.2,332.2,323.0,238.8,394.5,129.3,328.9,453.0,514.1,525.2,265.1,423.6,211.4,422.1,457.8,184.5,407.2,516.8,210.9,305.4,441.1,552.0,402.3,203.2,410.8,270.1,313.8,387.5,586.7,515.5,128.3,273.6,234.4,571.8,484.4,239.3,277.0,448.9,391.0,453.7,463.0,507.8,521.1,278.3,299.8,255.6,504.5,459.3,2062.7,354.7,219.0,358.7,345.4,416.4,309.5,528.1,214.8,367.9,210.9,271.3,341.1,387.0,348.5,530.5,126.7,369.3,395.3
CC,223.5,523.4,161.5,0.0,509.7,191.1,203.5,573.8,464.5,542.1,413.3,218.1,323.7,164.6,234.1,256.7,428.1,396.4,191.1,345.6,356.3,297.2,392.3,346.8,340.1,462.1,360.9,435.1,414.6,151.9,189.8,90.0,380.0,591.1,311.2,175.4,151.1,313.1,534.3,543.2,441.5,442.0,174.4,226.5,487.5,260.2,278.3,392.2,216.8,354.5,145.3,288.9,413.0,515.2,526.3,243.1,424.7,171.4,384.2,458.9,144.5,408.3,476.8,170.9,283.4,401.1,553.1,362.3,212.6,395.2,248.1,291.8,347.5,546.7,475.5,30.1,251.6,223.0,549.6,438.7,199.3,255.0,467.1,351.0,454.8,423.0,467.8,481.1,266.9,277.8,215.6,464.5,419.3,2063.8,314.7,197.0,331.6,346.5,394.4,269.5,529.2,174.8,327.9,172.5,249.3,375.0,388.1,326.5,490.5,156.7,329.3,373.3
CL,575.9,71.2,587.5,543.7,0.0,610.7,623.1,128.9,93.5,829.1,475.0,637.7,606.2,584.2,619.2,594.5,689.5,679.0,610.7,460.3,656.9,656.1,127.5,192.5,315.0,295.7,296.1,735.7,675.8,571.5,609.4,488.3,441.2,139.2,442.7,603.5,570.7,621.4,60.8,820.6,103.3,214.8,594.0,646.1,79.4,578.3,641.6,369.1,636.4,637.1,564.6,571.5,695.6,52.4,103.6,662.7,148.0,591.0,664.7,120.7,564.1,187.2,763.8,590.5,519.0,683.7,108.2,644.9,585.7,456.9,590.3,578.6,630.1,816.0,736.7,507.7,587.0,608.1,451.6,830.6,618.9,674.6,541.5,633.6,42.2,723.6,729.0,781.7,652.0,571.0,635.2,756.5,680.5,1738.6,615.3,616.6,637.2,173.3,455.9,552.1,88.5,594.4,701.9,593.4,589.5,387.2,267.7,428.2,751.7,472.7,611.9,380.5
CO,83.9,634.8,272.9,255.5,621.1,0.0,63.1,685.2,575.9,425.8,494.7,238.2,220.9,123.5,207.2,131.1,286.2,294.1,0.0,427.0,271.2,155.1,503.7,452.3,451.5,573.5,472.3,350.0,272.5,233.3,32.7,201.4,461.4,702.5,392.6,136.1,184.9,171.0,645.7,417.3,552.9,553.4,194.5,307.9,598.9,341.6,136.2,473.6,236.9,255.7,217.5,197.1,310.7,626.6,637.7,259.9,536.1,130.3,279.8,570.3,70.6,519.7,360.5,60.9,364.8,298.8,664.5,260.0,185.7,476.6,329.5,373.2,248.7,412.7,333.4,219.5,333.0,196.1,631.2,296.6,168.2,271.8,548.5,248.7,566.2,337.9,325.7,396.0,240.0,359.2,21.0,353.2,277.2,1999.8,229.6,266.6,176.6,457.9,475.8,177.7,640.6,57.3,185.8,145.6,330.7,456.4,499.5,407.9,348.4,212.4,227.0,454.7
CX,20.7,623.6,261.7,244.3,609.9,58.9,0.0,674.0,564.7,391.5,484.0,227.5,168.6,113.4,197.1,67.9,251.9,241.4,58.9,416.3,261.1,144.4,492.5,441.1,440.3,562.3,461.1,339.9,238.2,222.6,54.8,190.2,450.7,691.3,381.9,126.0,174.2,183.8,634.5,383.0,541.7,542.2,183.8,297.2,587.7,330.9,125.5,424.3,226.2,199.5,206.3,133.9,258.0,615.4,626.5,249.2,524.9,120.2,227.1,559.1,59.4,508.5,326.2,32.2,354.1,246.1,653.3,207.3,175.6,465.9,318.8,362.5,192.5,378.4,299.1,208.3,322.3,186.0,620.5,285.9,157.0,261.1,550.2,196.0,555.0,327.8,291.4,385.9,229.9,348.5,80.6,318.9,242.9,1978.2,219.5,255.9,165.9,446.7,465.1,114.5,629.4,28.6,175.1,135.5,320.0,445.7,488.3,397.2,314.1,202.3,174.3,444.0
CY,639.3,58.8,614.7,569.5,144.5,636.5,648.9,0.0,118.1,892.5,502.2,702.6,669.6,646.2,655.2,657.9,752.9,742.4,636.5,487.5,720.3,719.5,205.0,219.7,342.2,322.9,323.3,799.1,739.2,636.4,635.2,590.7,468.9,202.6,469.9,630.7,635.6,684.8,57.0,884.0,180.8,292.3,658.9,711.0,90.7,636.4,705.0,396.3,701.3,700.5,591.8,634.9,759.0,106.5,146.2,727.6,175.2,636.5,728.1,198.2,589.9,264.7,827.2,616.3,577.1,747.1,43.5,708.3,612.9,484.1,648.4,636.7,693.5,879.4,800.1,533.5,645.1,644.1,478.8,857.8,644.7,739.5,568.7,697.0,119.7,787.0,792.4,845.1,688.0,629.1,661.0,819.9,743.9,1802.0,678.7,681.5,700.6,225.3,483.1,615.5,102.5,620.2,765.3,620.6,647.6,414.4,294.9,455.4,815.1,499.9,675.3,407.7
DK,593.5,61.9,510.2,494.1,101.1,561.1,573.5,112.3,0.0,912.1,419.3,588.1,676.9,534.6,604.1,632.5,760.2,749.7,561.1,423.8,726.3,667.2,77.9,131.1,329.4,265.5,265.9,805.1,746.5,521.9,559.8,438.7,385.5,235.4,406.2,547.2,521.1,692.1,72.8,913.2,85.8,165.2,544.4,596.5,127.2,528.7,648.3,313.4,586.8,707.8,515.3,642.2,766.3,153.6,82.8,613.1,195.8,541.4,735.4,103.2,514.5,137.6,846.8,540.9,469.4,754.4,91.6,715.6,582.6,401.2,540.7,529.0,700.8,886.7,807.4,458.1,537.4,593.0,421.4,784.2,569.3,625.0,485.8,704.3,76.3,793.0,799.7,851.1,636.9,521.4,585.6,834.5,751.2,1843.6,684.7,567.0,707.9,123.7,400.2,622.8,118.3,544.8,697.9,542.5,539.9,331.5,237.5,391.7,822.4,520.5,682.6,350.3
DO,436.1,985.1,646.6,629.2,971.4,441.8,415.3,1035.5,926.2,0.0,616.3,498.1,250.2,496.3,580.0,422.4,170.8,312.0,441.8,609.9,181.2,326.0,854.0,802.6,725.1,829.6,745.9,240.4,262.1,493.5,455.7,575.1,627.0,935.1,575.5,508.9,496.1,350.8,996.0,200.9,903.2,903.7,471.7,490.8,941.4,524.5,359.3,695.1,429.3,231.0,590.8,285.6,328.6,969.1,988.0,454.3,899.0,503.1,256.3,920.6,460.3,870.0,76.0,433.1,559.3,273.1,1014.8,277.9,558.5,608.1,512.4,556.1,321.1,204.4,244.9,593.2,515.9,568.9,860.8,151.0,557.9,466.2,645.9,244.2,916.5,127.4,195.7,138.8,612.8,542.1,462.9,206.0,257.4,2217.4,223.7,581.3,347.5,808.2,658.7,341.6,983.1,429.5,284.0,518.4,513.6,677.9,781.6,590.8,218.4,585.2,346.6,637.6
