from_stop,AF,AH,AO,AS,AT,BA,BM,BP,BQ,BS,BU,BX,CD,CH,CM,CX,DF,DH,DR,DT,DV,EB,EF,EH,EL,EO,EU,FI,FK,FL,FP,FQ,FS,FX,GK,GN,GU,HA,HD,HH,HN,HP,HX,IE,IK,IM,IN,IU,IZ,JD,JL,JP,JY,KA,KB,KH,KJ,KM,KR,KV,KX,LA,LE,LI,LQ,LR,LS,MC,MQ,MS,MT,MU,MZ,NA,NC,NI,NL,OG,OJ,OQ,OS,PB,PL,PV,PW,QA,QE,QF,QJ,QK,QP,QU,QY,RE,RF,RH,RO,RW,RX,RZ,SA,SB,SD,SK,SM,SP,TC,TF,TN,TQ,TW,UD,UQ,US,UY,UZ,VA,VO,VT,VU,VV,VY,VZ,WB,WI,WJ,WM,WP,WR,WV,WY,XA,XC,XG,XJ,XO,XU,YB,YC,YD,YL,YR,YV,ZA,ZB,ZF,ZG,ZM,ZN,ZV,ZW
AF,0.0,957.9,770.8,1485.3,1115.9,1226.7,892.0,1197.9,940.8,1243.6,924.4,717.0,864.4,1397.7,1168.7,453.8,1362.7,940.5,1350.1,1172.1,1162.5,1261.7,1423.2,1099.1,797.6,456.5,1239.5,498.0,833.4,955.3,476.7,2382.0,394.3,1168.5,1072.8,1331.6,833.3,481.0,508.6,852.2,499.7,843.6,1350.4,617.1,891.2,1422.0,1161.0,1216.4,1073.4,846.2,875.9,811.4,1136.4,1256.2,1291.1,1211.2,988.0,1424.3,1087.1,885.6,902.9,1094.3,1223.7,1272.8,536.9,906.4,783.5,1416.9,1260.6,1130.1,1344.8,804.4,884.4,485.0,956.3,393.3,723.5,789.3,884.2,940.5,1076.5,1241.4,481.1,809.9,822.6,1282.2,714.8,1214.1,926.7,1457.3,964.3,1215.7,1206.5,1337.3,955.2,482.1,1222.0,1163.5,1187.7,463.8,1204.2,836.8,873.9,496.8,1180.3,759.5,1182.1,896.6,1347.1,1272.8,447.9,1188.5,1114.0,1486.3,1327.3,1281.8,916.8,822.9,1086.9,892.5,1055.1,1239.5,820.8,1311.2,653.3,787.9,1391.5,988.1,1182.7,846.7,443.0,862.7,1335.7,749.8,1198.3,1209.6,895.3,775.2,479.8,1236.2,1286.5,904.5,820.7,466.1,1189.2,690.9,858.6,1272.0,1245.0,831.4,1298.3
AH,964.6,0.0,337.1,1870.0,1500.6,1611.4,96.2,1582.6,285.5,1628.3,182.1,663.0,128.2,1782.4,1553.4,719.9,1747.4,114.7,1734.8,1556.8,1547.2,1646.4,1807.9,1483.8,263.9,676.5,1624.2,655.8,337.1,213.0,664.1,2102.9,618.5,1553.2,1457.5,1716.3,289.4,638.8,696.0,214.9,625.1,188.3,1735.1,710.3,235.9,1806.7,1545.7,1601.1,1458.1,302.3,192.9,267.5,1521.1,1640.9,1675.8,1595.9,1372.7,1809.0,1471.8,378.5,315.4,1479.0,1608.4,1657.5,641.1,251.1,203.3,1801.6,1645.3,1514.8,1729.5,308.1,110.3,663.2,130.5,731.3,364.5,293.0,201.2,95.2,1461.2,1626.1,680.1,266.0,185.3,1666.9,489.5,1598.8,100.9,1842.0,222.0,1600.4,1591.2,1722.0,299.9,748.2,1606.7,1548.2,1572.4,683.8,1588.9,340.5,286.4,634.2,1565.0,325.8,1566.8,241.3,1731.8,1657.5,638.8,1573.2,1498.7,1871.0,1712.0,1666.5,174.5,289.2,1471.6,255.2,1439.8,1624.2,324.5,1695.9,428.0,251.4,1776.2,1372.8,1567.4,221.3,641.1,159.7,1720.4,445.5,1583.0,1594.3,243.9,244.5,745.9,1620.9,1671.2,255.3,287.0,653.5,1573.9,465.6,314.7,1656.7,1629.7,176.1,1683.0
AO,718.0,339.6,0.0,1709.9,1340.5,1451.3,295.9,1422.5,312.8,1468.2,274.1,476.5,236.4,1622.3,1393.3,473.3,1587.3,318.7,1574.7,1396.7,1387.1,1486.3,1647.8,1323.7,196.1,429.9,1464.1,409.2,235.3,311.6,417.5,2096.2,371.9,1393.1,1297.4,1556.2,235.2,392.2,449.4,224.2,378.5,215.6,1575.0,606.0,263.2,1646.6,1385.6,1441.0,1298.0,248.1,247.9,213.3,1361.0,1480.8,1515.7,1435.8,1212.6,1648.9,1311.7,214.8,181.3,1318.9,1448.3,1497.4,436.8,278.4,155.5,1641.5,1485.2,1354.7,1569.4,206.3,262.6,416.6,334.5,484.7,107.4,191.2,256.2,357.6,1301.1,1466.0,433.5,211.8,194.6,1506.8,249.9,1438.7,304.9,1681.9,314.0,1440.3,1431.1,1561.9,327.2,501.6,1446.6,1388.1,1412.3,437.2,1428.8,238.7,152.3,387.6,1404.9,11.3,1406.7,268.6,1571.7,1497.4,392.2,1413.1,1338.6,1710.9,1551.9,1506.4,229.4,199.9,1311.5,264.5,1279.7,1464.1,222.7,1535.8,192.3,212.0,1616.1,1212.7,1407.3,218.7,394.5,234.7,1560.3,188.4,1422.9,1434.2,267.3,176.7,499.3,1460.8,1511.1,276.5,219.2,406.9,1413.8,226.0,260.5,1496.6,1469.6,203.4,1522.9
AS,1516.1,1895.4,1873.0,0.0,554.3,668.0,1829.5,636.3,2019.1,682.0,1861.9,1663.7,1911.0,83.6,607.1,1463.3,299.8,1897.5,159.0,662.0,671.2,700.1,372.2,537.5,1899.8,1524.9,677.9,1565.1,1935.6,1892.8,1512.1,1994.3,1443.1,606.9,596.1,189.8,1935.5,1548.1,1544.0,1896.4,1534.4,1868.1,140.9,1558.5,1969.5,371.0,731.4,654.8,656.3,1948.4,1974.2,1913.6,746.4,694.6,729.5,683.5,590.5,373.3,632.0,1897.5,1953.6,573.6,662.1,711.2,1645.2,1984.7,1885.7,275.1,699.0,703.6,251.8,1906.6,1893.1,1555.6,1913.3,1560.5,1825.7,1891.5,1982.5,1878.0,621.4,341.6,1528.1,1912.1,1890.0,231.2,1817.0,652.5,1883.7,406.3,1901.8,303.1,742.3,171.8,2033.5,1491.6,757.8,601.9,707.0,1532.2,737.9,1939.0,1925.3,1543.5,653.5,1861.7,620.5,1974.9,284.2,711.2,1486.8,626.9,552.4,55.9,181.8,720.2,1854.3,1925.1,631.8,1936.7,673.4,677.9,1923.0,197.9,1755.5,1890.1,249.7,590.6,621.1,1948.9,1513.6,1942.5,242.7,1852.0,320.1,648.0,1923.7,1877.4,1489.3,674.6,724.9,1935.1,1922.9,1501.5,759.6,1793.1,1960.8,710.4,697.1,1909.7,736.7
AT,1153.5,1532.8,1510.4,535.3,0.0,113.6,1466.9,81.9,1656.5,127.6,1499.3,1301.1,1548.4,447.7,52.7,1100.7,412.7,1534.9,400.1,107.6,116.8,145.7,473.2,16.7,1537.2,1162.3,123.5,1202.5,1573.0,1530.2,1149.5,1733.4,1080.5,52.5,215.5,381.6,1572.9,1185.5,1181.4,1533.8,1171.8,1505.5,400.4,1195.9,1606.9,472.0,177.0,100.4,205.3,1585.8,1611.6,1551.0,192.0,140.2,175.1,129.1,296.3,474.3,251.4,1534.9,1591.0,193.0,107.7,156.8,1282.6,1622.1,1523.1,466.9,144.6,149.2,394.8,1544.0,1530.5,1193.0,1550.7,1197.9,1463.1,1528.9,1619.9,1515.4,240.8,291.4,1165.5,1549.5,1527.4,332.2,1454.4,98.1,1521.1,507.3,1539.2,265.7,187.9,387.3,1670.9,1129.0,203.4,47.5,152.6,1169.6,183.5,1576.4,1562.7,1180.9,99.1,1499.1,66.1,1612.3,397.1,156.8,1124.2,72.5,1.8,536.3,377.3,165.8,1491.7,1562.5,251.2,1574.1,252.3,123.5,1560.4,361.2,1392.9,1527.5,441.5,296.4,66.7,1586.3,1151.0,1579.9,385.7,1489.4,248.3,93.6,1561.1,1514.8,1126.7,120.2,170.5,1572.5,1560.3,1138.9,205.2,1430.5,1598.2,156.0,142.7,1547.1,182.3
BA,1167.1,1546.4,1524.0,659.0,123.6,0.0,1480.5,69.3,1670.1,115.0,1512.9,1314.7,1562.0,571.4,83.1,1114.3,536.4,1548.5,523.8,152.0,142.4,133.1,596.9,140.4,1550.8,1175.9,63.7,1216.1,1586.6,1543.8,1163.1,1798.4,1094.1,81.0,305.3,505.3,1586.5,1199.1,1195.0,1547.4,1185.4,1519.1,524.1,1209.5,1620.5,595.7,63.3,13.2,147.5,1599.4,1625.2,1564.6,78.3,127.6,162.5,15.4,238.5,598.0,319.6,1548.5,1604.6,316.7,47.9,97.0,1296.2,1635.7,1536.7,590.6,84.8,110.0,518.5,1557.6,1544.1,1206.6,1564.3,1211.5,1476.7,1542.5,1633.5,1529.0,309.0,415.1,1179.1,1563.1,1541.0,455.9,1468.0,134.7,1534.7,631.0,1552.8,389.4,74.2,511.0,1684.5,1142.6,89.7,86.0,38.9,1183.2,106.5,1590.0,1576.3,1194.5,160.2,1512.7,130.4,1625.9,520.8,144.2,1137.8,136.8,125.5,660.0,501.0,139.6,1505.3,1576.1,319.4,1587.7,194.5,110.9,1574.0,484.9,1406.5,1541.1,565.2,238.6,69.1,1599.9,1164.6,1593.5,509.4,1503.0,372.0,20.0,1574.7,1528.4,1140.3,120.3,110.7,1586.1,1573.9,1152.5,91.5,1444.1,1611.8,96.2,82.9,1560.7,169.7
BM,939.8,97.2,316.3,1852.1,1482.7,1593.5,0.0,1566.0,247.0,1610.4,89.8,643.1,108.3,1764.5,1535.5,695.1,1729.5,94.8,1716.9,1538.9,1529.3,1628.5,1790.0,1465.9,239.1,651.7,1606.3,631.0,317.2,120.7,639.3,2083.0,593.7,1535.3,1437.6,1698.4,265.0,614.0,671.2,124.3,600.3,96.0,1717.2,690.4,197.4,1788.8,1527.8,1583.2,1440.2,288.4,173.0,247.6,1503.2,1623.0,1657.9,1578.0,1354.8,1791.1,1453.9,329.5,292.9,1461.1,1590.5,1639.6,621.2,212.6,156.5,1783.5,1627.4,1496.9,1711.6,288.2,89.9,638.4,110.6,706.5,343.7,273.1,181.3,75.3,1443.3,1608.2,650.4,246.1,117.9,1649.0,440.5,1580.9,81.0,1824.1,129.7,1582.5,1573.3,1704.1,261.0,723.4,1588.8,1530.3,1554.5,659.0,1586.3,320.6,291.3,609.4,1547.1,305.0,1545.3,202.8,1713.9,1640.0,614.0,1555.3,1480.8,1853.1,1694.1,1648.6,82.2,264.4,1453.7,164.6,1421.9,1606.3,304.6,1678.0,379.0,231.5,1758.3,1354.9,1549.5,192.0,616.3,139.8,1702.5,424.7,1565.1,1576.4,151.6,219.7,721.1,1603.0,1653.3,163.0,262.2,628.7,1556.0,416.6,294.8,1638.8,1611.8,137.6,1665.1
BP,1216.8,1596.1,1573.7,598.6,63.2,60.6,1533.6,0.0,1719.8,44.3,1562.6,1364.4,1611.7,511.0,45.3,1164.0,476.0,1598.2,463.4,134.1,143.3,62.4,536.5,80.0,1600.5,1225.6,70.5,1265.8,1636.3,1593.5,1212.8,1796.7,1143.8,20.6,281.3,444.9,1636.2,1248.8,1244.7,1597.1,1235.1,1568.8,463.7,1259.2,1670.2,535.3,124.0,47.4,208.2,1655.1,1674.9,1614.3,139.0,56.9,91.8,76.1,299.2,537.6,314.7,1598.2,1654.3,256.3,54.7,103.8,1345.9,1685.4,1586.4,530.2,91.6,170.7,458.1,1607.3,1593.8,1256.3,1614.0,1261.2,1526.4,1592.2,1683.2,1578.7,304.1,354.7,1228.8,1612.8,1590.7,395.5,1517.7,71.7,1584.4,570.6,1602.5,329.0,134.9,450.6,1733.8,1192.3,150.4,25.6,99.6,1232.9,144.7,1639.7,1638.3,1244.2,125.6,1562.4,89.0,1675.6,460.4,73.9,1187.5,99.0,65.1,599.6,440.6,82.5,1555.0,1625.8,314.5,1637.4,255.2,40.2,1623.7,424.5,1456.2,1590.8,504.8,299.8,31.3,1669.0,1214.3,1643.2,449.0,1552.7,311.6,40.6,1624.4,1578.1,1190.0,49.6,117.5,1635.8,1623.6,1202.2,152.2,1493.8,1661.5,103.0,89.7,1610.4,99.0
BQ,899.9,273.6,276.4,1891.8,1522.4,1633.2,210.2,1604.4,0.0,1650.1,188.4,672.9,132.7,1804.2,1575.2,655.2,1769.2,252.7,1756.6,1578.6,1569.0,1668.2,1829.7,1505.6,199.2,611.8,1646.0,591.1,331.6,225.9,599.4,2131.7,553.8,1575.0,1479.3,1738.1,318.2,574.1,631.3,138.5,560.4,129.9,1756.9,739.1,55.4,1828.5,1567.5,1622.9,1479.9,331.1,144.2,296.3,1542.9,1662.7,1697.6,1617.7,1394.5,1830.8,1493.6,348.1,253.0,1500.8,1630.2,1679.3,599.4,48.5,116.6,1823.4,1667.1,1536.6,1751.3,302.6,196.6,598.5,268.5,666.6,303.8,287.5,152.5,289.0,1483.0,1647.9,615.4,294.8,108.9,1688.7,405.0,1620.6,238.9,1863.8,228.3,1622.2,1613.0,1743.8,38.0,683.5,1628.5,1570.0,1594.2,619.1,1610.7,335.0,225.7,569.5,1586.8,265.1,1588.6,57.5,1753.6,1679.3,574.1,1595.0,1520.5,1892.8,1733.8,1688.3,143.7,224.5,1493.4,178.8,1461.6,1646.0,319.0,1717.7,343.5,215.1,1798.0,1394.6,1589.2,149.2,576.4,131.0,1742.2,384.8,1604.8,1616.1,181.6,179.8,681.2,1642.7,1693.0,190.8,222.3,588.8,1595.7,381.1,343.5,1678.5,1651.5,79.9,1704.8
BS,1259.9,1639.2,1616.8,641.7,106.3,103.7,1573.3,44.3,1762.9,0.0,1605.7,1407.5,1654.8,554.1,88.4,1207.1,519.1,1641.3,506.5,177.2,186.4,44.8,579.6,123.1,1643.6,1268.7,113.6,1308.9,1679.4,1636.6,1255.9,1839.8,1186.9,63.7,321.9,488.0,1679.3,1291.9,1287.8,1640.2,1278.2,1611.9,506.8,1302.3,1713.3,578.4,167.1,90.5,251.3,1692.2,1718.0,1657.4,182.1,39.3,74.2,119.2,342.3,580.7,357.8,1641.3,1697.4,299.4,97.8,146.9,1389.0,1728.5,1629.5,573.3,134.7,213.8,501.2,1650.4,1636.9,1299.4,1657.1,1304.3,1569.5,1635.3,1726.3,1621.8,347.2,397.8,1271.9,1655.9,1633.8,438.6,1560.8,100.7,1627.5,613.7,1645.6,372.1,178.0,493.7,1777.3,1235.4,193.5,68.7,142.7,1276.0,173.6,1682.8,1669.1,1287.3,168.7,1605.5,135.7,1718.7,503.5,55.9,1230.6,142.1,108.2,642.7,483.7,64.9,1598.1,1668.9,357.6,1680.5,298.3,3.5,1666.8,467.6,1499.3,1633.9,547.9,342.4,74.4,1692.7,1257.4,1686.3,492.1,1595.8,354.7,83.7,1667.5,1621.2,1233.1,78.6,160.6,1678.9,1666.7,1245.3,195.3,1536.9,1704.6,108.3,132.8,1653.5,81.4
