from_stop,AF,AH,AO,AT,BA,BM,BP,BQ,BS,BU,BX,CD,CM,CX,DH,DT,DV,EB,EH,EL,EO,EU,FI,FK,FL,FP,FQ,FS,FX,GK,GU,HA,HD,HH,HN,HP,IE,IK,IN,IU,IZ,JD,JL,JP,JY,KA,KB,KH,KJ,KR,KV,KX,LA,LE,LI,LQ,LR,LS,MQ,MS,MU,MZ,NA,NC,NI,NL,OG,OJ,OQ,OS,PL,PV,PW,QE,QJ,QP,QY,RF,RH,RO,RW,RX,RZ,SA,SB,SD,SK,SM,SP,TC,TF,TQ,TW,UD,UQ,UZ,VA,VO,VT,VU,VV,VY,VZ,WI,WJ,WP,WR,WV,WY,XA,XG,XO,XU,YB,YC,YL,YR,YV,ZA,ZB,ZF,ZG,ZM,ZN,ZV,ZW
AF,0.0,373.5,110.3,515.3,472.1,329.1,489.7,263.2,518.5,296.7,167.1,160.0,478.4,79.6,297.8,521.3,504.2,514.0,501.2,224.2,56.4,539.7,98.6,490.2,287.9,185.6,2102.6,98.9,560.0,468.8,464.4,102.4,211.7,205.0,79.5,255.6,117.9,200.6,510.0,490.0,524.4,487.0,176.3,473.3,501.5,533.6,523.1,563.5,418.9,508.9,252.1,146.9,440.8,583.4,599.2,202.1,227.0,185.3,577.3,499.1,483.1,244.8,52.6,328.1,3.5,163.1,470.6,177.2,280.2,500.2,120.8,420.3,167.5,64.4,377.1,328.6,552.3,193.4,27.7,634.5,548.5,576.7,85.9,512.2,481.4,108.1,154.7,492.9,109.3,510.5,230.4,506.6,146.2,494.6,509.0,571.8,312.5,148.0,496.0,334.4,463.2,491.3,459.1,103.2,207.0,436.6,467.6,179.0,38.7,183.1,97.8,518.7,257.2,201.4,75.0,563.4,311.5,206.0,194.7,532.7,86.9,448.9,591.0,520.1,242.7,509.7
AH,404.1,0.0,428.8,285.6,242.4,81.4,358.9,407.2,288.8,134.3,563.8,303.6,248.7,483.8,197.3,291.6,274.5,284.3,271.5,402.5,460.6,310.0,495.3,260.5,97.1,589.8,2222.3,495.6,330.3,239.1,234.7,499.1,615.9,194.3,483.7,133.4,514.6,229.7,280.3,260.3,294.7,257.3,279.6,243.6,271.8,303.9,293.4,333.8,189.2,279.2,244.5,413.9,211.1,353.7,369.5,598.8,272.4,329.3,347.6,269.4,253.4,293.3,449.3,34.0,400.6,481.6,240.9,355.0,215.6,270.5,525.0,190.6,376.7,468.6,83.0,166.2,322.6,296.7,431.9,404.8,318.8,347.0,490.1,282.5,251.7,369.8,558.9,263.2,407.8,280.8,244.1,276.9,550.4,264.9,279.3,342.1,150.1,344.3,266.3,287.5,233.5,261.6,229.4,428.5,385.3,206.9,237.9,323.0,435.4,315.6,416.3,289.0,131.1,345.4,479.2,333.7,223.9,384.3,598.9,303.0,443.7,219.2,361.3,290.4,243.0,280.0
AO,135.1,390.6,0.0,485.6,489.2,346.2,488.8,203.3,535.6,313.8,202.3,100.1,495.5,137.0,296.9,538.4,521.3,531.1,518.3,164.3,95.8,556.8,159.3,489.9,305.0,243.0,2101.7,134.1,516.2,485.9,481.5,183.7,269.1,222.1,118.9,272.7,153.1,217.7,527.1,507.1,541.5,504.1,193.4,487.3,518.6,550.7,540.2,580.6,436.0,526.0,269.2,87.0,457.9,600.5,616.3,237.3,244.1,125.4,594.4,516.2,497.1,261.9,186.1,345.2,138.7,84.7,487.7,145.6,279.3,517.3,178.2,437.4,235.2,92.4,394.2,345.7,569.4,210.5,107.7,651.6,526.9,593.8,143.3,529.3,496.6,48.2,194.1,510.0,31.4,490.4,247.5,523.7,203.6,511.7,526.1,588.9,329.6,88.1,513.1,351.5,480.3,508.4,476.2,70.1,147.1,453.7,484.7,119.1,173.9,163.0,11.9,535.8,274.3,141.5,176.7,580.5,328.6,146.1,252.1,549.8,85.3,466.0,608.1,537.2,259.8,526.8
AT,501.4,306.8,508.1,0.0,140.7,248.1,90.3,486.5,168.8,277.3,640.0,382.8,113.6,574.7,360.2,90.0,77.8,164.3,42.2,481.8,533.5,279.3,597.0,230.6,240.1,636.1,2258.0,571.8,62.7,208.4,209.4,596.4,662.2,337.3,556.6,276.4,590.8,421.4,247.8,140.3,264.0,302.3,397.1,228.0,241.1,149.0,173.4,232.1,178.5,248.5,387.5,493.2,142.8,323.0,249.5,675.0,421.0,408.6,227.6,238.7,237.8,333.7,546.6,261.4,496.2,566.2,250.2,434.3,342.6,239.8,630.3,212.0,447.7,530.1,310.4,309.2,284.8,414.2,529.2,346.1,73.4,316.3,581.0,244.0,237.3,449.1,638.5,99.6,487.1,4.7,387.1,156.9,596.7,83.4,50.0,227.9,293.1,423.6,234.1,430.5,202.8,101.0,219.4,507.8,464.6,196.2,117.9,402.3,532.7,395.3,495.6,169.0,274.1,422.8,576.5,213.7,366.9,463.6,645.2,272.3,523.0,211.8,247.1,259.7,386.0,160.0
BA,489.3,249.0,514.0,146.1,0.0,184.6,216.0,492.4,139.3,219.5,649.0,388.7,109.2,569.0,366.9,152.1,135.0,144.8,132.0,487.7,545.8,221.5,580.5,192.0,182.3,675.0,2307.5,580.8,190.8,150.6,157.6,584.3,701.1,279.5,568.9,218.6,599.8,314.9,190.0,120.8,206.2,216.0,364.8,189.8,183.3,164.4,153.9,112.7,120.7,190.7,329.7,499.1,91.0,265.2,252.5,684.0,363.2,412.6,230.6,180.9,184.9,413.2,534.5,203.6,484.1,572.1,172.4,440.2,385.2,182.0,610.2,154.2,461.9,553.8,252.6,251.4,165.4,381.9,517.1,226.7,179.3,258.5,575.3,186.2,206.4,455.0,650.8,123.2,493.0,141.3,329.3,137.4,635.6,143.6,139.8,206.0,235.3,429.5,176.3,372.7,145.0,122.1,160.9,513.7,470.5,138.4,98.4,408.2,520.6,400.8,501.5,149.5,216.3,428.7,564.4,203.4,309.1,469.5,684.1,214.5,528.9,154.0,225.2,201.9,328.2,140.5
BM,338.4,80.1,363.1,242.9,194.7,0.0,313.2,344.5,243.1,68.6,496.1,237.9,201.0,418.1,198.0,245.9,228.8,238.6,225.8,336.8,392.9,264.3,429.6,217.8,34.4,524.1,2156.6,429.9,284.6,193.4,189.0,433.4,550.2,128.6,418.0,65.7,448.9,164.0,230.8,214.6,249.0,209.6,213.9,200.9,226.1,256.2,247.7,288.1,146.5,233.5,178.8,346.2,165.4,306.0,323.8,533.1,206.7,261.9,301.9,226.7,207.7,297.0,383.6,34.7,334.9,419.2,195.2,289.3,216.3,224.8,459.3,144.9,311.0,402.9,83.7,100.5,274.9,231.0,369.2,359.1,273.1,304.3,424.4,227.0,206.0,304.1,493.2,217.5,342.1,235.1,178.4,234.2,484.7,219.2,233.6,296.4,96.8,278.6,220.6,221.8,185.8,215.9,183.7,362.8,322.6,161.2,192.2,257.3,369.7,249.9,353.6,243.3,65.4,280.8,416.5,288.0,158.2,321.6,536.2,257.3,376.0,173.5,313.6,244.7,177.3,234.3
BP,480.9,399.3,487.6,96.5,240.7,337.2,0.0,466.0,258.8,369.8,616.1,362.3,210.2,554.2,339.7,190.0,177.8,264.3,101.5,461.3,513.0,353.8,576.5,210.1,329.2,615.6,2237.5,551.3,77.4,282.9,236.4,575.9,641.7,405.3,536.1,368.9,570.3,400.9,322.3,240.3,338.5,281.8,376.6,204.1,315.6,249.0,273.4,332.1,187.2,323.0,452.4,472.7,242.8,394.1,349.5,654.5,432.9,386.2,327.6,313.2,217.3,313.2,526.1,353.9,475.7,545.7,229.7,410.4,322.1,314.3,609.8,309.2,427.2,509.6,402.9,401.7,363.0,393.7,505.3,448.5,88.1,387.4,560.5,318.5,216.8,428.6,618.0,199.6,466.6,104.7,430.7,256.9,576.2,183.4,90.3,327.9,385.6,403.1,308.6,534.7,273.9,201.0,198.9,487.3,440.7,197.6,217.9,381.8,512.2,371.4,475.1,265.6,366.6,398.9,552.6,313.7,459.4,443.1,624.7,346.8,499.1,245.0,347.1,334.2,443.0,278.7
BQ,286.1,414.1,228.4,509.1,512.7,369.7,512.3,0.0,549.1,337.3,360.3,123.7,519.0,295.0,320.4,561.9,544.8,554.6,541.8,202.1,253.8,580.3,317.3,513.4,328.5,356.4,2176.9,292.1,539.7,509.4,505.0,341.7,382.5,245.6,276.9,296.2,311.1,241.2,548.8,530.6,565.0,527.6,216.9,510.8,542.1,574.2,563.7,604.1,459.5,549.5,292.7,213.5,481.4,624.0,639.8,395.3,273.2,89.7,617.9,539.7,520.6,285.4,344.1,368.7,280.9,286.5,511.2,169.1,302.8,540.8,350.6,460.9,258.7,250.4,417.7,369.2,592.9,234.0,265.7,675.1,550.4,617.3,301.3,545.0,520.1,169.4,352.1,533.0,207.4,513.9,271.0,547.2,317.0,535.2,549.6,612.4,353.1,143.9,536.6,375.0,503.8,531.9,499.7,228.1,184.9,477.2,508.2,94.1,317.4,186.5,215.9,559.3,297.8,73.6,334.7,604.0,352.1,183.9,365.5,573.3,243.3,489.5,631.6,560.7,283.3,569.0
BS,546.0,305.7,570.7,171.6,139.6,247.0,241.5,560.5,0.0,276.2,705.7,445.4,112.7,625.7,423.6,68.0,79.8,108.2,157.5,544.4,602.5,278.2,637.2,248.7,250.4,731.7,2266.2,637.5,216.3,218.7,214.3,641.0,757.8,336.2,625.6,275.3,656.5,371.6,258.1,113.6,262.9,272.7,421.5,257.9,240.0,32.5,60.9,231.0,177.4,258.8,386.4,555.8,147.7,321.9,222.8,740.7,419.9,469.3,200.9,249.0,241.6,481.3,591.2,260.3,540.8,640.2,229.1,496.9,441.9,238.7,666.9,210.9,518.6,610.5,309.3,308.1,243.3,438.6,585.2,325.4,204.8,315.2,632.0,242.9,263.1,511.7,707.5,86.5,549.7,166.8,386.0,130.2,692.3,151.1,166.8,201.2,292.0,486.2,233.0,429.4,201.7,138.1,217.6,570.4,538.6,195.1,111.3,464.9,577.3,457.5,569.6,153.7,273.0,485.4,632.5,187.0,365.8,537.6,752.2,271.2,585.6,210.7,220.4,258.6,384.9,122.6
BU,324.4,111.4,349.1,253.2,210.0,67.0,326.5,327.5,256.4,0.0,484.1,223.9,216.3,404.1,229.3,259.2,242.1,251.9,239.1,322.8,380.9,277.6,415.6,228.1,25.8,510.1,2154.9,415.9,297.9,206.7,202.3,419.4,536.2,114.6,404.0,53.7,434.9,150.0,247.9,227.9,262.3,224.9,199.9,211.2,239.4,271.5,261.0,301.4,156.8,246.8,164.8,334.2,178.7,321.3,337.1,519.1,192.7,249.6,315.2,237.0,221.0,248.2,369.6,66.0,320.9,401.9,208.5,275.3,247.6,238.1,445.3,158.2,297.0,388.9,115.0,31.8,290.2,217.0,352.2,372.4,286.4,314.6,410.4,250.1,219.3,290.1,479.2,230.8,328.1,248.4,164.4,244.5,470.7,232.5,246.9,309.7,25.1,264.6,233.9,207.8,201.1,229.2,197.0,348.8,305.6,174.5,205.5,243.3,355.7,235.9,336.6,256.6,51.4,265.7,399.5,301.3,144.2,304.6,519.2,270.6,364.0,186.8,328.9,258.0,163.3,247.6
