from_stop,AA,AH,AK,AM,AO,AS,AU,BH,BT,BW,BZ,CB,CC,CI,CU,CY,CZ,DA,DB,DG,DH,DI,DK,DY,EC,EF,EJ,EL,ET,EX,EZ,FB,FI,FL,FM,FR,FU,FV,GA,GK,GL,GM,GO,GQ,GS,GX,GZ,HC,HU,HV,IC,IF,IH,II,IQ,IR,IS,IU,IV,JB,JF,JH,JN,JP,JU,KC,KE,KG,KR,KS,KU,KY,LE,LG,LP,LR,LS,LT,MG,MJ,MM,MP,NF,NL,NT,NX,OC,OE,OF,OH,OQ,PJ,PL,PP,PQ,PW,PX,QA,QN,QP,QR,QT,QW,QZ,RL,RN,RU,SH,SL,SM,SP,SR,SY,SZ,TB,TI,TN,TS,TU,TX,TY,TZ,UE,UG,UI,UU,VJ,VP,VV,VW,VX,WJ,WK,WL,WT,XB,XC,XG,XR,XV,XX,YD,YG,YM,YN,YS,YW,ZC,ZD,ZM,ZX
AA,0.0,156.2,673.9,720.8,588.5,515.6,536.7,747.6,552.0,410.6,489.0,275.5,346.3,169.0,537.0,401.6,445.9,585.0,212.5,578.3,446.9,539.0,574.1,717.6,730.9,642.5,473.5,190.8,173.9,337.0,420.6,751.2,634.5,779.1,520.9,569.9,626.4,2324.2,481.3,364.3,391.1,536.9,536.5,77.0,85.5,351.1,509.7,372.7,427.3,497.9,629.8,431.5,402.5,206.5,171.5,186.7,369.5,693.6,642.4,374.1,480.9,603.6,187.3,546.6,549.4,173.5,722.7,508.3,558.1,175.3,368.4,462.5,445.1,599.8,701.2,561.8,639.6,596.9,216.7,490.9,466.5,372.4,746.5,426.5,465.5,520.7,402.2,420.5,256.7,606.6,604.0,447.2,356.0,231.5,391.5,552.9,448.1,448.9,553.9,139.4,425.0,168.9,383.0,433.5,370.4,597.9,592.3,616.7,567.2,730.1,344.4,140.3,106.6,202.4,638.9,48.0,421.7,610.1,534.4,304.6,483.9,173.3,504.0,770.8,653.0,785.4,615.0,16.5,472.1,448.9,322.2,521.9,569.2,506.2,651.2,394.5,641.0,545.1,131.0,586.7,407.6,679.3,141.4,400.6,516.4,417.9,57.2,238.6,202.4,553.4,589.2
AH,218.4,0.0,718.1,761.4,632.7,559.8,580.9,791.8,596.2,309.3,533.2,181.0,245.0,155.6,581.2,303.9,490.1,625.6,127.4,622.5,491.1,583.2,618.3,761.8,775.1,683.1,517.7,34.5,111.7,356.9,398.7,795.4,678.7,819.7,565.1,614.1,672.2,2368.4,525.5,334.1,431.5,581.1,580.7,172.9,164.4,249.8,553.9,392.6,467.9,542.1,674.0,483.5,446.7,112.7,97.2,30.4,268.2,737.8,686.6,272.8,525.1,647.8,31.0,582.1,593.6,64.2,766.9,552.5,602.3,96.4,412.6,361.2,489.3,644.0,745.4,606.0,681.7,641.1,129.0,535.1,507.1,350.5,790.7,470.7,509.7,571.7,380.3,319.2,165.4,650.8,648.2,491.4,375.9,194.6,290.2,593.5,346.8,493.1,598.1,127.5,469.2,103.4,281.7,477.7,269.1,642.1,636.5,660.3,614.3,774.3,388.6,184.5,245.4,143.5,683.1,211.9,465.9,654.3,578.6,324.5,528.1,67.5,544.6,815.0,697.2,826.0,659.2,188.3,516.3,493.1,366.4,566.1,613.4,550.4,695.4,438.7,685.2,589.3,135.3,630.9,451.8,723.5,145.7,302.9,560.6,320.2,200.3,147.3,111.1,597.6,633.4
AK,688.4,667.3,0.0,212.3,231.1,406.0,368.0,151.5,289.3,963.1,260.5,773.7,898.8,687.8,361.4,957.7,380.0,367.8,729.8,156.8,308.7,331.2,242.3,43.6,58.5,125.2,294.6,701.9,692.7,889.5,973.1,78.8,94.8,184.3,411.3,232.5,206.5,2445.9,324.7,916.8,379.8,207.2,292.6,582.7,574.2,903.6,400.1,925.2,303.5,264.3,208.3,373.4,311.7,715.1,690.3,697.8,922.0,227.8,220.9,926.6,342.7,249.4,698.4,294.0,335.8,684.6,50.3,274.7,283.2,699.3,360.9,1015.0,354.3,284.1,30.7,197.6,46.4,286.0,731.4,341.3,342.7,924.9,145.6,243.0,327.3,324.5,954.7,973.0,767.8,246.4,268.3,327.0,908.5,745.2,944.0,278.1,1000.6,357.1,319.5,658.2,417.5,687.7,935.5,332.0,922.9,254.1,321.1,102.4,255.4,190.1,387.3,568.3,655.2,724.8,217.4,621.7,238.2,96.4,300.0,857.1,280.9,687.9,256.5,179.6,113.3,175.3,279.3,650.8,333.9,358.1,365.1,278.0,261.4,353.9,60.1,344.5,287.3,215.4,559.3,373.1,355.6,257.8,548.2,956.7,272.5,974.0,610.1,749.7,713.5,350.4,273.5
AM,656.7,639.2,170.9,0.0,226.6,284.0,246.0,35.4,167.3,935.0,301.6,745.6,870.7,659.7,239.4,929.6,289.1,245.8,698.8,224.7,297.2,345.3,212.2,214.6,229.5,232.6,203.7,673.8,664.6,861.4,945.0,249.8,196.0,133.0,289.3,208.0,221.5,2323.9,233.8,888.7,379.7,266.4,191.3,554.6,546.1,875.5,278.1,897.1,305.7,278.4,213.5,282.5,362.9,689.5,662.2,669.7,893.9,54.2,201.1,898.5,228.9,145.9,670.3,192.7,213.8,656.5,221.3,288.8,161.2,666.0,357.0,986.9,405.5,162.1,201.7,199.9,189.8,217.0,703.3,219.3,344.9,896.8,82.1,239.1,317.9,338.6,926.6,944.9,739.7,148.9,146.3,329.2,880.4,722.2,915.9,156.1,972.5,266.2,197.5,630.1,413.6,659.6,907.4,346.1,894.8,140.2,199.1,209.8,129.5,12.9,383.4,540.2,627.1,696.7,239.7,593.6,234.3,203.8,178.0,829.0,295.0,656.3,186.2,128.3,214.5,124.0,157.3,622.7,324.5,409.3,361.2,171.0,189.3,263.0,203.5,395.7,183.3,274.6,531.2,251.1,408.8,181.2,520.1,928.6,176.5,945.9,582.0,721.6,685.4,364.5,151.5
AO,593.0,571.9,237.5,233.6,0.0,251.3,243.5,264.0,199.9,867.7,234.3,678.3,803.4,592.4,272.0,862.3,221.8,278.4,634.4,91.0,255.5,278.0,84.1,281.2,294.5,202.5,136.4,606.5,597.3,794.1,877.7,314.8,198.1,339.1,256.6,56.3,106.7,2306.3,166.5,821.4,308.6,199.1,134.4,487.3,478.8,808.2,245.4,829.8,238.4,211.1,98.7,215.2,295.6,619.7,594.9,602.4,826.6,210.0,111.3,831.2,261.5,139.8,603.0,135.8,246.4,589.2,286.3,221.5,193.8,603.9,289.7,919.6,338.2,153.8,264.8,66.2,201.1,127.8,636.0,251.9,277.6,829.5,262.9,171.8,274.1,271.3,859.3,877.6,672.4,136.8,158.0,261.9,813.1,649.8,848.6,147.2,905.2,198.9,230.1,562.8,346.3,592.3,840.1,278.8,827.5,144.5,190.2,179.7,125.1,246.5,316.1,472.9,559.8,629.4,106.0,526.3,167.0,173.7,210.6,761.7,227.7,592.5,98.3,334.4,216.6,298.2,169.0,555.4,280.7,342.0,293.9,119.8,103.2,195.7,214.8,328.4,177.7,207.3,463.9,283.7,341.5,148.2,452.8,861.3,114.3,878.6,514.7,654.3,618.1,297.2,143.2
AS,536.4,515.3,381.7,293.5,254.0,0.0,61.4,323.9,156.8,811.1,298.0,621.7,746.8,535.8,90.2,805.7,85.9,143.9,577.8,286.1,168.9,246.8,239.6,425.4,438.7,346.7,97.3,549.9,540.7,737.5,821.1,459.0,342.3,388.9,5.2,235.4,267.8,2327.8,61.1,764.8,392.8,244.7,202.0,430.7,422.2,751.6,4.9,773.2,102.5,223.3,259.8,79.3,159.7,563.1,538.3,545.8,770.0,269.9,272.4,774.6,120.6,258.4,546.4,203.4,115.8,532.6,430.5,233.7,150.7,547.3,373.9,863.0,202.3,274.6,409.0,227.3,345.3,262.4,579.4,130.6,141.7,772.9,322.8,235.4,189.6,235.3,802.7,821.0,615.8,261.4,258.8,126.0,756.5,593.2,792.0,214.8,848.6,63.0,129.6,506.2,430.5,535.7,783.5,231.5,770.9,252.7,257.8,323.9,245.9,306.4,349.9,416.3,503.2,572.8,267.1,469.7,230.6,317.9,109.0,705.1,191.7,535.9,165.9,384.2,360.8,358.1,269.8,498.8,196.2,206.1,327.7,187.4,234.7,86.0,359.0,192.5,295.8,252.9,407.3,149.2,205.6,293.7,396.2,804.7,181.9,822.0,458.1,597.7,561.5,261.2,264.0
AU,552.2,531.1,372.4,239.1,284.7,65.0,0.0,269.5,102.4,826.9,306.9,637.5,762.6,551.6,28.7,821.5,101.7,82.4,593.6,295.0,107.4,255.7,270.3,416.1,431.0,355.6,113.1,565.7,556.5,753.3,836.9,451.3,351.2,334.5,70.3,266.1,279.6,2284.2,76.9,780.6,361.2,253.6,207.6,446.5,438.0,767.4,59.1,789.0,118.3,232.2,271.6,95.1,175.5,578.9,554.1,561.6,785.8,215.5,259.2,790.4,59.1,204.0,562.2,209.0,54.3,548.4,422.8,242.6,96.3,563.1,342.3,878.8,218.1,220.2,417.9,258.0,354.2,275.1,595.2,69.1,157.5,788.7,268.4,224.4,128.1,244.2,818.5,836.8,631.6,207.0,204.4,141.8,772.3,609.0,807.8,214.2,864.4,78.8,75.2,522.0,398.9,551.5,799.3,247.3,786.7,198.3,257.2,332.8,191.5,252.0,365.7,432.1,519.0,588.6,297.8,485.5,219.6,326.8,54.6,720.9,200.6,551.7,171.5,329.8,369.7,303.7,215.4,514.6,134.7,221.9,343.5,193.0,247.4,101.8,367.9,208.3,241.4,261.8,423.1,87.7,221.4,239.3,412.0,820.5,187.5,837.8,473.9,613.5,577.3,270.1,209.6
BH,683.3,662.2,135.4,60.8,249.6,307.0,269.0,0.0,190.3,958.0,324.6,768.6,893.7,682.7,262.4,952.6,312.1,268.8,724.7,228.7,320.2,403.1,235.2,179.1,194.0,197.1,226.7,696.8,687.6,884.4,968.0,214.3,160.5,97.5,312.3,231.0,244.5,2346.9,256.8,911.7,398.9,279.1,214.3,577.6,569.1,898.5,301.1,920.1,328.7,336.2,236.5,305.5,383.6,710.0,685.2,692.7,916.9,115.0,224.1,921.5,251.9,168.9,693.3,215.7,236.8,679.5,185.8,346.6,184.2,694.2,380.0,1009.9,426.2,185.1,166.2,222.9,154.3,240.0,726.3,242.3,367.9,919.8,46.6,262.1,340.9,396.4,949.6,967.9,762.7,171.9,169.3,352.2,903.4,740.1,938.9,179.1,995.5,289.2,220.5,653.1,436.6,682.6,930.4,403.9,917.8,163.2,222.1,174.3,156.4,38.6,406.4,563.2,650.1,719.7,262.7,616.6,257.3,168.3,201.0,852.0,352.8,682.8,209.2,92.8,179.0,88.5,180.3,645.7,347.5,430.0,384.2,194.0,212.3,286.0,168.0,416.4,206.3,287.3,554.2,274.1,427.5,204.2,543.1,951.6,199.5,968.9,605.0,744.6,708.4,422.3,174.5
BT,585.7,564.6,298.4,165.1,210.7,155.9,90.8,195.5,0.0,864.1,212.9,671.0,799.8,585.1,72.0,858.7,192.6,78.4,627.1,208.8,129.8,278.1,196.3,342.1,357.0,279.7,115.0,599.2,590.0,790.5,874.1,377.3,275.3,260.5,161.2,192.1,205.6,2210.2,167.8,817.8,287.2,177.7,133.6,480.0,471.5,804.6,150.0,826.2,180.8,254.6,197.6,186.0,209.0,612.4,587.6,595.1,823.0,141.5,185.2,827.6,61.5,130.0,595.7,135.0,46.4,581.9,348.8,265.0,6.1,596.6,268.3,916.0,251.6,146.2,329.2,184.0,278.3,201.1,628.7,51.9,220.0,825.9,194.4,150.4,150.5,266.6,855.7,874.0,665.1,133.0,130.4,204.3,809.5,642.5,845.0,140.2,901.6,169.7,78.6,555.5,324.9,585.0,836.5,274.1,823.9,124.3,183.2,256.9,117.5,178.0,294.7,465.6,552.5,622.1,223.8,519.0,145.6,250.9,59.1,758.1,223.0,585.2,97.5,255.8,293.8,229.7,141.4,548.1,157.1,255.4,272.5,119.0,173.4,192.7,292.0,241.8,167.4,185.9,456.6,83.7,297.7,165.3,445.5,857.7,113.5,875.0,507.4,647.0,610.8,292.5,135.6
BW,386.8,295.9,977.9,1021.2,892.5,819.6,840.7,1051.6,856.0,0.0,793.0,324.9,118.9,366.2,841.0,4.9,749.9,885.4,242.6,882.3,750.9,843.0,878.1,1021.6,1034.9,942.9,777.5,330.5,340.7,215.4,252.6,1055.2,938.5,1079.5,824.9,873.9,930.4,2487.8,785.3,188.0,691.3,840.9,840.5,383.9,375.4,123.7,813.7,210.3,727.7,801.9,933.8,735.5,706.5,257.9,326.2,326.4,142.1,997.6,946.4,82.3,784.9,907.6,327.0,841.9,853.4,293.2,1026.7,812.3,862.1,330.6,672.4,135.3,749.1,903.8,1005.2,865.8,941.5,900.9,296.8,794.9,766.9,204.4,1050.5,730.5,769.5,832.0,234.2,9.8,283.5,910.6,908.0,751.2,196.3,418.5,18.6,853.3,113.8,752.9,857.9,336.6,729.0,332.4,155.6,737.5,39.7,901.9,896.3,920.1,874.1,1034.1,648.4,395.5,432.5,372.5,942.9,434.8,725.7,914.1,838.4,202.7,787.9,296.5,804.4,1074.8,957.0,1085.8,919.0,371.5,776.1,752.9,626.2,825.9,873.2,810.2,955.2,698.5,945.0,849.1,346.3,890.7,711.6,983.3,356.7,110.6,820.4,52.5,383.1,265.4,278.9,857.4,893.2
