from_stop,AE,AI,AQ,AY,BA,BC,BG,BQ,BS,BX,CF,CL,CO,CT,CU,CW,DE,DI,DM,DP,DS,DX,DZ,ED,EF,EG,EJ,EL,EM,EO,EP,EQ,FA,FC,FG,FI,FJ,FL,FN,FV,GB,GE,GF,GG,HD,HE,HI,HJ,HK,HP,HU,IF,IK,IQ,IU,IX,JB,JD,JE,JI,JP,JX,KA,KE,KF,KL,KO,KP,KY,LC,LE,LN,LT,MF,ML,MS,MT,MU,MX,NC,ND,NE,NF,NI,NK,NQ,NT,OA,OC,OD,OE,OF,OL,OM,OQ,OZ,PB,PG,PK,PP,PQ,PR,PV,QH,QL,QM,QN,QO,QP,QT,QW,RA,RB,RF,RH,RJ,RL,RO,RX,SA,SB,SD,SH,SQ,SV,SY,SZ,TA,TC,TG,TI,TM,TQ,TU,TW,UA,UF,UG,UK,UM,UP,UQ,UY,UZ,VD,VF,VN,VP,VR,VS,VZ,WB,WF,WH,WL,WY,WZ,XG,XJ,XN,YA,YF,YJ,YL,YM,YY,ZA,ZB,ZD,ZK,ZL,ZQ,ZR,ZV,ZW,ZX,ZY
AE,0.0,325.1,1168.0,288.4,1025.5,220.4,193.3,97.8,359.0,174.1,68.6,255.7,962.2,193.5,218.6,368.7,1106.0,319.4,268.9,269.7,358.6,377.3,1050.5,172.2,824.3,1012.9,1009.2,1082.8,166.8,283.6,642.8,1088.0,1015.6,1026.7,984.2,90.6,192.1,299.3,213.0,404.8,197.0,210.4,276.2,1006.2,372.7,1022.1,207.3,334.9,770.8,992.1,943.4,312.1,2759.1,270.6,75.7,211.5,1070.4,343.9,212.4,384.8,1009.5,329.2,718.6,381.8,341.3,998.1,220.9,972.4,162.4,718.6,197.4,340.7,215.9,317.8,188.0,108.7,946.7,208.4,192.0,221.6,197.6,996.6,294.4,1013.2,1029.7,408.4,219.8,166.7,296.4,924.5,966.6,202.1,1070.1,958.1,135.8,261.2,998.5,206.3,977.8,1073.6,1129.3,266.1,365.9,1046.0,323.4,716.4,964.0,293.1,1063.8,362.4,419.8,135.8,330.6,1030.4,17.6,1036.3,1027.3,985.7,99.2,211.7,302.2,988.5,931.4,993.8,937.5,220.5,985.0,301.5,987.3,186.9,238.6,321.8,980.1,993.0,261.1,253.0,305.6,997.5,324.2,982.5,175.9,367.2,265.4,330.4,286.0,191.7,316.1,282.4,983.1,252.3,167.8,307.5,253.9,212.8,185.6,416.9,989.4,938.2,284.0,102.0,397.1,1055.5,125.4,1024.5,1123.3,969.9,373.3,114.6,299.5,693.4,221.6,199.0,1017.2,943.9,969.3,983.3,164.5
AI,337.6,0.0,969.5,229.5,827.0,260.4,190.8,316.3,212.8,291.1,297.2,253.2,763.7,240.9,234.3,107.8,907.5,95.6,207.7,267.2,46.2,82.9,852.0,311.8,625.8,814.4,810.7,884.3,240.0,157.1,551.6,889.5,817.1,828.2,785.7,302.3,249.5,63.8,210.5,110.4,201.9,224.5,149.7,807.7,281.5,823.6,275.1,77.4,572.3,793.6,744.9,185.6,2560.6,354.7,312.6,217.0,871.9,49.5,233.8,143.0,811.0,34.8,520.1,87.4,117.5,799.6,257.4,773.9,302.0,517.2,234.0,101.2,266.5,242.2,234.7,249.3,748.2,325.4,290.4,238.9,281.7,798.1,378.5,814.7,831.2,317.2,224.7,275.2,254.4,726.0,768.1,240.4,871.6,759.6,226.5,272.8,800.0,290.4,779.3,875.1,930.8,277.7,219.7,847.5,196.9,517.9,765.5,203.8,865.3,138.6,180.1,226.5,204.1,831.9,338.9,837.8,828.8,787.2,289.1,209.2,210.0,790.0,732.9,795.3,739.0,214.4,786.5,195.2,788.8,271.0,188.2,74.9,781.6,794.5,179.4,250.5,239.4,799.0,66.7,784.0,256.0,72.8,279.8,79.1,193.8,331.3,21.7,240.4,784.6,188.2,276.3,215.3,181.7,249.5,258.8,156.0,790.9,739.7,157.5,256.0,136.2,857.0,297.1,826.0,924.8,771.4,212.9,276.0,233.3,494.9,226.5,196.5,818.7,745.4,770.8,784.8,304.1
AQ,1122.8,916.9,0.0,1016.0,218.0,1048.7,976.0,1104.6,1001.1,1076.3,1082.4,1038.4,305.3,1026.1,1021.1,960.5,67.0,853.9,996.0,1052.4,950.4,910.2,223.0,1100.1,571.6,279.5,287.1,169.7,1028.3,945.4,963.0,97.1,258.1,199.2,313.1,1090.6,1034.7,895.1,995.7,937.7,990.2,1012.8,938.0,295.1,924.3,351.0,1063.4,915.9,717.5,396.5,308.5,973.9,2304.6,1139.9,1097.8,1005.3,150.4,935.7,1019.0,919.3,434.2,921.0,665.3,914.7,875.8,341.2,1042.6,400.7,1090.3,662.4,1022.3,901.4,1054.8,1028.7,1019.9,1037.6,275.6,1110.6,1078.7,1024.1,1066.9,339.7,1163.7,342.1,307.6,960.0,1013.0,1060.4,1042.7,253.4,244.5,1025.6,186.5,301.2,1011.7,1061.1,241.0,1075.6,320.9,178.9,223.1,1066.0,1008.0,179.9,985.2,547.1,307.1,992.1,188.7,896.9,956.4,1011.7,992.4,303.3,1124.1,365.2,356.2,328.8,1074.3,994.4,998.3,317.4,260.3,322.7,276.8,1002.7,328.1,983.5,329.1,1056.2,976.5,913.6,318.7,308.3,967.7,1035.7,1027.7,298.0,877.8,344.6,1044.3,945.4,1068.1,864.9,982.1,1119.6,907.9,1028.7,249.7,976.5,1061.5,1003.6,970.0,1037.8,1047.1,967.7,332.5,267.1,945.8,1044.3,972.8,246.9,1085.4,329.7,217.1,298.8,1001.2,1064.3,1021.6,640.1,1014.8,981.7,322.4,272.8,380.0,312.2,1092.4
AY,282.4,199.9,1051.2,0.0,908.7,202.6,175.4,258.5,209.0,265.6,242.0,237.8,845.4,225.5,58.2,243.5,989.2,202.6,80.7,251.8,233.4,252.1,933.7,254.0,707.5,896.1,892.4,966.0,182.2,133.6,585.3,971.2,898.8,909.9,867.4,244.5,91.7,178.1,195.1,279.6,144.1,141.2,126.2,889.4,315.2,905.3,217.3,209.7,654.0,875.3,826.6,162.1,2642.3,196.9,257.4,159.2,953.6,218.7,76.0,268.0,892.7,204.0,601.8,256.6,224.5,881.3,143.0,855.6,244.2,598.9,150.7,215.5,208.7,29.3,219.3,191.5,829.9,299.9,232.6,146.9,123.9,879.8,220.7,896.4,912.9,350.9,166.9,181.0,221.3,807.7,849.8,82.6,953.3,841.3,171.3,217.8,881.7,132.6,861.0,956.8,1012.5,222.7,215.9,929.2,173.4,599.6,847.2,170.7,947.0,245.6,305.1,171.3,180.6,913.6,283.7,919.5,910.5,868.9,233.9,193.8,134.2,871.7,814.6,877.0,820.7,131.1,868.2,156.6,870.5,113.2,126.1,196.6,863.3,876.2,103.6,235.1,206.3,880.7,199.0,865.7,172.0,242.0,222.0,211.4,118.0,273.5,190.9,207.3,866.3,112.4,157.1,139.5,46.9,191.7,201.0,291.7,872.6,821.4,134.0,198.2,271.9,938.7,239.3,907.7,1006.5,853.1,229.1,218.2,200.2,576.6,168.7,181.1,900.4,827.1,852.5,866.5,246.3
BA,996.8,790.9,214.5,890.0,0.0,922.7,850.0,978.6,875.1,950.3,956.4,912.4,238.3,900.1,895.1,834.5,152.5,727.9,870.0,926.4,824.4,837.3,79.0,974.1,445.6,246.5,161.1,143.1,902.3,819.4,890.1,134.5,132.1,55.2,187.1,964.6,908.7,769.1,869.7,864.8,864.2,886.8,812.0,169.1,851.4,225.0,937.4,789.9,591.5,270.5,182.5,847.9,2392.8,1013.9,971.8,879.3,116.9,809.7,893.0,793.3,308.2,795.0,539.3,841.8,749.8,232.0,916.6,274.7,964.3,536.4,896.3,775.4,928.8,902.7,893.9,911.6,149.6,984.6,952.7,898.1,940.9,221.1,1037.7,216.1,181.6,887.1,887.0,934.4,916.7,127.4,118.5,899.6,116.6,234.2,885.7,935.1,115.0,949.6,197.2,133.9,157.8,940.0,882.0,106.3,859.2,421.1,211.0,866.1,124.1,770.9,830.4,885.7,866.4,177.3,998.1,239.2,230.2,242.4,948.3,868.4,872.3,191.4,134.3,196.7,158.4,876.7,261.1,857.5,203.1,930.2,850.5,787.6,192.7,182.3,841.7,909.7,901.7,265.0,751.8,218.6,918.3,833.0,942.1,738.9,856.1,993.6,781.9,902.7,216.7,850.5,935.5,877.6,844.0,911.8,921.1,841.7,213.9,141.1,819.8,918.3,846.8,63.0,959.4,296.7,151.8,172.8,875.2,938.3,895.6,514.1,888.8,855.7,289.4,146.8,254.0,204.2,966.4
BC,220.5,246.7,1107.6,212.5,965.1,0.0,203.3,168.6,201.6,240.1,208.7,265.7,901.8,253.4,183.8,290.3,1045.6,259.0,159.0,279.7,280.2,298.9,990.1,123.4,763.9,952.5,948.8,1022.4,43.5,127.2,652.8,1027.6,955.2,966.3,923.8,167.5,180.3,224.9,223.0,326.4,48.4,130.2,134.6,945.8,382.7,961.7,14.6,256.5,710.4,931.7,883.0,173.0,2698.7,258.8,231.9,33.3,1010.0,265.5,200.6,322.1,949.1,250.8,658.2,303.4,280.9,937.7,209.1,912.0,113.6,655.3,120.7,262.3,6.1,241.9,247.2,114.5,886.3,274.4,29.9,216.8,185.8,936.2,282.6,952.8,969.3,418.4,69.9,154.9,94.4,864.1,906.2,192.1,1009.7,897.7,145.8,59.2,938.1,194.5,917.4,1013.2,1068.9,64.1,208.5,985.6,163.1,656.0,903.6,91.1,1003.4,302.0,359.2,145.8,143.5,970.0,220.4,975.9,966.9,925.3,208.4,221.7,114.3,928.1,871.0,933.4,877.1,134.9,924.6,99.5,926.9,175.1,120.7,243.4,919.7,932.6,143.2,263.0,103.6,937.1,245.8,922.1,115.7,288.8,63.4,258.2,127.2,113.8,237.7,80.4,922.7,134.4,156.0,110.1,144.0,10.8,24.7,338.5,929.0,877.8,163.5,121.2,318.7,995.1,144.8,964.1,1062.9,909.5,221.7,141.2,97.5,633.0,23.8,209.0,956.8,883.5,908.9,922.9,66.8
BG,208.2,173.2,1016.1,176.3,873.6,232.9,0.0,211.3,277.4,108.2,167.8,62.3,810.3,66.7,106.5,216.8,954.1,167.5,178.1,73.0,206.7,225.4,898.6,247.4,672.4,861.0,857.3,930.9,179.3,221.7,490.9,936.1,863.7,874.8,832.3,204.1,120.1,151.4,16.3,252.9,176.4,189.8,214.3,854.3,220.8,870.2,247.6,183.0,618.9,840.2,791.5,250.2,2607.2,225.3,170.8,191.5,918.5,192.0,104.4,232.9,857.6,177.3,566.7,229.9,189.4,846.2,128.0,820.5,237.6,563.8,180.3,188.8,239.0,205.7,43.8,152.8,794.8,142.5,262.9,109.5,152.3,844.7,249.1,861.3,877.8,256.5,199.2,145.8,285.3,772.6,814.7,112.4,918.2,806.2,97.1,250.1,846.6,161.0,825.9,921.7,977.4,255.0,284.3,894.1,261.5,564.5,812.1,268.4,911.9,210.5,270.0,97.1,268.7,878.5,209.5,884.4,875.4,833.8,147.3,35.0,256.4,836.6,779.5,841.9,785.6,199.9,833.1,259.8,835.4,141.6,218.0,169.9,828.2,841.1,225.8,56.3,294.5,845.6,172.3,830.6,156.8,215.3,254.3,178.5,240.2,266.9,164.2,271.3,831.2,231.7,146.9,261.7,169.1,224.0,198.1,265.0,837.5,786.3,222.1,159.5,245.2,903.6,200.6,872.6,971.4,818.0,277.5,179.5,288.4,541.5,201.0,22.3,865.3,792.0,817.4,831.4,239.7
BQ,117.8,294.8,1155.1,260.6,1012.6,158.6,180.4,0.0,297.2,217.2,177.5,242.8,949.3,230.5,196.2,338.4,1093.1,306.5,207.1,256.8,328.3,347.0,1037.6,110.4,811.4,1000.0,996.3,1069.9,105.0,221.8,629.9,1075.1,1002.7,1013.8,971.3,80.2,157.4,273.0,200.1,374.5,135.2,148.6,214.4,993.3,359.8,1009.2,145.5,304.6,757.9,979.2,930.5,250.3,2746.2,235.9,193.6,150.3,1057.5,313.6,177.7,370.2,996.6,298.9,705.7,351.5,328.4,985.2,186.2,959.5,100.6,702.8,139.1,310.4,154.1,290.0,224.3,46.9,933.8,251.5,130.2,193.9,162.9,983.7,259.7,1000.3,1016.8,395.5,158.0,132.0,234.6,911.6,953.7,169.2,1057.2,945.2,122.9,199.4,985.6,171.6,964.9,1060.7,1116.4,204.3,304.1,1033.1,261.6,703.5,951.1,231.3,1050.9,349.5,407.3,122.9,268.8,1017.5,135.5,1023.4,1014.4,972.8,185.5,198.8,240.4,975.6,918.5,980.9,924.6,158.7,972.1,239.7,974.4,152.2,176.8,291.5,967.2,980.1,199.3,240.1,243.8,984.6,293.9,969.6,134.1,336.9,203.6,306.3,224.2,129.9,285.8,220.6,970.2,190.5,133.1,245.7,192.1,151.0,123.8,386.6,976.5,925.3,222.2,40.2,366.8,1042.6,63.6,1011.6,1110.4,957.0,317.3,79.1,237.7,680.5,159.8,186.1,1004.3,931.0,956.4,970.4,102.7
BS,349.5,188.9,1049.8,238.5,907.3,213.9,266.0,311.9,0.0,366.3,339.1,328.4,844.0,316.1,229.9,232.5,987.8,201.2,203.3,342.4,222.4,241.1,932.3,307.4,706.1,894.7,891.0,964.6,235.6,109.7,640.8,969.8,897.4,908.5,866.0,297.9,263.4,167.1,285.7,268.6,197.5,220.1,102.3,888.0,370.7,903.9,228.6,198.7,652.6,873.9,825.2,65.7,2640.9,368.6,362.3,212.6,952.2,207.7,247.7,264.3,891.3,193.0,600.4,245.6,223.1,879.9,314.7,854.2,297.6,597.5,229.6,204.5,220.0,251.2,309.9,244.9,828.5,400.6,243.9,314.1,295.6,878.4,392.4,895.0,911.5,406.4,220.3,285.3,173.3,806.3,848.4,254.3,951.9,839.9,276.2,191.7,880.3,304.3,859.6,955.4,1011.1,196.6,6.9,927.8,55.8,598.2,845.8,122.7,945.6,244.2,301.4,276.2,58.0,912.2,350.8,918.1,909.1,867.5,338.8,284.4,143.4,870.3,813.2,875.6,819.3,210.0,866.8,114.1,869.1,284.9,183.8,185.6,861.9,874.8,175.0,325.7,158.3,879.3,188.0,864.3,251.6,231.0,218.3,200.4,156.3,326.9,179.9,159.3,864.9,183.8,286.4,139.2,177.3,203.0,240.2,280.7,871.2,820.0,83.4,251.6,260.9,937.3,292.7,906.3,1005.1,851.7,31.1,271.6,152.2,575.2,213.7,271.7,899.0,825.7,851.1,865.1,280.8
BX,159.6,279.3,1122.2,242.6,979.7,245.8,113.7,224.2,351.3,0.0,90.9,147.0,916.4,65.3,172.8,322.9,1060.2,273.6,244.4,183.5,312.8,331.5,1004.7,260.3,778.5,967.1,963.4,1037.0,192.2,275.9,597.0,1042.2,969.8,980.9,938.4,217.0,184.1,257.5,126.8,359.0,192.5,202.7,268.5,960.4,326.9,976.3,260.5,289.1,725.0,946.3,897.6,304.4,2713.3,262.6,88.5,203.8,1024.6,298.1,170.7,339.0,963.7,283.4,672.8,336.0,295.5,952.3,192.1,926.6,250.5,672.8,193.2,294.9,251.9,272.0,59.8,165.7,900.9,34.2,275.8,175.8,189.6,950.8,286.4,967.4,983.9,362.6,212.1,158.7,298.2,878.7,920.8,177.3,1024.3,912.3,69.7,263.0,952.7,198.3,932.0,1027.8,1083.5,267.9,358.2,1000.2,315.7,670.6,918.2,294.9,1018.0,316.6,376.1,69.7,322.9,984.6,141.9,990.5,981.5,939.9,65.0,91.8,294.5,942.7,885.6,938.7,891.7,212.8,939.2,303.3,941.5,178.9,230.9,276.0,934.3,947.2,253.4,166.8,307.4,951.7,278.4,936.7,169.7,321.4,267.2,284.6,278.3,279.8,270.3,284.2,937.3,244.6,159.8,299.8,235.4,236.9,211.0,371.1,943.6,892.4,276.3,172.4,351.3,1009.7,213.5,978.7,1077.5,924.1,371.6,192.4,301.3,647.6,213.9,110.5,971.4,898.1,923.5,937.5,252.6
