from_stop,AD,AF,AJ,AK,AM,AQ,AR,AV,AY,AZ,BE,BK,CG,CI,CJ,CK,CP,CR,DI,DK,DQ,DT,DV,DY,EE,EH,EJ,EK,EM,EN,EQ,FH,FM,FN,GF,GI,GN,GQ,GW,GY,HF,HK,HL,HS,HT,HV,IC,IF,IG,IJ,IL,IN,IS,IU,IZ,JU,JV,KE,KG,KI,KJ,KP,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,MY,NA,OB,OD,OR,OT,PB,PF,PJ,PN,PP,QI,QN,QQ,QR,QT,QU,RH,RI,RJ,RM,RT,RZ,SL,ST,SX,TB,TF,TQ,TT,TY,UD,UO,UR,UW,UX,VA,VK,VO,VX,VZ,WC,WE,WH,WI,WQ,WR,WX,WY,WZ,XA,XI,XK,XL,XQ,XV,XW,YF,YG,YI,YL,YR,YT,ZE,ZI,ZN
AD,0.0,795.6,856.7,307.3,946.9,718.7,974.7,904.3,146.2,684.1,987.5,964.2,899.0,925.0,928.0,370.1,484.5,906.5,689.0,935.8,909.7,903.6,760.2,963.8,959.2,939.7,934.9,720.5,908.6,741.5,836.1,892.6,698.0,978.1,897.4,875.2,735.9,954.1,867.0,763.5,959.8,986.5,909.0,888.2,731.2,960.6,857.5,901.8,944.1,750.2,921.7,753.3,974.8,760.3,948.4,706.4,787.7,939.6,839.2,895.9,907.8,984.0,867.1,827.1,759.0,548.1,742.7,740.1,751.4,687.5,878.3,670.5,677.0,500.1,671.2,1813.7,450.8,946.4,886.7,875.5,893.0,795.6,929.8,854.0,801.5,970.2,732.5,946.0,727.3,935.9,158.0,360.2,750.2,887.3,882.0,493.4,596.8,951.2,905.9,654.1,550.3,916.4,731.1,703.0,936.0,900.5,940.4,890.6,956.9,763.4,461.3,890.8,686.8,968.1,837.1,958.7,779.4,762.0,690.8,971.6,756.1,908.4,664.9,780.2,949.6,133.2,904.6,731.2,796.1,834.3,910.6,884.5,700.4,931.5,948.0,977.1,114.8,987.9,970.0,916.8,600.3,713.4,502.1
AF,551.1,0.0,755.5,456.6,814.2,190.6,739.1,706.1,404.1,190.5,751.9,863.0,766.3,726.8,722.6,519.4,622.9,805.3,272.2,803.1,808.5,770.9,308.5,862.6,858.0,838.5,681.1,305.8,700.9,290.8,734.9,684.9,189.9,845.4,764.7,774.0,200.0,821.4,765.8,311.8,828.2,885.3,776.3,787.0,301.1,701.2,756.3,800.6,811.4,256.6,789.0,301.6,754.3,258.6,815.7,170.5,686.5,734.2,738.0,664.6,806.6,851.3,765.9,723.9,261.1,622.9,249.1,277.4,235.9,193.9,777.1,172.6,183.4,526.2,254.4,1606.0,589.2,748.2,785.5,774.3,791.8,0.0,828.6,752.8,700.3,837.5,272.6,700.1,233.7,737.7,409.2,509.5,256.6,786.1,780.8,457.0,735.5,767.2,804.7,98.7,271.1,796.8,651.3,286.2,834.8,799.3,807.7,789.4,697.5,265.5,505.4,789.6,270.0,708.7,735.9,764.7,702.7,254.1,182.7,777.6,262.5,807.2,136.8,278.6,755.6,416.3,771.9,203.1,694.9,733.1,809.4,783.3,176.6,767.5,846.8,717.7,541.1,728.5,771.8,815.6,626.4,296.6,318.4
AJ,851.4,736.2,0.0,756.9,208.6,775.7,236.4,166.0,704.4,741.1,249.2,225.9,160.7,186.7,189.7,786.0,568.2,103.7,823.7,197.5,291.9,165.3,860.0,295.7,292.6,146.8,196.6,857.3,358.8,842.3,43.0,256.6,741.4,239.8,159.1,240.1,751.5,215.8,231.9,863.3,184.3,319.9,170.7,194.0,852.6,222.3,222.4,236.4,168.6,807.2,183.4,853.1,236.5,810.1,164.9,722.0,152.6,201.3,204.1,157.6,290.0,245.7,128.8,88.8,816.0,822.7,799.7,828.9,787.4,744.5,140.0,727.5,734.0,819.8,805.9,1416.7,635.5,208.1,192.5,240.4,257.9,736.2,257.9,60.9,88.1,200.1,824.1,211.3,784.3,197.6,709.5,716.4,807.2,149.0,246.9,397.2,607.8,212.9,113.0,711.1,639.0,140.9,523.6,837.7,143.1,218.2,202.1,196.4,218.6,820.4,942.9,97.7,821.5,229.8,202.0,220.4,527.9,805.6,734.2,233.3,813.1,243.4,721.9,837.2,211.3,716.6,166.3,788.2,161.0,199.2,216.4,146.2,728.1,193.2,281.4,238.8,841.4,249.6,231.7,251.4,831.9,848.1,677.2
AK,305.8,551.7,729.2,0.0,826.4,598.4,847.2,776.8,158.8,546.8,860.0,836.7,771.5,797.5,800.5,103.4,256.4,779.0,511.5,808.3,782.2,776.1,582.7,836.3,831.7,812.2,807.4,543.0,781.1,564.0,708.6,765.1,520.5,850.6,769.9,747.7,558.4,826.6,739.5,586.0,832.3,859.0,781.5,760.7,553.7,833.1,730.0,774.3,816.6,622.7,794.2,575.8,847.3,582.8,820.9,528.9,658.0,812.1,712.9,768.4,780.3,856.5,739.6,699.6,631.5,320.0,615.2,562.6,573.9,560.0,750.8,543.0,549.5,371.5,493.7,1686.2,244.5,818.9,759.2,748.0,765.5,551.7,802.3,726.5,674.0,842.7,555.0,818.5,599.8,808.4,150.3,93.5,622.7,759.8,754.5,365.9,368.7,823.7,778.4,526.6,422.8,788.9,603.6,525.5,808.5,773.0,812.9,762.9,829.4,635.9,283.8,763.3,509.3,840.6,709.6,831.2,586.7,584.5,513.3,844.1,628.6,801.5,537.4,652.7,822.1,171.0,777.1,603.7,666.6,706.8,783.1,758.0,522.9,809.3,820.5,849.6,201.7,860.4,842.5,788.6,434.6,535.9,374.6
AM,965.4,851.0,253.3,865.9,0.0,890.5,164.2,177.3,818.4,855.9,177.0,296.7,56.0,200.9,201.0,948.6,733.7,240.7,938.5,125.3,380.9,148.8,974.8,384.7,376.6,112.2,210.8,967.1,447.8,957.1,209.8,260.3,856.2,43.3,142.6,329.1,866.3,82.4,320.9,978.1,105.9,408.9,40.7,278.0,967.4,183.6,311.4,325.4,89.1,922.0,55.0,970.8,247.8,924.9,88.4,836.8,241.6,212.6,293.1,168.9,379.0,44.2,199.6,144.6,930.8,808.1,914.5,946.6,902.2,859.3,210.8,842.3,848.8,805.2,920.7,1464.4,798.1,219.4,281.5,329.4,346.9,851.0,346.9,225.4,177.1,118.1,938.9,225.5,899.1,182.4,823.5,879.0,922.0,219.8,335.9,486.2,770.4,140.7,140.8,825.9,753.8,159.7,653.0,952.5,122.1,310.1,12.3,285.4,186.7,935.2,928.3,222.4,936.3,197.9,291.0,148.2,513.3,920.4,849.0,161.1,930.8,332.4,836.7,952.0,139.1,833.5,49.0,905.9,250.0,288.2,305.4,213.0,842.9,177.0,370.4,206.9,955.4,208.3,231.7,340.4,817.3,962.9,801.1
AQ,603.1,204.0,807.5,508.6,873.2,0.0,791.1,758.1,456.1,131.7,803.9,915.0,818.3,778.8,774.6,571.4,674.9,857.3,375.4,850.7,860.5,822.9,411.7,914.6,918.4,890.5,741.5,409.0,752.9,394.0,786.9,736.9,301.5,897.4,816.7,826.0,311.6,873.4,817.8,415.0,877.2,937.3,828.3,847.4,404.3,753.2,816.8,852.6,863.4,159.4,841.0,404.8,806.3,361.8,867.7,273.7,736.3,786.2,791.2,716.6,858.6,911.7,817.9,784.3,224.5,757.3,151.9,380.6,339.1,86.8,829.1,183.3,134.4,629.4,357.6,1658.0,641.2,800.2,837.5,826.3,836.5,204.0,880.6,804.8,752.3,889.5,375.8,752.1,136.5,789.7,461.2,561.5,152.2,838.1,832.8,509.0,795.9,819.2,856.7,97.0,323.1,848.8,703.3,389.4,886.8,859.7,859.7,841.2,749.5,228.9,657.2,841.6,373.2,760.7,787.9,816.7,754.7,357.3,285.9,829.6,165.3,879.8,49.4,87.9,807.6,476.7,823.9,12.5,744.9,785.1,861.4,836.3,275.4,824.8,898.8,769.7,593.1,780.5,832.2,866.9,729.6,399.8,370.4
AR,889.1,774.7,235.7,794.6,172.9,814.2,0.0,185.6,742.1,779.6,12.8,305.0,136.6,206.3,183.3,872.3,654.5,285.5,862.2,115.2,389.2,157.1,898.5,393.0,389.9,209.8,141.8,895.8,456.1,880.8,215.1,189.0,779.9,190.5,150.9,337.4,790.0,166.5,329.2,901.8,198.5,417.2,121.4,291.3,891.1,50.4,319.7,333.7,181.7,845.7,134.1,891.6,229.8,848.6,186.0,760.5,249.9,194.9,301.4,125.3,387.3,196.4,207.9,157.9,854.5,731.8,838.2,867.4,825.9,783.0,219.1,766.0,772.5,728.9,844.4,1388.1,721.8,227.7,289.8,337.7,355.2,774.7,355.2,233.0,185.4,207.8,862.6,177.9,822.8,190.7,747.2,802.7,845.7,228.1,344.2,494.5,694.1,96.0,233.4,749.6,677.5,192.4,576.7,876.2,214.7,315.5,166.4,293.7,54.5,858.9,852.0,269.8,860.0,85.8,299.3,93.5,437.0,844.1,772.7,106.4,851.6,340.7,760.4,875.7,84.4,754.3,142.2,826.7,258.3,296.5,313.7,225.3,766.6,185.0,378.7,65.3,879.1,75.1,237.1,348.7,741.0,886.6,724.8
AV,843.3,728.9,155.4,748.8,172.3,768.4,134.0,0.0,696.3,724.0,146.8,224.7,120.0,20.6,76.3,826.5,608.7,205.2,816.4,152.4,308.9,65.1,852.7,312.7,309.6,193.2,70.4,850.0,375.8,835.0,134.8,130.4,734.1,199.1,79.8,257.1,744.2,175.1,248.9,856.0,178.9,336.9,130.0,211.0,845.3,96.1,247.9,253.4,165.1,799.9,142.7,845.8,123.1,802.8,169.4,714.7,169.6,87.9,221.1,31.4,307.0,205.0,127.6,77.6,808.7,686.0,792.4,821.6,780.1,737.2,138.8,720.2,726.7,683.1,798.6,1342.3,676.0,42.0,209.5,257.4,274.9,728.9,274.9,152.7,105.1,191.2,816.8,104.2,777.0,31.5,701.4,756.9,799.9,147.8,263.9,414.2,648.3,162.1,204.6,703.8,631.7,150.5,530.9,830.4,198.1,235.2,161.4,213.2,92.4,813.1,806.2,189.5,814.2,103.6,219.0,159.6,391.2,798.3,726.9,172.5,805.8,260.4,714.6,829.9,150.5,708.5,125.6,780.9,176.0,216.2,233.4,146.0,720.8,66.6,298.4,112.6,833.3,123.4,65.6,267.7,695.2,840.8,679.0
AY,146.9,649.3,710.4,161.0,800.6,572.4,828.4,758.0,0.0,537.8,841.2,817.9,752.7,778.7,781.7,223.8,332.7,760.2,542.7,789.5,763.4,757.3,613.9,817.5,812.9,793.4,788.6,574.2,762.3,595.2,689.8,746.3,551.7,831.8,751.1,728.9,589.6,807.8,720.7,617.2,813.5,840.2,762.7,741.9,584.9,814.3,711.2,755.5,797.8,603.9,775.4,607.0,828.5,614.0,802.1,560.1,641.4,793.3,692.9,749.6,761.5,837.7,720.8,680.8,612.7,396.3,596.4,593.8,605.1,541.2,732.0,524.2,530.7,353.8,524.9,1667.4,299.0,800.1,740.4,729.2,746.7,649.3,783.5,707.7,655.2,823.9,586.2,803.3,581.0,789.6,11.7,213.9,603.9,741.0,735.7,347.1,445.0,804.9,759.6,507.8,404.0,770.1,584.8,556.7,789.7,754.2,794.1,744.3,810.6,617.1,315.0,744.5,540.5,821.8,690.8,812.4,633.1,615.7,544.5,825.3,609.8,762.1,518.6,633.9,803.3,12.1,758.3,584.9,649.8,688.0,764.3,738.2,554.1,785.2,801.7,830.8,166.1,841.6,823.7,770.5,454.0,567.1,355.8
AZ,541.8,177.2,746.2,437.5,811.9,142.0,729.8,696.8,394.8,0.0,742.6,843.9,757.0,707.7,713.3,510.1,603.8,786.2,314.1,789.4,799.2,761.6,350.4,843.5,848.7,819.4,662.0,337.9,691.6,332.7,725.6,675.6,222.0,836.1,755.4,764.7,232.1,802.3,756.5,353.7,815.9,866.2,757.2,777.7,343.0,691.9,755.5,791.3,802.1,112.2,779.7,333.7,745.0,300.5,796.6,212.4,675.0,724.9,729.9,655.3,787.5,832.2,756.6,704.8,82.9,696.0,120.5,309.5,277.8,65.4,767.8,41.7,7.0,568.1,296.3,1596.7,579.9,729.1,776.2,765.0,775.2,177.2,809.5,743.5,681.2,818.4,314.5,681.0,105.2,728.4,399.9,500.2,112.2,776.8,771.5,447.7,716.4,757.9,795.4,70.2,261.8,777.7,642.0,328.1,825.5,780.2,798.4,779.9,688.2,87.3,595.9,780.3,311.9,699.4,726.6,755.4,693.4,296.0,224.6,768.3,105.6,818.5,81.0,158.1,746.3,397.2,762.6,136.7,683.6,714.0,800.1,765.2,214.1,753.7,837.5,708.4,531.8,719.2,752.7,805.6,668.3,338.5,299.3
