from_stop,AB,AG,AY,BC,BF,BM,BS,BZ,CA,CB,CF,CO,CW,CX,CY,DA,DJ,DK,DY,EA,EE,EF,EH,EK,EL,ET,EW,EZ,FB,FF,FG,FI,FK,FL,FQ,GA,GG,GH,GI,GL,GY,GZ,HB,HC,HP,HS,HT,HV,HW,HX,IB,IJ,IN,IR,IT,JA,JF,JK,JM,JP,JX,KC,KE,KH,KN,KT,KZ,LK,ME,MO,MS,MV,MW,NB,ND,NK,NN,NQ,NR,NU,OA,OJ,OL,OM,ON,OW,OX,PQ,PY,QA,QJ,QN,QO,QQ,QR,RG,RM,RS,SB,SC,SD,SK,SL,SP,SR,SS,SV,TB,TD,TK,TQ,TR,UJ,UN,UQ,UV,UY,VJ,VT,VY,WF,WJ,WT,WW,WX,XB,XH,XJ,XQ,XZ,YC,YH,YT,YU,ZB,ZF,ZJ,ZL,ZO,ZW
AB,0.0,2467.3,286.5,714.1,184.1,541.0,248.8,512.9,571.8,136.7,783.4,658.5,236.8,523.1,670.7,140.4,159.2,190.6,153.0,445.6,777.9,98.1,513.0,242.5,118.1,778.7,776.5,714.0,192.7,256.3,80.2,184.2,481.4,471.0,632.3,699.6,95.9,628.5,669.9,246.1,725.9,125.3,529.1,182.1,142.6,176.3,250.1,209.0,446.2,218.8,541.7,667.4,689.4,86.3,378.4,758.4,668.3,744.6,473.4,225.4,633.2,318.6,698.2,551.5,528.0,104.5,305.1,454.1,71.4,679.1,378.3,613.3,293.3,213.9,479.2,19.4,525.1,725.5,113.7,693.2,738.9,437.3,739.3,133.1,216.6,688.1,387.6,609.8,211.4,11.6,492.4,155.4,180.4,586.9,730.7,516.0,197.3,640.4,745.1,499.0,100.1,795.8,546.0,504.9,737.7,331.6,789.2,90.4,600.5,185.6,403.9,783.2,356.2,391.8,509.0,742.0,758.2,468.7,722.6,746.1,468.6,562.3,428.3,709.9,493.1,499.3,122.8,422.3,513.0,744.4,391.3,751.8,787.3,481.8,309.0,155.2,537.0,755.5,800.1,195.9
AG,2359.8,0.0,2491.9,2705.6,2404.4,2598.2,2454.2,2510.0,2629.5,2415.5,2774.9,2650.0,2411.0,2575.6,2662.2,2419.2,2382.6,2396.0,2376.4,2437.1,2767.4,2376.9,2565.5,2444.7,2396.9,2770.2,2768.0,2705.5,2413.1,2598.7,2359.0,2389.6,2699.7,2462.5,2623.8,2691.1,2374.7,2688.4,2661.4,2451.5,2717.4,2404.1,2520.6,2387.5,2421.4,2419.7,2595.2,2414.4,2445.4,2424.2,2594.2,2658.9,2680.9,2365.1,2491.5,2749.6,2659.8,2736.1,2498.5,2439.1,2690.9,2524.0,2689.7,2609.2,2549.2,2383.3,2510.5,2445.6,2350.2,2670.6,2569.9,2604.8,2498.7,2419.3,2470.7,2339.5,2743.4,2717.0,2397.1,2684.7,2730.4,2458.1,2730.8,2411.9,2424.4,2679.6,2535.8,2706.4,2416.8,2347.6,2483.9,2434.2,2388.6,2560.5,2722.2,2537.2,2402.7,2631.9,2736.6,2639.5,2378.9,2787.3,2567.2,2723.2,2729.2,2537.0,2780.7,2369.2,2592.0,2391.0,2442.6,2774.7,2509.4,2383.3,2657.8,2733.5,2749.7,2460.2,2714.1,2737.6,2460.1,2535.9,2597.8,2701.4,2484.6,2490.8,2346.2,2591.8,2504.5,2735.9,2767.1,2743.3,2778.8,2503.0,2514.4,2434.0,2528.5,2747.0,2794.4,2401.3
AY,395.2,2721.5,0.0,542.0,459.8,254.4,316.9,366.1,340.3,440.0,649.1,486.4,345.0,256.5,498.6,443.7,438.0,370.7,431.8,293.2,676.1,401.4,246.4,318.3,421.4,606.6,604.4,541.9,468.5,346.0,394.4,293.9,194.8,318.6,460.2,527.5,381.2,399.2,497.8,314.2,622.4,428.6,376.7,321.5,445.9,353.7,342.5,333.6,159.6,286.9,275.1,495.3,517.3,359.4,87.5,586.0,496.2,572.5,190.7,335.4,401.7,32.0,526.1,320.0,241.4,389.8,18.5,352.0,385.6,507.0,91.7,441.2,6.7,382.1,292.5,374.9,238.5,553.4,421.6,521.1,566.8,150.3,567.2,436.4,357.4,516.0,101.0,417.2,368.0,383.0,282.9,458.7,322.6,300.3,558.6,229.4,336.7,468.3,573.0,212.4,403.4,623.7,259.4,218.3,565.6,45.0,654.9,393.7,428.4,400.5,174.0,683.4,69.6,289.7,222.4,569.9,586.1,348.3,550.5,647.0,281.9,275.7,141.7,537.8,340.7,346.9,401.6,135.7,360.6,572.3,124.7,579.7,653.0,195.2,22.4,458.5,384.6,612.7,668.6,335.3
BC,730.4,2858.3,560.7,0.0,775.0,441.8,666.6,520.9,300.9,786.1,105.5,70.3,694.7,349.7,122.4,789.8,753.2,766.6,747.0,448.0,132.5,747.5,318.7,668.0,767.5,131.9,129.7,75.1,783.7,695.7,729.6,643.6,474.1,473.4,196.2,171.0,730.9,241.5,90.2,663.9,11.7,774.7,531.5,671.2,792.0,703.4,692.2,683.3,436.3,636.6,368.3,231.3,80.6,709.1,502.2,161.3,63.1,128.9,518.4,685.1,324.2,574.9,94.9,322.4,522.8,739.5,579.3,519.7,720.8,99.4,611.0,105.5,567.5,789.9,361.7,710.1,517.8,124.0,767.7,34.6,110.6,501.5,142.5,782.5,707.1,159.5,583.4,222.8,787.4,718.2,374.9,804.8,672.3,451.5,14.8,510.4,686.4,119.7,148.3,453.6,749.5,149.0,540.8,497.6,135.8,552.5,111.3,739.8,164.4,761.6,453.3,139.8,520.1,457.4,423.1,190.6,136.8,417.0,168.0,103.4,351.1,426.9,586.9,139.6,495.5,501.7,716.8,580.9,483.5,168.2,559.1,155.0,109.4,454.5,583.2,804.6,507.5,21.4,125.0,685.0
BF,175.7,2526.6,325.8,789.1,0.0,580.3,288.1,593.5,616.3,231.4,858.4,733.5,244.9,562.4,745.7,235.1,66.9,229.9,72.1,520.6,850.9,192.8,552.3,278.6,212.8,853.7,851.5,784.7,32.0,295.6,174.9,220.4,520.7,546.0,707.3,774.6,190.6,675.2,744.9,285.4,800.9,220.0,604.1,221.4,237.3,253.6,292.1,248.3,485.5,258.1,581.0,742.4,764.4,181.0,417.7,833.4,743.3,819.6,512.7,273.0,677.7,357.9,773.2,596.0,567.3,199.2,344.4,511.1,166.1,754.1,417.6,688.3,332.6,253.2,618.4,155.4,564.4,800.5,213.0,768.2,821.1,476.6,814.3,227.8,257.6,763.1,426.9,693.2,250.7,163.5,608.8,250.1,222.5,626.2,805.7,555.3,236.6,715.4,820.1,538.3,194.8,870.8,585.3,544.2,812.7,373.5,864.2,185.1,675.5,224.9,443.2,858.2,395.5,448.8,548.3,817.0,833.2,543.7,797.6,821.1,607.8,601.6,467.6,784.9,568.1,574.3,101.9,461.6,588.0,819.4,430.6,826.8,862.3,521.1,348.3,249.9,612.0,830.5,875.1,235.2
BM,530.3,2706.2,285.0,349.9,626.0,0.0,456.2,368.8,154.0,575.1,462.8,294.3,480.1,26.9,306.5,578.8,601.1,505.8,594.9,295.9,411.7,536.5,54.3,453.4,556.5,414.5,412.3,345.5,634.6,481.1,529.5,429.0,101.4,321.3,256.3,335.4,516.3,212.9,305.7,449.3,436.1,563.7,379.4,456.6,581.0,488.8,474.9,468.7,243.9,422.0,38.0,303.2,325.2,494.5,225.7,394.2,304.1,380.4,193.6,470.5,215.4,233.0,334.0,133.7,198.0,524.9,256.2,367.6,520.7,314.9,220.7,249.1,276.3,517.2,199.1,510.0,145.1,361.3,552.1,329.0,381.9,176.3,375.1,571.5,490.1,323.9,193.1,230.9,503.1,518.1,189.5,593.8,457.7,206.9,366.5,185.6,471.8,276.2,380.9,41.2,538.5,431.6,216.0,124.9,373.5,210.6,468.6,528.8,236.3,535.6,240.3,419.0,214.5,305.3,98.3,377.8,394.0,264.9,358.4,381.9,188.5,182.3,196.6,345.7,343.4,349.6,564.7,190.6,331.4,380.2,168.8,387.6,466.7,129.7,249.4,593.6,355.4,426.4,482.3,470.4
BS,240.2,2571.5,178.0,641.3,302.1,432.5,0.0,445.7,464.3,283.4,710.6,585.7,188.4,414.6,593.7,287.1,283.0,214.1,271.0,372.8,706.7,244.8,400.3,161.7,264.8,705.9,705.3,641.2,311.9,185.2,237.8,133.1,372.9,394.0,559.5,626.8,224.6,527.4,597.1,11.1,653.1,272.0,456.3,160.7,289.3,197.1,185.9,177.0,337.7,33.3,433.2,594.6,616.6,202.8,265.6,681.4,595.5,671.8,368.8,178.8,529.9,210.1,621.2,448.2,419.5,233.2,196.6,363.3,229.0,606.3,269.8,540.5,184.8,225.5,470.6,218.3,416.6,652.7,265.0,620.4,666.1,324.6,666.5,279.8,200.0,615.3,279.1,545.4,207.2,226.4,461.0,297.9,166.0,478.4,657.9,407.5,180.1,567.6,672.3,390.5,246.8,723.0,437.5,396.4,664.9,223.1,716.4,237.1,527.7,239.7,291.2,710.4,247.7,301.0,400.5,669.2,685.4,395.9,649.8,673.3,460.0,453.8,321.4,637.1,416.1,426.5,245.0,313.8,440.2,671.6,282.8,679.0,714.5,373.3,200.5,301.9,464.2,682.7,730.1,178.7
BZ,548.5,2676.4,410.9,512.6,596.2,444.1,521.0,0.0,370.3,639.9,581.9,457.0,544.9,380.3,464.2,643.6,571.3,584.7,560.1,70.4,578.0,601.3,344.3,518.2,621.3,577.2,570.0,508.2,604.8,545.9,547.7,488.8,386.9,97.5,419.0,498.1,576.1,427.0,468.4,514.1,524.4,628.5,62.2,521.4,645.8,553.6,539.7,533.5,236.4,481.8,482.2,465.9,487.9,559.3,298.0,551.9,466.8,543.1,305.4,535.3,426.7,375.0,496.7,350.0,360.0,589.7,398.2,337.8,538.9,477.6,380.7,411.8,417.7,608.0,277.7,528.2,430.6,524.0,616.9,491.7,544.6,264.3,537.8,636.3,554.9,486.6,346.6,408.3,600.5,536.3,290.9,658.6,522.5,367.5,529.2,348.0,536.6,448.4,538.6,402.1,603.3,594.3,378.0,410.4,536.2,348.1,587.7,593.6,399.0,579.7,248.4,581.7,320.2,275.5,345.8,540.5,556.7,168.8,521.1,544.6,267.1,342.9,408.6,508.4,26.2,32.4,534.9,402.6,181.1,542.9,400.8,550.3,585.8,313.8,391.4,658.4,200.1,554.0,598.6,535.2
CA,577.1,2729.6,374.3,293.8,619.5,140.8,498.8,362.3,0.0,621.9,308.7,258.1,526.9,101.8,270.3,625.6,594.6,552.6,588.4,289.4,337.7,583.3,70.8,500.2,603.3,335.1,332.9,369.0,625.1,527.9,576.3,475.8,173.1,314.8,220.1,299.2,563.1,58.8,269.5,496.1,282.0,610.5,372.9,503.4,627.8,535.6,521.7,515.5,267.7,468.8,120.4,267.0,289.0,541.3,249.5,364.8,267.9,279.4,217.4,517.3,61.3,322.3,297.8,21.4,221.8,571.7,345.5,361.1,567.5,278.7,310.0,212.9,365.6,564.0,240.1,556.8,216.8,327.2,603.5,328.5,313.8,200.1,345.7,618.3,536.9,287.7,282.4,76.8,549.9,564.9,230.5,640.6,504.5,247.9,308.7,209.4,518.6,240.0,351.5,152.6,585.3,352.2,239.8,196.6,272.5,299.9,314.5,575.6,200.1,603.0,264.1,343.0,271.7,298.8,122.1,393.8,340.0,258.4,371.2,306.6,229.5,223.3,285.9,342.8,336.9,343.1,558.2,279.9,324.9,371.4,258.1,358.2,312.6,153.5,338.7,640.4,348.9,272.3,328.2,517.2
CB,141.6,2507.9,326.4,754.7,221.6,580.9,288.7,559.1,612.4,0.0,824.0,699.1,230.5,563.0,711.3,43.9,199.8,231.2,193.6,486.2,816.5,51.8,552.9,236.2,71.8,819.3,817.1,754.6,230.3,381.9,101.4,224.1,521.3,511.6,672.9,740.2,69.6,669.1,710.5,286.0,766.5,11.3,569.7,215.9,116.3,170.0,378.4,249.6,486.1,258.7,581.6,708.0,730.0,80.0,414.0,798.7,708.9,785.2,517.2,219.1,673.8,358.5,738.8,592.1,567.9,78.2,345.0,494.7,92.6,719.7,418.2,653.9,333.2,254.5,519.8,121.3,565.0,766.1,92.0,733.8,779.5,476.8,779.9,61.4,252.8,728.7,427.5,650.4,252.0,129.4,533.0,129.1,174.1,626.8,771.3,555.9,231.1,681.0,785.7,538.9,26.4,836.4,585.9,544.8,778.3,371.5,829.8,64.1,641.1,226.2,443.8,823.8,396.1,432.4,548.9,782.6,798.8,509.3,763.2,786.7,509.2,602.2,468.2,750.5,533.7,539.9,163.4,462.2,553.6,785.0,431.2,792.4,827.9,521.7,348.9,18.5,577.6,796.1,843.5,229.7
