from_stop,AG,AM,AZ,BE,BP,BR,BX,CA,CC,CD,CE,CG,CY,DA,DB,DF,DG,DP,DQ,DY,DZ,EJ,EL,EU,FA,FB,FF,FH,FR,FW,FZ,GA,GJ,GQ,GR,GV,GW,HC,HK,HM,HO,HQ,HR,HU,HV,IA,IC,IF,IG,IN,IQ,IT,JF,JI,JJ,JQ,JR,JY,KB,KD,KF,KL,KO,KQ,KT,KX,LP,LU,MH,MP,MQ,MS,MT,MX,MY,MZ,NA,NB,NC,NE,NP,NT,NW,OD,OF,OL,OO,OQ,OV,PH,PJ,PN,PQ,PT,PU,PZ,QN,QU,QV,RD,RI,RM,RN,RO,RS,SD,SH,SL,SO,ST,SW,TD,TH,TZ,UF,UI,UL,UM,UU,VC,VG,VL,VQ,VV,WN,WW,WY,XF,XG,XJ,XR,XU,XZ,YB,YF,YG,ZE,ZH,ZL,ZS
AG,0.0,1672.9,378.8,401.7,619.0,143.4,264.6,538.4,378.4,534.1,164.1,188.5,300.6,338.6,165.7,535.2,416.1,231.8,243.5,127.8,523.3,676.0,263.0,132.3,143.1,73.0,383.4,444.0,589.3,219.9,312.4,443.0,320.6,412.4,238.0,500.3,414.6,392.8,159.8,600.6,562.5,278.7,195.2,181.1,48.2,135.4,287.1,248.5,555.3,189.8,363.5,126.5,436.9,219.1,254.6,168.7,536.9,380.9,303.1,54.9,295.9,461.3,35.1,202.1,363.7,329.6,153.7,225.1,271.5,241.9,137.2,258.0,570.2,186.5,465.7,234.0,492.6,352.6,391.1,489.6,11.9,260.1,563.6,456.2,94.7,298.2,271.5,241.8,353.1,325.4,410.6,76.3,411.4,584.5,258.2,344.9,234.8,273.5,221.3,442.6,254.8,308.4,319.3,305.3,297.5,188.2,340.7,428.8,193.7,295.8,103.5,29.1,254.8,307.6,366.5,588.2,226.1,188.0,169.0,375.1,539.4,253.1,352.4,328.2,556.1,349.2,478.4,81.9,127.7,284.7,313.4,440.5,270.2,407.9,433.7,365.8,380.4,329.0,305.7,84.6
AM,1734.6,0.0,1647.4,1787.4,1678.6,1759.2,1714.6,1617.8,1744.8,1611.8,1800.7,1758.1,1612.8,1530.2,1761.5,1694.7,1560.5,1904.6,1549.2,1773.3,1580.3,1650.8,1488.5,1766.2,1579.4,1807.7,1811.9,1717.2,1771.1,1910.1,1485.7,1772.1,1525.2,1542.7,1668.8,1592.5,1590.7,1789.7,1790.0,1610.4,1615.2,1472.0,1885.4,1776.9,1686.9,1591.3,1462.8,1486.2,1714.8,1720.5,1695.2,1602.6,1508.4,1884.1,1660.3,1818.4,1578.5,1749.0,1681.5,1789.6,1545.3,1502.9,1769.8,1785.9,1838.2,1549.0,1841.0,1873.3,1463.2,1618.0,1777.8,1445.8,1595.1,1876.7,1557.9,1585.7,1655.7,1571.0,1757.5,1652.7,1746.6,1681.7,1641.1,1707.1,1747.1,1586.4,1490.1,1529.0,1561.0,1710.8,1777.0,1751.5,1777.8,1643.8,1572.0,1819.4,1737.4,1698.7,1661.7,1484.2,1640.2,1582.3,1458.5,1452.6,1533.6,1784.0,1437.1,1766.4,1843.4,1443.1,1739.7,1706.0,1727.7,1621.4,1563.4,1619.4,1523.3,1537.8,1788.2,1849.6,1581.0,1604.8,1419.2,1684.1,1651.5,1658.1,1615.4,1757.1,1817.9,1698.6,1787.9,1770.9,1716.8,1597.4,1664.6,1662.8,1577.9,1803.5,1573.3,1647.4
AZ,386.0,1705.4,0.0,307.1,416.0,332.5,217.2,373.2,240.1,326.5,374.0,382.7,690.6,599.5,306.2,341.6,238.3,525.4,567.5,446.9,335.7,388.6,501.0,382.1,511.0,383.0,331.6,192.7,387.0,530.9,586.2,247.6,607.1,226.1,557.1,347.9,186.2,258.1,430.0,419.3,392.5,541.2,495.5,323.0,434.3,507.5,525.1,486.5,361.7,286.1,87.5,498.6,305.6,468.9,179.6,461.5,401.6,283.9,622.2,405.8,638.9,319.0,350.0,403.6,333.6,136.1,414.3,494.1,547.1,615.0,393.7,534.8,362.4,497.5,313.3,603.1,299.0,560.2,252.8,296.0,380.9,579.2,355.8,212.5,369.6,155.9,640.0,547.3,642.9,133.8,260.1,462.4,273.1,390.9,597.3,281.2,251.5,212.6,560.2,300.3,157.9,53.4,594.9,488.4,516.2,328.7,587.7,248.9,460.3,478.0,362.6,415.2,213.8,639.7,188.6,406.9,604.8,566.7,488.1,352.0,404.1,617.4,539.6,146.4,374.8,120.4,318.6,475.2,438.7,184.7,283.3,246.4,263.5,179.5,225.9,744.7,169.3,298.9,655.2,456.7
BE,448.3,1805.4,272.6,0.0,304.0,364.0,296.7,312.6,152.6,308.3,405.5,362.9,595.3,495.3,366.3,229.6,285.9,509.4,600.9,446.4,297.5,252.7,534.4,415.5,534.9,416.4,64.4,218.2,363.5,514.9,619.6,126.6,507.7,341.3,453.6,373.6,233.8,45.1,463.1,289.4,336.7,567.6,490.2,381.7,485.1,527.2,558.5,519.9,249.7,319.5,222.2,518.3,405.6,557.2,198.8,491.5,400.7,50.4,518.7,458.6,539.5,407.0,412.3,390.7,191.5,287.3,445.8,478.1,580.5,609.1,427.1,547.4,344.4,481.5,330.6,576.8,266.8,467.8,165.3,263.8,436.2,475.7,337.8,147.1,351.9,255.9,547.6,580.7,543.5,191.1,161.9,503.4,149.3,261.1,667.0,65.6,240.5,209.0,559.3,424.5,161.0,268.2,628.3,612.5,549.6,388.8,620.9,143.7,516.5,603.0,389.0,477.5,229.5,716.4,288.7,298.0,593.2,607.7,461.3,202.9,369.0,595.9,659.6,147.4,330.3,168.4,332.9,498.9,422.7,180.9,141.2,58.7,255.3,227.1,207.9,645.3,329.9,156.8,555.8,476.4
BP,569.2,1690.1,396.0,292.4,0.0,550.4,434.0,173.0,284.4,232.8,591.9,553.1,777.6,681.7,552.7,64.3,226.7,695.8,751.9,632.8,222.0,149.6,713.0,565.3,712.4,566.2,316.9,326.4,107.2,701.3,688.4,267.1,694.1,249.8,640.0,288.6,224.4,263.0,613.2,74.2,186.2,665.8,665.9,568.1,617.5,704.7,737.1,698.5,44.2,498.1,328.9,695.8,250.8,652.1,396.4,677.9,255.2,275.4,705.1,582.0,725.9,247.0,533.2,577.1,377.9,265.5,632.2,664.5,665.9,793.1,576.9,672.4,191.2,667.9,141.8,763.2,97.9,654.2,297.1,154.9,557.1,662.1,184.6,233.4,538.3,371.2,734.0,731.7,729.9,375.1,316.6,645.6,317.4,81.3,774.7,318.1,422.9,384.2,745.7,264.5,345.0,329.7,713.7,656.2,647.8,575.2,708.4,284.2,643.5,645.8,538.8,598.4,385.2,824.1,197.2,61.8,779.6,744.1,647.7,389.3,215.8,777.5,707.4,317.8,104.4,291.8,257.4,658.4,609.1,356.1,327.6,231.7,434.9,231.1,204.2,831.7,238.4,343.2,742.2,653.9
BR,153.8,1837.9,328.1,307.8,525.1,0.0,170.7,444.5,284.5,440.2,41.4,98.4,408.7,442.5,53.8,441.3,372.8,149.4,397.4,175.0,429.4,582.1,400.7,110.2,297.0,182.2,289.5,350.1,495.4,156.4,466.3,349.1,417.7,343.3,285.2,417.4,320.7,298.9,158.1,506.7,468.6,432.6,130.5,69.2,202.1,289.3,424.8,386.2,461.4,77.9,305.8,280.4,354.0,197.0,160.7,189.6,443.0,287.0,350.3,164.1,453.3,367.4,117.8,64.0,269.8,247.9,81.7,118.1,425.4,395.8,162.6,425.7,476.3,122.6,382.8,387.9,398.7,410.2,297.2,395.7,141.7,307.3,469.7,369.3,57.4,204.3,425.4,395.7,435.8,267.7,316.7,207.8,317.5,490.6,412.1,251.0,140.9,179.6,375.2,348.7,197.1,218.2,473.2,459.2,451.4,76.3,487.4,334.9,188.4,449.7,139.3,183.0,160.9,461.5,288.6,494.3,380.0,341.9,216.2,281.2,445.5,402.2,506.3,234.3,462.2,255.3,400.5,203.3,74.5,190.8,219.5,346.6,176.3,314.0,339.8,413.0,286.5,235.1,417.9,238.5
BX,265.8,1746.8,250.1,238.2,446.8,155.6,0.0,396.5,215.3,357.3,223.0,184.2,543.3,452.2,183.8,364.9,261.6,301.0,509.4,356.6,359.0,419.3,466.7,291.8,404.8,294.2,262.7,227.2,410.3,332.4,551.9,313.0,459.8,302.7,405.7,371.2,209.5,201.2,339.7,442.6,412.9,544.6,297.0,199.2,314.1,401.3,490.8,452.2,385.0,207.9,178.6,392.4,347.0,378.6,54.5,371.2,410.1,199.8,470.8,250.2,491.6,360.4,229.8,205.1,233.3,240.9,263.3,295.6,512.8,511.8,291.5,537.7,417.9,299.0,336.6,499.9,322.3,394.0,228.0,319.3,227.8,427.8,411.3,277.9,171.1,197.3,473.8,507.7,469.7,161.6,247.5,342.2,248.3,421.7,498.2,214.5,113.6,74.7,487.2,341.7,91.0,211.2,560.6,545.7,481.9,180.4,553.4,272.5,370.0,535.3,227.5,295.0,125.9,573.5,250.1,430.2,466.1,428.0,397.8,218.8,412.6,514.2,616.0,123.1,405.6,144.1,341.9,347.8,240.2,96.8,183.0,243.3,5.6,202.8,270.6,597.4,279.5,198.6,507.9,350.5
CA,509.7,1649.0,333.2,281.8,128.8,472.9,382.7,0.0,206.9,95.9,514.4,471.8,704.2,604.2,475.2,127.0,167.2,618.3,692.4,555.3,85.1,181.3,640.9,505.8,643.8,506.7,286.5,248.9,123.9,623.8,628.9,271.5,616.6,190.3,562.5,161.2,164.9,255.3,572.0,105.9,142.3,606.3,599.1,490.6,594.0,636.1,665.0,626.4,125.2,426.0,269.4,627.2,188.0,592.6,305.3,600.4,206.3,243.4,627.6,522.5,648.4,212.6,473.7,499.6,300.4,209.1,554.7,587.0,606.4,718.0,517.4,589.0,150.0,590.4,118.2,685.7,106.3,576.7,219.6,130.4,497.6,584.6,143.4,169.2,460.8,305.6,656.5,672.2,652.4,297.6,239.1,612.3,239.9,113.0,715.2,248.0,349.4,324.7,668.2,230.1,267.5,258.0,654.2,595.8,588.3,497.7,649.0,257.3,625.4,586.3,479.3,538.9,338.4,764.6,137.7,93.5,702.1,716.6,570.2,311.8,174.6,704.8,642.9,253.9,61.4,232.3,120.5,607.8,531.6,296.6,250.1,231.2,375.4,171.6,126.7,754.2,178.9,265.7,664.7,585.3
CC,414.3,1752.1,236.2,156.7,284.6,330.0,216.7,204.0,0.0,199.7,371.5,328.9,561.3,461.3,332.3,200.8,209.6,475.4,564.5,412.4,188.9,341.6,498.0,379.1,500.9,380.0,181.2,109.6,254.9,480.9,583.2,64.5,473.7,232.7,419.6,265.0,197.4,112.4,429.1,266.2,228.1,531.2,456.2,347.7,451.1,493.2,522.1,483.5,220.9,283.1,185.8,484.3,352.3,523.2,162.4,457.5,292.1,133.5,484.7,424.6,505.5,298.4,378.3,356.7,157.5,250.9,411.8,444.1,544.1,575.1,390.7,511.0,235.8,447.5,222.0,542.8,158.2,433.8,12.6,155.2,402.2,441.7,229.2,121.8,317.9,219.5,513.6,544.3,509.5,154.7,32.1,469.4,32.9,250.1,587.3,105.1,206.5,172.6,525.3,315.9,124.6,184.6,591.9,576.1,513.2,354.8,584.5,50.3,482.5,566.6,352.6,443.5,195.5,636.7,180.1,253.8,559.2,573.7,427.3,168.9,260.4,561.9,623.2,111.0,221.7,132.0,224.3,464.9,388.7,144.5,107.2,96.0,218.9,190.7,99.3,611.3,221.3,122.8,521.8,442.4
CD,490.5,1636.2,317.3,281.7,208.0,472.8,355.3,120.1,206.8,0.0,514.3,475.5,704.1,608.9,475.1,191.0,148.0,618.2,673.2,555.2,46.0,260.5,640.8,486.6,633.7,487.5,286.4,248.8,187.9,623.7,609.7,271.4,616.5,171.1,562.4,65.2,145.7,255.2,571.9,185.1,162.2,587.1,588.3,490.5,538.8,626.0,664.9,626.3,197.6,425.9,281.3,617.1,175.2,573.4,317.7,600.3,179.6,243.3,627.5,503.3,648.3,171.4,454.5,496.4,300.3,186.8,554.6,586.9,587.2,715.5,498.2,593.7,169.9,590.3,79.1,685.6,135.7,576.6,219.5,132.7,478.4,584.5,163.3,176.1,460.7,305.5,656.4,653.0,652.3,297.5,239.0,566.9,239.8,192.2,696.0,247.9,349.3,305.5,668.1,188.9,267.4,257.9,635.0,576.6,569.1,497.6,629.7,257.2,564.8,567.1,460.1,519.7,306.5,745.4,118.5,172.7,702.0,665.4,570.1,311.7,194.5,704.7,628.7,253.8,140.6,213.1,24.5,607.7,531.5,277.4,250.0,231.1,356.2,152.4,126.6,754.1,159.7,265.6,664.6,575.2
