from_stop,AD,AR,AX,BA,BO,CC,CE,CI,CR,CW,DB,DD,DH,DT,DX,EM,EO,ET,FE,FT,FU,FY,FZ,GB,GF,GI,GJ,GL,GR,GS,GT,HD,HG,HT,IC,IH,IQ,IT,IY,JB,JE,JI,JJ,JK,JQ,JR,JT,JY,JZ,KD,KX,LK,LM,LU,LW,LX,LZ,MC,MD,ME,MI,MK,ML,MU,MW,MX,ND,NF,NM,NO,NQ,NS,NX,OB,OG,OK,ON,OQ,OX,OZ,PC,PF,PQ,PR,PY,QA,QG,QH,QM,QS,QW,QY,RK,RP,RY,SB,SH,SI,SL,SX,TD,TF,TQ,TR,TX,UK,UY,UZ,VE,VF,VJ,VM,VO,VP,VW,VX,WA,WE,WI,WJ,WO,WW,XD,XW,YC,YE,YF,YJ,YP,YV,ZD,ZE,ZG,ZL,ZQ,ZR,ZT
AD,0.0,199.9,170.1,554.5,773.2,654.9,381.4,156.5,665.0,546.7,573.8,737.9,181.4,643.4,284.0,201.8,306.6,160.2,233.6,421.0,790.0,162.2,63.7,209.6,142.7,224.6,127.9,209.1,649.1,166.3,152.2,518.8,724.0,592.2,88.3,153.6,736.1,150.6,629.5,136.3,371.6,164.0,118.1,2895.4,200.2,708.1,108.0,173.3,680.2,105.8,539.0,812.0,162.0,672.8,439.8,635.6,757.2,636.8,381.9,734.4,631.9,139.8,379.5,691.6,807.8,14.9,4.5,203.2,652.9,155.4,181.4,680.0,189.9,177.1,743.6,114.6,238.8,125.2,697.7,302.1,550.3,412.8,575.2,621.1,724.0,309.3,224.6,691.0,299.0,219.7,220.7,587.5,175.5,786.1,713.3,607.3,731.2,508.0,182.5,253.2,686.1,137.6,572.2,450.4,190.4,744.4,303.8,253.7,154.6,382.0,216.1,735.0,289.4,778.1,770.2,304.8,179.0,608.3,169.0,651.5,603.1,764.4,176.7,664.9,626.7,706.1,271.5,290.6,733.9,711.4,623.4,188.8,184.6,620.3,204.8,231.6,689.3
AR,206.8,0.0,191.7,600.8,819.5,701.2,428.4,92.6,711.3,593.0,620.1,784.2,191.4,689.7,330.3,223.4,352.9,163.8,258.5,467.3,836.3,183.8,188.4,231.2,218.9,246.2,226.6,63.2,695.4,184.7,155.8,565.1,776.6,638.5,202.4,199.9,782.4,181.5,675.8,151.1,417.9,139.4,232.2,2991.5,246.5,754.4,154.3,22.1,726.5,177.4,585.3,858.3,224.3,719.1,486.1,681.9,803.5,688.7,428.2,780.7,678.2,117.9,425.8,737.9,854.1,187.8,201.1,26.1,699.2,228.0,202.6,726.3,211.5,198.7,789.9,172.8,285.1,162.2,744.0,323.7,596.6,459.1,621.5,664.2,770.3,355.6,246.2,737.3,320.6,244.0,242.3,633.8,247.1,832.4,760.7,658.3,777.5,554.3,117.2,274.8,732.4,159.2,625.3,496.7,82.0,790.7,350.1,275.3,50.8,428.3,92.3,781.3,311.0,824.4,816.5,351.1,200.6,654.6,215.3,697.8,649.4,810.7,198.3,711.2,673.0,752.4,293.3,336.9,780.2,757.7,669.7,235.1,97.1,666.6,226.4,277.9,739.9
AX,155.4,175.5,0.0,647.8,866.5,748.2,474.7,132.1,758.3,640.0,667.1,831.2,274.7,736.7,377.3,77.8,399.9,115.8,109.6,514.3,883.3,20.2,137.7,85.6,148.3,82.6,221.2,184.7,742.4,259.6,107.8,612.1,817.3,685.5,181.6,246.9,829.4,133.5,722.8,103.1,464.9,276.9,211.4,2968.0,293.5,801.4,201.3,148.9,773.5,111.4,632.3,905.3,255.3,766.1,533.1,728.9,850.5,730.1,475.2,827.7,725.2,93.1,472.8,784.9,901.1,136.4,149.7,178.8,746.2,248.7,98.2,773.3,65.9,7.0,836.9,120.2,332.1,114.2,791.0,178.1,643.6,506.1,668.5,714.4,817.3,402.6,82.6,784.3,175.0,95.7,96.7,680.8,181.1,879.4,806.6,700.6,824.5,601.3,158.1,129.2,779.4,51.2,665.5,543.7,166.0,837.7,397.1,129.7,130.2,475.3,191.7,828.3,165.4,871.4,863.5,398.1,55.0,701.6,262.3,744.8,696.4,857.7,52.7,758.2,720.0,799.4,147.5,383.9,827.2,804.7,716.7,282.1,160.2,713.6,62.8,324.9,782.6
BA,571.7,578.6,659.7,0.0,311.4,179.9,283.3,646.1,190.0,135.0,108.9,276.1,526.8,166.8,460.5,691.4,437.9,649.8,723.2,215.2,328.2,651.8,553.3,699.2,632.3,714.2,560.5,641.9,172.5,518.6,641.8,112.1,299.3,115.6,567.3,475.9,357.5,640.2,152.9,625.9,341.6,555.2,570.3,3224.1,522.5,246.3,488.2,577.1,203.6,595.4,132.3,435.7,558.2,196.2,341.7,159.0,295.4,230.2,283.8,272.6,225.3,629.4,281.4,229.8,429.2,552.7,566.0,604.8,176.3,561.9,671.0,255.3,679.5,666.7,271.9,604.2,490.3,614.8,235.9,791.7,143.6,314.7,110.3,66.5,249.0,363.4,714.2,216.0,788.6,709.3,710.3,68.2,665.1,407.5,238.3,52.7,269.4,101.3,672.1,742.8,224.3,627.2,17.6,239.0,660.7,282.6,289.7,743.3,605.8,283.9,671.0,356.4,779.0,399.5,308.4,399.6,668.6,53.7,491.3,124.8,48.5,302.6,666.3,188.3,150.1,281.4,761.1,400.6,309.2,239.7,146.8,472.7,652.1,143.7,694.4,483.1,212.7
BO,802.7,809.6,890.7,297.9,0.0,257.5,514.3,877.1,267.6,366.0,237.0,92.9,757.8,322.4,691.5,922.4,668.9,880.8,954.2,446.2,121.1,882.8,784.3,930.2,863.3,945.2,791.5,872.9,328.1,749.6,872.8,343.1,137.4,273.4,798.3,706.9,71.1,871.2,308.5,856.9,572.6,786.2,801.3,3485.5,753.5,112.3,719.2,808.1,359.2,826.4,363.3,143.1,789.2,354.0,572.7,316.8,16.0,194.3,514.8,86.0,199.2,860.4,512.4,143.9,149.6,783.7,797.0,835.8,331.9,792.9,902.0,181.5,910.5,897.7,242.6,835.2,721.3,845.8,143.2,1022.7,374.6,545.7,238.4,364.4,250.5,594.4,945.2,210.8,1019.6,940.3,941.3,322.4,896.1,129.3,239.8,303.7,86.2,332.3,903.1,973.8,129.9,858.2,315.6,470.0,891.7,76.0,520.7,974.3,836.8,514.9,902.0,98.2,1010.0,121.3,3.0,630.6,899.6,351.7,722.3,355.8,308.3,95.5,897.3,343.9,307.9,155.4,992.1,631.6,127.0,210.4,304.6,703.7,883.1,301.5,925.4,714.1,368.3
CC,667.7,674.6,755.7,158.5,257.4,0.0,379.3,742.1,10.1,231.0,102.0,246.0,622.8,66.3,556.5,787.4,533.9,745.8,819.2,311.2,299.6,747.8,649.3,795.2,728.3,810.2,656.5,737.9,72.0,614.6,737.8,208.1,138.8,62.5,663.3,571.9,197.0,736.2,52.4,721.9,437.6,651.2,666.3,3320.1,618.5,216.2,584.2,673.1,103.1,691.4,228.3,275.2,654.2,143.1,437.7,105.9,273.4,109.1,379.8,226.6,104.2,725.4,377.4,199.7,268.7,648.7,662.0,700.8,75.8,657.9,767.0,94.8,775.5,762.7,111.4,700.2,586.3,710.8,205.8,887.7,239.6,410.7,103.4,212.9,88.5,459.4,810.2,55.5,884.6,805.3,806.3,145.3,761.1,247.0,77.8,126.6,239.3,197.3,768.1,838.8,192.9,723.2,161.0,335.0,756.7,216.6,385.7,839.3,701.8,379.9,767.0,195.9,875.0,239.0,260.4,495.6,764.6,200.1,587.3,220.8,131.2,279.3,762.3,87.8,97.0,120.9,857.1,496.6,148.7,79.2,93.7,568.7,748.1,90.6,790.4,579.1,112.2
CE,602.2,608.9,690.2,172.5,391.2,272.9,0.0,676.6,283.0,164.5,191.8,355.9,555.8,261.4,390.1,721.9,367.7,680.3,753.7,39.0,408.0,682.3,583.8,729.7,667.2,744.7,591.0,672.4,267.1,549.1,672.3,136.8,342.0,210.2,597.8,506.4,354.1,670.5,247.5,656.4,271.9,585.7,600.8,3153.9,553.0,326.1,518.7,607.6,298.2,625.9,156.8,430.0,588.7,290.8,57.8,253.6,375.2,260.9,0.4,352.4,249.9,659.9,211.2,309.6,425.8,583.2,596.5,635.3,270.9,592.4,701.5,298.0,710.0,697.2,361.6,634.7,520.8,645.8,315.5,822.2,168.3,30.8,193.7,239.1,342.0,293.2,744.7,309.0,819.1,742.5,740.6,205.3,695.6,404.1,331.3,225.3,349.2,126.0,702.6,773.3,304.1,657.7,190.2,168.8,691.2,362.4,219.3,773.8,636.3,0.6,701.5,353.0,809.5,396.1,388.2,329.4,699.1,226.3,521.8,269.5,221.1,382.4,696.8,282.7,244.7,323.9,791.6,330.4,351.9,329.4,241.4,503.0,682.6,238.1,724.7,513.6,311.6
CI,184.8,79.4,155.1,642.2,860.9,742.6,469.1,0.0,752.7,634.4,661.5,825.6,234.3,731.1,371.7,186.8,394.3,127.2,218.6,508.7,877.7,147.2,167.1,194.6,177.7,209.6,250.6,119.8,736.8,226.1,119.2,606.5,811.7,679.9,211.0,241.3,823.8,144.9,717.2,114.5,459.3,180.8,240.8,3018.1,287.9,795.8,195.7,52.8,767.9,140.8,626.7,899.7,284.7,760.5,527.5,723.3,844.9,724.5,469.6,822.1,719.6,81.3,467.2,779.3,895.5,165.8,179.1,82.7,740.6,278.1,166.0,767.7,174.9,162.1,831.3,136.2,326.5,125.6,785.4,287.1,638.0,500.5,662.9,708.8,811.7,397.0,209.6,778.7,284.0,204.7,205.7,675.2,210.5,873.8,801.0,695.0,818.9,595.7,103.2,238.2,773.8,122.6,659.9,538.1,111.1,832.1,391.5,238.7,34.1,469.7,136.8,822.7,274.4,865.8,857.9,392.5,164.0,696.0,256.7,739.2,690.8,852.1,161.7,752.6,714.4,793.8,256.5,378.3,821.6,799.1,711.1,276.5,64.1,708.0,189.8,319.3,777.0
CR,674.9,681.8,762.9,165.7,264.6,7.2,386.5,749.3,0.0,238.2,109.2,253.2,630.0,73.5,563.7,794.6,541.1,753.0,826.4,318.4,306.8,755.0,656.5,802.4,735.5,817.4,663.7,745.1,79.2,621.8,745.0,215.3,146.0,69.7,670.5,579.1,204.2,743.4,59.6,729.1,444.8,658.4,673.5,3327.3,625.7,223.4,591.4,680.3,110.3,698.6,235.5,282.4,661.4,150.3,444.9,113.1,280.6,116.3,387.0,233.8,111.4,732.6,384.6,206.9,275.9,655.9,669.2,708.0,83.0,665.1,774.2,102.0,782.7,769.9,118.6,707.4,593.5,718.0,213.0,894.9,246.8,417.9,110.6,220.1,95.7,466.6,817.4,62.7,891.8,812.5,813.5,152.5,768.3,254.2,85.0,133.8,246.5,204.5,775.3,846.0,200.1,730.4,168.2,342.2,763.9,223.8,392.9,846.5,709.0,387.1,774.2,203.1,882.2,246.2,267.6,502.8,771.8,207.3,594.5,228.0,138.4,286.5,769.5,95.0,104.2,128.1,864.3,503.8,155.9,86.4,100.9,575.9,755.3,97.8,797.6,586.3,119.4
CW,555.4,562.3,643.4,159.4,376.2,336.6,267.5,629.8,346.7,0.0,265.6,340.9,509.0,323.5,444.2,675.1,421.6,633.5,706.9,198.9,393.0,635.5,537.0,682.9,620.6,697.9,544.2,625.6,329.2,502.3,625.5,55.6,333.3,272.3,551.0,459.6,339.1,623.9,304.3,609.6,325.8,538.9,554.0,3207.8,506.2,311.1,471.9,560.8,360.3,579.1,75.8,415.0,541.9,352.9,325.4,315.7,360.2,245.4,267.5,337.4,234.9,613.1,265.1,294.6,410.8,536.4,549.7,588.5,333.0,545.6,662.2,283.0,663.2,650.4,428.6,587.9,474.0,598.5,300.7,775.4,69.1,298.4,267.0,113.3,405.7,347.1,697.9,372.7,772.3,695.7,694.0,227.7,648.8,389.1,395.0,194.8,334.2,44.8,655.8,726.5,289.1,610.9,161.8,222.7,644.4,347.4,273.4,727.0,589.5,267.6,654.7,338.0,762.7,381.1,373.2,383.3,652.3,126.1,475.0,104.7,185.9,367.4,650.0,345.0,306.8,309.1,744.8,384.3,336.9,396.4,303.5,456.4,635.8,300.4,678.1,466.8,373.7
