from_stop,AL,AO,AV,BF,BI,BK,BM,BQ,BR,CH,CI,CR,CS,CT,CZ,DA,DD,DF,DK,DL,DN,DO,EB,EI,EJ,EK,EL,EO,ES,EU,FB,FF,FU,FW,FX,GC,GJ,GL,GS,GV,GX,HK,HR,HS,HU,HV,HZ,IG,IJ,IQ,JA,JE,JF,JZ,KF,KJ,KL,KM,KN,KU,KW,KX,KY,LB,LE,LG,LO,LR,LW,MA,MD,MJ,MM,MO,MR,MW,MY,NE,NO,NQ,NR,NT,NU,NW,OI,OQ,OX,OZ,PC,PH,PJ,PK,PQ,PR,PS,PZ,QD,QE,QG,QK,QN,RB,RC,RE,RH,RL,RT,RW,SA,SJ,SL,SM,SP,SQ,SX,SY,TC,TD,TE,TL,TU,UA,UB,UD,UF,UG,UN,UQ,UT,UZ,VE,VK,VL,VQ,VT,WF,WH,WL,WO,WP,WU,WV,XA,XD,XF,XH,XQ,XT,XX,YB,YH,YQ,YV,YY,YZ,ZB,ZP,ZV,ZX
AL,0.0,100.5,741.2,770.4,629.0,765.7,71.3,118.6,756.9,187.9,236.7,59.5,757.3,657.7,647.0,531.8,898.4,862.2,861.5,690.7,558.0,890.9,910.1,913.4,909.5,830.0,651.1,873.6,849.5,448.0,787.8,440.4,474.1,386.4,848.8,868.8,765.3,171.9,617.6,163.6,42.7,45.5,128.8,942.9,943.9,554.2,658.0,144.6,332.7,236.5,225.4,29.2,219.0,823.3,744.9,847.1,1114.5,801.7,837.5,82.0,740.6,141.3,722.0,327.6,705.8,896.6,228.9,98.7,396.3,271.3,32.8,168.4,904.9,362.0,274.3,120.3,50.1,868.4,162.1,911.1,887.4,254.4,659.0,665.7,830.0,85.8,168.9,870.2,732.1,865.1,937.8,334.6,578.6,946.1,133.4,23.2,415.3,180.2,609.6,796.9,349.6,612.6,281.4,735.9,429.5,942.6,245.4,172.8,64.2,177.1,900.3,240.5,931.5,94.6,911.5,858.7,520.3,157.9,181.4,627.4,883.5,200.3,230.4,689.1,885.9,832.5,930.9,893.3,133.4,615.4,909.3,678.9,945.4,397.9,269.5,185.4,166.1,72.5,799.4,251.8,620.8,838.5,854.6,633.1,125.2,265.3,836.2,190.2,870.2,106.1,748.1,212.5,606.2,271.4,71.3,913.0,159.1,690.9,150.0
AO,112.7,0.0,768.5,797.7,656.3,793.0,144.6,114.0,784.2,87.3,264.0,42.2,784.6,685.0,674.3,559.1,925.7,889.5,888.8,718.0,564.8,918.2,937.4,940.7,936.8,857.3,678.4,900.9,876.8,475.3,815.1,467.7,501.4,413.7,876.1,896.1,792.6,90.8,644.9,63.0,98.0,55.1,28.2,970.2,971.2,581.5,685.3,44.0,360.0,231.1,220.0,73.0,246.3,850.6,772.2,874.4,1169.8,829.0,864.8,109.3,767.9,106.7,749.3,354.9,733.1,923.9,223.5,144.0,423.6,265.9,88.1,163.0,932.2,389.3,301.6,69.1,114.7,895.7,61.5,938.4,914.7,249.0,686.3,693.0,857.3,106.1,163.5,897.5,759.4,892.4,965.1,361.9,605.9,973.4,99.2,136.0,442.6,174.8,538.4,824.2,376.9,639.9,276.0,763.2,456.8,969.9,246.6,72.2,37.5,171.7,927.6,235.1,958.8,43.4,938.8,886.0,603.2,152.5,80.8,556.2,910.8,194.9,225.0,716.4,913.2,859.8,958.2,920.6,32.8,642.7,936.6,706.2,972.7,425.2,296.8,114.5,94.9,29.2,826.7,246.4,648.1,865.8,881.9,660.4,107.4,259.9,863.5,184.8,897.5,90.4,775.4,239.8,633.5,266.0,116.6,940.3,58.5,718.2,144.6
AV,729.1,741.8,0.0,93.5,230.1,471.2,800.5,808.5,240.5,772.4,528.9,754.7,191.9,167.2,92.3,453.2,370.4,504.2,335.2,215.0,331.1,380.9,440.0,385.4,381.5,303.7,252.2,347.3,379.4,450.8,195.3,311.9,403.3,365.4,488.0,369.8,466.2,795.2,417.3,804.9,771.9,767.6,770.1,414.9,417.6,347.3,259.1,785.9,419.7,662.7,651.7,758.4,537.4,389.1,238.1,320.8,1515.0,169.3,476.7,639.7,155.3,713.3,205.6,424.8,35.3,421.5,582.3,688.7,428.1,693.5,762.0,706.0,394.9,425.8,480.0,726.5,679.4,393.3,768.5,412.1,437.3,653.5,165.9,75.8,469.2,712.9,639.5,343.9,9.0,415.0,427.8,519.8,371.7,418.1,793.7,705.8,473.3,648.2,357.9,436.1,498.7,405.7,719.2,32.5,322.6,209.0,545.8,814.1,750.0,688.0,450.2,696.3,421.5,708.5,281.3,507.7,293.4,650.2,806.0,427.9,384.5,638.3,686.2,136.5,357.9,404.0,502.0,394.3,774.7,139.7,480.4,146.7,319.8,354.5,484.8,757.4,789.4,741.7,167.0,678.0,221.9,410.0,493.8,189.0,801.9,721.1,309.9,628.2,395.1,784.9,6.9,530.9,399.3,709.2,661.3,303.7,771.5,50.6,689.9
BF,761.6,774.3,103.5,0.0,290.5,384.9,833.0,841.0,145.9,804.9,561.4,787.2,97.3,232.9,124.8,485.7,284.1,417.9,240.6,146.1,363.6,294.6,353.7,299.1,295.2,209.1,312.6,252.7,293.1,483.3,100.7,344.4,435.8,397.9,401.7,283.5,379.9,827.7,449.8,837.4,804.4,800.1,802.6,328.6,323.0,379.8,319.5,818.4,452.2,695.2,684.2,790.9,569.9,302.8,143.5,226.2,1547.5,74.7,390.4,672.2,221.0,745.8,111.0,457.3,67.8,335.2,614.8,721.2,460.6,726.0,794.5,738.5,308.6,458.3,512.5,759.0,711.9,307.0,801.0,325.8,351.0,686.0,231.6,108.3,382.9,745.4,672.0,249.3,94.4,328.7,341.5,552.3,404.2,331.8,826.2,738.3,505.8,680.7,390.4,349.8,531.2,438.2,751.7,98.2,355.1,215.6,578.3,846.6,782.5,720.5,363.9,728.8,335.2,741.0,195.0,421.4,325.9,682.7,838.5,460.4,298.2,670.8,718.7,202.2,271.6,317.7,415.7,308.0,807.2,172.2,394.1,212.4,233.5,387.0,517.3,789.9,821.9,774.2,72.4,710.5,282.3,323.7,407.5,254.7,834.4,753.6,215.3,660.7,308.8,817.4,110.4,563.4,431.8,741.7,693.8,217.4,804.0,83.1,722.4
BI,611.9,624.6,233.0,262.2,0.0,392.8,683.3,691.3,248.7,655.2,411.7,637.5,249.1,76.9,138.8,336.0,502.9,489.3,353.3,182.5,213.9,513.4,572.5,517.9,514.0,321.8,22.0,365.4,511.9,333.6,279.6,194.7,286.1,248.2,475.9,502.3,392.4,678.0,300.1,687.7,654.7,650.4,652.9,547.4,435.7,230.1,28.9,668.7,302.5,545.5,534.5,641.2,420.2,521.6,236.7,338.9,1397.8,293.5,464.6,522.5,159.8,596.1,213.8,307.6,197.6,554.0,465.1,571.5,310.9,576.3,644.8,588.8,527.4,308.6,362.8,609.3,562.2,525.8,651.3,544.6,569.8,536.3,78.2,157.5,457.1,595.7,522.3,362.0,223.9,547.5,560.3,402.6,254.5,550.6,676.5,588.6,356.1,531.0,240.7,424.0,381.5,288.5,602.0,222.3,205.4,434.4,428.6,696.9,632.8,570.8,582.7,579.1,554.0,591.3,413.8,485.8,176.2,533.0,688.8,292.7,517.0,521.1,569.0,108.3,490.4,536.5,634.5,526.8,657.5,107.2,612.9,98.1,437.2,237.3,367.6,640.2,672.2,624.5,291.2,560.8,6.5,542.5,481.7,52.3,684.7,603.9,328.0,511.0,527.6,667.7,239.9,413.7,282.1,592.0,544.1,404.8,654.3,182.7,572.7
BK,768.2,780.9,426.5,395.2,314.3,0.0,836.0,791.6,426.4,811.5,568.0,793.8,429.1,327.2,332.3,474.3,249.6,213.4,337.7,376.0,351.0,242.1,319.2,264.6,260.7,332.0,336.4,349.8,258.6,285.2,373.5,331.8,424.4,404.5,200.0,265.2,119.3,770.0,250.3,844.0,811.0,806.7,809.2,294.1,371.2,410.1,327.5,825.0,458.8,701.8,690.8,781.7,576.5,268.3,406.2,314.9,1386.3,347.5,188.7,678.8,425.9,752.4,407.3,463.9,391.1,327.8,621.4,727.8,467.2,732.6,801.1,745.1,256.1,464.9,519.1,765.6,718.5,274.4,791.8,290.1,332.5,692.6,344.3,351.0,181.2,752.0,678.6,343.7,417.4,294.2,289.0,558.9,391.6,297.3,776.8,741.3,512.4,671.5,377.8,148.1,537.8,425.6,758.3,421.2,342.5,367.1,584.9,790.2,789.1,711.3,321.6,735.4,284.1,747.6,226.6,209.9,313.3,689.3,780.8,504.2,295.2,677.4,709.5,374.4,237.1,272.6,282.1,280.1,813.8,300.7,260.5,364.2,272.3,393.6,523.9,796.5,764.2,780.8,345.2,717.1,306.1,289.2,205.8,318.4,785.0,760.2,325.8,667.3,264.3,808.2,433.4,570.0,419.2,732.5,684.6,249.0,810.6,376.2,729.0
BM,73.5,154.6,814.8,844.0,702.6,826.9,0.0,47.2,826.8,226.0,310.3,113.6,830.9,731.3,720.6,605.4,972.0,935.8,935.1,764.3,580.5,960.8,983.7,987.0,983.1,903.6,724.7,947.2,923.1,521.6,861.4,514.0,547.7,460.0,922.4,958.6,838.9,116.4,691.2,146.5,76.8,99.6,149.6,1016.5,1010.0,627.8,731.6,170.8,406.3,310.1,299.0,83.3,292.6,896.9,818.5,920.7,1148.6,875.3,911.1,155.6,814.2,205.1,795.6,401.2,779.4,970.2,302.5,172.3,469.9,344.9,66.9,242.0,978.5,435.6,347.9,162.7,123.7,950.6,200.2,984.7,961.0,328.0,732.6,739.3,899.9,159.4,242.5,943.8,805.7,938.7,1011.4,408.2,652.2,1019.7,62.0,100.4,488.9,250.1,554.1,870.5,423.2,682.5,355.0,809.5,503.1,1016.2,315.3,136.6,118.3,250.7,973.9,314.1,1006.5,137.0,985.1,932.3,618.9,231.5,127.2,571.9,957.1,273.9,304.0,762.7,959.5,895.5,1004.5,972.4,171.5,689.0,982.9,752.5,1026.2,471.5,343.1,249.2,110.6,122.9,873.0,325.4,690.7,912.1,928.2,706.7,53.8,338.9,909.8,263.8,933.8,153.6,818.0,286.1,676.1,345.0,144.9,986.6,197.2,764.5,223.6
BQ,121.4,113.6,814.8,844.0,702.6,788.5,47.8,0.0,830.5,178.7,310.3,106.5,830.9,731.3,720.6,605.4,921.2,885.0,935.1,764.3,533.2,913.7,990.8,936.2,932.3,903.6,724.7,947.2,930.2,521.6,861.4,514.0,547.7,460.0,871.6,942.4,788.1,69.1,691.2,99.2,124.7,119.4,102.3,965.7,1017.5,627.8,731.6,119.9,406.3,277.4,266.3,131.2,292.6,896.9,818.5,920.7,1196.5,875.3,860.3,155.6,814.2,157.8,795.6,401.2,779.4,970.2,269.8,190.3,469.9,312.2,114.8,209.3,927.7,435.6,347.9,115.4,161.0,942.0,152.9,984.7,961.0,295.3,732.6,739.3,852.8,152.4,209.8,943.8,805.7,938.7,960.6,408.2,652.2,968.9,14.7,144.7,488.9,221.1,506.8,819.7,423.2,686.2,322.3,809.5,503.1,1016.2,292.9,89.3,101.8,218.0,973.9,281.4,954.3,89.7,898.2,881.5,571.6,198.8,79.9,524.6,957.1,241.2,271.3,762.7,908.7,906.1,953.7,966.9,124.2,689.0,932.1,752.5,936.7,471.5,343.1,201.9,63.3,93.5,873.0,292.7,694.4,912.1,877.4,706.7,6.5,306.2,909.8,231.1,943.8,102.7,821.7,286.1,679.8,312.3,162.9,986.6,149.9,764.5,190.9
BR,732.0,744.7,239.4,134.8,260.9,476.3,803.4,811.4,0.0,775.3,531.8,757.6,121.7,289.6,194.2,456.1,375.5,509.3,290.3,101.5,334.0,386.0,445.1,390.5,386.6,258.8,283.0,302.4,384.5,453.7,192.1,314.8,406.2,368.3,493.1,374.9,471.3,798.1,420.2,807.8,774.8,770.5,773.0,420.0,372.7,350.2,289.9,788.8,422.6,665.6,654.6,761.3,540.3,394.2,173.7,275.9,1517.9,166.1,481.8,642.6,356.9,716.2,27.1,427.7,203.7,426.6,585.2,691.6,431.0,696.4,764.9,708.9,400.0,428.7,482.9,729.4,682.3,400.3,771.4,417.2,442.4,656.4,290.9,212.9,474.3,715.8,642.4,299.0,230.3,420.1,432.9,522.7,374.6,423.2,796.6,705.1,476.2,651.1,360.8,441.2,501.6,408.6,722.1,234.1,325.5,307.0,548.7,817.0,752.9,690.9,455.3,699.2,426.6,711.4,286.4,512.8,296.3,653.1,808.9,430.8,389.6,641.2,689.1,321.0,363.0,409.1,507.1,404.9,777.6,135.2,485.5,310.8,324.9,357.4,487.7,760.3,792.3,744.6,163.8,680.9,252.7,415.1,498.9,265.0,804.8,724.0,265.0,631.1,400.2,787.8,246.3,533.8,402.2,712.1,664.2,308.8,774.4,219.0,692.8
CH,208.2,95.4,808.4,837.6,696.2,832.9,221.0,173.1,824.1,0.0,303.9,137.7,824.5,724.9,714.2,599.0,965.6,929.4,928.7,757.9,595.6,958.1,977.3,980.6,976.7,897.2,718.3,940.8,916.7,515.2,855.0,507.6,541.3,453.6,916.0,936.0,832.5,103.4,684.8,75.6,193.5,150.6,99.8,1010.1,1011.1,621.4,725.2,56.6,399.9,271.0,259.9,168.5,286.2,890.5,812.1,914.3,1265.3,868.9,904.7,149.2,807.8,67.1,789.2,394.8,773.0,963.8,263.4,183.9,463.5,305.8,183.6,202.9,972.1,429.2,341.5,144.6,154.6,935.6,23.8,978.3,954.6,288.9,726.2,732.9,897.2,181.6,203.4,937.4,799.3,932.3,1005.0,401.8,645.8,1013.3,158.3,181.0,482.5,214.7,569.2,864.1,416.8,679.8,315.9,803.1,496.7,1009.8,286.5,84.8,133.0,211.6,967.5,275.0,998.7,126.6,978.7,925.9,634.0,192.4,93.4,587.0,950.7,234.8,264.9,756.3,953.1,899.7,998.1,960.5,52.5,682.6,976.5,746.1,1012.6,465.1,336.7,74.9,108.7,124.7,866.6,286.3,688.0,905.7,921.8,700.3,166.5,299.8,903.4,224.7,937.4,185.9,815.3,279.7,673.4,305.9,156.5,980.2,26.8,758.1,184.5
