from_stop,AD,AW,AX,AZ,BJ,BL,BS,CB,CC,CU,CV,CZ,ED,EQ,EV,EZ,FM,FN,FO,HH,HL,HQ,IE,IT,JB,JQ,JW,KE,KF,KG,KL,KM,KV,KZ,LD,LI,LU,LW,LX,MG,ML,MO,MP,MQ,NF,NS,NV,OV,PA,PP,QN,QR,QU,RA,RF,RI,RQ,RT,SA,SB,SG,SH,SK,SZ,TC,TE,TP,TW,UI,UP,UU,UV,UZ,VA,VE,VM,WI,WJ,XE,XI,XJ,XK,YF,YG,YJ,YP,YS,YX,ZA,ZB,ZG,ZI,ZL
AD,0.0,335.7,391.9,367.8,430.9,526.8,391.4,223.0,294.1,2399.6,111.2,402.7,114.3,447.7,403.4,451.2,490.4,283.8,312.1,92.3,450.0,549.4,351.0,403.5,304.0,432.1,316.4,383.8,51.6,349.6,525.6,488.1,451.2,374.5,131.1,320.5,252.2,276.4,238.3,456.9,553.8,472.9,345.4,613.5,474.1,388.9,580.4,632.1,369.3,421.9,546.2,510.5,578.3,473.6,137.0,482.0,335.5,170.4,259.9,553.9,327.5,355.0,398.7,532.3,399.6,341.0,422.0,427.8,218.3,471.9,240.9,571.4,453.8,360.0,393.5,428.4,411.5,333.2,391.7,448.9,266.8,29.4,348.3,128.5,369.4,238.3,545.5,466.4,615.4,537.0,368.4,114.7,361.6
AW,335.7,0.0,138.8,124.4,132.8,329.8,93.3,97.6,115.5,2187.2,286.0,215.2,325.3,236.5,119.1,238.8,192.3,123.4,96.1,375.0,249.1,337.0,138.6,202.6,122.3,205.7,221.8,171.9,348.7,188.3,227.5,269.2,230.9,138.3,204.5,108.1,146.2,187.8,168.9,256.0,341.4,260.5,47.3,408.1,273.2,90.8,379.5,419.7,151.0,221.0,360.1,298.1,377.4,257.1,433.5,272.3,158.8,165.2,160.9,353.0,121.4,19.3,168.3,319.9,187.6,134.7,209.6,213.6,188.9,173.8,230.2,359.0,155.7,159.1,163.1,216.0,124.0,132.3,93.6,248.0,257.6,326.5,131.4,257.2,80.4,403.8,333.1,203.2,414.5,340.4,156.0,400.3,144.4
AX,355.2,158.8,0.0,139.9,132.6,194.6,45.4,198.8,97.7,2052.0,270.6,55.1,426.5,100.1,65.3,103.6,245.3,108.0,80.7,373.4,113.9,201.8,40.8,67.4,223.5,160.6,200.9,36.7,418.4,170.2,227.3,134.0,95.7,142.2,305.7,73.2,128.1,172.4,153.5,120.8,206.2,125.3,101.4,269.1,138.0,90.6,244.3,284.5,49.2,85.8,224.9,162.9,242.2,119.3,418.1,134.4,143.4,266.4,145.5,217.8,58.7,153.7,170.9,184.7,44.1,133.0,74.4,84.4,173.5,173.6,214.8,223.8,155.5,59.9,114.2,101.3,64.9,47.8,146.6,112.8,242.2,396.2,116.0,241.8,99.3,388.4,197.9,68.0,279.3,205.2,24.4,470.0,145.3
AZ,327.8,135.8,128.2,0.0,260.9,251.6,173.7,248.5,70.3,2114.9,243.2,140.5,442.2,172.5,110.2,145.0,328.2,80.6,66.3,346.0,176.8,274.2,75.8,129.3,258.2,114.5,173.5,108.6,391.0,173.1,355.6,212.9,176.0,114.8,340.4,45.3,113.7,145.0,126.1,170.7,274.1,197.7,196.2,345.3,210.4,218.9,312.2,352.4,105.6,171.2,261.5,235.3,314.6,198.4,390.7,219.8,131.8,301.1,131.1,290.2,52.3,116.5,81.1,257.1,124.4,110.7,146.8,114.4,146.1,301.9,200.4,296.2,283.8,96.3,38.6,113.1,135.3,69.5,229.5,185.2,195.9,368.8,88.6,227.4,76.2,361.0,265.8,191.2,347.2,261.8,106.2,442.6,57.2
BJ,412.8,134.7,144.5,253.7,0.0,339.2,99.0,174.7,244.7,2131.4,415.2,224.6,402.4,245.9,143.3,248.2,221.2,252.6,225.3,491.4,258.5,346.4,185.4,212.0,199.4,299.0,351.0,181.3,425.8,317.5,121.6,278.6,240.3,267.5,281.6,217.8,275.4,317.0,298.1,265.4,350.8,269.9,77.3,417.5,282.6,43.8,388.9,429.1,172.7,230.4,369.5,307.5,386.8,266.5,549.9,281.7,288.0,242.3,290.1,362.4,204.6,154.0,297.6,329.3,197.0,263.9,219.0,229.0,318.1,67.9,359.4,368.4,49.8,198.3,252.6,245.9,129.7,192.4,122.5,257.4,386.8,403.6,260.6,386.4,182.0,533.0,342.5,212.6,423.9,349.8,169.0,477.4,272.0
BL,526.6,336.7,195.7,285.7,324.0,0.0,236.8,394.6,260.0,1985.8,426.1,164.7,617.9,151.4,238.7,130.6,421.3,263.5,236.2,519.5,97.2,161.8,196.3,152.4,414.9,293.4,366.3,168.9,573.9,332.8,418.7,101.9,98.7,282.8,497.1,228.7,288.0,327.9,309.0,88.8,64.6,70.8,297.2,135.4,67.0,282.0,102.7,162.7,204.7,135.9,163.1,213.0,120.4,176.4,573.6,169.1,303.3,457.8,305.4,96.0,215.5,317.4,326.4,148.2,153.2,279.2,183.7,163.0,329.0,365.0,354.9,167.5,346.9,211.2,242.6,206.6,235.4,203.3,338.0,162.9,402.1,551.7,271.5,401.7,277.4,543.9,56.3,153.5,153.1,147.4,164.5,625.5,300.8
BS,391.4,113.3,45.4,154.6,87.1,240.1,0.0,153.3,145.6,2097.5,316.1,125.5,381.0,146.8,44.2,149.1,199.8,153.5,126.2,405.1,159.4,247.3,86.3,112.9,178.0,199.9,251.9,82.2,404.4,218.4,181.8,179.5,141.2,168.4,260.2,118.7,176.3,217.9,199.0,166.3,251.7,170.8,55.9,318.4,183.5,45.1,289.8,330.0,73.6,131.3,270.4,208.4,287.7,167.4,463.6,182.6,188.9,220.9,191.0,263.3,105.5,132.6,198.5,230.2,97.9,164.8,119.9,129.9,219.0,128.1,260.3,269.3,110.0,99.2,153.5,146.8,30.6,93.3,101.1,158.3,287.7,382.2,161.5,287.3,82.9,433.9,243.4,113.5,324.8,250.7,69.9,456.0,172.9
CB,249.5,97.6,198.8,235.1,192.8,378.1,153.3,0.0,210.8,2250.9,349.3,269.0,227.6,299.0,199.1,317.5,267.3,221.1,208.8,330.4,312.8,400.7,236.3,281.3,65.9,299.4,314.0,235.1,251.0,313.6,287.5,339.4,302.5,255.3,106.8,205.8,256.2,285.5,266.6,334.7,420.1,324.2,122.3,476.3,336.9,150.8,458.2,498.4,227.0,299.7,397.5,361.8,456.1,324.9,375.1,348.3,272.3,67.5,273.6,416.7,212.8,116.9,266.0,383.6,250.9,251.2,273.3,285.1,301.6,233.8,342.9,422.7,215.7,267.6,260.8,300.2,184.0,230.0,153.6,326.7,336.4,228.8,229.1,354.9,181.3,476.4,411.8,317.7,493.2,388.3,238.3,302.6,240.4
CC,255.0,137.2,109.2,76.1,244.3,235.0,157.1,249.9,0.0,2107.8,170.4,108.5,387.2,155.9,111.6,159.5,327.2,7.8,33.4,273.2,169.7,257.6,72.3,136.3,259.6,140.3,100.7,92.0,318.2,100.3,339.0,196.3,159.4,82.7,341.8,28.7,27.8,72.2,53.3,176.6,259.6,181.1,184.6,332.8,193.8,202.3,297.7,353.4,89.1,141.6,254.4,218.7,298.0,181.8,317.9,203.3,59.0,302.5,47.7,273.6,35.7,117.9,106.9,240.5,107.8,49.2,130.2,136.0,73.2,285.3,114.6,279.6,267.2,92.8,101.7,136.6,119.7,66.0,230.9,166.2,123.1,296.0,56.5,144.0,77.6,288.2,253.8,174.6,335.1,245.2,74.2,369.8,96.1
CU,2084.2,1898.7,1753.3,1835.0,1886.0,1768.9,1798.8,1952.2,1817.6,0.0,1988.1,1751.3,2179.9,1665.4,1796.3,1679.9,1802.9,1825.5,1798.2,2077.1,1646.5,1583.3,1758.3,1706.1,1976.9,1842.7,1923.9,1726.5,2135.9,1890.4,1830.1,1708.3,1670.0,1840.4,2059.1,1790.7,1848.3,1889.9,1871.0,1638.1,1661.3,1699.6,1854.8,1709.4,1697.1,1844.0,1739.0,1698.8,1766.7,1697.9,1614.1,1775.0,1624.3,1645.4,2135.6,1631.1,1860.9,2019.8,1863.0,1649.7,1777.5,1879.4,1880.1,1759.0,1710.8,1836.8,1745.7,1712.3,1891.0,1927.0,1932.3,1605.3,1908.9,1760.5,1796.3,1760.3,1797.4,1765.3,1900.0,1653.7,1959.7,2113.7,1833.5,1959.3,1835.0,2105.9,1669.6,1695.2,1695.7,1568.7,1741.9,2187.5,1864.5
