from_stop,AC,AK,AQ,AR,AW,AY,AZ,BD,BF,BL,BR,BS,CG,CU,DC,DR,DV,EK,EM,ER,ES,FA,FB,FT,GF,HA,HX,HY,HZ,IB,IP,JE,JF,KA,KB,KF,KN,KV,KZ,LH,LO,LP,LU,LV,MF,MV,NG,NL,NP,NR,NZ,OF,OU,PM,PU,PY,QA,QD,QJ,QW,RE,RG,RU,RW,RX,SJ,SN,SO,SZ,TA,TC,TR,UD,UJ,VA,VB,VC,VG,VP,VT,WG,WR,WW,XJ,YA,YS,ZA,ZD
AC,0.0,119.0,343.8,279.5,329.4,144.9,203.6,103.6,232.9,273.1,82.5,304.7,265.3,231.0,297.3,240.2,258.3,186.8,199.7,107.3,209.1,214.0,237.8,277.6,250.8,122.2,242.4,190.1,50.6,294.9,239.5,259.8,191.5,236.0,209.1,1784.5,159.2,230.8,247.9,194.0,224.4,131.3,211.2,155.8,158.5,168.1,96.3,302.1,115.2,174.8,295.9,179.2,175.0,155.1,271.1,125.5,120.4,267.2,315.0,296.5,217.5,215.3,211.2,96.6,202.9,155.7,285.6,201.9,232.5,251.9,161.3,267.9,243.7,133.0,248.9,265.7,195.5,143.4,219.0,138.5,259.5,169.8,265.2,97.7,322.5,257.9,216.3,156.9
AK,119.8,0.0,347.2,285.5,201.9,57.3,114.8,109.0,136.0,282.9,90.6,310.7,323.3,146.3,227.5,261.6,169.5,102.1,225.2,128.7,120.3,240.1,263.3,193.5,162.0,82.9,179.7,215.6,80.2,304.7,155.4,175.1,217.0,173.3,112.2,1810.0,96.5,256.3,163.2,109.3,249.9,137.3,232.6,67.0,160.0,171.5,79.9,340.4,30.5,200.9,294.9,185.2,200.5,180.6,276.5,37.9,130.2,197.4,321.0,212.4,243.6,130.6,232.6,113.6,224.3,161.7,335.1,227.4,135.2,285.6,76.6,301.6,159.0,138.4,274.4,271.7,121.6,146.8,130.2,155.5,265.5,81.0,331.4,103.7,240.1,291.6,139.8,72.7
AQ,395.2,351.7,0.0,247.6,476.4,388.0,406.3,250.8,378.6,241.2,333.8,192.1,176.0,409.7,444.3,250.5,448.7,407.5,167.5,286.7,411.8,152.0,198.9,480.8,476.8,269.2,392.1,248.5,381.4,202.3,429.9,468.2,201.8,409.4,354.8,1642.2,357.4,228.9,438.3,396.7,214.7,268.6,247.3,390.2,274.3,173.0,339.4,140.0,386.5,193.3,175.6,295.0,233.4,212.2,146.3,368.6,257.7,454.6,177.3,464.3,241.0,418.0,201.5,319.7,254.5,293.0,84.1,260.3,432.9,144.4,388.3,160.4,397.6,248.8,190.7,179.9,368.4,195.9,419.4,361.6,142.7,401.1,190.8,256.7,469.5,150.4,393.2,316.5
AR,370.6,275.6,208.2,0.0,440.8,333.0,330.2,174.7,302.5,18.8,287.2,72.9,308.3,333.6,423.2,393.4,372.6,331.4,310.4,394.9,335.7,294.9,331.2,404.7,383.1,365.4,455.4,394.5,331.0,83.1,353.8,392.1,344.7,454.7,278.7,1788.2,372.2,374.9,362.2,320.6,302.2,192.5,350.2,314.1,198.2,269.2,342.9,292.0,306.2,336.2,114.2,218.9,379.4,355.1,126.5,313.6,181.6,436.5,60.7,405.6,364.2,341.9,344.4,307.9,356.1,216.9,236.1,376.9,356.8,269.3,312.2,285.3,321.5,172.7,323.0,98.5,383.4,292.1,343.3,275.9,249.2,328.1,315.7,180.6,433.9,275.3,317.1,348.4
AW,305.9,231.4,454.7,427.8,0.0,262.3,166.5,251.9,121.6,421.4,277.0,453.0,466.9,129.3,40.2,369.1,136.6,133.2,328.6,236.2,172.0,342.9,366.7,58.7,52.7,190.4,150.5,319.0,286.8,443.2,117.8,56.0,320.4,185.4,138.7,1848.2,223.9,359.7,126.2,156.9,396.3,279.6,340.1,186.5,306.8,279.0,284.9,482.7,202.8,303.7,444.2,327.5,303.9,284.0,419.4,242.9,268.7,31.3,463.3,25.7,346.4,178.2,340.1,318.6,331.8,304.0,423.5,330.8,151.4,427.9,157.5,443.9,142.0,281.3,377.8,414.0,158.8,254.3,137.9,355.7,407.8,200.5,474.3,246.0,7.1,433.9,155.2,277.7
AY,187.0,67.1,342.0,352.7,254.4,0.0,169.7,176.8,203.2,346.3,120.8,377.9,277.1,197.1,222.3,252.0,224.4,152.9,211.5,119.1,175.2,225.8,249.6,243.7,214.4,77.7,174.5,201.9,147.4,368.1,205.6,225.9,203.3,168.1,179.4,1796.3,91.3,242.6,214.0,160.1,236.2,204.5,223.0,121.9,231.7,166.3,56.7,313.9,81.3,186.6,369.1,252.4,186.8,166.9,344.3,21.2,193.6,192.2,388.2,242.3,229.3,181.4,223.0,90.4,214.7,228.9,297.4,213.7,198.6,263.7,127.4,279.7,209.8,206.2,260.7,338.9,120.5,141.6,185.1,132.3,282.0,135.9,277.0,170.9,247.5,269.7,182.4,67.5
AZ,212.2,109.6,358.4,341.3,181.4,134.4,0.0,164.1,116.5,334.9,172.3,366.5,384.0,86.0,149.3,272.8,113.3,41.8,232.3,139.9,5.5,246.6,270.4,129.8,105.8,94.1,115.3,222.7,172.6,356.7,94.5,114.8,224.1,124.4,92.7,1817.1,173.6,263.4,102.9,8.7,257.0,193.1,243.8,58.6,209.3,182.7,157.0,396.1,74.9,207.4,357.7,241.0,207.6,187.7,332.9,115.0,182.2,119.2,376.8,151.3,250.1,11.7,243.8,160.4,235.5,217.5,327.2,234.5,79.0,341.4,29.6,357.4,98.7,194.8,281.5,327.5,62.5,158.0,74.0,227.8,321.3,72.6,297.8,159.5,174.5,347.4,71.3,149.8
BD,220.1,104.9,242.5,175.8,266.0,158.2,154.1,0.0,126.4,169.4,149.0,201.0,218.5,157.5,248.4,221.8,196.5,156.6,217.0,218.8,160.9,201.5,237.8,227.1,207.0,185.9,280.6,237.8,139.3,192.5,176.4,217.3,171.8,279.9,103.9,1834.3,196.1,211.1,187.4,145.8,144.3,27.6,192.8,138.0,43.8,166.3,178.0,230.9,131.4,181.4,181.4,75.5,245.1,178.5,173.2,138.8,16.7,261.7,211.3,230.6,199.4,167.1,157.9,182.4,184.5,52.0,225.4,283.5,182.0,175.9,137.4,191.9,146.7,23.8,229.6,162.0,208.6,134.2,167.2,112.3,155.8,152.0,222.3,5.8,259.1,181.9,135.1,173.6
BF,184.2,113.8,372.8,306.1,138.2,167.1,89.0,128.9,0.0,299.7,137.1,331.3,345.2,39.4,120.6,325.0,78.4,87.5,284.5,192.1,94.5,331.8,322.6,112.9,88.9,207.0,183.0,274.9,148.2,321.5,57.0,97.9,276.3,213.5,17.0,1869.3,206.3,315.6,68.0,79.4,274.6,157.9,296.0,107.2,185.1,296.6,181.1,360.9,123.5,259.4,312.5,205.8,259.8,239.9,297.7,147.7,147.0,142.3,341.6,102.8,302.3,100.7,286.9,160.6,287.7,182.3,355.7,286.7,79.2,306.2,98.0,322.2,27.3,154.1,359.9,292.3,176.5,264.5,74.2,241.3,286.1,121.2,352.6,124.3,131.3,312.2,39.8,182.5
BL,383.4,288.4,189.3,18.0,453.6,345.8,343.0,187.5,315.3,0.0,300.0,54.0,289.6,346.4,436.0,359.5,385.4,344.2,296.8,349.6,348.5,281.3,317.6,417.5,395.9,346.5,468.2,412.6,362.3,64.2,364.0,404.9,310.8,496.7,291.5,1806.3,385.0,393.0,375.0,333.4,283.3,205.3,330.5,326.9,200.0,250.3,355.7,272.9,319.0,320.3,84.5,231.7,397.5,339.1,113.4,326.4,194.4,449.3,41.8,418.2,336.8,354.7,295.6,320.7,322.2,229.7,217.2,363.3,369.6,255.7,325.0,271.7,334.3,185.5,309.4,79.6,419.8,273.2,356.1,288.7,235.6,340.9,302.1,193.4,446.7,261.7,321.7,361.2
