from_stop,AT,BI,BK,BS,BT,BX,CC,DA,DD,DE,DQ,DR,DU,EA,ED,EF,EH,EO,EX,EY,FF,FI,FK,FL,FR,FT,FV,GG,GI,GQ,HD,HG,HI,HM,HN,HP,HT,HV,ID,IE,IN,IS,IV,JF,JH,JW,KA,KL,KT,LE,LS,MA,MD,ME,MG,MH,MI,MQ,MV,MY,NK,NP,NQ,OD,OK,OT,OU,OX,OY,PD,PF,PG,PI,PQ,PR,QC,QF,QM,RM,RZ,SS,TF,TG,TV,TW,TZ,UB,UD,UO,UR,UY,VB,VD,VF,VH,VI,VQ,WK,WO,WQ,XQ,XS,YF,YN,YR,YT,YU,YX,ZB,ZG,ZL
AT,0.0,234.3,608.1,113.0,117.4,184.2,71.5,174.2,177.0,206.5,237.6,237.3,245.4,199.7,615.0,120.1,163.1,210.9,81.3,202.8,417.2,377.5,194.9,192.1,65.5,155.2,189.8,135.2,116.9,186.9,477.1,567.5,123.4,90.5,342.4,133.0,352.8,58.6,96.6,300.3,150.7,555.9,173.8,134.1,228.1,107.8,571.3,213.6,102.1,571.3,45.1,129.0,219.2,76.4,223.4,165.6,164.0,84.9,154.2,219.9,145.0,619.9,213.0,97.4,153.1,149.4,225.7,527.8,350.2,197.1,266.3,527.5,204.2,177.5,129.9,104.7,1594.0,173.5,94.7,589.1,182.9,101.2,85.8,213.2,97.5,165.6,111.3,78.7,358.1,226.3,183.2,176.2,149.0,168.5,203.2,625.7,622.9,126.1,164.0,631.4,171.0,169.8,156.9,504.4,182.7,556.0,172.1,195.1,122.1,199.8,133.7
BI,241.1,0.0,747.4,202.3,152.5,73.2,202.8,62.5,100.2,97.5,360.1,346.5,346.0,360.1,698.3,71.8,161.9,311.5,182.0,349.9,557.3,558.7,295.5,65.9,178.7,157.6,102.4,57.5,222.2,110.1,601.4,687.0,228.7,266.0,481.7,238.3,518.7,223.9,167.7,277.8,195.3,673.8,176.2,221.4,6.2,152.4,710.6,136.8,188.2,710.6,158.7,106.4,227.7,269.6,375.7,155.3,73.2,154.8,254.8,10.4,313.0,759.2,136.2,270.6,142.8,332.8,376.1,610.9,516.1,120.3,36.1,645.4,352.5,90.1,112.6,112.6,1483.9,325.8,273.3,728.4,348.8,201.9,261.3,365.5,227.2,168.0,133.3,202.4,497.4,117.3,308.8,58.4,151.4,269.1,100.6,709.0,762.2,286.0,124.4,770.7,323.3,335.7,309.2,643.7,335.3,695.3,86.1,86.1,186.8,303.9,149.3
BK,623.8,754.0,0.0,608.3,670.2,703.7,630.1,711.5,714.3,743.8,493.6,512.4,551.2,498.3,172.9,679.4,658.9,520.9,658.6,548.8,464.6,381.3,537.0,747.1,624.8,643.0,709.6,694.5,656.7,724.2,253.2,113.8,650.2,554.1,463.2,640.6,309.3,611.0,642.5,536.1,622.1,333.4,625.2,591.1,747.8,685.1,213.6,686.9,620.9,213.6,604.4,688.3,585.4,558.9,513.9,646.3,723.3,662.2,566.8,743.5,445.2,96.5,687.4,549.8,658.2,421.2,479.8,244.1,427.5,734.4,790.2,305.0,510.7,697.3,690.9,664.0,1516.0,548.9,547.1,23.4,480.2,678.5,558.8,503.7,592.8,632.1,661.8,637.3,363.7,710.9,553.2,735.5,649.2,616.1,686.7,140.3,99.5,535.5,683.8,108.0,517.0,442.5,530.7,275.5,529.0,191.5,691.6,732.4,676.1,601.3,677.0
BS,110.5,205.0,669.3,0.0,139.9,152.8,34.9,144.9,147.7,177.2,157.7,144.1,143.6,157.7,590.7,137.4,241.6,109.1,166.0,147.5,479.2,438.7,93.1,208.0,103.3,74.7,204.2,151.9,19.8,157.6,424.3,579.4,26.3,63.6,403.6,35.9,341.6,56.0,34.1,204.7,207.0,617.1,93.3,19.0,198.8,164.1,632.5,184.3,12.5,632.5,80.6,177.6,120.9,67.5,173.3,103.1,188.8,116.7,52.4,194.5,189.9,681.1,183.7,68.2,90.6,162.6,173.7,433.8,339.0,167.8,241.2,588.7,150.1,191.9,124.3,148.6,1636.1,123.4,70.9,650.3,155.2,185.9,58.9,163.1,24.8,85.1,95.2,71.0,358.4,197.0,106.4,196.4,68.5,66.7,171.8,601.4,684.1,83.6,178.4,692.6,120.9,158.6,106.8,565.6,132.9,617.2,140.7,165.8,41.6,101.5,71.2
BT,127.3,154.6,663.9,140.5,0.0,109.4,95.1,94.5,97.3,126.8,298.3,284.7,284.2,284.4,670.8,117.6,119.2,249.7,89.3,279.4,473.8,433.3,233.7,157.6,45.3,178.8,178.0,108.5,160.4,107.2,508.7,623.3,166.9,167.1,398.2,176.5,426.0,107.3,106.2,284.9,102.6,632.8,197.4,159.6,148.4,59.7,627.1,133.9,126.4,627.1,103.4,134.2,261.5,153.0,300.0,173.7,145.4,39.4,193.0,144.1,204.3,675.7,133.3,174.0,161.2,223.4,300.4,518.2,423.4,117.4,190.8,604.4,276.8,165.7,50.2,105.2,1550.1,250.1,171.3,644.9,256.1,109.2,162.4,289.8,165.4,189.2,36.5,69.0,413.9,146.6,247.0,146.0,172.6,207.3,128.4,681.5,678.7,188.1,152.2,687.2,247.6,243.0,233.5,560.2,259.6,611.8,97.3,115.4,145.7,242.1,141.8
BX,196.2,75.5,704.2,155.8,107.7,0.0,156.3,68.4,71.2,100.7,313.6,300.0,299.5,313.6,711.1,71.2,165.1,265.0,137.2,303.4,513.3,473.6,249.0,78.5,132.2,157.0,110.9,62.1,175.7,81.1,556.6,663.6,182.2,219.5,438.5,191.8,473.9,177.4,121.2,274.3,150.5,680.7,175.6,167.3,69.3,107.6,667.4,107.8,141.7,667.4,115.5,87.8,276.8,223.1,329.2,154.7,81.7,108.3,208.3,65.0,258.5,716.0,107.2,224.1,137.9,272.7,331.5,566.1,471.3,91.3,107.5,652.3,310.0,98.6,67.8,40.8,1542.8,279.3,226.8,685.2,304.0,157.1,214.8,319.0,180.7,167.4,86.8,155.9,454.2,120.5,262.3,66.9,150.8,222.6,82.0,721.8,719.0,254.1,105.8,727.5,276.8,290.9,262.7,600.5,288.5,652.1,12.8,89.3,161.0,257.4,148.7
CC,75.5,195.9,657.4,45.3,113.7,143.7,0.0,135.8,138.6,168.1,203.1,189.5,189.0,190.0,607.9,128.3,232.5,154.5,131.0,192.9,467.3,426.8,138.5,198.9,68.3,83.6,206.9,142.8,65.2,148.5,441.5,616.8,71.7,80.8,391.7,81.3,358.8,21.0,25.0,246.0,197.9,605.2,102.2,64.4,189.7,155.0,620.6,175.2,31.2,620.6,68.7,168.5,166.3,66.7,213.7,94.0,179.7,107.6,97.8,185.4,179.2,669.2,174.6,87.7,81.5,164.3,214.1,451.0,356.2,158.7,232.1,576.8,190.5,194.6,115.2,139.5,1638.8,163.8,85.0,638.4,188.9,150.9,76.1,203.5,70.2,94.0,86.1,36.0,407.4,187.9,151.8,187.3,77.4,112.1,162.7,618.6,672.2,101.8,181.1,680.7,161.3,175.8,147.2,553.7,173.3,605.3,131.6,156.7,50.5,146.9,62.1
DA,182.3,80.6,713.5,143.5,93.7,67.4,144.0,0.0,37.6,32.2,301.3,287.7,287.2,293.2,703.6,111.9,96.6,252.7,123.2,291.1,522.6,530.7,236.7,97.5,119.9,181.8,129.9,102.8,163.4,47.5,537.2,672.9,169.9,207.4,447.8,179.5,454.5,165.1,108.9,312.5,131.1,645.8,200.4,162.6,86.8,96.3,676.7,74.2,128.7,676.7,158.4,128.5,264.5,210.8,316.9,176.4,100.7,96.0,196.0,80.1,268.4,725.3,73.6,211.8,163.9,295.0,319.2,546.7,451.9,57.7,94.7,617.4,297.7,117.6,53.8,99.5,1528.7,267.0,214.5,694.5,284.6,143.1,202.5,306.7,168.4,192.2,74.5,143.6,463.5,52.0,250.0,85.9,175.6,210.3,122.7,714.3,728.3,241.8,146.5,736.8,264.5,304.8,250.4,609.8,276.5,661.4,80.3,20.8,148.7,245.1,144.5
DD,196.6,108.8,692.3,157.8,108.0,81.7,158.3,29.1,0.0,61.4,315.6,302.0,301.5,307.5,668.1,126.2,75.0,267.0,133.0,305.4,501.4,461.7,251.0,116.1,134.2,196.1,144.2,117.1,177.7,9.8,501.7,651.7,184.2,209.4,426.6,193.8,419.0,179.4,123.2,326.8,95.6,625.8,214.7,176.9,102.6,106.7,655.5,36.5,143.0,655.5,172.7,142.8,278.8,225.1,331.2,190.7,115.0,110.3,210.3,98.3,241.4,704.1,35.9,226.1,178.2,268.7,330.2,511.2,416.4,20.0,123.9,600.4,312.0,131.9,68.1,113.8,1505.9,281.3,228.8,673.3,249.1,116.8,214.1,321.0,182.7,206.5,88.8,157.9,435.8,81.2,264.3,100.2,189.9,224.6,137.0,678.8,707.1,232.9,160.8,715.6,278.8,236.0,264.7,588.6,290.8,640.2,94.6,50.0,163.0,259.4,158.8
DE,224.6,105.6,693.5,185.8,136.0,109.7,186.3,42.2,79.9,0.0,343.3,330.0,329.5,333.8,669.3,154.2,62.3,295.0,134.2,318.9,503.4,506.5,279.0,135.7,162.2,224.1,172.2,145.1,205.7,89.8,502.9,652.9,212.2,210.6,427.8,221.8,420.2,207.4,151.2,347.6,96.8,621.6,242.7,204.9,111.8,107.9,656.7,84.2,171.7,656.7,174.0,170.8,306.8,246.2,357.5,218.7,143.0,138.3,238.3,116.1,244.1,705.3,84.7,248.4,206.2,278.1,329.5,512.4,417.6,99.0,123.9,593.2,334.3,159.9,96.1,141.8,1465.7,309.3,245.7,674.5,250.3,118.0,215.3,347.3,210.7,234.5,116.8,185.9,437.0,17.7,292.3,128.2,217.9,252.6,165.0,680.0,708.3,234.1,188.8,716.8,287.1,237.2,292.7,589.8,299.1,641.4,122.6,11.4,191.0,287.4,186.8
