from_stop,AE,AT,AZ,BA,BG,BR,BS,BX,CB,CE,CF,CJ,CM,CY,DF,DJ,DR,DS,DT,ED,EH,EW,EZ,FE,FG,FV,FY,GD,GE,GJ,GO,GP,GQ,HD,HM,HN,HS,HW,HZ,IA,IF,IG,IL,IY,JA,JJ,JV,KF,KQ,KS,KV,KW,LC,LJ,LL,LM,LZ,MI,MK,MS,MV,ND,NJ,NP,NQ,NW,OH,PE,PJ,PQ,PU,QW,QY,RT,SA,SB,SE,SF,SL,SN,SR,TA,TC,TD,TQ,TW,UD,UE,UF,UK,UN,VA,VE,VF,VY,WA,WB,WP,WW,XD,XE,YG,YW,ZC,ZD,ZI,ZL,ZV
AE,0.0,632.9,646.2,158.7,617.1,448.1,415.3,484.6,594.5,414.7,737.0,421.2,468.0,367.7,514.0,635.9,591.2,519.5,300.9,59.3,321.8,207.0,246.9,374.7,490.3,623.4,569.8,427.0,268.6,532.7,442.2,328.5,251.6,188.5,495.5,344.9,357.0,112.3,342.5,512.9,87.6,236.0,299.5,407.3,258.2,545.9,227.9,165.9,295.0,759.3,602.0,225.1,540.9,525.5,398.8,439.8,328.8,2245.5,385.0,208.2,367.8,435.0,346.4,215.3,322.9,469.0,336.4,209.2,244.3,723.8,216.7,411.9,291.5,298.9,180.0,38.3,114.9,378.7,568.1,365.2,214.4,446.3,632.4,398.8,354.3,58.1,632.5,272.9,422.2,115.8,339.8,387.6,751.8,427.0,240.8,605.8,403.0,601.8,286.4,545.9,298.0,429.8,264.2,302.1,508.2,90.1,470.3,249.1
AT,613.5,0.0,13.3,772.3,180.9,273.4,973.3,166.3,50.8,217.2,1305.5,1360.8,293.3,539.9,877.3,199.7,1159.7,240.0,709.1,663.4,1261.4,795.6,755.7,587.2,210.8,175.2,73.0,802.5,734.0,450.1,1073.5,1126.1,781.1,537.7,216.0,1284.5,662.9,627.3,366.5,338.2,691.7,845.3,748.0,770.6,787.7,119.2,774.7,836.7,356.6,250.6,30.8,855.1,1109.4,106.8,336.9,998.9,777.3,2165.0,428.5,518.0,1124.4,1066.3,1134.8,787.3,384.2,181.9,705.7,401.7,857.9,1292.3,830.3,1069.3,375.1,1238.5,546.2,651.9,728.5,330.3,74.7,734.5,910.8,815.6,45.5,1338.4,769.5,564.7,184.3,578.8,209.2,729.4,1098.9,756.9,1320.3,796.3,854.4,54.5,961.0,58.1,665.8,421.7,341.5,793.1,738.4,385.7,474.6,703.7,839.6,371.8
AZ,626.8,13.3,0.0,785.6,194.2,286.7,986.6,179.6,64.1,230.5,1318.8,1374.1,306.6,553.2,890.6,213.0,1173.0,253.3,722.4,676.7,1274.7,808.9,769.0,600.5,224.1,188.5,86.3,815.8,747.3,463.4,1086.8,1139.4,794.4,551.0,228.6,1297.8,676.2,640.6,379.8,351.5,705.0,858.6,761.3,783.9,801.0,108.6,788.0,850.0,369.9,263.9,44.1,868.4,1122.7,120.1,350.2,1012.2,790.6,2178.3,441.8,531.3,1137.7,1079.6,1148.1,800.6,397.5,195.2,719.0,415.0,871.2,1305.6,843.6,1082.6,388.4,1251.8,559.5,665.2,741.8,343.6,88.0,747.8,924.1,828.9,32.1,1351.7,782.8,578.0,197.6,592.1,222.5,742.7,1112.2,770.2,1333.6,809.6,867.7,41.2,974.3,71.4,679.1,435.0,354.8,806.4,751.7,399.0,487.9,717.0,852.9,385.1
BA,156.8,758.2,744.9,0.0,598.3,558.3,294.6,718.1,745.7,571.6,578.2,262.4,578.2,524.6,452.0,582.8,432.4,676.4,283.8,216.2,163.0,363.9,403.8,215.9,647.2,759.0,710.7,320.9,308.7,373.9,283.4,169.7,92.8,345.4,651.7,186.1,513.9,269.2,499.4,623.1,244.5,115.3,322.7,345.3,99.4,674.5,384.8,322.8,420.1,600.5,742.9,104.4,382.1,694.4,555.7,281.0,313.4,2402.4,541.9,365.1,227.5,276.2,187.6,372.2,481.7,625.9,243.3,366.1,346.5,565.0,318.9,253.1,448.4,140.1,336.9,140.5,43.7,535.6,709.0,217.1,93.7,334.0,712.7,240.0,287.9,215.0,768.1,429.8,579.1,218.0,181.0,195.5,593.0,314.7,82.0,703.6,282.3,738.4,127.6,678.5,454.9,367.8,313.1,459.0,349.4,68.5,358.0,406.0
BG,576.3,198.2,211.5,735.1,0.0,236.2,858.8,119.7,147.3,180.0,1191.0,1246.3,256.1,502.7,840.1,18.7,1045.2,339.0,671.9,626.2,1146.9,758.4,718.5,550.0,309.8,160.6,172.0,765.3,696.8,412.9,959.0,1011.6,666.6,500.5,315.0,1170.0,625.7,590.1,329.3,301.0,654.5,808.1,710.8,733.4,673.2,218.2,737.5,799.5,319.4,69.6,167.3,817.9,994.9,205.8,299.7,884.4,740.1,2190.2,391.3,480.8,1009.9,951.8,1020.3,750.1,347.0,135.3,668.5,364.5,820.7,1177.8,793.1,954.8,337.9,1124.0,509.0,614.7,691.3,293.1,173.7,697.3,873.6,778.4,243.7,1223.9,732.3,527.5,169.7,541.6,172.0,692.2,984.4,719.7,1205.8,759.1,737.7,252.8,846.5,140.0,628.6,384.5,304.3,755.9,701.2,348.5,437.4,666.5,802.4,334.6
BR,406.4,295.2,308.5,565.2,275.4,0.0,722.3,142.9,256.8,73.0,1054.5,1109.8,19.8,268.9,670.2,294.2,908.7,177.8,502.0,456.3,1010.4,588.5,548.6,336.2,148.6,281.7,232.1,589.2,526.9,199.1,822.5,875.1,530.1,330.6,153.1,1033.5,455.8,420.2,95.5,64.7,484.6,638.2,540.9,563.5,536.7,208.2,567.6,629.6,131.4,345.1,264.3,648.0,858.4,187.8,129.8,747.9,570.2,2051.1,216.8,310.9,862.4,815.3,883.8,580.2,115.6,127.3,498.6,194.6,650.8,1041.3,623.2,818.3,146.5,987.5,339.1,444.8,521.4,59.3,230.4,527.4,703.7,608.5,294.7,1087.4,562.4,357.6,290.8,371.7,80.5,522.3,847.9,549.3,1069.3,589.2,601.2,268.1,710.0,261.1,414.8,175.0,134.4,586.0,531.3,135.9,223.6,496.6,632.5,164.7
BS,380.5,816.4,829.7,281.7,751.3,634.8,0.0,691.4,778.0,621.5,332.1,443.5,654.7,765.4,353.0,735.8,186.3,726.3,184.8,439.9,344.1,271.3,231.4,368.9,697.1,830.2,753.3,215.7,209.7,526.9,155.8,208.8,185.3,361.5,702.3,367.2,570.0,399.4,609.4,699.6,468.2,170.5,223.7,246.3,179.8,729.4,250.4,312.4,539.9,753.5,785.5,180.3,136.0,709.0,605.6,81.6,214.4,2328.9,571.5,425.1,196.1,149.0,217.5,263.0,589.3,675.8,144.3,585.0,570.2,318.9,542.6,152.0,558.4,321.2,353.0,364.2,267.4,645.6,751.6,118.1,236.0,235.0,815.9,421.1,188.9,748.0,839.3,485.9,629.0,441.7,181.6,96.5,346.9,215.7,296.9,789.3,71.9,785.3,280.6,807.4,496.7,268.8,214.1,569.0,502.4,292.2,259.0,555.1
BX,456.5,176.3,189.6,615.3,132.4,116.4,816.3,0.0,125.4,60.2,1148.5,1203.8,136.3,382.9,720.3,151.2,1002.7,156.7,552.1,506.4,1104.4,638.6,598.7,430.2,127.5,138.7,150.1,645.5,577.0,293.1,916.5,969.1,624.1,380.7,132.7,1127.5,505.9,470.3,209.5,181.2,534.7,688.3,591.0,613.6,630.7,196.3,617.7,679.7,199.6,202.1,145.4,698.1,952.4,183.9,179.9,841.9,620.3,2070.4,271.5,361.0,967.4,909.3,977.8,630.3,227.2,15.6,548.7,244.7,700.9,1135.3,673.3,912.3,218.1,1081.5,389.2,494.9,571.5,173.3,151.8,577.5,753.8,658.6,221.8,1181.4,612.5,407.7,147.8,421.8,52.2,572.4,941.9,599.9,1163.3,639.3,697.4,230.9,804.0,118.1,508.8,264.7,184.5,636.1,581.4,228.7,317.6,546.7,682.6,214.8
CB,565.1,50.8,64.1,723.9,130.0,225.0,924.9,115.4,0.0,168.8,1257.1,1312.4,244.9,491.5,828.9,148.8,1111.3,191.6,660.7,615.0,1213.0,747.2,707.3,538.8,162.4,124.3,24.6,754.1,685.6,401.7,1025.1,1077.7,732.7,489.3,167.6,1236.1,614.5,578.9,318.1,289.8,643.3,796.9,699.6,722.2,739.3,70.8,726.3,788.3,308.2,199.7,19.9,806.7,1061.0,58.4,288.5,950.5,728.9,2116.6,380.1,469.6,1076.0,1017.9,1086.4,738.9,335.8,131.0,657.3,353.3,809.5,1243.9,781.9,1020.9,326.7,1190.1,497.8,603.5,680.1,281.9,26.3,686.1,862.4,767.2,96.3,1290.0,721.1,516.3,133.4,530.4,160.8,681.0,1050.5,708.5,1271.9,747.9,806.0,105.4,912.6,7.2,617.4,373.3,293.1,744.7,690.0,337.3,426.2,655.3,791.2,323.4
CE,396.2,222.1,235.4,555.0,202.3,56.1,756.0,69.8,183.7,0.0,1088.2,1143.5,76.0,322.6,660.0,221.1,942.4,104.7,491.8,446.1,1044.1,578.3,538.4,369.9,75.5,208.6,160.5,579.0,516.7,232.8,856.2,908.8,563.8,320.4,80.0,1067.2,445.6,410.0,149.2,120.9,474.4,628.0,530.7,553.3,570.4,135.1,557.4,619.4,121.2,272.0,200.7,637.8,892.1,114.7,119.6,781.6,560.0,2018.4,211.2,300.7,896.1,849.0,917.5,570.0,168.8,54.2,488.4,184.4,640.6,1075.0,613.0,852.0,157.8,1021.2,328.9,434.6,511.2,113.0,157.3,517.2,693.5,598.3,221.6,1121.1,552.2,347.4,217.7,361.5,7.4,512.1,881.6,539.1,1103.0,579.0,637.1,195.0,743.7,188.0,448.5,228.7,124.2,575.8,521.1,168.4,257.3,486.4,622.3,154.5
