from_stop,AC,AE,AH,AI,AO,AQ,AU,BA,BC,BE,BR,BS,BU,BV,BW,BY,CJ,CS,CW,CZ,DY,EC,ED,EZ,FB,FC,FQ,FZ,GA,GO,GS,HA,HC,HG,HK,HM,HZ,IJ,IM,IT,IV,JE,JL,JN,JP,KH,KI,KL,KP,LO,LT,LX,MK,MO,MP,MT,NI,NY,OF,OV,OX,OZ,PC,PG,PH,PU,PY,QA,QK,QU,QW,RE,RH,SM,UB,UM,UO,US,UX,VC,VF,VH,VL,VO,WD,WI,WR,WX,XA,XC,XI,XL,XR,YJ,YK,YP,ZM,ZR
AC,0.0,148.7,398.9,170.4,157.1,86.2,91.5,187.2,81.8,491.6,169.3,209.1,628.3,129.3,105.6,158.0,120.0,299.1,113.7,314.3,730.7,532.5,578.2,528.3,106.9,762.8,78.0,1951.9,329.9,66.1,755.5,423.5,380.0,72.7,115.1,64.7,213.6,579.8,160.4,817.7,190.1,492.9,31.1,211.1,18.9,137.6,49.1,120.3,615.5,65.0,720.1,292.3,438.3,141.9,811.8,337.7,415.8,130.7,217.0,61.4,436.0,178.5,194.2,113.8,202.9,195.3,198.9,627.8,99.9,108.7,715.8,630.2,321.2,638.9,53.2,56.9,767.9,112.0,490.9,135.6,136.2,94.9,598.5,129.6,485.0,74.8,558.6,70.1,142.1,90.0,102.4,153.1,755.4,559.8,184.8,806.5,614.2,383.6
AE,145.8,0.0,500.3,116.3,84.4,62.4,237.4,294.8,155.2,599.2,275.8,77.6,520.7,23.4,211.9,265.6,84.5,406.7,100.5,421.9,832.7,640.1,681.8,635.9,178.2,869.3,180.2,1848.7,436.4,139.5,862.0,530.0,487.6,183.2,217.3,139.8,321.2,480.7,7.0,918.9,299.7,600.5,132.2,357.0,134.0,54.4,196.7,226.8,722.0,166.1,827.7,404.5,544.8,249.1,919.4,445.3,529.4,242.2,324.6,162.5,542.5,286.1,92.5,221.4,66.9,91.4,49.0,518.0,200.2,39.9,823.4,520.4,428.8,529.1,196.1,202.8,795.5,214.2,598.5,235.9,12.4,199.8,705.0,96.0,592.6,177.0,666.2,171.2,242.4,225.1,204.6,263.8,808.0,450.0,101.9,913.0,504.4,490.1
AH,424.8,533.2,0.0,554.9,500.5,470.7,348.9,295.7,448.9,375.3,269.7,580.7,978.6,513.8,333.5,281.5,504.5,149.9,532.9,273.6,614.4,335.4,461.9,412.0,423.2,646.5,421.4,2371.1,289.2,467.3,639.2,143.9,249.7,364.9,438.3,380.4,337.2,967.7,544.9,701.4,337.7,193.6,404.1,377.1,438.1,530.6,392.5,319.0,499.2,380.9,603.8,251.6,397.6,298.7,695.5,219.7,375.1,474.1,345.1,404.8,319.7,302.1,578.7,324.8,570.0,579.8,583.4,1015.7,341.6,493.2,599.5,1034.3,280.5,1026.8,383.5,373.6,651.6,455.4,99.6,377.3,520.7,438.3,482.2,546.9,368.7,371.1,442.3,413.5,276.7,350.5,445.8,374.7,639.1,947.7,569.3,690.2,1002.1,84.3
AI,164.8,112.2,519.3,0.0,161.3,81.4,256.4,313.8,174.2,618.2,295.9,38.6,547.3,87.6,232.0,284.6,38.8,425.7,212.4,440.9,857.3,659.1,704.8,654.9,197.2,889.4,199.2,1862.9,456.5,158.5,882.1,550.1,506.6,202.2,236.3,158.8,340.2,509.5,120.4,937.9,319.8,619.5,152.3,376.0,149.2,131.3,170.3,246.9,742.1,186.2,846.7,424.6,564.9,268.5,938.4,464.3,548.4,262.3,343.6,182.6,562.6,305.1,23.7,240.4,48.1,24.8,161.3,546.8,220.3,72.2,842.4,549.2,447.8,557.9,215.1,221.8,824.3,233.2,617.5,256.0,99.7,220.1,725.1,228.3,611.6,196.0,685.2,194.4,262.5,244.1,223.6,282.8,836.8,478.8,14.3,933.1,533.2,510.2
AO,117.0,72.5,516.0,144.7,0.0,136.2,208.6,284.0,193.2,588.4,266.1,106.0,520.7,93.1,202.4,254.8,158.3,395.9,62.2,411.1,827.5,629.3,675.0,625.1,218.3,859.6,85.4,1862.3,426.7,177.5,852.3,520.3,476.8,172.4,206.5,181.8,310.4,472.2,61.0,914.5,290.0,589.7,122.5,328.2,94.9,30.0,140.5,217.1,712.3,156.4,816.9,389.1,535.1,238.7,908.6,434.5,512.6,146.2,313.8,101.7,532.8,275.3,120.9,210.6,95.3,119.8,69.2,520.2,217.0,113.7,812.6,522.6,418.0,531.3,170.3,174.0,797.7,52.9,587.7,252.7,86.2,68.7,695.3,46.3,581.8,166.2,655.4,93.3,259.2,186.8,62.0,253.0,810.2,452.2,130.3,903.3,506.6,480.4
AQ,83.3,62.4,437.8,84.1,148.0,0.0,174.9,232.3,92.7,536.7,214.4,122.8,582.1,43.0,150.7,203.1,33.7,344.2,130.9,359.4,775.8,577.6,623.3,573.4,117.8,807.9,117.7,1912.3,375.0,77.0,800.6,468.6,425.1,120.7,154.8,77.3,258.7,533.6,74.1,862.8,238.3,538.0,70.8,294.5,69.5,154.8,88.8,165.4,660.6,104.7,765.2,337.4,483.4,187.7,856.9,382.8,460.9,170.4,262.1,101.1,481.1,223.6,107.9,158.9,130.5,109.0,112.6,581.6,138.8,22.4,760.9,584.0,366.3,592.7,136.6,140.3,813.0,151.7,536.0,174.5,49.9,134.6,643.6,146.8,530.1,114.5,603.7,109.8,181.0,135.1,142.1,201.3,800.5,513.6,98.5,851.6,568.0,428.7
AU,100.7,245.8,350.9,267.5,196.4,183.3,0.0,110.5,178.9,414.9,92.6,302.5,717.2,226.4,29.4,81.3,217.1,222.4,214.5,237.6,654.0,455.8,501.5,451.6,204.0,686.1,117.3,2052.7,253.2,163.2,678.8,346.8,303.3,60.8,134.2,116.6,135.2,668.7,257.5,741.0,98.5,416.2,100.0,125.2,119.7,226.5,88.4,43.6,538.8,76.8,643.4,215.6,361.6,65.2,735.1,261.0,339.1,170.0,140.3,100.7,359.3,101.8,291.3,37.1,291.8,292.4,296.0,716.7,151.8,205.8,639.1,719.1,244.5,727.8,47.4,69.5,691.2,151.3,414.2,187.5,233.3,134.2,521.8,230.4,408.3,67.0,481.9,109.4,108.8,46.4,141.7,61.5,678.7,648.7,281.9,729.8,703.1,306.9
BA,182.9,308.0,305.7,329.7,258.6,245.5,107.0,0.0,241.1,338.2,27.8,364.7,779.4,288.6,91.6,39.6,279.3,145.7,291.0,160.9,577.3,379.1,424.8,374.9,266.2,609.4,179.5,2129.2,176.5,225.4,602.1,270.1,226.6,123.0,196.4,214.6,95.3,730.9,319.7,664.3,95.8,339.5,162.2,135.2,196.2,288.7,150.6,77.1,462.1,139.0,566.7,138.9,284.9,56.8,658.4,184.3,262.4,232.2,68.1,162.9,282.6,60.2,353.5,82.9,354.0,354.6,358.2,778.9,249.8,268.0,562.4,781.3,167.8,790.0,152.6,131.7,614.5,213.5,337.5,285.5,295.5,196.4,445.1,305.0,331.6,129.2,405.2,171.6,215.9,108.6,203.9,132.8,602.0,710.9,344.1,653.1,765.3,230.2
BC,127.9,124.2,402.6,145.9,197.0,61.7,219.5,286.6,0.0,591.0,268.7,184.6,643.9,104.8,205.0,257.4,95.5,398.5,167.2,413.7,830.1,631.9,677.6,627.7,25.0,862.2,172.0,2005.4,429.3,131.3,854.9,522.9,479.4,175.0,209.1,131.6,313.0,595.4,135.9,917.1,292.6,592.3,125.1,317.4,105.8,191.1,143.1,219.7,714.9,159.0,819.5,391.7,537.7,241.3,911.2,437.1,515.2,224.7,316.4,155.4,535.4,277.9,169.7,213.2,192.3,170.8,174.4,643.4,122.8,84.2,815.2,645.8,420.6,654.5,181.2,184.9,867.3,206.0,502.3,82.1,111.7,188.9,697.9,183.1,584.4,168.8,658.0,164.1,198.3,189.4,196.4,255.6,854.8,575.4,160.3,905.9,629.8,483.0
BE,449.3,574.4,357.3,596.1,525.0,511.9,373.4,320.2,507.5,0.0,294.2,631.1,676.3,555.0,358.0,306.0,545.7,262.9,557.4,205.7,312.1,113.9,122.6,109.7,532.6,344.2,445.9,2395.6,221.3,491.8,336.9,203.3,179.8,389.4,462.8,481.0,361.7,735.4,586.1,399.1,362.2,218.4,428.6,401.6,462.6,555.1,417.0,343.5,123.8,405.4,301.5,183.7,270.8,323.9,393.2,135.8,307.2,498.6,369.6,429.3,45.5,326.6,619.9,349.3,620.4,621.0,624.6,796.9,516.2,534.4,297.2,732.0,212.6,781.8,419.0,398.1,349.3,479.9,333.2,551.9,561.9,462.8,170.2,571.4,66.4,395.6,140.0,438.0,482.3,375.0,470.3,399.2,336.8,881.6,610.5,387.9,815.3,272.9
