from_stop,AH,AR,AT,AV,BD,BG,BR,BT,CB,CS,CU,CW,DB,DP,DR,DY,EC,ED,EI,EN,ES,EU,EV,EW,FA,FF,GG,GH,GK,GN,GO,GT,HA,HE,HG,HN,HO,HT,HX,IB,IE,IG,II,IO,IS,IX,IY,IZ,JE,JI,JO,JQ,JU,KI,KT,KW,LA,LE,LG,LH,LJ,LO,LU,LV,LW,LZ,MI,MO,NH,NQ,NV,NW,OF,OL,OR,OV,OW,PD,PL,PP,PR,QD,QK,QL,QQ,QR,QV,QW,RP,RY,SB,SJ,SM,ST,TB,TO,TW,TY,UF,UI,UQ,US,UT,UX,VF,VG,VL,WM,WT,WW,XF,XG,XH,YB,YE,YH,YP,YR,YX,YZ,ZD,ZH,ZO,ZQ,ZS,ZU,ZW
AH,0.0,830.3,786.9,329.4,463.8,128.3,657.3,526.4,566.2,223.7,576.9,820.7,142.5,648.0,382.9,407.7,659.1,129.1,486.3,646.7,749.9,404.7,392.5,427.2,749.8,828.2,426.7,597.8,782.3,733.6,810.6,1044.0,598.9,561.8,528.1,740.7,814.1,783.1,736.7,666.2,425.8,623.6,443.6,819.4,552.5,323.5,415.6,298.2,663.1,659.7,187.2,913.6,616.1,411.4,631.8,560.4,568.6,578.4,379.9,557.9,148.2,382.3,802.3,997.9,841.6,502.2,213.7,709.7,430.6,634.5,539.5,572.6,560.1,630.1,766.1,590.4,831.6,664.5,728.0,570.5,815.8,721.0,675.1,117.1,468.8,419.2,550.5,653.2,510.5,350.3,922.2,247.0,546.6,945.1,776.0,415.2,819.0,630.1,916.0,639.3,2796.8,415.8,1026.8,392.5,314.5,624.7,885.7,965.1,990.7,273.3,693.1,198.3,501.7,742.6,560.0,339.6,467.3,648.3,547.6,379.9,679.6,761.1,538.9,849.0,369.8,389.3,782.4
AR,829.7,0.0,550.9,809.3,1008.4,745.1,405.7,344.8,323.2,690.4,421.8,1271.4,659.5,301.7,553.8,586.2,401.9,745.9,1030.9,389.5,1200.6,936.7,581.7,572.5,513.8,1278.9,971.3,418.7,307.0,1184.3,9.2,1482.1,217.3,406.7,1008.0,172.8,1264.8,322.8,900.1,1210.8,572.2,375.2,591.4,1364.0,384.8,500.2,466.7,778.1,153.3,423.7,653.9,1064.4,352.6,960.9,231.7,321.6,413.5,1123.0,480.8,375.8,640.0,576.5,1346.9,1448.6,378.9,371.3,680.4,247.0,511.2,398.5,290.9,1096.9,245.0,394.1,303.4,359.2,1283.0,428.5,265.3,402.8,353.1,153.1,199.8,732.8,1013.4,899.1,1095.1,190.5,990.4,523.0,1360.3,714.3,323.2,1391.6,313.3,514.0,356.3,309.7,1366.7,318.9,3203.5,561.1,1477.5,532.4,545.9,273.2,1336.4,1403.2,1441.4,817.9,856.5,722.2,981.6,267.3,1104.6,819.5,410.1,168.1,257.5,560.4,443.6,298.4,1036.5,1299.7,849.7,933.9,53.2
AT,791.4,576.0,0.0,771.0,970.1,706.8,229.0,431.4,210.6,652.1,448.8,1233.1,621.2,393.7,515.8,547.9,411.1,707.6,992.6,398.7,1162.3,911.0,543.4,603.1,37.1,1240.6,933.0,427.9,528.0,1146.0,556.3,1456.4,344.6,463.9,969.7,486.4,1226.5,528.8,861.8,1172.5,620.8,172.9,619.5,1325.7,471.4,461.9,540.7,739.8,408.8,117.1,615.6,1038.7,361.8,917.7,377.5,395.6,487.5,1084.7,455.1,449.8,614.3,538.2,1308.6,1410.3,587.3,445.3,642.1,455.4,585.2,142.3,237.3,1078.9,305.8,201.8,511.8,186.4,1244.0,112.3,473.7,455.2,561.5,466.7,420.8,694.5,975.1,860.8,1056.8,398.9,952.1,484.7,1334.6,688.6,409.8,1357.5,521.7,588.0,564.7,375.8,1328.4,385.0,3165.2,591.7,1439.2,587.5,507.6,390.2,1298.1,1377.5,1403.1,779.6,818.2,704.6,943.3,488.3,1066.3,781.2,484.1,394.0,293.3,555.8,97.2,506.8,998.2,1261.4,811.4,895.6,528.1
AV,338.6,827.8,795.7,0.0,238.4,254.0,666.1,535.2,580.6,232.5,585.7,292.7,168.4,656.8,391.4,416.5,667.9,254.8,303.4,655.5,363.5,458.2,401.3,436.0,758.6,361.1,480.2,606.6,791.1,379.8,819.4,395.4,607.7,570.6,149.1,749.5,299.3,794.3,334.3,419.6,434.6,632.4,452.4,305.3,561.3,332.3,424.4,32.4,671.9,668.5,196.0,269.3,624.9,300.4,640.6,569.2,577.4,395.5,388.7,566.7,161.5,391.1,322.4,349.3,850.4,511.0,222.5,718.5,439.4,643.3,548.3,272.1,568.9,638.9,774.9,604.0,281.1,673.3,736.8,579.3,824.6,729.8,683.9,241.7,303.9,89.7,367.6,662.0,181.0,359.1,290.5,77.6,555.4,296.5,784.8,424.0,827.8,638.9,267.4,648.1,2631.9,424.6,378.2,401.3,323.3,633.5,254.0,316.5,342.1,326.8,360.0,251.8,172.2,751.4,267.2,10.1,476.1,657.1,556.4,388.7,688.4,769.9,227.1,264.4,40.3,321.5,791.2
BD,602.8,1057.3,1013.9,264.1,0.0,518.2,884.3,753.4,793.2,450.7,803.9,105.3,369.5,875.0,609.9,634.7,886.1,519.0,64.9,873.7,176.1,263.1,619.5,654.2,976.8,135.7,285.1,824.8,1009.3,192.4,1037.6,188.0,825.9,788.8,413.3,967.7,111.9,1010.1,598.5,181.1,652.8,850.6,670.6,66.8,779.5,550.5,642.6,296.6,890.1,886.7,414.2,533.5,843.1,61.9,858.8,787.4,795.6,157.0,606.9,784.9,375.2,609.3,83.9,141.9,1068.6,729.2,440.7,936.7,657.6,861.5,766.5,108.7,787.1,857.1,993.1,817.4,94.4,891.5,955.0,797.5,1042.8,948.0,902.1,505.9,65.4,305.1,129.1,880.2,233.5,577.3,103.1,341.8,773.6,89.1,1003.0,642.2,1046.0,857.1,60.0,866.3,2393.4,642.8,170.8,619.5,541.5,851.7,66.6,109.1,134.7,205.2,624.2,319.9,163.6,969.6,96.1,253.0,694.3,875.3,774.6,606.9,906.6,988.1,75.0,77.0,222.8,83.0,1009.4
BG,167.8,793.9,761.8,304.3,438.7,0.0,632.2,501.3,546.7,198.6,551.8,795.6,117.4,622.9,357.5,382.6,634.0,33.6,461.2,621.6,724.8,379.6,367.4,402.1,724.7,803.1,401.6,572.7,757.2,708.5,785.5,1018.9,573.8,536.7,503.0,715.6,789.0,760.4,711.6,641.1,400.7,586.1,418.5,794.3,527.4,298.4,390.5,273.1,638.0,634.6,162.1,888.5,591.0,391.2,606.7,535.3,543.5,553.3,354.8,532.8,123.1,357.2,777.2,972.8,816.5,477.1,188.6,684.6,405.5,609.4,514.4,539.8,535.0,605.0,741.0,570.1,807.2,639.4,702.9,545.4,790.7,695.9,650.0,92.0,443.7,394.1,525.4,628.1,485.4,325.2,897.1,221.9,521.5,920.0,750.9,390.1,793.9,605.0,890.9,614.2,2771.7,390.7,1001.7,367.4,289.4,599.6,860.6,940.0,965.6,248.2,668.0,152.5,476.6,717.5,534.9,314.5,442.2,623.2,522.5,354.8,654.5,736.0,513.8,823.9,344.7,364.2,757.3
BR,693.1,466.4,240.3,672.7,871.8,608.5,0.0,313.6,106.7,553.8,350.5,1134.8,522.9,295.4,417.2,449.6,312.8,609.3,894.3,300.4,1064.0,793.2,445.1,504.8,203.2,1142.3,834.7,329.6,410.2,1047.7,458.0,1338.6,246.3,365.6,851.9,388.1,1128.2,432.9,763.5,1074.2,522.5,64.6,523.7,1227.4,353.6,363.6,442.4,641.5,310.5,113.1,517.3,920.9,263.5,824.3,279.2,297.3,389.2,986.4,337.3,351.5,496.5,420.4,1210.3,1312.0,489.0,347.0,524.3,357.1,486.9,87.9,139.0,953.4,207.5,33.9,413.5,83.3,1146.4,98.4,375.4,337.4,463.2,368.4,322.5,596.2,876.8,762.5,958.5,300.6,853.8,386.4,1216.8,570.8,292.0,1255.0,423.4,489.7,466.4,277.5,1230.1,286.7,3066.9,493.4,1340.9,489.2,409.3,291.9,1180.3,1259.7,1304.8,681.3,719.9,585.6,845.0,370.5,968.0,682.9,385.8,276.2,195.0,457.5,133.0,408.5,899.9,1163.1,713.1,797.3,429.8
BT,530.1,336.7,439.8,509.7,708.8,445.5,294.6,0.0,224.7,390.8,64.3,1065.7,359.9,121.7,261.1,347.5,146.5,446.3,731.3,134.1,994.9,649.7,332.3,215.0,402.7,1073.2,671.7,85.2,300.0,978.6,328.3,1289.0,137.4,49.2,708.4,258.4,1059.1,303.2,789.0,911.2,214.7,264.1,233.9,1064.4,39.9,263.3,109.2,478.5,180.8,312.6,354.3,965.9,146.1,656.4,112.4,33.9,56.0,823.4,258.4,31.4,353.0,242.8,1047.3,1242.9,359.3,13.8,380.8,227.4,153.7,287.4,192.4,809.9,133.9,283.0,283.8,248.1,1077.3,317.4,245.7,57.9,333.5,238.7,192.8,433.2,713.8,599.5,795.5,170.9,690.8,228.8,1167.2,427.3,20.1,1185.9,293.7,156.5,336.7,161.4,1161.0,170.6,3041.8,203.6,1271.8,174.9,230.1,98.2,1130.7,1210.1,1235.7,518.3,745.4,443.3,682.0,260.3,805.0,519.9,52.6,166.0,146.4,215.5,332.5,278.8,736.9,1094.0,550.1,634.3,300.1
CB,586.3,359.6,215.0,565.9,765.0,501.7,69.8,226.3,0.0,447.0,243.7,1028.0,416.1,188.6,310.4,342.8,206.0,502.5,787.5,193.6,957.2,705.9,338.3,398.0,177.9,1035.5,727.9,222.8,322.9,940.9,351.2,1251.3,139.5,258.8,764.6,281.3,1021.4,326.1,656.7,967.4,415.7,39.3,416.9,1120.6,266.3,256.8,335.6,534.7,203.7,87.8,410.5,833.6,156.7,712.6,172.4,190.5,282.4,879.6,250.0,244.7,409.2,333.1,1103.5,1205.2,382.2,240.2,437.0,250.3,380.1,62.6,32.2,866.1,100.7,58.2,306.7,18.6,1039.6,92.6,268.6,250.1,356.4,261.6,215.7,489.4,770.0,655.7,851.7,193.8,747.0,279.6,1129.5,483.5,204.7,1152.4,316.6,382.9,359.6,170.7,1123.3,179.9,2960.1,386.6,1234.1,382.4,302.5,185.1,1093.0,1166.8,1198.0,574.5,613.1,499.5,738.2,283.2,861.2,576.1,279.0,188.9,88.2,350.7,107.7,301.7,793.1,1056.3,606.3,690.5,323.0
CS,265.0,713.1,669.7,244.6,443.7,180.4,540.1,408.4,449.0,0.0,458.9,800.6,94.8,530.2,264.9,289.7,541.1,181.2,466.2,528.7,729.8,384.6,274.5,309.2,632.6,808.1,406.6,479.8,665.1,713.5,693.4,1023.9,481.7,443.8,443.3,623.5,794.0,665.9,642.3,646.1,307.8,506.4,325.6,799.3,434.5,205.5,297.6,213.4,545.9,542.5,41.1,819.2,498.9,391.3,514.6,442.4,450.6,558.3,261.9,439.9,87.9,264.3,782.2,977.8,724.4,384.2,9.9,592.5,312.6,517.3,422.3,552.5,442.9,512.9,648.9,473.2,811.5,547.3,610.8,452.5,698.6,603.8,557.9,168.1,448.7,334.4,530.4,536.0,425.7,232.3,902.1,162.2,428.6,925.0,658.8,297.2,701.8,512.9,895.9,522.1,2776.7,297.8,1006.7,274.5,196.5,506.7,865.6,945.0,970.6,253.2,598.7,178.2,416.9,625.4,539.9,254.8,349.3,531.1,430.4,261.9,562.4,643.9,471.8,828.9,285.0,369.2,665.2
