from_stop,AA,AK,AM,AQ,AW,BB,BG,BH,BN,BP,BT,BW,BX,BY,BZ,CC,CF,CJ,CK,CM,DF,DN,DW,DX,EB,FB,FE,FS,FW,GQ,GX,HE,HR,HV,HW,IB,IC,IG,IJ,IL,IM,IP,IV,IX,IZ,JC,JD,JH,JJ,JK,JR,KB,KJ,KP,LF,LP,MB,MF,ML,MN,MT,MW,NA,NI,NK,NP,NQ,NR,NS,NX,OI,OJ,OM,OO,PB,PP,PT,PX,QF,QN,QZ,RB,RF,RV,SA,SC,SD,SH,SJ,SK,SV,TD,TQ,TS,TV,UB,UD,UH,UO,UW,VF,VI,VN,VP,VU,VZ,WR,WV,WX,XK,XO,XQ,XR,XY,YF,YI,YL,YN,YW,ZS,ZV
AA,0.0,211.4,218.4,558.4,869.0,454.5,788.7,972.3,844.1,468.9,834.5,371.9,886.3,596.0,883.3,813.8,536.2,196.2,886.2,788.2,459.1,150.5,561.6,839.1,387.1,938.9,508.0,187.9,914.3,256.7,481.4,533.5,836.0,868.9,424.1,455.3,894.7,910.5,1005.0,952.1,201.8,586.4,864.1,548.3,292.1,97.9,498.8,889.3,896.3,887.9,49.4,262.7,900.2,557.0,2403.7,913.9,603.7,221.2,467.2,822.3,803.9,326.7,106.1,896.6,474.2,162.5,116.0,856.1,569.7,624.5,56.4,445.5,498.5,240.8,237.0,452.4,397.1,881.1,272.1,521.1,833.8,817.4,978.7,920.8,892.7,479.0,812.9,903.0,417.5,246.1,314.2,785.0,220.7,535.1,191.8,563.0,168.5,848.6,409.2,352.5,526.5,897.5,441.8,358.8,256.0,835.4,808.5,109.0,438.3,778.3,802.4,279.6,791.2,543.9,846.3,593.9,917.0,168.5,315.3,177.4,443.1
AK,201.8,0.0,254.8,346.9,800.8,504.1,838.3,904.1,893.7,518.5,884.1,160.4,818.1,527.8,815.1,745.6,585.8,15.1,888.5,720.0,390.9,285.9,499.6,770.9,175.6,988.5,398.4,105.7,928.5,178.3,413.2,465.3,885.6,918.5,473.7,387.1,841.1,960.1,936.8,883.9,251.4,514.3,795.9,358.1,223.4,233.3,287.3,821.1,839.5,819.7,159.9,398.1,942.6,488.8,2335.5,845.7,536.3,270.8,516.8,871.9,735.7,376.3,241.5,839.2,523.8,48.9,104.1,787.9,501.5,556.3,152.9,495.1,430.3,290.4,168.3,502.0,446.7,893.6,203.4,452.9,765.6,867.0,910.5,852.6,942.3,267.5,744.7,907.5,467.1,295.7,245.5,834.6,152.5,466.9,109.6,494.8,100.3,898.2,197.7,282.0,458.3,829.3,491.4,275.3,305.6,767.2,740.3,145.4,370.1,827.9,734.2,68.1,840.8,475.7,778.1,525.7,848.8,218.1,246.6,227.0,492.7
AM,200.8,266.8,0.0,579.5,889.0,509.9,844.1,992.3,899.5,524.3,889.9,427.3,906.3,616.0,903.3,833.8,591.6,251.6,941.6,808.2,479.1,284.9,587.8,859.1,442.5,994.3,528.0,202.7,969.7,276.7,501.4,553.5,891.4,924.3,479.5,475.3,929.3,965.9,1025.0,972.1,257.2,602.5,884.1,568.3,119.2,232.3,554.2,909.3,927.7,907.9,158.9,397.1,955.6,577.4,2423.7,933.9,634.9,276.6,522.6,877.7,823.9,382.1,240.5,927.4,529.6,217.9,171.4,876.1,589.7,644.5,151.9,500.9,518.5,296.2,144.4,507.8,452.5,936.5,109.3,541.1,853.8,872.8,998.7,940.8,948.1,524.6,832.9,958.4,472.9,301.5,141.3,840.4,170.4,555.1,199.1,583.0,212.6,904.0,464.6,407.9,546.5,917.5,497.2,414.2,311.4,855.4,828.5,109.3,458.3,833.7,822.4,335.0,846.6,563.9,866.3,613.8,937.0,223.9,142.4,232.8,498.5
AQ,518.8,316.9,571.8,0.0,675.0,821.1,806.3,778.3,811.4,835.5,816.1,247.3,692.3,353.7,689.3,619.8,902.8,332.1,762.7,594.2,261.3,602.9,192.1,645.1,262.5,833.6,51.5,422.7,802.7,337.2,257.1,268.0,822.9,785.1,790.7,257.5,715.3,855.8,811.0,758.1,568.4,344.1,670.2,11.2,494.7,550.3,49.5,695.3,713.7,693.9,476.9,715.1,816.8,314.7,2187.9,719.9,361.4,587.8,833.8,878.6,606.1,693.3,558.5,713.4,840.8,365.8,421.1,662.1,327.4,382.2,469.9,812.1,214.6,607.4,439.6,819.0,763.7,767.8,474.7,278.8,639.8,838.5,784.7,726.8,820.3,104.8,618.9,781.7,784.1,483.5,516.8,859.9,423.3,292.8,426.6,258.7,415.2,869.7,284.6,368.9,295.8,703.5,808.4,362.2,472.9,641.4,614.5,462.4,265.5,817.1,608.4,258.7,803.6,301.6,652.3,351.6,723.0,535.1,517.9,544.0,809.7
AW,998.3,959.7,1028.2,782.4,0.0,791.8,353.5,325.5,317.0,804.0,321.7,1001.8,63.1,522.2,261.8,167.0,871.3,944.5,309.9,141.4,576.1,1184.0,699.9,192.3,1017.0,339.2,730.9,916.2,349.9,821.0,598.4,650.5,370.1,290.7,712.9,572.3,262.5,361.4,358.2,259.7,1074.2,483.0,242.6,771.2,928.8,1029.8,832.0,200.9,260.9,241.1,956.4,1243.7,364.0,512.2,2103.4,267.1,513.7,992.1,802.3,425.8,364.2,1017.1,1038.0,260.6,811.5,910.8,900.6,209.3,499.9,492.7,949.4,691.5,615.5,972.5,873.7,789.7,729.9,315.0,908.8,548.5,187.0,344.1,357.2,299.3,367.5,887.3,166.1,287.3,754.8,997.8,950.9,360.3,857.4,534.5,920.1,680.0,849.3,375.3,1039.1,1104.2,643.5,250.7,695.2,1110.5,1007.7,33.5,161.7,941.9,560.3,364.3,155.6,921.2,350.8,525.7,188.3,474.7,224.6,969.7,952.0,1035.9,778.2
BB,446.9,486.1,499.9,798.5,866.2,0.0,472.2,821.4,527.6,152.4,518.0,543.3,883.5,870.7,869.5,679.8,219.7,470.9,569.7,707.6,733.8,510.2,842.5,648.4,529.2,622.4,782.7,462.6,597.8,531.4,756.1,808.2,519.5,552.4,107.6,730.0,578.2,594.0,854.1,867.4,395.9,857.2,850.3,809.7,566.8,478.4,738.9,677.1,579.8,737.0,405.0,569.9,583.7,832.1,2616.0,680.6,889.6,318.3,150.7,505.8,952.2,343.3,486.6,580.1,54.7,437.2,390.7,705.2,844.4,899.2,398.0,129.0,773.2,298.7,511.7,32.9,80.6,564.6,546.8,795.8,653.7,500.9,964.9,907.0,576.2,709.3,670.9,586.5,45.7,324.0,588.9,468.5,495.4,809.8,466.5,837.7,443.2,532.1,508.7,430.4,801.2,590.0,125.3,436.7,333.9,832.6,685.1,390.5,713.0,461.8,676.2,554.3,474.7,818.6,796.0,868.5,914.2,295.9,590.0,362.1,126.6
BG,772.2,811.4,825.2,822.7,451.2,443.3,0.0,349.1,112.6,455.5,103.0,868.6,468.5,562.5,397.2,207.5,522.8,796.2,106.2,235.3,616.4,835.5,740.2,176.1,854.5,207.4,771.2,787.9,144.2,856.7,638.7,690.8,65.9,137.4,364.4,612.6,105.9,179.0,381.8,395.1,721.2,523.3,378.0,811.5,892.1,803.7,872.3,262.1,107.5,264.7,730.3,895.2,130.1,552.5,2143.7,227.0,554.0,643.6,453.8,72.2,479.9,668.6,811.9,107.8,463.0,762.5,716.0,232.9,540.2,533.0,723.3,343.0,655.8,624.0,837.0,441.2,381.4,111.0,872.1,588.8,181.4,85.9,492.6,434.7,122.6,927.6,198.6,171.5,406.3,649.3,914.2,53.5,820.7,574.8,791.8,720.3,768.5,117.1,834.0,755.7,683.8,117.7,346.7,762.0,659.2,417.6,212.8,715.8,600.6,10.8,203.9,879.6,2.5,566.0,323.7,515.0,424.3,621.2,915.3,687.4,429.7
BH,1069.7,1008.2,1122.7,830.9,461.9,740.8,309.1,0.0,410.1,753.0,400.5,1050.3,479.2,570.7,405.4,146.6,820.3,993.0,248.7,174.4,624.6,1133.0,748.4,131.1,1065.5,504.9,779.4,964.7,182.4,869.5,646.9,699.0,260.7,434.9,661.9,620.8,201.3,476.5,32.7,403.3,1018.7,531.5,386.2,819.7,977.3,1101.2,880.5,559.6,199.7,50.6,1027.8,1192.7,196.5,560.7,2151.9,99.6,562.2,941.1,751.3,355.7,488.1,966.1,1109.4,199.4,760.5,959.3,949.1,84.3,548.4,541.2,1020.8,640.5,664.0,921.5,922.2,738.7,678.9,253.8,957.3,597.0,125.8,383.4,500.8,442.9,204.0,935.8,142.8,469.0,703.8,946.8,999.4,351.0,905.9,583.0,968.6,728.5,897.8,414.6,1131.5,1053.2,692.0,189.5,644.2,1059.5,956.7,428.3,151.9,1013.3,608.8,319.9,150.2,969.7,306.4,574.2,331.9,523.2,432.5,918.7,1000.5,984.9,727.2
BN,803.6,842.8,856.6,931.4,338.5,474.7,108.6,457.8,0.0,486.9,4.6,900.0,355.8,671.2,423.7,304.9,554.2,827.6,206.1,279.3,725.1,866.9,848.9,284.8,885.9,148.5,879.9,819.3,234.2,888.1,747.4,799.5,155.9,24.7,395.8,721.3,214.6,120.1,490.5,421.6,752.6,632.0,404.6,920.2,923.5,835.1,981.0,149.4,216.2,373.4,761.7,926.6,220.1,661.2,2252.4,317.0,652.3,675.0,485.2,142.2,526.1,700.0,843.3,216.5,494.4,793.9,747.4,341.6,648.9,641.7,754.7,374.4,764.5,655.4,868.4,472.6,412.8,201.0,903.5,697.5,290.1,27.0,519.1,461.2,212.6,1075.8,304.0,58.8,437.7,680.7,945.6,43.2,852.1,683.5,823.2,829.0,799.9,58.2,865.4,787.1,792.5,226.4,378.1,793.4,690.6,304.9,299.6,747.2,709.3,98.2,293.5,911.0,111.1,674.7,350.2,623.7,386.5,652.6,946.7,718.8,461.1
BP,447.7,486.9,500.7,799.3,824.8,118.8,430.8,780.0,486.2,0.0,476.6,544.1,842.1,871.5,828.1,638.4,167.3,471.7,528.3,666.2,734.6,511.0,843.3,607.0,530.0,581.0,783.5,463.4,556.4,532.2,756.9,809.0,478.1,511.0,66.2,730.8,536.8,552.6,812.7,826.0,396.7,858.0,808.9,810.5,567.6,479.2,739.7,635.7,538.4,695.6,405.8,570.7,542.3,832.9,2574.6,639.2,890.4,319.1,1.4,464.4,910.8,344.1,487.4,538.7,138.5,438.0,391.5,663.8,845.2,900.0,398.8,87.6,774.0,299.5,512.5,116.7,56.9,523.2,547.6,796.6,612.3,459.5,923.5,865.6,534.8,710.1,629.5,545.1,81.8,324.8,589.7,427.1,496.2,810.6,467.3,838.5,444.0,490.7,509.5,431.2,802.0,548.6,83.9,437.5,334.7,791.2,643.7,391.3,713.8,420.4,634.8,555.1,433.3,819.4,754.6,869.3,872.8,296.7,590.8,362.9,74.2
