from_stop,AN,AP,AR,BK,BN,BR,BS,BU,CJ,CK,DI,DK,DL,DV,DY,EE,EG,ES,EY,FE,FP,FU,GT,GU,GW,HF,HJ,HX,IC,IG,IJ,IZ,JK,JS,JT,JY,KA,KB,KE,KJ,KL,KP,KV,LI,LJ,LN,LV,MA,MB,ML,NJ,NT,OC,OM,OO,PK,PQ,PT,QC,QE,QF,QN,QU,RI,RM,RO,RQ,RU,SD,SG,SP,SR,SZ,TQ,TW,TZ,UB,UY,UZ,VM,WD,WE,WJ,WP,WS,WV,XE,XO,XX,YF,YJ,YQ,YY,ZG,ZQ,ZR,ZT,ZU
AN,0.0,168.8,441.7,127.8,439.0,122.1,118.0,353.2,113.3,275.1,1458.1,80.8,437.4,455.8,265.4,116.4,92.1,413.7,423.7,395.2,107.2,92.7,402.8,107.4,298.9,348.5,355.7,346.2,110.2,181.1,95.9,419.4,82.4,105.7,65.3,369.6,303.2,91.2,327.7,84.2,334.0,143.5,99.7,94.2,250.5,162.6,155.2,129.8,188.5,223.4,73.7,266.0,228.4,342.5,138.7,190.3,102.1,256.3,40.6,200.5,72.6,158.1,406.3,249.3,154.7,104.6,96.1,110.8,212.5,121.7,169.2,353.2,37.1,468.6,56.0,144.3,413.1,403.9,320.7,132.8,377.3,147.2,369.8,29.6,354.2,155.9,379.3,309.2,139.0,115.5,379.2,262.1,106.9,362.0,410.4,221.3,93.4,333.0
AP,190.0,0.0,341.4,57.0,359.9,204.5,208.1,274.1,259.3,192.0,1395.9,230.6,358.3,393.6,186.3,125.6,202.5,321.5,331.5,303.0,174.0,143.8,364.1,158.7,219.8,286.3,293.5,282.1,93.6,88.0,236.1,349.8,283.3,160.4,213.2,300.0,224.1,174.0,258.1,167.0,271.8,64.4,181.5,145.3,171.4,209.6,127.4,176.1,109.4,130.3,156.5,185.8,149.3,272.9,103.4,21.5,186.5,177.2,137.1,106.0,273.5,65.0,344.1,174.7,84.8,161.6,297.0,253.6,137.9,143.2,86.5,263.0,204.9,406.4,209.3,47.1,334.0,311.7,241.6,192.6,287.1,140.2,272.5,179.4,275.1,22.3,287.1,239.6,41.8,124.7,289.0,183.0,158.0,282.9,340.8,142.2,78.3,242.8
AR,384.1,303.7,0.0,334.2,180.2,294.0,268.0,96.7,345.1,148.9,1364.9,434.7,133.4,77.0,165.6,322.8,457.3,153.4,135.3,153.9,316.2,339.4,214.0,276.5,138.8,63.0,56.6,236.4,281.5,216.3,387.4,44.2,352.1,278.2,327.8,85.5,120.8,428.8,72.0,421.8,78.3,280.0,323.7,340.9,185.2,269.5,231.9,255.3,326.1,190.2,411.3,150.0,273.8,206.3,345.1,325.2,441.3,179.3,375.3,202.0,376.7,237.1,89.5,172.3,374.5,279.4,367.6,466.3,189.0,267.4,234.1,209.5,421.3,39.4,417.0,331.5,99.8,161.6,111.2,252.5,193.8,274.5,176.5,409.2,139.2,290.8,167.3,239.6,326.2,321.9,183.5,171.5,353.6,87.9,84.8,234.1,317.8,131.4
BK,152.7,57.2,347.7,0.0,340.7,155.9,151.8,287.5,202.8,209.4,1364.1,193.3,364.4,361.8,199.7,88.3,165.2,339.4,349.4,320.9,136.8,106.5,382.0,129.1,233.2,254.5,261.7,300.0,56.3,105.9,198.8,383.1,235.2,127.4,154.8,317.9,237.5,136.7,276.0,129.7,240.0,77.8,144.3,108.0,184.8,205.5,89.5,151.5,122.8,148.2,119.2,200.3,162.7,290.8,71.6,78.7,149.2,190.6,99.8,125.3,225.4,82.9,312.3,192.6,53.0,126.3,216.8,216.3,155.8,67.8,103.5,280.9,167.6,374.6,168.5,15.3,322.6,329.6,255.0,154.5,305.0,95.1,295.5,142.1,288.5,40.2,305.0,257.5,10.0,87.4,306.9,196.4,120.7,296.3,358.7,155.6,41.0,260.7
BN,453.2,326.6,134.3,363.0,0.0,363.1,337.1,160.9,414.2,218.0,1365.5,482.0,52.0,200.9,234.7,391.9,459.4,242.5,226.3,224.0,385.3,408.5,285.1,345.6,219.6,150.1,143.7,268.9,350.6,285.4,456.5,120.4,421.2,347.3,396.9,176.5,189.9,430.9,141.1,423.9,165.4,282.1,392.8,410.0,251.3,338.6,301.0,324.4,328.2,259.3,413.4,219.1,275.9,256.8,399.0,348.1,443.4,239.5,394.0,272.1,444.3,306.2,136.3,241.4,349.0,348.5,436.7,463.4,258.1,336.5,308.1,220.7,454.3,151.3,408.6,349.6,122.5,232.7,180.3,321.6,214.5,314.0,193.5,478.3,135.8,313.7,208.1,223.5,354.9,391.0,246.7,231.7,405.5,157.0,56.9,303.2,335.2,200.5
BR,140.8,215.4,331.7,143.5,454.7,0.0,20.9,288.4,79.8,290.8,1470.0,222.3,453.1,355.2,281.1,128.3,165.1,311.8,321.8,293.3,88.7,90.4,343.6,82.0,314.6,364.2,371.4,272.4,125.9,128.1,164.1,340.1,143.8,83.7,62.5,290.3,242.5,181.2,248.4,188.2,349.7,159.2,81.2,91.9,266.2,65.5,109.9,79.4,204.2,122.5,121.1,280.6,244.1,263.2,151.1,236.9,149.1,272.0,110.0,146.1,140.8,148.8,350.9,141.2,152.4,84.9,159.3,238.1,160.0,112.5,184.4,253.3,178.0,368.0,186.1,180.1,428.8,302.0,336.4,82.4,277.4,89.5,267.9,174.8,369.9,202.5,277.4,229.9,185.4,127.4,279.3,277.8,104.6,279.6,331.1,237.0,109.1,233.1
BS,140.5,196.3,310.7,124.4,435.6,25.9,0.0,352.1,120.1,267.7,1450.9,209.7,434.0,334.2,262.0,109.2,148.0,290.8,300.8,272.3,41.0,71.3,322.6,62.9,295.5,345.1,352.3,251.4,106.8,109.0,162.4,319.8,127.1,64.6,80.2,269.3,299.8,119.5,227.4,112.5,330.6,140.1,48.5,72.8,247.1,44.5,90.8,60.3,185.1,101.5,102.0,261.5,225.0,242.2,132.0,217.8,132.0,252.9,82.6,127.0,150.2,129.7,402.9,120.2,133.3,65.8,142.6,241.3,140.9,93.4,162.2,232.3,177.7,347.0,192.0,161.0,409.7,281.0,317.3,63.3,256.4,72.8,241.8,124.9,350.8,183.4,256.4,208.9,166.3,108.3,258.3,258.7,85.5,258.6,310.1,217.9,90.0,212.1
BU,339.9,256.9,115.8,297.2,209.2,249.8,226.1,0.0,300.9,104.7,1369.9,392.8,188.6,139.3,121.4,278.6,371.9,129.2,124.2,108.1,272.0,295.2,171.8,232.3,58.6,104.5,109.1,153.0,237.3,169.5,343.2,124.2,307.9,234.0,281.0,74.4,74.0,343.4,25.2,336.4,87.4,238.2,279.5,296.7,120.4,225.3,187.7,208.5,274.4,146.0,325.9,105.8,219.5,143.5,300.9,281.0,353.3,112.2,331.1,161.1,328.4,192.9,162.3,128.1,330.3,235.2,323.4,419.5,144.8,223.2,192.2,107.4,377.1,152.1,375.1,287.3,164.3,119.4,67.0,208.3,101.2,203.1,85.3,365.0,105.4,246.6,94.8,110.2,282.0,277.7,133.4,106.7,309.4,8.8,115.2,189.9,273.6,87.2
CJ,174.4,304.3,396.7,230.8,542.0,87.3,108.3,353.4,0.0,378.1,1558.9,240.0,540.4,420.2,368.4,217.2,198.7,376.8,386.8,358.3,122.3,177.8,419.4,170.9,401.9,451.5,458.7,337.4,213.2,217.0,192.7,405.1,157.4,172.6,96.1,355.3,307.5,214.8,313.4,221.8,437.0,246.5,114.8,179.3,353.5,104.2,198.8,168.3,291.5,187.5,176.7,369.0,331.4,328.2,238.5,325.8,182.7,359.3,143.6,236.4,174.4,237.7,415.9,206.2,239.8,173.8,172.9,271.6,248.9,201.4,272.2,318.3,211.6,433.0,216.2,267.5,516.1,367.0,423.7,171.3,342.4,162.3,332.9,208.4,457.2,291.4,342.4,294.9,270.3,216.3,344.3,365.1,192.0,344.6,396.1,324.3,196.4,298.1
CK,328.5,200.7,200.0,210.4,210.1,242.4,216.4,107.5,289.5,0.0,1374.8,379.1,193.5,214.1,58.9,267.2,333.5,144.1,163.4,135.8,260.6,283.8,196.9,220.9,74.9,106.8,114.0,153.3,225.9,160.7,331.8,183.5,296.5,222.6,272.2,133.0,32.0,305.0,128.8,298.0,92.3,156.2,268.1,285.3,41.3,213.9,176.3,203.7,202.3,134.6,287.5,95.2,150.0,137.2,289.5,222.2,313.5,17.4,268.1,147.4,321.1,185.5,160.6,116.7,318.9,223.8,312.0,410.7,133.4,211.8,183.8,78.0,369.7,226.9,366.0,226.9,169.2,144.5,74.7,196.9,102.1,191.7,118.7,353.6,110.3,187.8,119.9,127.4,221.6,266.3,104.0,13.6,298.0,107.4,173.8,178.5,209.3,57.8
