from_stop,AA,AF,BO,BR,BZ,CO,DL,DO,EJ,EQ,EV,FJ,GC,GR,HF,HT,HW,HX,HZ,ID,IH,IK,IN,IV,JI,JM,JN,KC,KJ,KT,LB,LD,LY,MX,NE,NL,NM,NR,NS,NZ,OS,OZ,PC,PD,PL,PO,PP,PT,QD,QH,QU,SG,SV,SW,TG,TO,TP,VZ,WG,WH,WT,XO,XY,YT,YZ,ZC,ZF
AA,0.0,214.8,69.9,125.8,324.6,358.1,188.0,336.6,171.0,300.5,200.9,320.8,174.5,93.2,182.6,308.9,134.5,138.0,163.6,267.0,97.6,190.6,303.6,233.4,272.6,175.0,330.1,146.8,204.5,134.9,185.8,128.1,86.3,136.3,224.9,300.0,33.8,202.4,350.4,310.9,77.1,108.8,77.2,105.7,312.1,114.8,305.9,148.0,281.0,322.9,307.7,153.9,205.2,269.8,182.0,301.5,117.8,306.0,345.9,316.3,88.8,235.3,209.6,1965.8,273.3,336.6,115.2
AF,194.3,0.0,151.0,177.4,179.9,177.8,319.8,199.2,301.8,163.1,35.7,180.1,237.8,238.3,115.2,199.7,212.7,246.6,313.7,166.8,212.9,60.2,181.1,146.9,154.2,76.7,189.4,127.9,89.8,99.1,274.9,267.4,194.9,154.6,60.3,209.3,217.2,12.3,205.7,173.5,256.8,120.5,193.1,188.6,178.7,114.2,210.6,291.0,136.3,194.5,155.2,93.8,99.2,132.4,268.3,164.1,233.7,152.3,191.7,171.6,179.1,154.9,44.4,1999.1,135.9,191.9,108.9
BO,64.0,197.7,0.0,105.8,270.2,268.1,176.1,289.5,203.6,241.1,183.8,258.1,104.5,115.3,153.3,228.7,93.6,123.6,215.5,197.0,138.4,173.5,217.1,139.8,209.9,157.9,267.4,134.5,150.3,117.8,169.1,110.4,71.9,123.6,170.7,218.5,97.9,185.3,296.0,263.8,133.8,91.7,70.1,81.2,219.2,97.7,217.1,112.9,226.6,234.1,226.3,144.1,153.7,222.7,139.8,254.4,111.6,199.2,264.4,261.9,71.7,165.3,187.6,1930.7,226.2,282.2,98.1
BR,123.9,164.9,130.0,0.0,297.2,325.8,199.0,316.5,181.0,276.9,128.8,293.9,203.7,170.4,85.3,267.1,91.9,225.6,192.9,232.8,92.1,144.7,260.5,193.4,245.7,129.1,303.2,66.5,82.3,94.9,270.3,146.6,173.9,58.3,102.7,256.9,111.0,152.5,323.0,290.8,155.9,58.4,172.1,83.5,260.3,82.4,255.5,170.2,253.6,272.5,257.3,105.3,85.7,288.3,249.7,320.0,210.8,233.9,302.8,332.0,74.0,236.5,119.6,1947.0,272.9,309.2,82.8
BZ,317.5,171.5,255.3,299.9,0.0,17.7,451.7,19.2,433.7,55.3,207.3,72.3,254.0,361.5,248.3,77.0,349.0,319.0,445.6,79.3,378.7,195.5,106.1,173.7,66.4,212.0,81.6,266.1,227.9,233.7,323.2,409.1,332.7,277.8,231.9,86.6,344.7,183.9,25.7,111.3,369.9,243.0,316.3,316.9,103.7,237.4,87.9,368.3,33.8,71.8,104.8,226.9,254.2,61.2,271.4,92.9,261.1,74.5,39.7,11.5,307.4,101.8,216.0,2077.7,84.7,12.0,265.1
CO,287.6,148.9,271.3,314.6,28.9,0.0,424.6,48.2,414.9,84.4,176.3,101.4,232.8,338.9,225.7,49.6,322.2,297.8,416.1,72.5,322.4,185.3,77.5,145.1,85.4,201.8,110.7,232.1,199.3,185.7,294.6,376.9,295.5,255.2,200.9,58.0,317.8,161.3,54.7,140.3,349.9,257.7,293.7,289.2,77.1,214.8,59.3,384.3,62.9,43.2,93.4,204.3,244.0,90.3,242.8,122.0,239.9,32.5,11.1,16.9,279.7,80.6,185.0,2049.1,109.0,40.9,271.7
DL,168.2,317.5,169.9,190.4,440.2,482.8,0.0,459.5,71.2,411.1,281.4,423.7,248.4,153.3,233.5,393.0,146.5,194.7,79.5,367.0,116.4,297.3,415.6,305.4,379.9,281.7,437.4,219.4,234.9,251.4,193.3,100.5,204.0,210.9,255.3,424.3,157.4,305.1,466.0,433.8,131.1,250.3,202.2,193.4,412.8,260.7,422.9,81.4,392.2,424.3,423.8,257.9,233.9,388.3,259.7,420.0,250.8,386.5,470.2,431.9,202.9,335.3,272.2,1843.0,396.2,452.5,241.3
DO,327.7,189.0,272.8,317.4,17.5,46.0,464.8,0.0,454.8,72.8,224.8,87.5,271.5,379.0,265.8,95.7,366.5,336.5,465.8,96.8,392.5,213.0,123.6,191.2,83.9,229.5,78.2,283.6,245.4,237.2,340.7,425.8,350.2,298.2,249.4,104.1,356.7,201.4,6.5,92.0,387.4,260.5,333.8,341.8,122.2,254.9,105.4,385.8,51.3,89.3,122.3,244.4,271.7,78.7,288.9,110.4,278.6,92.0,57.2,29.0,324.9,119.3,233.5,2095.2,102.2,6.6,282.6
EJ,164.8,309.7,171.2,182.6,441.5,472.9,56.1,460.8,0.0,412.4,273.6,429.4,240.3,143.4,230.1,423.7,141.8,185.2,8.2,368.3,104.9,289.5,407.5,338.2,381.2,273.9,438.7,211.3,227.1,248.0,183.4,96.9,196.2,200.6,247.5,414.8,143.9,296.2,467.3,435.1,121.2,246.9,194.4,185.6,405.1,252.9,413.4,60.0,397.9,430.4,416.0,250.1,230.5,394.0,251.6,425.7,201.5,378.7,460.7,433.2,195.1,336.6,264.4,1868.1,397.5,453.5,237.9
EQ,300.2,154.2,220.0,264.6,74.8,72.7,416.4,90.4,398.4,0.0,190.0,17.0,218.7,353.3,231.0,132.0,313.7,283.7,410.3,44.0,343.4,160.2,110.7,136.7,31.1,176.7,26.2,230.8,239.2,198.4,258.8,373.8,297.4,260.5,214.6,141.6,309.4,166.6,84.4,96.1,334.6,207.7,299.2,281.6,108.3,220.1,142.9,333.0,31.2,126.8,87.5,209.6,218.9,43.9,248.0,75.6,225.8,81.9,94.7,66.5,272.1,66.5,198.7,2053.0,67.4,86.8,229.8
EV,203.8,36.0,187.1,146.0,216.0,201.1,284.0,235.3,266.0,197.3,0.0,214.3,271.1,243.0,81.6,186.1,176.9,282.7,277.9,153.2,177.1,71.0,167.5,193.6,166.1,55.4,223.6,94.3,54.0,95.1,342.9,231.6,231.0,122.3,24.5,195.7,183.6,23.6,241.8,209.6,228.5,149.0,229.2,156.1,165.1,116.4,197.0,255.2,172.4,180.9,141.6,60.2,65.6,168.5,335.1,200.2,278.2,138.7,178.1,207.3,146.6,141.3,8.6,1963.3,157.2,228.0,75.3
