from_stop,AB,AE,AG,AJ,AN,AX,BJ,BM,BO,BZ,DG,DN,DU,DY,DZ,EK,EW,FF,FI,FK,FQ,FZ,GB,GL,HL,HQ,HV,HZ,IF,IG,IL,IN,IU,JD,JM,JO,KC,KD,KK,KP,KR,KW,KY,LH,LK,LX,LZ,MB,MI,MR,NB,NG,NK,NO,NQ,NS,NT,NV,OF,OJ,OO,PH,PI,PQ,PR,QA,QJ,QK,QX,RN,RS,RU,RV,SA,SB,SE,SF,SR,SV,SZ,TG,TJ,TW,TX,TZ,UC,UD,UX,VB,VH,VR,WA,WO,WR,WU,WV,XB,XG,XJ,XO,XU,YD,YG,YM,YO,YW,ZA,ZE,ZM
AB,0.0,160.7,880.5,261.8,208.7,860.2,862.8,168.5,393.6,580.3,520.0,835.4,364.9,804.9,407.5,139.4,179.5,908.3,867.5,511.8,336.4,218.3,386.1,616.0,233.6,305.8,466.7,834.3,174.7,507.5,171.8,126.9,101.0,549.5,834.4,784.3,113.0,556.1,417.9,425.3,301.7,772.5,161.7,957.4,803.3,610.9,402.9,416.3,250.3,911.5,405.0,266.9,408.3,507.2,395.5,292.1,397.9,219.8,856.4,393.4,445.1,301.1,98.7,463.8,445.1,205.9,259.6,796.7,321.3,546.5,146.8,489.1,314.5,928.7,138.4,244.2,489.6,384.6,2391.2,420.7,848.9,199.8,256.7,405.0,496.5,523.4,928.2,521.0,895.6,198.9,296.5,246.5,830.5,479.7,465.4,830.7,590.6,520.0,523.9,457.1,169.5,264.4,533.0,526.4,525.9,971.5,929.8,833.4,153.0
AE,158.6,0.0,926.0,307.3,197.2,981.9,908.3,201.5,476.1,702.0,678.7,957.1,410.4,850.4,453.7,109.5,30.8,1030.0,1026.2,633.5,445.6,72.5,473.6,725.2,279.1,427.5,512.2,956.0,116.1,553.0,293.5,33.7,222.7,671.2,992.5,829.8,271.7,677.8,539.6,507.8,423.4,818.0,320.4,1002.9,885.8,732.6,485.4,498.8,372.0,957.0,450.5,388.6,453.8,628.9,464.9,401.3,556.6,341.5,901.9,438.9,566.8,422.8,249.1,509.3,566.8,327.6,381.3,918.4,430.5,705.2,172.3,598.3,303.0,1050.4,297.1,365.9,535.1,430.1,2512.9,466.2,970.6,39.0,289.7,450.5,618.2,568.9,973.7,642.7,941.1,320.6,342.0,368.2,876.0,601.4,587.1,952.4,712.3,627.5,645.6,578.8,291.2,386.1,654.7,648.1,647.6,1093.2,1039.0,955.1,274.7
AG,806.0,888.5,0.0,590.7,719.3,475.8,93.8,696.9,505.4,666.3,693.4,380.1,856.3,71.3,899.6,933.4,912.3,523.9,449.2,849.7,1012.1,825.9,919.5,695.5,725.0,994.0,543.7,379.0,782.3,582.3,854.2,920.9,783.4,700.9,486.4,73.9,838.2,894.0,1071.5,537.1,989.9,87.5,893.7,76.8,71.3,688.1,516.9,528.1,938.5,30.9,482.0,955.1,443.4,862.6,910.8,967.8,757.7,902.2,87.4,468.2,749.9,989.3,822.4,540.8,911.7,900.9,954.6,594.1,997.0,715.5,744.2,814.5,744.6,473.4,863.6,932.4,564.4,457.1,2296.7,431.0,393.6,859.4,735.6,482.0,1015.1,598.2,159.2,843.8,15.0,887.1,787.9,928.9,229.0,802.5,788.2,375.4,858.8,744.6,846.7,795.0,857.7,952.6,870.9,955.1,724.5,587.1,462.0,413.3,835.4
AJ,215.2,297.7,618.6,0.0,128.5,901.0,600.9,106.1,168.7,677.7,654.4,887.2,265.5,543.0,308.8,342.6,321.5,949.1,956.3,609.2,421.3,235.1,328.7,700.9,134.2,403.2,204.8,886.1,191.5,245.6,263.4,330.1,192.6,646.9,911.6,522.4,247.4,653.5,480.7,200.4,399.1,510.6,302.9,695.5,578.4,708.3,178.0,191.4,347.7,649.6,143.1,364.3,146.4,604.6,320.0,377.0,532.3,311.4,594.5,131.5,542.5,398.5,231.6,201.9,542.5,310.1,363.8,894.1,406.2,680.9,153.4,574.0,153.8,980.5,272.8,341.6,227.7,122.7,2488.6,158.8,828.5,268.6,144.8,143.1,559.3,261.5,666.3,618.4,633.7,296.3,197.1,338.1,568.6,577.1,562.8,882.5,688.0,603.2,621.3,554.5,266.9,361.8,630.4,623.8,623.3,1012.3,887.2,838.5,244.6
AN,161.7,187.2,759.3,140.6,0.0,904.1,741.6,99.3,309.4,624.2,600.9,879.3,308.2,683.7,351.5,289.1,211.0,952.2,948.4,555.7,367.8,124.6,371.4,647.4,176.9,349.7,345.5,878.2,81.0,386.3,209.9,204.2,139.1,593.4,915.3,663.1,193.9,577.7,461.8,341.1,345.6,651.3,249.4,836.2,719.1,654.1,318.7,332.1,294.2,790.3,283.8,310.8,287.1,551.1,362.7,323.5,478.8,257.9,735.2,272.2,489.0,345.0,136.9,342.6,489.0,256.6,310.3,840.6,352.7,627.4,24.9,520.5,105.7,972.6,219.3,288.1,368.4,263.4,2435.1,299.5,892.8,158.1,187.5,283.8,540.4,402.2,807.0,564.9,774.4,242.8,239.8,284.6,709.3,523.6,509.3,874.6,634.5,551.4,567.8,501.0,213.4,308.3,576.9,570.3,569.8,1015.4,961.2,877.3,191.1
AX,793.7,942.4,547.3,900.8,904.6,0.0,434.6,851.9,815.5,310.3,337.4,292.2,933.9,471.7,887.2,921.1,973.3,48.0,277.1,493.7,810.4,914.2,865.8,339.5,929.5,792.3,853.8,206.9,870.6,892.4,867.7,908.6,796.9,344.9,10.5,451.1,748.1,538.0,779.4,847.2,788.2,439.3,872.7,464.4,507.1,332.1,827.0,838.2,736.8,578.3,792.1,753.4,753.5,506.6,875.2,766.1,401.7,866.4,523.2,778.3,393.9,715.2,810.1,850.9,555.7,865.5,811.8,206.8,795.3,359.5,879.7,458.5,1010.4,385.5,753.5,658.3,874.5,767.2,1940.7,741.1,166.9,947.7,940.1,792.1,659.1,908.3,475.7,487.8,562.4,797.0,992.4,839.7,539.1,446.5,432.2,287.5,496.6,388.6,490.7,439.0,663.1,678.5,514.9,599.1,368.5,111.2,142.3,81.7,848.9
BJ,794.8,877.3,135.7,579.5,708.1,381.9,0.0,685.7,494.2,629.3,656.4,286.2,845.1,60.1,888.4,922.2,901.1,430.0,355.3,812.7,1000.9,814.7,908.3,658.5,713.8,982.8,532.5,285.1,771.1,571.1,843.0,909.7,772.2,663.9,392.5,62.7,827.0,857.0,1060.3,525.9,978.7,76.3,882.5,212.6,23.8,651.1,505.7,516.9,927.3,166.7,470.8,943.9,432.2,825.6,899.6,956.6,720.7,891.0,6.7,457.0,712.9,978.1,811.2,529.6,874.7,889.7,943.4,500.2,985.8,678.5,733.0,777.5,733.4,379.5,852.4,921.2,553.2,445.9,2259.7,419.8,299.7,848.2,724.4,470.8,978.1,587.0,65.3,806.8,150.8,875.9,776.7,917.7,217.8,765.5,751.2,281.5,821.8,707.6,809.7,758.0,846.5,941.4,833.9,918.1,687.5,493.2,368.1,319.4,824.2
BM,150.9,191.5,724.4,105.7,119.3,851.4,706.7,0.0,274.5,571.5,548.2,826.6,208.8,648.8,252.1,236.4,215.3,899.5,895.7,503.0,315.1,128.9,272.0,594.7,77.5,297.0,310.6,825.5,85.3,351.4,157.2,208.5,86.4,536.0,862.6,628.2,141.2,547.4,409.1,306.2,292.9,616.4,196.7,801.3,684.2,601.4,283.8,297.2,241.5,755.4,248.9,258.1,252.2,498.4,263.3,270.8,426.1,205.2,700.3,237.3,436.3,292.3,84.2,307.7,436.3,203.9,257.6,787.9,300.0,574.7,94.4,467.8,204.5,919.9,166.6,235.4,333.5,228.5,2382.4,264.6,840.1,162.4,88.1,248.9,487.7,367.3,772.1,512.2,739.5,190.1,140.4,231.9,674.4,470.9,456.6,821.9,584.4,498.7,515.1,448.3,160.7,255.6,524.2,517.6,517.1,962.7,908.5,824.6,138.4
BO,439.2,479.8,526.6,182.0,310.6,809.0,508.9,288.2,0.0,859.8,836.5,795.2,447.6,451.0,490.9,524.7,503.6,857.1,864.3,791.3,603.4,417.2,510.8,883.0,316.3,585.3,135.0,794.1,373.6,122.6,445.5,512.2,374.7,824.3,820.2,430.4,429.5,835.6,662.8,38.4,581.2,418.6,485.0,603.5,486.4,889.7,108.2,29.4,529.8,557.6,73.3,546.4,54.4,786.7,502.1,559.1,714.4,493.5,502.5,39.6,724.6,580.6,372.5,132.1,724.6,492.2,545.9,907.6,588.3,863.0,335.5,756.1,335.9,888.5,454.9,523.7,65.7,48.4,2566.1,66.8,736.5,450.7,326.9,73.3,741.4,99.5,574.3,800.5,541.7,478.4,379.2,520.2,476.6,759.2,744.9,790.5,872.7,787.0,803.4,736.6,449.0,543.9,812.5,805.9,805.4,920.3,795.2,746.5,426.7
BZ,541.9,690.6,515.4,705.9,652.8,325.5,425.1,600.1,874.7,0.0,26.5,300.7,682.1,485.3,635.4,669.3,721.5,373.6,369.8,215.4,558.6,662.4,614.0,92.7,677.7,540.5,910.8,299.6,618.8,951.6,615.9,673.6,545.1,34.5,336.7,518.5,496.3,319.3,501.1,906.4,536.4,506.7,620.9,454.9,449.0,85.3,884.0,897.4,485.0,492.6,849.1,501.6,820.9,228.3,623.4,514.3,136.2,614.6,431.9,837.5,160.1,463.4,517.1,907.9,280.4,613.7,560.0,262.0,543.5,112.7,627.9,153.9,758.6,394.0,501.7,406.5,933.7,828.7,1836.9,808.5,314.2,695.9,688.3,849.1,380.8,967.5,466.2,187.2,504.4,545.2,740.6,587.9,606.5,145.9,113.6,296.0,238.0,76.5,190.1,173.4,411.3,426.7,236.6,320.8,58.1,436.8,382.6,298.7,597.1
