from_stop,AG,AL,AM,BA,BL,BM,CD,DE,DV,EV,FE,FJ,GJ,GO,GQ,GR,GU,HB,HE,HI,HK,HM,HS,IC,IF,IK,IW,IZ,JA,JB,JG,JH,JN,JP,JR,JS,KO,KV,KW,LB,LD,LG,LH,LO,MH,NO,OR,PO,PP,QH,QT,QX,RJ,RL,SM,SQ,TW,TY,UB,UH,VC,VD,VH,VU,XP,XX,YE,YN,YQ,YR,YT,YU,YZ,ZA,ZL,ZN,ZO,ZP,ZR,ZS,ZW
AG,0.0,553.6,194.2,456.4,451.1,570.6,573.7,318.0,522.3,559.6,525.0,504.0,420.4,336.5,78.2,52.3,528.4,411.4,149.1,261.9,384.8,270.7,183.8,577.0,73.7,216.0,394.3,396.0,361.4,328.2,419.3,227.8,422.5,311.8,413.7,74.9,451.6,512.5,25.4,357.9,223.6,493.5,93.5,261.4,508.5,570.9,230.4,141.1,10.8,46.1,75.5,448.8,601.3,215.2,544.8,435.5,53.0,506.4,342.2,542.8,558.6,561.4,504.0,277.1,331.5,508.2,160.7,449.0,425.7,402.8,203.0,1980.4,636.3,142.8,244.1,431.8,42.0,569.2,255.1,351.7,435.6
AL,516.4,0.0,329.0,171.8,109.2,43.5,43.4,178.1,24.1,132.9,101.5,67.1,117.7,245.2,491.8,464.6,93.7,187.4,421.1,291.1,225.7,282.2,339.7,84.9,473.7,383.9,180.4,102.2,206.2,225.5,81.3,395.7,178.5,263.1,156.5,487.0,143.0,108.5,491.5,202.2,391.5,66.0,418.6,238.9,46.4,78.8,345.2,427.4,527.2,470.8,437.4,164.2,109.2,288.6,52.7,170.9,463.9,40.0,153.0,49.6,66.5,157.4,67.1,275.4,272.7,71.3,364.7,180.1,104.8,160.3,302.6,1732.4,144.2,382.6,255.5,129.7,487.9,60.3,247.4,143.4,191.6
AM,190.8,336.0,0.0,239.6,235.9,394.6,356.1,142.0,346.3,390.7,356.1,328.0,251.5,129.0,160.4,155.1,354.6,196.2,113.1,74.5,148.5,83.3,10.7,359.4,144.9,73.1,225.4,220.0,192.5,168.3,243.6,87.7,210.0,149.7,196.1,155.4,236.4,343.6,182.0,163.6,84.8,278.3,112.7,85.4,335.6,353.3,67.5,119.4,198.8,161.3,129.3,233.6,383.7,73.3,327.2,220.3,154.4,330.4,165.6,369.0,341.0,392.5,328.0,89.7,173.3,332.2,35.9,231.4,249.7,233.9,79.6,1838.3,418.7,50.4,49.8,216.6,162.3,400.3,59.1,178.4,220.4
BA,442.1,143.8,227.2,0.0,71.3,203.9,163.9,148.3,155.6,215.2,249.2,116.5,114.3,146.8,414.3,389.9,118.6,72.2,346.4,221.4,95.0,212.5,237.9,167.2,396.2,309.2,47.2,208.4,91.0,110.3,224.6,321.0,63.3,147.9,66.6,409.5,71.8,255.7,416.8,87.0,316.8,113.7,343.9,187.2,190.3,161.1,255.0,352.7,452.9,396.1,362.7,7.5,191.5,236.9,135.0,37.7,389.2,139.7,160.8,133.0,148.8,290.4,116.5,205.7,159.8,112.2,287.2,8.2,189.5,89.1,276.4,1876.3,226.5,305.1,185.8,52.0,413.6,215.4,177.7,170.3,76.4
BL,448.0,151.5,233.1,62.5,0.0,132.5,141.8,162.8,84.2,231.1,199.0,83.9,42.9,152.7,420.4,395.8,89.4,78.1,352.3,227.3,100.9,218.4,243.8,183.1,402.1,315.1,71.1,139.0,96.9,116.2,155.2,326.9,69.2,153.8,125.4,415.4,33.7,181.4,422.7,92.9,321.3,42.3,349.8,193.1,122.4,177.0,260.9,358.6,458.8,402.0,368.6,54.9,207.4,242.8,150.9,61.6,395.1,68.3,137.7,103.8,164.7,230.3,83.9,211.6,165.7,88.1,293.1,70.8,120.1,51.0,282.3,1839.4,230.9,310.4,191.7,20.4,419.5,186.2,184.8,128.1,82.3
BM,586.7,49.3,399.3,202.1,139.5,0.0,92.8,248.4,54.4,182.3,66.4,97.4,148.0,292.3,559.8,534.9,124.0,217.7,491.4,361.4,240.5,352.5,410.0,134.3,541.7,454.2,210.7,172.5,236.5,255.8,129.6,466.0,208.8,293.4,205.9,555.0,173.3,149.1,561.8,232.5,461.8,96.3,488.9,309.2,134.7,128.2,415.5,452.2,597.5,541.1,507.7,194.5,158.6,358.9,102.1,201.2,534.2,70.3,223.3,138.4,115.9,198.0,97.4,345.7,305.3,101.6,432.7,210.4,153.6,190.6,372.9,1780.7,98.3,450.6,325.8,160.0,558.2,99.0,317.7,213.7,221.9
CD,536.2,19.7,366.3,209.1,129.0,80.8,0.0,197.9,43.9,149.3,136.5,86.9,137.5,265.0,511.8,484.4,73.4,224.7,440.9,328.4,245.5,302.0,377.0,101.3,493.5,421.2,200.2,122.0,226.0,245.3,100.8,433.0,198.3,300.4,205.4,506.8,162.8,128.3,528.8,222.0,427.4,85.8,455.9,258.7,66.2,112.7,365.0,464.7,564.5,490.6,475.3,184.0,125.6,308.4,69.1,208.2,483.7,59.8,190.9,58.3,82.9,177.2,93.3,312.7,292.5,91.1,384.5,199.9,124.6,180.1,322.4,1752.2,200.9,419.3,292.8,149.5,507.7,109.8,267.2,163.2,228.9
DE,338.2,215.0,150.8,164.0,160.3,252.5,264.9,0.0,204.2,271.3,267.8,185.9,133.4,110.4,313.6,286.4,212.5,120.6,242.9,112.9,72.9,104.0,161.5,283.8,295.5,205.7,154.2,77.9,139.4,129.3,101.2,217.5,131.7,118.9,120.5,308.8,160.8,224.2,313.3,88.0,213.3,202.7,240.4,60.7,190.4,277.7,167.0,249.2,349.0,292.6,259.2,158.0,308.1,110.4,251.6,144.7,285.7,188.3,24.1,226.9,265.4,273.1,185.9,97.2,100.3,190.1,186.5,155.8,107.6,120.5,124.4,1762.2,343.1,204.4,77.3,141.0,309.7,309.3,69.2,33.6,144.8
DV,532.2,43.7,344.8,147.6,85.0,48.2,121.9,193.9,0.0,176.7,114.7,42.9,93.5,237.8,505.3,480.4,69.5,163.2,436.9,306.9,186.0,298.0,355.5,128.7,487.2,399.7,156.2,118.0,182.0,201.3,104.0,411.5,154.3,238.9,182.7,500.5,118.8,131.2,507.3,178.0,407.3,41.8,434.4,254.7,69.1,122.6,361.0,397.7,543.0,486.6,453.2,140.0,153.0,304.4,96.5,146.7,479.7,15.9,168.8,83.9,110.3,180.1,42.9,291.2,250.8,47.1,378.2,155.9,99.1,136.1,318.4,1755.1,146.6,396.1,271.3,105.5,503.7,147.3,263.2,159.2,167.4
EV,565.1,144.2,393.2,227.2,229.9,166.7,187.7,255.5,167.3,0.0,180.3,193.1,245.8,304.6,543.6,535.7,195.2,271.5,459.7,368.5,285.1,359.6,403.9,51.0,525.5,448.1,274.5,179.6,290.3,322.4,158.7,459.9,251.7,340.2,226.4,538.8,239.4,40.4,562.6,300.2,455.7,209.2,480.9,316.3,161.4,64.9,409.4,451.7,575.9,541.9,499.7,234.8,22.4,366.0,94.6,265.0,535.0,183.2,230.4,193.9,80.8,221.8,193.1,352.8,332.1,188.8,429.2,219.0,167.8,256.7,380.0,1805.4,171.8,447.1,332.9,244.1,536.6,204.6,324.8,220.8,239.3
FE,581.1,69.0,393.7,250.5,187.9,58.2,112.5,242.8,112.7,202.0,0.0,127.8,196.4,281.2,556.5,529.3,154.4,266.1,436.3,355.8,261.7,346.9,404.4,154.0,538.4,448.6,259.1,166.9,284.9,304.2,121.1,460.4,257.2,316.8,225.6,551.7,221.7,82.6,556.2,276.8,456.2,144.7,483.3,303.6,68.2,147.9,409.9,428.3,591.9,535.5,502.1,242.9,178.3,353.3,121.8,249.6,528.6,128.6,217.7,150.1,135.6,131.5,127.8,340.1,308.7,132.0,429.4,258.8,148.0,239.0,367.3,1772.2,82.1,447.3,320.2,208.4,552.6,64.8,312.1,208.1,270.3
