from_stop,AI,BB,CP,CZ,DM,DS,EB,EC,ER,ET,FI,FP,FQ,GE,GL,HM,IK,IN,IS,IT,JL,JS,KM,LT,LW,MS,MT,NW,OE,OG,PA,PD,PY,QV,QY,SF,SP,SU,TF,TH,TS,UO,UV,VC,VJ,VZ,WS,XF,YQ,YX,ZH,ZI,ZQ
AI,0.0,2823.3,474.6,408.3,597.4,203.9,592.7,510.7,249.2,417.7,520.6,490.1,554.6,387.4,569.6,387.8,208.0,373.5,126.5,291.5,70.5,413.3,136.8,569.9,197.2,393.2,157.6,42.4,359.7,531.0,545.3,584.3,445.7,442.1,455.0,165.2,236.8,224.1,527.6,519.3,302.0,579.4,535.0,594.8,115.6,179.9,567.7,553.8,164.2,107.3,74.1,562.7,467.7
BB,2636.9,0.0,2421.4,2334.9,2554.6,2430.5,2495.3,2394.2,2642.7,2281.7,2405.2,2446.4,2439.2,2366.6,2454.2,2246.8,2845.0,2230.2,2643.4,2420.3,2707.5,2270.1,2653.7,2452.7,2714.1,2372.4,2481.4,2585.5,2249.8,2415.6,2447.9,2541.5,2300.9,2410.9,2392.9,2473.1,2753.7,2521.3,2412.2,2403.9,2700.0,2482.0,2437.6,2473.4,2632.5,2696.8,2470.3,2456.4,2681.1,2744.3,2591.0,2465.3,2414.5
CP,535.6,2619.9,0.0,233.6,208.5,329.2,189.2,91.2,541.4,243.0,67.2,204.5,128.0,184.8,143.0,172.0,743.7,177.4,542.1,319.0,606.2,168.8,552.4,123.5,612.8,177.9,380.1,484.2,164.9,104.4,160.1,195.4,286.7,68.6,81.5,371.8,652.4,420.0,83.0,92.7,598.7,175.9,161.5,162.2,531.2,595.5,164.2,150.3,579.8,643.0,489.7,159.2,45.9
CZ,427.0,2574.6,225.9,0.0,348.7,220.6,344.0,262.0,432.8,103.4,271.9,241.4,305.9,138.7,320.9,139.1,635.1,124.8,433.5,210.4,497.6,178.9,443.8,321.2,504.2,144.5,271.5,375.6,111.0,282.3,296.6,335.6,147.1,193.4,211.1,263.2,543.8,311.4,278.9,270.6,490.1,330.7,286.3,346.1,422.6,486.9,319.0,305.1,471.2,534.4,381.1,314.0,219.0
DM,662.7,2650.8,241.0,360.7,0.0,456.3,62.8,218.3,668.5,370.1,142.6,208.1,99.3,393.0,81.2,296.9,870.8,304.5,669.2,446.1,740.9,295.9,679.5,80.1,739.9,386.1,506.9,611.3,292.1,123.6,115.2,13.0,413.8,172.6,154.6,498.9,779.5,547.1,107.0,138.7,725.8,68.2,124.6,64.9,658.3,722.6,88.4,104.6,706.9,770.1,616.8,93.2,252.7
DS,206.3,2619.3,270.6,204.3,393.4,0.0,388.7,306.7,212.1,213.7,316.6,286.1,350.6,183.4,365.6,183.8,414.4,169.5,212.8,87.5,276.9,209.3,223.1,365.9,283.5,189.2,50.8,154.9,155.7,327.0,341.3,380.3,241.7,238.1,255.8,42.5,323.1,148.2,323.6,315.3,269.4,375.4,331.0,390.8,201.9,266.2,363.7,349.8,250.5,313.7,160.4,358.7,263.7
EB,666.0,2719.5,204.1,364.0,61.3,459.6,0.0,221.6,671.8,373.4,140.0,211.4,84.6,356.4,66.5,308.0,874.1,307.8,672.5,449.4,736.6,299.2,682.8,78.6,743.2,349.5,510.5,614.6,295.3,90.4,52.3,105.6,417.1,175.9,162.9,502.2,782.8,550.4,123.5,102.1,729.1,14.1,61.7,47.7,661.6,725.9,25.5,41.9,710.2,773.4,620.1,30.3,250.1
EC,444.3,2535.9,145.4,142.3,286.2,237.9,281.5,0.0,450.1,151.7,241.0,282.2,275.0,257.9,290.0,78.5,652.4,86.1,450.8,227.7,514.9,77.5,461.1,288.5,521.5,251.0,288.8,392.9,73.6,251.4,233.1,273.1,195.4,130.9,148.6,280.5,561.1,328.7,265.8,239.7,507.4,276.4,223.8,305.0,439.9,504.2,256.5,242.7,488.5,551.7,398.4,251.5,138.5
ER,277.3,2837.2,488.5,422.2,611.3,217.8,606.6,524.6,0.0,431.6,534.5,504.0,568.5,401.3,583.5,401.7,485.4,387.4,283.8,305.4,347.9,427.2,217.8,583.8,168.2,407.1,171.5,225.9,373.6,544.9,559.2,598.2,459.6,456.0,473.7,179.1,218.7,238.0,541.5,533.2,78.3,593.3,548.9,608.7,239.0,184.7,581.6,567.7,200.4,384.7,231.4,576.6,481.6
ET,436.4,2503.8,218.4,83.4,358.1,230.0,353.4,191.2,442.2,0.0,281.3,326.2,315.3,148.1,330.3,67.4,644.5,54.0,442.9,219.8,514.6,75.4,453.2,329.7,513.6,153.9,280.9,385.0,67.1,291.7,305.0,345.0,43.6,202.8,220.5,272.6,553.2,320.8,306.1,280.0,499.5,348.3,295.7,355.5,432.0,496.3,328.4,314.6,480.6,543.8,390.5,323.4,211.5
FI,591.8,2629.7,64.0,289.8,141.2,385.4,121.9,147.4,597.6,299.2,0.0,137.2,60.7,248.9,75.7,226.0,799.9,233.6,598.3,375.2,681.4,225.0,608.6,56.2,669.0,242.0,436.0,540.4,221.1,40.5,92.8,128.1,342.9,101.7,83.7,428.0,708.6,476.2,33.5,25.4,654.9,116.8,102.2,90.7,587.4,651.7,96.9,83.1,636.0,699.2,545.9,91.9,110.0
FP,511.1,2562.7,243.5,209.1,274.2,304.7,278.4,201.8,516.9,218.5,179.4,0.0,213.4,240.8,228.4,140.9,719.2,152.9,517.6,294.5,581.7,144.3,527.9,226.9,588.3,334.6,355.6,459.7,140.4,189.8,231.0,261.1,262.2,185.1,172.1,347.3,627.9,395.5,186.4,178.1,574.2,265.1,220.7,247.6,506.7,571.0,253.4,239.5,555.3,618.5,465.2,248.4,222.1
FQ,608.6,2646.5,127.6,306.6,89.5,402.2,71.8,164.2,614.4,316.0,56.8,154.0,0.0,298.4,14.9,250.4,816.7,250.4,608.4,392.0,698.2,241.8,625.4,87.3,685.8,291.5,452.8,557.2,233.5,46.8,99.5,102.7,359.7,111.8,98.8,444.8,718.7,493.0,61.6,29.1,671.7,66.7,107.9,29.9,597.5,668.5,71.7,93.4,652.8,716.0,562.7,82.0,173.6
GE,436.7,2510.3,154.7,134.7,277.5,230.3,272.8,197.7,442.5,113.5,200.7,170.2,234.7,0.0,249.7,73.9,644.8,60.5,443.2,220.1,514.9,69.9,453.5,248.9,513.9,5.7,280.9,385.3,61.6,211.1,224.4,264.4,132.7,122.2,135.1,272.9,553.5,321.1,225.5,199.4,499.8,267.7,215.1,274.9,432.3,496.6,247.8,234.0,480.9,544.1,390.8,242.8,147.8
GL,626.7,2664.6,145.7,324.7,74.5,420.3,56.8,182.3,632.5,334.1,81.6,172.1,18.0,316.5,0.0,269.9,834.8,268.5,633.2,410.1,684.4,259.9,643.5,105.4,703.9,309.6,471.2,575.3,256.1,64.9,83.5,87.7,377.8,136.6,123.6,462.9,743.5,511.1,86.4,47.2,689.8,51.7,92.9,7.5,622.3,686.6,56.7,72.9,670.9,734.1,580.8,61.5,191.7
HM,432.8,2458.2,150.0,130.8,311.4,226.4,315.6,122.3,438.6,76.4,211.0,257.8,245.0,256.9,260.0,0.0,640.9,33.9,438.1,216.2,522.4,66.0,449.6,265.0,510.0,255.6,277.0,381.4,57.7,230.7,268.1,298.3,96.8,135.4,142.8,269.0,548.4,322.8,243.8,209.7,495.9,306.5,257.9,280.6,428.6,492.7,290.1,276.7,477.0,545.8,386.9,285.6,137.5
IK,135.2,2958.6,609.9,543.6,732.7,339.2,728.0,646.0,384.5,553.0,655.9,625.4,689.9,522.7,704.9,523.1,0.0,508.8,261.8,426.8,138.9,548.6,272.1,705.2,332.5,528.5,292.9,177.7,495.0,666.3,680.6,719.6,581.0,577.4,590.3,300.5,372.1,359.4,662.9,654.6,437.3,714.7,670.3,730.1,250.9,315.2,703.0,689.1,299.5,54.9,209.4,698.0,603.0
