from_stop,AB,AD,AJ,AQ,AW,BD,BT,CE,CH,CK,CR,CZ,DD,DK,DM,DP,EE,EI,EV,FF,FQ,GC,GT,IJ,JF,JQ,JV,KG,KH,KV,LJ,LP,MU,NH,NW,OF,QL,QO,QR,RB,RM,RX,SN,SX,SY,TB,TK,TN,TO,UL,UO,UV,UY,VA,VM,VS,WD,WM,WO,XX,YN,YR,YZ,ZC,ZI
AB,0.0,524.1,92.9,477.9,317.7,32.8,239.1,258.4,289.6,416.4,601.4,518.2,209.2,1984.2,303.2,369.1,410.5,588.3,267.9,256.6,68.9,120.5,123.0,247.4,317.5,255.6,290.4,488.9,360.5,425.0,337.3,249.9,194.0,377.4,238.7,133.9,228.1,529.6,282.6,169.6,360.6,69.9,239.1,166.1,64.9,289.0,510.5,546.8,40.8,195.2,141.0,368.8,288.0,67.0,361.5,626.1,296.2,148.8,296.6,366.8,385.8,140.6,22.5,135.4,329.9
AD,508.3,0.0,541.6,65.2,595.3,465.4,461.7,237.4,567.2,275.7,64.1,5.9,389.2,2261.5,232.8,516.4,204.2,64.1,452.5,505.0,563.1,377.7,571.7,438.8,508.1,412.4,579.7,76.2,434.1,189.7,566.6,393.9,314.2,247.3,461.3,620.7,461.3,197.1,438.0,606.3,434.1,546.1,461.7,570.6,528.7,444.4,54.4,22.6,513.1,532.3,533.8,333.1,432.8,515.7,385.5,91.3,265.5,597.5,500.4,369.9,122.4,589.3,475.7,584.1,417.8
AJ,68.8,575.7,0.0,529.5,332.4,84.4,261.3,316.7,304.3,457.4,639.9,569.8,250.2,2006.4,354.8,378.9,462.1,639.9,272.1,300.8,122.9,172.1,137.7,262.1,369.1,277.8,312.6,540.5,375.2,476.6,359.5,288.6,245.6,429.0,260.9,166.7,260.9,570.6,315.4,172.3,375.3,86.4,261.3,170.2,74.7,321.8,562.1,598.4,68.7,209.9,155.7,409.8,310.2,81.7,365.6,667.1,360.2,55.9,323.7,381.5,437.4,155.3,74.1,158.7,344.6
AQ,469.7,65.2,515.4,0.0,569.1,439.2,435.5,216.9,541.0,249.5,129.4,59.3,363.0,2196.2,206.6,490.2,178.0,129.4,426.3,495.9,550.7,351.5,545.5,412.6,481.9,386.2,553.5,10.9,407.9,163.5,540.4,367.7,288.0,221.1,435.1,594.5,435.1,170.9,411.8,581.5,408.0,514.2,435.5,544.4,502.5,418.2,51.6,87.9,496.5,506.1,507.6,306.9,406.6,489.5,359.3,156.6,239.3,571.3,474.2,343.7,96.2,563.1,449.5,566.5,391.6
AW,299.7,567.1,318.5,520.9,0.0,315.3,113.2,308.1,21.6,448.8,631.3,561.2,457.6,2124.1,509.5,277.5,492.1,631.3,127.7,133.5,339.8,403.0,222.6,205.7,576.5,151.4,262.5,531.9,279.0,506.6,309.4,162.2,347.9,420.4,113.6,383.6,113.6,562.0,189.0,282.4,279.1,303.3,113.2,160.4,291.6,195.4,553.5,589.8,285.6,122.1,240.6,609.8,183.8,248.6,269.4,658.5,542.2,374.4,267.3,285.3,428.8,176.7,305.0,215.4,248.4
BD,30.4,491.2,76.1,445.0,300.9,0.0,249.0,232.2,272.8,385.0,555.4,485.3,165.7,1994.9,270.3,367.4,377.6,555.4,263.5,269.3,111.4,87.7,106.2,230.6,284.6,265.6,301.1,456.0,343.7,392.1,348.0,245.5,161.1,344.5,248.7,155.2,248.7,486.1,289.6,140.8,343.8,74.9,249.0,138.7,63.2,296.0,477.6,513.9,57.2,178.4,124.2,325.3,284.4,50.2,334.1,582.6,275.7,132.0,292.2,347.7,352.9,123.8,10.2,127.2,313.1
BT,260.5,453.8,266.9,407.6,133.5,263.7,0.0,200.1,105.4,335.5,518.0,447.9,344.3,2021.2,396.2,163.8,378.8,518.0,14.0,42.7,273.9,297.7,171.0,92.4,463.2,38.1,159.6,418.6,165.7,392.9,206.5,48.5,234.6,307.1,0.3,331.5,0.3,448.3,75.7,228.9,165.8,256.9,0.3,108.8,239.5,81.7,440.2,476.5,224.8,70.5,187.4,496.1,70.5,197.0,156.6,544.8,428.9,322.8,154.0,172.0,315.5,125.1,253.4,129.8,135.1
CE,258.4,253.2,304.1,207.0,357.8,227.9,224.2,0.0,329.7,147.0,333.5,247.3,186.4,2203.8,195.6,278.9,178.2,317.4,215.0,267.5,325.6,140.2,334.2,201.3,305.3,174.9,342.2,218.0,196.6,192.7,329.1,156.4,76.7,106.5,223.8,383.2,223.8,248.1,200.5,368.8,196.6,308.6,224.2,333.1,291.2,206.9,239.6,275.9,275.6,294.8,296.3,295.9,195.3,278.2,148.0,344.6,228.3,360.0,262.9,132.4,114.9,351.8,238.2,346.6,180.3
CH,278.0,545.4,296.8,499.2,28.1,293.6,91.5,286.4,0.0,427.1,609.6,539.5,435.9,2102.4,487.8,255.8,470.4,609.6,106.0,111.8,318.1,381.3,200.9,184.0,554.8,129.7,240.8,510.2,257.3,484.9,287.7,140.5,326.2,398.7,91.9,361.9,91.9,540.3,167.3,259.3,257.4,281.6,91.5,138.7,269.9,173.7,531.8,568.1,263.9,100.4,218.9,588.1,162.1,226.9,247.7,636.8,520.5,352.7,245.6,263.6,407.1,155.0,283.3,193.7,226.7
CK,385.4,291.1,418.7,244.9,472.4,342.5,355.5,114.5,444.3,0.0,355.3,285.2,301.0,2318.4,233.5,393.5,232.8,355.3,329.6,382.1,456.9,254.8,448.8,315.9,419.9,289.5,456.8,272.6,327.9,230.6,443.7,271.0,208.0,66.7,338.4,497.8,338.4,302.7,315.1,484.8,328.0,423.2,339.6,464.4,422.5,321.5,277.5,313.8,390.2,409.4,410.9,333.8,309.9,392.8,262.6,382.5,282.9,474.6,377.5,247.0,152.8,466.4,352.8,461.2,294.9
