from_stop,AD,AU,AY,BF,BP,CA,CY,DA,DX,EA,EB,ED,EE,EF,EG,EN,ER,FB,FC,FR,FW,FY,GK,GO,GP,GR,HB,HD,HJ,HT,IA,IG,IO,JF,JI,JJ,JY,KB,KH,KP,LB,LC,LX,MH,MI,ML,MP,MU,MX,NH,NI,NU,NV,OB,OG,OL,OP,OQ,OU,PJ,PS,PZ,QW,QX,RU,SL,SM,SV,SY,SZ,TJ,TY,UA,UI,UX,VC,WA,WB,XA,XI,XQ,XV,XW,YC,YJ,YM,YT,ZE
AD,0.0,1848.0,74.7,219.9,146.3,72.5,123.6,72.6,126.9,119.0,178.1,208.0,447.7,177.3,105.2,105.1,72.2,232.0,63.5,314.2,389.7,102.3,113.1,64.6,158.7,319.8,113.3,174.8,76.0,130.1,109.9,397.7,162.3,158.7,268.1,209.9,63.4,233.5,158.9,154.1,184.9,119.4,183.5,268.8,93.5,116.2,218.2,225.4,204.6,194.1,66.3,248.6,116.7,28.8,271.6,240.0,456.0,225.0,155.6,125.2,219.1,101.2,145.7,57.1,102.4,240.8,232.1,71.0,28.4,283.3,234.3,100.3,199.6,281.0,212.9,324.0,164.7,64.1,277.2,128.6,84.2,145.2,84.6,98.8,142.9,71.6,239.0,236.1
AU,1805.3,0.0,1757.7,1711.3,1817.0,1755.5,1884.7,1755.6,1841.7,1701.2,1826.0,1843.3,1873.1,1820.1,1733.3,1819.9,1787.0,1872.6,1746.5,1885.2,1815.7,1785.3,1827.9,1696.9,1669.2,1876.9,1857.0,1866.6,1790.8,1764.5,1692.1,1857.8,1809.2,1873.5,1942.2,1865.5,1760.3,1767.0,1823.8,1718.1,1857.0,1834.2,1898.3,1877.1,1776.5,1716.0,1878.8,1871.7,1617.1,1883.5,1698.6,1778.9,1773.0,1788.1,1901.7,1731.4,1866.2,1797.4,1759.1,1830.8,1816.6,1757.5,1682.2,1771.9,1687.5,1866.8,1930.8,1805.3,1695.6,1811.3,1791.3,1815.1,1662.4,1892.3,1810.4,1877.6,1785.4,1747.1,1896.1,1811.6,1761.0,1748.7,1666.8,1813.6,1799.2,1804.7,1885.9,1883.0
AY,63.0,1882.6,0.0,254.5,71.5,2.2,48.8,2.0,65.5,153.6,138.4,133.2,387.9,93.5,72.4,90.3,78.1,198.9,64.0,290.0,329.9,102.8,67.6,98.7,213.3,260.0,38.5,97.8,86.1,110.5,144.5,337.9,89.6,137.7,193.3,143.8,118.0,135.5,84.1,208.7,112.0,104.6,162.5,236.7,18.7,83.4,173.1,201.1,259.2,154.4,100.9,154.1,117.2,91.8,231.9,274.6,396.2,204.0,190.2,50.4,144.3,101.7,198.1,120.2,112.2,175.0,157.3,51.5,63.0,250.8,166.5,50.9,254.2,248.5,138.1,299.8,143.3,10.5,242.6,86.0,156.7,179.8,119.2,52.4,100.2,52.1,164.2,161.3
BF,213.3,1933.2,239.6,0.0,311.2,237.4,288.5,237.5,249.8,106.7,343.0,372.9,570.6,308.5,228.1,228.0,195.1,354.9,228.4,437.1,512.6,267.2,236.0,145.0,144.6,442.7,265.1,339.7,198.9,253.0,115.8,520.6,311.4,281.6,423.2,367.7,168.4,356.4,323.8,140.0,349.8,242.3,306.4,391.7,258.4,239.1,341.1,348.3,190.5,359.0,143.4,371.5,281.6,196.2,394.5,20.0,578.9,347.9,76.2,290.1,350.3,266.1,131.6,180.0,225.3,363.7,397.0,213.4,177.5,406.2,357.2,223.2,185.5,403.9,344.1,446.9,287.6,229.0,400.1,293.5,126.1,65.8,144.3,221.7,307.8,212.8,388.1,385.2
BP,119.7,1939.3,56.6,311.2,0.0,58.8,61.4,58.7,58.1,216.1,104.3,50.0,316.3,86.1,129.1,94.4,134.8,127.3,120.7,218.4,258.3,128.2,94.0,155.4,254.8,188.4,64.9,73.3,127.6,117.7,201.2,266.3,17.7,67.7,121.7,72.2,159.5,63.9,12.5,250.2,61.8,111.8,92.5,165.1,37.7,140.1,101.5,129.5,300.7,90.2,157.6,82.5,135.2,148.5,160.3,331.3,324.6,121.7,246.9,13.7,56.4,148.4,239.6,147.1,168.9,103.4,117.7,108.2,119.7,179.2,94.9,107.6,295.7,176.9,45.8,228.2,43.8,67.2,171.0,98.6,213.4,236.5,175.9,109.1,112.8,108.8,92.6,81.5
CA,60.8,1880.4,2.2,252.3,73.7,0.0,51.0,0.1,67.7,151.4,140.6,135.4,390.1,104.7,70.2,88.1,75.9,201.7,61.8,292.2,332.1,100.6,69.8,97.0,211.1,262.2,40.7,102.2,83.9,113.1,142.3,340.1,89.7,139.9,195.5,146.0,115.8,137.7,86.3,206.5,112.3,102.4,164.7,238.9,20.9,81.2,175.3,203.3,257.0,156.6,98.7,156.3,115.0,89.6,241.3,272.4,398.4,206.2,188.0,52.6,146.5,99.5,198.1,118.0,110.0,177.2,159.5,49.3,60.8,253.0,168.7,47.8,252.0,250.7,140.3,302.0,145.9,8.3,246.9,88.2,116.6,177.6,117.0,49.5,102.4,49.9,166.4,163.5
CY,122.3,1922.7,59.2,313.8,66.7,61.4,0.0,61.3,42.7,218.7,93.0,84.3,383.1,70.7,116.5,79.0,137.4,194.1,94.5,285.2,325.1,65.9,96.6,158.8,239.4,255.2,67.5,36.3,112.2,102.3,200.9,333.1,84.8,118.4,171.5,121.3,144.1,130.7,79.3,247.4,63.1,96.4,139.7,231.9,40.3,128.3,168.3,181.6,285.3,105.5,160.2,149.3,73.7,151.1,227.1,333.9,392.2,181.2,249.5,45.6,125.8,86.9,224.2,131.7,154.7,170.2,108.4,110.8,122.3,246.0,190.5,110.1,280.3,243.7,115.2,295.8,120.5,69.8,237.8,37.1,216.0,239.1,178.5,111.7,50.5,111.4,144.9,133.8
DA,60.9,1880.5,2.0,252.4,73.6,0.1,50.9,0.0,67.6,151.5,140.5,135.3,390.0,104.6,70.3,88.2,76.0,201.6,61.9,292.1,332.0,100.7,69.7,97.1,211.2,262.1,40.6,102.1,84.0,113.2,142.4,340.0,89.6,139.8,195.4,145.9,115.9,137.6,86.2,206.6,112.2,102.5,164.6,238.8,20.8,81.3,175.2,203.2,257.1,156.5,98.8,156.2,115.1,89.7,241.2,272.5,398.3,206.1,188.1,52.5,146.4,99.6,198.2,118.1,110.1,177.1,159.4,49.4,60.9,252.9,168.6,47.9,252.1,250.6,140.2,301.9,145.8,8.4,246.8,88.1,116.7,177.7,117.1,49.6,102.3,50.0,166.3,163.4
DX,119.2,1879.9,56.1,310.7,83.6,58.3,42.9,58.2,0.0,190.5,132.5,127.3,361.1,58.6,73.7,36.2,101.7,145.4,120.2,227.6,303.1,109.7,93.5,155.4,196.6,233.2,64.4,94.1,69.4,64.3,181.4,311.1,99.6,72.1,205.4,155.9,101.3,146.9,96.2,192.0,104.2,53.6,96.9,182.2,37.2,84.7,131.6,138.8,242.5,148.5,157.1,162.0,116.7,148.0,185.0,330.8,369.4,138.4,246.4,62.5,100.4,129.9,183.6,88.9,111.9,154.2,151.4,107.7,119.2,196.7,147.7,106.2,237.5,194.4,94.2,237.4,78.1,66.7,190.6,80.1,175.0,236.0,156.1,107.9,94.3,108.3,176.3,173.4
EA,125.6,1844.4,157.7,204.4,229.3,149.7,201.6,149.8,225.5,0.0,223.7,285.2,490.5,275.2,203.8,203.7,170.8,330.0,146.5,412.8,432.5,185.3,211.7,90.6,120.3,418.4,190.5,223.5,168.8,218.1,12.0,496.3,241.6,260.8,345.3,252.0,144.1,326.3,236.1,128.3,250.3,218.0,282.1,367.4,170.7,209.0,316.8,324.0,160.4,236.2,92.8,347.2,167.2,171.9,363.0,224.5,504.6,323.6,24.7,202.4,321.0,151.7,99.3,155.7,153.2,339.4,309.3,189.1,89.8,381.9,332.9,192.3,161.2,379.6,319.7,416.8,262.9,147.1,373.7,205.8,148.6,40.9,37.5,191.0,193.4,188.5,316.2,305.1
