from_stop,AA,AD,AG,AK,AO,AW,AX,BT,CH,CS,CT,CU,DP,DQ,DR,DS,DV,EB,EJ,EL,FB,FH,FL,FQ,FY,GC,GG,GH,GY,HI,HL,HT,IA,IE,IJ,IN,IR,IU,KH,KY,LH,LI,MB,MF,MJ,MO,MV,NJ,NK,NL,NQ,NV,OB,OC,OI,OY,PA,PO,PW,QC,QO,RE,RF,RG,RO,RQ,RR,RS,SL,TT,TU,TX,UE,UF,UK,UR,UX,XD,XG,XJ,XR,XS,XV,YF,YG,YH,YI,YK,YM,YN,YO,YV,YX,ZE,ZG
AA,0.0,428.3,80.9,628.7,616.9,424.6,645.8,635.6,479.7,372.5,471.7,403.9,2324.6,512.0,633.3,481.0,684.2,603.8,676.4,545.1,600.7,656.4,352.0,623.8,614.3,439.9,589.4,534.5,492.4,677.2,480.0,464.2,480.7,259.0,137.2,375.9,554.9,666.3,670.2,534.4,534.0,592.5,249.8,219.3,702.4,609.6,521.7,567.8,611.1,365.9,437.9,505.2,501.6,651.5,717.8,10.2,423.2,419.6,500.7,708.8,470.4,460.5,562.9,572.5,320.0,392.2,554.6,565.4,328.1,560.9,639.9,583.4,570.4,381.5,423.6,482.7,731.8,553.5,576.1,143.6,392.0,586.9,321.7,707.1,483.8,572.3,586.9,509.8,286.1,658.9,259.1,545.8,586.3,160.2,592.0
AD,449.3,0.0,358.3,371.4,359.6,313.1,305.4,295.2,548.2,55.7,43.3,24.3,2067.3,167.6,376.0,223.7,426.9,346.5,336.0,287.8,172.3,399.1,357.1,195.4,230.2,158.3,657.9,106.1,149.4,336.8,152.7,210.7,136.3,362.7,282.9,447.8,297.6,409.0,412.9,602.9,272.1,248.1,610.2,354.3,362.0,352.3,264.4,276.8,353.8,117.5,180.6,567.7,73.2,307.1,377.4,459.5,41.8,511.5,243.4,364.4,213.1,203.2,305.6,315.2,120.5,36.0,210.2,633.9,301.4,132.5,382.6,155.0,313.1,168.5,166.3,225.4,391.4,616.0,638.6,386.8,125.2,242.5,538.3,361.2,226.5,227.9,329.6,252.5,573.9,401.6,321.9,201.4,329.0,403.4,163.6
AG,99.4,385.8,0.0,586.2,574.4,298.9,603.3,593.1,437.2,330.0,429.2,361.4,2282.1,469.5,590.8,438.5,641.7,561.3,633.9,502.6,558.2,613.9,309.5,581.3,571.8,397.4,546.9,492.0,449.9,634.7,437.5,425.5,438.2,216.5,94.7,279.6,512.4,623.8,627.7,491.9,491.5,550.0,207.3,176.8,659.9,567.1,479.2,471.5,568.6,323.4,395.4,462.7,459.1,609.0,675.3,109.6,380.7,377.1,458.2,666.3,427.9,418.0,520.4,530.0,277.5,349.7,512.1,522.9,285.6,518.4,597.4,540.9,527.9,339.0,381.1,440.2,689.3,511.0,533.6,101.1,349.5,544.4,285.2,664.6,441.3,529.8,544.4,467.3,243.6,616.4,216.6,503.3,543.8,117.7,549.5
AK,649.1,358.5,558.1,0.0,88.9,350.0,401.4,391.2,585.1,302.7,401.9,334.1,2132.2,382.1,147.1,260.6,123.1,208.9,432.0,167.1,525.5,95.3,394.0,548.6,444.7,310.0,694.8,384.5,363.9,432.8,350.1,247.6,350.8,399.6,490.4,744.2,77.7,146.6,112.1,639.8,168.5,462.6,647.1,391.2,458.0,51.5,301.3,573.2,99.5,426.9,287.7,604.6,390.3,456.9,473.4,659.3,394.7,548.4,327.8,562.7,291.0,240.1,146.3,133.3,328.0,322.4,424.7,670.8,338.3,485.7,70.7,508.2,101.6,376.0,196.5,262.3,487.4,652.9,675.5,466.9,453.0,457.0,575.2,457.2,152.7,442.4,192.0,289.4,610.8,242.3,358.8,415.9,119.5,538.4,442.0
AO,625.5,334.9,534.5,78.9,0.0,326.4,377.8,367.6,561.5,279.1,378.3,310.5,2108.6,358.5,149.4,237.0,160.6,119.9,408.4,81.7,501.9,174.3,370.4,525.0,421.1,286.4,671.2,360.9,340.3,409.2,326.5,224.0,327.2,376.0,466.8,720.6,68.2,154.9,120.4,616.2,125.6,439.0,623.5,367.6,434.4,59.8,277.7,549.6,178.5,403.3,264.1,581.0,366.7,433.3,449.8,635.7,371.1,524.8,304.2,536.3,267.4,216.5,159.1,44.3,304.4,298.8,401.1,647.2,314.7,462.1,149.7,484.6,78.0,352.4,172.9,238.7,463.8,629.3,651.9,443.3,429.4,433.4,551.6,433.6,129.1,418.8,103.0,265.8,587.2,255.1,335.2,392.3,30.5,514.8,418.4
AW,379.9,332.5,288.9,350.3,338.5,0.0,511.2,548.5,363.4,276.7,375.9,355.6,2045.3,356.1,354.9,184.2,453.3,325.4,541.8,266.7,547.0,425.5,135.8,522.6,458.4,331.5,473.1,358.5,385.4,542.6,324.1,194.4,324.8,130.4,328.5,566.0,276.5,387.9,391.8,418.1,303.1,436.6,147.6,122.0,567.8,331.2,224.9,594.7,332.7,509.7,261.7,382.9,364.3,495.6,583.2,437.6,368.7,317.4,251.4,552.9,241.6,163.7,332.0,294.1,349.5,296.4,398.7,449.1,13.2,459.7,361.5,482.2,339.5,397.5,170.5,185.9,597.2,431.2,453.8,197.7,535.8,431.0,225.5,572.5,205.4,416.4,308.5,222.5,183.9,428.0,92.2,389.9,355.4,269.2,416.0
AX,654.9,283.6,563.9,516.9,505.1,458.6,0.0,10.2,693.7,300.8,240.2,308.0,2088.8,122.4,521.5,369.2,572.4,492.0,30.5,433.3,345.5,544.6,502.6,368.6,139.8,212.8,803.4,204.5,141.0,31.3,207.2,356.2,154.2,508.2,488.5,564.2,443.1,554.5,558.4,748.4,417.6,114.4,755.7,499.8,120.4,497.8,409.9,393.2,499.3,401.2,326.1,713.2,210.3,55.4,71.9,665.1,325.5,657.0,388.9,161.2,358.6,348.7,451.1,460.7,326.1,319.7,152.3,779.4,446.9,305.7,528.1,328.2,458.6,374.1,311.8,370.9,91.3,761.5,784.1,575.5,408.9,120.0,683.8,55.7,372.0,134.6,475.1,398.0,719.4,547.1,467.4,161.1,474.5,609.0,262.0
BT,644.7,273.4,553.7,506.7,494.9,448.4,10.2,0.0,683.5,290.6,230.0,297.8,2078.6,112.2,511.3,359.0,562.2,481.8,40.7,423.1,335.3,534.4,492.4,358.4,129.6,202.6,793.2,194.3,130.8,41.5,197.0,346.0,144.0,498.0,478.3,554.0,432.9,544.3,548.2,738.2,412.0,124.6,745.5,489.6,110.2,487.6,399.7,383.0,489.1,391.0,315.9,703.0,200.1,65.6,82.1,654.9,315.3,646.8,378.7,168.6,348.4,338.5,440.9,450.5,315.9,309.5,162.5,769.2,435.1,295.5,517.9,318.0,448.4,363.9,301.6,360.7,101.5,751.3,773.9,565.3,398.7,130.2,673.6,65.9,361.8,144.8,464.9,387.8,709.2,536.9,457.2,154.5,464.3,598.8,251.8
CH,470.1,549.0,365.3,566.8,555.0,374.8,683.1,672.9,0.0,493.2,592.4,524.6,2261.8,572.6,571.4,400.7,622.3,541.9,713.7,483.2,850.3,594.5,453.3,873.4,635.2,500.5,231.5,575.0,554.4,714.5,540.6,414.7,541.3,360.3,680.9,324.4,493.0,604.4,608.3,176.5,467.5,653.1,315.0,355.5,739.7,547.7,441.4,516.3,549.2,617.4,478.2,198.0,715.1,738.6,755.1,480.3,585.2,141.8,467.9,769.4,458.1,380.2,501.0,510.6,518.5,512.9,615.2,207.5,363.1,810.5,578.0,833.0,508.5,566.5,387.0,402.4,769.1,246.3,268.9,431.2,643.5,647.5,243.1,738.9,421.9,632.9,525.0,429.5,278.7,597.0,363.0,606.4,524.4,488.4,632.5
CS,393.5,55.7,302.5,315.6,303.8,257.3,332.7,322.5,492.4,0.0,99.1,31.3,2011.5,198.9,320.2,167.9,371.1,290.7,363.3,232.0,228.1,343.3,301.3,251.2,301.2,126.8,602.1,161.9,180.7,364.1,208.5,154.9,167.6,306.9,227.1,503.6,241.8,353.2,357.1,547.1,220.9,279.4,554.4,298.5,389.3,296.5,208.6,332.6,298.0,163.6,124.8,511.9,129.0,338.4,404.7,403.7,91.9,455.7,187.6,395.7,157.3,147.4,249.8,259.4,64.7,19.7,241.5,578.1,244.0,188.3,326.8,210.8,257.3,112.7,110.5,169.6,418.7,560.2,582.8,331.0,175.3,273.8,482.5,394.0,170.7,259.2,273.8,196.7,518.1,345.8,266.1,232.7,273.2,347.6,219.4
CT,492.7,43.3,401.7,414.8,403.0,356.5,262.0,251.8,591.6,99.1,0.0,67.7,2084.1,124.2,419.4,267.1,470.3,389.9,292.6,331.2,128.9,442.5,400.5,152.0,186.8,114.9,701.3,62.7,106.0,293.4,109.3,254.1,92.9,406.1,326.3,404.4,341.0,452.4,456.3,646.3,315.5,204.7,653.6,397.7,318.6,395.7,307.8,233.4,397.2,160.9,224.0,611.1,29.8,263.7,334.0,502.9,85.2,554.9,286.8,321.0,256.5,246.6,349.0,358.6,163.9,79.4,166.8,677.3,344.8,89.1,426.0,111.6,356.5,211.9,209.7,268.8,348.0,659.4,682.0,430.2,168.6,199.1,581.7,317.8,269.9,184.5,373.0,295.9,617.3,445.0,365.3,158.0,372.4,446.8,120.2
