from_stop,AN,BB,BR,BY,CA,CB,CF,CJ,CM,DB,DG,DL,DP,DZ,EB,EV,EX,FO,FP,FY,GH,GU,GX,HF,HM,HN,HY,HZ,IH,IN,IS,JA,JE,JG,JI,JM,JN,JX,KG,KI,KJ,KW,LA,LG,LH,LK,MB,MN,MR,NR,NV,OC,OM,ON,OY,PB,PG,PI,PO,PQ,QI,QP,QR,RA,RC,RK,RM,RS,RU,RV,RW,TB,TD,TH,TN,TY,UA,UQ,VA,VH,VK,VM,VO,VW,VZ,WD,WS,WV,XA,YK,YP,YR,YX,ZC,ZG,ZT,ZW
AN,0.0,236.4,156.0,203.9,158.7,270.4,71.2,132.3,23.0,184.5,200.1,136.2,157.6,209.0,208.4,245.3,228.4,233.0,32.6,18.8,46.1,232.6,41.8,258.9,14.9,195.7,52.6,46.6,246.1,299.8,132.3,32.5,190.7,80.8,212.1,152.9,2586.1,248.5,230.7,163.2,216.0,46.8,250.0,32.5,278.9,233.2,258.8,157.4,173.6,284.7,170.9,216.2,184.2,118.6,280.5,166.6,216.4,283.9,224.1,236.0,4.5,260.8,188.3,172.6,94.1,159.2,4.9,3.6,37.3,7.1,151.8,266.9,33.8,152.8,18.6,251.6,203.7,1.0,191.3,193.9,144.9,292.7,211.4,201.0,66.4,239.5,15.4,296.3,152.1,206.7,200.6,246.2,300.2,256.4,136.0,268.7,23.0
BB,253.0,0.0,354.1,188.3,206.2,173.0,324.3,107.4,230.6,75.8,68.1,121.5,77.2,86.2,141.5,221.1,161.5,146.0,285.7,252.2,217.7,203.4,294.9,132.1,238.3,39.7,189.6,299.7,9.6,165.0,107.4,285.6,105.4,333.9,102.0,143.0,2529.5,162.3,57.3,108.9,74.1,196.5,183.1,285.6,50.8,204.8,50.7,103.1,119.7,138.7,361.3,16.4,117.3,125.0,144.5,177.4,57.3,55.8,154.4,126.6,248.5,179.5,360.7,143.4,327.8,101.1,257.9,249.3,290.4,245.8,123.5,199.5,286.9,143.1,234.8,155.8,32.1,254.1,322.7,164.7,355.4,191.7,158.2,373.4,320.3,107.0,237.8,148.0,143.9,67.0,169.2,148.9,184.2,55.7,141.9,186.7,230.6
BR,143.8,368.3,0.0,320.9,283.8,387.4,78.2,276.3,166.9,301.5,364.4,253.3,296.2,326.0,320.1,352.7,345.4,348.6,119.0,129.5,190.5,344.3,109.3,377.0,153.5,381.7,196.5,104.2,383.3,416.8,276.2,119.2,295.5,68.3,322.8,296.8,2495.1,365.6,347.7,313.0,333.0,190.7,367.0,113.9,389.4,350.2,369.5,296.0,324.3,401.8,14.6,393.8,301.2,257.2,397.5,323.7,375.4,394.6,335.8,353.1,143.0,377.8,32.0,289.6,57.5,270.9,138.9,147.5,114.1,151.0,331.0,369.0,117.8,296.7,162.5,368.6,389.7,142.7,35.2,305.6,1.2,394.8,323.1,44.7,86.9,356.5,159.3,408.0,296.0,365.7,317.7,363.2,403.5,367.1,279.9,385.7,166.9
BY,216.5,173.2,317.6,0.0,74.3,90.0,287.8,138.1,194.1,98.8,166.0,85.8,114.0,105.3,56.7,64.2,26.7,86.7,249.2,215.7,148.8,32.0,258.4,76.5,201.8,150.5,153.1,263.2,188.5,134.4,138.1,249.1,80.1,297.4,114.7,126.4,2686.6,50.1,147.3,92.3,117.8,160.0,63.4,249.1,196.8,41.7,187.1,98.1,108.9,119.3,324.8,169.2,80.9,148.0,115.1,76.0,180.5,201.8,73.1,106.0,212.0,95.4,323.4,41.2,297.5,73.5,221.4,212.8,253.9,209.3,150.0,76.3,250.4,126.3,198.3,53.2,158.5,217.6,286.2,61.4,326.3,100.8,58.9,370.8,279.7,128.7,201.3,127.6,125.6,170.8,68.1,60.1,119.1,201.7,165.4,103.3,194.1
CA,164.9,207.7,280.6,74.8,0.0,155.7,236.2,136.4,142.5,122.2,193.1,86.0,137.4,128.7,97.9,126.6,107.1,104.5,197.6,183.8,123.7,103.5,206.8,155.9,150.2,175.9,121.5,211.6,217.4,200.1,136.4,197.5,110.4,245.8,138.1,101.1,2661.3,130.5,171.5,115.7,141.2,128.4,125.8,197.5,229.3,104.1,210.5,121.5,121.8,187.2,293.2,194.2,115.2,122.7,183.0,19.3,203.9,234.3,89.4,122.5,160.4,165.3,292.6,64.6,259.1,96.9,169.8,161.2,202.3,157.7,155.9,148.2,198.8,101.0,146.7,133.6,183.5,166.0,254.6,32.7,290.3,174.0,64.3,305.3,227.0,144.4,149.7,198.8,100.3,194.2,25.5,140.5,181.5,236.2,140.1,173.2,142.5
CB,263.0,139.1,364.1,90.0,163.8,0.0,334.3,199.0,240.6,101.5,162.3,131.5,170.7,133.8,51.9,85.8,63.2,81.9,295.7,262.2,228.1,75.7,304.9,60.4,248.3,145.7,199.6,309.7,154.4,64.5,199.0,295.6,147.9,343.9,175.6,190.6,2630.0,63.3,113.2,153.2,115.0,206.5,29.8,295.6,162.7,51.5,162.6,159.0,167.3,31.4,371.3,151.1,76.1,216.6,27.2,136.9,169.2,167.7,68.3,71.9,258.5,25.5,369.9,102.1,344.0,111.1,267.9,259.3,300.4,255.8,206.3,73.7,296.9,190.7,244.8,66.4,153.7,264.1,332.7,122.3,372.8,69.5,95.5,417.3,326.2,93.8,247.8,43.0,191.5,167.1,129.0,66.7,51.2,167.6,224.7,33.4,240.6
CF,65.5,295.3,78.5,242.6,205.5,309.1,0.0,197.9,88.6,223.2,267.5,174.9,223.2,247.7,247.1,274.4,267.1,270.2,40.8,51.2,112.1,262.2,31.0,298.6,80.5,261.3,118.2,26.0,310.6,338.5,197.9,41.0,229.4,9.5,277.7,218.5,2587.5,287.2,269.4,234.7,254.7,112.4,288.7,41.0,344.5,271.9,324.4,223.0,251.3,323.4,99.6,280.0,222.9,184.2,319.2,247.2,282.0,349.5,256.6,274.7,70.0,299.5,116.2,211.3,16.5,197.9,60.6,69.2,35.8,72.7,217.4,286.5,39.6,218.4,84.2,290.3,269.3,64.4,120.0,232.6,68.4,311.0,250.1,163.6,8.5,278.2,81.0,335.0,217.7,272.3,239.3,284.9,325.2,322.0,201.6,307.4,88.6
CJ,124.5,104.0,313.4,179.4,221.8,194.6,195.8,0.0,102.1,126.7,98.9,80.8,25.2,74.7,132.6,212.2,152.6,155.7,157.2,143.4,83.3,225.4,166.4,198.1,109.8,63.7,148.9,171.2,113.7,243.2,0.0,157.1,56.4,205.4,43.9,81.6,2597.9,169.3,117.5,30.8,87.2,109.9,174.2,157.1,135.1,195.9,116.3,25.0,58.3,226.1,320.6,82.0,108.4,17.6,221.9,193.0,109.7,140.1,145.5,175.2,120.0,203.0,320.0,158.6,218.7,116.3,129.4,120.8,161.9,117.3,79.2,190.6,158.4,81.7,106.3,175.8,71.3,125.6,282.0,180.3,264.8,217.1,149.3,332.7,191.0,189.8,109.3,237.7,82.5,100.0,184.8,182.7,224.6,150.5,76.7,210.9,102.1
CM,22.3,213.3,172.2,180.8,135.6,247.3,93.6,109.2,0.0,161.4,178.8,113.1,134.5,185.9,185.3,222.2,205.3,208.4,55.0,41.2,23.4,200.4,64.2,236.8,7.7,172.6,29.5,69.0,228.6,276.7,109.2,54.9,160.7,103.2,189.0,129.8,2608.5,225.4,207.6,140.1,192.9,23.7,226.9,54.9,255.8,210.1,235.7,134.3,150.5,261.6,193.3,191.3,161.1,95.5,257.4,141.3,193.3,260.8,194.8,212.9,17.8,237.7,209.9,149.5,110.2,136.1,27.2,18.6,59.7,15.1,128.7,234.3,56.2,129.7,4.2,228.5,180.6,23.4,208.1,170.8,162.1,258.8,188.3,257.3,85.5,216.4,7.2,273.2,129.0,183.6,177.5,223.1,277.1,233.3,112.9,245.6,0.0
DB,177.1,72.0,278.2,98.8,130.3,87.7,248.4,116.7,154.7,0.0,94.4,45.6,92.6,65.9,59.5,139.1,79.5,53.2,209.8,176.3,142.2,118.4,219.0,75.3,162.4,77.8,113.7,223.8,87.3,115.2,116.7,209.7,65.6,258.0,93.3,110.8,2558.2,71.6,46.1,70.9,47.1,120.6,101.1,209.7,95.6,122.8,95.5,76.7,87.5,100.1,285.4,96.5,35.3,132.9,95.9,103.4,108.9,100.6,66.8,51.4,172.6,76.2,284.0,67.5,258.1,25.2,182.0,173.4,214.5,169.9,128.6,127.0,211.0,110.9,158.9,68.5,85.8,178.2,246.8,88.8,286.9,120.2,76.2,331.4,240.3,54.9,161.9,111.7,110.5,99.2,95.5,61.6,101.9,100.5,147.0,84.1,154.7
