from_stop,AA,AH,AI,AM,AP,AS,AW,BB,BK,BX,CA,CB,CQ,CT,CX,DC,DD,DV,DX,DY,EA,ED,EM,EQ,ET,EY,FC,FL,FO,FU,FW,GE,GN,GP,GY,HG,HH,HI,HJ,HN,HO,HV,IA,IB,IC,IM,IW,JI,KA,KI,KP,LA,LF,LL,LN,LR,LS,LV,LZ,MB,ME,MU,MV,MW,NC,NG,NR,NS,OF,OH,OI,ON,OT,OW,OX,OY,PC,PE,PI,PL,PS,PT,PW,PY,QB,QO,QQ,QT,QY,RN,RQ,RS,RU,RW,RY,TB,TC,TL,TM,TP,UB,UC,UF,UN,UO,UP,VC,VK,VZ,WK,WN,WT,XN,XT,XV,XZ,YJ,YU,YV,YX,YY,ZM
AA,0.0,243.5,384.1,1061.3,283.2,423.2,204.1,536.0,64.9,456.0,1009.1,205.2,244.4,519.0,475.8,769.9,291.7,155.8,291.1,369.3,1075.2,380.6,274.0,582.4,214.9,779.4,753.4,46.3,89.1,174.8,993.0,962.4,288.2,101.5,768.4,90.2,617.0,1016.8,852.1,550.5,604.9,60.0,2393.4,851.7,266.8,798.3,647.9,217.2,401.5,342.7,1005.1,62.2,272.4,665.5,302.2,533.7,86.3,305.2,656.4,183.0,470.7,246.5,488.3,642.6,401.2,83.9,591.1,110.6,393.6,505.9,78.5,111.2,400.4,376.4,295.9,199.2,822.2,807.9,374.2,139.0,1017.7,858.8,894.6,387.7,635.0,604.6,158.9,234.5,642.2,780.8,265.4,333.3,940.3,589.6,577.3,314.9,403.5,90.3,507.5,594.6,57.2,296.4,142.5,875.0,103.1,355.5,352.9,192.7,196.1,908.7,70.9,487.5,161.6,606.8,574.6,854.3,583.0,343.7,276.0,993.1,96.1,554.5
AH,249.9,0.0,539.3,1253.8,231.9,650.2,431.1,646.8,193.0,636.7,1201.6,385.9,425.1,629.0,585.8,959.2,761.2,382.8,171.3,318.0,1267.7,329.3,434.2,593.1,395.6,970.1,934.1,208.5,293.9,335.0,1185.5,1154.9,236.9,177.5,960.9,188.8,580.1,1209.3,1044.6,731.2,785.6,269.0,2342.1,1064.0,493.8,990.8,828.6,377.4,628.5,502.9,1197.6,289.5,499.4,846.2,250.9,641.8,285.2,465.4,837.1,56.2,572.2,195.2,598.3,823.3,349.9,155.3,771.8,168.4,273.8,631.8,305.8,336.6,353.0,603.4,176.1,99.9,1014.9,1000.4,676.8,366.0,1210.2,1051.3,1087.1,614.7,540.5,785.3,120.1,47.5,822.9,973.3,446.1,282.0,1132.8,770.3,758.0,261.7,630.5,299.3,618.3,775.3,237.9,452.3,315.5,1067.5,275.2,304.2,301.6,419.7,405.1,1101.2,208.1,664.8,77.6,790.0,684.6,1046.8,542.2,292.4,224.7,1185.6,357.8,621.0
AI,387.8,555.4,0.0,1381.7,431.4,806.1,587.0,474.2,410.3,776.4,1339.9,525.6,564.8,768.7,725.5,1090.3,229.9,538.7,674.0,368.2,1400.6,563.7,221.6,970.3,535.3,1104.8,1073.8,386.7,472.0,212.4,1313.4,1282.8,426.4,489.4,1088.8,473.1,555.2,1342.2,1172.5,870.9,925.3,442.9,2417.3,1177.1,649.7,1118.7,968.3,143.3,784.4,280.9,1330.5,320.2,655.3,985.9,570.5,921.6,296.1,248.4,976.8,568.2,408.9,533.0,738.0,968.0,719.8,464.1,911.5,493.5,776.5,760.6,360.0,494.1,344.2,765.8,683.8,582.1,1142.6,1128.3,312.4,521.9,1338.1,1179.2,1215.0,770.6,1017.9,925.0,541.8,603.0,962.6,1101.2,585.8,601.6,1260.7,910.0,897.7,404.7,786.4,461.5,445.7,920.0,377.5,92.6,326.4,1195.4,486.0,628.8,434.6,575.6,579.0,1229.1,453.8,425.7,541.8,927.2,824.3,1174.7,521.2,369.8,503.5,1313.5,479.0,937.4
AM,998.1,1181.2,1334.8,0.0,1220.9,1007.6,950.7,1531.1,1002.6,685.4,48.8,807.6,920.3,735.6,692.4,293.4,1645.5,963.5,1111.0,1307.0,13.8,1318.3,1229.7,1017.8,890.8,304.3,347.1,984.0,1381.3,1130.5,409.4,151.2,1225.9,1264.9,253.4,1276.2,1504.7,228.6,378.8,489.9,485.2,1356.4,3193.2,262.9,844.5,325.0,528.2,1172.9,653.7,1298.4,193.9,1017.9,791.6,574.6,1239.9,1066.5,1042.0,1260.9,536.7,1237.5,1456.5,1184.2,704.9,456.4,1338.9,1336.6,498.9,1255.8,1193.5,738.4,1034.2,1424.0,1356.1,673.4,1071.1,1167.2,349.1,334.6,1561.1,913.2,206.5,221.4,214.6,664.2,926.3,485.4,1207.5,1228.8,503.7,241.0,941.3,1271.0,129.1,509.7,512.7,1250.7,987.9,1386.7,1502.6,530.5,950.5,1247.8,1098.2,291.4,1362.6,1293.2,1290.6,1000.4,1492.5,351.0,1295.5,1549.1,1258.9,543.2,791.2,381.0,1531.2,1281.4,1213.7,181.9,1129.0,1045.7
AP,275.7,272.2,469.9,1256.6,0.0,699.0,479.9,548.9,207.6,651.3,1204.4,400.5,439.7,643.6,600.4,962.0,663.3,431.6,401.3,86.0,1270.5,132.2,219.1,823.1,410.2,972.9,948.7,223.1,566.2,330.0,1188.3,1157.7,4.9,449.8,963.7,461.1,482.2,1212.1,1047.4,745.8,800.2,541.3,2244.2,1047.0,542.6,993.6,843.2,308.0,606.4,304.5,1200.4,275.5,548.2,860.8,139.0,871.8,299.6,221.3,851.7,328.5,474.3,101.5,612.9,837.9,288.3,427.6,786.4,440.7,503.8,646.4,291.8,608.9,121.0,626.1,406.1,372.2,1017.7,1003.2,578.9,414.8,1213.0,1054.1,1089.9,616.9,770.5,799.9,392.4,319.8,837.5,976.1,460.7,170.1,1135.6,784.9,772.6,29.7,679.3,571.6,520.4,789.9,252.5,382.9,348.1,1070.3,547.5,192.3,69.6,468.5,677.4,1104.0,480.4,566.9,349.9,804.6,699.2,1049.6,303.6,60.4,72.0,1188.4,406.6,851.0
AS,399.4,627.5,778.6,870.6,682.7,0.0,312.6,935.5,464.4,265.3,818.4,354.3,467.0,282.3,239.1,576.0,691.2,325.4,616.0,768.8,884.5,780.1,673.5,159.1,437.5,586.9,562.7,445.8,453.3,574.3,802.3,771.7,687.7,449.9,577.7,438.6,1013.5,826.1,661.4,359.8,414.2,428.4,2792.9,661.0,206.4,607.6,457.2,616.7,164.8,742.2,814.4,461.7,153.5,474.8,701.7,110.4,485.8,704.7,465.7,582.5,870.2,646.0,251.6,451.9,800.7,483.4,400.4,459.0,698.5,285.1,478.0,496.0,799.9,139.7,576.1,547.6,631.7,617.2,773.7,275.1,827.0,668.1,703.9,151.0,211.7,413.9,507.3,589.9,451.5,590.1,488.0,732.8,749.6,398.9,386.6,712.5,19.6,458.7,907.0,403.9,497.2,691.6,542.0,684.3,451.5,755.0,752.4,362.3,564.5,718.0,419.3,887.0,561.1,418.6,337.9,663.6,982.5,743.2,675.5,802.4,462.9,131.2
AW,199.3,427.4,578.5,985.7,482.6,301.6,0.0,735.4,264.3,380.4,933.5,404.6,443.8,397.4,354.2,691.1,491.1,48.2,439.4,568.7,999.6,580.0,473.4,460.8,414.3,702.0,677.8,245.7,253.2,374.2,917.4,886.8,487.6,249.8,692.8,238.5,813.4,941.2,776.5,474.9,529.3,228.3,2592.8,776.1,145.2,722.7,572.3,416.6,279.9,542.1,929.5,261.6,150.8,589.9,501.6,412.1,285.7,504.6,580.8,382.4,670.1,445.9,366.7,567.0,600.6,283.3,515.5,258.9,541.9,400.2,277.9,295.9,599.8,254.8,444.2,347.5,746.8,732.3,573.6,88.5,942.1,783.2,819.0,266.1,513.4,529.0,307.2,389.8,566.6,705.2,464.8,532.7,864.7,514.0,501.7,512.4,281.9,258.6,706.9,519.0,256.6,491.5,341.9,799.4,251.4,554.9,552.3,80.8,364.4,833.1,219.2,686.9,361.0,533.7,453.0,778.7,782.4,543.1,475.4,917.5,262.8,432.9
BB,560.0,687.0,524.5,1654.5,528.8,983.3,764.2,0.0,622.4,1049.2,1602.3,798.4,837.6,1041.5,998.3,1359.9,275.4,715.9,816.1,614.9,1668.4,626.2,355.2,1308.4,808.1,1370.8,1346.6,637.9,981.0,384.6,1586.2,1555.6,533.8,864.6,1361.6,875.9,95.6,1610.0,1445.3,1143.7,1198.1,956.1,2074.8,1444.9,826.9,1391.5,1241.1,362.6,961.6,423.9,1598.3,497.4,832.5,1258.7,547.8,1357.1,473.3,386.4,1249.6,743.3,74.5,548.4,1010.8,1235.8,703.1,842.4,1184.3,855.5,918.6,1044.3,532.2,1023.7,345.2,936.5,820.9,787.0,1415.6,1401.1,191.0,699.1,1610.9,1452.0,1487.8,947.8,1255.8,1197.8,807.2,734.6,1235.4,1374.0,858.6,578.9,1533.5,1182.8,1170.5,558.6,963.6,986.4,28.4,1187.8,667.3,437.5,503.6,1468.2,962.3,601.1,598.5,752.8,1092.2,1501.9,895.2,179.0,764.7,1202.5,1097.1,1447.5,407.7,589.3,566.0,1586.3,690.9,1336.3
BK,68.0,178.5,384.7,1048.9,218.2,491.3,272.2,633.1,0.0,443.6,996.7,192.8,232.0,435.9,392.7,754.3,747.5,223.9,307.6,304.3,1062.8,315.6,289.0,729.4,202.5,767.0,741.0,15.5,472.5,180.4,980.6,950.0,223.2,356.1,756.0,367.4,566.4,1004.4,839.7,538.1,592.5,447.6,2328.4,839.3,334.9,785.9,635.5,222.8,398.7,348.3,992.7,67.8,340.5,653.1,237.2,778.1,91.9,310.8,644.0,234.8,558.5,181.5,405.2,630.2,336.2,333.9,578.7,347.0,410.1,422.8,84.1,515.2,344.9,418.4,312.4,278.5,809.8,795.5,663.1,207.1,1005.3,846.4,882.2,409.2,676.8,592.2,298.7,226.1,629.8,768.4,253.0,268.3,927.9,577.2,564.9,249.9,471.6,466.2,604.6,582.2,44.8,297.7,148.1,862.6,453.8,290.5,287.9,260.8,583.7,896.3,386.7,651.1,256.2,594.4,491.5,841.9,528.5,278.7,211.0,980.7,164.2,757.3
BX,449.0,632.1,785.7,722.4,671.8,458.5,401.6,982.0,453.5,0.0,670.2,258.5,371.2,186.5,143.3,427.8,1096.4,414.4,761.2,757.9,736.3,769.2,680.6,775.6,341.7,438.7,413.7,434.9,926.1,581.4,653.5,623.5,676.8,809.7,429.5,821.0,955.6,677.9,513.2,210.8,265.2,901.2,2782.0,512.0,295.4,459.4,308.2,623.8,104.6,749.3,666.2,468.8,242.5,325.8,690.8,824.3,492.9,711.8,316.7,688.4,907.4,635.1,155.8,302.9,789.8,787.5,251.4,800.6,863.7,189.3,485.1,968.8,807.0,124.3,766.0,732.1,483.5,469.0,1012.0,364.1,678.8,519.9,555.7,115.1,684.1,264.9,752.3,679.7,302.5,441.9,392.2,721.9,601.4,249.9,237.6,701.6,438.8,931.5,953.5,254.9,401.4,698.7,549.1,535.5,907.4,744.1,741.5,451.3,1037.3,569.8,840.3,1000.0,709.8,269.6,242.1,515.4,982.1,732.3,664.6,654.2,579.9,803.5
