from_stop,AE,AW,BA,BG,BI,BM,BO,BZ,CB,CJ,CO,CV,DA,DN,ED,EG,EX,EZ,FD,FF,FG,FI,FO,FV,GG,GQ,GU,HD,HK,HW,HX,IH,IK,IL,IP,IY,JF,JN,JR,JT,KK,KM,LL,LP,LU,LV,LW,MW,NA,NB,NE,NF,NH,NK,NR,NX,OB,OC,OD,OV,PC,PM,QB,QF,QG,QJ,QP,QQ,RH,RM,RV,RX,RZ,SH,SN,SO,ST,SU,TB,TC,TI,TN,TO,UA,UB,UC,VF,VV,VW,WM,WO,WT,WU,XL,XM,XQ,XU,XY,YA,YB,YC,YT,ZE,ZL,ZS
AE,0.0,372.5,24.2,290.7,250.7,347.3,177.1,385.8,256.9,355.9,360.0,37.8,56.1,52.1,320.5,115.9,116.9,103.3,68.7,336.7,75.5,70.4,193.0,267.8,273.8,175.5,107.6,76.7,257.7,472.6,1712.8,391.4,359.8,379.4,369.5,360.4,99.9,279.8,290.7,402.4,312.0,388.2,355.3,380.3,320.4,305.9,332.8,169.0,34.3,238.9,191.5,225.0,286.4,142.5,299.5,422.0,347.4,91.8,198.6,318.7,356.1,208.6,331.5,43.0,168.4,414.6,326.3,243.1,140.6,71.9,393.6,364.2,125.3,169.7,399.3,109.0,317.3,400.4,298.5,416.2,222.1,197.2,314.5,149.6,158.0,302.7,357.4,121.0,30.4,329.9,280.6,149.5,159.4,60.7,442.6,176.0,261.7,143.1,175.9,102.9,262.8,349.3,73.1,351.4,320.7
AW,400.3,0.0,398.1,138.8,170.1,105.0,331.5,26.8,112.2,40.4,138.7,366.8,370.8,381.4,323.9,322.7,360.4,346.8,330.3,66.7,326.5,339.0,202.7,266.1,154.4,217.4,291.2,363.6,256.0,176.4,1658.9,149.1,186.6,176.8,368.3,145.8,310.5,142.3,289.5,187.8,101.9,16.8,164.2,138.0,191.2,121.0,86.1,224.2,387.5,266.2,227.3,280.9,150.6,251.2,72.3,49.4,149.4,366.6,308.9,62.3,120.6,210.8,174.4,361.0,356.0,42.0,209.0,177.3,274.3,368.6,396.6,227.8,296.6,338.9,135.9,315.6,126.2,185.8,169.3,153.0,220.9,194.8,116.9,244.1,257.1,301.5,356.2,354.5,373.5,143.2,103.2,383.0,234.2,381.5,228.0,216.9,117.1,328.4,241.6,297.2,261.1,72.5,341.6,160.3,306.0
BA,32.8,352.0,0.0,258.7,269.0,326.8,209.7,365.3,236.4,335.4,339.5,35.6,40.6,49.6,304.6,148.8,83.8,86.8,52.2,316.2,59.6,49.9,169.1,246.8,253.3,155.0,87.1,109.6,236.7,452.1,1748.4,370.9,339.3,358.9,349.0,339.9,83.4,259.3,270.2,381.9,291.5,368.9,334.8,359.8,299.9,285.4,312.3,148.5,10.0,246.9,175.0,257.6,265.9,122.0,282.1,401.5,328.4,85.8,231.2,298.2,328.6,192.1,311.0,22.5,215.7,394.1,305.8,226.6,124.1,104.8,377.3,343.7,108.8,202.3,378.8,92.5,296.8,379.9,278.0,395.7,200.8,176.7,294.0,129.1,141.5,282.2,336.9,153.9,27.9,309.4,260.1,182.4,138.9,93.6,422.1,155.5,241.2,175.7,159.4,82.4,241.8,328.8,67.1,330.9,290.8
BG,303.6,121.7,284.2,0.0,52.3,152.3,226.2,116.1,37.7,92.7,112.6,270.3,274.1,293.0,219.5,223.3,238.8,225.2,219.1,117.9,226.7,249.5,99.5,166.3,36.6,125.9,191.4,272.1,164.5,223.7,1604.9,188.8,195.8,162.2,268.5,196.4,238.2,115.8,189.7,238.4,88.7,130.6,149.6,185.3,156.4,26.6,42.0,124.4,290.8,174.7,117.8,181.1,122.4,151.4,89.7,164.6,136.3,268.5,209.1,72.9,130.2,93.0,175.8,261.2,256.2,155.8,162.3,67.8,154.7,268.9,296.8,200.2,175.0,247.4,183.2,202.3,111.6,225.5,142.8,204.1,128.6,82.1,119.5,144.3,147.6,210.0,256.4,254.7,276.8,165.9,85.6,291.5,134.4,286.6,278.6,116.9,66.7,228.6,123.8,197.4,161.3,70.0,267.8,145.7,210.3
BI,251.2,150.2,249.0,51.7,0.0,182.0,261.4,174.4,47.4,144.5,175.9,217.9,218.3,229.9,253.8,252.6,186.4,172.8,161.6,169.7,202.2,197.1,132.6,196.0,16.6,147.3,234.3,250.2,182.3,253.4,1634.6,226.1,230.4,214.0,298.2,226.1,220.3,145.5,219.4,268.1,139.1,181.2,201.4,215.0,186.1,78.4,105.3,154.1,238.4,196.1,57.1,210.8,152.1,181.1,97.7,215.0,213.1,216.1,238.8,109.2,164.9,40.6,197.2,208.1,313.1,207.6,192.0,7.1,105.2,245.4,322.3,229.9,122.6,268.8,212.9,141.6,163.4,266.1,164.2,281.9,150.0,124.7,149.2,174.0,95.0,231.1,286.1,294.5,224.4,195.6,115.3,312.2,164.1,234.2,308.3,146.8,96.4,258.3,71.4,229.6,191.0,121.8,199.0,197.5,249.4
BM,356.7,147.0,347.6,122.1,174.5,0.0,295.1,93.7,145.3,63.8,118.7,392.5,388.3,391.1,287.5,286.3,361.0,347.4,336.2,44.6,296.1,302.6,166.3,229.7,158.8,181.0,254.8,327.2,216.0,70.2,1662.5,42.9,116.4,131.1,331.9,58.7,342.7,136.0,253.1,81.8,81.9,120.0,125.3,31.8,162.7,104.3,90.9,187.8,357.7,229.8,231.7,244.5,112.6,214.8,137.4,90.0,129.4,390.7,272.5,127.4,55.8,215.2,154.4,324.6,319.6,94.8,180.5,181.7,279.8,332.5,356.0,224.9,297.2,302.5,15.6,316.2,106.2,61.8,140.8,95.6,183.7,158.4,31.6,207.7,269.6,264.8,319.8,318.1,371.8,89.4,65.2,346.6,197.8,345.1,122.0,180.5,79.1,292.0,246.0,260.8,224.7,74.8,373.6,140.3,283.1
BO,189.0,295.0,235.6,215.2,225.5,269.8,0.0,321.8,192.9,291.9,259.8,227.2,259.0,241.2,160.6,74.5,238.0,224.4,192.6,259.2,178.1,176.8,129.0,90.6,196.3,134.6,129.0,115.4,67.0,408.6,1639.9,327.4,282.3,301.9,197.3,296.4,234.8,215.8,132.0,324.9,248.0,324.2,291.3,302.8,256.4,241.9,255.3,141.4,231.9,48.2,269.2,34.3,208.9,132.5,229.7,358.0,262.2,294.3,7.9,254.7,271.6,266.2,231.3,198.8,38.2,350.6,226.1,232.7,330.8,106.9,225.6,264.0,334.7,7.3,321.8,230.1,239.8,322.9,234.5,352.2,95.8,130.4,250.5,139.6,312.5,130.5,198.7,96.5,233.3,265.9,203.1,67.8,137.9,133.3,365.1,133.9,197.7,43.9,297.0,135.0,85.6,271.8,289.4,287.4,148.5
BZ,373.4,36.2,377.7,120.8,181.5,95.3,354.1,0.0,148.5,30.7,168.2,346.6,343.9,361.0,348.7,352.5,333.5,319.9,308.5,57.0,355.1,338.9,228.7,288.7,165.8,240.0,320.6,392.0,285.4,166.7,1695.2,139.4,170.1,196.5,390.9,136.1,283.6,176.6,318.9,178.1,139.6,25.1,188.9,128.3,232.3,104.5,72.1,253.6,360.6,288.8,238.7,310.3,172.7,280.6,108.6,59.1,185.7,339.7,338.3,98.6,110.9,222.2,210.7,381.1,385.4,50.3,250.1,181.9,250.3,387.4,426.0,294.5,269.7,368.3,126.2,288.7,162.5,176.1,210.4,194.0,242.7,211.3,91.7,273.5,264.8,324.1,385.6,383.9,346.6,133.5,125.3,412.4,263.6,376.0,218.3,246.1,139.2,357.8,253.0,326.6,290.5,62.8,314.7,196.6,339.5
CB,290.2,102.7,271.7,27.5,57.8,139.8,205.4,150.2,0.0,120.3,183.5,256.9,257.3,268.9,211.6,210.4,250.3,236.7,220.2,129.2,220.2,226.7,90.4,153.8,42.1,105.1,178.9,251.3,140.1,211.2,1592.4,183.9,188.2,202.9,256.0,183.9,200.4,103.3,177.2,225.9,136.9,131.2,172.3,172.8,143.9,54.2,81.1,111.9,277.4,153.9,115.0,168.6,109.9,138.9,50.2,165.0,170.9,256.5,196.6,61.7,122.7,98.5,155.0,248.7,243.7,157.6,149.8,65.0,164.2,256.6,280.1,187.7,186.5,226.6,170.7,205.5,134.3,223.9,122.0,239.7,107.8,82.5,107.0,131.8,152.9,188.9,243.9,242.2,263.4,153.4,73.1,270.7,121.9,269.2,266.1,104.6,54.2,216.1,129.3,184.9,148.8,97.6,262.9,168.4,207.2
CJ,402.0,41.4,382.6,98.3,150.7,64.5,330.1,29.8,141.2,0.0,152.8,368.7,369.1,380.7,322.5,321.3,337.2,323.6,312.4,26.2,331.1,347.9,201.3,264.7,135.0,216.0,289.8,362.2,251.0,135.9,1673.0,108.6,151.0,165.7,366.9,105.3,313.5,152.6,288.1,147.3,116.0,36.6,158.1,97.5,201.5,80.5,48.1,222.8,389.2,264.8,207.9,279.5,141.9,249.8,101.3,70.4,163.5,366.9,307.5,91.3,85.1,191.4,188.5,359.6,354.6,63.0,219.3,157.9,256.0,367.5,391.0,263.7,273.4,337.5,95.4,292.4,140.3,145.3,179.6,161.1,218.7,193.4,60.9,242.7,245.8,299.8,354.8,353.1,375.2,102.7,94.5,381.6,232.8,385.0,187.5,215.5,108.4,327.0,222.2,295.8,259.7,32.0,349.8,174.4,318.1
