from_stop,AA,AO,AV,AW,AZ,BL,BR,BX,BZ,CF,CL,CT,DB,DD,ED,EM,EN,FI,FY,GN,GP,GT,HG,IR,IU,JL,LZ,MJ,MR,NO,NT,NV,NX,NZ,OA,OF,OP,PC,PK,PQ,PV,PY,QD,QF,QH,QP,QR,RC,RL,SL,SS,SW,TK,TN,TU,TZ,UF,UT,VA,VG,WC,WD,WJ,WR,WY,XF,XQ,XU,YG,YJ,ZA,ZJ,ZO
AA,0.0,214.4,259.5,152.4,242.8,128.6,135.8,227.1,100.2,268.3,180.7,229.3,160.4,79.9,249.3,142.5,193.1,216.3,102.8,119.9,220.2,139.6,80.6,160.4,236.9,291.8,278.3,245.3,211.3,293.9,230.9,2493.3,120.3,216.7,226.5,225.2,233.4,306.9,148.6,117.0,123.0,298.0,160.7,209.4,167.0,194.0,96.7,52.8,272.0,165.9,120.1,299.0,282.9,254.0,291.8,296.2,216.0,257.6,221.7,203.5,210.9,225.3,155.4,200.5,244.2,160.4,229.7,242.5,275.0,256.4,89.3,209.9,152.7
AO,197.9,0.0,392.2,291.1,372.5,267.3,274.5,365.8,222.1,407.0,319.4,364.6,299.1,218.6,386.5,51.0,265.9,355.0,238.0,192.7,289.7,280.1,202.5,299.1,376.1,364.6,351.1,316.0,344.6,432.6,307.0,2577.3,259.0,353.9,302.6,363.9,363.7,379.7,287.3,145.4,261.7,440.3,228.1,348.1,304.4,332.7,160.3,144.0,339.4,304.4,187.5,432.3,421.6,326.8,358.5,369.0,361.7,386.0,365.7,276.3,283.7,298.1,288.7,339.2,317.0,299.1,368.4,381.2,349.3,330.1,210.2,282.7,291.6
AV,269.3,404.5,0.0,109.9,36.9,234.0,202.6,103.8,209.7,86.0,131.2,109.9,103.5,172.7,66.3,332.6,225.3,72.6,170.8,216.9,240.0,122.7,229.7,156.1,93.7,135.2,145.6,157.2,47.4,62.4,165.9,2586.0,187.0,115.3,170.1,81.5,69.7,143.0,113.7,332.3,184.3,92.0,211.3,122.6,148.3,92.6,317.4,242.9,102.7,99.7,223.5,169.1,73.4,112.2,122.5,132.3,97.2,97.2,120.3,214.0,154.8,234.9,154.7,54.8,121.5,156.1,32.8,78.8,111.1,140.8,220.7,250.3,170.7
AW,164.7,294.5,101.6,0.0,87.2,106.6,113.7,95.0,128.1,115.8,119.9,76.8,7.9,62.7,110.7,222.6,122.2,63.8,60.8,106.9,146.0,10.9,108.5,138.4,84.9,151.0,137.5,145.3,53.4,141.4,154.0,2515.6,98.3,64.2,158.2,72.7,72.5,109.9,3.8,222.3,101.0,145.5,102.4,113.8,137.0,41.5,207.4,132.9,69.6,13.4,113.5,141.1,130.4,128.7,89.4,99.2,141.6,134.3,69.2,132.6,85.6,154.4,68.5,48.0,118.9,138.4,77.2,90.0,78.0,144.0,117.2,139.0,130.7
AZ,277.0,428.8,35.4,108.1,0.0,191.1,156.6,102.0,166.8,121.5,88.3,108.1,101.5,212.8,23.6,356.9,242.3,70.6,184.0,230.1,269.4,157.6,186.8,113.4,92.5,133.4,143.8,155.2,39.4,97.9,164.1,2584.2,144.3,112.6,162.1,73.5,60.1,141.2,164.8,324.3,141.4,127.3,225.8,140.4,106.5,90.8,325.1,250.6,100.7,98.5,233.3,198.4,108.9,110.4,120.7,131.1,45.2,101.7,112.3,212.2,153.0,233.1,108.7,53.0,119.7,113.4,10.5,70.8,111.4,142.0,177.3,259.1,127.8
BL,180.0,302.9,220.9,125.7,185.4,0.0,52.4,143.7,108.5,241.6,97.3,235.7,133.7,78.0,160.5,231.0,119.5,178.4,58.1,104.2,143.3,112.9,128.5,77.0,153.5,218.2,204.7,169.6,179.2,267.2,160.6,2523.7,36.9,190.0,156.2,167.2,199.8,251.3,121.9,272.9,39.6,259.9,99.7,126.0,83.6,167.3,222.7,179.7,211.0,139.0,110.8,266.9,256.2,198.4,230.8,240.6,132.6,248.2,195.0,129.9,155.3,151.7,123.3,173.8,188.6,77.0,195.9,217.3,220.9,186.1,119.5,136.3,69.3
BR,161.5,289.8,209.2,112.6,170.3,52.1,0.0,91.2,96.8,223.0,85.6,222.6,120.6,64.9,148.8,217.9,106.4,125.9,45.0,91.1,130.2,99.8,116.8,65.3,101.0,205.1,191.6,156.5,146.2,221.3,147.5,2510.6,25.2,175.4,143.1,114.7,147.3,238.2,108.8,259.8,27.9,207.4,86.6,73.5,70.6,154.2,209.6,166.6,197.9,133.3,97.7,253.8,210.3,185.3,217.7,227.5,120.9,195.7,181.9,116.8,142.2,138.6,62.4,160.7,175.5,65.3,170.0,164.8,206.3,170.6,107.8,123.2,65.0
BX,225.1,376.5,102.5,116.7,82.8,138.8,86.6,0.0,183.5,131.7,110.8,122.6,124.7,128.5,108.5,304.6,193.1,34.6,131.7,177.8,216.9,105.7,203.5,152.0,10.5,147.9,185.3,193.1,54.9,130.0,201.8,2563.4,111.9,126.5,206.0,23.4,56.0,155.7,112.9,288.1,114.6,119.7,173.3,18.7,157.3,105.3,273.2,198.7,115.4,130.0,184.4,214.8,119.0,124.9,134.5,145.0,134.0,78.3,138.3,158.4,133.4,176.4,59.4,67.5,134.2,152.0,78.7,73.5,125.3,155.9,195.5,209.9,144.5
BZ,117.4,232.9,219.5,118.4,199.8,94.6,101.8,193.1,0.0,234.3,72.2,195.3,126.4,45.9,139.3,161.0,128.8,182.3,68.8,74.7,147.8,107.4,19.9,51.9,203.4,227.5,214.0,183.1,171.9,259.9,174.1,2441.3,86.3,181.2,169.7,191.2,191.0,261.7,114.6,180.4,89.0,267.6,110.1,175.4,57.2,160.0,165.5,91.0,221.4,131.7,69.5,259.6,248.9,208.8,240.5,251.0,114.5,213.3,193.0,139.2,165.7,156.2,116.0,166.5,199.0,51.9,195.7,208.5,231.3,197.2,11.9,140.8,40.3
CF,289.2,424.4,76.6,129.8,113.6,259.0,206.8,120.1,286.4,0.0,207.9,144.2,123.4,192.6,143.0,352.5,259.6,88.1,190.7,236.8,274.3,140.8,306.4,232.8,110.0,169.5,179.9,191.5,96.5,25.5,200.2,2620.3,232.1,70.6,204.4,97.8,70.8,177.3,133.6,352.2,234.8,33.2,245.6,138.9,225.0,126.9,337.3,262.8,137.0,119.6,243.4,83.0,14.5,146.5,156.8,166.6,173.9,18.4,65.6,248.3,189.1,269.2,179.6,89.1,155.8,232.8,109.5,48.1,145.4,175.1,297.4,284.6,247.4
