from_stop,AF,AJ,AS,AY,AZ,BD,BH,BM,BW,BY,BZ,CK,CW,CX,CZ,DC,DE,DH,DL,DM,DY,DZ,EE,EJ,ET,FJ,FL,FQ,FR,FT,FV,FY,GI,GM,GX,HA,HF,HG,HJ,HK,HM,HP,HR,HX,IG,IJ,IO,IP,IX,IY,JA,JC,JW,JY,KE,KI,KK,KO,KT,KW,KY,KZ,LA,LC,LD,LK,LM,LN,LP,LS,LV,ME,MF,MR,MW,MX,MZ,NC,ND,OC,OE,OH,OM,OP,OQ,OT,OX,PB,PH,PI,QC,QI,QQ,QU,RT,SA,SB,SH,SM,ST,TF,TH,TU,UC,UH,UJ,UL,UO,UQ,UT,UY,VB,VH,VV,WR,WY,XD,XG,XS,XV,XW,YA,YB,YR,ZE,ZI
AF,0.0,443.3,294.5,323.7,2819.6,714.7,535.5,455.6,590.2,91.1,935.7,537.9,351.3,930.7,327.0,948.6,733.9,792.3,693.9,645.3,320.4,482.0,727.2,527.7,648.8,416.7,299.3,461.6,542.5,745.9,313.7,958.7,593.3,346.1,536.9,752.0,644.1,460.3,682.3,561.5,302.6,549.7,880.8,797.1,395.0,546.2,313.7,744.5,439.4,542.2,257.9,455.9,106.0,813.5,559.2,732.1,693.6,772.8,441.5,165.0,449.6,358.4,680.2,450.7,930.2,499.0,322.0,295.4,464.6,704.1,420.3,832.6,675.9,330.0,854.6,642.5,538.1,257.9,805.7,385.5,343.6,494.4,442.8,399.2,368.7,565.5,101.0,536.0,741.8,851.3,354.7,799.2,719.7,382.5,407.4,798.7,496.6,333.0,440.7,690.6,343.3,848.1,797.8,565.3,351.0,867.7,864.5,662.5,619.7,717.7,358.6,376.5,12.3,795.3,465.4,686.8,325.7,345.4,759.8,823.4,438.6,457.6,375.1,719.8,407.3,424.5
AJ,389.6,0.0,517.3,546.5,2789.4,394.4,758.3,183.3,229.4,377.5,615.4,760.7,176.8,610.4,257.1,628.3,373.1,574.6,333.1,284.5,270.5,234.9,509.5,166.9,288.0,639.5,522.1,684.4,765.3,425.6,536.5,638.4,816.1,568.9,759.7,431.7,283.3,188.0,321.5,784.3,525.4,772.5,560.5,579.4,617.8,769.0,536.5,526.8,167.1,765.0,480.7,95.1,328.8,452.7,198.4,411.8,332.8,555.1,169.2,387.8,672.4,581.2,319.4,673.5,609.9,721.8,544.8,245.5,103.8,343.3,207.2,512.3,373.2,552.8,636.9,322.2,760.9,480.7,588.0,608.3,566.4,133.6,665.6,622.0,155.6,788.3,362.5,758.8,381.0,531.0,577.5,581.5,358.9,605.3,220.7,581.0,224.3,555.8,308.8,370.3,566.1,527.8,437.0,788.1,573.8,547.4,544.2,301.7,299.4,500.0,581.4,599.3,377.2,475.0,295.7,326.0,151.2,132.3,399.0,462.6,661.4,96.8,243.2,503.0,135.0,211.4
AS,322.3,499.4,0.0,95.9,2681.6,718.9,325.7,511.7,480.1,252.3,939.9,328.1,407.4,934.9,383.1,952.8,623.8,871.7,657.6,535.2,376.5,561.4,806.6,491.4,612.5,188.9,4.8,251.8,332.7,750.1,19.1,962.9,383.5,156.1,327.1,746.7,534.0,516.4,646.0,351.7,74.8,339.9,885.0,876.0,167.2,336.4,19.1,823.9,495.5,332.4,247.1,471.7,207.8,703.4,615.3,813.3,583.5,852.2,497.6,248.5,239.8,63.8,570.1,240.9,934.4,288.5,94.2,351.5,465.6,657.9,476.4,836.8,697.7,93.8,934.0,646.7,328.3,247.1,885.1,103.9,49.0,435.8,233.0,122.6,424.8,355.7,241.5,326.2,631.7,855.5,73.1,878.6,609.6,172.7,463.5,878.1,552.7,53.3,496.8,694.8,115.5,852.3,733.1,355.5,114.8,871.9,868.7,626.2,623.9,797.1,130.8,127.2,309.9,799.5,521.5,650.5,381.8,401.5,715.2,713.3,228.8,475.6,431.2,799.2,463.4,480.6
AY,356.0,533.1,133.3,0.0,2715.3,752.6,335.6,545.4,513.8,286.0,973.6,338.0,441.1,968.6,416.8,986.5,657.5,905.4,691.3,568.9,410.2,595.1,840.3,525.1,646.2,190.9,138.1,261.7,342.6,783.8,152.5,996.6,393.4,80.8,337.0,780.4,567.7,550.1,679.7,361.6,76.8,349.8,918.7,910.2,169.2,346.3,152.5,857.6,529.2,342.3,280.8,505.4,241.5,737.1,649.0,847.0,617.2,885.9,531.3,282.2,249.7,197.2,603.8,250.8,968.1,299.1,136.2,385.2,499.3,691.6,510.1,870.5,731.4,130.1,967.7,680.4,338.2,280.8,918.8,185.6,182.4,469.5,242.9,199.3,458.5,365.6,275.2,336.1,665.4,889.2,154.8,912.3,643.3,182.6,497.2,911.8,586.4,171.8,530.5,728.5,19.6,886.0,766.8,365.4,151.1,905.6,902.4,659.9,657.6,830.8,132.8,176.6,343.6,833.2,555.2,684.2,415.5,435.2,748.9,747.0,238.7,509.3,464.9,832.9,497.1,514.3
AZ,2826.0,2725.8,2694.9,2724.1,0.0,2887.6,2935.9,2777.6,2648.8,2756.0,3108.6,2938.3,2840.1,3103.6,2920.4,3121.5,2792.5,3120.4,2826.3,2703.9,2880.2,2765.7,3006.0,2660.1,2781.2,2817.1,2699.7,2862.0,2942.9,2918.8,2714.1,3131.6,2993.7,2746.5,2937.3,2901.0,2702.7,2776.3,2814.7,2961.9,2703.0,2950.1,3053.7,3125.2,2795.4,2946.6,2714.1,3072.6,2755.4,2942.6,2750.8,2640.4,2711.5,2872.1,2786.6,2905.0,2752.2,3100.9,2757.5,2752.2,2850.0,2758.8,2738.8,2851.1,3103.1,2899.4,2722.4,2855.2,2634.3,2826.6,2870.5,3005.5,2866.4,2730.4,3134.5,2815.4,2938.5,2750.8,3133.8,2785.9,2744.0,2604.5,2843.2,2799.6,2818.9,2965.9,2745.2,2936.4,2800.4,3024.2,2755.1,3127.3,2778.3,2782.9,2884.0,3126.8,2738.1,2733.4,2972.1,2863.5,2743.7,3021.0,2901.8,2965.7,2751.4,3040.6,3037.4,2794.9,2792.6,3045.8,2759.0,2776.9,2813.6,2968.2,2875.6,2819.2,2814.5,2795.6,2883.9,2882.0,2839.0,2644.3,2906.5,2996.2,2723.3,2874.7
BD,677.5,450.3,805.2,834.4,2946.4,0.0,1046.2,531.6,334.2,665.4,279.9,1048.6,525.1,274.9,527.0,292.8,312.2,267.7,196.5,408.6,459.3,287.3,118.3,245.0,210.9,885.7,810.0,972.3,1053.2,184.0,824.4,302.9,1104.0,856.8,1047.6,143.1,309.3,536.3,234.5,1072.2,871.7,1060.4,166.0,275.2,888.8,1056.9,824.4,222.6,515.4,1052.9,768.6,324.2,616.7,339.3,317.4,123.2,371.3,250.9,517.5,675.7,960.3,869.1,425.5,961.4,274.4,1009.7,832.7,459.1,318.1,244.1,555.5,209.5,145.6,840.7,246.8,98.0,1048.8,768.6,283.8,896.2,854.3,368.4,953.5,909.9,503.9,1076.2,650.4,1046.7,275.0,228.2,865.4,239.8,345.8,893.2,569.0,276.8,572.6,843.7,657.1,263.6,854.0,192.3,300.4,1076.0,861.7,152.9,208.7,210.4,134.1,195.8,872.0,887.2,665.1,186.4,354.2,189.4,499.5,480.6,221.8,346.8,949.3,389.5,591.5,108.5,483.3,559.7
BH,561.3,738.4,348.9,352.9,2920.6,957.9,0.0,750.7,719.1,491.3,1178.9,234.8,646.4,1173.9,622.1,1191.8,862.8,1110.7,896.6,774.2,615.5,800.4,1045.6,730.4,851.5,445.9,353.7,267.9,5.8,989.1,348.4,1201.9,286.6,325.4,212.8,985.7,773.0,755.4,885.0,258.4,331.8,41.8,1124.0,1115.5,424.2,222.1,348.4,1062.9,734.5,5.9,486.1,710.7,446.8,942.4,854.3,1052.3,822.5,1091.2,736.6,487.5,97.2,345.6,809.1,257.0,1173.4,235.9,351.2,590.5,704.6,896.9,715.4,1075.8,936.7,305.6,1173.0,885.7,30.2,486.1,1124.1,361.1,374.2,674.8,264.4,374.8,663.8,262.4,480.5,138.0,870.7,1094.5,330.3,1117.6,848.6,221.0,702.5,1117.1,791.7,387.4,735.8,933.8,334.5,1091.3,972.1,241.2,326.6,1110.9,1107.7,865.2,862.9,1036.1,387.8,352.1,548.9,1038.5,760.5,889.5,620.8,640.5,954.2,952.3,277.1,714.6,670.2,1038.2,702.4,719.6
BM,384.8,186.2,512.5,541.7,2847.1,498.1,753.5,0.0,333.1,372.7,719.1,755.9,172.0,714.1,252.3,732.0,476.8,604.0,436.8,388.2,265.7,293.7,538.9,270.6,391.7,634.7,517.3,679.6,760.5,529.3,531.7,742.1,811.3,564.1,754.9,535.4,387.0,47.7,425.2,779.5,520.6,767.7,664.2,608.8,613.0,764.2,531.7,556.2,32.1,760.2,475.9,198.8,324.0,556.4,302.1,515.5,436.5,584.5,66.5,383.0,667.6,576.4,423.1,668.7,713.6,716.3,540.0,240.7,207.5,447.0,202.4,616.0,476.9,548.0,666.3,425.9,756.1,475.9,617.4,603.5,561.6,237.3,660.8,617.2,150.8,783.5,357.7,754.0,484.7,634.7,572.7,610.9,462.6,600.5,215.9,610.4,196.7,551.0,304.0,474.0,561.3,631.5,540.7,783.3,569.0,651.1,647.9,405.4,403.1,529.4,576.6,594.5,372.4,578.7,325.1,429.7,146.4,127.5,502.7,566.3,656.6,200.5,238.4,531.5,66.1,206.6
BW,539.9,212.8,502.2,531.4,2687.5,326.8,743.2,333.6,0.0,527.8,547.8,745.6,327.1,542.8,407.4,560.7,155.0,594.6,226.9,74.3,420.8,269.9,445.2,165.1,163.8,624.4,507.0,669.3,750.2,358.0,521.4,570.8,801.0,553.8,744.6,309.1,73.1,338.3,208.7,769.2,510.3,757.4,492.9,602.1,602.7,753.9,521.4,549.5,317.4,749.9,538.1,145.4,479.1,235.1,273.6,405.2,122.6,577.8,319.5,538.1,657.3,566.1,91.2,658.4,542.3,706.7,529.7,395.8,139.3,197.0,357.5,459.9,267.0,537.7,573.7,254.6,745.8,538.1,610.7,593.2,551.3,91.5,650.5,606.9,305.9,773.2,512.8,743.7,170.8,478.6,562.4,566.7,148.7,590.2,371.0,603.7,374.6,540.7,459.1,302.7,551.0,460.2,264.8,773.0,558.7,479.8,507.1,195.5,231.8,522.7,566.3,584.2,527.5,422.6,379.8,219.8,301.5,282.6,254.3,245.0,646.3,131.3,393.5,435.4,285.3,361.7
BY,101.1,405.8,271.0,300.2,2796.1,677.2,512.0,418.1,552.7,0.0,898.2,514.4,313.8,893.2,289.5,911.1,696.4,754.8,656.4,607.8,282.9,444.5,689.7,490.2,611.3,393.2,275.8,438.1,519.0,708.4,290.2,921.2,569.8,322.6,513.4,714.5,606.6,422.8,644.8,538.0,279.1,526.2,843.3,759.6,371.5,522.7,290.2,707.0,401.9,518.7,234.4,418.4,58.6,776.0,521.7,694.6,656.1,735.3,404.0,141.5,426.1,334.9,642.7,427.2,892.7,475.5,298.5,257.9,427.1,666.6,382.8,795.1,638.4,306.5,817.1,605.0,514.6,234.4,768.2,362.0,320.1,456.9,419.3,375.7,331.2,542.0,14.9,512.5,704.3,813.8,331.2,761.7,682.2,359.0,369.9,761.2,459.1,309.5,403.2,653.1,319.8,810.6,760.3,541.8,327.5,830.2,827.0,625.0,582.2,680.2,335.1,353.0,113.5,757.8,427.9,649.3,288.2,307.9,722.3,785.9,415.1,420.1,337.6,682.3,369.8,387.0
