from_stop,AD,AE,AH,AJ,AL,AO,AQ,AR,AX,AY,BH,BJ,BL,BO,BR,CB,CH,CJ,CK,CL,CP,CQ,CS,CY,DA,DH,DJ,DM,DN,DO,DT,DW,DX,EB,EC,EG,EH,EQ,EU,EX,EZ,FG,FM,FN,FO,FT,FU,GE,GG,GH,GI,GJ,GT,GV,HD,HG,HJ,HK,HQ,HR,HT,HY,IB,IC,ID,IN,IU,IV,IW,IX,JA,JK,JS,KJ,KL,KN,KS,KV,LF,LG,LJ,LM,LV,ME,MF,MH,MN,MY,NB,NC,NG,NH,NK,NL,NM,NO,NT,NW,NZ,OB,OE,OG,OI,OJ,OL,OP,OS,OT,OV,OY,PA,PE,PG,PH,PI,PO,PR,PS,PT,QG,QJ,QO,QP,QX,RB,RC,RJ,RM,RN,RP,RS,RT,RW,SA,SN,SS,ST,SU,SX,SY,SZ,TS,TT,TU,TW,TX,UB,UF,UJ,UQ,UT,UU,UX,VA,VK,VQ,VV,VZ,WI,WM,WN,WQ,WY,XH,XI,XN,XO,XQ,XZ,YG,YJ,YL,YN,YT,ZB,ZF,ZG,ZJ,ZQ,ZU
AD,0.0,781.1,390.8,817.7,845.4,310.1,858.5,822.1,233.0,238.6,1503.4,1498.0,288.5,1463.6,188.0,1584.5,257.4,371.9,889.6,310.5,428.6,208.8,2198.1,1406.8,179.7,370.1,909.7,377.0,1567.3,222.7,937.0,468.6,261.6,1417.3,387.6,766.7,241.9,1400.6,763.7,1431.5,773.0,324.4,284.5,798.4,27.8,396.3,240.4,301.9,844.7,1483.0,553.2,329.3,79.5,572.0,221.2,303.9,488.7,434.0,838.1,189.6,431.0,217.0,306.0,451.4,96.2,712.7,289.2,1579.5,485.7,915.4,865.1,310.2,475.3,362.1,1512.1,907.5,1506.1,124.4,1498.5,1484.0,993.3,964.4,212.1,1580.5,201.3,19.7,1163.4,867.5,926.4,394.8,322.3,786.6,417.8,319.5,394.9,1334.8,191.1,397.5,913.8,282.2,264.5,665.8,227.6,243.5,189.1,369.2,122.3,894.1,360.9,595.4,543.4,927.8,1455.1,714.6,1389.4,834.5,926.7,246.0,366.4,348.6,983.1,361.7,397.1,1446.4,485.7,184.3,1527.8,1597.2,1450.3,657.2,808.9,882.7,284.8,565.2,457.9,278.0,78.0,1442.0,83.7,209.7,1488.9,1468.2,248.5,847.0,400.3,1498.5,243.9,422.2,463.9,392.3,770.4,379.4,357.9,727.4,390.2,306.5,919.7,326.7,1553.6,870.7,466.5,1443.9,1546.0,954.4,169.7,1377.9,249.8,739.6,405.5,1455.7,307.0,263.4,378.5,1504.0,1013.0,678.3,933.2,1429.0,583.4,1504.1
AE,742.1,0.0,776.6,88.8,211.0,961.8,275.8,169.4,670.0,857.0,932.9,927.5,750.9,893.1,845.8,1014.0,694.4,927.0,306.9,978.4,1031.2,704.1,1709.1,836.3,675.0,415.9,204.3,1044.9,996.8,700.0,294.5,576.7,738.9,846.8,942.7,366.4,632.9,830.1,276.6,861.0,190.5,736.2,532.2,288.6,754.9,506.4,892.1,764.3,113.7,912.5,644.2,981.0,731.2,705.1,760.8,971.8,552.5,426.4,208.7,857.5,513.4,868.7,422.7,515.2,747.9,592.3,707.4,1009.0,441.6,276.1,261.1,738.6,619.7,917.2,900.5,178.6,935.6,776.1,886.9,913.5,329.7,286.8,880.0,1010.0,869.2,725.8,582.9,284.8,366.5,949.9,799.6,93.4,1085.7,987.4,950.0,764.3,859.0,952.6,184.9,933.9,822.2,339.9,898.8,705.9,666.4,780.3,766.0,195.5,916.0,590.8,655.2,265.6,884.6,292.0,818.9,153.1,233.0,570.8,876.8,859.0,305.5,916.8,952.2,875.9,441.6,836.0,957.3,1026.7,879.8,611.4,27.7,222.2,910.6,541.1,548.9,740.4,820.2,871.5,671.1,877.6,918.4,897.7,916.4,666.4,638.5,928.0,911.8,1090.1,564.3,569.0,10.3,1047.3,868.3,607.0,945.3,974.4,237.7,994.6,910.3,175.7,422.4,873.4,902.7,351.1,775.5,807.4,534.7,339.3,1073.4,885.2,718.8,600.8,855.8,901.7,442.5,377.5,251.2,858.5,704.9,892.5
AH,402.9,839.0,0.0,875.6,903.3,376.5,1067.1,880.0,152.9,531.5,1564.0,1532.4,210.3,1524.2,485.8,1618.9,128.5,285.1,1043.8,458.0,588.8,207.1,2266.4,1467.4,238.0,390.8,991.1,519.5,1601.7,293.6,994.9,468.6,332.5,1477.9,300.8,824.6,213.2,1461.2,821.6,1492.1,830.9,64.2,298.4,856.3,415.7,405.3,381.4,187.5,902.6,1517.4,563.1,357.9,357.7,572.0,229.9,398.2,517.1,491.9,896.0,418.5,432.3,376.0,334.4,473.8,339.6,749.3,100.8,1613.9,543.6,1062.9,923.0,172.9,475.3,275.3,1531.6,965.4,1540.5,346.9,1518.0,1544.6,1010.9,1022.3,477.6,1614.9,503.8,405.2,1221.3,1076.1,984.3,308.0,259.0,844.5,560.3,462.0,308.1,1395.4,405.1,310.7,971.7,350.7,282.5,723.7,520.5,172.9,284.4,25.7,492.9,952.0,274.1,673.3,557.9,1052.4,1515.7,772.5,1450.0,892.4,1019.8,259.9,234.9,217.1,1041.0,274.9,310.3,1507.0,543.6,325.3,1562.2,1631.6,1510.9,691.6,866.8,940.6,498.2,643.1,467.8,218.5,481.0,1502.6,394.2,423.7,1549.5,1528.8,492.0,876.8,200.0,1532.9,454.1,511.6,472.9,392.3,828.3,537.4,226.4,764.0,303.4,515.1,1024.5,494.2,1541.4,928.6,524.4,1504.5,1533.8,974.8,502.4,1438.5,292.1,797.5,548.0,1516.3,83.6,277.3,231.9,1532.8,1047.4,736.2,1038.0,1489.6,583.4,1523.6
AJ,786.2,76.3,820.7,0.0,187.9,1005.9,283.0,146.3,714.1,932.8,942.5,906.8,794.4,902.7,889.9,992.6,738.5,971.1,230.6,1022.5,1107.6,748.2,1716.3,845.3,721.9,460.0,181.2,1088.4,976.0,744.1,270.8,620.8,783.0,856.4,986.8,410.5,676.4,839.1,320.7,870.0,234.6,779.7,576.3,332.7,799.0,550.5,936.2,808.4,90.6,891.1,688.3,1025.1,775.3,749.2,804.9,1015.9,596.9,470.5,185.6,901.6,557.5,912.8,466.8,559.3,792.0,636.4,750.9,988.2,485.7,252.9,238.0,782.7,663.8,960.7,909.5,154.9,954.3,819.6,896.5,923.1,306.6,263.7,924.1,989.2,913.3,769.9,562.8,292.0,410.6,996.3,843.7,163.1,1129.8,1031.5,994.1,773.9,903.1,996.7,161.8,978.0,865.0,384.0,942.9,750.0,709.9,824.4,810.1,168.2,960.1,634.9,705.5,241.9,894.2,336.1,828.5,129.4,209.9,614.9,916.6,903.3,281.8,960.9,996.3,885.5,485.1,880.1,936.5,1001.4,889.4,655.5,104.1,199.1,954.7,585.2,593.0,784.5,864.3,880.5,715.2,921.7,928.0,906.7,960.5,710.5,682.6,946.7,955.9,1134.2,608.4,612.5,65.0,1091.4,912.4,651.1,989.4,1018.5,214.0,1038.7,919.9,116.0,466.5,883.0,912.3,328.0,819.6,817.0,578.8,383.4,1116.9,894.2,762.9,644.9,899.9,910.7,488.7,421.6,228.1,868.1,749.0,902.1
AL,807.0,220.6,841.5,190.0,0.0,1026.7,229.8,68.8,734.9,955.8,783.8,748.0,815.8,744.0,910.7,834.5,759.3,991.9,207.2,1043.3,1161.4,769.0,1569.3,687.2,739.9,480.8,148.7,1109.8,817.3,764.9,111.1,641.6,803.8,697.7,1007.6,449.3,697.8,681.0,359.5,711.9,273.4,801.1,597.1,371.5,819.8,571.3,957.0,829.2,168.7,733.0,709.1,1045.9,796.1,813.6,825.7,1036.7,617.4,491.3,35.3,922.4,578.3,933.6,487.6,580.1,812.8,685.1,772.3,829.5,506.5,220.5,83.8,803.5,684.6,982.1,751.4,152.9,794.4,841.0,737.8,764.4,146.3,147.5,944.9,830.5,934.1,790.7,459.1,238.8,449.4,1014.8,864.5,314.1,1150.6,1052.3,1014.9,615.2,923.9,1017.5,141.2,998.8,887.1,422.8,963.7,770.8,731.3,845.2,830.9,68.2,980.9,691.7,766.0,210.0,735.5,356.9,669.8,81.2,207.3,635.7,941.7,923.9,174.3,981.7,1017.1,726.8,506.5,900.9,777.8,842.7,730.7,712.3,248.4,56.8,975.5,606.0,613.8,805.3,885.1,722.4,736.0,942.5,769.3,748.6,981.3,721.3,703.4,786.8,976.7,1155.0,629.2,633.9,209.9,1112.2,933.2,699.8,1010.2,1039.3,182.1,1059.5,761.2,194.7,487.3,724.3,753.6,173.8,840.4,658.3,599.6,476.5,1138.3,736.1,783.7,665.7,920.7,752.6,301.3,460.4,195.6,709.4,815.7,743.4
AO,263.0,979.9,422.3,1016.5,1102.1,0.0,951.3,1020.9,399.2,253.1,1584.6,1652.5,368.5,1544.8,189.1,1739.0,374.8,111.3,982.4,172.0,285.1,338.3,2290.9,1488.0,369.2,568.9,1002.5,233.5,1721.8,363.2,1128.4,678.5,402.1,1498.5,95.6,965.5,459.5,1481.8,962.5,1512.7,971.8,355.9,494.4,997.2,290.9,606.2,183.8,345.7,1043.5,1637.5,771.2,19.2,224.3,781.9,208.8,112.2,687.5,632.8,1036.9,132.5,640.9,222.6,504.8,650.2,206.2,911.5,347.1,1734.0,684.5,1008.2,1047.5,322.2,685.2,121.1,1604.9,1068.7,1568.2,213.5,1591.3,1565.2,1086.1,1146.8,135.1,1735.0,267.8,282.8,1279.0,960.3,1125.2,88.4,336.3,997.4,274.3,176.0,88.3,1416.0,169.1,85.6,1076.8,111.0,252.1,864.6,242.1,374.3,354.0,400.7,263.9,1131.0,122.3,794.2,753.3,1020.6,1536.3,913.4,1470.6,1033.3,1019.5,455.9,162.6,179.8,1165.5,121.5,86.1,1527.6,684.5,114.2,1682.3,1643.5,1531.5,856.0,1015.2,1107.9,165.7,764.0,667.8,376.7,222.8,1523.2,289.5,187.7,1570.1,1549.4,206.0,1045.8,458.5,1560.6,168.1,270.2,683.2,602.2,969.2,235.9,170.8,926.2,194.5,229.1,1012.5,208.2,1646.4,1077.7,665.3,1525.1,1638.8,1047.2,273.4,1459.1,467.4,938.4,262.0,1536.9,338.5,473.3,273.8,1596.8,1173.9,877.1,1026.0,1510.2,793.3,1596.9
AQ,925.7,259.5,1024.8,228.9,222.5,1048.3,0.0,235.7,918.2,887.4,826.7,894.6,999.1,786.9,937.0,981.1,942.6,1049.1,51.8,940.5,947.0,952.3,1533.0,730.1,923.2,664.1,71.9,983.9,963.9,948.2,205.2,824.9,987.1,740.6,1033.4,593.7,881.1,723.9,503.9,754.8,417.8,984.4,780.4,515.9,1003.1,754.6,1140.3,1012.5,207.6,879.6,892.4,1029.7,979.4,914.1,1009.0,998.6,800.7,674.6,202.2,981.5,761.6,1116.9,670.9,763.4,996.1,807.9,955.6,976.1,689.8,77.6,175.7,986.8,867.9,1058.9,847.0,138.1,810.3,1024.3,833.4,807.3,256.2,201.4,1004.0,977.1,925.4,915.9,515.5,8.9,593.8,1026.2,1047.8,256.8,977.1,1020.3,1026.1,658.1,983.0,1023.4,128.5,1053.1,1070.4,567.2,897.4,954.1,914.6,1028.5,886.6,176.0,1060.1,806.4,870.8,90.0,778.4,540.2,712.7,210.5,68.1,819.0,1125.0,1107.2,220.1,1059.3,1023.9,769.7,689.8,1084.2,924.4,885.6,773.6,852.9,287.3,201.5,1008.9,789.3,797.1,988.6,989.7,765.3,919.3,967.7,812.2,791.5,972.6,731.4,886.7,802.7,1035.8,1011.1,812.5,817.2,248.8,997.9,1116.5,822.6,1132.3,1030.6,81.9,976.7,888.5,233.6,670.6,767.2,880.9,265.7,875.8,701.2,782.9,591.2,974.9,779.0,967.0,849.0,1104.0,838.9,416.0,604.8,95.4,752.3,914.8,839.0
AR,780.9,159.1,815.4,128.5,69.4,1000.6,222.4,0.0,708.8,929.7,853.3,817.5,789.7,813.5,884.6,904.0,733.2,965.8,194.0,1017.2,1135.3,742.9,1638.8,756.7,713.8,454.7,141.3,1083.7,886.8,738.8,144.9,615.5,777.7,767.2,981.5,423.2,671.7,750.5,333.4,781.4,247.3,775.0,571.0,345.4,793.7,545.2,930.9,803.1,107.2,802.5,683.0,1019.8,770.0,787.5,799.6,1010.6,591.3,465.2,46.0,896.3,552.2,907.5,461.5,554.0,786.7,659.0,746.2,899.0,480.4,213.1,117.6,777.4,658.5,956.0,820.9,115.6,863.9,814.9,807.3,833.9,180.1,181.3,918.8,900.0,908.0,764.6,519.9,236.3,423.3,988.7,838.4,252.6,1124.5,1026.2,988.8,684.7,897.8,991.4,121.9,972.7,861.0,396.7,937.6,744.7,705.2,819.1,804.8,102.0,954.8,610.1,739.9,202.6,805.0,330.8,739.3,12.3,170.0,609.6,915.6,897.8,208.1,955.6,991.0,796.3,480.4,874.8,847.3,912.2,800.2,691.8,186.9,90.6,949.4,579.9,587.7,779.2,859.0,791.9,709.9,916.4,838.8,818.1,955.2,695.2,677.3,856.3,950.6,1128.9,603.1,607.8,148.4,1086.1,907.1,673.7,984.1,1013.2,174.7,1033.4,830.7,133.2,461.2,793.8,823.1,207.6,814.3,727.8,573.5,396.1,1112.2,805.6,757.6,639.6,894.6,822.1,370.8,434.3,188.2,778.9,789.6,812.9
AX,249.9,662.5,157.7,699.1,726.8,412.8,890.6,703.5,0.0,488.6,1387.5,1434.5,101.6,1347.7,438.0,1521.0,24.3,361.0,867.3,496.6,664.7,149.4,2183.0,1290.9,120.3,298.4,814.6,570.7,1503.8,223.6,818.4,382.1,262.5,1301.4,376.7,648.1,69.5,1284.7,645.1,1315.6,654.4,91.3,173.8,679.8,262.7,294.9,343.1,115.0,726.1,1419.5,460.4,433.8,257.0,488.6,191.6,474.1,392.5,399.5,719.5,383.3,329.6,337.7,209.8,381.1,273.7,616.5,56.1,1516.0,451.2,886.4,746.5,111.7,388.8,351.2,1355.1,788.9,1442.6,301.9,1341.5,1368.1,834.4,845.8,405.8,1517.0,451.3,252.2,1044.8,899.6,807.8,383.9,248.4,668.0,611.5,513.2,384.0,1218.9,366.8,386.6,795.2,384.9,253.0,547.2,477.6,53.4,190.0,136.1,339.9,775.5,350.0,499.2,460.0,875.9,1339.2,596.0,1273.5,715.9,843.3,135.3,310.8,293.0,864.5,350.8,386.2,1330.5,451.2,287.0,1464.3,1533.7,1334.4,593.7,690.3,764.1,436.4,469.0,365.1,131.3,328.0,1326.1,241.2,385.4,1373.0,1352.3,434.6,768.1,211.9,1435.0,437.6,587.5,362.5,297.6,651.8,613.3,302.3,631.2,379.3,484.5,848.0,508.5,1364.9,752.1,432.0,1328.0,1357.3,798.3,349.4,1262.0,249.5,621.0,599.2,1339.8,73.9,152.7,304.6,1356.3,949.5,559.7,861.5,1313.1,500.0,1347.1
AY,226.0,858.5,517.4,934.8,950.2,241.7,799.4,992.7,432.3,0.0,1432.7,1500.7,487.8,1392.9,61.3,1587.1,456.7,320.7,833.8,176.9,259.5,408.1,2139.0,1336.1,381.8,507.3,850.6,284.7,1569.9,404.0,976.5,604.0,442.9,1346.6,305.0,903.9,421.4,1329.9,900.9,1360.8,910.2,451.0,419.9,935.6,253.9,531.7,278.9,440.8,961.6,1485.6,688.6,260.9,292.6,707.4,303.9,270.2,625.9,571.2,985.6,155.9,566.4,317.7,443.2,588.6,274.5,849.9,442.2,1582.1,622.9,856.3,895.6,417.3,610.7,330.5,1453.0,916.8,1416.3,237.7,1439.4,1413.3,934.2,994.9,178.4,1583.1,97.3,243.0,1130.1,808.4,1063.6,297.8,431.4,811.4,289.6,285.8,297.7,1264.1,128.6,295.0,924.9,262.3,345.9,803.0,9.9,442.8,370.4,495.8,188.1,979.1,331.7,732.6,685.0,868.7,1384.4,851.8,1318.7,1005.1,867.6,381.4,376.1,389.2,1013.6,330.9,295.5,1375.7,622.9,209.3,1530.4,1491.6,1379.6,794.4,829.2,956.0,151.2,702.4,593.3,477.3,179.9,1371.3,239.9,110.0,1418.2,1397.5,114.9,984.2,553.6,1408.7,186.8,327.1,599.3,527.7,868.9,345.7,380.2,864.6,403.9,172.9,860.6,193.1,1494.5,934.6,603.7,1373.2,1486.9,895.3,177.3,1307.2,385.2,876.8,287.4,1385.0,433.6,398.8,487.6,1444.9,1022.0,815.5,874.1,1358.3,718.8,1445.0
