from_stop,AA,AF,AN,AO,AX,AY,AZ,BA,BB,BC,BJ,BO,BU,CC,CF,CS,CT,DD,DH,DL,DN,DO,DU,EC,EL,EN,EO,EX,EZ,FH,FN,FP,FQ,FX,GB,GD,GE,GJ,GK,GW,GY,HC,HK,HM,HP,HX,IH,II,IO,IP,IW,JV,JW,JY,KB,KD,KF,KJ,KK,KM,KR,KZ,LI,LR,LS,LV,LZ,MD,MH,MM,MR,MU,MV,MZ,NA,NC,NI,OK,OT,OY,PL,PM,PP,PR,PY,QC,QH,QL,QS,RA,RB,RG,RL,RQ,RR,RY,SF,SK,SM,SN,SO,TG,TI,TK,TL,TN,TP,TV,UD,UE,UF,UM,UP,UQ,US,UY,VC,VQ,VR,VV,VW,VY,WA,WD,WE,WI,WJ,WM,WS,WT,XA,XE,XH,XI,XJ,XK,XR,XU,XX,YH,YO,YW,YZ,ZC,ZF,ZJ,ZK,ZY
AA,0.0,1442.3,1917.6,1524.2,1897.4,724.3,1483.2,292.1,1546.9,1598.7,1914.5,1645.9,560.1,1632.3,695.3,1462.6,607.2,753.8,1598.8,663.7,133.7,1721.9,1424.5,1516.3,132.3,487.6,2129.3,1538.2,661.0,664.6,1494.3,578.7,581.0,173.8,585.9,1475.3,452.7,421.5,1520.6,1527.5,456.4,1474.2,1660.7,96.7,633.8,697.4,73.0,225.1,1471.5,1599.7,1958.0,107.6,602.6,1380.6,590.8,619.4,1672.9,1795.0,548.3,607.3,1094.8,632.3,1623.2,1666.4,1693.6,649.1,565.9,657.1,651.4,642.2,584.5,1316.4,636.4,1590.1,143.2,607.0,632.8,79.2,1133.5,637.0,1888.2,1772.9,692.7,1584.1,1484.2,757.0,475.8,988.7,1697.3,1527.1,619.4,1744.9,651.7,1583.2,1499.9,742.4,1149.9,480.1,978.0,1639.8,1278.0,1765.0,635.8,1506.5,1523.2,759.3,750.4,629.7,1570.0,1638.1,466.8,747.1,1473.8,597.7,1555.9,632.0,1497.9,1474.2,301.6,763.6,708.2,1234.5,638.6,1398.1,584.6,684.9,1651.8,624.4,660.5,693.4,1488.5,1526.6,672.4,1559.5,636.5,1445.0,1520.2,723.3,620.6,1409.7,555.3,1714.6,2256.5,954.9,657.1,1560.7,959.3,647.3
AF,1408.7,0.0,562.8,157.8,563.8,941.9,255.0,1134.8,193.0,231.8,580.9,279.0,984.2,265.9,983.0,311.5,827.7,879.4,213.9,1001.8,1300.0,481.7,40.1,276.1,1352.2,1160.7,889.1,298.0,948.7,1088.7,127.9,1002.8,1005.1,1349.5,1000.0,108.9,1011.1,1064.1,280.4,261.9,1059.3,107.8,373.7,1340.3,921.5,1099.4,1348.5,1199.9,105.1,233.3,603.2,1351.2,890.3,54.1,1014.9,1043.5,432.7,453.0,1221.4,1031.4,716.5,1034.4,383.0,426.2,453.4,936.8,990.0,1081.2,939.1,929.9,1008.6,564.9,924.1,349.9,1292.9,1031.1,1056.9,1392.4,1109.3,1061.1,554.6,532.7,1094.7,217.2,117.8,1181.1,1039.9,866.0,457.1,261.5,1043.5,504.7,979.8,216.8,259.7,1039.5,885.4,1153.2,876.7,254.9,551.0,524.8,1037.9,140.1,226.1,894.7,1047.5,955.1,176.7,282.7,1139.9,1080.8,264.7,1021.8,189.5,1056.1,257.7,107.8,1125.3,1187.7,1132.3,525.9,1061.0,472.7,1008.7,1086.3,284.9,960.8,957.3,798.4,122.1,286.4,798.0,193.1,994.6,78.6,215.0,1092.4,908.3,43.3,979.4,347.7,2585.5,798.1,944.8,295.1,935.1,985.4
AN,1877.8,558.8,0.0,465.3,315.7,1411.0,714.6,1603.9,409.1,505.9,332.8,553.1,1453.3,725.5,1452.1,771.1,1296.8,1348.5,360.7,1470.9,1769.1,618.8,561.0,516.3,1821.3,1629.8,1006.9,538.2,1417.8,1557.8,599.7,1471.9,1474.2,1818.6,1469.1,568.5,1480.2,1535.1,435.4,721.5,1528.4,579.6,833.3,1809.4,1390.6,1568.5,1817.6,1669.0,563.6,692.9,206.0,1820.3,1359.4,557.0,1484.0,1512.6,569.8,287.5,1690.5,1500.5,1176.1,1503.5,376.5,563.3,590.5,1405.9,1459.1,1550.3,1408.2,1399.0,1477.7,1024.5,1393.2,311.9,1762.0,1500.2,1526.0,1861.5,1568.9,1530.2,306.5,277.1,1563.8,491.3,576.3,1650.2,1509.0,1325.6,574.9,721.1,1512.6,641.8,1448.9,676.4,447.8,1508.6,1345.0,1622.3,1336.3,371.7,1010.6,430.7,1507.0,630.2,685.7,1363.8,1516.6,1424.2,459.2,322.7,1609.0,1549.9,724.3,1490.9,649.1,1525.2,517.3,470.2,1594.4,1656.8,1601.4,985.5,1531.8,932.3,1477.8,1555.4,559.0,1429.9,1426.4,1267.5,455.0,429.4,1267.1,520.6,1463.7,501.1,683.4,1561.5,1377.4,527.1,1448.5,621.8,3088.4,1257.7,1413.9,754.7,1394.7,1454.5
AO,1484.2,131.4,480.3,0.0,475.4,1017.4,304.1,1210.3,93.1,131.9,492.5,179.1,1059.7,315.0,1058.5,360.6,903.2,954.9,114.0,1077.3,1375.5,484.6,133.6,58.0,1427.7,1236.2,892.0,92.9,1024.2,1164.2,177.0,1078.3,1080.6,1425.0,1075.5,158.0,1086.6,1139.6,119.4,311.0,1134.8,156.9,422.8,1415.8,997.0,1174.9,1424.0,1275.4,136.2,282.4,520.7,1426.7,965.8,129.6,1090.4,1119.0,435.6,353.1,1296.9,1106.9,765.6,1109.9,205.0,429.1,456.3,1012.3,1065.5,1156.7,1014.6,1005.4,1084.1,614.0,999.6,190.0,1368.4,1106.6,1132.4,1467.9,1158.4,1136.6,466.2,382.6,1170.2,117.3,148.9,1256.6,1115.4,915.1,460.0,310.6,1119.0,507.6,1055.3,265.9,93.8,1115.0,934.5,1228.7,925.8,155.0,600.1,527.7,1113.4,202.8,275.2,970.2,1123.0,1030.6,76.8,182.8,1215.4,1156.3,313.8,1097.3,238.6,1131.6,150.8,42.8,1200.8,1263.2,1207.8,575.0,1136.5,521.8,1084.2,1161.8,185.0,1036.3,1032.8,873.9,27.6,113.4,873.5,75.2,1070.1,73.7,264.1,1167.9,983.8,99.7,1054.9,247.8,2661.0,847.2,1020.3,344.2,984.2,1060.9
AX,1856.9,563.8,328.9,470.3,0.0,1390.1,701.6,1583.0,414.1,510.9,17.1,558.1,1432.4,712.5,1431.2,758.1,1275.9,1327.6,365.7,1450.0,1748.2,486.7,566.0,521.3,1800.4,1608.9,833.4,543.2,1396.9,1536.9,586.7,1451.0,1453.3,1797.7,1448.2,555.5,1459.3,1512.3,440.4,708.5,1507.5,566.6,820.3,1788.5,1369.7,1547.6,1796.7,1648.1,568.6,679.9,440.8,1799.4,1338.5,562.0,1463.1,1491.7,443.9,114.0,1669.6,1479.6,1163.1,1482.6,381.5,437.4,464.6,1385.0,1438.2,1529.4,1387.3,1378.1,1456.8,1011.5,1372.3,316.9,1741.1,1479.3,1505.1,1840.6,1555.9,1509.3,59.9,103.6,1542.9,496.3,581.3,1629.3,1488.1,1312.6,401.4,708.1,1491.7,470.6,1428.0,663.4,452.8,1487.7,1332.0,1601.4,1323.3,376.7,997.6,257.2,1486.1,635.2,672.7,1342.9,1495.7,1403.3,464.2,309.0,1588.1,1529.0,711.3,1470.0,636.1,1504.3,522.3,475.2,1573.5,1635.9,1580.5,972.5,1509.2,919.3,1456.9,1534.5,564.0,1409.0,1405.5,1246.6,460.0,434.4,1246.2,525.6,1442.8,506.1,666.2,1540.6,1356.5,532.1,1427.6,626.8,3093.4,1244.7,1393.0,741.7,1381.7,1433.6
AY,709.4,940.6,1415.9,1022.5,1395.7,0.0,981.5,435.5,1045.2,1097.0,1412.8,1144.2,284.9,1130.6,283.7,960.9,128.4,103.5,1097.1,302.5,600.7,1220.2,922.8,1014.6,652.9,461.4,1627.6,1036.5,249.4,389.4,992.6,303.5,305.8,650.2,300.7,973.6,311.8,366.7,1018.9,1025.8,360.0,972.5,1159.0,641.0,222.2,400.1,649.2,500.6,969.8,1098.0,1456.3,651.9,191.0,878.9,315.6,344.2,1171.2,1293.3,522.1,332.1,1068.6,335.1,1121.5,1164.7,1191.9,237.5,290.7,381.9,239.8,230.6,309.3,1290.2,224.8,1088.4,593.6,331.8,357.6,693.1,1107.3,361.8,1386.5,1271.2,395.4,1082.4,982.5,481.8,340.6,962.5,1195.6,1025.4,344.2,1243.2,280.5,1081.5,998.2,340.2,1123.7,453.9,951.8,1138.1,1251.8,1263.3,338.6,1004.8,1090.8,88.2,348.2,255.8,1068.3,1136.4,440.6,381.5,972.1,322.5,1054.2,356.8,996.2,972.5,426.0,488.4,433.0,1208.3,363.4,1289.2,309.4,387.0,1150.1,261.5,258.0,191.7,986.8,1024.9,170.7,1057.8,295.3,943.3,1018.5,393.1,209.0,908.0,280.1,1212.9,2777.1,928.7,245.5,1059.0,933.1,286.1
AZ,1434.4,262.2,617.4,317.7,618.4,967.6,0.0,1160.5,352.9,391.7,635.5,438.9,1009.9,99.2,1008.7,288.0,853.4,905.1,373.8,1027.5,1325.7,688.0,264.4,350.5,1377.9,1186.4,1095.4,385.4,974.4,1114.4,214.7,1028.5,1030.8,1375.2,1025.7,164.5,1036.8,1091.7,379.2,44.2,1085.0,194.6,350.2,1366.0,947.2,1125.1,1374.2,1225.6,254.3,135.6,657.8,1376.9,916.0,260.4,1040.6,1069.2,639.0,608.2,1356.5,1057.1,693.0,1060.1,464.8,632.5,659.7,962.5,1015.7,1106.9,964.8,955.6,1034.3,541.4,949.8,449.8,1318.6,1056.8,1082.6,1418.1,1085.8,1086.8,609.2,597.8,1120.4,377.1,296.1,1206.8,1065.6,842.5,663.4,43.8,1069.2,711.0,1005.5,119.1,353.6,1065.2,861.9,1178.9,853.2,414.8,527.5,731.1,1063.6,226.9,202.6,920.4,1073.2,980.8,336.6,442.6,1165.6,1106.5,9.6,1047.5,70.1,1081.8,423.1,267.7,1151.0,1213.4,1158.0,502.4,1088.4,449.2,1034.4,1112.0,444.8,986.5,983.0,824.1,282.0,373.2,823.7,353.0,1020.3,238.5,36.9,1118.1,934.0,230.5,1005.1,507.6,2791.8,774.6,970.5,77.4,911.6,1011.1
BA,273.8,1150.1,1625.4,1232.0,1605.2,432.1,1191.0,0.0,1254.7,1306.5,1622.3,1353.7,267.9,1340.1,403.1,1170.4,315.0,461.6,1306.6,371.5,165.1,1429.7,1132.3,1224.1,217.3,195.4,1837.1,1246.0,368.8,372.4,1202.1,286.5,288.8,214.6,293.7,1183.1,160.5,129.3,1228.4,1235.3,164.2,1182.0,1368.5,205.4,341.6,405.2,213.6,65.0,1179.3,1307.5,1665.8,216.3,310.4,1088.4,298.6,327.2,1380.7,1502.8,256.1,315.1,802.6,340.1,1331.0,1374.2,1401.4,356.9,273.7,364.9,359.2,350.0,292.3,1024.2,344.2,1297.9,158.0,314.8,340.6,257.5,841.3,344.8,1596.0,1480.7,400.5,1291.9,1192.0,464.8,183.6,696.5,1405.1,1234.9,327.2,1452.7,359.5,1291.0,1207.7,450.2,857.7,187.9,685.8,1347.6,985.8,1472.8,343.6,1214.3,1231.0,467.1,458.2,337.5,1277.8,1345.9,174.6,454.9,1181.6,305.5,1263.7,339.8,1205.7,1182.0,9.5,471.4,416.0,942.3,346.4,1105.9,292.4,392.7,1359.6,332.2,368.3,401.2,1196.3,1234.4,380.2,1267.3,344.3,1152.8,1228.0,431.1,328.4,1117.5,263.1,1422.4,2341.5,662.7,364.9,1268.5,667.1,355.1
BB,1519.5,166.7,424.2,73.2,419.3,1052.7,339.4,1245.6,0.0,113.8,436.4,161.0,1095.0,350.3,1093.8,395.9,938.5,990.2,57.9,1112.6,1410.8,419.8,168.9,124.2,1463.0,1271.5,827.2,146.1,1059.5,1199.5,212.3,1113.6,1115.9,1460.3,1110.8,193.3,1121.9,1176.8,26.3,346.3,1170.1,192.2,458.1,1451.1,1032.3,1210.2,1459.3,1310.7,171.5,317.7,464.6,1462.0,1001.1,164.9,1125.7,1154.3,370.8,297.0,1332.2,1142.2,800.9,1145.2,148.9,364.3,391.5,1047.6,1100.8,1192.0,1049.9,1040.7,1119.4,649.3,1034.9,133.9,1403.7,1141.9,1167.7,1503.2,1193.7,1171.9,410.1,326.5,1205.5,99.2,184.2,1291.9,1150.7,950.4,395.2,345.9,1154.3,442.8,1090.6,301.2,55.7,1150.3,969.8,1264.0,961.1,98.9,635.4,462.9,1148.7,238.1,310.5,1005.5,1158.3,1065.9,67.1,126.7,1250.7,1191.6,349.1,1132.6,273.9,1166.9,125.2,78.1,1236.1,1298.5,1243.1,610.3,1173.5,557.1,1119.5,1197.1,166.9,1071.6,1068.1,909.2,62.9,20.3,908.8,128.5,1105.4,109.0,308.2,1203.2,1019.1,135.0,1090.2,229.7,2696.3,882.5,1055.6,379.5,1019.5,1096.2
BC,1584.0,231.2,506.7,137.7,501.8,1117.2,403.9,1310.1,119.5,0.0,518.9,47.1,1159.5,414.8,1158.3,460.4,1003.0,1054.7,140.4,1177.1,1475.3,505.5,233.4,170.7,1527.5,1336.0,912.9,192.6,1124.0,1264.0,276.8,1178.1,1180.4,1524.8,1175.3,257.8,1186.4,1241.3,145.8,410.8,1234.6,256.7,522.6,1515.6,1096.8,1274.7,1523.8,1375.2,236.0,382.2,547.1,1526.5,1065.6,229.4,1190.2,1218.8,456.5,379.5,1396.7,1206.7,865.4,1209.7,231.4,450.0,477.2,1112.1,1165.3,1256.5,1114.4,1105.2,1183.9,713.8,1099.4,216.4,1468.2,1206.4,1232.2,1567.7,1258.2,1236.4,492.6,409.0,1270.0,12.8,248.7,1356.4,1215.2,1014.9,480.9,410.4,1218.8,528.5,1155.1,365.7,102.2,1214.8,1034.3,1328.5,1025.6,181.4,699.9,548.6,1213.2,302.6,375.0,1070.0,1222.8,1130.4,131.6,209.2,1315.2,1256.1,413.6,1197.1,338.4,1231.4,171.7,142.6,1300.6,1363.0,1307.6,674.8,1236.3,621.6,1184.0,1261.6,53.0,1136.1,1132.6,973.7,127.4,139.8,973.3,145.4,1169.9,173.5,368.5,1267.7,1083.6,199.5,1154.7,115.8,2760.8,947.0,1120.1,444.0,1084.0,1160.7
