from_stop,AB,AG,AH,AJ,AL,AP,AS,BJ,BR,BW,BY,CB,CE,CF,CI,CN,DB,DC,DK,DQ,DZ,EE,EG,EI,EK,EL,EM,EN,ER,FB,FC,FH,FJ,GA,GH,GI,GM,GN,GQ,GY,HA,HC,HF,HH,HO,HP,HS,IE,IH,IJ,IL,IM,IQ,IR,JB,JI,JK,JO,KF,KJ,KW,KY,LA,LB,LE,LF,LH,LL,LM,LQ,LR,LW,MA,MF,MI,MJ,ML,MN,MS,NC,ND,NH,NO,NQ,NU,NV,NZ,OD,OE,OT,OW,PD,PH,PI,PN,PP,PQ,PU,PW,QC,QE,QG,QI,QL,QM,QQ,RC,RJ,RL,RS,RX,RY,RZ,SD,SG,ST,TE,TI,UA,UF,UK,UO,UP,UU,UW,VG,VR,VU,WG,WH,WM,WS,WT,WV,XC,XG,XH,XI,XK,XO,XT,XU,YA,YE,YK,YP,YR,YU,ZA,ZE,ZF,ZH,ZT
AB,0.0,1484.1,1498.9,1341.6,145.1,199.5,1041.1,1322.7,1575.1,1066.5,200.0,248.7,155.7,1088.5,1503.8,138.0,1588.7,801.1,1365.8,1062.0,542.6,559.2,1443.9,163.2,269.4,195.1,265.3,1275.7,371.4,1464.5,586.3,1589.4,701.4,1081.3,815.4,35.9,1023.2,1414.2,1138.0,1298.7,1540.5,1271.7,1182.9,1492.4,752.3,65.1,1334.9,1287.4,1067.3,140.2,1261.7,593.3,1476.8,86.7,189.3,1015.4,819.4,248.3,1552.7,217.8,1509.8,1093.9,1073.8,160.2,215.8,1042.3,1388.0,174.1,356.6,1396.7,1264.9,233.7,1035.8,173.4,1478.7,1384.4,742.0,802.7,636.8,561.4,1416.7,98.0,1306.7,1526.7,1320.5,2670.4,1218.3,187.3,543.3,764.9,1078.2,233.7,86.9,207.2,647.4,1054.4,809.2,798.1,668.6,1534.1,962.8,1340.0,288.0,143.7,1054.4,1094.1,958.9,494.0,195.7,201.9,630.5,1073.6,1151.9,738.5,1517.9,1460.0,243.7,81.2,1280.6,1402.4,551.3,190.7,372.5,285.6,216.5,1096.3,852.0,831.6,512.5,1504.9,277.5,1427.1,806.6,164.7,264.0,1446.3,527.9,571.4,1388.2,1495.3,208.9,246.1,593.5,1528.2,217.8,660.1,133.2,545.2,189.3,766.9,237.5,337.5,102.9
AG,1509.6,0.0,73.2,326.9,1595.7,1485.2,581.9,271.7,134.1,706.8,1477.4,1526.1,1433.1,661.5,70.2,1527.6,147.7,1198.8,189.6,602.8,1246.6,1212.5,267.7,1613.8,1552.6,1552.7,1542.7,261.0,1165.7,114.2,1252.8,105.2,889.6,689.9,762.2,1513.9,596.2,238.0,778.3,284.0,114.8,638.9,550.1,98.3,968.3,1525.1,257.1,292.7,614.7,1510.5,628.9,1241.8,126.5,1556.5,1625.6,624.0,762.4,1626.9,68.5,1550.0,115.7,702.5,714.1,1520.8,1493.2,583.1,211.8,1552.3,1659.1,180.3,514.6,1647.7,576.6,1450.8,231.1,208.2,1139.7,1200.4,1232.7,1214.7,200.3,1542.3,292.0,101.0,305.8,1891.7,585.5,1637.9,1196.6,1162.6,718.5,1611.9,1546.9,1484.6,998.8,684.3,768.4,722.3,1239.5,141.8,678.3,246.1,1565.4,1553.3,694.7,667.1,712.9,1147.3,1646.3,1479.3,930.8,646.6,634.7,883.3,125.6,109.7,1666.3,1590.8,647.8,226.2,1204.6,1468.1,1166.8,1620.7,1530.7,669.3,723.7,892.9,1165.8,20.7,1586.6,197.1,1204.3,1566.8,1541.4,257.9,986.0,1142.3,171.8,11.1,1486.3,1591.8,1285.9,135.9,1597.1,1057.8,1542.8,1198.5,1521.7,762.7,1514.9,1178.9,1525.2
AH,1537.2,106.0,0.0,354.5,1623.3,1512.8,609.5,299.3,76.1,734.4,1505.0,1553.7,1460.7,689.1,150.3,1555.2,89.7,1226.4,217.2,630.4,1274.2,1240.1,295.3,1641.4,1580.2,1580.3,1570.3,288.6,1193.3,194.3,1280.4,101.9,917.2,717.5,789.8,1541.5,623.8,265.6,805.9,311.6,41.5,666.5,577.7,178.4,995.9,1552.7,284.7,320.3,642.3,1538.1,656.5,1269.4,206.6,1584.1,1653.2,651.6,790.0,1654.5,82.5,1577.6,195.8,730.1,741.7,1548.4,1520.8,610.7,239.4,1579.9,1686.7,207.9,542.2,1675.3,604.2,1478.4,311.2,235.8,1167.3,1228.0,1260.3,1242.3,227.9,1569.9,319.6,27.7,333.4,1919.3,613.1,1665.5,1224.2,1190.2,746.1,1639.5,1574.5,1512.2,1026.4,711.9,796.0,749.9,1267.1,221.9,705.9,273.7,1593.0,1580.9,722.3,694.7,740.5,1174.9,1673.9,1506.9,958.4,674.2,662.3,910.9,205.7,189.8,1693.9,1618.4,675.4,253.8,1232.2,1495.7,1194.4,1648.3,1558.3,696.9,751.3,920.5,1193.4,119.9,1614.2,238.3,1231.9,1594.4,1569.0,257.5,1013.6,1169.9,199.4,117.2,1513.9,1619.4,1313.5,216.0,1624.7,1085.4,1570.4,1226.1,1549.3,790.3,1542.5,1206.5,1552.8
AJ,1343.2,323.0,337.8,0.0,1429.3,1318.8,415.5,143.6,414.0,540.4,1311.0,1359.7,1266.7,495.1,342.7,1361.2,427.6,1032.4,204.7,436.4,1080.2,1046.1,295.1,1447.4,1386.2,1386.3,1376.3,65.5,999.3,303.4,1086.4,428.3,723.2,523.5,595.8,1347.5,429.8,265.4,611.9,67.0,379.4,472.5,383.7,331.3,801.9,1358.7,155.8,108.3,448.3,1344.1,462.5,1075.4,315.7,1390.1,1459.2,457.6,596.0,1460.5,391.6,1383.6,348.7,536.1,547.7,1354.4,1326.8,416.7,226.9,1385.9,1492.7,235.6,348.2,1481.3,410.2,1284.4,317.6,223.3,973.3,1034.0,1066.3,1048.3,255.6,1375.9,55.9,365.6,36.9,1990.1,419.1,1471.5,1030.2,996.2,552.1,1445.5,1380.5,1318.2,832.4,517.9,602.0,555.9,1073.1,373.0,511.9,164.9,1399.0,1386.9,528.3,500.7,546.5,980.9,1479.9,1312.9,764.4,480.2,468.3,716.9,356.8,298.9,1499.9,1424.4,481.4,241.3,1038.2,1301.7,1000.4,1454.3,1364.3,502.9,557.3,726.5,999.4,343.8,1420.2,266.0,1037.9,1400.4,1375.0,285.2,819.6,975.9,227.1,334.2,1319.9,1425.4,1119.5,367.1,1430.7,891.4,1376.4,1032.1,1355.3,748.9,1348.5,1012.5,1358.8
AL,164.2,1553.8,1568.6,1411.3,0.0,157.5,1110.8,1392.4,1644.8,1136.2,177.9,221.8,154.7,1158.2,1573.5,96.0,1658.4,870.8,1435.5,1131.7,612.3,628.9,1513.6,18.0,178.4,289.7,187.0,1345.4,441.1,1534.2,656.0,1659.1,771.1,1151.0,885.1,148.5,1092.9,1483.9,1207.7,1368.4,1610.2,1341.4,1252.6,1562.1,822.0,89.8,1404.6,1357.1,1137.0,104.5,1331.4,663.0,1546.5,170.5,98.3,1085.1,889.1,157.3,1622.4,182.1,1579.5,1163.6,1143.5,124.5,191.9,1112.0,1457.7,268.7,265.6,1466.4,1334.6,142.7,1105.5,136.6,1548.4,1454.1,811.7,872.4,706.5,631.1,1486.4,156.3,1376.4,1596.4,1390.2,2740.1,1288.0,42.1,613.0,834.6,1147.9,328.3,131.5,168.1,717.1,1124.1,878.9,867.8,738.3,1603.8,1032.5,1409.7,218.8,101.7,1124.1,1163.8,1028.6,563.7,50.5,205.9,700.2,1143.3,1221.6,808.2,1587.6,1529.7,338.3,170.2,1350.3,1472.1,621.0,187.2,442.2,194.6,180.8,1166.0,921.7,901.3,582.2,1574.6,186.5,1496.8,876.3,122.7,232.4,1516.0,597.6,641.1,1457.9,1565.0,224.6,155.1,663.2,1597.9,126.8,729.8,91.2,614.9,153.6,836.6,211.0,407.2,60.9
AP,189.1,1459.2,1474.0,1316.7,153.4,0.0,1016.2,1302.2,1550.2,1041.6,95.9,169.8,60.1,1063.6,1478.9,85.3,1563.8,776.2,1346.0,1044.4,515.7,534.3,1419.0,171.5,196.3,306.6,186.2,1250.8,346.5,1439.6,561.4,1564.5,676.5,1056.4,790.5,160.5,998.3,1392.3,1113.1,1271.8,1513.1,1246.8,1161.0,1467.5,715.4,120.1,1310.0,1262.5,1042.4,68.2,1236.8,568.4,1451.9,114.2,200.6,993.5,794.5,256.6,1537.7,140.1,1484.9,1069.0,1048.9,88.2,136.9,1017.4,1363.1,285.6,302.8,1371.8,1240.0,242.0,1010.9,42.0,1456.8,1355.8,717.1,777.8,611.9,536.5,1394.8,100.0,1281.8,1501.8,1298.6,2645.5,1193.4,195.6,521.4,740.0,1056.3,345.2,125.2,73.5,622.5,1029.5,784.3,773.2,643.7,1508.3,937.9,1315.1,209.1,114.0,1036.3,1072.2,934.0,469.1,204.0,117.9,605.6,1048.7,1127.0,713.6,1493.0,1435.1,355.2,200.5,1255.7,1377.5,526.4,104.3,347.6,264.4,144.5,1071.4,827.1,806.7,487.6,1480.0,233.3,1402.2,781.7,138.7,185.1,1421.4,503.0,546.5,1363.3,1470.4,130.0,236.6,568.6,1503.3,226.1,635.2,100.5,520.3,120.3,745.0,161.6,312.6,82.9
AS,1060.6,577.2,592.0,434.7,1146.7,1036.2,0.0,415.8,668.2,202.6,1028.4,1077.1,984.1,100.8,596.9,1078.6,681.8,764.6,458.9,34.9,728.3,763.5,537.0,1164.8,1103.6,1139.9,1093.7,368.8,716.7,557.6,734.5,682.5,458.3,185.7,327.1,1064.9,86.4,507.3,274.1,391.8,633.6,512.2,423.4,585.5,537.0,1076.1,428.0,380.5,32.7,1061.5,502.2,723.5,569.9,1107.5,1176.6,119.8,379.7,1177.9,645.8,1101.0,602.9,198.3,209.9,1071.8,1044.2,35.2,481.1,1118.9,1210.1,489.8,321.5,1198.7,4.9,1001.8,571.8,477.5,705.5,766.2,714.4,765.7,509.8,1093.3,399.8,619.8,413.6,2029.8,458.8,1188.9,747.6,728.4,214.3,1178.5,1097.9,1035.6,564.6,180.1,333.3,305.2,721.2,627.2,206.8,433.1,1116.4,1104.3,190.5,106.4,202.9,698.3,1197.3,1030.3,496.6,85.9,208.5,466.2,611.0,553.1,1188.5,1141.8,521.1,495.5,755.6,1019.1,717.8,1171.7,1081.7,108.6,341.0,510.2,716.8,598.0,1137.6,520.2,770.1,1117.8,1092.4,539.4,537.0,624.0,481.3,588.4,1037.3,1142.8,767.6,621.3,1148.1,623.6,1093.8,749.5,1072.7,411.1,1065.9,729.9,1076.2
BJ,1354.5,241.6,256.4,153.8,1440.6,1333.5,426.8,0.0,332.6,551.7,1322.3,1371.0,1278.0,506.4,261.3,1372.5,346.2,1043.7,128.4,455.0,1093.5,1057.4,151.4,1464.1,1397.5,1403.0,1392.8,93.3,1010.6,222.0,1097.7,346.9,734.5,540.2,607.1,1358.8,441.1,121.7,628.6,108.9,295.5,483.8,400.4,249.9,801.2,1370.0,12.2,42.0,450.0,1355.4,473.8,1086.7,234.3,1401.4,1475.9,474.3,612.7,1471.8,320.1,1389.2,267.3,547.4,564.4,1365.7,1338.1,433.4,136.9,1397.2,1504.0,154.2,359.5,1492.6,421.5,1295.7,236.2,98.3,984.6,1050.7,1077.6,1059.6,169.8,1387.2,118.9,284.2,138.1,2001.4,430.4,1488.2,1041.5,1007.5,568.8,1456.8,1391.8,1329.5,843.7,529.2,613.3,567.2,1084.4,290.7,523.2,16.8,1410.3,1403.6,546.4,512.0,557.8,992.2,1496.6,1319.1,775.7,496.9,479.6,728.2,275.4,217.5,1511.2,1435.7,492.7,122.5,1049.5,1313.0,1011.7,1465.6,1375.6,514.2,568.6,737.8,1010.7,262.4,1436.9,184.6,1049.2,1408.2,1386.3,203.8,830.9,987.2,145.7,252.8,1331.2,1437.8,1130.8,285.7,1442.0,902.7,1393.1,1043.4,1372.0,760.2,1365.2,1023.8,1370.1
BR,1625.1,121.5,87.8,442.4,1711.2,1600.7,697.4,387.2,0.0,822.3,1592.9,1641.6,1548.6,777.0,131.1,1643.1,13.5,1314.3,305.1,718.3,1362.1,1328.0,383.2,1729.3,1668.1,1668.2,1658.2,376.5,1281.2,175.1,1368.3,82.7,1005.1,805.4,877.7,1629.4,711.7,353.5,893.8,399.5,25.4,754.4,665.6,159.2,1083.8,1640.6,372.6,408.2,730.2,1626.0,744.4,1357.3,187.4,1672.0,1741.1,739.5,877.9,1742.4,63.3,1665.5,176.6,818.0,829.6,1636.3,1608.7,698.6,327.3,1667.8,1774.6,321.0,630.1,1763.2,692.1,1566.3,292.0,323.7,1255.2,1315.9,1348.2,1330.2,341.0,1657.8,407.5,46.2,421.3,2007.2,701.0,1753.4,1312.1,1278.1,834.0,1727.4,1662.4,1600.1,1114.3,799.8,883.9,837.8,1355.0,202.7,793.8,361.6,1680.9,1668.8,810.2,782.6,828.4,1262.8,1761.8,1594.8,1046.3,762.1,750.2,998.8,186.5,170.6,1781.8,1706.3,763.3,341.7,1320.1,1583.6,1282.3,1736.2,1646.2,784.8,839.2,1008.4,1281.3,100.7,1702.1,258.0,1319.8,1682.3,1656.9,318.8,1101.5,1257.8,285.4,110.3,1601.8,1707.3,1401.4,196.8,1712.6,1173.3,1658.3,1314.0,1637.2,878.2,1630.4,1294.4,1640.7
BW,1078.8,694.9,709.7,552.4,1164.9,1054.4,215.4,533.5,785.9,0.0,1046.6,1095.3,1002.3,262.8,714.6,1096.8,799.5,782.8,576.6,236.3,746.5,781.7,654.7,1183.0,1121.8,1158.1,1111.9,486.5,734.9,675.3,752.7,800.2,476.5,150.8,345.3,1083.1,197.5,625.0,90.7,509.5,751.3,616.6,527.8,703.2,555.2,1094.3,545.7,498.2,241.6,1079.7,606.6,741.7,687.6,1125.7,1194.8,158.6,397.9,1196.1,763.5,1119.2,720.6,135.4,7.3,1090.0,1062.4,216.6,598.8,1137.1,1228.3,607.5,439.2,1216.9,210.1,1020.0,689.5,595.2,723.7,784.4,732.6,783.9,627.5,1111.5,517.5,737.5,531.3,2094.0,563.2,1207.1,765.8,746.6,11.6,1196.7,1116.1,1053.8,582.8,122.4,351.5,323.4,739.4,744.9,225.0,550.8,1134.6,1122.5,12.1,268.4,221.1,716.5,1215.5,1048.5,514.8,247.9,326.2,484.4,728.7,670.8,1206.7,1160.0,625.5,613.2,773.8,1037.3,736.0,1189.9,1099.9,270.6,359.2,528.4,735.0,715.7,1155.8,637.9,788.3,1136.0,1110.6,657.1,555.2,642.2,599.0,706.1,1055.5,1161.0,785.8,739.0,1166.3,641.8,1112.0,767.7,1090.9,429.3,1084.1,748.1,1094.4
