from_stop,AA,AE,AN,AY,BG,BH,BK,BM,BN,BP,BS,BT,CE,CG,CI,CM,CT,CU,DA,DD,DG,DJ,DQ,DS,DT,EA,EC,ED,EE,EF,EH,EI,EP,EQ,ES,EW,EX,EZ,FB,FL,FM,FP,FT,GA,GB,GE,GF,GI,GK,GL,GO,GR,GT,GU,GY,HA,HH,HK,HM,HN,HO,HV,IB,IE,IF,II,IV,IX,JA,JB,JK,JL,JM,JN,JQ,JS,JZ,KG,KH,KI,KN,KP,KR,KS,KW,LD,LE,LF,LG,LL,LT,LX,LY,LZ,MB,MD,MG,MJ,MO,MS,MT,MW,MZ,NE,NG,NI,NJ,NR,NU,NW,NZ,OH,OL,OP,OX,OY,PC,PD,PF,PH,PI,PJ,PK,PL,PM,PO,PP,PR,QB,QG,QH,QI,QN,QQ,QT,QX,RI,RK,RM,RS,RX,SC,SE,SH,SM,SQ,SV,SW,SX,SZ,TE,TL,TW,TX,UC,UN,UO,UZ,VE,VL,VP,VZ,WA,WH,WI,WJ,WS,WV,XC,XG,XJ,XK,XO,XP,XU,YD,YE,YG,YI,YJ,YK,YM,YT,YV,YZ,ZA,ZB,ZH,ZI,ZN,ZV
AA,0.0,101.6,320.1,145.2,457.0,485.0,280.1,329.5,351.2,390.9,267.7,284.1,327.7,447.5,257.5,56.9,452.0,533.5,271.3,64.9,314.8,501.1,138.0,570.6,306.0,561.5,360.0,484.8,96.5,185.6,442.3,238.7,380.8,239.0,223.3,94.6,330.7,217.5,113.9,242.1,340.7,157.5,404.5,428.2,461.5,71.9,356.1,233.2,330.7,424.3,70.5,72.5,452.0,364.6,62.9,518.0,294.6,230.5,196.9,131.6,294.2,545.2,380.9,340.1,452.5,501.3,279.7,1007.7,152.1,527.5,416.3,130.9,266.1,442.5,296.3,507.0,97.9,376.2,120.5,482.9,436.0,228.3,151.7,313.4,439.2,50.2,512.4,560.7,186.6,312.8,440.2,437.1,470.1,384.5,500.2,65.8,347.9,572.0,275.3,337.0,313.2,197.1,528.8,494.0,427.4,185.9,387.8,384.3,393.7,326.3,290.3,104.2,587.0,270.6,415.5,136.3,493.3,97.8,294.2,110.4,299.6,517.6,405.5,376.2,479.0,340.9,205.1,337.5,69.7,305.7,401.0,406.8,328.1,324.4,278.9,544.4,11.9,336.7,431.7,241.2,361.5,104.1,141.0,86.3,59.0,469.4,492.1,396.9,325.0,502.7,210.6,341.0,216.4,379.6,75.7,437.6,131.6,16.9,386.5,463.2,368.2,248.6,343.2,299.8,113.8,416.8,75.0,189.6,112.7,347.8,352.3,267.3,311.6,338.6,268.6,291.3,113.5,162.1,522.7,375.5,377.6,233.6,482.3,77.6,312.9,526.3,216.4,545.5,95.4,290.4,384.1
AE,111.6,0.0,431.8,231.2,417.0,445.0,236.2,282.8,311.8,350.9,359.4,385.3,287.7,407.5,290.5,168.6,412.0,493.5,231.3,175.4,347.1,461.1,249.7,530.6,357.2,521.5,469.6,444.8,54.3,233.9,402.3,310.2,393.0,350.7,271.6,135.1,290.7,177.5,109.3,257.8,300.7,205.8,516.2,388.2,421.5,127.1,316.1,323.3,434.3,393.0,182.2,67.9,420.7,324.6,48.6,478.0,254.6,278.8,249.1,91.6,290.6,525.7,340.9,300.1,412.5,461.3,269.9,1119.4,184.8,487.5,385.0,35.4,377.8,402.5,387.7,467.0,65.5,336.2,168.8,442.9,396.0,312.7,55.2,330.0,399.2,85.5,472.4,520.7,257.1,272.8,400.2,397.1,483.2,344.5,460.2,177.5,307.9,532.0,387.0,297.0,329.8,308.8,492.2,454.0,387.4,234.2,347.8,364.5,355.0,336.7,250.3,40.4,543.2,231.6,393.9,90.2,479.3,83.0,366.1,40.6,259.6,524.1,365.5,336.2,439.0,316.7,253.4,428.9,159.2,265.7,409.7,366.8,287.7,397.8,344.8,504.4,99.6,326.3,523.1,214.2,321.5,104.9,252.7,15.2,170.7,421.3,452.1,369.9,416.4,462.7,170.6,301.0,293.5,339.6,180.3,397.6,243.3,94.7,343.0,426.1,459.6,265.2,303.2,316.4,225.5,430.5,35.0,237.9,149.5,446.3,312.3,227.3,342.3,412.0,268.2,247.6,153.2,273.8,482.7,459.5,337.6,332.1,493.0,142.5,424.6,486.3,328.1,505.5,207.1,379.2,344.1
AN,317.5,417.3,0.0,246.2,314.8,351.5,219.6,272.9,143.7,260.2,157.0,147.0,176.2,305.3,145.7,274.3,315.9,400.0,313.1,281.1,107.3,367.6,349.2,428.4,98.5,428.0,39.8,285.4,419.1,313.2,300.1,126.9,169.4,101.9,255.0,312.3,294.1,251.8,347.6,176.2,207.2,253.4,158.4,294.7,328.0,353.9,299.5,186.1,10.9,242.5,245.2,372.9,270.2,198.5,380.5,384.5,312.9,227.9,252.0,335.6,320.5,334.7,238.7,156.4,319.0,359.2,213.8,1103.1,266.7,385.3,234.5,448.5,129.0,309.0,106.8,370.9,415.5,224.7,267.8,346.8,294.2,166.8,469.3,197.8,305.7,367.8,376.3,427.2,241.7,294.4,306.7,294.9,259.6,239.3,366.7,331.5,259.0,449.4,97.3,269.9,206.9,186.5,395.3,360.5,293.9,277.9,236.3,176.8,260.2,118.8,287.2,421.8,441.0,216.9,202.6,457.7,282.8,415.4,179.6,426.1,243.0,332.3,257.2,224.7,336.8,179.6,236.8,148.0,302.4,182.4,186.1,255.3,271.5,104.5,168.2,410.9,329.5,129.2,195.3,250.3,210.0,386.1,200.8,402.0,291.7,298.4,349.9,215.1,135.5,366.6,258.7,284.4,237.5,301.4,288.4,288.1,397.3,334.4,264.1,329.7,176.6,171.0,209.7,213.5,217.8,201.9,372.2,220.9,287.1,158.3,295.7,317.0,185.5,121.1,298.1,306.2,300.9,226.8,389.2,186.0,244.1,105.5,269.4,359.6,32.8,392.8,170.8,403.3,335.4,137.2,266.5
AY,146.9,222.0,242.4,0.0,354.3,400.3,173.5,220.1,237.1,288.2,181.1,203.6,243.0,344.8,118.5,103.7,349.3,448.8,199.2,101.8,237.2,416.4,233.1,467.9,228.3,476.8,282.3,400.1,244.5,110.4,339.6,138.2,281.6,161.3,93.0,104.5,248.0,160.1,139.8,132.3,256.0,82.3,365.9,343.5,376.8,183.3,253.4,100.5,253.0,312.3,74.6,165.1,340.0,268.3,189.0,433.3,232.5,92.3,51.6,140.3,213.2,446.9,278.2,244.2,367.8,398.7,167.7,985.1,58.9,424.8,304.3,257.5,188.4,357.8,218.6,404.3,244.9,282.2,60.0,380.2,351.3,83.0,277.3,181.0,354.5,197.2,409.7,476.0,42.9,248.3,355.5,334.4,371.8,281.8,415.5,160.9,245.2,487.3,197.6,234.3,180.8,101.9,447.5,409.3,340.9,43.9,303.1,297.5,310.3,225.3,223.5,251.2,480.5,186.9,308.9,283.3,395.0,244.8,198.2,230.8,196.9,439.9,320.8,291.5,376.3,202.2,111.2,259.8,112.3,221.0,298.3,306.7,225.0,246.7,172.8,459.7,158.9,222.6,354.0,158.3,276.8,215.5,54.4,206.7,121.1,376.6,389.4,284.9,247.3,400.0,153.2,238.3,71.1,276.9,110.7,352.9,226.7,163.8,280.3,381.4,290.5,124.9,258.5,167.4,21.3,314.1,176.9,108.6,79.3,270.1,249.6,195.2,176.1,260.9,190.8,220.8,93.1,57.1,438.0,297.8,292.9,160.1,381.6,189.0,235.2,441.6,116.4,442.8,179.0,212.7,281.4
BG,444.8,414.8,324.7,371.0,0.0,93.2,201.0,203.3,177.6,99.7,297.1,286.9,152.8,23.5,269.4,422.6,39.7,141.2,270.0,415.8,212.9,115.8,577.5,143.3,223.0,200.6,356.9,212.3,437.3,394.6,18.3,289.1,223.7,298.6,336.4,418.5,189.9,249.3,394.6,236.7,124.8,334.8,360.0,155.7,119.0,516.8,173.4,310.9,335.6,159.2,441.7,397.7,186.9,144.8,381.8,166.1,203.5,313.8,348.3,333.1,326.1,253.7,143.2,165.9,177.1,77.4,243.4,1334.7,340.2,103.5,151.2,450.3,302.1,100.0,253.5,69.7,480.4,118.2,374.0,53.0,94.7,291.6,470.1,294.3,55.0,434.2,82.5,175.4,356.3,185.0,150.1,29.8,277.3,168.3,114.9,505.3,188.0,194.4,264.0,198.9,248.4,342.3,146.9,108.7,57.7,364.9,103.0,184.7,122.5,202.5,244.1,455.3,159.2,195.2,180.0,505.1,242.8,481.8,278.2,423.6,177.0,277.5,84.5,117.0,55.0,228.6,318.2,294.7,426.3,161.7,222.7,112.8,179.7,263.6,282.5,192.5,432.8,192.1,325.2,249.7,128.6,519.8,388.6,399.5,438.1,188.8,68.1,156.0,263.8,72.8,256.2,149.0,358.3,140.9,455.1,165.1,571.1,427.9,107.1,84.8,261.7,244.1,122.3,261.8,392.4,196.7,369.7,302.3,393.3,232.4,136.0,273.9,276.1,277.8,303.7,208.1,376.5,375.1,165.0,253.6,121.8,311.0,287.1,498.1,298.6,174.4,326.8,121.5,523.4,271.3,106.0
BH,486.3,456.3,366.2,412.5,94.5,0.0,255.8,258.1,219.1,154.5,338.6,328.4,194.3,60.9,310.9,464.1,94.5,54.9,324.8,457.3,254.4,22.5,619.0,122.5,264.5,107.3,398.4,143.9,478.8,436.1,66.1,330.6,265.2,340.1,377.9,460.0,244.7,290.8,436.1,278.2,166.3,376.3,326.4,69.9,76.3,558.3,228.2,352.4,377.1,178.2,483.2,439.2,150.5,186.3,423.3,72.8,258.3,355.3,389.8,374.6,367.6,160.4,198.0,207.4,83.8,16.2,284.9,1325.2,381.7,79.4,186.2,491.8,343.6,83.5,295.0,83.7,521.9,173.0,415.5,59.4,108.8,333.1,511.6,335.8,69.1,475.7,93.1,82.1,397.8,239.8,56.8,71.3,227.7,209.8,21.6,546.8,229.5,126.8,305.5,240.4,289.9,383.8,53.6,15.4,112.5,406.4,144.5,226.2,113.4,244.0,298.9,496.8,116.4,236.7,221.5,546.6,149.5,523.3,319.7,465.1,231.8,184.2,126.0,158.5,28.9,270.1,359.7,336.2,467.8,203.2,264.2,167.6,234.5,305.1,324.0,99.2,474.3,233.6,366.7,291.2,170.1,561.3,430.1,441.0,479.6,120.4,44.0,197.5,305.3,49.7,297.7,203.8,399.8,195.7,496.6,120.5,612.6,469.4,161.9,49.9,303.2,285.6,163.8,303.3,433.9,238.2,411.2,343.8,434.8,273.9,190.8,328.7,317.6,319.3,345.2,262.9,418.0,416.6,77.5,295.1,130.8,352.5,237.5,539.6,340.1,81.1,368.3,97.4,564.9,312.8,160.8
BK,264.1,234.1,225.8,172.3,180.7,240.9,0.0,58.1,110.0,114.6,139.6,165.5,85.9,171.2,70.7,223.9,175.7,288.9,93.4,215.9,146.3,259.3,378.8,294.3,155.4,319.7,249.8,243.0,261.9,195.9,166.0,90.4,191.2,140.8,137.7,219.8,74.4,68.6,213.9,40.2,98.9,136.1,311.0,186.4,219.7,329.0,79.8,112.2,214.5,191.2,243.0,217.0,218.9,122.8,201.1,276.2,83.6,115.1,153.5,152.4,145.4,323.9,104.6,98.3,210.7,225.1,50.1,1157.5,164.5,251.2,183.2,269.6,167.9,200.7,198.1,230.7,299.7,104.7,179.2,206.6,194.2,92.9,289.4,110.2,197.4,253.5,236.1,318.9,159.1,74.7,198.4,160.8,281.4,108.2,258.4,311.0,71.6,331.2,177.1,60.7,110.0,143.6,287.3,252.2,163.4,166.2,146.0,162.7,151.9,134.9,67.5,274.6,310.7,28.8,191.3,321.1,277.5,301.1,139.9,242.9,23.3,322.3,163.7,145.8,202.7,114.9,119.5,239.3,231.5,63.9,207.9,133.1,51.8,198.5,125.0,302.6,252.1,124.5,333.5,64.1,133.8,339.1,193.8,218.8,243.3,231.5,215.8,171.2,226.8,226.4,75.5,64.7,163.5,103.3,263.5,195.8,372.4,247.2,110.2,225.3,267.9,45.4,105.3,96.6,193.7,228.9,189.0,103.6,194.6,243.7,76.0,97.3,122.5,212.6,119.8,86.5,195.8,176.4,280.9,257.7,139.7,117.5,293.6,317.4,218.6,284.5,128.1,269.2,324.7,177.4,107.8
BM,353.9,328.8,266.4,285.0,127.4,187.6,148.2,0.0,124.2,97.5,211.4,217.2,93.4,117.9,183.4,336.6,145.8,242.3,199.4,329.8,160.5,210.2,491.5,241.0,169.6,295.0,298.6,265.8,351.3,308.6,112.7,203.1,205.4,247.6,250.4,339.2,187.1,163.3,308.6,150.7,126.6,248.8,325.2,214.1,208.5,430.8,26.5,224.9,282.2,206.9,355.7,311.7,234.6,150.5,295.8,260.5,194.6,227.8,257.4,242.2,240.1,348.1,51.3,112.5,233.5,171.8,149.2,1270.2,254.2,197.9,198.9,364.3,232.4,194.4,200.1,197.2,394.4,50.4,288.0,176.7,155.6,205.6,384.1,190.3,149.4,348.2,206.2,269.8,270.3,176.1,226.1,107.5,295.6,54.9,209.3,419.3,92.6,288.8,217.8,103.5,144.4,256.3,233.0,203.1,120.7,278.9,135.3,190.4,180.9,149.1,168.6,369.3,253.6,109.2,203.5,419.1,305.2,395.8,192.8,337.6,147.3,350.0,126.1,96.1,149.4,124.6,232.2,241.3,335.4,91.6,222.1,85.9,170.8,210.2,196.8,286.9,346.8,138.7,348.7,158.8,102.9,433.8,297.7,313.5,352.1,262.0,162.5,186.2,228.8,186.2,170.2,140.1,267.4,132.0,369.1,223.5,485.1,341.9,98.2,177.2,285.2,158.1,129.1,157.8,306.4,244.4,283.7,216.3,307.3,255.9,127.1,203.3,197.1,224.4,217.7,188.8,290.5,289.1,259.4,271.9,163.5,225.0,305.4,412.1,240.3,268.8,240.8,215.9,437.4,187.1,97.1
BN,321.7,291.7,147.0,235.9,171.0,207.7,112.0,158.6,0.0,116.4,119.4,109.2,32.4,161.5,134.3,287.5,172.1,256.2,205.5,280.7,35.2,223.8,442.4,284.6,45.3,284.2,179.2,197.1,314.2,259.5,156.3,134.6,81.1,120.9,201.3,283.4,186.5,126.2,271.5,101.6,63.4,199.7,200.9,150.9,184.2,392.6,190.1,175.8,157.9,98.7,285.1,274.6,126.4,54.7,258.7,240.7,205.3,178.7,213.2,210.0,203.0,246.4,94.9,12.6,175.2,215.4,74.7,1157.0,217.1,241.5,90.7,327.2,124.4,165.2,75.8,227.1,357.3,80.9,238.9,203.0,150.4,156.5,347.0,110.7,161.9,311.1,232.5,283.4,221.2,186.8,162.9,151.1,171.3,95.5,222.9,370.2,115.2,294.7,86.3,126.1,87.9,207.2,254.9,216.7,150.1,229.8,92.5,53.5,117.7,24.8,179.6,332.2,297.2,72.1,85.6,382.0,194.5,358.7,100.5,300.5,135.4,239.3,113.4,80.9,193.0,68.1,183.1,117.0,291.2,38.6,97.8,111.5,163.5,85.9,104.8,267.1,309.7,14.4,211.2,126.6,66.2,396.7,214.6,276.4,303.0,184.0,206.1,71.3,104.5,222.8,133.1,165.7,223.2,157.6,320.0,145.6,436.0,304.8,123.8,188.8,147.7,109.0,65.9,101.3,257.3,113.6,246.6,167.2,258.2,124.3,152.7,209.4,98.4,100.1,180.6,180.0,253.4,240.0,245.4,147.6,100.3,155.0,181.1,375.0,120.9,249.0,191.7,259.5,388.3,93.6,122.7
BP,365.4,335.4,270.8,273.6,106.3,159.8,97.3,115.1,123.7,0.0,240.5,246.3,92.9,124.6,172.0,325.2,61.0,214.8,170.2,317.2,160.0,182.4,480.1,182.2,169.1,267.2,303.0,278.3,363.2,297.2,119.4,191.7,204.9,242.1,239.0,321.1,90.1,169.9,315.2,137.5,142.2,237.4,324.7,221.7,220.1,430.3,73.6,213.5,281.7,208.5,344.3,318.3,236.2,148.1,302.4,232.7,94.1,216.4,250.9,253.7,246.7,320.3,68.8,112.0,243.7,144.0,151.4,1258.8,265.8,154.8,200.5,370.9,261.5,201.1,199.6,116.0,401.0,43.8,276.6,91.9,144.3,194.2,390.7,211.5,156.1,354.8,121.4,242.0,258.9,85.2,216.7,114.2,295.1,84.0,181.5,412.3,121.7,268.1,210.1,117.7,173.5,244.9,210.1,175.3,80.7,267.5,130.1,188.0,187.2,148.6,144.3,375.9,243.8,130.1,197.4,425.7,309.4,402.4,215.2,344.2,77.2,344.1,120.9,89.0,156.1,153.7,220.8,240.8,328.9,120.7,221.6,18.4,80.3,209.7,225.9,259.1,353.4,138.2,335.0,168.4,107.4,440.4,291.2,320.1,340.7,262.9,152.7,173.4,228.3,111.7,176.8,49.2,260.9,41.1,364.8,231.1,473.7,348.5,3.8,188.8,269.4,146.7,144.7,186.9,295.0,246.0,290.3,204.9,295.9,248.1,36.2,174.1,219.5,226.3,224.3,104.6,297.1,277.7,237.4,271.4,171.1,218.8,304.9,418.7,244.7,241.0,229.4,170.3,426.0,216.2,6.2
