from_stop,AG,AO,AP,BM,BN,EB,EF,GN,GT,HB,HL,IQ,JW,KI,KL,KN,KQ,KR,LA,LD,LM,MG,OD,OF,PF,QM,RX,TR,TX,VJ,WC,WH,WK,WO,WT,XJ,YL,YT,ZA,ZJ,ZV
AG,0.0,176.6,1096.0,376.8,225.9,385.0,213.7,288.2,234.4,228.7,285.6,210.3,185.4,153.4,165.9,322.9,178.1,396.6,240.9,137.6,259.6,262.7,438.3,218.8,281.1,245.4,323.7,429.9,418.6,226.6,160.6,228.4,200.3,215.7,276.8,262.3,220.8,304.0,317.4,219.4,280.2
AO,202.0,0.0,1117.1,397.9,283.0,412.3,260.8,285.7,236.9,249.2,306.7,299.3,308.6,158.5,187.0,66.0,199.1,417.7,236.9,100.8,289.7,218.5,459.4,161.4,305.2,277.7,366.4,396.5,434.9,326.3,181.7,282.7,227.6,26.1,324.4,289.6,313.5,53.3,362.7,240.5,324.3
AP,1183.2,1178.9,0.0,1315.5,1164.6,999.2,1216.0,966.3,1218.1,1124.3,959.5,1212.6,1187.7,1157.7,1104.6,1176.8,1117.0,867.0,1240.3,1193.6,1198.2,1221.9,908.7,1164.8,1213.7,1195.3,1297.4,1131.6,1021.8,1171.5,1180.9,1213.7,1061.9,1205.0,1210.3,1046.7,1158.7,1164.1,1293.7,1158.1,1247.4
BM,192.5,169.4,1175.6,0.0,83.2,309.9,170.6,364.7,226.7,132.9,365.2,209.1,191.2,166.3,101.0,232.7,85.9,476.2,130.3,280.2,113.7,177.1,517.9,201.8,141.4,66.4,203.4,466.3,337.3,52.5,192.6,129.2,289.2,192.4,132.0,345.0,98.1,226.2,209.2,37.3,161.3
BN,101.8,86.1,1126.7,244.3,0.0,246.1,87.3,325.7,154.7,87.1,316.3,125.8,94.9,120.5,55.2,152.2,37.0,427.3,43.9,181.6,33.5,93.8,469.0,118.5,49.0,124.1,132.7,414.3,268.7,43.2,143.7,49.0,267.6,112.2,41.3,315.5,30.4,139.5,129.0,47.8,82.7
EB,386.4,375.9,914.8,512.5,361.6,0.0,413.0,186.9,415.1,321.9,104.4,409.6,384.7,344.5,301.6,374.1,313.8,215.4,437.3,414.0,395.2,418.9,257.1,361.8,422.9,387.3,494.4,328.6,22.6,547.7,377.9,410.7,258.9,398.4,407.3,69.3,356.5,361.4,490.7,355.1,436.6
EF,181.3,138.7,1206.2,274.4,79.4,325.6,0.0,405.2,195.9,166.6,395.8,38.4,105.0,200.0,134.7,204.8,116.5,460.9,33.3,223.4,86.1,70.8,502.6,128.6,101.6,154.2,162.8,429.6,348.2,122.7,223.2,79.1,347.1,164.8,120.8,395.0,109.9,192.1,159.1,142.6,120.7
GN,305.0,300.7,1010.1,425.1,274.2,320.2,337.8,0.0,358.5,246.1,232.6,334.4,301.3,269.3,214.2,286.7,226.6,205.3,351.2,318.6,307.8,331.5,247.0,274.4,335.5,299.9,442.4,169.8,342.3,281.1,302.7,358.7,153.5,323.2,325.0,215.5,269.1,274.0,438.7,267.7,349.2
GT,217.6,207.1,1126.5,410.4,310.4,421.7,288.2,300.1,0.0,259.2,316.1,326.7,215.9,183.9,196.4,75.1,208.6,427.1,264.3,133.6,298.5,245.9,468.8,170.2,344.8,263.5,399.2,441.8,449.1,244.7,172.5,291.5,218.4,246.2,357.0,280.4,232.7,81.0,392.9,249.9,325.3
HB,65.0,54.5,1163.6,310.9,130.8,376.4,91.6,355.8,112.3,0.0,353.2,88.2,63.3,49.3,91.5,120.9,74.1,464.2,124.4,153.9,136.9,140.6,505.9,96.7,164.6,182.6,201.6,450.6,404.4,173.5,56.5,112.5,273.5,93.6,177.4,335.5,162.1,108.2,195.3,176.0,163.7
HL,245.2,240.9,1017.1,395.5,244.6,48.1,278.0,211.9,280.1,186.3,0.0,274.6,249.7,219.7,184.6,307.0,197.0,317.7,311.4,325.0,323.9,327.0,359.4,283.1,339.4,275.3,382.6,377.2,70.7,251.5,242.9,298.9,153.8,267.0,290.3,117.5,238.7,294.3,378.9,238.1,358.5
IQ,209.6,167.0,1234.5,302.7,107.7,353.9,28.2,433.5,224.2,194.9,424.1,0.0,113.7,228.3,163.0,233.1,144.8,486.6,61.6,251.7,114.4,99.8,528.3,156.9,129.9,182.5,191.1,455.3,376.5,151.0,251.5,107.4,375.4,193.1,149.1,423.3,138.2,220.4,187.4,170.9,149.0
JW,217.8,167.0,1249.5,305.8,107.7,312.7,36.4,324.1,232.4,203.1,370.3,42.1,0.0,236.5,163.0,121.4,144.8,448.7,69.8,153.8,73.2,85.4,490.4,43.1,100.9,177.5,199.3,417.4,376.5,278.7,259.7,107.4,264.7,201.3,154.2,423.3,97.8,228.9,195.6,170.9,100.0
KI,155.7,145.2,1130.2,401.6,221.5,477.9,182.3,306.4,203.0,91.2,319.8,178.9,154.0,0.0,42.7,195.6,40.7,430.8,225.9,262.9,228.2,231.3,472.5,171.4,266.1,257.3,292.3,417.8,495.1,264.8,33.3,203.2,224.7,184.3,268.1,286.7,263.0,198.9,286.0,266.7,265.2
KL,96.9,86.4,1071.4,210.8,59.9,269.7,123.5,263.6,144.2,32.4,261.0,120.1,87.0,81.2,0.0,152.8,12.5,372.0,103.9,186.4,93.5,172.5,413.7,128.6,121.2,85.6,228.1,359.0,291.8,246.0,88.4,144.4,181.9,108.9,110.8,243.9,54.8,140.1,224.4,53.4,134.9
KN,324.7,275.9,1140.1,417.8,216.6,462.8,194.4,332.3,333.1,303.8,329.7,232.9,250.4,171.3,210.0,0.0,254.2,361.4,170.4,147.2,223.3,152.1,403.1,95.0,251.0,286.4,300.0,330.1,484.9,446.8,204.7,216.3,250.6,298.4,263.1,312.6,247.9,94.6,296.3,279.8,250.1
KQ,109.1,104.6,1089.6,201.5,47.5,257.3,141.7,281.6,144.0,50.2,279.2,138.3,113.4,83.6,18.1,171.0,0.0,390.2,91.5,204.6,80.9,141.4,431.9,146.8,108.6,73.2,180.1,377.2,279.9,54.4,106.6,96.6,199.9,130.9,98.2,261.9,42.4,158.3,176.4,41.0,122.3
KR,316.1,311.8,920.8,448.4,297.5,140.6,348.9,99.2,351.0,257.2,92.4,345.5,320.6,290.6,237.5,309.7,249.9,0.0,373.2,326.5,331.1,354.8,41.6,297.7,346.6,328.2,430.3,264.5,163.2,304.4,313.8,346.6,194.8,337.9,343.2,179.6,291.6,297.0,426.6,291.0,380.3
LA,147.9,105.3,1172.8,241.0,46.0,292.2,43.3,395.4,162.5,133.2,362.4,81.8,71.6,166.6,101.3,171.7,82.9,473.4,0.0,205.9,52.7,49.8,515.1,95.2,80.4,115.8,129.4,460.4,314.3,276.2,189.8,45.7,313.7,131.4,92.5,361.6,77.3,159.0,128.5,109.2,79.5
LD,77.7,73.4,1186.9,326.7,172.1,395.9,132.9,356.7,131.2,147.3,354.1,129.5,74.0,70.8,93.0,139.8,74.8,487.5,143.9,0.0,156.4,196.1,529.2,138.0,184.1,222.1,257.1,452.1,459.9,193.0,57.4,131.4,275.0,112.5,191.1,337.0,181.0,149.5,211.4,194.9,183.2
LM,248.7,52.5,1169.7,323.8,146.8,393.0,107.6,361.9,128.3,234.0,359.3,104.2,71.1,257.2,202.1,118.9,183.9,470.3,141.0,169.3,0.0,156.6,512.0,112.7,27.7,198.6,217.6,449.1,415.1,359.0,290.6,128.5,280.2,75.0,193.3,342.2,178.1,106.2,208.5,192.0,180.3
MG,190.6,148.0,1189.1,283.7,88.7,334.9,66.5,367.6,205.2,175.9,388.6,105.0,114.3,209.3,144.0,165.9,125.8,458.8,42.6,182.7,95.4,0.0,500.5,137.9,110.9,163.5,172.1,427.5,357.5,132.0,232.5,88.4,309.5,174.1,130.1,371.5,119.2,153.2,168.4,181.7,130.0
OD,296.0,291.7,879.1,446.3,295.4,98.9,328.8,279.0,330.9,237.1,50.7,325.4,300.5,270.5,235.4,357.8,247.8,179.7,362.2,506.3,374.7,377.8,0.0,333.9,390.2,326.1,433.4,444.3,121.5,302.3,293.7,349.7,204.6,317.8,341.1,168.3,289.5,345.1,429.7,288.9,409.3
OF,313.8,265.0,1111.0,400.7,205.7,451.9,183.5,303.2,322.2,292.9,300.6,222.0,239.5,152.4,261.0,78.2,242.8,409.0,159.6,110.6,212.4,141.2,450.7,0.0,240.1,275.5,289.1,377.7,474.0,435.9,175.6,205.4,221.5,304.1,252.2,283.5,237.0,65.5,288.2,268.9,239.2
PF,227.2,24.8,1142.0,296.1,119.1,365.3,79.9,334.2,82.0,206.9,331.6,76.5,43.4,229.5,174.4,91.2,156.2,442.6,113.3,141.6,125.8,128.9,484.3,85.0,0.0,170.9,184.5,421.4,387.9,162.4,262.9,100.8,252.5,47.3,160.5,314.5,150.4,78.5,180.8,164.3,152.6
QM,323.9,297.7,1303.9,128.2,211.5,441.3,298.9,496.1,358.1,264.3,493.5,337.4,286.9,287.5,232.4,364.1,214.0,604.5,255.5,413.4,245.1,305.4,646.2,330.1,272.8,0.0,334.8,591.5,463.4,160.3,320.9,260.6,414.4,320.2,257.2,476.4,226.4,351.4,340.6,165.6,286.5
RX,193.4,144.6,1236.5,283.4,85.3,326.1,45.1,429.3,220.4,173.1,401.7,83.6,119.1,221.9,135.2,205.6,122.6,506.1,33.8,288.0,92.0,69.6,547.8,129.1,114.3,149.7,0.0,474.8,358.9,128.6,229.1,79.6,353.0,183.7,131.9,395.5,116.6,198.3,167.8,148.5,113.4
TR,454.1,502.0,1102.6,553.7,442.7,463.1,420.5,177.2,482.8,389.0,386.1,459.0,448.7,433.5,342.8,359.3,355.4,293.6,396.6,439.9,449.4,378.2,335.3,347.0,477.1,428.5,531.5,0.0,485.2,588.9,456.7,442.4,296.4,528.1,489.2,358.4,397.7,346.6,522.4,396.3,476.2
TX,358.1,353.3,892.2,491.3,339.0,130.0,390.4,164.8,393.0,299.2,81.8,387.0,358.2,332.6,274.2,352.0,291.4,192.8,409.9,384.4,373.1,396.3,234.5,339.7,395.5,359.9,472.3,306.0,0.0,520.3,355.8,388.6,231.5,379.9,385.2,41.9,329.1,334.0,468.6,332.5,414.5
VJ,232.0,131.7,1218.2,41.6,45.5,202.8,132.9,410.4,291.0,178.6,407.8,171.4,120.9,181.9,146.7,277.7,128.5,418.3,169.8,247.4,79.1,139.4,460.0,164.1,106.8,89.2,178.3,505.8,224.9,0.0,235.2,174.9,224.3,154.2,171.5,390.7,140.7,185.4,257.7,79.9,200.8
WC,132.5,122.0,1107.0,375.3,198.3,444.5,159.1,299.2,161.2,67.4,296.6,155.7,130.8,100.8,35.5,188.4,17.3,407.6,192.5,270.2,205.0,208.1,449.3,164.2,232.7,250.1,269.1,394.6,466.6,241.6,0.0,180.0,217.5,161.1,239.7,279.5,229.6,175.7,260.0,243.5,231.8
WH,164.2,115.4,1182.9,195.2,56.1,302.3,74.1,406.0,172.6,143.3,372.5,96.8,71.9,192.7,111.4,181.8,93.0,496.4,30.7,198.0,63.3,80.6,538.1,87.3,90.5,70.0,83.6,465.1,324.9,99.4,199.9,0.0,323.8,137.9,97.5,371.7,87.4,169.1,79.9,63.4,89.6
WK,299.1,288.6,1063.6,425.2,274.3,338.3,325.7,81.6,346.4,234.0,250.7,322.3,289.2,257.2,214.3,286.8,226.5,258.7,350.0,319.2,307.9,331.6,300.4,274.5,335.6,300.0,412.5,223.3,360.9,460.4,290.6,323.4,0.0,327.7,320.0,233.6,269.2,274.1,403.4,267.8,349.3
WO,182.1,316.2,1091.0,374.9,256.9,384.2,234.7,270.2,229.4,223.7,280.6,273.2,290.7,148.4,147.9,27.2,173.1,391.6,197.8,85.1,261.6,192.4,433.3,138.9,289.3,233.6,345.7,368.4,413.6,394.0,142.6,256.6,199.5,0.0,303.5,261.5,288.2,14.5,339.4,214.4,288.4
WT,55.3,69.0,1151.4,327.4,145.3,391.5,106.1,343.5,108.2,232.5,341.0,102.7,77.8,265.9,200.5,135.4,182.5,452.0,139.5,150.9,157.1,155.1,493.7,111.1,179.7,197.1,210.7,485.2,418.7,188.5,289.1,132.1,261.8,95.1,0.0,323.9,176.6,122.7,207.0,190.5,178.8
XJ,310.8,306.5,1001.8,443.1,292.2,307.9,343.6,117.5,364.3,251.9,191.4,340.2,307.1,275.1,232.2,304.7,244.6,302.4,367.9,391.7,325.8,349.5,344.1,292.4,353.5,317.9,425.0,259.2,330.5,478.3,308.5,341.3,189.5,329.0,337.9,0.0,287.1,292.0,421.3,285.7,367.2
YL,145.4,119.2,1129.7,201.9,33.0,214.8,120.4,318.0,176.4,103.8,319.3,158.9,128.0,137.2,71.9,185.6,53.5,430.3,77.0,283.1,66.6,126.9,472.0,151.6,94.3,76.7,171.2,459.7,236.9,11.9,160.4,82.1,236.3,141.7,78.7,284.2,0.0,172.9,162.1,44.5,108.0
YT,337.4,288.6,1152.8,424.3,229.3,475.5,207.1,345.0,364.4,317.1,342.4,245.6,263.1,194.2,222.7,12.6,266.2,374.1,183.2,152.4,236.0,164.8,415.8,107.7,263.7,299.1,312.7,342.8,498.1,459.5,217.4,229.0,263.3,327.7,270.7,325.3,260.6,0.0,309.0,292.5,262.8
ZA,141.3,74.5,1160.0,253.8,33.2,276.6,93.7,379.8,150.3,121.0,349.6,126.2,101.3,169.8,85.7,138.1,70.5,460.6,47.5,188.5,19.1,100.2,502.3,122.1,49.6,122.7,144.5,444.8,306.8,73.7,177.0,52.6,298.1,113.6,79.8,339.6,64.5,128.2,0.0,118.9,78.5
ZJ,153.1,133.1,1139.3,157.3,46.9,276.7,134.3,307.9,193.5,99.7,328.9,172.8,154.9,133.1,67.8,199.2,49.6,439.9,90.9,232.9,80.5,140.8,481.6,165.5,96.0,37.1,179.7,426.9,299.3,73.8,156.3,96.0,249.8,159.2,92.6,311.8,61.0,186.5,176.0,0.0,129.7
