from_stop,AB,AE,AR,AY,BB,BL,CE,CF,CI,CJ,CL,CM,CS,CV,CX,DD,DN,DW,DZ,FD,GF,GJ,GK,GN,HB,HE,HO,HP,HU,IG,IY,IZ,JA,JD,JO,JQ,JT,JU,JV,JW,KD,KN,KW,KX,LF,LJ,LP,LS,LY,MD,MH,MM,MQ,MU,NA,NE,NI,NO,NW,OB,OJ,OL,OW,PA,PH,PN,PW,PZ,QI,QV,QX,RD,RG,SA,SC,SF,ST,SW,SY,TD,TN,UE,UM,US,UU,UX,VA,VF,WR,WV,XF,XG,XK,XS,XX,YK,ZD,ZQ,ZT
AB,0.0,59.4,655.0,127.3,636.6,65.2,682.1,176.4,207.6,234.5,615.5,146.3,532.9,725.7,204.7,599.7,168.6,119.8,607.1,512.5,158.4,229.4,137.1,161.8,548.3,558.1,624.0,73.9,564.5,196.6,164.5,656.1,617.9,661.9,629.3,550.3,117.8,449.7,731.0,146.5,471.5,162.3,55.9,256.8,295.9,154.5,233.1,107.7,590.2,643.3,278.1,235.6,195.0,645.9,206.9,628.3,130.2,183.6,654.3,650.9,18.0,746.9,652.4,223.3,606.2,36.5,171.1,49.8,662.5,240.0,665.1,201.3,186.3,208.7,683.2,236.3,633.1,635.3,256.9,173.4,723.5,172.6,258.4,669.2,524.3,629.7,142.7,591.3,195.1,644.8,240.7,632.8,656.7,621.1,191.8,717.1,186.7,594.8,668.3
AE,47.3,0.0,595.5,96.2,577.1,92.2,627.0,145.3,140.6,203.4,541.4,115.2,473.4,666.2,145.2,540.2,101.6,52.8,547.6,453.0,98.9,169.9,106.0,130.7,488.8,498.6,564.5,42.8,505.0,165.5,105.0,596.6,558.4,602.4,569.8,490.8,50.8,390.2,619.0,115.4,412.0,102.8,82.9,225.7,264.8,95.0,166.1,76.6,530.7,583.8,247.0,176.1,135.5,586.4,147.4,568.8,99.1,152.5,594.8,591.4,29.5,687.4,592.9,192.2,546.7,43.6,104.1,18.7,603.0,208.9,605.6,170.2,126.8,141.7,623.7,169.3,573.6,575.8,197.4,106.4,664.0,113.1,191.4,609.7,464.8,570.2,75.7,531.8,128.1,585.3,181.2,573.3,597.2,561.6,132.3,657.6,119.7,535.3,608.8
AR,475.9,428.5,0.0,524.8,203.6,517.0,258.3,573.9,522.9,608.0,172.8,543.8,145.7,292.7,284.1,550.9,432.7,485.4,77.5,247.8,381.1,434.2,534.6,482.1,169.1,170.9,97.9,471.4,177.3,594.1,387.1,243.4,155.5,228.9,40.8,251.0,465.7,225.9,108.0,544.0,184.7,326.4,507.7,630.3,669.4,367.6,332.5,505.2,147.5,85.6,651.6,335.5,391.7,116.9,388.2,205.4,527.7,581.1,247.8,83.8,458.1,325.3,219.4,591.4,91.4,477.9,450.9,451.5,133.5,637.5,41.3,598.8,422.7,524.0,154.2,391.2,190.4,192.6,307.6,488.7,183.2,386.7,356.7,236.2,225.0,107.7,458.0,224.2,416.1,52.0,342.2,225.7,68.2,182.8,297.0,144.8,502.0,182.1,97.8
AY,245.9,206.9,691.0,0.0,672.6,290.8,722.5,262.8,163.5,216.6,636.9,40.2,568.9,761.7,297.2,635.7,134.7,193.0,643.1,548.5,250.9,321.9,31.0,100.6,584.3,594.1,660.0,229.0,600.5,283.0,257.0,692.1,653.9,697.9,665.3,586.3,136.5,485.7,714.5,63.0,507.5,254.8,281.5,241.1,280.2,247.0,199.2,194.1,626.2,679.3,301.8,328.1,287.5,681.9,299.4,664.3,216.6,154.9,690.3,686.9,228.1,782.9,688.4,247.0,642.2,264.3,152.9,187.6,698.5,211.3,701.1,172.6,278.8,111.8,719.2,202.4,669.1,671.3,349.4,129.3,759.5,265.1,224.5,705.2,560.3,665.7,78.5,627.3,161.2,680.8,333.2,668.8,692.7,657.1,284.3,753.1,142.6,630.8,704.3
BB,488.5,441.1,193.3,537.4,0.0,529.6,155.5,586.5,535.5,618.3,170.8,556.4,295.5,199.1,296.7,563.5,445.3,498.0,212.2,260.4,393.7,451.9,547.2,494.7,328.9,320.7,232.6,484.0,327.1,606.7,412.9,186.4,290.2,25.2,202.6,263.6,478.3,346.3,533.6,556.6,197.3,345.8,520.3,642.9,682.0,380.2,345.1,517.8,160.1,164.2,664.2,393.7,404.3,201.7,418.7,107.8,540.3,593.7,150.2,184.7,470.7,220.3,125.8,604.0,179.2,490.5,463.5,464.1,241.7,650.1,234.7,611.4,435.3,536.6,225.7,403.8,203.0,205.2,320.2,501.3,254.7,399.3,369.3,142.6,240.1,224.4,470.6,126.6,428.7,134.1,354.8,128.1,242.8,94.5,309.6,306.6,514.6,125.1,259.6
BL,63.0,15.6,615.2,111.9,596.8,0.0,642.3,161.0,142.3,216.8,561.1,130.9,493.1,685.9,164.9,559.9,103.3,54.5,566.7,472.7,118.6,141.5,121.7,101.5,516.5,518.3,584.2,58.5,524.7,181.2,124.1,616.3,578.1,622.1,589.5,510.5,52.5,419.2,691.2,131.1,431.7,122.5,98.6,241.4,280.5,81.6,166.5,92.3,550.4,603.5,262.7,195.8,155.2,606.1,161.4,588.5,114.8,168.2,582.9,617.4,45.2,725.2,612.6,207.9,562.6,59.3,105.8,34.4,622.7,224.6,625.3,185.9,146.5,120.0,643.4,171.0,593.3,595.5,217.1,108.1,672.4,124.2,193.1,629.4,484.5,589.9,77.4,559.3,129.8,602.7,200.9,593.0,616.9,581.3,152.0,675.5,121.4,555.0,648.3
CE,570.7,523.3,182.7,619.6,193.6,611.8,0.0,664.3,617.7,700.5,263.2,634.2,225.8,240.4,378.9,641.3,523.1,580.2,89.3,338.2,471.5,524.6,625.0,576.9,259.2,251.0,104.0,561.8,257.4,688.9,481.9,264.2,146.0,223.3,137.4,345.8,560.5,424.1,468.4,634.4,275.1,416.8,602.5,720.7,764.2,497.8,424.2,600.0,242.3,96.7,742.0,425.9,482.1,41.7,483.0,185.6,618.1,675.9,232.4,207.9,552.9,258.3,162.7,681.8,123.0,568.3,545.7,537.7,81.7,732.3,177.6,689.2,537.3,618.8,65.7,481.6,280.8,283.0,433.4,579.1,94.7,477.1,432.7,179.5,322.3,137.8,552.8,208.8,510.9,129.5,432.6,208.1,169.2,163.0,387.4,225.2,592.4,209.3,200.6
CF,145.4,98.0,677.6,194.3,659.2,190.3,704.7,0.0,153.7,268.0,623.5,226.1,555.5,748.3,227.3,622.3,114.7,117.1,629.7,535.1,181.0,252.0,216.9,255.9,570.9,580.7,646.6,140.9,587.1,39.9,187.1,678.7,640.5,684.5,651.9,572.9,63.9,472.3,753.6,240.6,494.1,184.9,181.0,292.5,331.6,177.1,179.2,187.5,612.8,665.9,353.2,258.2,217.6,668.5,229.5,650.9,210.0,206.3,676.9,673.5,127.6,769.5,675.0,298.4,628.8,141.7,117.2,116.8,685.1,262.7,687.7,224.0,208.9,154.8,705.8,182.4,655.7,657.9,279.5,119.5,746.1,195.2,204.5,691.8,546.9,652.3,88.8,613.9,141.2,667.4,263.3,655.4,679.3,643.7,214.4,739.7,132.8,617.4,690.9
CI,222.9,175.5,692.6,224.0,674.2,267.8,724.1,312.1,0.0,267.4,638.5,264.3,570.5,763.3,298.8,637.3,136.3,194.6,644.1,550.1,252.5,275.4,255.1,110.8,609.0,595.7,664.5,218.4,602.1,332.3,258.6,693.7,655.5,699.5,666.9,587.9,138.1,496.6,768.6,238.5,509.1,256.4,258.5,290.4,329.5,248.6,200.8,243.4,627.8,680.9,351.1,329.7,289.1,683.5,293.0,665.9,265.9,204.2,691.9,694.8,205.1,784.5,690.0,296.3,640.0,219.2,154.5,194.3,700.1,260.6,702.7,221.9,280.4,152.7,720.8,204.0,670.7,672.9,315.6,130.9,749.8,266.7,226.1,706.8,561.9,667.3,80.1,636.7,162.8,680.1,338.7,668.2,707.1,658.7,285.9,752.9,34.3,632.4,705.9
CJ,246.5,207.5,792.0,175.3,775.5,291.4,819.1,263.4,264.5,0.0,737.9,215.6,672.2,864.6,352.4,695.4,237.6,260.4,746.4,651.4,306.1,329.0,206.4,154.9,705.2,697.4,763.3,229.6,703.4,283.6,312.0,795.0,754.9,800.8,768.6,689.6,239.4,596.0,815.5,189.8,608.5,310.0,282.1,24.1,63.2,302.2,302.5,194.7,729.5,782.2,87.9,383.3,343.1,784.8,355.0,767.2,216.8,70.4,793.6,796.1,228.7,903.9,791.3,123.8,745.5,264.9,256.2,187.8,801.4,73.0,804.0,55.1,334.0,215.1,820.2,305.3,770.1,774.2,404.6,232.6,849.2,320.3,327.8,808.5,665.7,769.0,181.4,730.6,262.2,781.8,388.8,772.1,796.0,760.4,339.9,856.4,245.5,734.1,807.6
