from_stop,AC,BU,DH,DW,EH,FB,GB,GL,GQ,GV,GX,HI,HS,HW,HY,IW,JF,KW,LO,ME,OE,OK,OO,PI,PK,QB,RL,RU,SY,TS,TV,UH,UO,UZ,VL,VW,XC,XW,XY,YK,YP,YU,ZL
AC,0.0,94.0,264.0,218.1,96.6,74.9,158.7,91.8,98.5,291.5,161.9,142.9,196.3,118.8,73.5,205.7,221.4,199.5,312.9,163.4,267.2,138.1,133.1,161.6,71.7,34.5,248.8,229.8,315.2,119.8,277.1,160.1,102.9,138.6,201.1,230.2,138.6,146.2,183.8,112.9,318.7,946.8,117.5
BU,193.2,0.0,354.5,297.4,218.1,267.5,283.4,176.7,300.7,216.6,335.7,211.4,339.0,304.2,18.7,339.3,191.9,255.4,274.5,233.2,237.7,256.5,78.4,263.6,265.0,227.8,373.5,302.3,276.8,16.8,293.5,302.8,0.0,256.7,325.8,293.8,256.7,91.5,308.5,315.1,280.3,908.4,202.1
DH,247.7,203.9,0.0,162.8,81.5,166.7,87.7,222.3,199.9,165.0,140.0,115.5,143.3,108.5,205.9,143.6,140.3,78.9,222.9,144.9,186.1,155.4,265.6,49.9,310.6,273.4,177.8,185.7,225.2,220.8,97.8,107.1,203.9,102.1,130.1,177.2,102.1,278.7,112.8,122.0,228.7,856.8,90.1
DW,271.1,258.7,54.7,0.0,137.4,222.6,143.6,254.6,256.8,160.9,176.1,171.4,198.2,163.4,260.7,198.5,195.2,133.8,110.3,199.7,144.5,97.7,321.5,104.8,341.9,305.7,214.6,144.4,112.6,277.9,154.7,163.0,259.8,159.2,186.0,131.1,159.2,333.5,170.2,176.9,116.1,848.6,154.6
EH,298.8,122.3,296.2,239.1,0.0,85.1,225.1,282.3,108.4,158.3,258.6,46.2,280.7,245.9,124.3,271.8,133.6,101.4,216.2,75.6,172.8,121.3,180.0,105.8,386.7,333.4,315.2,244.0,218.5,139.4,235.2,244.5,122.3,50.8,267.5,237.0,50.8,197.1,251.7,259.4,222.0,850.1,29.4
FB,222.5,36.4,391.7,336.9,255.3,0.0,320.6,197.1,320.4,290.3,353.4,248.6,376.2,340.7,38.4,375.8,228.4,292.6,311.7,269.7,274.9,293.7,98.8,300.8,300.8,248.2,410.7,345.1,314.0,54.0,330.7,346.0,37.1,293.2,363.0,331.0,293.2,111.2,345.7,354.9,317.5,945.6,239.3
GB,151.0,254.0,180.3,123.2,247.7,225.3,0.0,134.5,248.6,345.4,217.1,294.0,103.7,220.0,233.5,46.6,320.7,221.3,234.8,323.4,263.4,272.7,289.1,225.7,238.9,185.6,90.0,146.1,237.1,271.1,193.4,218.6,254.0,282.5,42.3,139.1,282.5,306.2,26.5,233.5,240.6,947.9,277.2
GL,16.4,119.4,289.4,232.3,113.1,90.7,175.2,0.0,114.0,271.5,168.5,159.4,212.8,144.2,98.9,221.9,246.8,178.0,329.4,188.8,286.0,169.3,154.5,182.4,104.3,51.0,265.3,261.5,331.7,136.5,302.5,176.6,119.4,164.0,217.6,248.2,164.0,171.6,201.8,138.3,335.2,963.3,142.6
GQ,273.7,80.4,364.0,306.9,227.6,312.8,292.9,257.2,0.0,226.1,326.4,220.9,348.5,313.7,99.2,348.8,201.4,264.9,284.0,242.7,247.2,320.4,158.9,273.1,361.6,308.3,383.0,311.8,286.3,70.7,303.0,319.0,80.4,40.5,335.3,303.3,40.5,172.0,318.0,327.2,289.8,917.9,200.6
GV,218.6,176.2,257.0,179.1,126.6,226.3,124.8,237.4,223.0,0.0,136.3,101.9,180.4,123.6,217.0,194.6,154.7,78.8,200.8,163.8,164.0,192.5,291.2,105.0,290.4,288.5,192.9,256.9,203.1,196.3,132.9,128.9,198.2,171.7,167.2,78.6,135.2,304.3,165.3,137.1,206.6,834.7,117.6
