from_stop,AF,AI,AK,AR,BC,BJ,BK,BP,BW,BZ,CG,CV,DL,DR,DY,EB,FB,FF,FG,FJ,HK,HU,HW,IF,IP,IS,JL,JS,KC,KG,KI,KO,KV,LB,LM,LP,LV,NO,NQ,NY,OL,PO,QA,QF,QM,QR,QU,RY,SC,SE,SM,SP,TB,TC,TG,TU,UG,UI,UN,UP,UX,VT,WA,WF,XF,XG,XK,XQ,YR,ZO,ZS,ZW,ZY
AF,0.0,102.4,242.5,139.4,371.8,262.5,13.1,274.6,247.7,172.6,250.2,257.7,263.0,224.9,2309.7,356.5,226.6,325.1,189.0,200.6,93.6,124.8,278.4,288.6,270.7,226.6,161.8,182.4,305.6,100.7,238.3,83.9,257.1,291.8,340.5,172.9,354.3,124.9,222.9,351.7,110.8,275.5,181.1,68.6,388.2,215.1,272.4,260.1,98.2,269.2,384.7,122.3,92.6,293.5,336.6,285.9,292.1,397.9,314.7,99.7,97.2,336.5,90.0,377.0,227.6,263.3,283.8,103.6,288.0,323.5,255.3,315.6,228.1
AI,77.9,0.0,273.2,101.7,402.5,201.5,83.6,354.1,275.7,227.6,171.9,288.4,293.7,255.6,2254.0,241.0,304.6,350.2,151.3,144.9,55.4,144.3,222.7,178.5,173.0,304.6,214.3,213.1,336.3,138.2,275.0,65.1,293.8,230.8,370.4,250.9,273.1,177.4,167.2,382.4,55.1,327.1,211.8,121.1,306.5,251.5,216.7,316.8,157.2,299.9,329.0,174.8,36.9,326.7,360.5,365.4,322.8,342.2,345.4,96.5,134.7,367.2,34.3,308.6,258.3,296.6,308.3,156.1,318.7,267.8,312.0,367.2,258.8
AK,361.4,242.7,0.0,190.7,129.5,153.9,367.1,338.7,163.8,384.0,210.9,17.4,74.7,143.7,2294.0,200.8,302.4,140.5,240.3,272.5,317.2,256.5,238.7,224.5,212.0,302.4,254.5,181.9,99.3,241.4,484.3,307.5,503.1,183.2,160.7,384.8,198.6,453.8,257.8,126.0,369.4,478.4,180.6,388.6,167.0,139.6,234.1,134.7,358.9,26.6,272.1,326.6,279.7,117.0,102.3,350.0,49.5,281.8,89.4,350.4,338.8,110.8,277.1,151.3,146.4,458.4,470.1,359.2,132.3,219.0,99.9,540.4,89.8
AR,170.6,153.2,253.3,0.0,382.6,273.3,176.3,295.7,258.5,266.1,292.9,268.5,273.8,235.7,2386.0,367.3,247.7,335.9,301.0,335.1,126.4,65.7,428.5,294.0,281.5,247.7,175.3,193.2,316.4,151.5,331.8,116.7,365.2,302.6,375.2,194.0,365.1,263.0,312.6,362.5,208.7,369.0,191.9,188.7,399.0,225.9,362.1,281.2,218.3,280.0,454.0,135.8,190.5,304.3,347.4,307.0,302.9,467.2,325.5,184.4,148.0,347.3,187.9,387.8,238.4,356.8,377.3,248.8,298.8,470.4,276.4,409.1,238.9
BC,397.7,441.7,132.9,334.3,0.0,284.6,403.4,469.4,294.5,376.6,252.1,130.1,231.1,274.4,2297.0,134.5,433.1,85.7,383.9,265.1,357.2,400.1,189.0,235.1,251.0,433.1,476.0,312.6,71.1,440.0,442.3,366.9,461.1,313.9,105.9,528.4,134.3,465.9,250.4,27.2,362.0,473.4,311.3,381.2,49.4,270.3,167.8,265.4,351.5,116.0,169.0,436.5,402.4,126.7,87.2,480.7,166.3,182.2,74.3,343.0,436.5,41.4,399.8,51.7,277.1,453.4,465.1,351.8,146.1,134.3,230.6,535.4,164.4
BJ,380.0,261.3,128.6,209.3,257.9,0.0,385.7,407.5,182.4,402.6,229.5,143.8,149.1,162.3,2312.6,242.6,371.2,205.6,258.9,291.1,335.8,275.1,303.8,248.5,230.6,371.2,384.7,197.3,191.7,260.0,502.9,326.1,521.7,29.2,225.8,403.4,240.4,472.4,276.4,237.8,388.0,497.0,196.0,407.2,278.8,158.2,275.9,203.5,377.5,155.3,329.3,345.2,298.3,182.1,215.9,418.8,178.2,342.5,200.8,369.0,357.4,222.6,295.7,263.1,165.0,477.0,488.7,377.8,174.1,345.7,198.7,559.0,114.2
BK,13.5,116.0,256.1,131.3,385.4,225.3,0.0,288.2,261.3,184.5,295.7,271.3,276.6,244.3,2295.8,348.8,240.2,344.5,175.1,186.7,51.5,138.4,264.5,296.8,290.1,240.2,167.9,196.0,325.0,120.1,288.5,61.2,321.9,254.6,302.6,186.5,367.9,136.8,209.0,365.3,99.5,281.6,200.5,80.5,413.9,228.7,264.3,273.7,104.3,289.8,376.6,128.4,78.7,307.1,356.0,305.3,322.3,384.0,328.3,91.6,110.8,350.1,76.1,390.6,241.2,318.5,330.2,77.7,304.6,315.4,268.9,321.7,241.7
BP,225.9,280.5,350.8,350.5,429.8,362.2,244.9,0.0,338.0,261.1,358.3,366.0,328.7,315.2,2465.5,464.8,145.8,433.4,400.1,358.2,271.7,272.9,436.0,401.4,383.5,145.8,79.9,323.7,363.6,278.8,326.8,262.0,360.2,391.5,448.8,258.7,462.6,260.2,380.5,409.7,336.0,364.0,322.4,231.7,458.3,305.4,430.0,265.3,261.3,384.5,545.8,121.6,317.8,401.8,394.6,148.6,360.3,555.5,372.7,325.7,275.3,394.5,315.2,435.0,317.9,351.8,372.3,329.6,396.3,481.1,260.5,404.1,336.4
BW,238.5,282.5,325.6,175.1,230.9,239.0,244.2,456.6,0.0,217.4,92.9,340.8,346.1,210.0,2127.4,135.1,413.6,220.3,224.7,105.9,198.0,240.9,116.8,75.9,91.8,413.6,316.8,202.0,222.3,280.8,317.7,207.7,336.5,268.3,154.9,369.2,167.2,306.7,91.2,228.8,202.8,311.8,200.7,222.0,196.1,200.2,110.8,340.5,195.9,352.3,226.6,277.3,243.2,233.4,253.3,467.9,360.8,236.3,231.4,183.8,277.3,243.0,240.6,202.7,212.7,291.8,303.5,192.6,198.1,161.9,335.7,373.8,311.2
BZ,164.8,226.5,372.1,219.9,342.6,319.7,156.3,312.8,251.2,0.0,201.3,387.3,392.6,290.7,2259.8,265.2,269.8,332.0,269.5,150.7,184.8,248.9,228.5,184.3,200.2,269.8,173.0,246.8,334.0,224.8,65.6,208.0,99.0,349.0,288.5,291.4,278.9,162.9,173.0,340.5,184.1,102.8,245.5,134.4,312.3,280.9,222.5,369.3,164.0,402.0,338.3,133.5,212.0,345.1,365.0,324.1,421.7,348.0,343.1,219.1,221.3,354.7,209.4,314.4,293.4,90.6,111.1,121.4,312.5,273.6,364.5,142.9,357.7
CG,192.8,154.2,232.6,98.5,337.8,146.0,170.5,394.3,39.9,211.5,0.0,247.8,253.1,169.3,2180.1,175.1,350.0,291.1,151.8,119.4,192.1,168.0,169.5,32.9,1.1,350.0,277.6,93.4,295.7,152.9,296.6,201.8,315.4,175.3,216.0,296.3,219.9,264.3,104.7,317.7,216.3,351.8,124.1,216.1,240.6,111.5,226.6,247.5,209.4,262.5,263.1,262.4,191.2,338.4,326.7,433.6,334.5,289.0,304.8,177.9,250.3,302.5,188.6,255.4,172.0,344.5,343.5,186.7,330.4,201.9,242.7,354.5,218.2
