from_stop,AC,AG,AI,AV,AZ,BB,BF,BJ,BP,BQ,CL,CP,CQ,CR,CT,CU,CZ,DI,DL,DZ,EB,EE,EI,EJ,EN,EP,ET,FC,FJ,FL,FP,FW,GB,GE,GG,GN,GO,GS,GT,HI,HJ,HV,IA,IB,ID,IE,IG,II,IK,IL,IR,IS,IW,JA,JC,JG,JI,JK,JP,KE,KI,KK,KM,KQ,KX,KY,LB,LG,LI,LJ,LY,MF,MP,MS,MT,MZ,NB,ND,NE,NF,NM,NN,NY,NZ,OA,OD,OE,OI,OK,ON,OT,OW,OZ,PA,PD,PJ,PN,PO,PQ,PR,PU,PV,PW,QD,QP,QR,QV,RA,RC,RF,RK,RO,RQ,RR,RS,RV,SD,SI,SL,SM,SN,TA,TC,TJ,TL,TV,UD,UE,UF,UJ,UL,UM,UN,UQ,UZ,VA,VD,VE,VG,VQ,VV,WC,WD,WE,WL,WT,XA,XJ,XL,XP,XT,YA,YL,YM,YN,YT,YV,ZO,ZW,ZX
AC,0.0,634.3,672.1,332.5,47.2,149.1,786.8,698.9,163.3,711.8,698.2,257.6,746.7,257.3,224.0,203.1,319.2,782.8,136.0,750.2,212.8,779.2,241.4,243.3,721.6,252.2,220.3,234.8,138.9,550.2,553.1,700.2,174.7,241.6,164.4,136.5,557.3,485.9,647.4,321.1,100.5,220.8,760.2,656.8,738.7,791.1,578.1,159.2,437.7,44.7,815.7,446.3,200.3,650.2,132.7,217.8,494.7,683.9,762.0,187.7,343.9,813.1,879.9,276.0,204.7,788.1,267.2,222.3,668.4,390.5,313.4,594.1,675.3,235.9,253.7,627.8,537.1,524.2,507.1,211.2,407.3,744.7,741.2,123.9,231.9,160.7,563.9,489.6,605.7,173.0,751.1,652.3,487.7,626.2,775.7,395.2,155.5,671.0,106.3,194.5,242.2,618.8,688.8,226.0,193.1,639.3,754.9,200.6,645.3,239.3,736.1,152.9,217.8,313.4,792.1,777.9,799.3,229.6,1976.6,166.9,637.4,37.8,221.5,612.6,92.2,620.5,359.7,207.9,149.6,331.3,241.0,643.0,772.6,679.2,163.0,642.9,737.4,562.2,716.1,377.0,772.2,750.7,196.9,204.6,758.2,241.2,185.6,731.4,201.1,433.7,718.2,86.8,214.6,169.6,663.3,206.0,194.3,294.1,826.7,431.1
AG,644.3,0.0,119.9,374.4,691.6,616.8,353.2,270.8,631.0,213.8,277.2,704.6,313.1,531.7,670.9,681.6,452.3,334.0,570.1,316.6,599.1,345.6,610.2,583.1,288.0,538.7,678.8,568.6,626.6,105.9,76.0,266.6,642.4,511.8,735.6,712.0,242.0,307.7,83.1,507.4,744.9,609.6,326.6,180.7,305.1,357.5,184.7,528.0,477.8,689.1,385.7,282.3,569.1,253.9,673.4,622.0,241.2,250.3,328.4,556.5,439.8,379.5,436.6,668.0,647.9,284.1,521.1,597.7,118.2,338.0,446.5,142.7,247.2,591.2,645.7,63.4,220.0,229.5,283.6,580.0,394.7,311.1,307.6,587.8,554.6,628.1,236.4,313.3,41.3,615.8,317.5,102.1,313.0,116.6,342.1,367.2,687.8,237.4,594.0,584.3,578.2,148.4,255.2,623.9,623.2,191.6,321.3,699.2,80.9,636.1,302.5,663.5,622.0,476.5,301.2,344.3,365.7,619.2,1897.4,535.7,158.5,643.5,416.7,179.0,663.4,68.3,439.4,596.7,637.3,453.3,629.8,90.8,339.0,245.6,483.4,102.9,303.8,168.8,232.8,445.8,323.4,317.1,768.1,594.6,324.6,495.1,638.8,297.8,569.9,349.0,284.6,731.2,634.6,476.8,229.7,584.1,588.9,504.8,396.7,346.4
AI,687.9,128.3,0.0,418.0,735.2,651.5,335.6,229.7,674.6,254.2,236.1,748.2,295.5,575.3,714.5,725.2,495.9,315.6,613.7,299.0,642.7,328.0,653.8,626.7,270.4,582.3,722.4,612.2,670.2,149.5,119.6,249.0,686.0,555.4,779.2,755.6,285.6,351.3,90.2,551.0,788.5,653.2,309.0,139.6,287.5,339.9,224.4,571.6,521.4,732.7,368.1,325.9,612.7,212.8,717.0,665.6,284.8,232.7,310.8,600.1,483.4,361.9,419.0,711.6,691.5,264.8,564.7,641.3,192.6,381.6,490.1,186.3,206.1,634.8,689.3,152.0,263.6,273.1,327.2,623.6,438.3,293.5,290.0,635.2,592.6,671.7,280.0,369.2,129.9,659.4,299.9,176.5,356.6,123.7,324.5,410.8,731.4,219.8,637.6,627.9,621.8,107.3,237.6,667.5,666.8,150.5,303.7,742.8,169.5,674.9,284.9,707.1,665.6,520.1,283.6,326.1,348.1,662.8,1878.1,579.3,117.4,687.1,460.3,161.4,707.0,58.7,483.0,640.3,680.9,496.9,673.4,25.6,321.4,228.0,527.0,110.0,286.2,212.4,196.7,489.4,305.0,299.5,811.7,637.6,307.0,538.7,682.4,280.2,613.5,392.6,267.0,774.8,680.5,520.4,212.1,627.7,632.5,548.4,379.1,390.0
AV,337.4,361.6,399.4,0.0,384.7,309.9,518.1,444.9,324.1,443.1,419.1,438.4,478.0,149.6,325.1,299.5,62.9,450.2,263.2,487.9,294.7,477.6,303.3,237.3,452.9,156.6,296.7,316.7,319.7,277.5,280.4,431.5,335.5,188.3,398.0,366.2,224.7,153.3,378.7,132.9,438.0,302.7,491.5,388.1,470.0,522.4,309.4,221.1,132.0,382.2,525.2,113.7,220.0,381.5,327.6,239.9,162.1,415.2,493.3,249.6,65.3,545.0,589.4,322.2,302.1,449.8,150.2,251.9,395.7,84.8,57.1,321.4,406.6,340.4,299.9,355.1,204.5,191.6,174.5,218.3,101.6,476.0,472.5,284.7,172.5,330.3,231.3,157.0,333.0,318.0,482.4,379.6,155.1,357.5,507.0,62.6,342.0,402.3,287.1,336.6,196.1,350.1,420.1,373.1,279.4,370.6,486.2,353.4,372.6,285.5,467.4,333.7,239.9,102.0,447.8,509.2,530.6,238.6,1976.4,228.8,368.7,336.6,109.8,343.9,356.5,347.8,150.6,289.8,330.4,75.0,322.9,370.3,503.9,410.5,176.5,374.2,491.7,293.5,357.7,71.3,439.6,482.0,430.5,248.8,489.5,188.2,341.0,462.7,219.3,101.1,462.8,424.3,288.8,169.9,394.6,202.0,282.0,145.8,536.2,98.5
AZ,66.0,700.4,738.2,398.6,0.0,215.2,852.9,770.8,229.4,846.5,765.1,323.7,872.7,323.4,219.8,269.2,385.3,800.1,202.1,819.8,278.9,827.5,307.5,304.5,787.7,318.3,315.0,273.8,205.0,616.3,619.2,813.7,240.8,307.7,236.4,124.1,615.1,552.0,713.5,387.2,88.1,286.9,826.3,722.9,862.1,857.2,644.2,225.3,516.2,32.3,803.3,541.7,266.4,753.9,166.0,283.9,560.8,750.0,828.1,253.8,410.0,894.9,867.5,306.8,192.3,775.7,333.3,288.2,734.5,456.6,379.5,660.2,771.2,296.4,284.5,693.9,603.2,582.0,579.3,277.3,473.4,810.8,807.3,190.0,298.0,226.8,621.7,591.0,671.8,239.1,817.2,718.4,557.3,692.3,841.8,461.3,143.1,805.7,172.4,260.6,308.3,684.9,754.9,292.1,259.2,705.4,821.0,188.2,711.4,270.1,802.2,219.0,283.9,379.5,779.7,866.6,865.4,295.7,1964.2,233.0,703.5,103.9,287.6,678.7,158.3,686.6,425.8,274.0,215.7,397.4,307.1,709.1,870.6,813.9,229.1,709.0,823.6,628.3,703.7,443.1,789.5,840.3,268.9,244.6,824.3,307.3,251.7,797.5,267.2,499.8,794.7,74.4,284.4,235.7,729.4,272.1,260.4,418.5,814.3,497.2
BB,140.3,618.0,649.2,315.2,187.6,0.0,770.5,738.2,14.2,691.3,739.6,223.3,730.4,162.8,219.0,127.5,315.7,765.5,119.7,787.2,196.5,792.9,226.8,148.8,705.3,157.7,124.7,199.0,104.6,533.9,536.8,683.9,25.6,227.0,231.6,251.8,540.0,468.6,631.1,226.6,240.9,204.5,743.9,640.5,722.4,774.8,557.9,172.8,373.8,185.1,770.7,429.0,131.7,721.3,199.9,123.3,475.6,667.6,745.7,173.1,249.4,796.8,834.9,216.1,196.0,743.1,210.4,127.8,652.1,353.0,309.9,577.8,659.0,201.6,193.8,611.5,513.2,506.9,489.8,196.6,376.4,728.4,724.9,25.6,144.8,119.8,546.6,460.0,589.4,138.7,734.8,636.0,470.4,609.9,759.4,377.9,235.9,654.7,72.0,160.2,147.7,602.5,672.5,191.7,98.6,616.4,738.6,247.3,649.1,184.2,719.8,118.6,123.3,242.6,747.1,830.7,783.0,135.1,2098.2,165.0,621.1,139.5,205.2,596.3,159.4,604.2,343.4,191.6,115.3,327.8,192.1,626.7,756.3,656.3,146.7,626.6,784.4,545.9,666.8,353.1,756.9,734.4,264.1,142.1,741.9,203.5,151.3,715.1,131.0,406.2,762.1,227.2,130.4,153.3,647.0,111.5,178.0,276.1,781.7,413.8
BF,793.6,352.9,350.1,523.7,840.9,766.1,0.0,219.9,780.3,355.7,297.7,853.9,76.3,681.0,820.2,830.9,601.6,201.6,719.4,184.2,748.4,166.1,759.5,732.4,175.6,688.0,828.1,717.9,775.9,327.9,330.8,134.2,791.7,661.1,884.9,861.3,395.3,457.0,312.2,656.7,894.2,758.9,167.1,276.3,125.6,198.0,274.9,677.3,627.1,838.4,253.3,431.6,718.4,186.8,822.7,771.3,392.3,137.9,168.9,705.8,589.1,200.0,163.4,817.3,797.2,254.3,670.4,747.0,446.1,487.3,595.8,371.8,274.8,740.5,795.0,405.5,369.3,382.8,432.9,729.3,544.0,152.2,50.1,740.9,703.9,777.4,389.7,474.9,383.4,765.1,158.0,430.0,462.3,291.0,182.6,516.5,837.1,227.6,743.3,733.6,727.5,238.3,103.8,773.2,772.5,258.8,161.8,848.5,423.0,780.6,160.0,812.8,771.3,625.8,168.8,164.8,101.7,768.5,1819.9,685.0,256.9,792.8,566.0,181.8,812.7,310.0,588.7,746.0,786.6,602.6,779.1,321.0,159.5,235.8,632.7,307.7,171.4,259.0,260.4,595.1,191.0,155.9,917.4,743.9,107.8,644.4,788.1,94.0,719.2,498.3,152.2,880.5,783.9,626.1,194.6,733.4,738.2,654.1,264.3,495.7
BJ,665.1,224.4,221.6,395.2,712.4,637.6,214.9,0.0,651.8,121.9,169.2,725.4,174.8,552.5,691.7,702.4,473.1,152.5,590.9,190.2,619.9,179.9,631.0,603.9,149.7,559.5,699.6,589.4,647.4,199.4,202.3,128.3,663.2,532.6,756.4,732.8,266.8,328.5,183.7,528.2,765.7,630.4,188.3,147.8,166.8,219.2,146.4,548.8,498.6,709.9,222.2,303.1,589.9,29.3,694.2,642.8,263.8,112.0,190.1,577.3,460.6,247.3,298.3,688.8,668.7,100.6,541.9,618.5,317.6,358.8,467.3,243.3,146.3,612.0,666.5,223.9,240.8,254.3,304.4,600.8,415.5,172.8,169.3,612.4,575.4,648.9,261.2,346.4,236.1,636.6,179.2,301.5,333.8,162.5,203.8,388.0,708.6,81.1,614.8,605.1,599.0,109.8,116.9,644.7,644.0,130.3,183.0,720.0,241.4,652.1,164.2,684.3,642.8,497.3,150.1,206.0,227.4,640.0,1713.9,556.5,128.4,664.3,437.5,53.3,684.2,181.5,460.2,617.5,658.1,474.1,650.6,192.5,200.7,89.3,504.2,179.2,194.0,130.5,131.9,466.6,141.9,178.8,788.9,615.4,186.3,515.9,659.6,159.5,590.7,369.8,146.3,752.0,655.4,497.6,91.4,604.9,609.7,525.6,233.2,367.2
BP,150.7,628.4,666.2,325.6,198.0,16.9,780.9,748.6,0.0,701.7,742.9,233.7,740.8,173.2,229.4,137.9,326.1,775.9,130.1,797.6,206.9,803.3,237.2,159.2,715.7,168.1,135.1,209.4,115.0,544.3,547.2,694.3,11.4,237.4,242.0,262.2,550.4,479.0,641.5,237.0,251.3,214.9,754.3,650.9,732.8,785.2,568.3,183.2,384.2,195.5,781.1,439.4,142.1,731.7,210.3,133.7,486.0,678.0,756.1,183.5,259.8,807.2,845.3,226.5,206.4,753.5,220.8,138.2,662.5,370.0,320.3,588.2,669.4,212.0,204.2,621.9,530.2,517.3,500.2,207.0,386.8,738.8,735.3,36.0,147.8,136.8,557.0,481.1,599.8,149.1,745.2,646.4,480.8,620.3,769.8,388.3,246.3,665.1,82.4,170.6,158.1,612.9,682.9,202.1,109.0,633.4,749.0,257.7,659.5,194.6,730.2,129.0,133.7,241.0,757.5,841.1,793.4,145.5,2108.6,175.4,631.5,149.9,215.6,606.7,169.8,614.6,353.8,202.0,125.7,338.2,202.5,637.1,766.7,673.3,157.1,637.0,801.4,556.3,681.5,370.1,765.3,744.8,274.5,152.5,752.3,213.9,161.7,725.5,141.4,416.6,772.5,237.6,138.5,163.7,657.4,121.9,188.4,286.5,792.1,424.2
BQ,699.7,209.5,259.7,429.8,747.0,672.2,229.5,108.0,686.4,0.0,210.9,760.0,189.4,587.1,726.3,737.0,507.7,194.3,625.5,192.9,654.5,221.7,665.6,638.5,164.3,594.1,734.2,624.0,682.0,234.0,236.9,142.9,697.8,567.2,791.0,767.4,321.8,363.1,222.9,562.8,800.3,665.0,202.9,182.4,181.4,233.8,177.1,583.4,533.2,744.5,262.0,337.7,624.5,74.9,728.8,677.4,296.6,126.6,204.7,611.9,495.2,255.8,312.9,723.4,703.3,142.4,576.5,653.1,301.3,393.4,501.9,277.9,180.9,646.6,701.1,193.7,275.4,309.3,339.0,635.4,450.1,187.4,183.9,647.0,610.0,683.5,316.2,368.7,205.9,671.2,193.8,285.2,368.4,197.1,218.4,422.6,743.2,59.5,649.4,639.7,633.6,144.4,131.5,679.3,678.6,164.9,197.6,754.6,231.3,691.5,178.8,718.9,677.4,524.7,191.9,225.0,242.0,674.6,1755.7,591.1,163.0,698.9,472.1,87.9,718.8,208.1,494.8,652.1,692.7,508.7,685.2,230.6,215.3,52.6,538.8,213.8,180.1,165.1,171.5,501.2,185.7,193.4,823.5,649.4,200.9,550.5,694.2,174.1,625.3,404.4,160.9,786.6,690.0,532.2,106.0,639.5,644.3,560.2,273.0,401.8
