from_stop,AI,AQ,AR,AY,BA,BE,BJ,BK,BM,BR,BS,BW,BX,CB,CE,CL,CM,CO,CR,CV,CW,DA,DE,DG,DL,DT,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FY,FZ,GB,GL,GN,GS,GW,GX,HJ,HL,HN,HS,HU,HY,IA,IE,IF,IR,IS,IT,IV,IY,JI,JO,JR,JT,JU,JW,KH,KT,LB,LC,LE,LF,LV,ML,MN,MS,MV,MW,MY,ND,NE,NG,NN,NO,NR,OG,OH,OM,OW,PF,PH,PK,PP,QA,QT,QU,QW,QX,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SS,SU,SV,SY,TB,TC,TI,TK,TL,TN,TP,TR,UE,UG,UH,UJ,UL,UO,UX,VF,VH,VI,VK,VM,VW,VX,VZ,WD,WI,WJ,WL,WO,WS,WX,XG,XH,XI,XJ,XP,XY,YJ,YO,YT,ZH,ZI,ZK,ZN
AI,0.0,647.0,139.5,177.5,83.2,480.5,529.8,125.2,161.3,272.2,107.3,313.8,528.1,727.3,722.5,690.8,686.8,363.8,667.5,128.3,643.3,281.6,233.5,39.4,305.9,679.9,164.3,231.7,282.1,448.2,308.3,287.8,220.3,15.8,209.3,531.4,577.8,189.3,602.3,154.4,224.4,547.0,615.4,273.2,170.0,58.3,606.0,562.2,577.9,612.6,142.0,607.7,252.3,651.5,598.6,323.8,732.0,594.4,210.4,188.8,284.9,510.5,743.4,538.0,626.3,479.2,377.5,305.5,536.6,659.0,553.4,303.9,73.5,246.2,221.6,293.4,387.1,650.0,308.3,164.4,175.6,593.9,258.6,519.1,276.9,338.6,209.5,69.2,36.5,685.5,159.0,301.3,96.4,308.7,563.3,684.9,149.0,505.3,153.4,271.7,1940.4,224.3,527.0,69.1,263.5,566.7,120.3,515.0,298.1,451.0,714.5,574.4,551.7,308.7,177.9,766.0,233.6,348.5,229.1,82.1,164.7,672.8,731.8,297.8,182.6,212.4,187.5,246.4,675.6,89.4,636.6,603.5,695.4,68.2,275.1,748.6,206.1,685.0,112.5,201.1,638.6,54.4,109.4,516.0,291.6,97.4,743.7,53.6,687.5,372.3,235.5,91.8
AQ,660.7,0.0,800.3,707.8,744.0,368.7,218.3,722.4,691.6,820.5,766.6,408.1,231.5,140.8,175.0,40.5,143.0,343.8,94.1,546.4,128.7,414.7,604.1,700.2,846.5,149.0,668.8,410.0,450.8,245.1,848.9,828.4,432.7,676.6,490.4,280.1,75.3,487.3,150.3,812.3,745.6,197.7,151.2,785.5,575.3,719.1,452.6,363.5,224.5,135.6,732.2,141.3,792.9,65.0,188.8,836.1,145.5,59.2,581.0,700.6,825.5,311.8,143.1,153.2,97.1,276.1,303.9,427.9,263.5,153.9,236.8,816.2,609.0,787.5,757.8,834.0,348.8,144.9,848.9,676.7,685.3,184.1,471.0,229.0,474.6,853.2,466.6,685.1,626.3,143.0,723.6,813.6,657.9,849.3,157.7,155.1,643.2,306.6,769.4,812.3,1774.6,772.6,230.4,729.9,804.1,260.5,781.1,263.7,810.4,231.7,128.0,375.7,300.4,849.3,716.0,100.5,754.8,456.9,441.5,630.2,658.9,86.3,145.3,810.1,723.2,439.4,745.8,784.5,89.1,636.7,10.6,117.6,108.9,686.1,815.7,169.3,764.4,157.4,606.7,579.9,115.6,715.2,619.1,351.4,832.2,704.4,97.8,644.9,101.0,926.7,706.0,655.0
AR,154.6,801.7,0.0,242.8,120.2,635.2,649.4,86.8,226.6,166.8,122.2,489.2,682.8,882.0,801.1,841.1,765.4,518.5,746.1,265.1,766.8,436.3,337.7,144.6,210.8,834.6,229.6,386.4,412.0,602.9,213.2,192.7,350.3,134.3,364.0,686.1,732.5,297.2,722.6,80.2,198.4,646.5,770.1,223.2,324.7,94.6,760.7,716.9,732.6,736.1,223.7,731.2,157.2,806.2,698.1,273.8,886.7,749.1,318.7,168.0,189.8,665.2,822.0,692.7,781.0,633.9,532.2,435.4,691.3,764.5,691.6,253.9,228.2,207.8,107.7,198.3,560.4,755.5,213.2,143.3,330.3,693.4,369.9,638.7,406.8,288.6,317.4,134.5,191.2,764.1,71.4,251.3,161.7,213.6,718.0,808.4,230.3,660.0,76.7,176.6,2026.5,118.9,681.7,83.8,168.4,686.3,20.2,669.7,248.1,605.7,858.9,729.1,706.4,213.6,139.5,920.7,225.4,464.4,341.5,243.2,249.8,827.5,886.5,177.0,132.7,367.1,149.1,208.0,817.5,244.1,791.3,758.2,860.4,133.5,180.0,827.2,167.7,763.6,212.9,355.8,770.5,159.6,264.1,670.7,196.5,162.7,898.4,228.8,842.2,277.2,228.0,202.3
AY,181.3,701.7,251.5,0.0,195.2,539.2,589.6,150.7,98.5,359.1,201.3,453.1,582.8,782.0,841.1,745.5,805.4,482.4,786.1,157.4,712.6,400.2,385.5,171.3,336.6,727.0,121.5,350.3,400.7,502.9,334.1,355.5,338.9,161.0,327.9,586.1,632.5,307.9,717.7,263.5,46.8,665.6,670.1,231.8,274.8,170.3,664.7,620.9,632.6,731.2,166.9,726.3,331.5,706.2,638.6,282.4,786.7,649.1,362.4,316.8,315.6,569.2,784.3,592.7,681.0,533.9,496.1,424.1,595.3,690.7,608.1,262.5,254.9,103.6,296.4,324.1,524.3,681.7,334.1,128.1,222.7,633.9,377.2,600.3,380.8,299.5,328.1,119.8,217.9,805.4,238.2,259.9,92.6,333.7,618.0,739.0,122.6,564.0,265.4,326.0,2099.3,311.2,581.7,181.1,342.7,631.8,232.3,569.7,256.7,505.7,769.2,633.1,606.4,333.7,96.6,820.7,56.0,453.1,347.7,241.0,142.1,727.5,786.5,256.4,261.8,331.0,174.1,103.8,730.3,204.3,691.3,658.2,750.1,120.8,305.8,810.5,192.7,803.6,105.2,305.9,693.3,186.3,156.5,574.7,322.3,139.1,798.4,212.5,742.2,373.0,57.9,145.5
BA,76.3,723.4,118.2,164.5,0.0,556.9,606.2,103.9,148.3,250.9,114.3,410.9,604.5,803.7,791.3,767.2,755.6,440.2,736.3,199.4,719.7,358.0,332.0,66.3,284.6,748.7,143.5,308.1,358.5,524.6,287.0,266.5,296.7,56.0,285.7,607.8,654.2,265.7,675.5,130.2,211.4,636.7,691.8,244.1,246.4,37.0,682.4,638.6,654.3,689.0,145.4,684.1,231.0,727.9,688.3,294.7,808.4,670.8,308.9,216.3,263.6,586.9,812.2,614.4,702.7,555.6,453.9,381.9,613.0,735.4,629.8,274.8,149.9,224.9,191.8,272.1,482.1,726.4,287.0,151.4,252.0,683.6,335.0,595.5,338.6,311.8,285.9,56.2,112.9,755.6,137.7,272.2,83.4,287.4,639.7,761.3,164.6,581.7,132.1,250.4,2016.8,203.0,603.4,47.8,242.2,643.1,99.0,591.4,269.0,527.4,790.9,650.8,628.1,287.4,156.6,842.4,220.6,410.9,305.5,233.4,184.1,749.2,808.2,250.8,161.3,288.8,166.2,225.1,752.0,165.8,713.0,679.9,771.8,55.2,253.8,817.4,184.8,753.8,147.2,277.5,715.0,81.3,185.8,592.4,270.3,84.4,820.1,130.0,763.9,351.0,222.5,124.0
BE,515.6,339.4,655.2,562.7,598.9,0.0,218.5,577.3,546.5,675.4,621.5,263.0,192.1,419.7,453.9,383.2,421.9,198.7,391.0,401.3,350.3,269.6,459.0,555.1,701.4,364.7,523.7,264.9,305.7,142.9,703.8,683.3,287.6,531.5,345.3,121.1,270.2,342.2,348.6,667.2,600.5,296.5,307.8,640.4,430.2,574.0,169.5,125.7,270.3,362.1,587.1,357.2,647.8,343.9,267.5,691.0,424.4,286.8,435.9,555.5,680.4,74.0,422.0,230.4,318.7,173.9,158.8,282.8,100.1,328.4,237.0,671.1,463.9,642.4,612.7,688.9,203.7,319.4,703.8,531.6,540.2,262.8,325.9,229.2,329.5,708.1,321.5,540.0,481.2,421.9,578.5,668.5,512.8,704.2,255.7,376.7,498.1,68.8,624.3,667.2,1912.2,627.5,129.5,584.8,659.0,260.7,636.0,131.4,665.3,145.7,406.9,137.9,141.4,704.2,570.9,414.5,609.7,311.8,296.4,485.1,513.8,365.2,424.2,665.0,578.1,294.3,600.7,639.4,368.0,491.6,329.0,295.9,387.8,541.0,670.6,448.2,619.3,429.7,461.6,434.8,331.0,570.1,474.0,79.5,687.1,559.3,411.8,499.8,379.9,781.6,560.9,509.9
BJ,536.6,226.3,676.2,583.7,619.9,212.6,0.0,598.3,567.5,696.4,642.5,284.2,89.4,306.6,354.7,265.7,319.0,219.7,210.6,422.3,174.2,290.6,480.0,576.1,722.4,259.2,544.7,285.9,289.6,121.0,724.8,613.7,308.6,552.5,366.3,156.0,157.1,363.2,130.0,688.2,621.5,77.9,194.7,661.4,451.2,595.0,327.3,186.0,152.3,143.5,608.1,138.6,668.8,230.8,95.5,712.0,311.3,173.7,456.9,576.5,701.4,134.6,308.9,117.3,205.1,152.0,179.8,303.8,190.6,189.9,42.1,692.1,484.9,663.4,633.7,709.9,224.7,180.9,724.8,552.6,561.2,90.8,346.9,10.6,296.0,729.1,342.5,561.0,502.2,317.7,599.5,689.5,533.8,725.2,142.6,215.8,519.1,140.6,645.3,688.2,1718.0,648.5,88.3,605.8,680.0,36.8,657.0,139.6,686.3,107.6,293.8,198.2,176.3,725.2,591.9,345.3,630.7,346.8,317.4,506.1,534.8,252.1,311.1,686.0,599.1,315.3,621.7,660.4,254.9,512.6,215.9,182.8,274.7,562.0,691.6,335.1,640.3,229.8,482.6,455.8,206.2,591.1,495.0,237.3,708.1,580.3,323.0,520.8,266.8,756.5,581.9,530.9
BK,119.4,722.5,85.9,159.1,85.0,560.0,647.4,0.0,145.1,208.3,75.2,433.3,603.6,802.8,799.1,761.9,763.4,483.3,744.1,178.2,762.8,401.1,339.8,109.4,244.9,755.4,124.3,351.2,401.6,523.7,242.4,216.2,339.8,99.1,328.8,606.9,653.3,295.2,721.8,97.9,111.5,644.5,690.9,140.1,289.5,59.4,685.5,641.7,653.4,732.1,188.5,727.2,180.7,727.0,696.1,190.7,807.5,669.9,316.7,166.0,223.9,590.0,820.0,613.5,701.8,554.7,497.0,425.0,616.1,762.5,628.9,170.8,193.0,120.9,145.6,232.4,506.6,753.5,242.4,56.4,243.5,691.4,367.9,636.7,396.4,205.1,315.4,99.3,156.0,762.1,87.4,168.2,126.5,242.0,638.8,804.4,143.4,584.8,99.8,200.1,2059.9,160.4,602.5,48.6,191.9,684.3,66.7,590.5,165.0,526.5,790.0,653.9,627.2,242.0,52.6,841.5,138.5,468.0,339.5,241.2,162.9,748.3,807.3,164.7,111.0,331.9,62.2,121.1,751.1,208.9,712.1,679.0,770.9,98.3,214.1,825.2,80.8,761.6,126.0,320.6,714.1,124.4,177.3,595.5,230.6,127.5,819.2,173.1,763.0,281.3,141.1,167.1
BM,165.6,686.0,235.8,79.0,179.5,523.5,573.9,159.4,0.0,368.5,185.6,437.4,567.1,766.3,825.4,729.8,789.7,466.7,770.4,141.7,696.9,384.5,369.8,155.6,327.3,711.3,105.8,334.6,385.0,487.2,324.8,346.2,323.2,145.3,312.2,570.4,616.8,292.2,702.0,247.8,125.9,649.9,654.4,222.5,259.1,154.6,649.0,605.2,616.9,715.5,151.2,710.6,348.6,690.5,622.9,273.1,771.0,633.4,346.7,302.5,306.3,553.5,768.6,577.0,665.3,518.2,480.4,408.4,579.6,675.0,592.4,253.2,239.2,182.7,309.4,314.8,508.6,666.0,324.8,113.7,207.0,618.2,361.5,584.6,365.1,290.2,312.4,104.1,202.2,789.7,237.8,250.6,76.9,324.4,602.3,723.3,106.9,548.3,249.7,316.7,2083.6,320.6,566.0,165.4,359.8,616.1,216.6,554.0,247.4,490.0,753.5,617.4,590.7,324.4,175.7,805.0,135.1,437.4,332.0,225.3,126.4,711.8,770.8,247.1,278.9,315.3,182.8,182.9,714.6,188.6,675.6,642.5,734.4,105.1,296.5,794.8,201.4,787.9,89.5,290.2,677.6,170.6,140.8,559.0,313.0,123.4,782.7,196.8,726.5,363.7,137.0,129.8
BR,264.3,825.0,145.5,352.5,229.9,658.5,676.4,193.8,336.3,0.0,194.6,491.8,706.1,905.3,827.8,864.4,792.1,541.8,772.8,372.1,793.5,459.6,364.4,254.3,191.3,857.9,339.3,409.7,438.7,626.2,193.7,173.2,377.0,244.0,394.8,709.4,755.8,323.9,752.5,164.8,305.4,673.2,793.4,182.3,371.4,204.3,784.0,740.2,755.9,762.8,333.4,757.9,137.7,829.5,724.8,337.5,910.3,772.4,345.4,194.7,170.3,688.5,848.7,716.0,804.3,657.2,555.5,462.1,714.9,791.5,718.3,317.9,337.9,314.8,88.2,180.0,565.1,782.2,193.7,250.3,414.0,720.1,396.9,665.4,433.8,309.7,344.1,244.2,274.9,790.8,161.1,315.0,271.4,194.1,741.6,835.4,337.6,683.3,96.2,157.1,2007.0,83.1,705.0,193.5,148.9,713.0,165.8,693.0,211.4,629.0,885.6,752.4,729.7,194.1,246.5,944.0,332.4,505.1,368.2,269.9,356.8,850.8,909.8,157.5,104.7,385.0,256.1,315.0,844.2,327.8,814.9,781.8,887.1,243.2,160.5,853.9,274.7,790.3,319.9,402.2,797.2,229.3,347.8,694.0,177.0,272.4,921.7,255.5,865.5,257.7,335.0,312.0
