from_stop,AE,AH,AI,AM,AO,AQ,AR,AW,BC,BQ,BT,BX,CB,CJ,CT,DN,DP,DQ,DV,EG,EK,EP,EV,FL,FZ,GB,GE,GK,GQ,GR,GU,GZ,HE,HQ,ID,II,IK,IQ,IT,IU,JD,JM,JO,JX,KA,KD,KL,LF,LI,LT,LW,LY,MF,MG,MI,MJ,MK,MT,MU,MV,NC,NG,OI,OP,OQ,OW,PC,PZ,QL,QP,QW,QY,RD,RU,SC,SH,SI,SN,SP,SR,SX,TD,TH,TM,TS,TU,UA,UB,UH,UU,VB,VJ,WA,XA,XQ,XR,XT,YC,YK,YN,YS,YU,ZD,ZP,ZR,ZW,ZX
AE,0.0,2185.4,2286.6,2132.5,2135.1,2031.6,2175.0,2135.1,2134.9,2184.6,2029.7,2095.3,2246.9,2060.5,2236.5,2126.5,2258.0,2070.6,2016.6,1990.4,2126.3,2276.4,2204.9,2025.0,2193.1,2244.1,2191.5,2027.1,2137.9,2162.0,2265.3,2088.9,2126.3,2235.8,2155.5,2207.4,2234.8,2206.0,2079.1,2279.1,2100.7,2054.6,2206.3,2206.8,2300.2,2212.1,2184.2,2268.5,2125.1,2063.9,2139.5,2289.9,2135.8,2152.1,2020.2,2158.9,2030.7,2204.3,2286.0,2213.8,2090.6,2023.3,2135.6,2216.4,2065.5,2190.1,2121.9,2213.8,2171.6,1995.2,2253.5,2233.4,2192.3,2165.6,2169.9,2292.1,2068.3,2267.2,2188.4,2106.6,2240.3,2213.7,2097.2,2198.3,2213.2,2125.4,2208.1,2159.5,2238.1,2028.9,2214.0,2060.6,2056.8,2282.2,2152.2,2231.0,2218.9,2182.7,2242.8,2197.9,2307.2,2246.6,2159.4,2133.6,2256.6,2132.5,2183.8
AH,2192.7,0.0,145.8,190.9,188.3,150.9,68.7,188.3,188.5,192.1,214.2,197.5,142.9,163.1,264.2,267.2,217.4,312.8,163.7,195.1,90.0,132.5,172.8,209.5,50.6,157.9,69.3,211.6,109.4,119.0,145.7,310.2,90.0,174.2,244.6,216.3,232.7,207.9,321.3,96.7,216.5,259.3,91.5,160.8,102.6,26.6,212.3,121.3,217.5,201.0,155.3,78.4,203.6,105.0,163.5,226.6,265.5,254.7,193.2,183.1,212.7,172.3,205.2,123.3,167.5,219.0,178.9,204.9,143.1,180.9,89.1,163.4,49.6,254.7,105.8,115.0,268.6,101.5,69.3,201.6,101.4,60.1,252.7,244.0,41.9,220.4,56.1,24.9,188.1,219.7,201.8,118.3,250.6,80.4,177.5,144.8,113.9,135.6,176.6,50.1,120.0,178.0,99.7,189.8,169.0,190.9,268.6
AI,2263.6,159.1,0.0,286.8,284.2,266.2,148.4,284.2,284.4,124.3,341.8,305.6,73.7,264.1,196.2,404.2,140.2,428.1,279.0,310.4,205.3,123.2,105.0,337.1,130.3,88.7,166.6,339.2,224.7,209.5,70.4,446.4,205.3,118.0,175.4,147.1,135.6,146.0,436.6,69.4,333.9,340.6,187.4,65.1,115.8,136.5,143.1,15.9,352.1,316.3,251.2,89.7,135.8,217.9,267.0,158.8,388.2,187.3,140.9,113.9,339.7,299.9,136.0,55.5,259.1,149.8,262.3,133.9,258.9,296.2,63.5,95.6,118.7,185.5,156.0,124.3,383.9,114.0,112.4,316.9,50.3,127.2,368.0,157.2,97.5,335.7,82.7,184.1,118.7,341.0,134.0,237.3,370.8,108.3,268.4,75.6,122.4,192.0,107.4,146.0,44.8,108.8,195.6,285.7,89.4,286.8,199.4
AM,2108.7,160.5,250.7,0.0,2.6,133.3,196.8,2.6,2.4,298.4,186.9,260.9,247.8,109.2,340.1,343.8,292.1,355.3,191.8,171.0,243.6,229.8,279.1,182.2,178.7,262.8,146.9,184.3,263.0,189.8,250.6,393.6,243.6,306.9,386.3,321.2,308.6,320.1,363.8,219.6,270.6,208.8,161.7,239.2,204.6,167.3,317.2,232.6,292.0,271.6,38.4,206.5,309.9,198.2,159.9,346.1,343.5,361.4,269.1,288.0,279.3,145.0,310.1,229.6,104.2,323.9,146.4,308.0,201.5,171.6,193.6,269.7,147.7,396.4,252.2,213.1,235.2,242.2,196.2,272.2,206.3,169.1,276.1,331.3,168.6,291.0,182.8,185.5,293.0,186.1,308.1,160.0,310.4,222.5,19.6,249.7,174.3,172.3,290.3,153.3,247.7,282.9,114.8,1.1,275.3,0.0,414.6
AO,2106.1,163.1,253.3,2.6,0.0,130.7,199.4,0.0,0.1,301.0,184.3,258.3,250.4,106.6,342.7,346.4,294.7,352.7,189.2,168.4,246.2,232.4,281.7,179.6,181.3,265.4,149.5,181.7,265.6,192.4,253.2,391.0,246.2,309.5,388.9,323.8,311.2,322.7,361.2,222.2,268.0,206.2,164.3,241.8,207.2,169.9,319.8,235.2,289.4,269.0,35.8,209.1,312.5,200.8,136.1,348.7,340.9,364.0,271.7,290.6,281.9,142.4,312.7,232.2,101.6,326.5,143.8,310.6,198.4,169.0,196.2,272.3,150.3,399.0,254.8,215.7,232.6,244.8,198.8,269.6,208.9,171.7,273.5,333.9,171.2,288.4,185.4,188.1,295.6,183.5,310.7,157.4,313.0,225.1,17.0,252.3,176.9,174.9,292.9,155.9,250.3,285.5,117.4,1.4,277.9,2.6,417.2
AQ,2070.3,178.4,268.6,177.8,145.8,0.0,154.9,145.8,146.0,316.3,73.8,143.5,265.7,33.8,358.0,214.4,310.0,242.2,78.7,57.9,106.2,247.7,297.0,69.1,173.0,280.7,164.8,71.2,103.2,141.9,268.5,284.3,106.2,324.8,421.1,339.1,326.5,338.0,250.7,262.1,171.8,95.7,179.6,257.1,222.5,192.0,335.1,250.5,178.9,154.2,112.8,224.4,327.8,132.0,46.8,350.8,226.1,379.3,287.0,305.9,149.9,31.9,328.0,247.5,38.8,341.8,90.2,325.9,136.9,46.5,211.5,287.6,165.6,431.2,149.8,231.0,122.1,266.9,168.3,154.8,224.2,187.0,163.0,349.2,186.5,173.6,200.7,139.4,310.9,73.0,326.0,28.9,181.0,247.2,130.0,267.6,192.2,162.6,308.2,171.2,290.2,300.8,132.7,147.3,293.2,177.8,449.4
AR,2180.0,88.6,130.1,264.4,261.8,138.2,0.0,261.8,262.0,177.8,201.5,177.6,127.2,149.8,249.7,254.5,193.7,300.1,151.0,182.4,77.3,163.1,158.5,196.8,18.1,142.2,152.9,198.9,96.7,106.3,130.0,297.5,77.3,166.4,228.9,200.6,189.1,192.2,308.6,99.0,203.8,246.6,128.0,145.1,133.2,115.3,196.6,107.0,204.8,188.3,228.8,85.9,189.3,92.3,139.0,225.5,260.2,239.0,194.4,167.4,200.0,159.6,189.5,109.0,154.8,203.3,166.0,190.6,130.9,168.2,73.0,149.1,87.5,239.0,55.5,145.6,255.9,190.2,64.1,188.9,85.7,96.6,240.0,228.3,40.8,207.7,55.0,62.7,172.4,200.7,187.5,104.3,237.9,170.5,251.0,129.1,107.6,122.9,160.9,86.6,123.7,162.3,136.2,263.3,154.7,264.4,252.9
AW,2106.1,163.1,253.3,2.6,0.0,130.7,199.4,0.0,0.1,301.0,184.3,258.3,250.4,106.6,342.7,346.4,294.7,352.7,189.2,168.4,246.2,232.4,281.7,179.6,181.3,265.4,149.5,181.7,265.6,192.4,253.2,391.0,246.2,309.5,388.9,323.8,311.2,322.7,361.2,222.2,268.0,206.2,164.3,241.8,207.2,169.9,319.8,235.2,289.4,269.0,35.8,209.1,312.5,200.8,136.1,348.7,340.9,364.0,271.7,290.6,281.9,142.4,312.7,232.2,101.6,326.5,143.8,310.6,198.4,169.0,196.2,272.3,150.3,399.0,254.8,215.7,232.6,244.8,198.8,269.6,208.9,171.7,273.5,333.9,171.2,288.4,185.4,188.1,295.6,183.5,310.7,157.4,313.0,225.1,17.0,252.3,176.9,174.9,292.9,155.9,250.3,285.5,117.4,1.4,277.9,2.6,417.2
BC,2106.3,162.9,253.1,2.4,0.1,130.9,199.2,0.1,0.0,300.8,184.5,258.5,250.2,106.8,342.5,346.2,294.5,352.9,189.4,168.6,246.0,232.2,281.5,179.8,181.1,265.2,149.3,181.9,265.4,192.2,253.0,391.2,246.0,309.3,388.7,323.6,311.0,322.5,361.4,222.0,268.2,206.4,164.1,241.6,207.0,169.7,319.6,235.0,289.6,269.2,36.0,208.9,312.3,200.6,136.3,348.5,341.1,363.8,271.5,290.4,281.7,142.6,312.5,232.0,101.8,326.3,144.0,310.4,198.6,169.2,196.0,272.1,150.1,398.8,254.6,215.5,232.8,244.6,198.6,269.8,208.7,171.5,273.7,333.7,171.0,288.6,185.2,187.9,295.4,183.7,310.5,157.6,312.8,224.9,17.2,252.1,176.7,174.7,292.7,155.7,250.1,285.3,117.2,1.2,277.7,2.4,417.0
BQ,2225.3,208.9,147.7,325.9,323.3,361.2,194.7,323.3,323.5,0.0,380.9,400.6,108.0,302.6,79.6,443.3,117.3,523.1,374.0,405.4,300.3,137.5,66.0,376.2,176.6,105.2,205.7,378.3,319.7,248.6,126.4,520.5,300.3,96.9,76.8,22.7,95.9,59.8,531.6,140.2,426.8,469.6,226.5,88.1,161.3,174.3,44.5,124.6,427.8,411.3,290.3,151.0,37.2,257.0,362.0,73.4,483.2,88.7,150.1,97.0,378.8,339.0,37.4,77.5,298.2,33.2,301.2,78.1,353.9,391.2,114.6,94.5,186.0,86.9,307.1,154.0,478.9,128.3,193.9,411.9,101.4,178.3,463.0,58.6,166.5,430.7,233.8,235.2,106.6,386.4,77.8,327.3,409.9,143.3,312.5,92.1,173.5,231.1,103.9,185.1,164.9,136.4,234.7,324.8,139.1,325.9,100.8
