from_stop,AH,AN,AP,AW,BD,BG,BM,BV,CI,CU,CV,DA,DD,DK,DM,DZ,EB,EF,EI,EN,ES,EU,EW,FO,FU,GW,GX,HB,HV,IM,IO,IT,IY,JA,JI,JK,JO,JW,JY,KF,KI,KJ,KL,KR,KU,KZ,LE,LG,LQ,LU,LY,MV,NP,NU,NV,NZ,OD,OK,OL,ON,PE,PF,PH,PP,QU,RE,RF,RO,RQ,RS,RT,RW,RX,RY,SJ,TH,TO,TT,UG,UP,UR,UV,UW,VN,VY,WC,WW,XE,XJ,XL,XT,XV,YK,YN,YO,YW,YX,ZE,ZL,ZX
AH,0.0,266.5,187.8,218.3,169.9,203.0,146.6,164.7,132.4,62.3,100.1,223.8,344.2,226.7,212.7,112.3,226.7,101.1,231.1,118.2,65.2,90.2,279.9,16.5,65.6,196.6,243.1,153.8,170.6,2514.4,193.4,321.1,80.6,59.2,210.7,221.7,317.3,223.5,197.9,206.0,184.8,164.2,109.3,204.7,205.6,90.7,145.5,89.5,106.2,159.8,176.9,180.8,162.0,120.5,82.8,355.9,181.5,173.6,156.7,159.3,265.9,213.3,182.8,148.9,125.2,271.9,179.9,132.4,143.8,261.2,144.6,231.6,180.6,239.7,189.3,229.9,66.9,140.5,86.0,67.1,47.5,137.4,90.1,157.1,113.9,98.2,178.5,216.9,165.6,147.5,60.5,118.8,203.8,177.1,158.9,215.8,225.2,101.3,152.8,195.9
AN,259.7,0.0,128.5,97.0,170.0,87.3,240.0,206.8,153.7,232.6,256.4,188.0,217.9,117.9,77.7,161.1,192.3,193.5,75.0,151.9,242.0,252.2,13.3,276.2,235.9,119.7,207.3,156.3,212.7,2546.9,156.9,184.4,172.8,287.3,174.9,163.8,172.0,102.2,166.9,84.7,94.7,232.8,203.0,88.1,307.9,177.5,112.4,209.2,150.1,131.9,108.9,307.4,124.4,247.1,253.1,248.5,181.6,267.0,104.5,99.1,30.8,69.5,224.9,137.5,146.2,150.6,142.9,159.1,191.7,250.2,121.8,40.1,135.7,281.8,232.7,155.2,201.3,161.8,227.2,210.0,239.1,228.9,181.2,178.4,201.2,182.9,82.0,89.1,168.1,177.7,271.5,162.7,245.9,219.2,221.8,179.3,98.9,193.5,126.2,238.0
AP,176.6,125.1,0.0,183.2,256.3,97.8,153.3,101.1,88.6,161.9,169.7,82.2,161.2,61.2,107.5,114.5,154.6,111.2,226.7,186.0,186.8,214.5,138.5,187.3,165.2,8.7,101.5,75.6,107.0,2450.8,51.8,135.3,162.0,203.8,69.1,80.1,134.3,188.4,38.3,170.9,55.0,146.1,136.1,136.1,218.3,170.3,117.3,122.5,143.8,130.1,146.2,220.7,63.8,160.4,181.3,127.4,267.9,180.3,208.7,104.0,156.0,183.7,119.2,50.7,129.4,93.9,70.1,91.4,105.0,138.1,182.2,154.3,7.2,179.9,129.5,88.7,146.5,96.7,201.6,200.7,161.0,144.1,114.3,113.3,200.3,200.5,180.2,212.5,87.4,233.9,184.8,156.4,144.0,113.5,116.0,74.2,42.2,158.9,110.4,132.3
AW,218.4,113.6,191.7,0.0,119.5,117.2,252.2,265.9,164.2,187.2,171.7,251.2,281.1,181.1,107.6,118.0,224.6,208.5,45.9,101.4,198.9,201.7,99.4,187.3,190.5,182.9,270.5,197.5,271.8,2579.2,220.1,216.7,122.3,244.2,238.1,227.0,204.3,5.1,230.1,13.1,157.9,265.4,159.9,78.4,247.3,132.1,82.4,209.1,107.0,110.3,40.4,286.4,165.6,226.1,207.7,311.7,131.1,279.2,54.0,96.2,80.7,60.1,284.0,178.7,103.1,206.2,206.1,137.5,245.0,282.5,71.3,70.7,198.9,285.7,290.5,218.4,155.9,172.3,184.1,166.9,196.0,241.1,138.1,188.9,150.7,132.4,31.5,50.8,209.3,127.2,181.6,69.0,305.0,278.3,280.0,242.5,162.1,143.0,104.6,341.5
BD,166.9,174.2,259.9,133.9,0.0,187.0,248.9,267.0,232.4,163.5,193.5,317.2,349.3,249.3,177.4,176.8,285.2,208.3,106.5,77.7,98.6,225.5,160.0,183.4,166.8,251.1,336.5,265.7,272.9,2639.8,288.3,277.3,146.1,143.9,304.1,293.0,264.9,128.4,298.3,124.0,226.1,266.5,218.7,148.2,271.1,108.4,150.6,191.8,105.4,178.5,128.2,270.7,233.8,222.8,184.0,379.9,11.6,272.9,73.3,164.4,141.3,129.9,285.1,246.9,161.9,266.8,274.3,205.7,246.1,285.8,97.0,140.5,267.1,309.5,291.6,284.4,132.2,240.5,83.8,113.3,142.4,237.8,196.9,257.1,45.8,77.3,95.1,92.3,277.5,22.3,203.2,92.8,306.1,279.4,261.2,310.7,230.3,166.8,172.8,298.2
BG,192.9,86.7,97.9,111.5,184.6,0.0,177.7,176.2,86.9,165.8,194.1,157.4,187.3,87.3,9.6,92.3,184.2,135.6,109.0,114.3,181.2,198.3,100.1,209.4,169.1,89.1,176.7,103.7,182.1,2525.9,126.3,161.4,121.8,220.5,144.3,133.2,160.4,116.7,136.3,99.2,64.1,188.1,136.2,64.4,247.4,110.7,45.6,146.9,83.3,65.1,74.5,248.1,71.8,184.8,186.3,208.2,196.2,204.7,120.9,32.3,105.5,85.9,194.3,84.9,79.4,120.0,112.3,92.3,161.1,209.7,121.7,56.5,105.1,251.2,200.8,124.6,134.5,95.0,160.4,132.6,152.2,168.5,114.4,111.6,128.6,128.8,98.4,152.0,115.5,162.2,209.2,95.9,222.8,188.6,191.2,148.7,68.3,139.6,38.7,207.4
BM,153.8,227.8,138.1,240.4,267.4,177.5,0.0,94.9,89.5,138.5,113.2,131.5,245.5,169.9,187.2,128.6,160.4,64.4,245.7,211.8,226.5,107.8,241.2,134.0,136.2,146.9,113.3,101.3,100.8,2444.6,131.3,176.9,121.6,187.2,144.0,154.8,180.7,245.6,107.7,228.1,135.7,67.6,89.5,239.7,69.6,187.6,180.5,66.0,162.8,152.4,211.9,93.8,132.1,79.7,124.8,257.2,279.0,26.9,201.9,194.3,280.5,234.0,113.0,119.0,143.5,195.8,92.9,113.7,74.0,97.9,201.2,228.0,130.9,103.9,79.2,163.4,163.8,81.4,247.3,221.0,201.4,9.2,109.0,65.4,226.1,226.3,199.2,255.8,90.3,259.7,141.0,175.4,107.7,107.3,89.1,110.1,177.3,105.0,187.8,119.2
BV,171.2,193.9,85.2,241.7,308.7,166.6,130.7,0.0,99.7,155.9,130.6,62.8,176.8,101.2,176.3,146.0,91.7,67.7,247.0,235.7,210.0,195.9,207.3,151.4,153.6,94.0,44.6,87.5,32.1,2375.9,62.6,99.6,125.5,164.7,75.3,86.1,112.0,246.9,54.8,229.4,101.8,100.3,106.9,204.9,165.5,205.0,181.8,83.4,164.1,169.8,215.0,183.8,118.3,167.8,142.2,207.4,320.3,133.0,203.2,172.8,224.8,235.3,18.1,105.2,160.9,127.1,59.0,132.7,120.4,45.0,202.5,223.1,78.0,128.5,61.4,94.7,181.2,91.6,224.8,227.8,198.7,141.8,126.4,75.6,262.8,259.3,200.5,232.8,76.5,286.3,231.5,176.7,92.6,12.4,20.4,41.4,127.5,193.1,177.5,31.1
CI,142.0,151.4,89.4,156.8,229.9,87.9,90.7,101.6,0.0,127.3,112.3,125.4,229.1,128.3,97.6,79.9,222.5,44.2,192.1,162.8,152.2,151.9,164.8,127.9,130.1,98.2,144.7,55.4,107.5,2451.3,95.0,214.6,102.0,141.2,112.3,123.3,202.2,162.0,99.5,144.5,86.4,101.1,83.4,109.7,160.4,135.7,90.9,59.9,109.2,95.5,119.8,158.1,63.6,97.8,118.7,259.7,241.5,117.7,182.3,77.6,182.3,158.1,119.7,50.5,94.8,161.8,81.5,58.4,80.7,120.4,147.6,144.5,82.2,176.6,126.2,131.9,111.9,8.0,167.0,155.5,126.4,79.6,79.7,24.6,184.0,168.4,145.6,177.9,67.2,207.5,122.2,121.8,140.7,114.0,95.8,117.4,110.1,101.6,103.2,132.8
CU,73.3,224.8,164.1,176.6,157.5,161.3,150.3,168.4,108.7,0.0,37.8,200.1,302.5,202.5,171.0,86.6,295.9,153.0,190.8,79.7,83.5,136.3,238.2,75.9,3.3,172.9,219.4,130.1,174.3,2518.1,169.7,288.0,56.9,89.2,187.0,198.0,275.6,181.8,174.2,164.3,161.1,167.9,88.2,163.0,181.9,49.0,103.8,93.2,82.5,131.7,139.6,181.5,138.3,124.2,20.5,333.1,169.1,177.3,115.0,117.6,225.6,171.6,186.5,125.2,101.5,235.2,156.2,99.0,147.5,187.2,120.9,182.2,156.9,220.3,193.0,206.6,25.2,116.8,98.3,86.8,57.7,139.2,66.4,133.4,118.9,103.3,136.8,176.6,141.9,142.4,70.2,134.5,207.5,180.8,162.6,192.1,183.5,77.6,126.0,199.6
CV,65.7,250.1,184.2,201.9,177.6,186.6,112.5,138.4,128.8,25.2,0.0,225.4,322.6,227.8,196.3,113.9,200.4,67.0,216.1,96.6,96.7,69.9,258.3,45.1,17.8,193.0,149.0,155.4,144.3,2488.1,195.0,296.7,82.2,51.4,212.3,218.1,300.9,201.9,194.3,184.4,186.4,130.1,105.7,188.3,182.2,74.3,129.1,55.4,107.8,157.0,160.5,154.5,163.6,86.4,11.5,288.8,194.4,147.3,140.3,137.7,250.9,196.9,148.7,145.3,121.6,260.5,176.3,128.8,109.7,257.6,146.2,231.9,177.0,205.6,156.5,231.5,50.5,136.9,118.4,117.5,97.9,103.3,91.7,153.5,128.9,128.6,162.1,201.9,162.0,162.5,40.2,154.6,169.7,150.8,124.8,217.4,208.8,48.4,136.4,169.6
DA,189.8,183.7,81.3,241.8,314.9,156.4,132.8,64.8,118.3,174.5,149.2,0.0,155.4,86.4,166.1,164.6,152.3,100.4,265.6,244.6,228.6,194.0,197.1,170.0,172.2,90.1,19.2,106.1,51.1,2390.7,73.1,129.5,141.5,183.3,12.4,23.2,128.5,247.0,73.4,229.5,110.1,125.6,125.5,194.7,197.8,223.6,175.9,102.0,182.7,185.2,200.4,200.2,118.9,139.9,160.8,167.1,326.5,159.8,221.8,162.6,214.6,242.3,82.9,105.8,179.5,88.1,77.6,146.5,84.5,44.0,221.1,201.4,74.1,159.4,109.0,31.8,199.8,110.2,243.4,255.8,236.2,123.6,145.0,94.2,258.9,259.1,219.1,258.0,95.1,292.5,164.3,195.3,131.0,77.2,33.7,56.2,98.1,143.7,169.0,96.0
