from_stop,AB,AQ,AU,BF,BK,BL,BM,BZ,CB,CR,CX,DC,DJ,DM,EA,ED,EE,EQ,FD,FG,FI,GC,GD,GH,GK,GL,GQ,HJ,HK,HY,HZ,IF,IG,IH,IN,IV,JI,JK,JT,KD,KE,KF,KR,LA,LB,LC,LJ,LK,MF,MQ,NB,NP,NR,NW,NZ,OE,OM,OO,OP,OQ,PF,PK,PM,PT,PX,QA,QK,QN,QS,QZ,RB,RL,RO,RS,RX,SD,SE,SF,SP,SQ,TF,TL,TR,TY,TZ,UK,UU,VK,VW,VY,VZ,WO,WW,XR,XY,YG,ZA,ZQ,ZV
AB,0.0,126.9,91.0,180.1,298.8,251.3,120.9,139.8,142.6,177.9,251.3,190.3,205.8,251.0,229.5,137.8,168.5,248.1,188.8,154.0,226.9,241.4,193.3,160.2,49.5,213.3,267.6,134.9,118.0,108.3,153.7,40.4,54.8,140.0,120.0,154.3,60.6,159.0,89.1,98.2,148.1,252.3,170.9,254.8,140.1,190.5,227.5,159.6,230.8,64.6,108.9,129.2,143.2,191.0,34.4,195.4,274.2,93.7,123.6,228.3,122.5,292.6,147.7,163.2,36.5,137.3,207.4,81.2,178.3,154.0,322.8,200.3,189.8,105.4,130.9,55.6,141.8,145.2,219.2,174.7,116.3,151.1,2573.1,206.7,82.4,150.3,111.5,35.7,153.3,49.5,181.3,254.8,170.2,139.1,141.0,177.7,256.1,125.0,152.1
AQ,172.9,0.0,82.4,131.9,340.9,275.7,224.8,152.2,134.0,240.3,196.6,228.1,157.6,202.8,214.0,10.8,120.3,199.9,139.9,200.9,218.3,232.8,208.3,151.6,216.3,165.1,251.5,149.9,78.3,123.3,216.1,153.9,127.9,186.9,166.9,134.4,209.4,110.8,223.3,113.2,21.1,204.1,233.3,210.2,137.3,192.6,267.7,119.9,173.9,125.2,22.1,278.1,243.4,142.8,128.1,254.0,258.1,140.6,156.3,168.8,113.9,261.3,162.7,246.0,146.3,238.0,191.3,230.0,224.8,114.3,291.5,219.2,166.5,152.3,122.3,166.2,188.7,264.0,168.3,193.0,98.9,169.6,2533.4,262.2,62.5,110.6,165.9,194.6,200.2,209.1,172.7,206.6,192.6,186.0,187.9,157.8,207.9,220.7,121.3
AU,98.6,74.3,0.0,166.2,302.8,252.4,164.2,204.4,51.5,205.9,270.8,249.8,191.9,255.1,286.5,85.2,167.6,252.2,187.9,181.8,135.8,150.3,252.8,69.1,123.6,199.4,346.5,191.3,65.4,164.7,197.0,68.5,119.4,199.5,179.5,208.8,101.6,158.1,101.8,154.6,95.5,213.7,212.9,202.2,87.5,255.1,229.6,107.0,165.9,61.2,56.3,167.5,186.5,195.1,96.0,234.9,353.1,153.2,188.2,243.5,31.4,360.8,204.1,199.6,101.1,180.9,263.8,79.5,237.8,96.3,391.0,259.8,240.9,170.0,39.8,111.7,206.4,181.6,242.7,239.3,171.8,215.7,2520.5,243.1,29.8,92.6,58.9,54.4,217.9,73.8,90.2,258.9,234.8,198.6,140.1,232.2,260.2,168.3,103.5
BF,182.6,143.8,162.5,0.0,256.3,219.8,192.1,119.5,211.0,211.3,124.9,172.2,26.6,119.3,153.7,130.5,63.2,98.0,67.0,210.6,274.5,291.0,152.4,210.1,226.0,35.9,195.6,120.1,129.2,120.9,225.8,174.8,137.6,192.5,176.6,100.1,219.1,76.1,233.0,122.9,117.7,70.9,222.5,78.4,165.4,136.7,231.2,89.1,102.7,236.6,169.6,287.8,188.8,59.3,137.8,249.9,202.2,157.1,135.7,97.1,231.1,205.4,123.4,259.3,159.6,251.3,135.4,243.3,182.9,183.8,235.6,163.3,110.6,158.5,210.3,175.9,153.6,263.0,108.6,137.1,108.6,136.9,2417.5,259.7,142.6,173.6,175.6,204.3,152.8,218.8,190.0,123.1,136.7,169.0,197.6,119.4,124.4,188.0,140.6
BK,236.7,317.2,281.3,249.9,0.0,75.4,126.7,220.8,332.9,134.8,204.1,120.9,227.7,343.3,156.4,307.6,236.4,322.0,216.5,156.2,389.2,403.7,127.0,336.5,183.6,218.4,199.2,182.6,308.3,208.3,159.0,277.2,222.4,191.4,231.7,244.8,220.9,256.4,185.4,218.9,294.8,172.2,146.0,184.8,312.0,106.8,102.5,297.0,223.6,243.9,299.2,179.7,106.0,283.3,258.8,137.4,205.8,164.9,237.0,176.3,312.8,192.1,168.2,147.6,240.8,188.4,154.4,239.6,171.0,374.1,221.8,112.0,174.4,225.4,321.2,224.1,204.3,165.6,172.0,161.8,236.6,218.2,2520.1,104.1,272.7,340.6,301.8,262.0,153.5,250.6,357.6,347.1,137.4,205.6,150.0,183.2,348.4,122.6,289.9
BL,247.6,318.2,298.3,270.1,60.7,0.0,101.7,164.9,349.9,78.9,185.0,127.1,250.4,382.5,137.3,304.9,243.8,379.6,229.8,107.4,364.2,378.7,156.9,311.5,194.5,257.9,195.5,177.1,325.3,197.9,103.1,281.2,219.0,135.5,175.8,190.5,230.4,253.3,160.4,208.5,292.1,153.1,85.9,165.7,299.6,87.7,28.6,304.4,204.5,263.1,316.2,177.6,99.5,322.5,260.2,63.5,202.1,168.7,181.1,162.0,329.8,226.3,189.9,145.5,237.4,121.6,135.3,251.0,115.1,400.4,256.2,137.1,226.0,169.5,338.2,220.7,148.4,163.5,152.9,185.9,226.8,162.3,2501.0,102.0,289.7,396.7,318.8,279.0,159.9,261.5,332.6,386.3,176.8,149.7,125.0,213.9,387.6,97.6,283.6
BM,109.9,190.4,154.5,192.0,134.0,88.1,0.0,134.4,206.1,41.6,173.9,105.4,213.9,259.1,121.8,197.1,174.4,237.8,196.9,54.2,262.4,276.9,139.3,209.7,56.8,221.4,184.4,143.0,181.5,116.4,65.8,160.5,95.6,55.1,66.0,160.8,94.1,160.5,58.6,106.3,184.3,142.0,48.6,154.6,185.2,76.6,65.3,189.3,230.2,117.1,172.4,116.7,20.8,199.1,132.0,80.2,191.0,38.1,118.2,146.1,186.0,182.7,162.0,144.2,114.0,91.3,124.2,112.8,93.4,250.8,212.4,115.4,197.9,83.5,194.4,97.3,119.9,162.2,141.8,169.3,124.4,145.7,2489.9,100.7,145.9,213.8,175.0,135.2,131.4,123.8,230.8,262.9,148.3,85.1,23.2,185.8,264.2,4.0,160.2
BZ,129.8,185.1,199.0,137.0,200.5,151.1,84.4,0.0,294.0,103.6,143.5,96.4,117.3,234.1,102.2,171.8,110.7,231.2,96.7,157.8,346.9,361.4,92.3,294.2,141.3,124.8,154.0,44.0,208.6,64.8,127.8,132.8,84.8,84.8,91.2,57.4,166.3,120.2,143.1,75.4,159.0,111.6,110.6,124.2,151.2,80.8,127.3,164.3,205.2,181.1,207.3,231.6,131.6,174.1,107.0,142.2,160.6,97.5,16.1,120.5,230.5,184.8,56.8,202.9,103.2,194.9,93.8,186.9,84.4,260.3,214.7,106.4,92.9,50.8,238.9,123.1,49.7,220.9,111.4,34.8,93.7,11.2,2459.5,162.7,190.4,256.6,179.8,151.5,61.2,166.0,315.3,237.9,78.1,65.1,107.7,80.8,239.2,80.3,135.2
CB,159.8,135.0,61.1,206.2,364.0,313.6,225.4,273.9,0.0,267.1,317.9,339.7,231.9,283.6,325.6,145.9,183.1,280.7,203.4,243.0,128.3,142.8,319.9,73.4,184.8,239.4,393.6,264.3,80.9,237.7,258.2,129.7,180.6,301.3,281.3,251.3,162.8,173.6,163.0,227.6,156.2,260.8,274.1,249.3,148.7,304.2,290.8,122.5,225.3,122.4,117.0,228.7,247.7,223.6,152.0,296.1,400.2,255.0,270.7,264.6,20.0,407.9,277.1,260.8,162.3,242.1,302.9,140.7,339.6,44.7,438.1,330.8,278.1,266.7,89.7,172.9,303.1,242.8,279.9,304.6,213.3,291.3,2554.0,304.3,90.3,41.0,120.1,115.6,314.6,135.0,52.5,287.4,304.2,300.4,201.3,274.7,288.7,229.5,164.7
CR,168.6,254.8,220.7,232.6,122.7,73.3,79.0,131.8,272.3,0.0,218.1,94.0,217.3,303.5,170.4,241.5,210.7,300.6,196.7,58.0,324.8,339.3,123.8,272.1,115.5,224.8,228.6,144.0,247.7,160.8,24.2,202.2,140.0,99.5,110.4,157.4,151.4,211.5,160.3,150.7,228.7,186.2,7.0,198.8,220.6,164.0,49.5,233.7,274.6,185.5,238.6,127.9,66.4,243.5,176.4,64.4,235.2,89.7,148.0,195.1,252.2,226.9,156.8,103.1,158.4,95.1,168.4,172.0,82.0,283.7,256.6,104.0,192.9,127.9,260.6,141.7,115.3,121.1,186.0,152.8,168.8,129.2,2534.1,84.9,212.1,280.0,241.2,201.4,126.8,182.5,293.2,307.3,143.7,116.6,123.0,180.8,308.6,83.1,204.6
