from_stop,AN,BA,BC,BF,BK,BN,CC,CD,CJ,CY,DF,DI,DJ,DL,DN,DV,EC,ED,EE,EF,ET,EZ,FG,FV,GC,GF,GJ,HD,HL,HO,HT,IE,IH,II,IL,IW,IX,KC,KF,KV,KY,LA,LP,LS,MD,MS,MX,NC,NF,NN,NR,NS,NY,OD,OF,OG,OJ,OK,ON,OP,PE,PM,PT,QF,QP,QQ,QW,QX,QY,RG,RP,RZ,SB,SE,SI,SV,TU,TX,UM,UV,UX,VE,VY,VZ,WA,WI,WN,WO,WQ,XA,XJ,XN,XO,XT,YH,YL,YP,YU,ZM,ZR
AN,0.0,202.7,470.7,214.1,149.6,434.4,261.0,273.5,351.3,69.1,382.8,217.5,18.0,508.1,239.8,164.0,464.6,221.4,280.4,527.3,315.4,186.4,90.1,111.1,308.6,275.0,428.4,305.2,272.5,251.2,53.6,381.8,43.2,331.6,115.3,291.2,252.8,176.4,51.4,92.5,52.3,136.4,259.4,161.7,207.1,2477.1,405.1,153.5,368.2,349.9,145.7,63.4,478.1,192.0,112.5,119.2,488.5,316.2,204.3,161.8,97.3,189.8,179.0,224.5,420.9,132.1,248.9,285.0,307.7,339.8,421.5,118.7,76.4,342.6,251.0,251.2,173.4,171.2,355.3,327.7,109.5,280.7,360.9,181.7,108.8,369.3,404.9,440.9,310.8,247.7,333.1,66.2,188.4,170.9,250.3,274.3,223.7,89.7,410.8,255.8
BA,272.9,0.0,323.2,70.5,243.7,253.5,121.3,117.2,211.6,235.5,213.0,168.0,198.4,380.1,100.1,144.0,294.8,49.5,140.7,390.5,175.7,204.1,205.6,177.9,168.9,72.2,258.6,165.5,116.2,178.4,163.4,249.7,257.3,191.9,142.6,134.9,82.7,75.6,251.8,201.4,248.2,237.5,116.8,281.7,50.8,2337.4,272.5,184.6,228.5,208.4,117.2,235.3,308.3,59.0,156.0,350.3,354.4,192.7,74.8,178.8,322.8,50.1,146.9,21.7,281.2,128.7,101.9,126.7,149.4,139.2,281.8,138.4,191.4,206.0,151.9,48.4,93.7,188.9,215.6,189.8,225.0,124.4,204.6,128.1,354.5,229.6,235.1,271.1,177.9,108.0,193.4,297.3,224.4,99.3,110.6,134.6,95.0,174.4,176.9,130.2
BC,484.7,299.9,0.0,385.1,349.3,213.6,316.8,158.9,225.6,483.6,234.4,314.4,429.9,37.3,291.4,434.4,58.7,361.8,288.0,80.8,190.4,435.6,387.2,403.1,261.1,401.8,50.4,200.6,361.6,342.3,394.9,81.3,454.7,211.4,405.7,225.6,384.5,312.4,429.1,464.1,463.8,386.9,225.0,354.9,254.5,2324.3,147.5,416.1,115.4,185.2,378.4,421.0,7.3,328.0,387.5,604.0,48.6,252.2,288.6,410.3,521.5,413.4,373.3,336.3,157.3,390.1,405.2,390.3,379.3,139.1,220.6,397.5,403.4,180.4,319.8,363.0,382.2,420.4,150.5,122.7,365.5,265.5,172.4,434.6,577.5,118.2,58.1,72.6,260.7,236.5,193.0,551.0,381.6,405.8,324.4,220.3,308.8,420.4,135.7,299.2
BF,277.5,50.9,294.9,0.0,240.2,247.5,115.3,127.8,205.6,225.5,193.6,184.4,210.8,374.1,94.1,148.6,288.8,54.1,134.7,384.5,169.7,216.5,210.2,173.8,162.9,68.0,252.6,159.5,96.5,183.0,175.8,236.1,261.9,185.9,171.6,145.5,38.6,80.2,256.4,206.0,252.8,242.1,113.7,286.3,61.4,2331.4,259.4,183.6,222.5,204.2,121.8,239.9,302.3,63.6,168.4,354.9,348.4,170.5,58.6,191.9,287.3,28.3,151.5,44.3,275.2,133.3,106.5,89.3,112.0,194.1,275.8,150.3,196.0,196.9,170.4,71.0,139.8,201.3,209.6,182.0,229.6,135.0,215.2,132.7,344.5,223.6,229.1,265.1,171.9,102.0,187.4,301.9,277.8,103.9,104.6,128.6,78.0,182.7,191.7,110.1
BK,116.1,176.8,329.1,202.8,0.0,318.7,251.7,336.1,346.9,134.2,255.3,123.5,89.3,379.9,228.5,164.6,336.4,198.9,245.0,399.1,304.1,150.4,30.9,90.6,302.8,245.2,300.2,293.9,268.1,135.5,54.3,283.2,114.1,387.5,91.9,306.1,241.5,165.1,88.5,107.8,154.6,30.6,320.8,46.0,202.7,2465.8,387.6,130.9,345.8,355.1,134.4,80.4,349.9,180.7,101.2,256.7,360.3,273.1,210.1,98.9,198.0,178.5,162.7,234.2,397.4,120.8,234.1,284.3,307.0,308.2,460.7,120.1,47.1,377.5,149.2,260.9,191.3,109.0,390.6,283.8,9.2,276.3,334.2,177.2,253.2,341.3,276.7,312.7,195.1,236.4,390.1,203.7,72.7,149.1,239.0,301.4,223.4,64.1,296.8,294.9
BN,395.6,253.4,244.8,324.0,321.4,0.0,168.8,113.9,244.1,402.9,98.2,330.1,368.8,264.3,250.7,360.9,208.4,300.7,199.2,301.7,211.4,374.5,338.3,351.2,115.3,368.1,172.2,221.6,324.9,252.1,333.8,126.3,393.6,149.0,329.6,100.0,362.8,251.3,368.0,389.0,402.7,352.1,131.8,306.5,178.4,2428.5,149.6,341.6,112.7,120.2,317.3,359.9,252.2,266.9,326.4,514.9,238.6,118.3,256.7,349.9,502.8,339.6,297.2,275.2,166.5,329.0,344.1,329.2,318.2,97.2,225.1,315.6,368.6,156.8,215.7,301.9,306.0,359.3,171.5,72.2,330.7,203.1,109.2,353.3,504.5,125.6,148.7,164.5,149.3,147.2,166.3,461.9,333.2,330.3,302.7,116.3,276.1,381.9,62.0,165.8
CC,265.1,122.9,270.6,193.5,237.8,170.1,0.0,138.8,252.8,272.4,78.2,199.6,238.3,345.2,81.8,230.4,264.5,170.2,75.8,327.2,217.7,244.0,207.8,220.7,59.9,195.2,228.3,227.9,155.0,176.3,203.3,210.8,263.1,155.3,199.1,71.3,192.9,120.8,237.5,258.5,272.2,239.7,74.0,257.8,100.1,2337.1,234.1,211.1,197.2,159.8,186.8,229.4,278.0,136.4,195.9,384.4,319.5,55.1,86.8,219.4,348.3,221.8,166.7,144.7,230.8,198.5,213.6,167.5,190.2,103.5,231.4,185.1,214.1,165.5,167.0,171.4,175.5,228.8,177.8,156.7,227.2,209.4,170.8,222.8,374.0,179.2,204.8,240.8,56.5,89.4,175.0,331.4,264.3,199.8,132.8,58.5,106.2,227.4,146.5,64.4
CD,281.6,139.4,189.3,210.0,254.3,109.0,117.5,0.0,169.3,288.9,129.8,216.1,254.8,246.2,116.3,246.9,160.9,186.7,136.9,223.6,134.2,260.5,224.3,228.0,104.9,211.7,124.7,144.4,171.5,192.8,219.8,115.8,279.6,71.8,215.6,62.1,209.4,137.3,254.0,275.0,288.7,256.2,49.9,300.4,64.4,2284.6,138.6,241.0,94.6,74.5,203.3,245.9,174.4,152.9,212.4,400.9,220.5,166.2,113.5,235.9,364.8,238.3,183.2,161.2,147.3,215.0,230.1,215.2,204.2,22.0,147.9,207.4,230.6,82.0,194.7,187.9,192.0,245.3,94.3,54.1,243.7,125.9,87.3,239.3,390.5,95.7,101.2,137.2,151.4,61.4,91.5,347.9,280.8,216.3,149.3,45.2,122.7,243.9,41.8,89.6
CJ,354.3,212.1,212.8,282.7,335.1,219.7,190.2,133.7,0.0,361.6,240.5,288.8,327.5,232.3,189.0,319.6,237.1,259.4,209.6,269.7,36.4,333.2,297.0,300.7,195.0,284.4,164.5,46.6,244.2,265.5,292.5,177.8,352.3,80.2,288.3,180.5,282.1,210.0,326.7,347.7,361.4,328.9,145.8,373.1,137.1,2323.9,142.7,313.7,128.0,113.3,276.0,318.6,220.2,225.6,285.1,473.6,206.6,258.3,186.2,307.9,454.2,311.0,255.9,233.9,135.9,287.7,302.8,256.7,279.4,155.7,136.5,280.1,303.3,67.4,253.5,260.6,264.7,318.0,55.6,163.8,316.4,101.7,124.3,312.0,463.2,98.6,206.7,132.5,246.8,137.0,57.9,420.6,353.5,289.0,222.0,163.6,195.4,320.3,152.7,176.4
CY,76.1,212.7,472.9,224.1,156.4,403.2,271.0,283.5,361.3,0.0,362.7,227.5,94.2,529.8,249.8,144.0,444.5,185.2,290.4,540.2,325.4,196.4,118.3,118.1,318.6,244.2,408.3,315.2,282.5,241.6,63.6,399.4,60.5,341.6,125.3,301.2,262.8,186.4,61.4,80.6,51.4,126.0,266.5,194.4,217.1,2487.1,422.2,176.9,378.2,358.1,155.7,73.4,458.0,202.0,122.5,153.5,504.1,342.4,224.5,171.8,108.3,199.8,189.0,220.5,430.9,142.1,222.9,290.2,312.9,305.5,431.5,134.5,86.4,352.6,249.9,247.2,174.9,181.2,365.3,337.7,137.7,290.7,370.9,163.5,143.1,379.3,384.8,420.8,343.5,257.7,343.1,100.5,185.9,135.4,260.3,284.3,233.7,99.7,347.4,265.8
