from_stop,AF,AL,AN,AV,AX,BA,BD,BN,BT,BY,CD,CE,CF,CH,CL,CR,CT,DC,DD,DG,DU,DX,EB,ED,EM,EV,FG,FN,FQ,FS,FW,FX,GB,GM,GZ,HD,HE,HK,HO,HQ,HT,HU,ID,IH,IL,IO,IV,IX,IZ,JA,JB,JC,JD,JG,JS,JW,JX,JY,KE,KG,KH,KL,KU,LC,LE,LP,LV,MB,MF,MI,ML,MY,NG,NI,NT,OG,OK,OL,OR,OU,OX,OY,OZ,PB,PF,PL,PN,PQ,PY,QE,QF,QH,QL,QU,QW,QX,QY,QZ,RF,RK,RN,RS,RU,RV,SB,SH,SR,SW,TA,TD,TZ,UC,UI,UV,UW,UX,VA,VD,VH,VI,VJ,VM,VR,VW,VZ,WP,WS,XB,XJ,XN,XW,YD,YE,YG,YJ,YK,YO,ZH,ZQ,ZU
AF,0.0,574.3,811.3,1020.1,942.5,711.0,583.5,513.5,381.0,164.2,382.9,675.0,1072.7,463.8,1058.7,711.6,247.0,242.1,408.4,96.6,1127.6,476.0,628.6,2688.6,583.1,723.4,424.4,590.0,526.1,1095.2,748.6,554.3,222.3,537.0,633.8,620.4,550.7,722.1,808.2,505.5,247.2,909.1,1019.3,988.7,273.2,652.0,635.4,814.5,743.8,98.2,148.0,455.0,995.7,176.5,295.5,651.4,586.7,565.3,133.4,1005.4,722.6,140.0,106.9,564.9,893.8,433.4,571.0,150.3,901.9,567.9,447.2,667.0,858.1,1104.1,250.9,297.5,553.0,245.6,280.8,1024.7,317.2,913.5,228.3,750.8,728.4,594.3,258.2,659.1,929.0,378.5,594.9,979.6,756.9,637.2,317.3,472.3,1009.9,160.2,106.9,1028.0,466.6,1039.0,572.2,1043.8,374.1,956.0,115.1,302.9,1071.8,670.3,760.7,618.8,1043.4,260.3,234.2,277.2,1072.5,723.4,767.0,569.8,216.9,89.2,1025.6,707.7,685.4,940.5,574.8,237.6,1094.9,362.6,586.2,589.6,450.0,750.1,1035.6,974.6,515.5,680.2,1063.9,349.5
AL,553.3,0.0,509.3,718.1,640.5,409.0,834.5,57.8,632.0,422.1,308.3,373.0,770.7,364.4,756.7,409.6,714.9,653.8,386.9,508.3,825.6,292.6,137.2,2386.6,263.1,421.4,320.3,15.6,89.7,793.2,428.6,234.2,473.3,217.0,331.8,87.3,801.7,420.1,316.8,66.0,658.9,607.1,717.3,686.7,741.1,118.9,315.4,512.5,441.8,566.1,471.9,355.6,693.7,544.9,529.9,902.4,266.7,245.3,545.1,703.4,420.6,508.4,574.8,815.9,402.4,159.2,210.0,518.7,599.9,247.9,681.6,365.9,366.7,802.1,525.6,328.2,804.0,496.6,357.3,722.7,591.9,609.1,419.9,448.8,237.0,845.3,509.2,357.1,627.0,320.5,292.9,677.6,436.9,335.2,268.3,198.1,707.9,628.1,447.5,726.0,717.6,737.0,252.2,741.8,274.7,654.0,583.0,333.6,769.8,350.3,269.3,316.8,741.4,672.0,351.8,511.6,770.5,421.4,465.0,208.8,467.9,557.1,723.6,387.7,383.4,638.5,254.8,649.3,792.9,395.9,837.2,269.6,350.6,258.7,733.6,672.6,284.5,188.8,761.9,600.5
AN,780.5,502.9,0.0,246.6,131.1,339.5,1061.7,486.5,859.2,649.3,535.5,303.5,336.5,591.6,247.3,99.5,942.1,881.0,614.1,735.5,391.4,519.8,469.7,2375.5,404.2,351.9,552.2,486.6,499.1,359.0,569.7,395.4,700.5,358.1,295.8,590.3,1028.9,350.6,649.3,478.5,886.1,97.7,283.1,177.3,968.3,621.9,456.5,24.0,372.3,793.3,699.1,582.8,184.3,772.1,757.1,1129.6,407.8,386.4,772.3,194.0,89.2,735.6,802.0,1043.1,734.9,376.0,544.0,745.9,90.5,389.0,908.8,296.4,699.2,367.9,752.8,555.4,1031.2,723.8,584.5,241.9,819.1,99.7,647.1,139.7,569.5,1072.5,736.4,399.7,117.6,547.7,335.5,168.2,578.0,377.8,495.5,415.5,198.5,855.3,674.7,291.8,944.8,302.8,393.3,291.6,501.9,144.6,810.2,560.8,335.6,491.4,601.8,247.3,255.6,899.2,579.0,738.8,261.1,397.4,101.9,542.8,695.1,784.3,214.2,528.8,224.7,129.1,395.9,876.5,283.5,623.1,1064.4,410.7,577.8,591.2,267.2,163.2,511.7,521.3,252.5,827.7
AV,965.5,687.9,224.3,0.0,103.8,524.5,1246.7,671.5,1044.2,834.3,722.6,488.5,89.8,776.6,292.2,323.9,1127.1,1066.0,799.1,920.5,144.7,704.8,654.7,2265.7,589.2,536.9,737.2,671.6,684.1,112.3,754.7,580.4,885.5,543.1,480.8,775.3,1213.9,535.6,834.3,663.5,1071.1,138.5,36.4,222.2,1153.3,806.9,641.5,248.4,557.3,978.3,884.1,767.8,229.2,959.0,942.1,1314.6,592.8,571.4,957.3,238.9,313.6,920.6,987.0,1228.1,919.9,561.0,729.0,930.9,260.5,574.0,1093.8,480.5,884.2,121.2,937.8,740.4,1216.2,908.8,769.5,4.5,1004.1,272.1,832.1,364.1,754.5,1257.5,921.4,584.7,115.9,732.7,520.5,142.0,763.0,562.8,680.5,600.5,173.9,1040.3,859.7,45.1,1129.8,56.1,578.3,44.9,686.9,165.6,989.7,745.8,88.9,676.4,786.8,432.3,23.2,1084.2,764.0,923.8,149.2,621.8,326.3,713.3,880.1,969.3,124.2,713.8,409.7,299.1,580.9,1061.5,171.6,808.1,1249.4,595.7,762.8,776.2,20.5,184.2,696.7,706.3,140.6,1012.7
AX,901.0,623.4,120.4,115.4,0.0,460.0,1182.2,607.0,979.7,769.8,658.1,424.0,205.3,712.1,194.6,220.0,1062.6,1001.5,734.6,856.0,260.2,640.3,590.2,2244.3,524.7,472.4,672.7,607.1,619.6,227.8,690.2,515.9,821.0,478.6,416.3,710.8,1149.4,471.1,769.8,599.0,1006.6,34.6,151.9,124.6,1088.8,742.4,577.0,144.5,492.8,913.8,819.6,703.3,131.6,894.5,877.6,1250.1,528.3,506.9,892.8,141.3,209.7,856.1,922.5,1163.6,855.4,496.5,664.5,866.4,156.6,509.5,1029.3,416.0,819.7,236.7,873.3,675.9,1151.7,844.3,705.0,110.7,939.6,168.2,767.6,260.2,690.0,1193.0,856.9,520.2,12.0,668.2,456.0,38.1,698.5,498.3,616.0,536.0,70.0,975.8,795.2,160.6,1065.3,171.6,513.8,160.4,622.4,61.7,925.2,681.3,204.4,611.9,722.3,367.8,124.4,1019.7,699.5,859.3,208.4,517.9,222.4,648.8,815.6,904.8,161.5,649.3,345.2,195.2,516.4,997.0,230.8,743.6,1184.9,531.2,698.3,711.7,136.0,80.3,632.2,641.8,199.8,948.2
BA,673.1,395.5,312.4,521.2,443.6,0.0,954.3,379.1,751.8,541.9,430.2,91.8,573.8,484.2,559.8,212.7,834.7,773.6,506.7,628.1,628.7,412.4,362.3,2336.5,296.8,140.2,444.8,379.2,391.7,596.3,462.3,288.0,593.1,250.7,188.4,482.9,921.5,138.9,541.9,371.1,778.7,410.2,520.4,489.8,860.9,514.5,349.1,315.6,160.6,685.9,591.7,475.4,496.8,666.6,649.7,1022.2,300.4,279.0,664.9,506.5,223.7,628.2,694.6,935.7,627.5,268.6,436.6,638.5,403.0,281.6,801.4,83.8,591.8,605.2,645.4,448.0,923.8,616.4,477.1,525.8,711.7,414.6,539.7,251.9,462.1,965.1,629.0,292.3,432.1,440.3,228.1,479.1,470.6,270.4,388.1,308.1,511.0,747.9,567.3,529.1,837.4,540.1,285.9,544.9,394.5,457.1,697.3,453.4,572.9,384.0,494.4,81.1,544.5,791.8,471.6,631.4,573.6,356.6,268.1,420.9,587.7,676.9,526.7,421.4,186.5,441.6,288.5,769.1,596.0,515.7,957.0,303.3,470.4,483.8,536.7,475.7,404.3,413.9,565.0,720.3
BD,647.7,846.2,1083.2,1292.0,1214.4,982.9,0.0,785.4,381.2,463.0,656.9,946.9,1344.6,735.7,1330.6,983.5,809.3,748.2,680.3,602.7,1399.5,747.9,900.5,2960.5,855.0,995.3,696.3,861.9,798.0,1367.1,1020.5,826.2,383.0,808.9,905.7,892.3,161.1,994.0,1080.1,777.4,753.3,1181.0,1291.2,1260.6,835.5,923.9,907.3,1086.4,1015.7,660.5,512.8,726.9,1267.6,576.4,671.6,162.4,858.6,837.2,639.5,1277.3,994.5,538.0,669.2,18.7,1165.7,705.3,842.9,548.3,1173.8,839.8,823.3,938.9,1130.0,1376.0,566.5,569.4,31.1,359.6,552.7,1296.6,632.8,1185.4,500.2,1022.7,1000.3,105.3,347.0,931.0,1202.9,650.4,866.8,1249.9,1028.8,909.1,589.2,744.2,1281.8,722.5,549.7,1299.9,126.8,1310.9,844.1,1315.7,646.0,1227.9,671.9,574.8,1343.7,942.2,1032.6,890.7,1315.3,766.4,506.1,653.3,1344.4,995.3,1038.9,827.2,388.4,651.5,1297.5,979.6,957.3,1212.4,846.7,743.7,1366.8,634.5,97.2,861.5,721.9,1022.0,1307.5,1246.5,787.4,952.1,1335.8,377.8
BN,495.4,60.7,479.2,688.0,610.4,378.9,776.6,0.0,574.1,364.2,252.5,342.9,740.6,306.5,726.6,379.5,657.0,595.9,329.0,450.4,795.5,234.7,198.0,2356.5,251.0,391.3,267.1,76.4,31.8,763.1,416.5,222.2,415.4,204.9,301.7,106.8,743.8,390.0,377.6,8.2,601.0,577.0,687.2,656.6,683.2,138.4,303.3,482.4,411.7,508.2,414.0,297.7,663.6,488.9,472.0,844.5,254.6,233.2,487.2,673.3,390.5,450.5,516.9,758.0,463.2,101.3,152.1,460.8,569.8,235.8,623.7,334.9,427.5,772.0,467.7,270.3,746.1,438.7,299.4,692.6,534.0,581.4,362.0,418.7,297.8,787.4,451.3,327.0,598.9,262.6,262.8,645.9,424.8,305.1,210.4,140.2,677.8,570.2,389.6,695.9,659.7,706.9,240.1,711.7,216.8,623.9,519.6,275.7,739.7,338.2,330.1,286.7,711.3,614.1,293.9,453.7,740.4,391.3,434.9,136.4,410.0,499.2,693.5,375.6,353.3,608.4,242.7,591.4,762.8,338.0,779.3,257.5,292.7,319.5,703.5,642.5,226.6,249.6,731.8,542.6
BT,382.7,581.2,818.2,1027.0,949.4,717.9,338.7,520.4,0.0,198.0,391.9,681.9,1079.6,470.7,1065.6,718.5,544.3,483.2,415.3,337.7,1134.5,482.9,635.5,2695.5,590.0,730.3,431.3,596.9,533.0,1102.1,755.5,561.2,118.0,543.9,640.7,627.3,305.9,729.0,815.1,512.4,488.3,916.0,1026.2,995.6,570.5,658.9,642.3,821.4,750.7,395.5,247.8,461.9,1002.6,311.4,406.6,406.6,593.6,572.2,374.5,1012.3,729.5,273.0,404.2,320.1,900.7,440.3,577.9,283.3,908.8,574.8,558.3,673.9,865.0,1111.0,301.5,304.4,308.2,94.6,287.7,1031.6,367.8,920.4,235.2,757.7,735.3,349.5,82.0,666.0,937.9,385.4,601.8,984.9,763.8,644.1,324.2,479.2,1016.8,457.5,284.7,1034.9,221.8,1045.9,579.1,1050.7,381.0,962.9,406.9,309.8,1078.7,677.2,767.6,625.7,1050.3,501.4,241.1,388.3,1079.4,730.3,773.9,562.2,123.4,386.5,1032.5,714.6,692.3,947.4,581.7,478.7,1101.8,369.5,341.4,596.5,456.9,757.0,1042.5,981.5,522.4,687.1,1070.8,112.8
BY,184.6,410.0,647.0,855.8,778.2,546.7,419.2,349.2,216.7,0.0,218.6,510.7,908.4,299.5,894.4,547.3,346.2,285.1,244.1,139.6,963.3,311.7,464.3,2524.3,418.8,559.1,260.1,425.7,361.8,930.9,584.3,390.0,58.0,372.7,469.5,456.1,386.4,557.8,643.9,341.2,290.2,744.8,855.0,824.4,372.4,487.7,471.1,650.2,579.5,197.4,49.7,290.7,831.4,113.3,235.4,487.1,422.4,401.0,176.4,841.1,558.3,74.9,206.1,400.6,729.5,269.1,406.7,85.2,737.6,403.6,387.1,502.7,693.8,939.8,103.4,133.2,388.7,81.3,116.5,860.4,169.7,746.8,64.0,586.5,564.1,430.0,93.9,494.8,764.7,214.2,430.6,815.3,592.6,472.9,153.0,308.0,845.6,259.4,86.6,863.7,302.3,874.7,407.9,879.5,209.8,791.7,214.3,138.6,907.5,506.0,596.4,454.5,879.1,303.3,69.9,217.1,908.2,559.1,602.7,405.5,52.6,188.4,861.3,543.4,521.1,776.2,410.5,280.6,930.6,198.3,421.9,425.3,285.7,585.8,871.3,810.3,351.2,515.9,899.6,185.2
