from_stop,AA,AG,AO,AP,AS,AV,AY,BH,BL,BS,CZ,DA,DB,DI,DJ,DM,DP,DX,EG,EK,EP,EU,EW,EY,FA,FF,FP,FS,GD,GG,GJ,GK,GO,GV,GY,HO,IG,IK,IO,IQ,JD,JH,JO,JQ,JU,KC,KD,KI,KZ,LK,ML,MN,MX,MY,MZ,ND,NG,NK,NS,NY,OE,OG,OL,OT,PN,PV,QK,QQ,RC,RD,RF,RG,RH,RJ,RW,RY,RZ,SN,SP,SS,ST,SU,TG,TM,TN,TX,UB,UF,UN,UW,UX,VQ,VR,WB,WC,WD,WF,WI,WK,WT,XG,XJ,XN,XR,XY,YI,YM,YP,YT,YZ,ZA,ZD,ZG,ZN,ZO,ZQ,ZS,ZW
AA,0.0,404.1,376.9,256.0,299.8,299.8,129.2,257.4,350.0,288.9,276.9,415.9,242.6,116.4,309.1,376.1,366.4,288.4,276.4,173.4,237.2,379.9,183.7,218.7,289.3,331.5,246.1,371.4,340.7,250.7,333.4,1429.9,229.9,125.3,326.9,272.4,380.9,283.9,193.0,361.8,255.8,275.4,167.8,414.8,311.8,164.4,201.6,210.7,275.6,281.0,48.4,246.0,233.6,277.4,316.0,103.8,166.1,258.9,288.2,335.4,393.0,263.3,374.9,293.6,246.4,372.7,298.1,265.5,350.7,18.7,268.5,341.3,371.4,316.3,392.0,246.8,355.2,231.9,345.6,193.0,129.6,224.6,266.2,229.7,166.0,247.8,285.8,267.5,352.9,254.8,239.0,406.4,187.2,370.9,305.7,257.9,246.0,203.8,218.2,331.4,234.4,321.0,291.0,218.9,391.3,149.7,412.8,377.5,353.4,133.4,268.8,194.5,261.4,321.4,99.0,408.4,97.3,398.7
AG,381.5,0.0,128.4,142.6,184.7,101.6,256.5,195.4,127.4,200.2,138.1,265.7,203.3,385.1,229.5,182.1,66.2,221.2,224.0,328.5,201.9,70.6,214.7,227.2,227.0,191.9,318.6,27.7,81.4,187.2,103.7,1112.4,280.9,240.1,69.4,164.7,37.2,262.9,237.7,108.7,165.2,188.0,265.5,217.9,153.7,286.7,156.8,203.6,124.3,147.6,357.5,192.2,162.2,126.7,196.5,349.3,231.6,187.3,154.5,174.6,50.2,227.7,138.0,127.3,152.2,220.2,193.9,126.9,106.5,365.5,256.6,35.7,216.4,158.0,198.0,221.6,101.6,213.4,62.9,224.3,328.4,210.7,158.0,298.6,362.3,273.3,166.4,161.1,152.4,135.1,145.6,97.4,225.2,33.4,104.7,215.7,199.5,195.9,239.9,91.6,225.7,116.1,173.4,180.6,47.6,266.8,218.8,206.7,58.8,352.5,190.4,292.2,196.7,110.2,361.0,19.0,324.8,31.2
AO,385.0,103.3,0.0,240.8,88.9,199.8,264.2,238.2,97.7,239.8,236.3,141.1,264.3,403.7,104.9,73.8,69.7,194.2,312.3,389.5,182.3,61.1,222.4,270.1,325.2,83.6,388.4,120.4,105.0,226.8,33.9,1129.1,379.1,243.6,103.1,94.9,129.9,305.8,298.4,112.2,163.0,143.3,330.7,112.5,84.8,347.7,160.3,207.1,222.5,250.0,350.0,284.4,227.4,175.1,73.8,363.7,235.1,285.5,227.1,51.2,157.9,231.5,123.8,229.7,250.4,115.5,133.6,185.7,114.6,369.0,227.4,149.3,111.7,260.4,89.7,268.7,163.2,256.3,84.4,242.3,371.5,215.7,201.8,370.1,407.9,339.8,206.0,263.5,23.9,175.0,159.2,89.3,222.7,92.2,162.4,226.1,260.7,256.9,310.2,201.0,263.1,46.3,261.7,241.6,140.3,252.6,110.5,98.4,124.8,385.5,230.0,357.4,297.3,142.1,375.4,128.4,339.2,146.7
AP,275.7,270.6,270.6,0.0,260.4,52.1,144.1,46.7,278.2,78.2,20.8,390.7,60.6,246.6,284.6,334.3,191.8,253.6,120.1,185.8,174.8,223.2,119.3,84.4,133.0,307.0,184.7,141.9,174.8,41.1,255.9,1240.8,186.9,208.9,241.5,251.0,151.4,120.1,91.1,164.8,193.4,213.0,127.0,373.0,290.4,144.0,129.7,139.1,19.5,57.8,208.8,92.2,23.7,80.4,276.6,206.6,181.6,93.3,32.1,300.2,145.3,200.9,177.9,37.5,9.5,350.0,235.7,86.5,230.0,294.4,233.7,144.3,346.2,68.2,350.2,83.0,107.7,70.6,222.8,81.9,189.9,125.2,36.6,168.3,223.8,145.9,63.0,48.7,294.6,75.8,92.3,253.5,161.5,210.6,108.7,195.5,75.0,53.2,116.3,83.7,77.4,268.3,69.5,37.9,123.1,199.1,371.0,358.9,156.4,214.1,86.4,153.7,105.1,124.4,218.3,248.1,182.1,167.2
AS,330.4,164.8,105.8,261.3,0.0,248.4,202.0,260.6,92.4,261.3,256.8,145.0,237.1,339.0,38.9,95.2,136.3,80.7,332.8,339.3,72.2,140.6,152.7,291.6,345.7,61.3,412.0,169.0,141.6,248.3,94.1,1190.6,395.8,204.2,104.8,33.1,178.5,327.3,319.9,166.8,48.6,36.0,333.7,160.6,61.6,330.3,143.3,172.8,243.0,268.6,306.5,304.9,248.9,237.9,30.9,304.3,182.3,295.1,248.6,54.5,219.4,128.3,178.4,267.3,284.1,104.3,45.7,204.7,135.3,314.8,109.0,199.2,100.5,280.9,129.1,288.9,213.1,277.8,115.5,209.3,289.8,189.4,225.0,395.6,348.5,361.3,227.5,298.7,81.8,196.5,176.1,158.8,162.2,140.8,235.2,137.0,282.2,278.4,331.7,250.9,284.6,81.7,289.0,256.6,188.9,199.8,148.6,100.8,161.4,326.1,230.9,360.4,319.6,196.7,316.0,178.3,279.8,208.2
AV,316.7,210.7,222.2,40.9,216.2,0.0,185.1,87.7,209.4,107.0,36.4,346.5,101.6,287.6,240.4,267.9,149.9,209.4,112.4,226.8,130.6,159.5,160.3,125.5,125.3,262.8,216.9,89.7,148.6,82.1,189.5,1188.6,179.2,168.8,163.6,206.8,99.2,161.2,140.2,138.6,149.2,168.8,168.0,306.6,246.2,185.0,85.5,132.3,22.6,50.1,249.8,84.5,64.7,54.2,232.4,247.6,160.3,85.6,52.8,256.0,93.1,156.7,136.0,29.8,50.5,305.8,191.5,23.1,188.1,294.2,189.5,69.4,302.0,60.5,283.8,124.1,55.5,111.7,144.9,122.9,230.9,141.4,77.6,196.9,264.8,175.8,73.2,63.6,244.7,33.4,48.1,193.6,147.9,119.6,90.4,151.3,97.8,94.2,142.4,31.5,118.0,201.9,61.8,78.9,70.9,177.8,304.6,292.5,130.2,255.1,97.2,194.7,97.4,82.5,259.3,118.4,223.1,115.0
AY,154.6,277.0,316.4,148.1,207.0,200.3,0.0,146.0,252.0,181.0,169.0,352.1,117.5,147.2,249.5,305.8,268.9,215.1,250.5,147.5,139.7,304.0,64.2,186.1,263.4,271.9,220.2,301.6,243.2,142.8,276.9,1389.0,204.0,64.7,237.4,215.9,311.1,221.8,163.6,268.4,159.0,171.6,144.6,371.2,251.8,138.5,108.1,87.2,167.7,175.0,114.7,216.6,122.2,194.7,241.5,112.5,82.4,189.6,192.5,265.1,290.0,185.8,280.0,202.8,138.5,314.9,201.8,174.5,237.2,173.3,195.1,244.3,314.0,190.0,335.5,183.4,258.2,172.3,248.1,60.2,98.0,100.3,156.5,203.8,153.2,218.4,169.3,153.1,292.4,161.3,140.9,320.8,65.9,280.4,199.5,153.5,176.7,177.9,192.3,231.9,179.1,264.6,216.5,111.0,321.5,89.1,356.3,320.8,259.5,107.0,145.3,172.2,233.8,224.4,124.2,310.9,88.0,315.4
BH,265.6,169.6,269.8,70.0,207.9,100.9,131.2,0.0,249.4,31.4,72.6,353.0,50.5,236.5,246.9,303.2,191.0,212.5,164.4,175.7,137.1,222.4,105.8,81.1,177.3,269.3,174.6,173.6,174.0,63.0,255.1,1282.1,201.6,193.6,232.7,213.3,183.1,142.0,81.0,164.0,159.9,172.5,116.9,368.6,252.7,133.9,92.0,97.7,74.8,80.2,198.7,144.0,32.8,93.9,238.9,196.5,141.3,109.8,45.3,262.5,194.1,183.2,177.1,89.3,45.6,312.3,202.7,64.1,203.3,284.3,196.0,143.5,308.5,120.0,332.9,104.9,157.4,92.5,222.0,71.8,179.8,81.1,38.0,158.2,213.7,135.8,22.1,66.7,293.8,55.9,59.2,242.7,121.2,216.8,107.9,150.9,96.9,43.1,106.2,132.5,99.3,267.4,128.1,27.8,193.5,158.8,353.7,314.6,155.6,193.7,39.6,147.2,151.2,123.6,208.2,247.3,172.0,200.9
BL,385.8,123.2,78.0,259.5,101.1,218.5,260.2,274.9,0.0,276.5,255.0,144.5,301.0,399.7,108.3,77.2,106.4,139.5,331.0,394.7,127.6,99.0,217.3,306.8,343.9,87.0,435.5,139.1,124.7,263.5,52.5,1149.0,397.8,259.6,66.9,77.8,148.6,342.5,335.1,148.9,108.3,88.6,367.4,115.9,57.1,384.4,197.0,228.2,241.2,268.7,361.9,303.1,264.1,211.8,95.2,359.7,237.7,304.2,271.4,72.6,177.8,171.7,160.5,248.4,269.1,120.5,55.1,222.4,113.9,370.2,164.4,169.2,116.7,279.1,93.1,305.4,183.1,293.0,85.6,279.0,367.5,252.4,238.5,415.5,403.9,376.5,242.7,282.2,54.0,211.7,195.9,125.5,217.6,110.9,199.1,199.3,297.4,293.6,346.9,220.9,299.8,40.1,280.4,278.3,159.0,255.2,113.9,101.8,144.5,381.5,266.7,394.1,316.0,178.8,371.4,148.3,335.2,166.6
BS,285.2,237.2,237.2,89.2,191.2,69.4,164.4,87.6,217.9,0.0,84.7,321.5,113.7,299.7,215.4,271.7,158.4,184.4,160.7,238.9,105.6,189.8,122.6,119.5,173.6,237.8,237.8,141.0,141.4,76.2,222.5,1258.1,227.5,143.8,195.3,181.8,150.5,155.2,147.8,131.4,124.2,143.8,180.1,310.4,221.2,197.1,60.5,107.3,70.9,98.4,261.9,132.8,76.8,47.0,207.4,259.7,135.3,123.0,76.5,231.0,162.6,131.7,144.5,78.1,98.8,280.8,166.5,35.1,196.6,269.2,164.5,110.9,277.0,108.8,301.4,118.1,124.8,105.7,189.4,135.0,243.0,123.6,51.2,219.5,276.9,189.2,55.4,111.9,258.3,24.4,23.1,220.1,122.9,177.2,75.3,126.3,110.1,106.3,159.6,101.0,112.5,230.4,110.1,91.0,160.9,152.8,322.2,283.1,123.0,267.2,79.4,206.8,145.7,91.0,271.4,214.7,235.2,168.3
