from_stop,AJ,AP,AS,AW,AY,BG,BJ,BN,BV,BX,BY,CR,CS,CZ,DM,DW,EG,EJ,EO,HA,HO,IC,IE,IM,IO,IQ,IR,IV,JF,JK,JQ,JR,JX,KA,KN,LB,LC,LD,LE,LG,LH,LL,LQ,LR,LS,LY,MT,MV,NK,NN,NQ,NV,NX,NY,OC,OK,ON,OP,OY,PA,PI,PP,PT,QC,QD,QL,QQ,QR,QT,QU,RB,RM,RO,RR,RW,RX,SF,SO,SQ,SR,SV,TA,TD,TH,TX,UF,UH,UL,UP,UX,UZ,VB,VE,VF,VK,VO,VU,VY,WC,WG,WP,WX,XB,XL,XM,XW,YD,YE,YI,YR,YS,YW,ZB,ZK,ZM,ZO,ZQ
AJ,0.0,281.4,275.2,24.3,109.3,167.7,228.4,165.5,127.5,85.0,157.2,115.1,92.2,173.7,301.0,103.9,64.0,263.1,174.0,148.2,86.1,266.5,70.9,207.2,82.0,55.9,99.0,145.1,127.0,150.4,160.7,215.5,151.4,179.0,115.6,102.8,94.6,199.4,185.9,290.9,67.3,210.6,290.7,125.4,84.3,144.2,228.0,112.7,184.5,251.6,233.2,181.1,112.0,135.2,308.1,221.9,201.2,132.7,252.7,139.1,163.0,76.9,188.0,126.8,20.7,116.8,27.3,232.6,99.4,107.2,93.3,164.7,53.0,163.4,128.0,219.0,225.9,224.4,151.8,184.6,237.5,195.9,235.9,73.5,185.5,130.7,184.0,56.8,288.8,98.5,90.7,113.7,32.8,125.0,148.3,89.5,84.7,257.8,179.4,96.4,1212.7,117.7,164.7,90.7,105.8,237.1,128.4,88.8,137.6,94.0,162.2,159.7,114.1,90.4,40.0,140.6,161.5
AP,307.9,0.0,6.1,295.1,307.1,409.4,407.1,250.5,253.6,202.4,189.5,212.3,235.2,236.6,72.8,238.1,249.7,441.8,320.5,382.7,234.3,14.8,258.1,112.2,335.5,264.9,186.8,268.7,306.4,352.9,215.3,394.2,150.7,194.3,295.0,318.5,226.2,142.9,204.2,123.7,250.5,110.3,100.6,310.6,229.4,195.1,53.3,201.1,379.1,430.3,101.5,359.8,228.2,220.9,72.3,120.1,284.8,181.1,51.8,336.6,262.3,243.9,96.0,153.0,287.3,272.6,288.7,144.0,233.1,213.8,315.0,280.9,274.7,289.5,234.8,179.2,140.5,105.5,338.1,304.6,416.2,86.5,86.0,308.0,154.0,239.3,130.2,291.3,34.1,219.2,196.7,287.8,273.2,309.6,241.8,223.2,319.2,46.8,210.7,283.4,1253.4,197.2,232.7,306.4,180.9,99.8,159.0,276.5,172.1,294.4,364.7,292.5,319.5,306.1,280.8,249.2,270.1
AS,310.3,10.7,0.0,294.1,316.4,408.2,403.3,256.7,262.9,211.7,195.7,221.6,244.5,242.4,53.1,237.1,248.7,438.0,326.7,381.5,233.3,8.7,257.1,130.4,326.8,264.2,196.1,280.5,304.4,349.5,221.5,390.4,155.7,188.1,293.2,317.5,226.1,149.1,214.2,111.5,259.8,104.1,94.4,316.9,228.4,204.4,59.5,210.4,375.3,426.5,107.7,356.0,232.6,227.1,59.6,122.5,288.2,190.4,64.5,333.2,268.4,243.2,95.0,162.3,286.3,278.6,287.7,150.2,242.4,212.8,314.0,280.6,273.7,298.8,241.0,178.2,139.5,111.7,334.7,310.8,412.4,85.5,79.8,307.3,147.8,238.3,124.0,290.6,27.9,219.1,206.0,294.0,272.2,315.8,248.0,232.5,318.5,50.0,216.9,282.4,1247.6,206.5,238.9,305.4,190.2,106.0,168.3,285.8,181.4,300.4,361.3,291.5,328.8,305.1,280.1,251.9,269.1
AW,16.1,292.5,286.3,0.0,125.5,183.9,244.6,151.6,143.7,101.2,145.0,101.2,78.3,185.7,319.7,127.7,80.2,279.3,160.1,164.4,102.3,277.6,74.3,224.1,90.5,72.1,115.2,161.3,143.2,166.6,136.3,231.7,168.3,166.8,131.8,88.9,82.4,207.0,172.0,300.2,53.4,219.9,301.8,112.2,100.5,134.5,239.1,103.0,200.7,267.8,229.6,197.3,135.8,121.3,312.7,209.7,176.8,123.0,262.6,155.3,149.0,87.6,199.1,143.7,6.8,102.9,43.5,220.4,123.2,87.1,85.4,188.5,69.2,179.6,114.1,206.0,212.9,233.7,175.6,170.7,253.7,207.0,245.2,89.7,193.0,146.9,196.6,73.0,277.1,89.4,106.9,89.3,18.9,111.1,134.4,113.3,100.9,264.4,165.5,120.2,1228.9,112.9,150.8,76.8,122.7,224.3,137.7,74.9,132.8,80.1,178.4,183.5,137.9,106.6,56.2,160.5,177.7
AY,109.7,313.0,304.1,123.6,0.0,115.3,144.0,253.2,78.2,105.5,172.1,181.9,163.3,285.7,324.0,145.2,87.5,178.7,243.3,88.6,88.6,295.4,139.3,230.0,87.0,99.3,121.1,73.0,66.7,41.0,237.9,131.1,168.3,188.4,59.1,154.4,138.0,219.9,269.4,291.5,182.2,231.1,319.6,170.4,107.8,146.7,256.9,115.2,85.6,167.2,261.3,87.8,90.5,201.8,330.5,240.9,281.8,135.2,286.9,42.7,256.0,120.3,216.9,154.9,130.4,213.7,73.5,242.0,74.8,117.3,134.6,98.9,55.5,87.1,215.7,234.7,241.6,244.9,73.9,259.2,153.1,224.8,256.4,54.1,208.3,85.2,207.3,72.1,294.2,145.0,111.2,200.1,154.4,171.4,244.2,84.7,39.2,272.1,273.0,53.8,1117.9,136.0,247.9,166.5,127.0,257.4,148.9,185.7,161.1,190.9,52.8,73.0,12.3,19.3,83.4,95.6,85.9
BG,177.7,329.3,320.4,191.6,67.9,0.0,62.7,321.2,79.0,130.2,240.1,249.9,231.3,351.5,340.3,174.5,124.3,97.4,311.3,57.1,156.6,311.7,207.3,254.7,152.0,165.1,145.8,61.4,67.6,26.8,305.9,49.8,193.0,256.4,78.8,222.4,203.8,244.6,335.2,320.8,250.2,255.8,335.9,238.4,144.6,214.7,273.2,183.2,16.7,85.9,286.0,18.9,119.8,269.8,346.8,295.6,349.8,203.2,303.2,48.0,324.0,186.1,233.2,179.6,198.4,281.7,141.5,296.7,99.5,179.5,202.6,72.7,123.5,43.1,283.7,264.0,270.9,269.6,35.2,327.2,71.8,241.1,281.1,119.9,233.0,114.5,236.6,137.9,323.3,210.8,135.9,268.1,222.4,239.4,312.2,109.4,107.2,301.2,341.0,90.6,1049.0,172.8,315.9,234.5,151.7,312.1,173.6,253.7,197.9,258.9,16.2,81.9,55.5,87.3,149.2,101.4,84.2
BJ,236.0,410.5,401.6,249.9,154.1,152.8,0.0,393.9,150.4,201.6,317.4,309.2,291.6,416.2,421.5,238.6,168.1,75.0,369.6,126.1,239.9,392.9,267.6,326.1,220.3,232.6,217.2,132.8,111.4,113.8,378.6,27.4,264.4,318.2,122.6,280.7,268.5,315.9,399.9,384.9,310.5,327.2,417.1,264.5,188.4,292.0,354.4,261.5,78.5,45.5,357.3,62.7,183.9,333.4,428.0,340.5,408.1,278.0,384.4,116.2,311.5,253.6,314.4,251.0,256.7,342.0,199.8,341.6,170.9,223.3,260.9,136.8,206.8,114.5,356.4,328.1,335.0,341.0,79.0,385.5,9.1,322.3,352.5,187.4,299.6,178.6,300.7,205.4,391.7,275.5,207.3,328.4,282.7,265.5,373.5,180.8,172.5,369.6,404.6,134.4,1147.2,216.6,342.0,292.8,223.1,357.0,245.0,314.0,241.7,319.2,108.3,135.7,141.7,170.6,216.7,165.5,148.3
BN,150.6,260.4,271.2,159.1,241.9,270.8,361.0,0.0,260.1,217.6,75.2,95.9,118.8,62.9,276.8,244.1,196.6,395.7,75.8,277.9,169.9,248.2,146.3,220.2,206.9,168.6,207.4,275.2,259.6,297.7,48.1,348.1,163.5,97.0,248.4,116.7,129.9,194.9,74.3,286.3,101.7,207.2,272.4,85.2,205.6,110.0,209.7,141.5,287.6,318.2,174.5,289.8,257.6,75.8,283.3,149.5,37.3,121.5,239.7,277.3,36.7,147.6,185.7,173.6,151.3,64.7,159.9,150.6,239.6,160.7,148.8,305.6,185.6,296.0,32.0,279.6,234.7,201.5,306.1,59.9,370.1,193.6,234.6,211.7,178.6,263.3,187.0,195.0,263.0,122.9,223.3,62.3,137.2,84.1,33.9,229.7,222.9,240.9,42.7,236.6,1319.9,181.3,33.5,104.6,201.5,166.0,179.6,99.7,160.3,86.5,287.1,299.9,254.3,223.0,172.6,276.9,294.1
BV,125.0,250.2,241.3,138.9,57.3,145.2,140.3,270.6,0.0,51.1,189.5,181.3,176.5,293.4,261.2,95.6,82.5,175.0,258.6,118.5,128.7,232.6,152.5,175.6,116.7,129.0,66.7,17.6,45.3,86.5,255.3,127.4,113.9,194.2,34.1,169.7,153.4,165.5,277.1,249.5,195.4,176.7,256.8,185.7,102.8,164.1,194.1,146.4,112.3,163.5,206.9,93.0,54.1,205.5,267.7,216.5,297.1,150.1,224.1,70.2,255.4,138.6,154.1,100.5,145.7,226.9,88.8,217.6,20.4,108.2,149.9,65.6,103.2,35.8,233.1,180.8,187.7,190.5,71.7,274.5,149.4,162.0,202.0,83.8,153.9,48.8,155.4,95.2,244.2,160.4,56.8,213.3,167.6,186.7,253.2,30.3,68.9,222.1,284.3,48.8,1087.4,119.5,263.2,181.8,72.6,233.0,94.5,198.9,141.1,204.1,98.3,39.7,69.7,67.0,113.1,59.2,52.6
BX,102.5,199.0,190.1,138.3,104.6,196.4,191.5,219.4,51.1,0.0,138.3,130.1,125.3,242.2,210.0,53.1,52.6,226.2,232.9,169.7,77.5,181.4,101.3,124.4,105.4,108.4,15.5,66.2,92.6,137.7,204.1,178.6,62.7,143.0,81.4,161.7,102.2,114.3,225.9,198.3,144.2,125.5,205.6,185.0,72.6,112.9,142.9,95.2,163.5,214.7,155.7,144.2,66.6,154.3,216.5,165.3,256.8,98.9,172.9,121.4,204.2,87.4,102.9,49.3,130.5,175.7,66.3,166.4,30.6,57.0,127.4,114.6,66.3,87.0,181.9,129.6,136.5,139.3,122.9,243.5,200.6,110.8,150.8,89.4,102.7,72.3,104.2,72.7,193.0,109.2,5.7,162.1,116.4,183.9,202.0,20.7,100.6,170.9,233.1,72.6,1138.6,68.3,262.2,149.6,21.5,181.8,43.3,147.7,89.9,152.9,149.5,90.9,117.0,83.7,75.9,85.9,103.1
