from_stop,AC,AH,AM,AW,BG,BR,BV,CL,CO,CQ,CV,CX,DH,DJ,DO,DS,EC,EG,ES,EU,EX,FB,FC,FN,FS,GC,GK,GP,GX,HL,HP,HU,IK,IL,IT,IW,JG,JK,JR,KE,KI,KP,KR,KS,LA,LD,LG,MA,ML,MT,ND,NH,NL,NS,OG,OH,OK,OM,OT,OU,OZ,PF,PH,PI,PK,PW,PX,QI,QJ,QN,QT,RN,RO,RT,RX,SD,SR,SS,SU,SX,SZ,TH,UH,UU,VK,VS,VX,WA,WB,WN,WP,XD,XE,YQ,YV,ZA,ZB,ZM,ZO,ZS,ZU
AC,0.0,199.3,170.0,392.3,189.1,194.3,109.2,359.7,120.4,82.9,133.6,99.3,198.8,162.7,310.6,242.3,353.9,184.2,217.9,139.9,145.8,322.4,56.9,379.2,73.7,157.9,197.3,59.9,356.2,260.4,13.5,196.0,74.0,253.9,45.6,218.6,147.8,241.1,64.0,35.3,127.9,144.7,121.9,238.9,272.3,261.8,232.3,1310.9,212.4,172.3,260.2,89.4,71.2,109.6,123.8,395.7,277.8,184.3,330.9,96.2,222.0,199.2,122.9,199.0,159.0,282.1,310.3,215.7,36.3,77.0,189.3,271.3,170.5,112.7,238.8,220.0,218.2,232.2,424.3,161.9,20.2,341.4,458.9,185.1,378.3,211.3,418.1,67.3,298.8,143.1,482.6,367.4,162.5,83.6,236.4,334.1,179.8,89.1,118.6,335.6,181.3
AH,201.4,0.0,218.9,443.2,239.9,148.1,179.2,341.3,193.0,126.1,111.8,170.5,50.9,211.6,361.5,293.2,352.9,188.0,89.5,131.3,122.1,353.4,170.0,360.8,184.6,75.5,263.7,206.2,407.1,319.3,218.5,244.9,185.5,304.8,180.6,19.2,218.4,66.1,162.2,192.6,194.3,203.9,202.6,296.1,321.2,99.2,289.4,1236.0,264.3,145.0,319.3,146.1,137.4,126.0,122.2,445.5,328.7,250.7,384.5,191.3,272.9,253.7,167.0,249.9,145.7,346.4,361.2,266.6,192.4,169.8,129.4,322.2,197.7,131.1,289.7,289.2,284.6,103.8,474.1,165.7,221.7,392.3,509.8,86.6,425.9,277.7,469.0,182.4,349.7,96.0,530.6,418.3,90.8,198.7,57.1,385.0,19.0,170.2,167.0,386.5,110.6
AM,173.5,216.5,0.0,248.0,36.2,312.0,134.3,225.2,50.3,148.1,127.6,248.9,245.8,7.3,166.3,108.5,209.6,78.8,156.8,267.2,243.6,178.1,113.1,241.1,175.9,223.1,81.8,209.5,211.9,116.1,187.1,25.9,95.2,109.6,195.2,196.9,48.7,180.0,180.3,164.7,45.8,80.0,145.5,94.6,120.6,161.8,98.5,1259.8,60.7,270.1,115.9,191.6,136.4,181.2,138.0,251.4,133.5,68.8,186.6,90.9,77.7,83.7,122.1,54.7,110.6,151.2,166.0,71.4,134.2,166.3,338.9,127.0,320.1,262.3,94.5,68.3,102.7,156.2,280.0,100.8,169.8,197.1,314.6,186.1,234.0,95.8,273.8,125.6,154.5,191.9,338.3,223.1,159.0,141.9,193.7,189.8,235.6,79.9,41.8,191.3,152.2
AW,404.7,416.7,258.0,0.0,242.3,488.9,369.0,134.5,308.4,379.3,309.8,427.0,422.7,265.3,181.7,215.3,117.8,283.5,357.0,433.2,404.2,164.2,344.3,125.8,407.1,400.0,243.3,464.7,219.7,184.2,418.3,230.0,326.4,205.0,433.4,397.1,253.2,404.8,415.0,395.9,273.7,289.5,376.7,182.7,226.7,360.2,205.3,1396.8,221.7,430.7,165.1,422.8,367.6,337.7,320.2,20.2,167.1,274.5,117.2,347.3,171.6,286.8,356.8,194.5,359.0,148.6,163.5,208.7,365.4,401.0,492.3,222.4,498.2,440.4,154.6,233.3,222.9,378.9,82.4,305.8,425.0,168.4,117.0,375.7,148.6,248.2,100.6,382.0,104.8,369.7,140.7,36.2,341.2,398.3,393.9,69.5,419.1,311.1,299.9,215.3,352.4
BG,187.5,238.0,55.5,237.1,0.0,346.8,155.8,206.7,88.8,160.9,144.4,270.8,264.7,48.2,155.4,69.1,202.6,94.6,178.3,303.5,247.1,168.4,133.6,233.7,191.9,237.2,66.9,223.5,201.0,117.1,211.1,59.7,115.7,104.4,209.2,218.4,68.7,201.5,200.3,194.1,66.3,46.2,166.0,75.9,81.2,177.6,65.3,1268.6,24.3,273.6,105.0,207.6,150.5,195.3,154.8,240.5,126.5,53.9,182.3,104.9,66.8,68.8,143.6,66.3,132.1,128.6,159.0,32.6,147.5,202.5,352.9,122.5,334.1,276.3,83.6,49.2,87.8,172.0,273.0,116.9,183.8,186.2,307.6,207.6,219.8,72.7,262.9,139.6,143.6,213.4,328.4,212.2,175.8,155.9,215.2,178.9,257.1,100.4,63.3,194.2,173.7
BR,228.3,134.5,306.9,475.1,321.4,0.0,191.7,404.5,257.3,153.0,178.4,145.2,100.6,299.6,393.4,325.1,416.1,245.8,188.0,158.2,149.0,385.3,196.9,424.0,198.7,113.0,337.3,233.1,439.0,343.2,241.9,300.1,211.8,336.7,207.5,166.6,292.0,172.9,189.1,227.0,267.9,274.2,229.5,328.0,365.7,211.7,321.3,1193.1,309.2,171.9,343.0,173.0,164.3,154.4,168.6,477.4,360.6,324.3,413.8,218.2,304.8,335.2,205.4,281.8,205.1,366.6,393.1,298.5,217.2,196.7,84.5,354.1,54.1,150.6,321.6,336.4,358.2,202.3,512.3,258.3,192.7,424.2,548.9,147.0,457.8,351.3,500.9,209.3,381.6,144.3,564.7,450.2,163.7,225.6,145.8,416.9,128.9,229.1,258.6,418.4,166.0
BV,111.9,148.7,137.7,359.1,158.7,207.2,0.0,315.5,111.8,31.0,89.4,165.6,130.0,130.4,277.4,209.1,327.1,88.8,140.5,153.1,127.6,289.2,93.4,335.0,55.5,107.3,182.2,118.3,323.0,227.2,129.0,163.7,75.5,220.7,64.3,168.0,136.9,163.7,45.9,83.8,112.8,122.7,81.0,212.0,240.0,184.4,199.1,1297.1,183.1,154.1,227.0,71.2,39.1,65.4,79.6,361.4,244.6,169.2,300.4,93.0,188.8,172.5,13.6,165.8,83.4,250.6,277.1,186.7,84.9,46.6,164.5,238.1,228.9,164.9,205.6,208.0,203.1,154.8,390.0,66.5,99.3,308.2,425.7,121.9,345.1,196.2,384.9,84.1,265.6,92.5,449.4,334.2,111.9,100.4,177.4,300.9,129.2,74.0,85.8,302.4,130.7
CL,372.6,341.0,225.9,122.8,222.2,421.8,336.9,0.0,276.3,347.2,234.1,368.2,347.0,233.2,230.0,167.0,90.6,251.4,281.3,357.5,328.5,65.4,312.2,19.4,375.0,324.3,267.0,445.8,250.5,105.0,386.2,197.9,294.3,149.2,401.3,321.4,216.5,304.5,382.9,363.8,241.6,268.5,344.6,138.9,176.6,328.1,168.3,1387.8,187.3,355.0,171.9,390.7,335.5,262.0,244.5,93.2,95.6,256.6,43.0,327.2,139.5,250.9,324.7,162.4,326.9,195.5,100.6,176.6,333.3,383.6,385.7,142.3,422.5,364.7,150.5,196.2,287.9,279.7,113.2,273.7,406.1,199.2,147.8,300.0,176.1,219.7,131.4,361.9,190.8,294.0,171.5,122.2,265.5,378.2,318.2,155.5,343.4,279.0,267.8,168.4,289.1
CO,123.1,209.8,49.5,297.6,85.8,261.7,112.0,274.8,0.0,97.8,154.9,198.5,195.5,42.2,215.9,157.2,259.2,116.4,150.1,239.1,182.7,227.7,64.7,290.7,127.5,172.8,94.3,159.1,261.5,165.7,138.7,75.5,46.8,159.2,144.8,190.2,98.0,173.3,135.9,116.3,78.1,53.4,112.3,144.2,169.3,194.0,147.2,1362.6,109.4,209.2,165.5,143.2,86.1,130.9,145.1,301.0,183.1,81.3,236.2,40.5,127.3,96.2,106.9,104.3,103.9,179.1,215.6,121.0,85.8,115.4,288.5,176.6,269.7,211.9,144.1,117.0,115.2,164.4,329.6,94.1,119.4,246.7,364.2,179.4,283.6,108.3,323.4,75.2,204.1,158.0,385.0,272.7,177.4,91.5,187.0,239.4,194.7,40.5,35.1,240.9,145.5
CQ,75.4,116.5,159.4,353.7,174.4,175.0,37.5,283.1,104.4,0.0,56.2,147.7,97.8,145.4,272.0,203.7,293.9,124.4,130.5,113.8,84.8,303.8,44.0,302.6,44.5,74.9,184.4,108.6,317.6,222.0,87.7,177.9,59.8,215.5,53.3,135.6,137.8,134.8,36.2,65.3,115.0,120.0,75.3,205.8,244.5,179.2,199.9,1264.7,187.0,111.5,221.8,36.9,10.1,32.2,47.2,357.3,239.2,171.4,291.6,64.0,182.6,181.0,52.5,160.4,72.8,257.1,270.9,177.3,64.3,35.6,144.1,231.9,217.9,132.5,200.2,214.2,205.3,144.8,391.1,105.4,95.7,302.8,426.7,89.5,339.9,197.1,379.5,55.1,260.2,60.1,450.4,328.8,78.7,72.7,165.5,295.5,96.8,74.9,105.7,306.9,98.5
