from_stop,AM,BE,BP,CA,CC,CD,DF,DG,DZ,EJ,FF,FH,FR,GA,GQ,GV,GW,HC,HM,HO,IG,JF,JR,JY,KL,KT,KX,MT,MY,NA,NC,NE,NW,OD,OL,PJ,PQ,PT,PZ,QU,RD,RM,SL,UF,UI,VC,VG,VV,WN,WW,WY,XR,XU,YB,YF,YS,ZD,ZH,ZQ
AM,0.0,1193.7,1197.4,1181.9,1151.2,1294.1,1313.0,1204.7,1348.9,1142.2,1203.9,1219.2,1169.3,1181.3,1234.0,1283.1,1200.4,1253.8,1187.3,1254.2,1212.6,1188.7,1257.9,1217.9,1261.5,1195.4,1224.4,1310.6,1336.5,1296.3,1174.6,1327.3,1296.0,1218.5,1222.7,1158.9,1195.9,1187.5,1203.3,1197.1,1232.0,1244.5,1207.4,1226.2,1186.0,1183.2,1312.4,1176.4,1172.4,1171.8,1269.0,1187.3,1170.5,1189.7,1228.9,1205.8,1267.0,1137.3,1169.0
BE,1264.4,0.0,69.6,94.1,211.5,155.7,257.9,103.6,208.9,44.5,36.2,227.0,41.5,64.9,123.3,123.0,149.3,66.6,76.8,94.1,101.2,78.9,126.4,30.7,120.3,80.8,108.0,118.3,202.1,290.2,154.1,225.2,148.2,131.1,112.9,172.4,86.1,86.7,59.1,103.7,71.9,134.7,135.6,132.8,65.4,115.9,200.3,207.6,72.1,213.9,137.5,76.8,60.7,125.7,141.5,169.9,157.2,177.6,157.8
BP,1194.7,73.9,0.0,148.1,141.8,185.4,229.6,63.5,240.4,72.5,110.2,175.9,33.4,72.9,70.9,190.2,98.9,140.6,56.7,161.3,31.5,70.8,156.1,104.7,159.7,153.8,67.9,192.3,236.2,240.0,84.4,259.3,215.4,61.4,102.5,102.7,94.1,129.0,133.1,34.0,139.1,123.8,65.9,63.1,58.0,172.4,210.6,174.5,114.4,180.8,167.2,56.7,68.7,92.6,71.8,119.6,157.4,144.5,124.7
CA,1269.3,99.0,140.8,0.0,253.9,210.6,313.3,134.2,272.6,80.4,71.6,262.0,94.9,89.1,153.0,177.9,199.4,121.5,97.9,149.0,164.9,101.8,143.5,85.6,186.2,50.9,160.6,184.6,268.0,304.0,199.4,288.0,177.5,169.9,137.1,217.7,124.5,38.5,74.7,149.4,126.8,160.0,197.1,164.3,82.4,107.4,248.7,246.0,25.7,252.3,192.4,97.9,132.5,164.1,180.3,206.7,219.5,216.0,183.1
CC,1134.6,211.4,138.6,240.2,0.0,250.5,239.3,106.5,305.5,178.9,216.3,117.2,170.9,156.5,87.9,240.3,80.4,201.9,176.2,211.4,113.5,120.9,221.2,201.8,224.8,259.9,136.0,271.9,263.9,249.7,54.6,287.0,265.5,93.6,128.4,38.9,171.1,221.1,239.2,114.5,189.2,176.1,87.7,75.4,164.8,288.1,275.7,74.4,206.5,69.8,232.3,176.2,145.7,127.6,83.2,103.8,142.2,35.3,67.0
CD,1287.4,149.5,178.1,196.3,241.6,0.0,148.1,159.9,85.8,135.0,121.6,235.1,150.0,97.7,163.5,57.2,157.4,98.0,184.5,86.1,209.1,147.2,29.3,107.1,75.8,165.2,122.7,104.2,122.6,156.2,193.6,117.9,45.1,194.8,121.0,209.7,112.2,177.2,144.5,172.1,103.1,160.3,240.0,175.7,173.1,177.6,83.5,233.7,162.6,203.1,18.4,184.5,106.8,133.8,184.4,178.8,183.3,185.7,165.9
DF,1323.2,254.2,282.8,301.0,257.8,143.0,0.0,264.6,77.2,239.7,226.3,197.4,254.7,208.0,268.2,167.2,262.1,202.7,289.2,179.2,313.8,251.9,134.0,211.8,136.5,269.9,227.4,190.9,64.8,49.7,261.2,55.6,181.5,299.5,225.7,245.5,156.5,281.9,249.2,276.8,201.4,203.5,283.0,280.4,289.2,306.0,139.5,178.0,267.3,184.3,124.8,289.2,211.5,238.5,289.1,221.4,240.7,221.5,216.1
DG,1194.0,105.7,70.4,134.5,110.6,156.7,200.9,0.1,211.7,73.2,110.6,159.3,65.2,44.2,18.7,134.6,71.2,96.2,70.5,105.7,83.3,16.2,127.4,96.1,142.9,154.2,29.7,166.2,207.5,212.6,53.2,227.5,159.8,72.4,64.9,71.5,65.4,90.2,133.5,46.3,83.5,87.3,103.5,31.9,70.7,149.7,181.9,161.3,100.8,167.6,138.5,70.5,40.0,77.7,62.0,106.4,135.3,129.6,111.5
DZ,1347.3,211.4,252.9,271.1,301.5,91.1,85.4,233.9,0.0,209.8,195.5,241.5,224.8,178.1,223.4,119.5,217.3,157.9,244.4,134.4,269.0,217.9,89.2,181.0,78.4,240.1,182.6,146.1,59.9,96.2,253.5,55.5,107.4,254.7,180.9,269.6,154.3,252.0,218.4,232.0,150.9,201.3,299.9,235.6,233.0,239.9,94.7,222.1,237.4,228.4,80.0,244.4,181.6,193.7,244.3,247.4,177.9,245.6,225.8
EJ,1227.5,51.4,55.1,38.7,174.0,144.9,189.1,66.9,199.9,0.0,72.6,191.1,24.0,32.4,82.1,140.8,124.7,102.4,62.3,111.9,86.7,48.7,115.6,86.6,119.2,82.4,82.7,168.3,195.7,200.8,116.6,215.7,176.0,116.6,80.4,134.9,57.2,38.4,78.5,89.2,89.7,103.3,151.4,98.9,40.6,52.8,170.1,178.7,27.5,181.4,126.7,62.3,46.5,96.8,125.4,135.8,148.6,145.1,130.0
