from_stop,AH,AI,AL,AO,AP,AX,BO,CB,CJ,CO,CP,CQ,CS,CZ,DD,DJ,DK,DO,DQ,ED,EF,EH,EN,ER,EV,FA,FC,FD,FI,GA,GD,GH,GL,GM,GU,GY,HA,HB,HD,HF,HH,HI,HT,HZ,IE,IJ,IY,IZ,JE,JT,JV,KD,KG,KJ,KK,KU,KZ,LD,MB,MG,MI,MJ,MK,MN,MP,MW,MX,MY,NG,NH,NJ,NP,NQ,NU,NW,NX,OC,OO,OP,OV,OX,PA,PJ,PL,PN,PO,PP,PS,PV,QA,QB,QI,QL,QM,QW,RG,RP,RY,SA,SD,SV,SX,SY,TM,TR,TU,TZ,UE,UI,UQ,UY,VA,VJ,VL,VS,WJ,WK,WO,WU,XD,XE,XF,XP,XV,YA,YE,YF,YH,YK,YM,YU,ZA,ZE,ZJ,ZK,ZN
AH,0.0,500.3,452.5,683.7,29.0,528.5,162.2,695.9,514.0,834.1,693.5,922.0,821.4,532.3,594.0,715.0,503.0,611.9,220.3,584.8,842.2,637.0,715.2,674.8,622.6,824.3,585.5,539.4,352.5,981.8,803.7,849.7,896.6,886.9,1026.3,634.3,332.0,677.0,604.3,38.9,60.3,250.9,2704.0,274.2,558.5,364.8,668.6,636.9,694.4,622.1,1005.0,423.3,520.1,672.9,723.9,433.2,666.2,638.8,460.7,776.9,522.6,602.7,722.0,607.4,540.9,236.9,549.9,597.8,663.9,851.5,683.2,579.7,542.7,598.2,880.7,408.7,885.5,538.7,573.0,638.8,866.1,541.4,745.5,697.7,359.1,982.0,693.1,502.7,258.1,226.3,239.7,657.4,581.9,648.1,923.4,360.3,814.4,430.5,818.0,654.0,702.1,599.9,972.3,1012.1,283.5,685.5,592.3,612.2,481.3,686.3,583.7,230.3,602.2,246.7,434.9,370.5,625.1,132.5,740.5,393.5,758.0,598.6,946.5,679.4,905.9,111.3,925.4,616.0,331.2,992.0,633.7,866.7,858.6,290.0,759.6,445.0
AI,484.4,0.0,701.0,461.3,513.5,28.1,418.0,493.1,38.1,402.0,271.1,560.8,460.2,402.4,322.2,335.8,118.0,302.1,400.1,248.4,481.0,385.2,354.0,313.6,370.8,463.1,293.7,453.8,197.9,677.7,371.6,627.3,535.4,664.5,704.3,133.9,222.1,474.2,148.4,523.4,415.7,430.7,2683.0,219.1,320.2,613.3,168.2,181.0,194.0,121.7,725.6,671.8,307.4,421.1,213.7,681.7,315.5,296.9,709.2,574.1,22.2,102.3,499.6,318.3,171.1,303.1,74.0,252.0,163.5,419.4,260.8,103.8,42.3,350.4,658.3,656.0,453.4,82.8,255.3,436.0,434.0,286.7,313.4,265.6,204.5,765.9,441.3,321.6,506.6,474.8,270.7,153.3,359.5,147.7,491.3,608.8,382.3,237.1,591.5,233.4,340.9,124.0,756.2,743.3,532.0,306.3,389.5,233.0,96.3,185.9,342.8,264.0,309.6,245.3,683.4,373.8,254.9,349.9,488.7,642.0,388.2,98.2,724.1,457.0,683.5,497.8,564.2,393.6,579.7,769.6,361.9,434.6,636.2,538.5,556.8,693.5
AL,450.4,721.1,0.0,800.1,479.5,749.3,392.4,812.3,734.8,950.5,809.9,1038.4,937.8,648.7,710.4,831.4,723.8,728.3,441.1,701.2,958.6,753.4,831.6,791.2,739.0,940.7,701.9,655.8,573.3,1098.2,920.1,966.1,1013.0,1003.3,1142.7,855.1,552.8,793.4,815.8,489.4,381.7,471.7,2820.4,495.0,674.9,220.3,816.8,783.7,915.2,795.5,1121.4,117.2,636.5,789.3,788.5,19.2,782.6,755.2,78.9,893.3,743.4,823.5,838.4,723.8,743.9,457.7,770.7,714.2,753.5,967.9,799.6,800.5,763.5,714.6,997.1,53.7,1001.9,759.5,689.4,755.2,982.5,657.8,861.9,814.1,579.9,1098.4,809.5,619.1,197.1,309.7,460.5,878.2,698.3,868.9,1039.8,112.2,930.8,651.3,934.4,770.4,818.5,756.6,1088.7,1128.5,205.6,801.9,708.7,728.6,702.1,907.1,700.1,451.1,718.6,467.5,128.8,591.3,741.5,353.3,856.9,68.9,927.0,819.4,1062.9,795.8,1022.3,463.8,1041.8,732.4,179.5,1108.4,750.1,983.1,975.0,204.9,876.0,63.2
AO,712.5,446.4,802.8,0.0,741.6,421.5,654.5,549.5,442.1,387.1,643.9,617.2,516.6,458.8,147.0,392.2,540.0,562.3,703.2,253.3,537.4,210.6,410.4,370.0,175.6,519.5,138.5,529.4,483.2,435.6,356.7,297.2,500.7,334.4,473.8,375.3,570.3,530.6,367.9,751.5,643.8,733.8,2608.7,567.3,111.5,715.1,348.0,335.8,480.2,326.7,452.5,773.6,363.8,225.9,216.1,783.5,219.2,353.3,811.0,630.5,426.2,381.1,169.5,374.7,296.0,651.3,478.0,548.2,284.7,404.5,633.6,507.8,406.3,406.8,328.2,759.0,438.5,374.1,311.7,492.4,419.1,343.1,298.5,250.7,476.6,435.8,246.1,382.1,608.4,576.6,618.9,443.2,111.7,426.5,476.4,710.6,367.4,405.1,265.5,604.4,397.3,528.0,426.1,465.9,633.8,362.7,445.9,289.4,518.3,472.1,399.2,612.2,552.6,593.5,785.2,679.9,178.1,615.4,293.5,743.8,479.1,412.3,394.0,160.1,353.4,725.9,620.6,61.1,681.5,439.5,186.7,419.7,306.1,640.3,613.2,795.3
AP,30.0,530.4,482.6,713.8,0.0,558.6,192.3,726.0,544.1,864.2,723.6,952.1,851.5,562.4,624.1,745.1,533.1,642.0,250.4,614.9,872.3,667.1,745.3,704.9,652.7,854.4,615.6,569.5,382.6,1011.9,833.8,879.8,926.7,917.0,1056.4,664.4,362.1,707.1,634.4,9.8,90.4,281.0,2734.1,304.3,588.6,394.9,698.7,667.0,724.5,652.2,1035.1,453.4,550.2,703.0,754.0,463.3,696.3,668.9,490.8,807.0,552.7,632.8,752.1,637.5,571.0,267.0,580.0,627.9,694.0,881.6,713.3,609.8,572.8,628.3,910.8,438.8,915.6,568.8,603.1,668.9,896.2,571.5,775.6,727.8,389.2,1012.1,723.2,532.8,288.2,256.4,269.8,687.5,612.0,678.2,953.5,390.4,844.5,460.6,848.1,684.1,732.2,630.0,1002.4,1042.2,313.6,715.6,622.4,642.3,511.4,716.4,613.8,260.4,632.3,276.8,465.0,400.6,655.2,162.6,770.6,423.6,788.1,628.7,976.6,709.5,936.0,141.4,955.5,646.1,361.3,1022.1,663.8,896.8,888.7,320.1,789.7,475.1
AX,512.1,27.6,728.7,433.1,541.2,0.0,445.7,464.9,65.8,373.8,298.8,532.6,432.0,374.2,294.0,307.6,145.7,329.8,427.8,276.1,452.8,357.0,325.8,285.4,342.6,434.9,265.5,444.8,225.6,649.5,343.4,599.1,507.2,636.3,676.1,105.7,249.8,446.0,176.1,551.1,443.4,458.4,2726.6,246.8,292.0,641.0,140.0,208.7,165.8,93.5,697.4,699.5,279.2,392.9,195.3,709.4,287.3,268.7,736.9,545.9,4.6,74.1,471.4,290.1,198.8,330.8,101.7,279.7,135.3,391.2,288.5,131.5,14.1,322.2,630.1,684.9,425.2,110.5,227.1,407.8,405.8,258.5,285.2,237.4,232.2,737.7,413.1,297.5,534.3,502.5,298.4,128.8,331.3,119.5,463.1,636.5,354.1,264.8,567.4,259.3,312.7,151.7,728.0,715.1,559.7,278.1,361.3,204.8,124.0,157.7,314.6,291.7,337.3,273.0,711.1,401.5,226.7,377.6,460.5,669.7,415.9,70.0,695.9,428.8,655.3,525.5,536.0,365.4,607.4,741.4,333.7,406.4,608.0,566.2,528.6,721.2
BO,163.9,452.6,376.3,607.5,193.0,480.8,0.0,619.7,466.3,757.9,617.3,845.8,745.2,456.1,517.8,638.8,455.3,535.7,172.6,508.6,766.0,560.8,639.0,598.6,546.4,748.1,509.3,463.2,304.8,905.6,727.5,773.5,820.4,810.7,950.1,586.6,284.3,600.8,556.6,202.9,95.2,203.2,2627.8,226.5,482.3,288.6,620.9,589.2,646.7,574.4,928.8,347.1,443.9,596.7,595.9,357.0,590.0,562.6,384.5,700.7,474.9,555.0,645.8,531.2,493.2,189.2,502.2,521.6,616.2,775.3,607.0,532.0,495.0,522.0,804.5,332.5,809.3,491.0,496.8,562.6,789.9,465.2,669.3,621.5,311.4,905.8,616.9,426.5,181.9,150.1,192.0,609.7,505.7,600.4,847.2,284.1,738.2,382.8,741.8,577.8,625.9,552.2,896.1,935.9,207.3,609.3,516.1,536.0,433.6,638.6,507.5,182.6,526.0,199.0,358.7,322.8,548.9,84.8,664.3,317.3,710.3,550.9,870.3,603.2,829.7,177.3,849.2,539.8,255.0,915.8,557.5,790.5,782.4,213.8,683.4,368.8
CB,691.6,498.0,781.9,587.4,720.7,470.3,633.6,0.0,536.2,490.1,534.9,636.4,535.8,160.7,448.3,426.1,616.1,453.3,682.3,583.0,556.6,511.3,429.6,389.2,496.9,538.7,419.8,231.3,696.0,765.8,459.7,753.4,611.0,790.6,792.4,424.1,720.2,17.1,646.5,730.6,622.9,712.9,2631.7,717.2,446.3,694.2,396.8,665.5,529.0,375.5,813.7,752.7,310.9,547.2,368.5,762.6,441.6,214.3,790.1,178.3,475.0,429.9,625.7,182.9,625.7,698.9,531.6,439.2,333.5,507.5,524.6,601.9,455.1,173.7,784.4,738.1,541.5,580.9,310.9,131.9,522.1,290.2,401.5,353.7,702.6,831.3,533.7,329.2,587.5,555.7,701.7,492.0,485.6,475.3,579.4,689.7,470.4,734.8,721.7,495.4,416.5,481.6,809.6,831.4,612.9,396.6,112.5,279.9,594.4,520.9,159.2,692.3,443.6,743.4,764.3,871.9,381.0,594.5,614.8,722.9,808.8,461.1,850.2,583.1,809.6,705.0,639.8,519.7,660.6,827.3,488.0,522.7,762.3,619.4,161.0,774.4
CJ,487.1,47.1,703.7,508.5,516.2,75.3,420.7,540.3,0.0,449.2,232.9,608.0,507.4,408.5,369.4,383.0,120.7,263.9,402.8,233.1,528.2,432.4,401.2,360.8,416.4,510.3,340.9,415.6,200.6,724.9,418.8,674.5,582.6,711.7,751.5,181.1,224.8,521.4,133.1,526.1,418.4,433.4,2644.8,221.8,367.4,616.0,215.4,165.7,241.2,168.9,772.8,674.5,396.3,466.7,260.9,684.4,362.7,344.1,711.9,621.3,69.4,149.5,546.8,365.5,155.8,305.8,35.8,213.8,210.7,466.6,222.6,65.6,89.5,397.6,705.5,658.7,500.6,67.5,302.5,483.2,481.2,417.6,360.6,312.8,207.2,813.1,486.9,378.9,509.3,477.5,273.4,200.5,406.7,194.9,538.5,611.5,429.5,221.8,638.7,193.4,388.1,85.8,803.4,790.5,534.7,353.5,436.7,280.2,99.0,233.1,390.0,266.7,271.4,248.0,686.1,376.5,302.1,352.6,534.3,644.7,372.9,145.4,771.3,504.2,730.7,500.5,611.4,440.8,582.4,816.8,409.1,481.8,683.4,541.2,604.0,696.2
CO,824.4,409.0,914.7,427.1,853.5,381.3,766.4,472.2,447.2,0.0,665.2,417.5,439.3,381.5,288.0,314.9,527.1,583.6,809.2,422.7,460.1,351.0,333.1,292.7,334.5,442.2,259.5,452.1,652.6,452.2,146.1,593.1,290.1,630.3,478.8,335.1,631.2,453.3,537.3,863.4,755.7,839.8,2720.6,628.2,286.0,827.0,307.8,505.2,440.0,286.5,500.1,885.5,286.5,284.2,208.2,895.4,281.3,276.0,922.9,553.2,386.0,340.9,465.4,297.4,465.4,712.2,483.1,569.5,244.5,193.9,654.9,512.9,366.1,329.5,624.1,869.7,227.9,543.5,234.4,415.1,208.5,265.8,159.3,155.9,646.0,517.7,264.0,304.8,720.3,688.5,679.8,403.0,325.3,386.3,265.8,822.5,156.8,574.5,557.3,625.7,320.0,533.1,496.0,517.8,745.7,285.4,368.6,212.1,505.4,431.9,321.9,673.1,573.9,654.4,897.1,782.9,220.7,727.3,448.9,855.7,648.5,372.1,562.5,422.8,589.8,837.8,543.3,359.4,793.4,513.7,330.8,209.1,602.0,752.2,535.9,907.2
