from_stop,AA,AC,AD,AE,AI,AM,AO,AP,AT,AY,BA,BB,BF,BM,BR,BY,CA,CB,CF,CK,CM,CN,CO,DI,DO,DP,DU,EA,EB,EG,EL,EM,EP,EV,EW,EX,FG,FH,FJ,FL,FN,FQ,FT,FV,FY,GE,GG,GJ,GO,GQ,GT,GW,GY,HC,HD,HH,HI,HK,HM,HQ,HV,HX,HY,IC,IG,IL,IO,IP,IS,JB,JC,JF,JG,JI,JM,JP,JR,JT,JV,JX,JY,KB,KD,KJ,KL,KM,KO,KP,KX,KZ,LF,LJ,LP,MB,MD,MN,MQ,NB,NP,NX,OD,OK,ON,OU,OW,OZ,PC,PD,PJ,PK,PN,PP,QC,QG,QL,QP,QS,QT,QU,QV,QX,QY,RA,RL,RP,SA,SC,SG,SK,SM,SO,SR,ST,SU,SY,TI,TU,TV,TW,UD,UE,UF,UH,UI,UJ,UN,UO,UQ,US,VI,VL,VP,VT,VU,VY,WA,WE,WH,WN,XD,XH,XS,YI,YO,YS,YV,YW,YY,YZ,ZD,ZE,ZK,ZN,ZS,ZU
AA,0.0,1374.7,184.6,341.4,977.7,1184.3,1292.7,1146.8,376.5,544.1,815.6,1108.5,534.9,726.3,1141.8,502.2,1227.6,1048.8,1273.9,449.5,1018.6,184.1,489.0,573.0,269.0,1269.3,1081.0,694.7,1175.8,506.2,1404.8,1307.5,625.4,200.1,1076.3,534.3,481.6,1502.8,1210.9,1363.6,372.4,858.0,434.8,501.3,604.0,266.4,409.3,394.5,1140.4,731.8,1237.2,646.5,768.0,1375.3,704.5,710.7,1340.4,1138.8,1283.5,413.9,496.8,1237.2,1034.5,795.0,1091.7,472.9,1032.1,704.1,519.8,714.3,359.9,1389.4,768.1,1084.6,719.9,1209.6,1399.2,1278.7,1076.4,317.5,1044.2,1090.5,789.1,1244.4,566.3,481.9,395.7,313.9,1547.9,293.9,327.3,415.0,723.8,40.6,1318.8,440.4,1557.7,310.4,1241.5,1073.3,1209.6,481.7,1162.8,1138.1,714.6,974.0,1381.0,159.9,1293.3,1044.2,208.1,1285.8,598.7,1419.5,1100.8,190.7,515.4,1374.6,1555.9,445.9,1103.1,784.5,1305.9,1068.2,684.4,407.3,334.7,1244.5,609.0,1341.9,434.6,1452.0,1282.7,430.4,1011.6,839.2,1202.7,914.7,1835.3,305.0,1417.7,318.0,491.4,478.3,1197.3,444.7,329.1,1033.9,349.8,968.1,1094.7,880.1,1502.3,666.6,1119.2,584.9,293.1,261.9,483.8,1314.8,432.6,1169.8,1314.5,804.9,813.4,979.2,79.2,1089.0,501.3,811.6,870.7,1263.5,1129.5,497.7,165.2
AC,1358.9,0.0,1271.3,1404.4,397.3,410.2,606.6,279.3,1394.3,971.7,665.5,241.0,1369.5,854.4,367.7,1185.2,435.2,711.7,499.8,1341.4,827.1,1270.8,1342.5,1426.5,1333.8,583.2,412.1,1332.8,401.7,1359.7,54.4,85.7,1263.5,1207.7,302.2,1387.8,1205.8,214.2,436.8,146.8,1375.9,986.1,1391.5,895.4,1242.1,1331.2,1474.1,1159.0,366.3,748.9,463.1,1291.3,769.6,166.8,781.6,769.4,131.9,364.7,544.2,1169.5,862.0,515.2,843.0,687.5,408.2,1364.8,840.6,781.2,877.2,765.9,1053.4,14.7,819.9,288.6,797.0,435.5,64.5,153.1,298.2,1037.9,330.4,380.7,597.6,240.8,1366.1,1284.5,1352.4,1378.7,259.3,1358.7,1028.0,1371.7,756.7,1376.3,122.2,1196.0,269.1,1375.2,467.4,687.2,435.5,1237.3,680.0,622.4,791.7,348.5,45.5,1299.5,96.7,273.4,1318.5,160.2,1236.8,63.5,736.2,1255.5,880.5,157.8,267.3,1201.5,657.4,697.7,131.3,272.2,761.5,1364.0,1399.5,509.1,1462.5,148.9,1049.7,77.2,279.1,1387.1,820.1,967.3,590.3,792.9,2409.0,1369.8,243.1,1382.8,1277.6,1233.9,554.5,1381.1,1377.2,795.2,1414.6,406.9,665.8,688.6,213.7,1431.6,251.7,1223.0,1357.9,1326.7,1304.8,540.7,1369.0,805.2,159.2,933.0,559.4,787.7,1414.9,769.0,895.4,577.6,679.2,259.9,355.4,1351.2,1304.8
AD,167.4,1398.7,0.0,216.6,1001.7,1208.3,1316.7,1170.8,251.7,568.1,839.6,1132.5,410.1,750.3,1165.8,437.3,1251.6,1072.8,1297.9,324.7,1042.6,0.5,364.2,448.2,144.2,1293.3,1105.0,629.8,1199.8,381.4,1428.8,1331.5,560.5,224.1,1100.3,409.5,416.7,1449.4,1234.9,1403.0,247.6,882.0,310.0,525.3,525.0,141.6,284.5,418.5,1164.4,755.8,1261.2,521.7,792.0,1399.3,728.5,734.7,1364.4,1162.8,1307.5,382.0,520.8,1261.2,1058.5,819.0,1115.7,348.1,1056.1,728.1,543.8,738.3,383.9,1413.4,792.1,1108.6,743.9,1233.6,1423.2,1302.7,1100.4,341.5,1068.2,1114.5,813.1,1268.4,441.5,357.1,270.9,189.1,1494.5,169.1,351.3,290.2,747.8,184.8,1342.8,354.8,1504.3,185.6,1265.5,1097.3,1233.6,380.1,1186.8,1162.1,738.6,998.0,1405.0,108.0,1317.3,1068.2,232.1,1309.8,533.8,1443.5,1124.8,65.9,539.4,1414.0,1502.5,381.0,1127.1,808.5,1329.9,1092.2,708.4,282.5,209.9,1268.5,484.2,1365.9,458.6,1476.0,1306.7,305.6,1035.6,863.2,1226.7,938.7,1710.5,180.2,1441.7,193.2,366.6,357.4,1221.3,319.9,204.3,1057.9,225.0,992.1,1118.7,904.1,1448.9,541.8,1143.2,520.0,168.3,137.1,359.0,1338.8,307.8,1193.8,1338.5,828.9,837.4,1003.2,223.4,1113.0,525.3,835.6,894.7,1287.5,1153.5,372.9,113.3
AE,323.4,1424.9,227.9,0.0,1027.9,1234.5,1319.9,1197.0,109.2,556.3,827.8,1158.7,267.6,776.5,1192.0,294.8,1277.8,1076.0,1324.1,188.3,1068.8,228.4,221.7,305.7,128.5,1296.5,1138.2,487.3,1226.0,238.9,1455.0,1357.7,418.0,380.1,1126.5,267.0,274.2,1553.0,1261.1,1435.1,105.1,908.2,167.5,513.5,396.6,65.1,157.6,551.7,1190.6,744.0,1287.4,445.8,780.2,1425.5,754.7,722.9,1390.6,1189.0,1310.7,239.5,547.0,1264.4,1084.7,807.2,1141.9,205.6,1082.3,754.3,532.0,726.5,517.1,1439.6,818.3,1134.8,770.1,1259.8,1449.4,1328.9,1126.6,474.7,1094.4,1140.7,839.3,1294.6,470.5,214.6,128.4,156.8,1598.1,93.6,484.5,147.7,736.0,340.8,1369.0,212.3,1607.9,110.1,1291.7,1100.5,1259.8,237.6,1195.4,1165.3,764.8,1024.2,1431.2,264.0,1343.5,1094.4,388.1,1336.0,391.3,1469.7,1128.0,141.9,565.6,1424.8,1606.1,238.5,1130.3,796.7,1356.1,1118.4,734.6,140.0,83.0,1271.7,341.7,1392.1,591.8,1502.2,1332.9,163.1,1061.8,889.4,1229.9,926.9,1838.7,119.8,1467.9,106.6,224.1,214.9,1224.5,184.3,61.8,1061.1,110.0,1018.3,1121.9,930.3,1552.5,435.4,1169.4,377.5,37.5,108.6,216.5,1365.0,165.3,1197.0,1364.7,855.1,863.6,1029.4,379.4,1116.2,513.5,861.8,920.9,1313.7,1179.7,230.4,269.3
AI,1013.6,450.2,1034.8,1007.0,0.0,285.2,489.1,205.8,996.9,574.3,347.8,167.5,972.1,457.0,242.7,787.8,328.5,543.1,374.8,944.0,512.9,1034.3,945.1,1029.1,1081.4,465.7,103.2,935.4,276.7,962.3,433.7,366.5,866.1,810.3,177.2,990.4,808.4,490.0,311.8,422.6,978.5,588.7,994.1,498.0,844.7,1018.0,1066.3,761.6,241.3,431.2,338.1,893.9,451.9,434.3,384.2,451.7,399.4,239.7,426.7,772.1,464.6,397.7,528.8,369.8,113.9,967.4,526.4,383.8,479.8,448.2,656.0,431.8,530.4,108.2,399.6,310.5,457.4,337.7,98.6,640.5,66.4,112.7,283.4,303.4,968.7,887.1,955.0,1109.7,535.1,1046.5,630.6,974.3,439.0,1031.0,414.9,798.6,544.9,1063.0,342.4,567.6,310.5,839.9,562.5,504.9,394.3,223.5,470.7,1010.1,389.4,148.4,921.1,344.8,839.4,456.4,595.1,1040.9,483.1,433.6,543.1,804.1,539.9,380.0,364.9,123.5,364.1,966.6,1035.9,391.6,1065.1,526.9,652.3,406.7,341.7,989.7,505.9,569.9,472.8,478.7,2406.0,1072.7,476.7,1059.5,880.2,836.5,437.0,983.7,979.8,528.2,1062.9,9.6,548.3,374.4,489.5,1034.2,178.2,825.6,990.4,1061.5,907.4,415.7,971.6,664.1,451.9,535.6,307.7,473.5,1069.6,583.3,498.0,305.9,365.0,322.5,230.4,953.8,1015.4
AM,1250.4,483.7,1271.6,1243.8,285.8,0.0,203.8,239.3,1233.7,811.1,512.1,201.0,1208.9,693.8,103.5,1024.6,103.1,308.9,89.5,1180.8,491.7,1271.1,1181.9,1265.9,1318.2,180.4,300.6,1172.2,51.3,1199.1,467.2,400.0,1102.9,1047.1,107.9,1227.2,1045.2,523.5,102.4,456.1,1215.3,825.5,1230.9,734.8,1081.5,1254.8,1303.1,998.4,173.0,595.5,112.7,1130.7,616.2,467.8,621.0,616.0,432.9,161.6,141.4,1008.9,701.4,112.4,507.6,534.1,296.7,1204.2,505.2,620.6,716.6,612.5,892.8,465.3,666.5,177.1,636.4,113.3,490.9,376.4,186.7,877.3,218.9,269.2,444.2,336.9,1205.5,1123.9,1191.8,1346.5,568.6,1283.3,867.4,1211.1,603.3,1267.8,448.4,1035.4,578.4,1299.8,83.0,284.4,113.3,1076.7,277.2,219.6,631.1,195.1,504.2,1246.9,422.9,136.7,1157.9,378.3,1076.2,489.9,333.4,1277.7,719.9,467.1,576.6,1040.9,254.6,544.3,398.4,160.7,600.9,1203.4,1272.7,106.3,1301.9,621.5,889.1,440.2,375.2,1226.5,484.7,806.7,187.5,434.3,2704.2,1309.5,510.2,1296.3,1117.0,1073.3,151.7,1220.5,1216.6,392.4,1299.7,295.4,263.0,535.2,523.0,1271.0,211.7,1062.4,1227.2,1298.3,1144.2,130.4,1208.4,402.4,485.4,772.4,406.0,634.3,1306.4,366.2,734.8,424.2,482.0,356.0,54.7,1190.6,1252.2
AO,1301.7,645.6,1322.9,1295.1,461.4,175.5,0.0,414.9,1285.0,913.7,533.6,376.6,1260.2,796.4,279.1,1059.6,278.7,252.4,225.4,1232.1,435.2,1322.4,1233.2,1301.0,1369.5,13.9,483.2,1207.2,226.9,1250.4,629.1,561.9,1137.9,1098.4,283.5,1278.5,1080.2,649.3,278.0,603.2,1266.6,928.1,1282.2,837.4,1116.5,1306.1,1354.4,1101.0,348.6,612.0,288.3,1165.7,648.2,629.7,723.6,590.9,594.8,337.2,118.1,1060.2,804.0,71.8,451.1,555.6,472.3,1255.5,448.7,723.2,819.2,594.5,995.4,627.2,688.0,352.7,739.0,288.9,652.8,425.6,362.3,979.9,394.5,444.8,514.1,512.5,1240.5,1175.2,1243.1,1397.8,694.4,1334.6,970.0,1262.4,604.0,1319.1,610.3,1086.7,704.2,1351.1,258.6,227.9,288.9,1128.0,226.1,163.1,733.7,370.7,666.1,1298.2,584.8,312.3,1209.2,504.1,1111.2,651.8,276.9,1327.7,822.5,592.9,702.4,1092.2,198.1,565.8,560.3,336.3,703.5,1254.7,1324.0,79.1,1351.7,716.7,991.7,566.0,550.8,1277.8,428.2,909.3,131.0,377.8,2866.1,1360.8,672.1,1347.6,1168.3,1124.6,95.2,1277.5,1267.9,335.9,1351.0,471.0,206.5,518.1,648.8,1306.0,387.3,1097.4,1278.5,1349.6,1195.5,266.3,1259.7,345.9,647.3,875.0,581.6,617.2,1357.7,309.7,837.4,599.8,425.5,531.6,230.3,1241.9,1303.5
AP,1226.9,359.6,1248.1,1220.3,213.2,226.1,430.0,0.0,1210.2,787.6,481.4,43.0,1185.4,670.3,183.6,1001.1,269.4,535.1,315.7,1157.3,643.0,1247.6,1158.4,1242.4,1294.7,406.6,228.0,1148.7,217.6,1175.6,343.1,275.9,1079.4,1023.6,118.1,1203.7,1021.7,399.4,252.7,332.0,1191.8,802.0,1207.4,711.3,1058.0,1231.3,1279.6,974.9,182.2,564.8,279.0,1107.2,585.5,343.7,597.5,585.3,308.8,180.6,367.6,985.4,677.9,338.6,658.9,503.4,224.1,1180.7,656.5,597.1,693.1,581.8,869.3,341.2,635.8,104.5,612.9,251.4,366.8,247.1,114.1,853.8,146.3,196.6,413.5,212.8,1182.0,1100.4,1168.3,1323.0,444.5,1259.8,843.9,1187.6,572.6,1244.3,324.3,1011.9,454.3,1276.3,283.3,510.6,251.4,1053.2,503.4,445.8,607.6,164.4,380.1,1223.4,298.8,89.3,1134.4,254.2,1052.7,365.8,559.6,1254.2,696.4,343.0,452.5,1017.4,480.8,513.6,274.3,88.1,577.4,1179.9,1249.2,332.5,1278.4,497.4,865.6,316.1,251.1,1203.0,636.0,783.2,413.7,608.8,2580.1,1286.0,386.1,1272.8,1093.5,1049.8,377.9,1197.0,1193.1,618.6,1276.2,222.8,489.2,504.5,398.9,1247.5,29.5,1038.9,1203.7,1274.8,1120.7,356.6,1184.9,628.6,361.3,748.9,375.3,603.6,1282.9,592.4,711.3,393.5,495.1,231.9,171.3,1167.1,1228.7
AT,363.7,1420.0,268.2,94.4,1023.0,1229.6,1315.0,1192.1,0.0,551.4,822.9,1153.8,262.7,771.6,1187.1,289.9,1272.9,1071.1,1319.2,177.3,1063.9,268.7,216.8,300.8,168.8,1291.6,1133.3,482.4,1221.1,234.0,1450.1,1352.8,413.1,439.4,1121.6,262.1,269.3,1548.1,1256.2,1430.2,100.2,903.3,162.6,508.6,391.7,105.4,175.4,546.8,1185.7,739.1,1282.5,440.9,775.3,1420.6,749.8,718.0,1385.7,1184.1,1305.8,234.6,542.1,1259.5,1079.8,802.3,1137.0,200.7,1077.4,753.2,527.1,721.6,512.2,1434.7,813.4,1129.9,765.2,1254.9,1444.5,1324.0,1121.7,469.8,1089.5,1135.8,834.4,1289.7,465.6,209.7,123.5,197.1,1593.2,133.9,479.6,142.8,731.1,381.1,1364.1,207.4,1603.0,150.4,1286.8,1095.6,1254.9,232.7,1185.1,1160.4,759.9,1019.3,1426.3,304.3,1338.6,1089.5,428.4,1331.1,386.4,1464.8,1123.1,182.2,560.7,1419.9,1601.2,233.6,1125.4,791.8,1351.2,1113.5,729.7,135.1,123.3,1266.8,336.8,1387.2,586.9,1497.3,1328.0,158.2,1056.9,884.5,1225.0,922.0,1879.0,160.1,1463.0,146.9,219.2,210.0,1219.6,179.4,67.2,1056.2,150.3,1013.4,1117.0,925.4,1547.6,430.5,1164.5,372.6,77.8,148.9,211.6,1360.1,160.4,1192.1,1359.8,850.2,858.7,1024.5,419.7,1111.3,508.6,856.9,916.0,1308.8,1174.8,225.5,309.6
AY,571.8,1021.1,593.0,565.2,624.1,830.7,939.1,793.2,555.1,0.0,470.3,754.9,530.3,372.7,788.2,346.0,874.0,695.2,920.3,508.3,665.0,592.5,503.3,587.3,639.6,915.7,734.4,493.6,822.2,520.5,1051.2,953.9,424.3,368.5,722.7,548.6,366.6,1149.2,857.3,1031.3,536.7,504.4,552.3,109.7,402.9,576.2,624.5,402.8,786.8,493.9,883.6,452.1,530.1,1021.7,350.9,472.8,986.8,785.2,929.9,330.3,143.2,883.6,680.9,449.7,738.1,525.6,678.5,354.3,128.2,476.4,297.2,1035.8,414.5,731.0,366.3,856.0,1045.6,925.1,722.8,281.7,690.6,736.9,435.5,890.8,526.9,445.3,513.2,667.9,1194.3,604.7,271.8,532.5,485.9,589.2,968.3,356.8,1204.1,621.2,887.9,719.7,856.0,398.1,809.2,784.5,361.0,620.4,1027.4,568.3,939.7,690.6,479.3,932.2,397.6,1065.9,747.2,597.8,161.8,1021.0,1202.3,362.3,749.5,439.2,952.3,714.6,330.8,524.8,594.1,890.9,623.3,988.3,293.5,1098.4,929.1,547.9,658.0,485.6,849.1,676.8,2277.9,630.9,1064.1,617.7,438.4,394.7,843.7,547.6,538.0,680.3,621.1,614.5,741.1,526.5,1148.7,592.4,765.6,383.8,548.6,619.7,465.6,961.2,529.8,816.2,960.9,451.3,459.8,625.6,627.8,735.4,109.7,458.0,517.1,909.9,775.9,512.0,573.6
