from_stop,AG,AH,AI,AL,AR,AT,AY,BA,BF,BH,BK,BO,BS,BX,BY,CG,CJ,CK,CM,CN,CQ,CU,CX,DH,EA,FU,FV,GD,GG,GK,GO,GP,GS,HE,HF,HI,HJ,HM,HS,HW,HZ,IM,IU,IV,IY,IZ,JA,JP,JR,JZ,KM,KN,KR,KY,LA,LD,LE,LR,LZ,MD,MF,MI,ML,MM,MN,MO,MR,MW,NC,NF,NI,NK,NL,NO,NP,NW,OF,OK,OS,OT,OU,OV,OY,PA,PC,PD,PG,PP,PQ,QC,QF,QI,QL,QR,QS,QX,RE,RO,RP,RS,RW,SH,SJ,TE,TF,TL,TM,TT,UI,UM,UU,UV,UW,VB,VC,VD,VE,VI,VN,WC,WD,WJ,WQ,XM,XR,XS,YF,YJ,YN,YR,YW,ZF,ZG,ZK,ZL,ZY
AG,0.0,418.8,389.0,91.7,554.7,223.6,709.0,508.9,333.1,80.9,722.1,372.7,434.9,107.3,93.0,431.1,378.2,52.0,447.0,524.1,182.0,528.0,402.2,540.9,316.4,486.8,235.4,504.4,533.5,454.9,482.8,210.2,172.8,474.9,221.0,431.3,439.3,413.0,525.6,436.1,164.1,314.5,388.4,359.2,76.1,2307.4,140.6,180.7,113.8,366.6,426.5,105.4,112.9,137.9,667.7,445.5,430.5,488.7,301.8,413.4,490.8,396.1,499.2,75.8,427.2,380.2,753.3,426.8,371.0,396.5,458.2,464.1,276.3,148.4,420.5,121.7,428.2,182.8,215.3,84.6,355.3,461.2,387.5,419.4,451.1,134.7,445.2,214.2,420.2,478.1,174.5,600.7,397.6,318.2,331.1,321.3,483.6,467.5,478.4,420.1,424.6,461.5,516.3,713.0,447.4,440.5,370.8,393.1,326.8,171.6,530.4,704.4,289.0,463.9,127.4,319.3,90.9,587.9,115.0,392.7,145.9,217.1,173.9,781.7,491.5,546.9,508.9,1223.0,461.1,499.7,192.9,129.3,481.1,228.0,314.5,710.0
AH,455.3,0.0,844.4,547.1,256.6,679.0,290.4,964.3,98.7,536.3,303.2,816.7,878.9,562.7,469.2,875.1,833.6,507.4,902.4,968.1,421.0,455.3,857.6,996.3,612.6,930.8,450.5,959.8,977.5,36.0,926.8,764.0,478.2,56.0,451.0,143.4,894.7,857.0,844.2,891.5,403.1,117.3,843.8,814.6,531.5,2160.3,596.0,419.7,569.2,822.0,881.9,560.8,568.3,593.3,248.8,900.9,885.9,944.1,757.2,868.8,908.7,851.5,954.6,531.2,871.2,835.6,334.4,882.2,826.4,692.7,913.6,968.1,731.7,309.7,875.9,577.1,872.2,638.2,670.7,372.4,810.7,822.3,842.9,874.8,895.1,590.1,900.6,669.6,722.3,180.0,629.9,302.6,853.0,773.6,786.5,776.7,927.6,911.5,896.3,875.5,880.0,42.6,971.7,294.1,28.5,884.5,826.2,689.3,782.2,627.0,974.4,285.5,210.9,165.8,582.8,774.7,546.3,169.0,570.4,848.1,601.3,527.3,629.3,362.8,936.5,1002.3,210.8,861.5,916.5,943.7,648.3,584.7,169.3,683.4,769.9,291.1
AI,376.4,795.3,0.0,428.4,931.2,428.3,1085.8,119.8,709.6,306.5,1098.6,363.5,420.8,332.2,470.4,421.9,150.5,388.7,79.8,514.9,558.5,870.9,133.7,151.8,692.9,477.6,611.9,110.6,524.3,831.4,454.0,553.1,549.3,851.4,597.5,807.8,170.8,403.8,275.1,227.6,540.6,691.0,119.9,608.5,372.7,2683.9,483.5,557.2,342.4,615.9,158.0,342.6,409.5,342.6,1044.2,96.3,81.3,139.5,551.1,24.3,185.0,64.1,110.1,412.5,369.2,119.9,1129.8,77.6,158.1,725.8,207.7,137.9,481.0,524.9,161.8,418.3,352.5,332.6,420.0,461.1,604.6,224.1,119.0,90.9,381.1,431.3,57.5,418.9,763.1,854.6,379.2,977.2,147.1,567.5,580.4,570.6,474.4,458.3,197.6,151.6,35.5,838.0,127.2,1089.5,823.9,364.8,620.1,769.6,576.1,468.2,521.2,1080.9,665.5,840.4,335.7,568.6,330.7,964.4,339.9,43.5,304.9,593.6,378.6,1158.2,462.7,157.8,885.4,1416.7,109.7,490.5,338.3,251.0,857.6,432.7,563.8,1086.5
AL,92.2,511.1,421.5,0.0,647.0,256.1,801.6,541.4,425.4,113.4,814.4,405.2,467.4,139.8,186.2,463.6,410.7,80.5,479.5,556.6,274.3,586.7,434.7,573.4,408.7,519.3,327.7,536.9,566.0,547.2,515.3,268.9,265.1,567.2,313.3,523.6,471.8,445.5,558.1,468.6,256.4,406.8,420.9,391.7,108.6,2399.7,199.3,273.0,146.3,399.1,459.0,135.3,145.4,170.4,760.0,478.0,463.0,521.2,334.3,445.9,523.3,428.6,531.7,104.3,459.7,412.7,845.6,459.3,403.5,441.6,490.7,496.6,308.8,240.7,453.0,154.2,460.7,215.3,247.8,176.9,387.8,493.7,420.0,451.9,483.6,167.2,477.7,246.7,478.9,570.4,207.0,693.0,430.1,350.7,363.6,353.8,516.1,500.0,510.9,452.6,457.1,553.8,548.8,805.3,539.7,473.0,403.3,485.4,359.3,204.1,562.9,796.7,381.3,556.2,159.9,351.8,123.4,680.2,147.5,425.2,174.7,309.4,206.4,874.0,524.0,579.4,601.2,1315.3,493.6,532.2,225.4,165.1,573.4,260.5,347.0,802.3
AR,566.4,265.6,955.5,658.2,0.0,770.0,501.2,1075.4,251.4,647.4,514.3,874.5,936.7,673.8,580.3,932.9,944.7,618.5,1018.5,1025.9,532.1,198.6,968.7,1081.1,495.1,988.6,561.6,1023.5,1035.3,209.7,984.6,507.3,589.3,267.1,562.1,296.1,1005.8,914.8,949.6,1002.6,514.2,270.0,954.9,925.7,642.6,2067.1,672.1,530.8,680.3,933.1,993.0,669.3,679.4,851.1,459.9,1012.0,997.0,1055.2,868.3,979.9,1014.1,962.6,1065.7,642.3,929.0,946.7,545.5,993.3,937.5,410.6,1024.7,1073.5,903.6,420.8,987.0,688.2,930.0,889.5,842.6,483.5,921.8,927.7,954.0,985.9,952.9,701.2,1011.7,779.4,465.6,76.2,871.8,102.1,964.1,884.7,897.6,887.8,985.4,969.3,1001.7,986.6,991.1,203.1,1082.8,505.2,216.0,942.3,937.3,467.3,893.3,738.1,1032.2,496.6,268.7,90.4,693.9,885.8,657.4,380.1,681.5,959.2,712.4,638.4,820.4,573.9,993.3,1088.3,46.1,945.2,1027.6,1001.5,759.4,699.1,247.7,855.3,881.0,502.2
AT,195.7,614.6,402.8,247.7,750.5,0.0,905.1,522.7,528.9,160.0,917.9,488.6,550.8,186.4,289.7,547.0,419.7,208.0,383.6,640.0,377.8,690.2,443.7,554.7,512.2,602.7,431.2,388.6,649.4,650.7,598.7,372.4,368.6,670.7,416.8,627.1,480.8,528.9,567.1,477.6,359.9,510.3,429.9,475.1,192.0,2403.1,302.8,376.5,104.2,482.5,468.0,112.7,228.8,81.0,863.5,490.9,475.9,534.1,417.7,427.2,532.3,467.0,513.0,231.8,543.1,425.6,949.1,472.2,412.5,545.1,499.7,540.8,133.5,344.2,462.0,237.6,544.1,119.4,72.5,280.4,471.2,516.1,429.0,433.2,567.0,250.6,459.0,9.3,582.4,673.9,101.7,796.5,439.1,434.1,447.0,437.2,599.5,583.4,519.9,461.6,438.4,657.3,530.1,908.8,643.2,556.4,486.7,588.9,442.7,287.5,646.3,900.2,484.8,659.7,206.5,435.2,124.0,783.7,194.1,438.1,128.7,412.9,50.3,977.5,607.4,560.7,704.7,1158.9,474.9,615.6,150.8,198.5,676.9,85.2,430.4,905.8
AY,725.4,270.3,1114.8,817.5,504.0,949.4,0.0,1234.7,368.8,806.7,236.5,1064.1,1126.3,832.8,739.6,1122.5,1104.0,777.8,1172.5,1215.5,691.4,702.7,1128.0,1266.7,883.0,1178.2,720.9,1230.2,1224.9,283.1,1174.2,924.6,748.6,216.0,721.4,413.8,1164.8,1104.4,1114.6,1161.9,673.5,387.7,1114.2,1084.7,801.9,2066.4,866.4,689.8,839.3,1092.4,1152.3,831.2,838.4,863.4,35.8,1171.3,1156.0,1214.5,1027.6,1139.2,1179.1,1187.3,1224.7,801.6,1118.6,1105.7,140.4,1152.6,1096.8,918.9,1184.0,1238.5,1002.1,579.8,1146.3,847.5,1119.6,908.6,941.1,642.8,1081.1,1092.7,1113.3,1144.9,1142.5,860.5,1171.0,940.0,803.8,427.4,900.0,550.0,1123.4,1044.0,1056.9,1047.1,1175.0,1158.9,1166.7,1145.9,1150.4,289.7,1241.8,44.7,275.9,1131.6,1096.6,975.3,1052.6,897.4,1221.8,36.1,458.3,413.2,853.2,1044.8,816.7,104.1,840.8,1118.5,871.4,797.7,899.7,296.1,1182.9,1272.7,458.2,809.5,1186.6,1190.8,918.7,855.1,416.7,953.8,1040.3,97.4
BA,507.8,933.1,131.3,559.8,1069.0,559.7,1223.6,0.0,847.4,437.9,1236.4,355.5,412.8,463.6,601.8,413.9,175.3,520.1,211.2,506.9,689.9,1002.3,236.5,31.9,824.3,469.6,743.3,242.0,516.3,969.2,446.0,684.5,680.7,989.2,728.9,945.6,221.4,395.8,223.6,189.7,672.0,828.8,261.7,600.5,583.9,2735.2,614.9,688.6,473.8,607.9,233.1,474.0,547.5,474.0,1182.0,227.7,212.7,196.0,543.1,113.3,95.1,222.3,51.8,543.9,361.2,213.0,1267.6,209.0,182.9,857.2,182.2,72.2,612.4,656.3,173.4,589.2,344.5,464.0,551.4,592.5,596.6,172.6,251.2,184.0,373.1,525.7,150.6,550.3,894.5,992.4,510.6,1115.0,158.9,559.5,572.4,562.6,466.4,450.3,86.4,240.3,99.3,975.8,110.1,1227.3,961.7,356.8,612.1,901.0,568.1,624.8,513.2,1218.7,803.3,978.2,467.1,560.6,462.1,1102.2,471.3,174.9,436.3,725.0,510.0,1296.0,454.7,67.9,1023.2,1548.1,153.0,482.5,469.7,382.4,995.4,564.1,555.8,1224.3
BF,356.5,85.6,745.6,448.3,250.8,580.2,376.1,865.5,0.0,437.5,388.9,695.8,758.0,463.9,370.4,754.2,734.8,408.6,803.6,847.2,322.2,449.6,758.8,897.5,513.8,809.9,338.7,861.0,856.6,121.7,805.9,566.8,379.4,141.7,352.2,98.1,795.9,736.1,745.4,792.7,304.3,18.6,745.0,715.8,432.7,2061.5,497.2,320.9,470.4,723.2,783.1,459.4,469.5,494.5,334.5,802.1,787.1,845.3,658.4,770.0,809.9,752.7,855.8,432.4,750.3,736.8,420.1,783.4,727.6,593.9,814.8,869.3,632.9,210.9,777.1,478.3,751.3,539.4,571.9,273.6,711.9,723.5,744.1,776.0,774.2,491.3,801.8,570.8,716.5,174.2,531.1,296.8,754.2,674.8,687.7,677.9,806.7,790.6,797.5,776.7,781.2,128.3,872.9,379.8,114.2,763.6,727.4,590.5,683.4,528.2,853.5,371.2,205.1,160.0,484.0,675.9,447.5,254.7,471.6,749.3,502.5,428.5,530.5,448.5,814.9,903.5,205.0,947.2,817.7,822.8,549.5,489.2,147.9,584.6,671.1,376.8
BH,69.8,488.7,308.0,121.8,624.6,156.8,779.2,427.9,403.0,0.0,792.0,362.7,424.9,26.3,163.8,421.1,297.2,82.1,366.0,514.1,251.9,564.3,321.2,459.9,386.3,476.8,305.3,423.4,523.5,524.8,472.8,246.5,242.7,544.8,290.9,501.2,358.3,403.0,444.6,355.1,234.0,384.4,307.4,349.2,66.1,2377.3,176.9,250.6,47.0,356.6,345.5,36.0,102.9,71.1,737.6,364.5,349.5,407.7,291.8,332.4,409.8,315.1,418.2,105.9,417.2,299.2,823.2,345.8,290.0,419.2,377.2,383.1,209.5,218.3,339.5,111.7,418.2,116.0,148.5,154.5,345.3,393.6,306.5,338.4,441.1,124.7,364.2,147.4,456.5,548.0,107.7,670.6,316.6,308.2,321.1,311.3,473.6,457.5,397.4,339.1,343.6,531.4,435.3,782.9,517.3,430.5,360.8,463.0,316.8,161.6,520.4,774.3,358.9,533.8,46.4,309.3,24.1,657.8,34.0,311.7,75.4,287.0,107.1,851.6,481.5,465.9,578.8,1292.9,380.1,489.7,126.1,51.6,551.0,161.2,304.5,779.9
