from_stop,AC,AH,AP,AS,AT,AW,BG,BN,BT,BU,BX,BZ,CO,CP,CQ,CS,CT,CV,DC,DG,DK,DO,DV,DZ,EE,EI,EO,EP,EQ,ER,ES,EW,EZ,FJ,FK,FM,FN,FQ,FZ,GE,GF,GI,GL,GO,GU,HA,HD,HE,HP,HW,IB,IO,JF,KG,KL,KM,KN,KS,LF,LH,LL,LM,LO,LU,LX,MA,MB,MD,MJ,NA,NF,NJ,NN,NT,NV,NW,OB,OC,OF,OG,OP,OR,OW,OZ,PB,PF,PH,PO,PU,PV,PX,QC,QL,QM,QR,RC,RD,RJ,RM,RO,RP,RT,SB,SD,SF,SG,SS,ST,SW,TB,TC,TF,TS,TU,UG,UH,UM,VB,VF,VH,VU,VW,WB,WK,WM,WO,WT,WU,WV,XA,XD,XE,XH,XI,XR,YA,YB,YJ,YK,YN,YV,YZ,ZA,ZD,ZG,ZM,ZP,ZU,ZV,ZY
AC,0.0,589.1,172.9,704.5,147.8,731.5,406.0,735.0,127.6,833.6,40.5,162.2,290.9,153.2,120.0,408.9,470.0,726.1,631.0,621.2,547.9,504.3,166.9,772.3,613.3,651.1,819.0,308.5,196.3,389.8,153.7,140.6,710.4,734.1,669.4,722.0,150.3,297.4,729.1,103.8,324.7,651.2,176.6,445.6,737.6,134.4,408.4,544.6,130.0,872.9,472.9,498.1,692.3,440.2,735.3,339.9,176.8,767.1,335.0,70.3,524.9,470.8,77.5,44.2,94.3,396.4,451.7,869.7,342.6,186.7,604.8,430.6,807.8,815.3,364.3,27.8,602.6,703.4,492.2,615.2,160.6,212.4,138.5,802.9,484.3,756.5,373.9,719.0,512.0,505.1,444.2,178.1,755.5,797.4,234.8,135.2,98.5,178.6,383.1,469.8,168.2,345.0,121.7,854.0,529.4,319.9,192.1,80.5,445.9,303.1,635.4,675.7,105.9,844.5,98.2,161.3,134.8,124.5,373.3,852.8,630.7,290.7,706.7,313.9,109.7,673.4,3141.8,188.1,562.2,476.2,171.4,353.6,335.9,157.8,531.9,671.8,431.9,702.3,679.9,126.0,392.3,333.3,374.8,687.2,373.0,102.3,494.1,744.2,263.7,694.1
AH,560.4,0.0,418.2,115.3,455.0,142.3,296.9,145.8,474.2,244.4,572.9,526.3,400.1,541.4,504.2,221.4,183.6,181.1,41.8,32.0,258.1,177.6,583.6,183.1,170.3,157.5,229.8,420.1,510.7,308.9,443.6,525.4,121.2,144.9,156.4,132.8,406.8,406.4,139.9,444.4,285.4,201.0,530.1,273.5,148.4,452.0,352.4,269.6,416.1,283.7,299.4,294.7,103.1,281.6,146.1,328.3,492.6,177.9,295.7,502.3,238.5,286.6,515.1,563.1,525.2,315.4,264.2,280.5,321.1,445.8,15.6,370.6,218.6,226.1,362.9,561.2,13.4,149.3,225.2,26.0,458.2,428.6,473.5,213.7,300.1,167.3,348.7,129.8,288.6,304.2,327.0,589.4,166.3,208.2,470.6,465.6,540.3,459.8,233.7,305.3,452.9,299.5,530.7,264.8,205.1,387.1,500.7,539.6,287.3,400.7,83.0,144.7,526.7,255.3,545.5,420.4,411.4,472.8,407.7,263.6,41.5,435.2,188.0,347.5,643.1,179.8,2972.4,434.2,119.2,201.2,468.1,209.4,369.6,483.7,242.1,82.6,359.9,113.1,90.7,498.8,337.0,480.5,262.7,193.6,223.2,535.9,293.2,155.0,438.3,104.9
AP,238.7,429.4,0.0,544.8,249.3,571.8,249.0,575.3,282.7,673.9,252.2,216.5,246.2,378.9,358.8,249.2,310.3,566.4,471.3,461.5,373.4,315.6,378.6,612.6,453.6,491.4,659.3,270.6,194.1,387.1,318.6,364.3,550.7,574.4,509.7,562.3,86.2,294.7,569.4,185.4,260.6,491.5,388.3,339.6,577.9,193.0,364.7,384.9,157.1,713.2,289.1,319.1,532.6,251.3,575.6,275.8,231.1,607.4,270.9,180.6,365.2,276.7,275.1,283.0,296.2,277.4,292.0,710.0,339.9,159.9,445.1,332.6,648.1,655.6,364.2,239.5,442.9,543.7,332.5,455.5,341.0,39.4,214.5,643.2,290.2,596.8,216.9,559.3,333.0,326.1,316.7,389.8,595.8,637.7,221.1,206.6,268.5,177.0,223.4,315.4,308.7,398.8,220.9,694.3,320.4,317.2,200.9,282.4,257.0,271.0,475.7,516.0,267.7,684.8,223.8,134.5,152.4,337.1,323.4,693.1,471.0,252.8,547.0,249.8,321.4,513.7,3079.8,317.0,402.5,316.5,185.3,193.9,298.0,364.1,357.4,512.1,321.9,542.6,520.2,327.9,322.5,416.1,215.1,527.5,213.3,276.9,315.1,584.5,259.0,534.4
AS,669.7,109.2,527.5,0.0,564.3,68.1,406.2,93.4,583.5,188.2,682.2,635.6,509.4,650.7,613.5,330.7,292.9,153.8,67.8,110.9,367.4,292.8,692.9,126.9,248.9,225.3,173.6,529.4,620.0,418.2,552.9,634.7,200.1,175.5,186.8,58.6,516.1,515.7,218.8,553.7,394.7,268.8,639.4,382.8,92.2,561.3,461.7,378.9,525.4,227.5,408.7,404.0,46.9,390.9,71.9,437.6,601.9,146.7,405.0,611.6,347.8,395.9,624.4,672.4,634.5,424.7,373.5,224.3,430.4,555.1,93.9,479.9,103.2,169.9,472.2,670.5,122.0,185.5,334.5,83.8,567.5,537.9,582.8,157.5,409.4,93.1,458.0,208.7,397.9,413.5,436.3,698.7,110.1,148.2,579.9,574.9,649.6,569.1,343.0,414.6,562.2,408.8,640.0,208.6,314.4,496.4,610.0,648.9,396.6,510.0,181.0,219.5,636.0,199.1,654.8,529.7,520.7,582.1,517.0,207.4,150.1,544.5,167.4,456.8,752.4,247.6,2916.2,543.5,268.3,310.5,577.4,318.7,478.9,593.0,351.4,161.5,469.2,192.0,169.6,608.1,446.3,589.8,372.0,261.4,332.5,645.2,402.5,166.1,547.6,30.7
AT,156.1,569.3,171.1,684.7,0.0,711.7,352.9,715.2,19.1,813.8,168.0,105.4,172.3,157.8,142.6,389.1,450.2,706.3,611.2,601.4,375.0,337.3,200.0,752.5,593.5,631.3,799.2,182.8,56.3,241.9,70.7,154.1,690.6,714.3,649.6,702.2,148.5,149.5,709.3,84.0,271.6,631.4,205.5,297.7,717.8,118.8,289.8,472.7,110.2,853.1,325.0,445.0,672.5,387.1,715.5,298.6,84.7,747.3,281.9,98.0,505.1,416.6,84.9,112.3,73.9,277.8,353.3,849.9,194.7,132.4,585.0,311.1,788.0,795.5,219.0,156.9,582.8,683.6,472.4,595.4,144.8,210.6,177.8,783.1,430.1,736.7,320.8,699.2,458.9,452.0,296.3,221.7,735.7,777.6,86.9,133.4,110.1,62.1,363.3,321.9,60.8,202.3,89.9,834.2,356.5,172.0,66.4,90.2,392.8,155.2,615.6,655.9,218.9,824.7,141.2,157.8,115.0,89.2,254.7,833.0,610.9,165.0,686.9,260.8,238.8,653.6,2994.9,172.3,542.4,404.3,54.9,333.8,217.3,141.8,359.0,652.0,284.0,682.5,660.1,84.0,244.4,211.6,355.0,667.4,353.2,214.2,441.0,724.4,115.8,674.3
AW,717.7,157.2,575.5,69.1,612.3,0.0,454.2,72.7,631.5,216.2,730.2,683.6,557.4,698.7,661.5,375.5,340.9,85.6,114.7,156.4,415.4,340.8,740.9,154.9,180.3,157.1,201.6,577.8,668.0,466.2,600.9,682.7,194.1,107.3,118.6,14.2,564.1,563.7,191.2,601.7,444.7,200.6,687.4,430.8,120.2,609.3,504.7,426.9,573.4,255.9,458.7,452.4,74.9,438.9,49.4,485.6,649.9,81.5,453.0,659.6,395.8,443.9,675.8,720.4,682.5,472.7,418.6,252.3,478.4,603.1,141.9,527.9,172.8,197.9,528.4,718.5,170.0,120.7,382.5,131.8,615.5,585.9,630.8,185.5,457.4,24.9,506.0,202.3,455.2,461.5,484.3,746.7,126.4,80.0,627.9,622.9,697.6,617.1,391.0,462.6,610.2,456.8,688.0,236.6,362.4,542.3,658.0,696.9,444.6,558.4,202.1,150.9,684.0,227.1,702.8,577.7,568.7,630.1,568.2,235.4,180.5,592.5,111.5,504.8,800.4,179.4,2944.2,591.5,200.1,358.9,625.4,366.7,526.9,641.0,399.4,135.5,517.2,186.0,163.6,656.1,494.3,637.8,420.0,193.2,380.5,693.2,450.5,97.9,595.6,37.3
BG,416.9,324.6,274.7,440.0,388.6,467.0,0.0,470.5,449.0,569.1,429.4,382.8,175.9,507.7,470.5,144.4,205.5,461.6,366.5,356.7,268.6,210.8,556.8,507.8,348.8,386.6,554.5,247.0,295.7,212.6,409.9,491.7,445.9,469.6,404.9,457.5,263.3,283.6,464.6,300.9,82.3,386.7,496.4,224.7,473.1,308.5,186.4,280.1,272.6,608.4,166.3,92.0,427.8,34.1,470.8,125.2,349.1,502.6,92.6,358.8,260.4,64.7,441.4,461.2,474.4,174.4,191.9,605.2,206.4,302.3,340.3,218.9,543.3,550.8,266.6,417.7,338.1,438.9,227.7,350.7,424.5,285.1,330.0,538.4,78.2,492.0,64.0,454.5,105.9,99.0,193.9,568.0,491.0,532.9,293.5,322.1,443.0,316.3,100.6,200.5,419.2,228.9,387.2,589.5,215.6,290.8,357.2,460.6,39.8,247.4,370.9,411.2,383.2,580.0,402.0,276.9,267.9,439.1,204.6,588.3,366.2,229.2,442.2,144.4,499.6,408.9,3195.3,400.5,297.7,211.7,324.6,89.1,174.3,495.9,252.6,407.3,229.9,437.8,415.4,465.1,144.2,504.6,118.6,422.7,94.5,392.4,88.0,479.7,256.5,429.6
BN,706.1,145.6,563.9,84.4,600.7,78.9,442.6,0.0,619.9,164.1,718.6,672.0,545.8,687.1,649.9,363.9,329.3,164.2,103.1,147.3,403.8,329.2,729.3,98.6,259.3,235.7,149.5,570.0,656.4,454.6,589.3,675.3,272.7,185.9,197.2,64.3,552.5,552.1,259.4,590.1,433.1,283.4,675.8,419.2,76.4,597.7,493.1,415.3,561.8,203.4,447.1,440.4,42.6,427.3,19.0,474.0,638.3,160.1,441.4,648.0,384.2,432.3,664.2,708.8,670.9,461.1,407.0,200.2,466.8,591.5,130.3,516.3,187.7,145.8,516.8,706.9,158.4,199.3,370.9,120.2,603.9,574.3,619.2,133.4,445.8,103.5,498.6,281.3,443.6,449.9,472.7,735.1,57.8,93.8,616.3,611.3,686.0,609.7,379.4,451.0,598.6,445.2,676.4,184.5,355.0,530.7,646.4,689.5,433.0,546.4,217.4,234.1,672.4,170.8,691.2,566.1,557.1,618.5,556.6,183.3,188.9,580.9,190.1,497.4,788.8,258.0,2892.1,579.9,278.7,346.9,613.8,355.1,515.3,629.4,387.8,214.1,505.6,228.4,206.0,644.5,482.7,626.2,408.4,271.8,368.9,681.6,438.9,176.5,584.0,52.6
BT,144.2,589.5,191.3,704.9,20.2,731.9,373.1,735.4,0.0,834.0,148.8,111.2,192.5,138.6,123.4,409.3,470.4,726.5,631.4,621.6,395.2,357.5,180.8,772.7,613.7,651.5,819.4,203.0,76.5,262.1,51.5,134.9,710.8,734.5,669.8,722.4,168.7,169.7,729.5,104.2,291.8,651.6,186.3,317.9,738.0,139.0,310.0,492.9,130.4,873.3,345.2,465.2,692.7,407.3,735.7,318.8,104.9,767.5,302.1,118.2,525.3,436.8,67.8,93.1,54.7,298.0,373.5,870.1,214.9,152.6,605.2,331.3,808.2,815.7,239.2,156.4,603.0,703.8,492.6,615.6,125.6,230.8,180.3,803.3,450.3,756.9,341.0,719.4,479.1,472.2,316.5,202.5,755.9,797.8,107.1,153.6,98.4,82.3,383.5,342.1,41.6,222.5,70.7,854.4,376.7,192.2,86.6,71.0,413.0,175.4,635.8,676.1,225.3,844.9,130.8,178.0,135.2,70.0,274.9,853.2,631.1,185.2,707.1,281.0,238.3,673.8,3037.0,153.1,562.6,424.5,75.1,354.0,237.5,122.6,379.2,672.2,304.2,702.7,680.3,64.8,264.6,231.8,375.2,687.6,373.4,195.0,461.2,744.6,136.0,694.5
BU,796.6,236.1,654.4,166.0,691.2,213.4,533.1,169.3,710.4,0.0,809.1,762.5,636.3,777.6,740.4,457.6,419.8,295.7,193.6,237.8,494.3,419.7,819.8,51.3,299.6,280.1,91.8,656.3,746.9,545.1,679.8,761.6,327.0,300.5,267.0,203.5,643.0,642.6,345.7,680.6,521.6,365.2,766.3,509.7,86.5,688.2,588.6,505.8,652.3,130.5,537.6,530.9,133.1,517.8,188.3,564.5,728.8,291.6,531.9,738.5,474.7,522.8,754.7,799.3,761.4,551.6,497.5,46.3,557.3,682.0,220.8,606.8,269.3,71.1,607.3,797.4,248.9,283.0,461.4,210.7,694.4,664.8,709.7,63.9,536.3,238.0,584.9,335.6,524.8,540.4,563.2,825.6,108.5,194.6,706.8,701.8,776.5,696.0,469.9,541.5,689.1,535.7,766.9,111.6,441.3,621.2,736.9,775.8,523.5,636.9,307.9,236.9,762.9,48.6,781.7,656.6,647.6,709.0,643.9,110.4,277.0,671.4,312.3,583.7,879.3,256.9,2782.5,670.4,355.8,437.4,704.3,445.6,605.8,719.9,478.3,288.4,596.1,318.9,296.5,735.0,573.2,716.7,498.9,242.5,459.4,772.1,529.4,310.6,674.5,175.6
