from_stop,AC,AG,AJ,AK,AQ,AV,AZ,BA,BF,BH,BI,BL,BN,BS,BT,BU,BY,BZ,CF,CG,CH,CN,CP,CQ,CU,DC,DG,DO,DV,DW,DY,EG,EH,EK,ET,EU,EY,FE,FN,FU,FW,GI,GO,GP,GQ,GW,GZ,HF,HG,HI,HT,IG,IN,IO,IU,JH,JP,JQ,JU,JV,KA,KK,KL,KQ,KR,KX,KY,KZ,LA,LH,LL,LQ,MC,MM,NC,NG,NJ,NP,NV,NW,NX,OJ,OP,OS,OT,OX,PA,PC,PD,PH,PL,PP,PX,PY,QH,QM,QN,QV,RF,RK,RS,RY,SD,SE,SI,SK,SM,SO,SP,SU,SW,SX,SZ,TD,TH,TL,TM,TS,UA,UB,UC,UD,UF,UG,VF,VJ,VK,VO,VS,WM,WN,WT,WY,WZ,XB,XM,XU,XX,YD,YE,YF,YN,YP,YS,YT,YU,YW,ZA,ZN,ZO,ZP,ZS,ZT,ZX
AC,0.0,886.3,653.1,673.1,54.7,590.7,568.7,1098.8,121.9,560.8,547.7,198.9,451.8,948.0,220.0,71.9,569.3,663.3,573.0,949.7,609.6,1027.1,582.8,535.3,1085.8,959.7,717.4,918.2,795.1,531.7,438.7,562.6,964.9,798.4,83.4,690.2,611.2,1101.8,633.8,362.6,480.7,812.7,602.3,109.4,194.0,688.0,600.9,955.2,782.8,126.2,572.9,497.3,60.8,425.0,701.9,584.3,436.1,601.3,376.8,564.1,114.4,39.7,815.2,818.0,869.0,1073.8,757.0,132.8,847.4,580.4,1008.4,766.2,878.1,411.5,828.9,585.3,625.4,619.3,523.6,610.8,603.9,23.3,598.3,477.1,650.6,865.0,1054.3,559.7,690.3,438.5,600.9,325.6,580.4,616.5,516.2,784.9,1032.7,527.3,452.4,600.0,613.3,651.2,1002.1,213.4,204.8,941.2,514.5,768.0,974.3,738.3,369.5,660.1,531.4,974.4,991.2,61.9,781.4,475.0,987.8,402.4,514.8,607.3,839.3,453.0,649.1,880.7,594.6,592.3,556.3,568.3,446.1,810.3,982.3,183.1,633.5,710.0,247.6,1325.8,422.4,812.9,448.4,793.5,494.8,763.8,508.2,450.3,1077.3,420.3,947.7,731.9,638.3,96.4,936.7,211.9
AG,739.1,0.0,543.2,495.3,793.9,929.2,710.8,339.2,758.9,513.7,689.8,627.4,842.2,188.4,600.9,645.7,859.4,312.7,603.7,314.1,548.6,267.5,441.5,727.6,326.2,200.1,383.1,158.6,287.4,435.3,676.1,412.8,205.3,172.8,822.6,355.9,901.3,342.2,597.9,769.3,718.1,177.1,744.4,608.2,677.7,769.5,414.8,319.6,264.9,591.4,395.0,689.6,656.8,786.6,323.5,616.8,628.4,638.7,823.9,594.8,766.4,730.4,157.4,231.8,275.7,314.2,890.8,751.8,349.7,584.2,248.8,258.5,249.6,823.8,331.2,538.2,767.5,597.6,469.8,608.5,364.1,694.3,369.7,669.4,643.0,367.3,294.7,505.9,478.1,675.9,563.7,638.6,722.5,906.6,854.7,211.3,273.1,628.9,644.7,595.4,755.4,793.3,366.5,607.5,666.9,305.6,876.1,270.3,214.7,432.1,762.3,802.2,662.4,214.8,355.6,669.6,273.7,813.5,352.2,729.9,656.9,605.0,341.6,591.6,449.7,294.5,933.1,615.0,698.4,710.4,791.5,224.1,346.7,611.6,923.6,945.4,549.8,1816.6,784.0,315.2,640.7,171.7,813.3,429.5,745.6,840.7,317.7,612.6,188.1,437.4,602.4,787.1,301.1,582.2
AJ,540.1,529.4,0.0,37.4,594.9,385.9,167.5,803.6,508.3,255.3,146.5,428.4,298.9,652.8,401.9,446.7,316.1,227.5,60.4,644.2,42.8,731.9,277.3,350.4,790.6,525.0,271.1,623.0,359.3,226.2,326.3,188.6,669.7,362.6,623.6,243.9,358.0,806.6,54.6,328.9,330.0,507.2,201.1,409.2,478.7,263.7,295.4,649.7,347.0,392.4,267.4,312.4,457.8,346.2,266.1,73.5,172.0,95.4,400.2,51.5,515.8,531.4,379.4,512.5,556.4,778.6,347.5,497.4,411.6,40.9,713.2,330.4,442.3,280.5,393.1,279.8,224.2,54.3,129.0,65.2,298.4,495.3,292.8,201.1,99.7,429.2,759.1,93.1,54.6,409.0,20.4,439.6,179.2,363.3,311.4,479.4,737.5,85.6,155.6,89.6,212.1,250.0,696.6,408.5,467.9,635.7,435.7,332.2,679.1,102.6,321.9,258.9,119.1,539.7,685.7,470.6,345.6,270.2,682.3,289.5,113.6,61.7,403.5,248.1,343.6,575.2,389.8,109.2,155.1,167.1,248.2,504.8,676.8,412.6,380.3,402.1,350.8,1519.4,343.6,377.1,263.5,488.0,270.0,178.3,357.5,297.4,642.6,188.0,513.0,96.2,59.1,529.5,631.2,383.2
AK,521.0,491.9,47.8,0.0,575.8,433.8,215.4,766.1,556.2,265.7,194.4,409.3,346.8,615.3,382.8,427.6,364.0,190.0,108.3,654.6,53.2,694.4,287.7,398.3,753.1,487.5,233.6,585.5,321.8,236.6,374.2,199.0,632.2,325.1,604.5,206.4,405.9,769.1,102.5,376.8,377.9,517.6,249.0,390.1,459.6,274.1,305.8,660.1,309.5,373.3,277.8,360.3,438.7,394.1,228.6,121.4,219.9,143.3,448.1,99.4,563.7,512.3,341.9,522.9,573.9,741.1,395.4,533.7,374.1,88.8,675.7,292.9,404.8,328.4,355.6,290.2,272.1,102.2,139.4,113.1,245.1,476.2,250.7,249.0,147.6,391.7,721.6,103.5,17.1,456.9,68.3,420.5,227.1,411.2,359.3,489.8,700.0,133.5,203.5,100.0,260.0,297.9,707.0,389.4,448.8,646.1,483.6,294.7,641.6,65.1,369.8,306.8,167.0,502.2,696.1,451.5,308.1,318.1,692.7,337.4,161.5,109.6,366.0,276.4,354.0,585.6,437.7,119.6,203.0,215.0,296.1,515.2,687.2,393.5,428.2,450.0,331.7,1567.3,391.5,339.6,311.4,498.4,317.9,140.8,405.4,345.3,605.1,235.9,475.5,58.7,107.0,569.0,641.6,364.1
AQ,65.2,951.6,718.4,738.4,0.0,656.0,634.0,1164.1,187.2,626.1,613.0,264.2,517.1,1013.3,285.3,137.2,625.5,728.6,638.3,1015.0,674.9,1092.4,648.1,600.6,1151.1,1025.0,782.7,983.5,860.4,597.0,504.0,627.9,1030.2,866.0,28.6,755.5,676.5,1167.1,699.1,427.9,546.0,878.0,667.6,174.7,259.3,753.3,666.2,1020.5,843.0,191.5,638.2,562.6,126.1,490.3,767.2,649.6,501.4,666.6,442.1,629.4,179.7,105.0,880.5,883.3,934.3,1139.1,822.3,198.1,912.7,645.7,1073.7,831.5,943.4,476.8,894.2,648.0,690.7,684.6,588.9,675.8,669.2,88.6,663.6,539.0,715.9,930.3,1119.6,625.0,755.6,503.8,666.2,390.9,645.7,681.8,581.5,850.2,1098.0,592.6,517.7,665.3,678.6,716.5,1067.4,278.7,270.1,1006.5,579.8,833.3,1039.6,803.6,434.8,725.4,596.7,1039.7,1056.5,127.2,846.7,540.3,1053.1,467.7,580.1,672.6,904.6,518.3,714.4,946.0,659.9,657.6,621.6,633.6,511.4,875.6,1047.6,248.4,698.8,775.3,312.9,1359.8,487.7,878.2,513.7,858.8,560.1,829.1,573.5,515.6,1142.6,485.6,1013.0,797.2,703.6,161.7,1002.0,277.2
AV,581.2,860.6,400.6,438.1,636.0,0.0,305.5,1073.1,645.6,535.1,284.5,469.5,211.2,922.3,439.0,487.8,256.8,628.2,352.2,924.0,443.5,1001.4,557.1,318.9,1060.1,925.7,671.8,892.5,760.0,506.0,238.6,534.8,939.2,763.3,664.7,644.6,298.7,1076.1,413.0,241.2,242.3,787.0,258.6,450.3,519.8,662.3,575.2,929.5,747.7,433.5,547.2,271.3,498.9,258.5,666.8,365.3,403.8,387.2,312.5,343.3,653.1,572.5,780.1,792.3,836.2,1048.1,410.2,593.9,812.3,359.6,982.7,731.1,843.0,192.8,793.8,559.6,281.7,398.5,497.9,390.0,578.2,536.4,572.6,444.8,429.8,829.9,1028.6,493.8,455.3,321.3,380.1,476.7,209.7,304.0,83.2,759.2,1007.0,306.5,356.0,490.3,320.1,307.5,976.4,445.6,509.0,915.5,348.0,732.9,948.6,503.3,234.2,316.4,328.6,940.4,965.5,511.7,746.3,123.2,962.1,201.8,275.9,386.5,804.2,402.7,623.4,855.0,128.9,509.9,233.7,222.1,160.5,784.6,956.6,453.7,321.0,397.5,387.9,1658.7,255.9,777.8,321.5,767.8,164.3,579.0,269.8,209.7,1043.3,388.0,913.7,496.9,417.5,629.2,911.0,420.3
AZ,536.5,726.1,196.6,234.1,591.3,299.9,0.0,1000.3,504.7,452.0,28.8,424.8,212.9,849.5,398.3,443.1,230.1,424.2,148.2,840.9,239.5,928.6,474.0,320.6,987.3,721.7,467.8,819.7,556.0,422.9,240.3,385.3,866.4,559.3,620.0,440.6,272.0,1003.3,209.0,242.9,244.0,703.9,115.1,405.6,475.1,460.4,492.1,846.4,543.7,388.8,464.1,273.0,454.2,260.2,462.8,161.3,168.4,183.2,314.2,139.3,512.2,527.8,576.1,709.2,753.1,975.3,350.2,493.8,608.3,155.6,909.9,527.1,639.0,194.5,589.8,476.5,142.8,194.5,325.7,186.0,495.1,491.7,489.5,197.5,225.8,625.9,955.8,289.8,251.3,323.0,176.1,436.0,93.2,277.3,225.4,676.1,934.2,102.5,152.0,286.3,108.1,162.9,893.3,404.9,464.3,832.4,349.7,528.9,875.8,299.3,235.9,171.8,124.6,736.4,882.4,467.0,542.3,184.2,879.0,203.5,71.9,182.5,600.2,244.5,540.3,771.9,303.8,305.9,69.1,81.1,162.2,701.5,873.5,409.0,294.3,370.8,347.2,1522.1,257.6,573.8,323.2,684.7,184.0,375.0,271.5,211.4,839.3,184.4,709.7,292.9,213.5,525.9,827.9,379.6
BA,943.2,350.8,794.3,746.4,998.0,1118.6,961.9,0.0,963.0,764.8,940.9,831.5,979.7,206.5,805.0,849.8,1110.5,563.8,854.8,518.2,799.7,71.6,692.6,931.7,11.8,366.5,634.2,266.9,538.5,686.4,880.2,616.9,260.8,423.9,1026.7,607.0,1143.6,162.8,849.0,973.4,922.2,381.2,995.5,812.3,881.8,1020.6,665.9,523.7,479.3,795.5,646.1,893.7,860.9,990.7,574.6,867.9,832.5,934.6,1028.0,845.9,970.5,934.5,408.5,435.9,486.9,97.3,1062.2,955.9,558.9,835.3,207.3,509.6,416.0,939.4,540.4,789.3,1048.0,848.7,673.9,859.6,615.2,898.4,620.8,873.5,894.1,576.5,68.9,710.0,729.2,880.0,814.8,842.7,973.6,1148.9,1044.1,415.4,66.0,880.0,848.8,750.3,1006.5,1022.2,570.6,811.6,871.0,509.7,1080.2,493.8,249.0,683.2,966.4,1013.3,925.1,381.2,559.7,873.7,524.8,1002.9,556.3,934.0,908.0,856.1,550.8,795.7,700.8,498.6,1209.8,866.1,949.5,961.5,1042.6,428.2,550.8,815.7,1165.9,1116.8,753.9,2020.7,988.1,524.4,844.8,375.8,1064.4,680.6,949.7,978.2,484.1,816.7,354.5,688.5,853.5,991.2,505.2,786.3
BF,115.6,764.3,531.1,551.1,170.4,655.7,446.7,976.8,0.0,438.8,425.7,123.6,516.8,826.0,206.4,160.9,586.2,541.3,451.0,827.7,487.6,905.1,460.8,413.3,963.8,837.7,595.4,796.2,673.1,409.7,417.3,440.6,842.9,676.4,199.1,568.2,637.2,979.8,511.8,510.5,459.3,690.7,480.3,198.4,72.0,566.0,478.9,833.2,655.7,186.9,450.9,375.3,149.8,527.8,579.9,462.3,314.1,482.9,465.8,442.1,7.4,76.6,693.2,696.0,739.9,951.8,635.0,10.8,725.4,458.4,886.4,644.2,756.1,476.5,706.9,460.7,503.4,497.3,401.6,488.8,481.9,112.3,476.3,355.1,528.6,743.0,932.3,437.7,568.3,410.8,478.9,249.4,458.4,642.5,581.2,662.9,910.7,405.3,330.4,478.0,491.3,529.2,880.1,199.8,82.8,819.2,617.3,646.0,852.3,616.3,503.5,538.1,409.4,852.4,869.2,150.9,659.4,540.0,865.8,471.1,392.8,485.3,717.3,331.0,527.1,758.7,659.6,470.3,434.3,446.3,511.1,688.3,860.3,169.5,659.5,689.6,247.5,1441.5,525.2,690.9,326.4,671.5,549.2,641.8,486.8,515.3,955.3,298.3,825.7,609.9,516.3,21.1,814.7,239.3
BH,564.4,325.4,424.6,444.6,619.2,739.8,586.3,537.9,584.2,0.0,565.3,452.7,600.9,387.1,426.2,471.0,734.9,384.5,485.1,388.8,381.1,466.2,304.0,552.9,524.9,398.8,438.6,357.3,513.1,252.9,501.4,238.1,404.0,398.5,647.9,411.4,776.8,540.9,479.3,594.6,543.4,251.8,619.9,433.5,503.0,587.2,322.1,394.3,490.6,416.7,294.1,514.9,482.1,611.9,423.1,498.2,453.7,520.1,649.2,476.2,591.7,555.7,383.1,257.1,301.0,512.9,774.6,577.1,575.4,465.6,447.5,484.2,448.3,560.6,556.9,324.5,643.0,479.0,295.1,489.9,325.1,519.6,319.5,494.7,524.4,593.0,493.4,331.2,461.8,501.2,445.1,463.9,598.0,782.1,665.3,224.0,471.8,510.3,470.0,371.5,630.9,668.8,441.2,432.8,492.2,380.3,701.4,496.0,413.4,487.6,587.6,677.7,549.0,413.5,430.3,494.9,499.4,624.1,426.9,555.2,532.4,486.4,567.3,416.9,370.3,319.8,743.7,483.8,573.9,585.9,595.2,249.4,421.4,436.9,799.1,829.2,375.1,1641.9,609.3,540.9,466.0,232.6,688.8,485.0,570.9,599.4,516.4,437.9,386.8,492.9,483.8,612.4,375.8,407.5
