from_stop,AP,AV,BC,BE,BF,BH,BK,BM,BP,BY,CC,CE,CG,CI,CR,CT,CU,CZ,DA,DE,DK,DO,DS,DW,EC,EP,EQ,ES,EW,EZ,FA,FE,FH,FI,FJ,FO,FW,GA,GC,GR,GW,HF,HG,HH,HT,IF,II,IL,IS,IT,IV,IY,JC,JH,KJ,KS,KU,KW,LE,LN,LU,MC,MH,MI,MJ,MK,MM,MO,MR,NA,NL,NN,NP,NU,NX,OE,OJ,OT,OW,PP,QE,QH,QJ,QR,QV,QW,RE,RJ,SJ,SM,SN,ST,SU,TF,TG,TH,TN,TO,TP,TQ,TR,TS,TV,TW,UH,UJ,UQ,US,UT,UX,VG,VI,VR,VS,VW,VZ,WD,WI,WL,WM,WX,XE,XF,XL,XP,XS,XX,YC,YH,YL,YM,YP,YW,ZA,ZH,ZJ,ZK
AP,0.0,843.9,735.7,873.3,270.3,442.1,339.5,757.0,134.4,525.5,467.8,657.4,385.3,58.8,753.2,639.9,193.0,747.7,598.1,576.5,490.6,674.5,559.8,321.8,586.0,756.4,267.9,671.0,431.2,355.2,598.4,389.7,664.3,615.1,124.4,500.5,392.6,437.8,51.7,910.9,447.9,673.8,89.5,646.0,142.2,439.4,424.1,745.0,494.3,559.3,806.7,194.8,307.9,651.6,558.8,165.1,750.2,367.1,98.2,332.5,688.9,324.4,151.4,1384.5,523.8,79.3,276.2,456.0,132.6,934.6,588.3,550.6,825.8,281.3,829.4,429.8,260.4,876.5,896.1,591.4,586.1,579.4,342.3,278.9,499.1,668.6,583.2,529.4,780.9,395.4,868.1,573.0,359.7,804.8,490.3,537.5,649.5,504.2,466.9,489.1,488.4,595.6,488.8,914.1,895.6,564.4,221.2,849.7,870.3,126.0,292.0,401.9,265.9,349.6,840.2,513.3,437.9,806.5,340.1,483.8,334.4,327.7,911.6,329.5,657.8,642.1,292.6,336.1,807.1,155.7,477.3,548.8,466.8,555.6,598.2,279.9,534.3
AV,811.7,0.0,121.2,787.0,978.0,989.5,605.5,218.5,703.9,368.3,677.3,257.8,1030.3,831.5,653.7,199.6,900.7,661.4,283.7,411.8,404.6,181.7,771.6,750.6,647.6,45.0,647.7,584.7,640.7,735.0,670.6,1097.4,246.8,687.3,832.1,453.6,643.0,567.4,824.4,811.4,437.3,574.3,774.8,252.6,930.6,986.8,506.0,96.5,1005.4,333.0,720.4,902.5,1015.6,710.1,720.7,872.8,367.9,1074.8,886.6,1040.2,602.6,491.3,686.9,1298.2,369.0,824.6,566.6,1003.4,840.3,848.3,258.1,482.8,739.5,710.1,729.9,502.0,694.7,777.0,809.8,505.1,627.6,791.2,722.1,713.2,509.8,383.2,797.3,635.2,48.2,487.6,219.9,346.7,456.0,718.5,562.5,469.7,863.6,695.4,467.9,1000.2,420.6,554.1,543.0,814.6,78.3,628.3,928.9,750.2,145.1,833.7,994.7,494.1,694.7,729.4,181.3,445.5,985.3,169.0,1047.8,556.0,821.9,593.7,825.3,1037.2,372.4,477.4,1000.3,1038.8,707.6,797.2,409.5,760.6,542.1,637.1,471.6,786.7,801.8
BC,740.7,110.4,0.0,688.7,938.4,891.2,507.2,382.3,605.6,359.2,579.0,265.4,932.0,793.3,555.4,207.2,861.1,563.1,291.3,410.4,322.3,148.2,673.3,711.0,549.3,65.3,549.4,486.4,542.4,636.7,572.3,986.9,254.4,589.0,792.5,355.3,544.7,469.1,784.8,713.1,339.0,476.0,735.2,131.3,838.4,888.5,466.4,104.1,907.1,340.6,622.1,862.9,976.0,611.8,681.1,833.2,375.5,950.0,794.4,1000.6,504.3,451.7,588.6,1199.9,357.7,726.3,468.3,905.1,800.7,750.0,202.6,384.5,641.2,670.5,631.6,403.7,655.1,678.7,711.5,406.8,529.3,692.9,623.8,673.6,411.5,302.9,699.0,595.6,158.7,389.3,330.4,354.3,416.4,620.2,464.2,371.4,765.3,597.1,369.6,901.9,322.3,455.8,444.7,716.3,188.8,530.0,889.3,651.9,255.6,794.1,955.1,395.8,655.1,631.1,291.8,347.2,887.0,279.5,1008.2,457.7,782.3,495.4,727.0,997.6,292.1,476.0,960.7,999.2,609.3,698.9,311.2,662.3,443.8,538.8,373.3,688.4,762.2
BE,853.5,795.3,687.1,0.0,1123.9,799.5,620.0,726.4,718.4,494.9,691.8,626.8,857.2,912.4,204.7,591.3,1046.6,236.2,567.5,545.9,457.8,777.4,518.2,1175.4,367.9,750.2,662.2,188.0,655.2,708.9,488.5,912.1,633.7,505.2,978.0,504.9,657.5,581.9,905.3,241.6,488.6,264.2,943.1,597.4,951.2,802.2,932.5,696.4,892.6,528.7,60.6,1048.4,1161.5,521.7,1147.2,1018.7,719.6,875.2,907.2,1090.5,172.0,917.8,701.4,1067.9,493.2,839.1,581.1,785.7,986.2,61.3,539.7,520.0,37.1,1134.9,160.1,470.0,1114.0,346.0,140.0,420.2,439.2,537.8,696.0,1132.5,524.3,620.0,543.9,1061.7,843.6,502.1,837.5,542.4,882.5,107.9,504.2,506.9,610.2,442.0,519.2,887.4,457.8,365.7,594.3,383.6,865.0,429.4,1074.8,319.2,839.7,979.6,1145.6,508.6,1119.5,703.3,809.6,482.7,803.7,775.9,959.3,497.7,1188.0,608.2,125.6,967.0,609.2,611.5,1146.2,1189.7,276.6,811.7,446.7,507.2,556.6,420.6,316.6,801.2,1228.3
BF,270.5,1021.7,911.2,1044.4,0.0,279.2,610.1,1027.6,405.0,796.1,738.4,928.0,222.4,290.3,849.9,910.5,98.5,944.5,868.7,847.1,761.2,821.0,775.9,468.3,802.1,902.9,538.5,867.8,701.8,625.8,869.0,226.8,934.9,885.7,135.8,771.1,626.1,708.4,283.2,1007.6,718.5,770.5,236.0,802.3,389.4,276.5,570.6,954.4,331.4,829.9,977.8,249.1,74.2,922.2,613.1,223.4,1020.8,204.2,345.4,62.1,885.7,470.9,422.0,1454.9,794.4,349.9,546.8,293.1,127.6,1105.7,858.9,821.2,996.9,427.8,926.1,700.4,406.9,973.2,1067.2,862.0,849.5,795.5,612.9,425.4,769.7,939.2,799.3,583.7,927.4,666.0,1138.7,843.6,506.2,975.9,760.9,808.1,865.6,720.3,737.5,326.2,759.0,859.1,759.4,1010.8,965.1,780.5,126.7,946.4,1140.9,241.9,346.3,672.5,412.4,620.2,1110.8,783.9,275.0,1077.1,177.2,754.4,388.7,598.3,1082.7,166.6,928.4,912.7,58.9,390.4,903.8,426.3,747.9,764.9,737.4,771.7,810.0,550.5,588.6
BH,461.6,1009.4,901.2,765.1,278.5,0.0,541.7,938.0,526.3,706.5,670.0,838.4,57.6,481.4,570.6,805.4,289.6,665.2,779.1,757.5,671.6,991.5,533.5,659.4,538.4,964.3,391.8,588.5,633.4,423.4,656.4,112.5,845.3,673.1,326.9,719.0,383.7,618.8,474.3,728.3,628.9,491.2,427.1,811.5,580.5,2.7,761.7,910.5,121.5,740.3,698.5,440.2,316.1,689.6,651.6,414.5,931.2,75.6,536.5,290.9,606.4,662.0,509.3,1175.6,704.8,541.0,478.4,13.8,318.7,826.4,753.8,731.6,717.6,618.9,646.8,610.8,598.0,693.9,787.9,634.3,607.1,553.1,410.5,616.5,680.1,834.1,556.9,635.2,1057.7,576.4,1049.1,754.0,697.3,696.6,671.3,718.5,623.2,477.9,647.9,116.3,669.4,579.8,669.8,731.5,1076.6,538.1,317.8,667.1,1051.3,433.0,537.4,582.9,603.5,417.8,1021.2,694.3,4.2,987.5,159.7,664.8,579.8,529.9,803.4,167.4,823.3,823.1,300.8,581.5,624.5,617.4,658.3,522.5,647.8,529.3,530.7,609.1,640.8
BK,347.1,598.0,489.8,627.4,617.5,525.4,0.0,511.1,212.0,279.6,128.2,411.5,566.2,406.0,494.1,394.0,540.2,501.8,352.2,330.6,244.7,580.1,447.7,669.0,407.9,552.9,155.8,425.1,91.6,243.1,352.5,621.1,418.4,369.2,471.6,254.6,280.5,99.1,398.9,651.8,202.0,414.7,436.7,400.1,444.8,522.7,735.2,499.1,541.3,313.4,560.8,542.0,655.1,405.7,906.0,512.3,504.3,584.2,400.8,679.7,443.0,671.6,195.0,1138.6,277.9,332.7,74.7,539.3,479.8,688.7,342.4,304.7,579.9,628.5,570.3,183.9,607.6,617.4,650.2,345.5,340.2,467.3,230.2,626.1,160.4,422.7,471.1,864.4,646.3,149.5,622.2,327.1,685.2,558.9,244.4,291.6,537.4,392.1,221.0,536.1,242.5,349.7,242.9,655.0,649.7,351.8,568.4,590.6,624.4,473.2,639.2,156.0,613.1,237.5,594.3,267.4,521.2,560.6,687.3,237.9,681.6,11.7,665.7,676.7,411.9,396.2,639.8,683.3,548.0,305.3,231.4,436.7,128.1,360.6,352.3,294.8,881.5
BM,776.7,216.9,398.2,742.7,1047.1,927.2,543.2,0.0,641.6,254.9,615.0,135.8,968.0,835.6,609.4,392.2,969.8,617.1,278.4,298.4,291.2,316.8,750.9,885.7,603.3,354.7,585.4,540.4,578.4,672.7,608.3,1022.9,142.7,625.0,901.2,442.9,580.7,505.1,828.5,767.1,413.2,530.0,866.3,447.3,874.4,924.5,641.1,300.9,943.1,221.1,676.1,971.6,1084.7,661.5,855.8,941.9,6.7,986.0,830.4,1109.3,558.3,626.4,624.6,1253.9,255.6,762.3,504.3,941.1,909.4,804.0,450.7,381.9,695.2,845.2,685.6,439.7,829.8,732.7,765.5,460.8,596.0,770.5,659.8,848.3,447.5,575.8,776.6,770.3,183.3,425.3,111.0,205.9,591.1,674.2,500.2,368.8,842.9,674.7,468.5,937.9,293.1,509.8,518.7,770.3,138.5,607.6,998.0,705.9,113.2,902.8,1068.8,431.8,829.8,667.1,83.1,333.3,923.0,49.4,1070.1,493.7,957.0,531.4,781.0,1106.3,565.0,364.0,1069.4,1112.9,663.3,734.9,303.9,739.9,479.8,616.4,427.3,724.4,936.9
BP,135.0,709.4,601.2,738.8,405.4,503.0,205.0,622.5,0.0,391.0,333.3,522.9,520.4,193.9,618.7,505.4,328.1,613.2,463.6,442.0,356.1,691.5,425.3,456.9,451.5,664.3,133.4,536.5,296.7,220.7,463.9,524.8,529.8,480.6,259.5,366.0,258.1,303.3,186.8,776.4,313.4,539.3,224.6,511.5,232.7,500.3,559.2,610.5,518.9,424.8,672.2,329.9,443.0,517.1,693.9,300.2,615.7,502.2,188.7,467.6,554.4,459.5,16.9,1250.0,389.3,120.6,141.7,516.9,267.7,800.1,453.8,416.1,691.3,416.4,694.9,295.3,395.5,742.0,761.6,456.9,451.6,444.9,207.8,414.0,364.6,534.1,448.7,664.5,757.7,260.9,733.6,438.5,494.8,670.3,355.8,403.0,515.0,369.7,332.4,513.7,353.9,461.1,354.3,779.6,761.1,429.9,356.3,715.2,735.8,261.1,427.1,267.4,401.0,215.1,705.7,378.8,498.8,672.0,475.2,349.3,469.5,193.2,777.1,464.6,523.3,507.6,427.7,471.2,672.6,93.2,342.8,414.3,332.3,421.1,463.7,145.4,669.4
BY,521.7,380.2,378.6,487.5,792.1,672.2,288.2,231.4,386.6,0.0,360.0,131.8,713.0,582.0,354.4,208.4,714.8,362.1,72.5,43.4,38.1,419.5,495.9,843.4,348.3,335.1,332.1,285.4,323.4,417.7,353.3,767.7,138.7,370.0,646.2,187.9,325.7,250.1,573.5,507.2,158.0,275.0,611.3,280.4,619.4,669.5,615.5,281.3,688.1,33.7,421.1,716.6,829.5,406.5,830.2,686.9,224.6,730.8,575.4,854.3,303.3,600.8,369.6,998.9,0.7,507.3,249.3,686.1,654.4,549.0,266.9,126.9,440.2,803.1,430.6,184.7,782.2,477.5,510.5,205.8,341.0,515.5,404.6,800.7,192.5,302.8,521.6,744.7,414.8,170.1,342.5,47.4,565.5,419.2,245.0,113.8,587.9,419.7,213.5,682.9,38.1,254.8,263.7,515.1,370.0,352.6,743.0,450.7,344.7,647.8,813.8,176.8,787.7,412.1,314.6,78.3,668.0,280.9,814.9,238.7,856.2,276.4,526.0,851.3,292.2,108.8,814.4,857.9,408.3,479.9,48.9,484.9,224.8,361.4,172.3,469.2,911.3
