from_stop,AO,AR,AS,AT,AW,AX,AY,BB,BD,BG,BH,BT,BW,CB,CK,CW,CZ,DI,DQ,DX,DZ,EA,EE,EG,EK,EO,ER,EU,EY,FA,FI,FM,FR,FS,FZ,GD,GG,GI,GJ,GM,HB,HI,HJ,HO,HR,HV,HW,HZ,IB,IC,IG,IL,IS,IX,JA,JB,JJ,JO,JQ,JU,JW,KH,KM,KR,KU,LG,LH,LI,LK,LM,LN,LU,LW,MF,MH,MV,MW,ND,NH,NN,NQ,NU,OC,OE,OK,ON,OT,OX,OY,OZ,PC,PE,PF,PP,PX,QA,QI,QN,QQ,QT,QX,QY,RB,RE,RJ,RL,RM,RP,RY,SG,SL,SW,SZ,TA,TD,TG,TI,TQ,TS,TU,TY,UB,UD,UE,UH,UJ,UO,UR,US,UU,VF,VQ,WA,WH,WJ,WS,WW,WX,XA,XJ,XY,YH,YJ,YN,ZA,ZE,ZF,ZQ,ZU,ZX
AO,0.0,622.9,782.4,537.0,817.9,577.1,588.4,727.9,810.0,446.7,824.8,287.4,677.5,122.4,777.0,528.6,547.9,205.5,631.8,802.3,18.8,489.6,613.4,650.7,807.1,1016.1,372.5,962.1,875.3,844.6,502.5,726.7,627.2,642.3,908.5,638.0,156.7,585.6,801.3,555.2,714.4,833.7,842.6,470.0,777.0,861.1,872.7,703.4,669.6,697.8,515.6,940.8,671.7,719.3,587.4,710.2,857.9,262.4,734.1,731.3,802.0,767.7,671.8,306.9,809.7,870.0,842.5,799.6,595.6,494.9,743.0,837.0,505.7,554.5,561.7,97.0,215.6,899.6,953.5,836.8,393.4,696.5,755.5,658.2,707.6,940.1,247.8,227.1,486.6,895.0,470.8,334.4,154.1,709.0,941.4,810.0,646.4,516.0,782.3,568.0,669.2,240.8,633.3,506.7,2026.0,551.2,790.9,515.4,587.8,602.6,618.5,637.6,551.4,675.5,277.6,824.7,476.6,696.4,793.1,734.0,845.5,171.6,871.1,819.2,775.8,812.9,717.9,795.4,217.8,498.7,607.0,1017.8,950.8,968.0,752.8,439.6,158.5,831.3,752.0,700.2,598.1,628.9,793.5,411.2,652.2,814.8,552.7,945.3,262.6,511.4
AR,674.6,0.0,493.8,904.1,529.3,397.6,388.4,276.4,570.5,867.3,536.2,831.0,226.0,666.0,488.4,102.6,308.4,749.1,180.3,513.7,685.2,179.4,365.7,767.0,518.5,564.6,770.4,610.2,586.7,605.1,128.6,757.0,23.5,353.7,594.0,306.3,700.3,477.9,512.7,103.7,110.7,594.2,554.0,362.3,325.5,622.7,634.3,462.8,218.1,814.1,325.2,652.2,383.1,430.7,703.7,421.6,406.4,806.0,282.6,442.7,513.4,316.2,383.2,850.5,570.2,581.4,604.1,915.9,356.1,729.9,454.4,587.4,266.2,670.8,595.8,640.6,759.2,650.9,664.9,548.2,869.0,245.0,516.0,206.7,103.9,488.6,791.4,770.7,295.8,443.5,202.2,298.3,697.7,774.7,652.8,560.4,42.7,408.3,542.8,385.0,429.7,784.4,29.6,316.3,2569.6,443.5,187.2,115.8,415.1,554.4,4.3,33.9,443.7,1039.7,821.2,536.1,368.9,92.7,553.6,411.6,457.8,715.2,582.5,612.6,487.2,361.4,429.3,506.8,761.4,308.3,15.8,729.2,662.2,516.5,464.2,838.7,702.1,542.7,394.1,460.7,358.6,745.2,342.0,755.0,363.6,443.8,445.0,656.7,806.2,271.9
AS,793.1,472.8,0.0,1004.6,395.5,409.3,400.1,577.8,671.0,967.8,134.6,949.5,527.4,784.5,193.7,378.5,408.9,867.6,481.7,235.3,803.7,313.3,377.4,867.5,230.5,866.0,870.9,823.1,381.3,705.6,352.4,943.5,477.1,332.7,388.6,285.3,818.8,596.4,464.6,405.1,564.3,694.7,257.3,480.8,626.9,417.3,428.9,564.4,519.5,914.6,443.7,368.6,362.1,266.8,804.2,373.5,707.8,924.5,584.0,112.8,406.5,617.6,139.0,969.0,670.7,219.3,398.7,1016.4,456.6,830.4,96.7,382.0,366.7,771.3,696.3,759.1,877.7,445.5,199.8,342.8,969.5,546.4,616.5,508.1,557.5,790.0,909.9,889.2,414.3,732.6,302.7,416.8,816.2,925.8,187.7,355.0,496.3,526.8,643.3,364.0,530.2,902.9,483.2,434.8,2688.1,562.0,640.8,365.3,394.1,654.9,468.4,487.5,562.2,1140.2,1026.2,174.0,487.4,546.3,654.1,595.0,706.5,833.7,259.2,407.2,63.6,645.9,381.2,242.2,879.9,426.8,456.9,445.6,378.6,817.9,223.1,939.2,820.6,337.3,613.0,561.2,459.1,845.7,643.4,855.5,342.6,675.8,379.4,333.4,984.1,372.4
AT,526.8,913.7,1055.2,0.0,1090.7,992.9,1004.2,906.5,600.5,288.4,1097.6,382.5,871.6,477.2,1049.8,819.4,694.2,360.5,922.6,1075.1,537.4,780.4,927.1,415.6,1079.9,685.1,191.5,637.3,1148.1,635.1,793.3,491.6,918.0,915.1,1155.4,867.7,410.3,1001.4,1074.1,846.0,1005.2,624.2,1115.4,885.8,853.4,1184.1,1195.7,652.5,916.8,462.7,931.4,1213.6,944.5,992.1,352.3,983.0,861.2,406.2,912.7,1004.1,1074.8,779.2,944.6,450.7,600.2,1142.8,1165.5,564.5,564.1,259.8,1015.8,1148.8,653.1,319.4,326.6,443.1,566.2,1212.3,1226.3,1109.6,290.1,987.3,405.9,949.0,998.4,761.6,320.6,339.7,902.4,820.7,731.4,750.2,469.9,473.9,1214.2,1121.8,937.2,931.8,546.0,983.8,523.1,399.3,924.1,922.5,2125.0,967.0,1081.7,806.2,1003.6,367.5,909.3,928.4,967.2,550.0,346.8,1097.5,892.4,987.2,558.5,683.1,794.6,522.2,1143.9,1235.0,1048.6,734.0,990.7,1068.2,397.6,914.5,897.8,1290.6,1223.6,771.2,1025.6,215.8,509.1,1104.1,701.1,490.7,689.2,393.8,804.7,153.8,925.0,763.9,968.5,1218.1,304.7,647.4
AW,842.3,522.0,378.6,1053.8,0.0,349.3,340.1,627.0,720.2,1017.0,263.9,998.7,576.6,833.7,216.1,427.7,458.1,916.8,530.9,241.4,852.9,362.5,317.4,916.7,246.2,915.2,920.1,872.3,314.4,754.8,401.6,992.7,526.3,184.5,321.7,233.1,868.0,520.8,306.1,454.3,613.5,743.9,281.7,393.3,676.1,350.4,362.0,613.6,568.7,963.8,492.9,379.9,240.7,158.4,853.4,215.0,757.0,973.7,633.2,436.0,148.7,666.8,487.1,1018.2,719.9,309.1,331.8,1065.6,505.8,879.6,419.9,315.1,415.9,820.5,745.5,808.3,926.9,378.6,392.6,275.9,1018.7,595.6,665.7,557.3,606.7,839.2,959.1,938.4,463.5,781.8,351.9,466.0,865.4,975.0,380.5,288.1,545.5,451.2,692.5,280.0,579.4,952.1,532.4,484.0,2737.3,486.4,690.0,414.5,310.1,704.1,517.6,536.7,486.6,1189.4,1075.4,263.8,386.7,595.5,703.3,644.2,755.7,882.9,310.2,340.3,442.3,695.1,222.7,234.5,929.1,476.0,506.1,456.9,389.9,867.1,191.9,988.4,869.8,270.4,662.2,610.4,508.3,894.9,692.6,904.7,174.4,725.0,295.4,384.4,1033.3,421.6
AX,636.6,384.4,485.0,916.2,363.4,0.0,11.3,489.4,582.6,879.4,370.3,793.0,439.0,628.0,322.5,290.1,320.5,711.1,393.3,347.8,647.2,224.9,36.2,779.1,352.6,777.6,782.5,734.7,420.8,617.2,264.0,855.1,388.7,187.8,428.1,140.4,662.3,255.4,346.8,316.7,475.9,606.3,388.1,127.9,538.5,456.8,468.4,476.0,431.1,826.2,355.3,486.3,217.2,264.8,715.8,255.7,619.4,768.0,495.6,393.3,347.5,529.2,333.8,812.5,582.3,415.5,438.2,928.0,368.2,742.0,405.0,456.7,278.3,682.9,607.9,602.6,721.2,519.3,499.0,382.3,881.1,458.0,528.1,419.7,469.1,701.6,753.4,732.7,325.9,644.2,214.3,260.3,659.7,837.4,486.9,429.7,407.9,185.8,554.9,92.0,441.8,746.4,394.8,346.4,2531.6,221.0,552.4,276.9,93.8,566.5,380.0,399.1,221.2,1051.8,783.2,370.2,121.3,457.9,565.7,506.6,618.1,677.2,416.6,438.9,437.8,557.5,263.4,340.9,723.4,338.4,368.5,563.3,496.3,729.5,298.3,850.8,664.1,376.8,524.6,472.8,370.7,757.3,555.0,767.1,197.7,587.4,93.6,490.8,768.2,284.0
AY,645.8,373.1,473.7,904.9,352.1,9.1,0.0,478.1,571.3,868.1,359.0,802.2,427.7,637.2,311.2,278.8,309.2,720.3,382.0,336.5,656.4,213.6,24.9,767.8,341.3,766.3,771.2,723.4,409.5,605.9,252.7,843.8,377.4,176.5,416.8,129.1,671.5,264.6,335.5,305.4,464.6,595.0,376.8,137.1,527.2,445.5,457.1,464.7,419.8,814.9,344.0,475.0,205.9,253.5,704.5,244.4,608.1,777.2,484.3,382.0,336.2,517.9,322.5,821.7,571.0,404.2,426.9,916.7,356.9,730.7,393.7,410.2,267.0,671.6,596.6,611.8,730.4,473.7,487.7,371.0,869.8,446.7,516.8,408.4,457.8,690.3,762.6,741.9,314.6,632.9,203.0,269.5,668.9,826.1,475.6,383.2,396.6,195.0,543.6,80.7,430.5,755.6,383.5,335.1,2540.8,230.2,541.1,265.6,82.5,555.2,368.7,387.8,230.4,1040.5,792.4,358.9,130.5,446.6,554.4,495.3,606.8,686.4,405.3,448.1,426.5,546.2,252.1,329.6,732.6,327.1,357.2,552.0,485.0,718.2,287.0,839.5,673.3,365.5,513.3,461.5,359.4,746.0,543.7,755.8,186.4,576.1,85.8,479.5,777.4,272.7
BB,795.6,312.4,614.8,874.4,650.3,518.6,509.4,0.0,540.8,837.6,657.2,931.7,56.5,787.0,609.4,223.6,455.9,909.7,156.0,634.7,806.2,300.4,486.7,737.3,639.5,359.6,740.7,405.2,707.7,641.7,249.6,552.0,316.7,474.7,715.0,427.3,821.3,598.9,633.7,197.0,403.9,630.8,675.0,483.3,120.5,743.7,755.3,257.8,101.7,784.4,446.2,773.2,504.1,551.7,691.0,542.6,201.4,927.0,6.1,563.7,634.4,111.2,504.2,971.5,606.8,702.4,725.1,886.2,325.8,700.2,575.4,708.4,414.8,723.9,562.3,761.6,880.2,771.9,732.4,669.2,839.3,218.4,486.3,172.5,394.2,283.6,869.8,888.9,416.8,238.5,323.2,419.3,818.7,569.7,720.3,681.4,335.9,529.3,513.1,506.0,400.0,948.5,322.8,435.9,2676.2,564.5,480.4,236.8,536.1,524.7,308.0,327.1,564.7,1010.0,896.0,657.1,489.9,385.9,613.8,206.6,252.8,836.2,703.5,733.6,608.2,156.4,550.3,627.8,882.4,429.3,296.5,850.2,783.2,311.5,585.2,809.0,823.1,663.7,189.1,431.0,450.9,715.5,137.0,725.3,484.6,238.8,566.0,777.7,853.9,409.1
BD,800.4,540.9,682.4,581.3,717.9,586.2,577.0,533.7,0.0,544.5,724.8,638.6,498.8,760.7,677.0,446.6,321.4,616.6,549.8,702.3,811.0,407.6,554.3,444.2,707.1,294.1,447.6,243.2,775.3,125.7,420.5,390.0,545.2,542.3,782.6,494.9,666.4,684.5,701.3,473.2,632.4,114.8,742.6,568.9,480.6,811.3,822.9,279.7,544.0,491.3,531.8,840.8,571.7,619.3,380.9,610.2,488.4,706.3,539.9,631.3,702.0,406.4,571.8,750.8,90.8,770.0,792.7,593.1,191.3,407.1,643.0,776.0,280.3,348.0,273.0,726.6,822.3,839.5,853.5,736.8,546.2,614.5,193.2,576.2,625.6,370.6,576.7,595.8,502.4,447.9,358.6,504.9,770.0,407.7,841.4,749.0,564.4,614.9,86.7,573.6,150.3,655.4,551.3,522.9,2383.1,650.1,708.9,433.4,603.7,231.6,536.5,555.6,650.3,716.9,602.9,724.7,575.5,614.4,74.2,310.3,421.8,778.3,771.1,801.2,675.8,361.2,617.9,695.4,697.7,514.9,525.0,917.8,850.8,380.2,652.8,515.9,765.2,731.3,328.3,97.8,316.4,422.4,431.9,432.2,552.2,391.1,589.0,845.3,560.8,274.6
BG,399.2,865.4,1006.9,276.9,1042.4,865.3,876.6,858.2,552.2,0.0,1049.3,237.4,823.3,359.5,1001.5,771.1,645.9,215.4,874.3,1026.8,409.8,732.1,901.6,367.3,1031.6,636.8,89.1,589.0,1099.8,586.8,745.0,443.3,869.7,866.8,1107.1,819.4,265.2,873.8,1025.8,797.7,956.9,575.9,1067.1,758.2,805.1,1149.3,1160.9,604.2,868.5,414.4,803.8,1165.3,896.2,943.8,304.0,934.7,812.9,401.9,864.4,955.8,1026.5,730.9,896.3,446.4,551.9,1094.5,1130.7,516.2,515.8,211.5,967.5,1125.2,604.8,271.1,278.3,325.4,421.1,1187.8,1178.0,1061.3,145.0,939.0,357.6,900.7,950.1,713.3,175.5,194.6,774.8,772.4,683.1,622.6,376.7,425.6,1165.9,1098.2,888.9,804.2,497.7,856.2,474.8,254.2,875.8,794.9,2120.7,839.4,1033.4,757.9,876.0,319.2,861.0,880.1,839.6,640.0,201.7,1049.2,764.8,938.9,510.2,634.8,746.3,377.1,1095.6,1107.4,1000.3,685.7,942.4,1019.9,393.3,786.9,849.5,1242.3,1175.3,722.9,977.3,211.5,364.0,1055.8,652.8,442.4,640.9,345.5,756.4,127.8,876.7,715.6,840.9,1169.8,159.6,599.1
