from_stop,AD,AE,AK,AL,AR,AZ,BA,BE,BG,BH,BX,CC,CK,CZ,DI,DL,DS,DU,DV,ED,EE,EG,FE,FJ,GN,GW,HC,HK,HL,HO,IA,II,IR,IS,IT,IV,IW,IY,JC,JL,JM,JO,JQ,JW,JX,JZ,KC,KD,KG,KI,KK,KM,KT,KV,LC,LE,LH,LI,LJ,LO,LP,LV,LX,MD,ME,MU,NT,NV,OD,OG,OI,OO,OR,OV,OX,PB,PE,PI,PK,PL,PQ,PV,QC,QV,QX,RC,RI,RM,RN,RP,RQ,RS,SF,SN,SO,SZ,TA,TB,TJ,TS,TW,TY,UB,UE,UG,UK,UT,VF,VN,VP,VQ,VR,VT,VU,VY,VZ,WD,WE,WF,WG,WH,WI,XC,XD,XK,XM,XX,XY,YH,YV,ZB,ZU,ZX
AD,0.0,757.1,515.1,813.7,417.9,448.9,251.5,758.8,848.6,822.6,129.9,246.9,724.5,772.7,506.9,52.6,836.7,325.7,757.3,241.7,428.6,245.0,150.9,36.8,793.5,840.9,818.6,960.6,379.1,699.4,720.3,755.4,704.3,729.9,734.0,436.3,648.5,347.8,670.7,194.4,81.9,467.5,282.3,373.4,478.6,751.1,651.6,275.5,705.8,744.9,233.8,306.4,688.5,832.3,422.4,277.9,224.3,140.7,736.2,74.3,370.6,179.8,148.2,762.4,370.4,675.7,304.3,809.5,651.6,413.5,779.1,651.6,716.8,216.7,454.8,416.3,466.0,274.5,300.8,336.7,328.8,289.8,696.4,364.1,216.5,986.8,257.7,398.9,251.9,811.2,771.3,260.5,682.0,225.7,669.8,393.9,288.9,906.2,229.3,248.5,738.9,171.8,398.0,765.2,787.8,48.7,75.3,726.4,660.9,730.8,294.2,320.7,387.4,680.8,430.0,771.7,696.3,633.6,788.8,249.7,398.8,243.9,323.2,744.1,35.7,1376.8,435.9,313.5,749.5,310.6,768.6,541.1,337.5
AE,734.0,0.0,527.7,531.2,966.4,998.1,584.5,389.4,253.1,227.8,760.6,788.2,414.3,490.2,242.0,687.3,158.0,867.7,313.5,790.9,613.0,703.3,659.1,738.8,243.7,470.3,140.6,366.3,921.1,211.9,373.7,163.1,153.8,376.8,199.8,448.9,100.5,889.8,396.4,736.4,712.6,480.1,824.3,460.1,1020.6,201.3,146.2,756.2,387.4,54.0,672.1,848.4,138.7,461.0,964.4,795.0,592.3,682.7,198.4,753.4,555.0,721.1,690.2,364.8,554.8,238.6,846.3,118.6,146.2,955.5,261.2,146.2,427.2,758.7,993.4,984.3,314.2,712.8,494.4,775.0,767.1,831.8,112.6,906.1,758.5,392.5,696.0,940.9,584.2,528.7,401.9,777.6,98.2,520.2,132.1,479.1,830.2,311.9,771.3,689.9,195.1,688.9,628.1,68.9,96.9,751.4,680.9,351.9,434.4,444.0,774.9,858.6,929.4,174.7,972.0,93.7,594.0,531.3,322.1,574.2,341.7,681.5,865.2,324.7,708.0,1765.5,985.1,855.5,421.9,849.2,101.3,366.2,521.9
AK,515.1,545.5,0.0,602.1,636.6,668.3,380.3,547.2,636.3,611.0,540.9,492.9,512.9,561.1,294.6,467.6,624.4,572.4,545.7,461.1,408.8,587.3,430.0,519.9,581.9,629.3,607.0,749.0,625.8,487.8,508.0,543.8,492.0,518.3,522.4,87.2,436.2,527.0,459.1,507.7,492.9,67.3,612.9,255.9,657.8,539.5,440.0,552.0,494.2,533.3,467.9,485.6,476.9,620.0,601.6,590.8,388.1,454.0,523.9,481.6,350.8,492.4,461.5,550.8,350.6,463.4,551.0,597.9,440.0,522.5,567.5,440.0,505.2,404.8,582.7,635.7,254.4,508.6,290.2,570.8,562.9,536.5,484.8,610.8,529.8,775.2,491.8,645.6,380.0,599.6,559.7,573.4,470.4,316.0,457.5,274.9,534.9,685.9,542.6,485.7,527.3,484.7,423.9,553.6,576.2,496.0,461.2,514.8,449.3,519.2,570.7,447.9,634.1,468.5,676.7,560.1,664.9,602.2,577.2,370.0,187.2,477.3,569.9,533.4,488.3,1354.8,655.3,560.2,537.9,438.5,607.3,329.5,317.7
AL,724.5,502.7,580.7,0.0,846.0,877.7,637.5,218.6,386.9,348.0,750.3,702.3,227.5,98.7,350.4,677.0,619.9,781.8,260.3,670.5,666.0,796.7,639.4,729.3,441.6,343.9,602.5,463.6,835.2,290.2,222.6,346.2,380.1,232.9,334.7,501.9,443.6,736.4,183.9,717.1,702.3,533.1,822.3,513.1,867.2,399.2,495.8,809.2,208.8,515.9,725.1,695.0,393.0,334.6,811.0,807.1,645.3,663.4,336.2,691.0,608.0,701.8,670.9,265.4,607.8,275.7,760.4,580.5,495.8,731.9,369.9,495.8,219.8,614.2,792.1,845.1,367.2,765.8,547.4,828.0,820.1,745.9,469.7,820.2,739.2,489.8,749.0,855.0,637.2,38.8,202.8,789.7,455.3,573.2,513.3,532.1,744.3,400.5,752.0,742.9,339.6,723.5,681.1,508.3,558.8,705.4,670.6,229.4,163.9,233.8,827.9,657.3,843.5,524.3,886.1,555.6,247.7,185.0,229.8,627.2,394.7,734.5,779.3,248.0,697.7,1564.2,864.7,769.6,252.5,647.9,409.7,253.7,574.9
AR,414.0,937.1,719.6,724.3,0.0,132.9,456.0,633.3,803.1,847.8,366.3,454.7,754.2,644.0,710.7,356.3,1033.8,534.2,787.0,293.8,633.1,449.5,304.7,372.7,866.1,870.6,1016.4,879.8,569.1,724.6,749.3,780.6,804.6,759.6,759.2,640.8,852.3,488.8,700.4,452.7,333.9,672.0,574.7,577.9,619.6,823.7,856.1,508.9,735.5,942.7,438.3,447.4,817.5,861.3,563.4,511.3,428.1,399.0,760.7,346.5,575.1,437.4,406.5,792.1,574.9,700.2,486.1,1007.3,856.1,484.3,804.3,856.1,746.5,366.6,519.1,100.3,670.5,479.0,505.3,541.2,533.3,500.0,894.2,497.5,474.8,906.0,462.2,572.4,455.7,721.8,617.5,493.9,879.8,429.5,873.6,598.4,496.7,816.7,487.6,453.0,764.1,405.2,602.5,942.7,985.6,360.9,365.2,756.1,690.6,760.5,527.6,384.3,560.8,884.6,539.9,969.5,634.4,571.7,804.7,454.2,603.3,447.7,531.7,774.7,387.2,1314.9,77.3,503.1,779.2,374.9,844.1,696.2,542.0
AZ,453.9,977.8,760.3,765.0,116.7,0.0,496.7,674.0,843.8,888.5,394.4,495.4,794.9,707.5,751.4,397.0,1074.5,574.9,827.7,334.5,673.8,490.2,345.4,413.4,906.8,911.3,1057.1,920.5,609.8,765.3,790.0,821.3,845.3,800.3,799.9,681.5,893.0,529.5,741.1,493.4,374.6,712.7,615.4,618.6,660.3,864.4,896.8,549.6,776.2,983.4,479.0,488.1,858.2,902.0,604.1,552.0,468.8,439.7,801.4,387.2,615.8,478.1,447.2,832.8,615.6,740.9,526.8,1048.0,896.8,525.0,845.0,896.8,787.2,407.3,559.8,81.9,711.2,519.7,546.0,581.9,574.0,540.7,934.9,538.2,515.5,946.7,502.9,613.1,496.4,762.5,658.2,534.6,920.5,470.2,914.3,639.1,537.4,866.1,528.3,493.7,804.8,445.9,643.2,983.4,1026.3,401.6,405.9,796.8,731.3,801.2,568.3,425.0,601.5,925.3,580.6,1010.2,675.1,612.4,845.4,494.9,644.0,488.4,572.4,815.4,427.9,1355.6,166.0,543.8,819.9,415.6,884.8,736.9,582.7
BA,232.5,617.6,375.6,674.2,464.1,495.8,0.0,619.3,708.4,683.1,258.3,285.9,585.0,633.2,366.7,185.0,696.5,365.4,617.8,288.6,289.1,201.0,156.8,237.3,654.0,701.4,679.1,821.1,418.8,559.9,580.1,615.9,564.1,590.4,594.5,296.8,508.3,387.5,531.2,234.1,210.3,328.0,322.0,233.9,518.3,611.6,512.1,253.9,566.3,605.4,169.8,346.1,549.0,692.1,462.1,292.7,27.8,180.4,596.0,251.1,231.1,218.8,187.9,622.9,230.9,535.5,344.0,670.0,512.1,453.2,639.6,512.1,577.3,256.4,501.7,463.2,326.5,210.5,161.3,272.7,264.8,329.5,556.9,403.8,256.2,847.3,193.7,438.6,0.3,671.7,631.8,275.3,542.5,85.5,529.6,254.4,327.9,758.0,269.0,109.0,599.4,186.6,258.5,625.7,648.3,249.1,178.6,586.9,521.4,591.3,272.6,366.9,427.1,540.6,469.7,632.2,737.0,674.3,649.3,36.8,259.3,179.2,362.9,605.5,205.7,1482.8,482.8,353.2,610.0,357.5,628.4,401.6,198.0
BE,654.7,388.6,582.4,219.8,776.2,807.9,668.5,0.0,169.7,226.8,680.5,632.5,164.3,139.5,381.4,607.2,505.8,712.0,139.1,600.7,697.0,726.9,569.6,659.5,472.6,220.8,488.4,246.4,765.4,345.1,163.7,254.6,411.1,41.0,365.7,532.9,474.6,666.6,214.9,647.3,632.5,564.1,752.5,544.1,797.4,430.2,526.8,757.4,149.9,401.8,715.7,625.2,424.0,211.5,741.2,737.3,676.3,593.6,367.2,621.2,639.0,632.0,601.1,115.3,638.8,306.7,690.6,466.4,526.8,662.1,424.8,526.8,91.4,544.4,722.3,775.3,398.2,756.4,578.4,818.6,810.7,676.1,500.7,750.4,669.4,272.6,739.6,785.2,668.2,217.3,12.4,719.9,486.3,604.2,544.3,563.1,674.5,183.3,682.2,730.4,370.6,653.7,712.1,394.2,444.7,635.6,600.8,130.6,218.8,124.6,776.1,587.5,773.7,555.3,816.3,441.5,177.9,115.2,284.7,658.2,425.7,725.1,709.5,126.8,627.9,1494.4,794.9,699.8,193.6,578.1,295.6,284.7,605.9
BG,827.2,235.0,669.6,392.3,948.7,980.4,726.4,172.4,0.0,91.1,853.0,805.0,197.3,312.0,439.3,779.7,352.2,884.5,176.8,773.2,754.9,845.2,742.1,832.0,310.1,253.3,334.8,149.3,937.9,149.8,156.7,101.0,248.6,159.8,203.2,590.8,294.7,839.1,272.8,878.3,805.0,622.0,966.2,602.0,969.9,267.7,340.4,898.1,170.4,248.2,814.0,797.7,261.5,244.0,913.7,936.9,734.2,824.6,204.7,793.7,696.9,863.0,832.1,147.8,696.7,176.5,863.1,312.8,340.4,834.6,199.1,340.4,210.2,716.9,894.8,947.8,456.1,854.7,636.3,916.9,909.0,848.6,306.8,922.9,900.4,175.5,837.9,957.7,726.1,389.8,184.9,919.5,292.4,662.1,326.3,621.0,847.0,86.2,913.2,831.8,208.1,830.8,770.0,240.6,291.1,808.1,773.3,242.9,260.6,227.0,916.8,760.0,946.2,368.9,988.8,287.9,350.4,287.7,260.0,716.1,483.6,823.4,882.0,188.0,800.4,1666.9,967.4,872.3,266.0,750.6,142.0,342.6,663.8
BH,788.8,238.2,582.5,338.5,937.6,969.3,639.3,212.2,99.6,0.0,802.8,793.9,195.9,263.5,352.2,742.1,355.4,873.4,85.6,762.1,667.8,758.1,713.9,793.6,313.3,316.8,338.0,212.8,926.8,153.0,220.2,104.2,251.8,183.3,206.4,503.7,297.9,828.0,185.7,791.2,767.4,534.9,879.1,514.9,958.8,270.9,343.6,811.0,177.2,251.4,726.9,786.6,264.7,307.5,902.6,849.8,647.1,737.5,207.9,808.2,609.8,775.9,745.0,211.3,609.6,277.5,852.0,316.0,343.6,823.5,202.3,343.6,188.2,705.8,883.7,936.7,369.0,767.6,549.2,829.8,821.9,837.5,310.0,911.8,813.3,239.0,750.8,946.6,639.0,336.0,224.7,832.4,295.6,575.0,329.5,533.9,835.9,158.4,826.1,744.7,211.3,743.7,682.9,243.8,294.3,806.2,735.7,124.0,173.5,202.2,829.7,748.9,935.1,372.1,977.7,291.1,390.2,327.5,249.6,629.0,396.5,736.3,870.9,96.8,762.8,1655.8,956.3,861.2,194.0,739.5,145.2,255.5,576.7
