from_stop,AC,AG,AJ,AT,AV,AW,AY,AZ,BB,BM,BN,BX,BZ,CC,CD,CG,CI,CK,CL,CQ,CS,CY,DB,DM,DN,DT,DZ,ED,EG,EN,EO,EP,ER,ES,FF,FO,FQ,FU,FX,FY,FZ,GC,GD,GE,GF,GI,GJ,GL,GM,GO,HH,HI,HQ,HW,IA,IB,II,IJ,IM,IU,JF,JH,JM,JN,JP,JR,JS,JT,JU,JZ,KE,KH,KJ,KN,KO,KQ,KS,KT,KW,KY,LD,LJ,LL,LX,LZ,MH,MM,MN,MV,NO,NT,NW,NX,NY,OA,OB,OD,OG,OI,OO,OY,PC,PD,PE,PI,PK,PO,PR,PT,PY,QC,QD,QE,QF,QG,QL,QP,QZ,RB,RC,RF,RG,RN,RR,RV,SH,SI,SM,SR,SZ,TA,TE,TM,TU,TY,UB,UE,UL,UN,UP,UR,UV,VB,VF,VH,VL,VM,VN,VT,VU,VW,VX,VY,WF,WH,WS,WT,WW,WY,XE,XM,XQ,XT,XY,YE,YN,YS,YV,YX,YY,YZ,ZB,ZE,ZH,ZK,ZQ,ZU,ZW,ZX
AC,0.0,903.0,239.3,805.9,900.5,1017.0,284.8,379.2,999.4,706.5,890.1,207.5,1026.4,106.8,411.7,75.9,1027.0,810.5,1016.2,1021.2,227.3,177.3,657.5,386.6,846.1,944.4,210.5,350.8,1048.1,496.6,517.2,414.9,643.5,1041.1,361.5,985.8,1078.6,866.2,1021.4,961.0,436.1,712.2,803.8,126.5,264.6,1042.4,930.9,1007.9,142.5,1047.0,981.0,625.6,29.2,881.1,442.9,154.1,310.7,1018.1,1067.2,1037.3,99.6,469.5,707.4,1077.0,824.0,889.7,1070.8,399.7,1084.5,293.0,1069.3,372.7,79.7,1008.1,990.8,248.7,80.8,321.9,409.0,1014.8,261.7,900.6,1008.0,938.7,426.0,402.9,884.7,561.0,467.5,311.7,930.2,907.5,473.2,348.2,95.3,804.2,424.2,484.9,433.3,259.8,129.8,375.8,906.3,1058.1,1056.8,969.4,401.2,927.2,145.5,1025.8,156.0,411.0,1036.0,576.9,242.6,869.1,1008.9,1016.0,159.2,1109.6,441.6,179.1,294.0,1060.7,442.8,683.1,110.7,736.9,472.9,559.1,471.2,1014.0,1007.3,549.0,973.8,348.7,449.7,154.5,336.8,176.9,1010.3,368.6,466.5,301.2,371.4,95.0,138.0,1040.1,1061.8,629.5,1000.2,465.7,1087.6,135.1,928.6,22.6,458.7,1055.8,480.3,278.2,699.2,956.6,484.5,386.9,579.8,1079.2,221.4,402.0,1039.6,260.5,1030.5,300.8,303.6,502.4,951.0,373.8,146.5,289.5,431.7
AG,881.8,0.0,1136.0,131.6,391.8,276.6,1000.0,654.4,337.1,199.1,38.8,1038.3,364.1,1014.2,1080.8,957.8,352.7,109.6,275.7,345.0,1058.1,1102.7,246.2,528.5,105.7,204.0,1135.9,616.1,302.6,557.6,808.1,500.2,260.2,301.8,1076.7,323.5,416.3,62.6,326.2,220.6,977.0,246.5,295.1,901.5,687.6,368.1,256.6,267.5,1049.9,195.7,129.7,394.1,895.4,206.8,1017.5,792.0,1141.5,344.8,392.9,375.0,1025.0,582.3,281.5,414.7,256.2,381.0,219.5,801.0,422.2,674.2,218.0,1053.2,961.6,267.7,328.5,753.6,947.0,1209.7,929.5,340.5,1158.4,226.3,333.7,198.3,553.0,551.5,144.0,884.7,765.8,1208.4,189.8,233.2,481.0,592.7,977.2,315.5,1098.3,1061.6,1107.4,1156.5,1037.2,1033.8,306.0,1268.3,394.5,377.1,1020.8,75.9,1052.9,281.1,1081.4,1085.1,239.0,989.5,1139.3,637.6,331.5,259.0,871.2,435.3,1050.9,1033.0,924.7,214.3,546.1,991.9,811.3,167.9,1147.0,636.8,708.7,352.4,267.7,839.9,234.5,1245.4,1042.8,1079.9,1233.5,726.2,418.4,606.2,1059.1,1197.9,656.0,869.0,976.0,188.8,387.5,398.0,255.5,782.0,261.1,784.4,77.3,888.8,1111.3,219.2,1066.1,1174.9,355.8,282.3,469.7,1022.7,948.5,416.9,780.3,513.1,365.3,1091.3,356.2,1197.5,1200.3,818.7,99.7,541.3,1061.5,1186.2,529.2
AJ,253.2,1087.9,0.0,990.8,1085.4,1175.2,221.2,512.0,1184.3,891.4,1075.0,143.9,1211.3,135.6,348.1,177.1,1211.9,995.4,1156.3,1204.2,168.1,216.1,842.4,573.7,1064.5,1102.6,264.3,499.9,1233.0,683.7,453.6,602.0,828.4,1182.4,297.9,1170.7,1263.5,1051.1,1206.3,1119.2,372.5,897.1,988.7,379.8,504.8,1227.3,1115.8,1166.1,176.5,1231.9,1165.9,810.5,282.5,1066.0,379.3,407.4,247.1,1203.0,1252.1,1222.2,153.4,656.6,892.3,1261.9,997.8,1074.6,1255.7,431.5,1269.4,442.1,1254.2,309.1,215.9,1166.3,1175.7,415.8,334.1,143.6,345.4,1199.7,92.3,1085.5,1192.9,1096.9,558.8,590.0,1026.0,497.4,403.9,142.3,1088.4,1092.4,606.0,497.3,231.5,989.1,360.6,421.3,369.7,90.4,114.4,312.2,1047.6,1166.3,1241.7,1154.3,337.6,1112.1,100.9,1167.1,209.8,347.4,1220.9,513.3,73.2,1054.0,1193.8,1200.9,412.5,1294.5,378.0,214.9,230.4,1245.6,629.9,619.5,364.0,921.8,409.3,691.9,407.6,1198.9,1192.2,485.4,1115.1,179.3,386.1,193.3,167.4,430.2,1195.2,501.4,402.9,131.8,450.7,348.3,173.8,1225.0,1246.7,814.4,1141.5,402.1,1272.5,388.4,1113.5,275.9,395.1,1240.7,416.7,108.8,884.1,1141.5,617.3,323.3,516.2,1264.1,474.7,589.1,1224.5,196.9,1215.4,131.4,134.2,438.8,1135.9,560.9,147.7,120.1,564.5
AT,787.9,114.8,1042.1,0.0,297.9,228.8,906.1,560.5,193.4,105.2,101.9,944.4,220.4,920.3,986.9,863.9,221.0,22.3,228.0,215.2,964.2,1008.8,152.3,434.6,57.9,156.2,1042.0,522.2,242.1,463.7,714.2,406.3,166.3,254.0,982.8,179.8,272.6,78.0,215.4,172.8,883.1,152.6,201.2,807.6,593.7,236.4,124.9,219.7,956.0,258.8,192.8,300.2,801.5,75.1,923.6,698.1,1047.6,212.1,261.2,231.3,931.1,488.4,187.6,271.0,208.4,287.1,282.6,707.1,278.5,580.3,281.1,959.3,867.7,219.9,184.8,659.7,853.1,1124.7,835.6,208.8,1064.5,94.6,202.0,150.5,459.1,457.6,96.2,790.8,671.9,1114.5,142.0,101.5,387.1,498.8,883.3,221.6,1004.4,967.7,1013.5,1062.6,943.3,939.9,258.2,1220.5,250.8,163.4,926.9,139.0,959.0,233.3,987.5,991.2,230.0,895.6,1045.4,543.7,202.9,210.0,777.3,303.6,957.0,939.1,830.8,277.4,452.2,898.0,717.4,74.0,1053.1,542.9,614.8,208.0,201.3,746.0,186.7,1151.5,948.9,986.0,1139.6,632.3,204.3,512.3,965.2,1104.0,562.1,775.1,882.1,251.9,255.8,304.1,207.7,688.1,324.2,690.5,140.4,794.9,1017.4,282.3,972.2,1081.0,261.9,150.6,375.8,928.8,854.6,273.2,686.4,419.2,233.6,997.4,224.5,1103.6,1106.4,724.8,162.8,447.4,967.6,1092.3,435.3
AV,825.5,354.1,1079.7,260.9,0.0,356.3,943.7,598.1,454.4,161.5,341.2,982.0,481.4,957.9,1024.5,901.5,482.0,281.1,355.5,476.2,1001.8,1046.4,189.9,472.2,245.6,283.7,1079.6,559.8,503.1,501.3,751.8,443.9,203.9,363.5,1020.4,440.8,533.6,317.3,476.4,300.3,920.7,190.2,49.1,845.2,631.3,497.4,385.9,347.2,993.6,498.1,432.1,337.8,839.1,336.1,961.2,735.7,1085.2,473.1,522.2,492.3,968.7,526.0,225.2,532.0,81.7,72.3,521.9,744.7,539.5,617.9,520.4,996.9,905.3,347.4,445.8,697.3,890.7,1162.3,873.2,469.8,1102.1,355.6,463.0,278.0,496.7,495.2,207.1,828.4,709.5,1152.1,269.5,362.5,424.7,536.4,920.9,241.2,1042.0,1005.3,1051.1,1100.2,980.9,977.5,122.2,1211.0,511.8,424.4,964.5,378.3,996.6,348.2,1025.1,1028.8,491.0,933.2,1083.0,581.3,463.9,471.0,814.9,564.6,994.6,976.7,868.4,516.7,489.8,935.6,755.0,191.9,1090.7,580.5,652.4,469.0,462.3,783.6,296.2,1189.1,986.5,1023.6,1177.2,669.9,465.3,549.9,1002.8,1141.6,599.7,812.7,919.7,491.2,516.8,341.7,322.6,725.7,563.5,728.1,379.7,832.5,1055.0,521.6,1009.8,1118.6,299.5,411.6,413.4,966.4,892.2,534.2,724.0,456.8,494.6,1035.0,485.5,1141.2,1144.0,762.4,402.1,485.0,1005.2,1129.9,472.9
AW,971.4,272.2,1225.6,221.2,373.9,0.0,1089.6,731.1,414.7,288.7,259.3,1127.9,441.7,1103.8,1170.4,1047.4,442.3,199.2,52.0,436.5,1147.7,1192.3,335.8,618.1,163.7,49.8,1225.5,705.7,463.4,647.2,884.8,589.8,349.8,141.3,1166.3,401.1,493.9,235.4,436.7,79.4,1066.6,336.1,277.2,991.1,777.2,457.7,346.2,9.0,1139.5,416.2,350.2,483.7,985.0,296.4,1107.1,881.6,1231.1,433.4,482.5,452.6,1114.6,671.9,371.1,492.3,234.0,363.1,440.0,877.7,499.8,763.8,438.5,1142.8,1051.2,8.9,406.1,843.2,1036.6,1308.2,1019.1,430.1,1248.0,315.9,423.3,55.5,642.6,641.1,121.8,961.4,842.5,1298.0,64.0,322.8,570.6,682.3,1066.8,405.1,1175.0,1151.2,1184.1,1246.1,1126.8,1110.5,283.8,1246.1,472.1,384.7,1110.4,296.4,1142.5,8.9,1171.0,1161.8,451.3,1066.2,1228.9,727.2,424.2,431.3,960.8,524.9,1140.5,1122.6,1014.3,434.8,635.7,1068.6,900.9,257.5,1223.7,726.4,785.4,429.3,422.6,916.6,51.2,1335.0,1132.4,1169.5,1323.1,815.8,425.6,682.9,1148.7,1287.5,732.7,958.6,1065.6,409.3,477.1,487.6,34.5,858.7,481.6,874.0,297.8,978.4,1200.9,439.7,1155.7,1264.5,445.4,371.9,559.3,1099.4,1025.2,494.5,869.9,602.7,454.9,1180.9,445.8,1287.1,1289.9,895.4,320.2,630.9,1151.1,1275.8,618.8
AY,284.8,938.0,187.3,840.9,935.5,1025.3,0.0,362.1,1034.4,741.5,925.1,89.6,1061.4,167.2,221.3,208.7,1056.7,845.5,1024.5,1056.2,113.8,247.7,692.5,423.8,914.6,952.7,295.9,350.0,1083.1,533.8,232.3,452.1,678.5,1032.5,76.6,1020.8,1113.6,901.2,1056.4,969.3,151.2,747.2,838.8,411.4,354.9,1077.4,965.9,1016.2,208.1,1082.0,1016.0,660.6,314.1,916.1,158.0,357.4,192.8,1053.1,1102.2,1072.3,185.0,506.7,742.4,1112.0,847.9,924.7,1105.8,281.6,1119.5,292.2,1104.3,87.8,247.5,1016.4,1025.8,265.9,365.7,261.0,195.5,1049.8,209.7,935.6,1043.0,947.0,408.9,440.1,876.1,308.9,254.0,259.7,938.5,942.5,456.1,347.4,263.1,839.2,306.3,200.0,315.4,207.8,146.0,257.9,897.7,1003.9,1091.8,1009.9,116.3,962.2,132.5,1017.2,241.4,293.1,1071.0,459.0,190.6,904.1,1040.8,1051.0,436.6,1144.6,191.4,246.5,80.5,1095.7,480.0,416.1,376.7,771.9,355.0,542.0,257.7,1049.0,1042.3,264.1,965.2,296.7,183.3,224.9,284.8,291.6,1045.3,351.5,181.6,249.2,300.8,379.9,205.4,1075.1,1096.8,664.5,991.6,252.2,1122.6,349.8,963.6,307.5,251.8,1090.8,195.4,226.2,734.2,991.6,467.4,269.0,372.7,1114.2,345.7,439.2,1074.6,142.6,1065.5,248.8,251.6,288.9,986.0,411.0,179.3,237.5,414.6
AZ,333.9,622.6,503.7,525.5,620.1,709.9,367.7,0.0,719.0,426.1,609.7,406.0,746.0,440.8,448.5,409.9,746.6,530.1,709.1,740.8,425.8,511.3,377.1,275.0,599.2,637.3,544.5,362.6,767.7,304.1,220.4,246.7,363.1,717.1,444.4,705.4,798.2,585.8,741.0,653.9,344.7,431.8,523.4,353.6,241.6,762.0,650.5,700.8,476.5,766.6,700.6,345.2,347.5,600.7,385.2,244.1,509.2,737.7,786.8,756.9,433.6,328.8,427.0,796.6,532.5,609.3,790.4,213.3,804.1,196.9,788.9,420.9,413.7,701.0,710.4,123.0,399.1,586.3,297.2,734.4,526.1,620.2,727.6,631.6,93.5,298.0,560.7,297.0,178.1,576.1,623.1,627.1,140.7,339.2,429.3,523.8,510.6,429.3,519.7,524.2,462.4,446.1,582.3,773.0,776.4,689.0,388.5,646.8,448.9,701.8,490.0,497.4,755.6,401.8,507.0,588.7,728.5,735.6,323.3,829.2,418.6,513.1,292.4,780.3,292.6,404.2,263.4,456.5,559.3,226.6,121.0,733.6,726.9,252.2,649.8,613.1,410.5,488.5,601.2,178.3,729.9,36.1,426.8,565.6,68.3,321.1,472.0,759.7,781.4,349.1,676.2,194.3,807.2,236.5,648.2,340.9,479.0,775.4,433.8,542.6,418.8,676.2,152.0,435.0,360.8,798.8,232.4,259.6,759.2,459.0,750.1,565.2,568.0,231.0,670.6,287.8,480.5,553.9,99.2
BB,998.8,321.9,1249.2,210.8,508.8,439.7,1113.2,771.4,0.0,316.1,312.8,1155.3,92.9,1131.2,1194.0,1074.8,313.6,233.2,438.8,147.5,1179.5,1219.7,363.2,641.7,268.8,367.1,1252.9,733.1,207.8,674.6,925.1,617.2,377.2,464.9,1193.7,17.5,145.1,288.9,181.1,383.7,1094.0,363.5,408.3,1018.5,804.6,330.5,223.4,430.6,1163.1,232.5,256.0,507.3,1008.6,135.6,1130.7,909.0,1258.5,147.3,196.2,103.8,1142.0,699.3,398.5,143.5,419.3,498.0,260.1,918.0,151.0,791.2,258.6,1170.2,1074.8,430.8,11.2,870.6,1064.0,1322.9,1046.5,236.1,1275.4,193.1,246.2,361.4,666.2,668.5,307.1,1001.7,882.8,1325.4,352.9,200.0,598.0,709.7,1090.4,432.5,1215.3,1178.6,1224.4,1273.5,1154.2,1150.8,469.1,1431.4,123.3,134.6,1137.8,349.9,1169.9,444.2,1198.4,1202.1,105.3,1106.5,1256.3,754.6,259.4,85.3,988.2,246.2,1167.9,1150.0,1041.7,130.0,663.1,1108.9,928.3,284.9,1264.0,753.8,825.7,81.2,72.8,953.1,397.6,1362.4,1159.8,1196.9,1350.5,843.2,170.0,723.2,1176.1,1314.9,773.0,986.0,1089.2,225.6,288.1,515.0,418.6,899.0,247.3,901.4,282.2,1002.0,1228.3,121.3,1183.1,1291.9,472.8,249.1,586.7,1139.7,1065.5,145.7,897.3,626.3,236.3,1208.3,158.7,1314.5,1317.3,935.7,283.3,658.3,1178.5,1303.2,646.2
BM,682.6,196.4,936.8,99.3,192.6,310.4,800.8,455.2,292.8,0.0,183.5,839.1,319.8,815.0,881.6,758.6,320.4,103.9,309.6,314.6,858.9,903.5,47.0,329.3,139.5,237.8,936.7,416.9,341.5,358.4,608.9,301.0,61.0,335.6,877.5,279.2,372.0,159.6,314.8,254.4,777.8,47.3,95.9,702.3,488.4,335.8,224.3,301.3,850.7,340.4,274.4,194.9,696.2,174.5,818.3,592.8,942.3,311.5,360.6,330.7,825.8,383.1,82.3,370.4,116.1,181.8,364.2,601.8,377.9,475.0,362.7,854.0,762.4,301.5,284.2,554.4,747.8,1019.4,730.3,308.2,959.2,194.0,301.4,232.1,353.8,352.3,177.8,685.5,566.6,1009.2,223.6,200.9,281.8,393.5,778.0,116.3,899.1,862.4,908.2,957.3,838.0,834.6,156.6,1161.5,350.2,262.8,821.6,220.6,853.7,314.9,882.2,885.9,329.4,790.3,940.1,438.4,302.3,309.4,672.0,403.0,851.7,833.8,725.5,354.1,346.9,792.7,612.1,30.4,947.8,437.6,509.5,307.4,300.7,640.7,268.3,1046.2,843.6,880.7,1034.3,527.0,303.7,407.0,859.9,998.7,456.8,669.8,776.8,333.5,355.2,198.8,289.3,582.8,381.0,585.2,222.0,689.6,912.1,349.2,866.9,975.7,156.6,250.0,270.5,823.5,749.3,372.6,581.1,313.9,333.0,892.1,323.9,998.3,1001.1,619.5,244.4,342.1,862.3,987.0,330.0
